('https://image1.ljcdn.com/shfdfs-image/20171209/e819dd92-18cb-4c90-b7ce-8b48f51b336f.jpg.296x216.jpg', '配套齐全的公寓，价格低，采光充足', '派克公寓  | 1室1厅 | 52.32平米 | 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  元和', '52万', '单价9939元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171114/bd9db9df-7365-4f66-b3f2-b1aba7bcd0c8.jpg.296x216.jpg', '永金商业广场 2室2厅 75万', '永金商业广场  | 2室2厅 | 46.63平米 | 北 | 其他 | 有电梯', '高楼层(共23层)2015年建板塔结合  -  元和', '75万', '单价16085元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161127/46ff16a4-1057-4a16-b092-aca8d9a223c9.jpg.296x216.jpg', '凯翔国际广场 精装两房 诚意出售', '凯翔国际广场公寓  | 2室2厅 | 87.8平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2009年建板楼  -  元和', '108万', '单价12301元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c35078df-e254-4950-8727-6db87ef1e526.png.296x216.jpg', '品质小区金辉融侨城 全新毛坯三房', '金辉融侨城  | 3室2厅 | 97平米 | 南 | 毛坯 | 有电梯', '低楼层(共24层)2015年建板楼  -  活力岛', '220万', '单价22681元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170821/ba6456f7-1ecb-4ac0-a108-9b12de2beec3.jpg.296x216.jpg', '精装自住七十年产权公寓 单价仅售1.3万', '凯翔国际广场公寓  | 2室2厅 | 87.08平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2009年建板楼  -  元和', '115万', '单价13207元/平米')
('https://image1.ljcdn.com/320500-inspection/test-fb6ad6af-b11e-413c-a2dc-74ade43d8df0.png.296x216.jpg', '南北通透电梯精装两房，有钥匙随时看房', '嘉和丽园  | 2室2厅 | 97.11平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2005年建板楼  -  元和', '172万', '单价17712元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170830/bf185f4b-eea6-422b-924c-9ed748b52478.jpg.296x216.jpg', '70年产权  满五唯一 复试三房', '凯翔国际广场公寓  | 3室2厅 | 93.33平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2009年建板楼  -  元和', '125万', '单价13394元/平米')
('https://image1.ljcdn.com/320500-inspection/738ecb0f-bea0-428e-bbc8-4368979bac51.jpg.296x216.jpg', '全南2居室，装修简单大方，诚心出售，看房方便', '橡树湾花园  | 2室2厅 | 79.1平米 | 南 | 精装 | 有电梯', '中楼层(共27层)2013年建板塔结合  -  活力岛', '163万', '单价20607元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171213/33ab44b3-b8dd-4aa8-9cf8-34696e580db3.jpg.296x216.jpg', '香城颐园 毛坯两房 南北通透诚意出售', '香城颐园  | 2室2厅 | 92.98平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共18层)2011年建板楼  -  元和', '210万', '单价22586元/平米')
('https://image1.ljcdn.com/320500-inspection/test-37a47381-da1e-4740-a5f7-3b7ea1c4e9f8.png.296x216.jpg', '康桥经典正四房 赠送多 带车为 急售', '康桥丽都  | 4室2厅 | 100平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2009年建板楼  -  元和', '215万', '单价21500元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160706/24bf7db4-5221-4327-bd07-6d47cf34c7bb.jpg.296x216.jpg', '合景峰汇十期自住装修，配套成熟', '合景峰汇十期  | 3室2厅 | 94.96平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2013年建板楼  -  活力岛', '107万', '单价11268元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c2ccaaf2-6f09-4e80-b7a1-904e46089f71.png.296x216.jpg', '星湖花海 精装小三房 带车位 房龄新 看房方便', '星湖花海  | 3室2厅 | 89平米 | 南 北 | 精装 | 有电梯', '中楼层(共20层)2015年建板楼  -  元和', '180万', '单价20225元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170513/0174e7fb-f0c9-4d98-9d72-4c56c2a1ba9d.jpg.296x216.jpg', '南亚花园  通透大三房   中高楼层  采光无遮挡 诚意卖', '南亚花园  | 3室2厅 | 136.6平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共7层)2005年建板楼  -  元和', '220万', '单价16106元/平米')
('https://image1.ljcdn.com/320500-inspection/test-205a8f74-59d4-43ec-a2e2-d9f14696ef5b.png.296x216.jpg', '香城花园一区 全新精装3房2卫 换房诚售', '香城花园一区  | 3室2厅 | 136.79平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2012年建板楼  -  元和', '268万', '单价19593元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170523/999b92a8-6ef6-4109-996d-007e8f3abf74.jpg.296x216.jpg', '水韵花都二期 4房纯毛坯 中间楼层', '水韵花都家园  | 4室2厅 | 139平米 | 南 | 毛坯 | 有电梯', '中楼层(共31层)板楼  -  活力岛', '285万', '单价20504元/平米')
('https://image1.ljcdn.com/320500-inspection/test-10c53a73-7d41-42a2-b5ed-2918cb62aec0.png.296x216.jpg', '景观小区水漾花城  通透两房  随时看房', '恒基水漾花城  | 2室2厅 | 87.33平米 | 南 | 毛坯 | 有电梯', '低楼层(共25层)2017年建塔楼  -  活力岛', '184万', '单价21070元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170415/65ab5e2b-4b8b-48e2-8db1-1242cbe93b23.jpg.296x216.jpg', '南亚花园 4室2厅 208万', '南亚花园  | 4室2厅 | 148.53平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共5层)2005年建板楼  -  元和', '208万', '单价14004元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170503/dcd83c4e-fd9b-470f-8b9b-1ac0d4991c62.jpg.296x216.jpg', '户型方正，通透边户，毛坯四室，高楼层，有车位', '星湖花海  | 4室2厅 | 109.5平米 | 南 | 毛坯 | 有电梯', '高楼层(共20层)2015年建板楼  -  元和', '198万', '单价18083元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170927/b90fd1a6-cfec-45f7-b04c-1627040b54b8.jpg.296x216.jpg', '香城花园二区 2室2厅 180万', '香城花园二区  | 2室2厅 | 88平米 | 暂无数据 | 精装 | 无电梯', '低楼层(共5层)2007年建板楼  -  元和', '180万', '单价20455元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170227/5b356205-7648-408d-9d41-3e275680bde8.jpg.296x216.jpg', '泰元家园 3室2厅 195万', '泰元家园  | 3室2厅 | 136平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2005年建板楼  -  元和', '195万', '单价14339元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160317/1fd752a4-9504-482b-8299-c7fa4c32cbf3.jpg.296x216.jpg', '首开春天花园  居家装修 正四房  业主置换 诚心出售', '首开班芙春天花园  | 4室2厅 | 144平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2015年建板楼  -  活力岛', '266万', '单价18473元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160901/b06768f6-851d-4e19-a8c9-540adc33a5af.jpg.296x216.jpg', '锦绣江南 电梯 大两房 随时可以看', '锦绣江南  | 2室2厅 | 109.21平米 | 南 | 毛坯 | 有电梯', '低楼层(共11层)2005年建板楼  -  元和', '185万', '单价16940元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161231/ac6c24f3-8e0a-43b5-a744-252159e14792.jpg.296x216.jpg', '天亚水景城  毛坯大四房 三开间朝南有钥匙随时看房', '天亚水景城  | 4室2厅 | 179.85平米 | 南 | 毛坯 | 有电梯', '中楼层(共20层)2011年建板楼  -  元和', '270万', '单价15013元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180118/34246dab-8b1a-4f4b-8bbc-6324fe14a782.jpg.296x216.jpg', '锦绣江南中间楼层精装两房，两房朝南，中间楼层', '锦绣江南  | 2室2厅 | 97.73平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2005年建板楼  -  元和', '169万', '单价17293元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170627/c00cdb30-945c-4d2a-a403-b5194da7dc8a.jpg.296x216.jpg', '香城花园三区 多层大三室 业主诚心出售 看房有钥匙', '香城花园三区  | 3室2厅 | 126.45平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2008年建板楼  -  元和', '238万', '单价18822元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170418/7d8eb818-ae14-4c63-a468-955d46c2081b.jpg.296x216.jpg', '尚景湾纯毛坯通透2房户型好带车位价格优惠', '尚景湾  | 2室2厅 | 99.6平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2015年建板楼  -  黄桥', '178万', '单价17872元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161210/965a04ec-683a-4777-bfcd-c9c16148e2a1.jpg.296x216.jpg', '锦绣江南，南北通透三房，楼层中有电梯，权属清晰', '锦绣江南  | 3室2厅 | 126.02平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2005年建板楼  -  元和', '215万', '单价17061元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180107/93b46af7-8066-4fda-9fd7-205c977a3cf2.jpg.296x216.jpg', '水漾花城毛坯113三房，看房随时', '恒基水漾花城  | 3室2厅 | 113平米 | 暂无数据 | 其他 | 有电梯', '高楼层(共30层)2017年建塔楼  -  活力岛', '220万', '单价19470元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160911/a1292ba0-34dc-4367-9fa8-f152c33124ee.jpg.296x216.jpg', '合景峰汇十期 3室2厅 109万', '合景峰汇十期  | 3室2厅 | 94.96平米 | 南 | 精装 | 有电梯', '高楼层(共19层)2013年建板楼  -  活力岛', '109万', '单价11479元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171105/0ee3f2f2-6001-4ba3-8f63-d14189a01625.jpg.296x216.jpg', '花好月圆简装两房，中间楼层，两房朝南', '花好月圆  | 2室2厅 | 80.18平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2012年建板楼  -  元和', '153万', '单价19083元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload55a37af1-b111-4331-81da-8299e7aa44c6.jpg.296x216.jpg', '晨曦馨苑 毛坯四房 诚意出售 看房方便', '晨曦馨苑  | 4室2厅 | 153平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共5层)2008年建板楼  -  元和', '320万', '单价20916元/平米')
('https://image1.ljcdn.com/320500-inspection/84722ca9-7b3f-47aa-bedb-fde2e85c8a69.jpg.296x216.jpg', '200平大五房，顶楼复式，带空中花园尽享别墅气息', '香城花园一区  | 5室3厅 | 205.81平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2012年建板楼  -  元和', '300万', '单价14577元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170403/777a811b-769a-42db-8e66-d17ab0567d8e.jpg.296x216.jpg', '香城颐园南北通透三房 精装修诚意出售', '香城颐园  | 3室2厅 | 106平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2011年建板楼  -  元和', '255万', '单价24057元/平米')
('https://image1.ljcdn.com/320500-inspection/c73e772f-15b1-4338-9c22-dc855552f1b1.jpg.296x216.jpg', '满二，送汽车库，联排别墅，看房方便，房东诚心出售', '三江尊园   | 联排别墅 | 5室4厅 | 249.2平米 | 南 | 精装 | 无电梯', '3层2008年建板楼  -  元和', '815万', '单价32705元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170807/c6f857e6-8f7e-4d0d-bbf5-16cdf0c9d816.jpg.296x216.jpg', '鑫之苑 3室2厅 216万', '鑫之苑  | 3室2厅 | 91平米 | 南 | 毛坯 | 有电梯', '低楼层(共30层)2015年建塔楼  -  高铁新城', '216万', '单价23737元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9138c23f-8592-405a-9b5c-34531f74ccf0.png.296x216.jpg', '金辉融侨城 送买断车位 精装大三房两卫朝南 中间楼层', '金辉融侨城  | 3室2厅 | 99平米 | 南 | 精装 | 有电梯', '中楼层(共24层)2015年建板楼  -  活力岛', '250万', '单价25253元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170505/2c444485-7c10-4cf8-be58-0104d467dafd.jpg.296x216.jpg', '民用水电  通燃气  复式两房  房龄新  朝南向阳', '合景峰汇十一期  | 2室2厅 | 46平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2016年建板楼  -  活力岛', '77万', '单价16740元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170808/d59a45b7-bff1-485b-9b60-242570cbd621.jpg.296x216.jpg', '合景峰汇十期 1室1厅 52万', '合景峰汇十期  | 1室1厅 | 45平米 | 北 | 精装 | 有电梯', '低楼层(共19层)2013年建板楼  -  活力岛', '52万', '单价11556元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170420/6d4d4248-6005-4cc9-bfd9-8d9bd9660c02.jpg.296x216.jpg', '首开班芙春天 纯毛坯大2房 楼层好 楼间距大 视野开阔', '首开班芙春天花园  | 2室2厅 | 96平米 | 南 | 毛坯 | 有电梯', '中楼层(共25层)2012年建板楼  -  活力岛', '184万', '单价19167元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170607/50177103-eba1-4bb2-a11e-e8d4f01c7cbd.jpg.296x216.jpg', '康桥丽都 三房 中等装修 业主诚心出售 看房直接敲门', '康桥丽都  | 3室2厅 | 122.11平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2009年建板楼  -  元和', '235万', '单价19245元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161217/84f12a55-ec91-4a66-94a7-cae0dde766b7.jpg.296x216.jpg', '二号线 嘉和丽园 改善型精装四房 采光好随时看房', '嘉和丽园  | 4室2厅 | 163平米 | 南 | 精装 | 有电梯', '低楼层(共10层)2005年建板楼  -  元和', '266万', '单价16320元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170817/760bf70d-06f6-4636-b9ea-ae4d3424cdc9.jpg.296x216.jpg', '合景峰汇二期 3室2厅 275万', '合景峰汇二期  | 3室2厅 | 112平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)板楼  -  活力岛', '275万', '单价24554元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170726/a86bb39c-09bf-4e81-99d4-b869a9ddf56e.jpg.296x216.jpg', '万泾花园精装修三室两卫诚意出售', '万泾花园  | 3室2厅 | 126平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2011年建板楼  -  元和', '201万', '单价15953元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170725/3b176e64-ce87-4c23-ad80-682471fa6229.jpg.296x216.jpg', '尚景花苑  精装三房 楼层好 满两年 业主诚售', '尚景湾  | 3室2厅 | 143平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2015年建板楼  -  黄桥', '280万', '单价19581元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171012/d86417e0-3be2-4ca3-9bff-0edd001277d3.jpg.296x216.jpg', '合景峰汇国际十期  精装修，保养好业主诚心出售', '合景峰汇十期  | 2室2厅 | 48平米 | 北 | 精装 | 有电梯', '低楼层(共19层)2013年建板楼  -  活力岛', '50万', '单价10417元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171202/ca7a0526-4b69-47d8-b3da-73dfa220bfda.jpg.296x216.jpg', '泰元家园 5室3厅 200万', '泰元家园  | 5室3厅 | 136平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2005年建板楼  -  元和', '200万', '单价14706元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160704/94467619-c790-426e-8cb0-2abd382e7abd.jpg.296x216.jpg', '一楼带100平院子  精装修  拎包入住  诚意出售', '南山檀郡  | 4室2厅 | 123平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2012年建板楼  -  元和', '390万', '单价31708元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170723/6de57919-b411-453b-8a1a-bf353c9ff600.jpg.296x216.jpg', '华辰嘉园南区 2室2厅 178万', '华辰嘉园南区  | 2室2厅 | 80.35平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2009年建板楼  -  活力岛', '178万', '单价22154元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160531/33d0a64d-3286-4825-9940-efd09971fb7e.jpg.296x216.jpg', '康桥丽都 2房 自住精装 业主诚心出售 看房有钥匙', '康桥丽都  | 2室2厅 | 79.69平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2011年建板楼  -  元和', '174万', '单价21835元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7a6e547e-7d9b-43af-9882-71082ce04fe0.png.296x216.jpg', '南亚花园精装修三房，配套齐全，诚心出售', '南亚花园  | 3室2厅 | 140.8平米 | 南 北 | 精装 | 有电梯', '低楼层(共7层)2005年建板楼  -  元和', '215万', '单价15270元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170601/66c55aae-5c20-49d0-bcec-04148060b36d.jpg.296x216.jpg', '御苑刚需两房 总价低 中楼层采光好 两卧朝南 南北通透', '御苑家园A区  | 2室1厅 | 72平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2006年建板楼  -  活力岛', '140万', '单价19445元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171118/b97c4f48-22e4-4b03-b69b-81b42676be1d.jpg.296x216.jpg', '合景峰汇八期 3室2厅 210万', '合景峰汇八期  | 3室2厅 | 87.82平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2011年建板楼  -  活力岛', '210万', '单价23913元/平米')
('https://image1.ljcdn.com/320500-inspection/test-02e15e35-d9cd-4b87-8e93-689a1151ab8f.png.296x216.jpg', '随时可看 满五唯一 欧风丽苑精装两房', '欧风丽苑  | 2室1厅 | 85.01平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2012年建塔楼  -  元和', '174万', '单价20469元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170602/dbfe0997-2e68-4b36-8f3e-d76ba1067ec5.jpg.296x216.jpg', '万科北宸之光精装4房，房东诚心出售', '万科北宸之光  | 4室2厅 | 95.22平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共34层)2017年建板塔结合  -  活力岛', '204万', '单价21425元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160910/eacb636e-d61f-41f2-8131-9c7fedcb4e18.jpg.296x216.jpg', '合景峰汇三期 3室2厅 245万', '合景峰汇三期  | 3室2厅 | 105平米 | 南 | 简装 | 有电梯', '高楼层(共23层)2011年建板楼  -  活力岛', '245万', '单价23334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-7b8b1a73-34dd-4513-838b-3f3b42918616.png.296x216.jpg', '嘉和丽园 3室2厅 220万', '嘉和丽园  | 3室2厅 | 127.8平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2005年建板楼  -  元和', '220万', '单价17215元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170519/87341c96-f2fb-41b1-b6e2-565b74ce54e3.jpg.296x216.jpg', '华美福邸 2室1厅 210万', '华美福邸  | 2室1厅 | 114平米 | 南 北 | 其他 | 无电梯', '5层2009年建板楼  -  元和', '210万', '单价18422元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171202/a41946fd-3b05-4c39-91f8-8492575c5cac.jpg.296x216.jpg', '合景峰汇七期，一楼带院子，精装修有车位', '合景峰汇七期  | 5室2厅 | 108平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  活力岛', '317万', '单价29352元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161119/dc9683ca-46da-4cef-b818-34df958aa922.jpg.296x216.jpg', '晨曦馨苑精装三房户型方正通透性好全天采光房东积极', '晨曦馨苑  | 3室2厅 | 132.57平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2009年建板楼  -  元和', '270万', '单价20367元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170720/54a3c838-e98b-4191-89f7-3a1a83cbd84d.jpg.296x216.jpg', '水漾花城\u3000全新纯毛坯大3房\u3000楼层好视野开阔看房方', '恒基水漾花城  | 3室2厅 | 138平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共30层)2017年建塔楼  -  活力岛', '275万', '单价19928元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180112/a571e3ae-636d-4f25-8a39-faca95c79a95.jpg.296x216.jpg', '元和之春2号线旁，大三房，公务员小区，有钥匙', '元和之春  | 3室3厅 | 214平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2006年建板楼  -  元和', '360万', '单价16823元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170424/5841f296-30c5-4d64-bc1e-40e8ab6c4ca5.jpg.296x216.jpg', '尚景湾 2室2厅 184万', '尚景湾  | 2室2厅 | 99平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2015年建板楼  -  黄桥', '184万', '单价18586元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170411/e4da1ec0-8303-4fcf-b1a6-cac00acddedb.jpg.296x216.jpg', '花好月圆精装修3房，108平，228万', '花好月圆  | 3室2厅 | 108平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2012年建板楼  -  元和', '228万', '单价21112元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180118/5cc5945c-9002-4c8a-8a50-c9a584c4da91.jpg.296x216.jpg', '橡树湾花园 小区内底商 双层挑高 业主诚售 看房方便', '橡树湾花园  | 2室1厅 | 31平米 | 暂无数据 | 其他 | 有电梯', '低楼层(共27层)2013年建板塔结合  -  活力岛', '51万', '单价16452元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ebdc59f8-3001-4593-b994-7a1725c65ea3.png.296x216.jpg', '尚景湾 满两年 全新毛坯四房 通透户型 带车位，随时看', '尚景湾  | 4室2厅 | 133平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2015年建板楼  -  黄桥', '234万', '单价17594元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170219/aa4a2bfe-aab8-44be-a9d2-67588fa4f750.jpg.296x216.jpg', '精装住着舒适交通便利出行方便自行车公交车', '御苑家园B、C区  | 3室2厅 | 141.42平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  活力岛', '260万', '单价18385元/平米')
