('https://image1.ljcdn.com/440600-inspection/test-4dad8e1a-6bfb-4c18-9472-ded3a55f49df.png.296x216.jpg', '依云天汇 3室2厅 265万', '依云天汇  | 3室2厅 | 102.12平米 | 南 | 其他', '低楼层(共45层)2011年建塔楼  -  千灯湖', '265万', '单价25950元/平米')
('https://image1.ljcdn.com/440600-inspection/test-2890934e-2515-4f67-9b7c-b2ff46302c28.png.296x216.jpg', '中恒海晖城 格局方正', '中恒海晖城  | 3室2厅 | 122平米 | 南 | 精装', '高楼层(共16层)2018年建塔楼  -  狮山', '185万', '单价15164元/平米')
('https://image1.ljcdn.com/440600-inspection/test-e5441bcc-bdb1-426b-b25d-49f5fcf6ba3c.png.296x216.jpg', '怡翠花园 3室2厅 290万', '怡翠花园  | 3室2厅 | 148平米 | 东南 | 其他', '高楼层(共28层)2005年建塔楼  -  桂城东（城市广场）', '290万', '单价19595元/平米')
('https://image1.ljcdn.com/440600-inspection/9a1abb44-a3ce-4fc0-bb71-d1b283aecfec.jpg.296x216.jpg', '鹿璟村 南向三房 交通便利 配套成熟', '鹿璟村鹿康居  | 3室2厅 | 124.03平米 | 南 | 简装', '中楼层(共15层)2003年建塔楼  -  桂城东（城市广场）', '278万', '单价22414元/平米')
('https://image1.ljcdn.com/440600-inspection/5ef988ec-42c0-4562-a09c-2ef0f28ce0cf.jpg.296x216.jpg', '怡翠花园 三错层', '怡翠花园  | 6室3厅 | 295平米 | 南 北 | 简装', '低楼层(共21层)2005年建塔楼  -  桂城东（城市广场）', '480万', '单价16272元/平米')
('https://image1.ljcdn.com/440600-inspection/65c098da-d538-42d7-b2ba-b8caba4033c8.jpg.296x216.jpg', '清华园 2室2厅 157万', '清华园  | 2室2厅 | 86平米 | 北 | 其他', '16层2004年建板塔结合  -  天佑', '157万', '单价18256元/平米')
('https://image1.ljcdn.com/440600-inspection/a24941cc-6f76-4344-a5e0-05d01a57fd1f.jpg.296x216.jpg', '交通方便 配套成熟 通风采光视野好.', '桂南名都  | 1室1厅 | 41.82平米 | 南 | 其他', '中楼层(共28层)2007年建塔楼  -  桂城东（城市广场）', '93万', '单价22239元/平米')
('https://image1.ljcdn.com/440600-inspection/test-15897547-91b7-4a4c-9c8f-6be08bc69e60.png.296x216.jpg', '恒大御景 4室2厅 173万', '恒大御景  | 4室2厅 | 105平米 | 南 北 | 精装', '低楼层(共32层)2018年建塔楼  -  狮山', '173万', '单价16477元/平米')
('https://image1.ljcdn.com/440600-inspection/46f53cf0-c8c4-4b5e-ae6c-b4c82fd48e8f.JPG.296x216.jpg', '康怡丽苑二期 4室2厅 280万', '康怡丽苑二期  | 4室2厅 | 123.41平米 | 北 | 其他', '中楼层(共16层)2006年建塔楼  -  平洲', '280万', '单价22689元/平米')
('https://image1.ljcdn.com/440600-inspection/f829de41-70cb-46af-a836-8902278ac59c.jpg.296x216.jpg', '星琴花园 2室2厅 135万', '星琴花园  | 2室2厅 | 85.28平米 | 南 北 | 简装', '中楼层(共8层)2005年建塔楼  -  桂城北（南海广场）', '135万', '单价15831元/平米')
('https://image1.ljcdn.com/440600-inspection/test-5dddfc56-77d6-4ec3-9d68-565e63b1442c.png.296x216.jpg', '恒大御景 3室2厅 135万', '恒大御景  | 3室2厅 | 86.74平米 | 北 | 其他', '低楼层(共32层)2018年建塔楼  -  狮山', '135万', '单价15564元/平米')
('https://image1.ljcdn.com/440600-inspection/test-b4ed02ed-97bb-4c06-b5a6-6e041ace9ea6.png.296x216.jpg', '恒大御景 3室2厅 152万', '恒大御景  | 3室2厅 | 98平米 | 南 | 其他', '高楼层(共32层)2018年建塔楼  -  狮山', '152万', '单价15511元/平米')
('https://image1.ljcdn.com/440600-inspection/test-d6086ec9-376b-4b05-8ed9-980916f02dcc.png.296x216.jpg', '凯欣名苑 3室2厅 112万', '凯欣名苑  | 3室2厅 | 94.24平米 | 南 | 精装', '9层2013年建板塔结合  -  丹灶', '112万', '单价11885元/平米')
('https://image1.ljcdn.com/440600-inspection/2a72866c-fe7c-48e1-a694-013499ceb63d.JPG.296x216.jpg', '华福御水岸 3室2厅 260万', '华福御水岸  | 3室2厅 | 118平米 | 北 | 其他', '中楼层(共31层)塔楼  -  平洲', '260万', '单价22034元/平米')
('https://image1.ljcdn.com/440600-inspection/test-9216180e-8f85-4f7d-a086-ee5644110236.png.296x216.jpg', '桂丹颐景园 3室2厅 161万', '桂丹颐景园  | 3室2厅 | 117平米 | 南 北 | 精装', '高楼层(共33层)2016年建塔楼  -  丹灶', '161万', '单价13761元/平米')
('https://image1.ljcdn.com/440600-inspection/413a4cb2-c4aa-4b7e-a8b7-8322bac97cd1.JPG.296x216.jpg', '保利西雅图 东南向三房 景观好', '保利西雅图  | 3室2厅 | 94.47平米 | 东南 | 其他', '中楼层(共32层)2016年建塔楼  -  平洲', '210万', '单价22230元/平米')
('https://image1.ljcdn.com/440600-inspection/cd34e928-99ac-4ae5-bace-4e81e554aa71.JPG.296x216.jpg', '祈福南湾半岛 6室2厅 300万', '祈福南湾半岛  | 6室2厅 | 311.65平米 | 南 | 毛坯', '高楼层(共6层)板楼  -  丹灶', '300万', '单价9627元/平米')
('https://image1.ljcdn.com/440600-inspection/b136a961-39a5-47eb-a0fc-4f3a70b4ab73.jpg.296x216.jpg', '海景花园 4室2厅 350万', '海景花园  | 4室2厅 | 184.47平米 | 南 | 其他', '低楼层(共21层)塔楼  -  千灯湖', '350万', '单价18974元/平米')
('https://image1.ljcdn.com/440600-inspection/test-b0643500-78d6-412a-917a-83b202332e24.png.296x216.jpg', '恒大御景 3室2厅 126万', '恒大御景  | 3室2厅 | 83平米 | 北 | 精装', '高楼层(共32层)2018年建塔楼  -  狮山', '126万', '单价15181元/平米')
('https://image1.ljcdn.com/440600-inspection/c9d8e93e-ba4c-47b8-a55c-39de7616cfa6.jpg.296x216.jpg', '丽雅苑南区 4室2厅 350万', '丽雅苑南区  | 4室2厅 | 163.03平米 | 北 | 其他', '中楼层(共11层)2007年建塔楼  -  桂城北（南海广场）', '350万', '单价21469元/平米')
('https://image1.ljcdn.com/440600-inspection/test-7a3b13de-23bc-42e3-b43d-55059579cb72.png.296x216.jpg', '翠湖绿洲花园 3室2厅 138万', '翠湖绿洲花园  | 3室2厅 | 89.05平米 | 南 | 其他', '低楼层(共14层)2014年建塔楼  -  罗村', '138万', '单价15497元/平米')
('https://image1.ljcdn.com/440600-inspection/82da68c0-1dbb-480d-8ee9-06a7a057097d.JPG.296x216.jpg', '中恒海晖城 4室2厅 350万', '中恒海晖城  | 4室2厅 | 233平米 | 南 | 精装', '高楼层(共25层)2018年建塔楼  -  狮山', '350万', '单价15022元/平米')
('https://image1.ljcdn.com/440600-inspection/test-aba78053-d3e7-4b1f-b408-fa0041783390.png.296x216.jpg', '万科金色家园金领 2室2厅 200万', '万科金色家园金领  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共12层)2006年建塔楼  -  桂城东（城市广场）', '200万', '单价25000元/平米')
('https://image1.ljcdn.com/440600-inspection/3f807833-cbdb-494e-9eeb-096e3c95bfbd.jpg.296x216.jpg', '保利西雅图 3室2厅 235万', '保利西雅图  | 3室2厅 | 100平米 | 南 北 | 其他', '中楼层(共33层)2016年建塔楼  -  平洲', '235万', '单价23500元/平米')
('https://image1.ljcdn.com/440600-inspection/test-dc648881-8a21-4d03-bc2f-1d5e3fd897c2.png.296x216.jpg', '恒大御景 3室2厅 137万', '恒大御景  | 3室2厅 | 89平米 | 北 | 其他', '低楼层(共32层)2018年建塔楼  -  狮山', '137万', '单价15394元/平米')
('https://image1.ljcdn.com/440600-inspection/25f9152d-2989-4035-b542-526aae4cce3a.jpg.296x216.jpg', '富丰新城 3室2厅 235万', '富丰新城  | 3室2厅 | 89平米 | 南 | 其他', '高楼层(共32层)2012年建塔楼  -  平洲', '235万', '单价26405元/平米')
('https://image1.ljcdn.com/440600-inspection/test-f9e91a64-3b2e-4485-9fae-333c441bce66.png.296x216.jpg', '奥园公园一号 3室2厅 335万', '奥园公园一号  | 3室2厅 | 128平米 | 南 北 | 其他', '低楼层(共16层)2016年建塔楼  -  罗村', '335万', '单价26172元/平米')
('https://image1.ljcdn.com/440600-inspection/test-ec19ecff-2154-495a-bbaa-c8b503b8afb3.png.296x216.jpg', '恒大御景 3室2厅 138万', '恒大御景  | 3室2厅 | 84平米 | 北 | 其他', '中楼层(共32层)2018年建塔楼  -  狮山', '138万', '单价16429元/平米')
('https://image1.ljcdn.com/440600-inspection/test-7c9afa41-0d31-49ae-b730-9cc2528220df.png.296x216.jpg', '兴业新村 2室1厅 115万', '兴业新村  | 2室1厅 | 78.67平米 | 北 | 其他', '高楼层(共8层)2002年建塔楼  -  桂城北（南海广场）', '115万', '单价14619元/平米')
('https://image1.ljcdn.com/440600-inspection/623592b9-3573-4c5b-82e2-4a89b1cd9412.jpg.296x216.jpg', '海景花园 2室2厅 140万', '海景花园  | 2室2厅 | 95平米 | 东南 | 简装', '中楼层(共8层)塔楼  -  千灯湖', '140万', '单价14737元/平米')
('https://image1.ljcdn.com/440600-inspection/test-8a71062f-dd56-4112-8997-11f0570871fe.png.296x216.jpg', '中恒海晖城 3室2厅 130万', '中恒海晖城  | 3室2厅 | 89平米 | 南 北 | 其他', '高楼层(共22层)2018年建塔楼  -  狮山', '130万', '单价14607元/平米')
('https://image1.ljcdn.com/440600-inspection/0948baba-fde2-4737-8a06-b1510b12012d.JPG.296x216.jpg', '富丰君御 4室2厅 345万', '富丰君御  | 4室2厅 | 144平米 | 北 | 其他', '高楼层(共33层)2015年建塔楼  -  平洲', '345万', '单价23959元/平米')
('https://image1.ljcdn.com/440600-inspection/test-7335bd1d-3f0a-480d-b75d-b40571c3c85d.png.296x216.jpg', '时代倾城 1室1厅 55万', '时代倾城  | 1室1厅 | 30平米 | 东 | 精装', '中楼层(共15层)2016年建塔楼  -  罗村', '55万', '单价18334元/平米')
('https://image1.ljcdn.com/440600-inspection/5c893248-213a-4ac4-b5c1-0423f92dad04.JPG.296x216.jpg', '翠湖绿洲花园 3室2厅 122万', '翠湖绿洲花园  | 3室2厅 | 90平米 | 北 | 其他', '高楼层(共14层)2014年建塔楼  -  罗村', '122万', '单价13556元/平米')
('https://image1.ljcdn.com/440600-inspection/test-2b526d7b-9402-4229-afca-255df425c344.png.296x216.jpg', '上林一品 环境优美 对花园', '上林一品  | 4室2厅 | 126平米 | 南 北 | 其他', '高楼层(共32层)2014年建塔楼  -  丹灶', '188万', '单价14921元/平米')
('https://image1.ljcdn.com/440600-inspection/6a05b814-1b0b-474a-9843-84bb77967631.JPG.296x216.jpg', '尚观御园 3室2厅 160万', '尚观御园  | 3室2厅 | 91.39平米 | 北 | 精装', '低楼层(共13层)2012年建塔楼  -  罗村', '160万', '单价17508元/平米')
('https://image1.ljcdn.com/440600-inspection/test-cd254b60-912e-4cbf-a382-45ec3fd68af1.png.296x216.jpg', '万科金色领域 1房1厅', '万科金色领域  | 1室0厅 | 39平米 | 西 | 其他', '高楼层(共46层)2016年建塔楼  -  佛平路', '60万', '单价15385元/平米')
('https://image1.ljcdn.com/440600-inspection/9286d78f-0e2e-490d-a539-a53fd8c772d9.jpg.296x216.jpg', '御景* 3房2厅 221.05万元', '雅居乐御景名门  | 3室2厅 | 89.7平米 | 北 | 其他', '低楼层(共31层)2012年建塔楼  -  黄岐', '198万', '单价22074元/平米')
('https://image1.ljcdn.com/440600-inspection/16679e15-9f7e-48dc-bd3c-20abebdedec4.jpg.296x216.jpg', '万科金御华府  三房两厅 交通方便', '万科金御华府  | 3室2厅 | 87.55平米 | 东北 | 精装', '低楼层(共25层)2008年建塔楼  -  桂城东（城市广场）', '225万', '单价25700元/平米')
('https://image1.ljcdn.com/440600-inspection/5e40d2a1-eaec-46a5-9146-3927affd0fad.jpg.296x216.jpg', '鹿璟村鹿雅居 3室2厅 220万', '鹿璟村鹿雅居  | 3室2厅 | 116.23平米 | 北 | 简装', '低楼层(共12层)2003年建塔楼  -  桂城东（城市广场）', '220万', '单价18928元/平米')
('https://image1.ljcdn.com/440600-inspection/test-3fae01a7-da43-41ec-8510-7e2030ef74ab.png.296x216.jpg', '恒大城 电梯洋房 间隔方正', '佛山恒大城  | 2室2厅 | 71平米 | 北 | 其他', '中楼层(共22层)2017年建塔楼  -  狮山', '125万', '单价17606元/平米')
('https://image1.ljcdn.com/440600-inspection/test-01e4fee9-090f-46ff-b849-463316db9c56.png.296x216.jpg', '时代倾城 3室2厅 190万', '时代倾城  | 3室2厅 | 102.4平米 | 东南 | 其他', '18层2016年建塔楼  -  罗村', '190万', '单价18555元/平米')
('https://image1.ljcdn.com/440600-inspection/test-64e84f7e-46fc-412e-bc0a-f3ea8ba12bb9.png.296x216.jpg', '依云曦城 3室2厅 195万', '依云曦城  | 3室2厅 | 101平米 | 南 | 其他', '低楼层(共32层)塔楼  -  狮山', '195万', '单价19307元/平米')
('https://image1.ljcdn.com/440600-inspection/faf2df09-1849-4780-8b40-e3d1dca9977f.JPG.296x216.jpg', '翠湖绿洲花园 2室2厅 100万', '翠湖绿洲花园  | 2室2厅 | 65平米 | 南 | 其他', '低楼层(共14层)2014年建塔楼  -  罗村', '100万', '单价15385元/平米')
('https://image1.ljcdn.com/440600-inspection/37055e47-16ea-4bff-8b4d-d52d11f877a4.jpg.296x216.jpg', '上林苑 户型实用', '上林苑  | 2室2厅 | 72.22平米 | 西南 | 毛坯', '低楼层(共18层)2013年建塔楼  -  狮山', '95万', '单价13155元/平米')
('https://image1.ljcdn.com/440600-inspection/test-602370dc-78b3-4082-809c-d945a59c3bf5.png.296x216.jpg', '万科金色领域 2室2厅 120万', '万科金色领域  | 2室2厅 | 65平米 | 西南 | 其他', '高楼层(共46层)2016年建塔楼  -  佛平路', '120万', '单价18462元/平米')
('https://image1.ljcdn.com/440600-inspection/3f3edd4e-8a0e-49bf-b17d-515626763468.jpg.296x216.jpg', '海景花园 2室2厅 130万', '海景花园  | 2室2厅 | 95.7平米 | 东南 | 精装', '高楼层(共8层)塔楼  -  千灯湖', '130万', '单价13585元/平米')
('https://image1.ljcdn.com/440600-inspection/d0ec1af2-0080-46fa-9bb1-a941bc71f3d9.JPG.296x216.jpg', '中恒海晖城 3室2厅 130万', '中恒海晖城  | 3室2厅 | 88平米 | 北 | 其他', '中楼层(共31层)2018年建塔楼  -  狮山', '130万', '单价14773元/平米')
('https://image1.ljcdn.com/440600-inspection/82d05c86-27a5-4eae-a0f1-a55b9b3875e2.jpg.296x216.jpg', '利海尖东半岛 装修三房', '利海尖东半岛花园  | 3室2厅 | 78.89平米 | 南 | 其他', '中楼层(共6层)2010年建板楼  -  平洲', '147万', '单价18634元/平米')
('https://image1.ljcdn.com/440600-inspection/db92a4b0-c9b7-4eee-b835-a311b7b94239.jpg.296x216.jpg', '丽雅苑北区 4室2厅 290万', '丽雅苑北区  | 4室2厅 | 162.66平米 | 东南 | 简装', '低楼层(共28层)2002年建塔楼  -  桂城北（南海广场）', '290万', '单价17829元/平米')
('https://image1.ljcdn.com/440600-inspection/5b970e2d-000f-48c6-a169-fdedca757d1d.jpg.296x216.jpg', '鹿璟村 3室2厅 195万', '鹿璟村  | 3室2厅 | 91.4平米 | 北 | 其他', '高楼层(共26层)2003年建塔楼  -  桂城东（城市广场）', '195万', '单价21335元/平米')
('https://image1.ljcdn.com/440600-inspection/95b48dcc-f139-441c-a13a-6dcd6e380dca.jpg.296x216.jpg', '中南海晖园 交通便利', '中南海晖园  | 2室2厅 | 70平米 | 北 | 简装', '中楼层(共11层)2005年建塔楼  -  黄岐', '180万', '单价25715元/平米')
('https://image1.ljcdn.com/440600-inspection/8bea8a77-b6ce-4481-a3d2-ba1c211e91ce.jpg.296x216.jpg', '富南广场电梯三房 户型方正 满五年唯一 无按揭', '富南广场  | 3室2厅 | 86平米 | 北 | 其他', '低楼层(共23层)2001年建塔楼  -  平洲', '110万', '单价12791元/平米')
('https://image1.ljcdn.com/440600-inspection/35ed7bbf-1595-4b40-a77b-befa853a2c1d.JPG.296x216.jpg', '罗湖花园 2室1厅 80万', '罗湖花园  | 2室1厅 | 68平米 | 南 北 | 其他', '中楼层(共8层)2003年建塔楼  -  罗村', '80万', '单价11765元/平米')
('https://image1.ljcdn.com/440600-inspection/f09adaa0-2abc-486a-aab2-b57661f9bea3.jpg.296x216.jpg', '鹿璟村鹿康居 6室2厅 450万', '鹿璟村鹿康居  | 6室2厅 | 228.12平米 | 南 | 精装', '高楼层(共15层)2003年建塔楼  -  桂城东（城市广场）', '450万', '单价19727元/平米')
('https://image1.ljcdn.com/440600-inspection/4efa9de7-5980-4c92-8793-1798ace93d54.jpg.296x216.jpg', '沙面新城 2房2厅 120万元', '沙面新城  | 2室2厅 | 76平米 | 北 | 简装', '中楼层(共7层)2016年建塔楼  -  黄岐', '115万', '单价15132元/平米')
('https://image1.ljcdn.com/440600-inspection/9c93f663-e54b-4851-956b-b52196a69581.JPG.296x216.jpg', '华福御水岸 3室2厅 210万', '华福御水岸  | 3室2厅 | 89平米 | 南 北 | 其他', '中楼层(共31层)塔楼  -  平洲', '210万', '单价23596元/平米')
('https://image1.ljcdn.com/440600-inspection/86c7d05a-2edf-4d1c-ae18-491baa1ae1ff.jpg.296x216.jpg', '康怡丽苑二期 3室2厅 184万', '康怡丽苑二期  | 3室2厅 | 88.25平米 | 北 | 其他', '低楼层(共22层)2006年建塔楼  -  平洲', '184万', '单价20850元/平米')
('https://image1.ljcdn.com/440600-inspection/d5b2415d-6461-4aff-8b08-39b41ff6a777.jpg.296x216.jpg', '祈福南湾半岛 格局方正 仙湖东岸 环境优美', '祈福南湾半岛  | 2室2厅 | 73.29平米 | 东南 | 精装', '高楼层(共6层)2016年建板楼  -  丹灶', '85万', '单价11598元/平米')
('https://image1.ljcdn.com/440600-inspection/4cad5d34-f865-4a7e-ba5c-670dd9c3e51a.jpg.296x216.jpg', '中恒海晖城', '中恒海晖城  | 3室2厅 | 88.99平米 | 北 | 其他', '中楼层(共17层)2018年建塔楼  -  狮山', '130万', '单价14609元/平米')
('https://image1.ljcdn.com/440600-inspection/fc417feb-ce67-4a4a-baa4-c57628469136.jpg.296x216.jpg', '中海千灯湖花园 4室2厅 578万', '中海千灯湖花园  | 4室2厅 | 186平米 | 东南 | 其他', '低楼层(共44层)2013年建塔楼  -  千灯湖', '578万', '单价31076元/平米')
('https://image1.ljcdn.com/440600-inspection/38e9d692-4259-4c5b-a80f-ec7bf47597e2.jpg.296x216.jpg', '佳兆业滨江一号 3室2厅 250万', '佳兆业滨江一号  | 3室2厅 | 89.49平米 | 北 | 精装', '中楼层(共34层)2014年建塔楼  -  千灯湖', '250万', '单价27937元/平米')
('https://image1.ljcdn.com/440600-inspection/941b6bdf-c414-4710-9d76-730fc532576d.jpg.296x216.jpg', '中海锦城国际花园 4室2厅 380万', '中海锦城国际花园  | 4室2厅 | 141.41平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  千灯湖', '380万', '单价26873元/平米')
('https://image1.ljcdn.com/440600-inspection/f31a6fd0-4a2f-459c-a5ca-17038070e486.jpg.296x216.jpg', '怡翠世嘉花园 三房两厅', '怡翠世嘉花园  | 3室2厅 | 108平米 | 西南 | 毛坯', '低楼层(共28层)2012年建塔楼  -  平洲', '216万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/59fecd0c-4ee5-4be3-b185-59a2cf0c7890.jpg.296x216.jpg', '万达华府 四房两厅 带装修未住', '万达华府  | 4室2厅 | 132平米 | 南 北 | 其他', '低楼层(共52层)2014年建塔楼  -  千灯湖', '422.4万', '单价32000元/平米')
('https://image1.ljcdn.com/440600-inspection/3f0aaa96-251c-44ac-b4a6-c3fb68fd6f6d.JPG.296x216.jpg', '都市晴园翠雅苑 3室2厅 120万', '都市晴园翠雅苑  | 3室2厅 | 95.17平米 | 南 北 | 精装', '低楼层(共7层)2009年建塔楼  -  丹灶', '120万', '单价12610元/平米')
('https://image1.ljcdn.com/440600-inspection/ac997c82-c21d-43bc-8667-5838b9e7fa53.jpg.296x216.jpg', '保利西雅图 3室2厅 215万', '保利西雅图  | 3室2厅 | 95平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  平洲', '215万', '单价22632元/平米')
('https://image1.ljcdn.com/440600-inspection/941739e3-e733-4c0c-a8fc-3ae1fae7d231.jpg.296x216.jpg', '鹿璟村 交通方便 三房两厅', '鹿璟村鹿康居  | 3室2厅 | 115平米 | 北 | 简装', '中楼层(共15层)2003年建塔楼  -  桂城东（城市广场）', '220万', '单价19131元/平米')
('https://image1.ljcdn.com/440600-inspection/a75812bd-e4ba-433e-92e9-080f29e270fe.jpg.296x216.jpg', '保利花园 3房2厅 400万元', '保利花园一期  | 3室2厅 | 133.45平米 | 南 | 精装', '高楼层(共18层)2009年建塔楼  -  千灯湖', '400万', '单价29974元/平米')
('https://image1.ljcdn.com/440600-inspection/35fa1e30-f7fa-488f-8cd2-9161b49b2380.JPG.296x216.jpg', '鹿璟村 北向三房 前后花园', '鹿璟村鹿锦居  | 3室2厅 | 107.45平米 | 北 | 简装', '低楼层(共13层)2003年建塔楼  -  桂城东（城市广场）', '196万', '单价18242元/平米')
('https://image1.ljcdn.com/440600-inspection/11ec6259-8b1b-4a72-8282-6528612cca3d.jpg.296x216.jpg', '御景苑 3室2厅 222万', '御景苑  | 3室2厅 | 125平米 | 南 | 简装', '15层2003年建板塔结合  -  千灯湖', '222万', '单价17760元/平米')
('https://image1.ljcdn.com/440600-inspection/6cc26fbe-44f4-454c-ac47-d63c002390d6.jpg.296x216.jpg', '保利花园 带装修', '保利花园一期  | 3室2厅 | 160平米 | 东南 | 其他', '低楼层(共7层)2009年建塔楼  -  千灯湖', '520万', '单价32500元/平米')
('https://image1.ljcdn.com/440600-inspection/c995301e-e4c0-47af-a8ae-f480b6d48b1b.jpg.296x216.jpg', '怡翠世嘉花园 3房户型', '怡翠世嘉花园  | 3室2厅 | 88.41平米 | 南 北 | 毛坯', '低楼层(共32层)2012年建塔楼  -  平洲', '195万', '单价22057元/平米')
('https://image1.ljcdn.com/440600-inspection/08f7167c-71f6-4218-9dd2-6d42f91581b4.jpg.296x216.jpg', '御水岸 电梯3房 南北对流', '华福御水岸  | 3室2厅 | 91.21平米 | 南 | 精装', '低楼层(共31层)塔楼  -  平洲', '220万', '单价24121元/平米')
('https://image1.ljcdn.com/440600-inspection/test-48a3416a-8f7d-4984-bdea-193ea8d39236.png.296x216.jpg', '万科金色领域 户型格局  高层单位', '万科金色领域  | 1室1厅 | 31.66平米 | 东 | 其他', '高楼层(共40层)2016年建塔楼  -  佛平路', '43万', '单价13582元/平米')
('https://image1.ljcdn.com/440600-inspection/10fef977-3e0d-4524-a678-d1519899e56a.jpg.296x216.jpg', '罗村龙光君悦龙庭 成熟配套小区', '龙光君悦龙庭  | 4室2厅 | 116.19平米 | 北 | 毛坯', '中楼层(共19层)2014年建塔楼  -  罗村', '170万', '单价14632元/平米')
