('https://image1.ljcdn.com/370600-inspection/02e6fd8e-c06d-4473-b5c4-a6916f3a1670.JPG.296x216.jpg', '房子是精装修的 户型特别方正 南北通透', '中海紫御公馆  | 3室2厅 | 141平米 | 南 北 | 精装', '中楼层(共33层)2013年建板塔结合  -  科技大道', '228万', '单价16171元/平米')
('https://image1.ljcdn.com/370600-inspection/0a08490e-599a-4e3f-bbb1-27a7a684f510.jpg.296x216.jpg', '中海紫御公馆 3室1厅 212万', '中海紫御公馆  | 3室1厅 | 141.43平米 | 南 北 | 其他', '中楼层(共33层)2013年建板楼  -  科技大道', '212万', '单价14990元/平米')
('https://image1.ljcdn.com/370600-inspection/test-c183183c-4d10-4840-acfb-20332e54f2c6.png.296x216.jpg', '纯南向两居室 客厅可通外面露台 非常实用', '博源名都  | 2室2厅 | 90.4平米 | 南 | 精装', '低楼层(共28层)2016年建板楼  -  高新区周边', '105万', '单价11616元/平米')
('https://image1.ljcdn.com/370600-inspection/df6a805f-2282-4275-af2b-6e05ee8c6f72.jpg.296x216.jpg', '毛坯海景现房，高品质小区，楼层高视野无遮挡', '中海紫御公馆  | 4室2厅 | 254平米 | 南 西 北 | 毛坯', '高楼层(共30层)2013年建板楼  -  科技大道', '350万', '单价13780元/平米')
('https://image1.ljcdn.com/370600-inspection/87fa3f0f-6478-4fcc-9fb0-88dbd9b04e7e.jpg.296x216.jpg', '中海紫御公馆 4室1厅 186万', '中海紫御公馆  | 4室1厅 | 141平米 | 南 北 | 其他', '低楼层(共33层)2013年建板楼  -  科技大道', '186万', '单价13192元/平米')
('https://image1.ljcdn.com/370600-inspection/test-9eb4f366-33f1-4d75-bf3f-31c25ed9b135.png.296x216.jpg', '中海国际小两居 南北通透一梯两户', '中海国际社区  | 2室1厅 | 72平米 | 南 北 | 其他', '高楼层(共33层)2017年建塔楼  -  科技大道', '86万', '单价11945元/平米')
('https://image1.ljcdn.com/370600-inspection/0b3953ac-739c-4d49-8868-70d52d94bc20.jpg.296x216.jpg', '中海品质楼盘，楼层好视野棒能看海，精装送家具家电', '中海银海熙岸  | 3室1厅 | 109.21平米 | 南 北 | 精装', '中楼层(共18层)2013年建板塔结合  -  东泊子', '165万', '单价15109元/平米')
('https://image1.ljcdn.com/370600-inspection/15926772-d8fe-4a3b-a69a-073e90e86deb.jpg.296x216.jpg', '看海大四居，南厅双南卧，通透性好带车位。', '中海紫御公馆  | 4室2厅 | 192.26平米 | 南 | 毛坯', '低楼层(共32层)2013年建板塔结合  -  科技大道', '258万', '单价13420元/平米')
('https://image1.ljcdn.com/370600-inspection/8c966673-35da-4c57-b7d9-b59f6e6bb56c.jpg.296x216.jpg', '中海国际社区 3室2厅 140万', '中海国际社区  | 3室2厅 | 95平米 | 南 北 | 其他', '中楼层(共33层)2018年建塔楼  -  科技大道', '140万', '单价14737元/平米')
('https://image1.ljcdn.com/370600-inspection/f30e4f79-7c90-44a2-b9bd-0c28d6d55493.jpg.296x216.jpg', '国际社区南北通透三居室精装修有车位家具家电全送！', '中海国际社区  | 3室2厅 | 95平米 | 南 北 | 精装', '高楼层(共33层)2017年建塔楼  -  科技大道', '130万', '单价13685元/平米')
('https://image1.ljcdn.com/370600-inspection/85816889-09bf-48bf-a9bb-c4d7c9cad66a.jpg.296x216.jpg', '马山寨洋房顶复，南北通透，采光充足', '马山寨海景豪庭  | 4室1厅 | 254平米 | 南 北 | 毛坯', '高楼层(共4层)2012年建板楼  -  东泊子', '360万', '单价14174元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadec1c6186-a16b-48cf-9389-fdda153c92d0.jpg.296x216.jpg', '中海紫御公馆 毛坯海景现房 品质小区 高楼层视野开阔', '中海紫御公馆  | 5室1厅 | 281.48平米 | 南 北 | 毛坯', '高楼层(共32层)2013年建板楼  -  科技大道', '370万', '单价13145元/平米')
('https://image1.ljcdn.com/370600-inspection/fad6d301-3339-44dd-8b45-cced3c14f3fc.jpg.296x216.jpg', '中高楼层，房间采光好，海景房。', '金地澜悦  | 3室2厅 | 151.16平米 | 南 北 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '200万', '单价13232元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload44942691-812a-4073-a592-7c08a658a784.jpg.296x216.jpg', '中海国际小高层赠送车位，三室全明产证在手，看房方便', '中海国际社区  | 3室2厅 | 115.29平米 | 南 北 | 毛坯', '中楼层(共15层)2017年建塔楼  -  科技大道', '158万', '单价13705元/平米')
('https://image1.ljcdn.com/370600-inspection/test-f60ad910-0ab6-436b-9ef6-e868e3ed99a3.png.296x216.jpg', '房子是一楼带院 纯南向两居室 精装修未住', '博源名都  | 2室2厅 | 93.4平米 | 南 | 精装', '低楼层(共24层)2016年建板楼  -  高新区周边', '128万', '单价13705元/平米')
('https://image1.ljcdn.com/370600-inspection/604e57f5-7335-48a3-973f-bd42f0712456.jpg.296x216.jpg', '中海国际社区新上毛坯三居室，东打头全明户型！', '中海国际社区  | 3室2厅 | 109.72平米 | 南 北 | 毛坯', '高楼层(共34层)2017年建塔楼  -  科技大道', '139万', '单价12669元/平米')
('https://image1.ljcdn.com/370600-inspection/test-0afa2293-221e-457a-b3bb-03dfb32fdbca.png.296x216.jpg', '中间楼层，精装修，拎包入住，采光视野好。无遮挡。', '中海银海熙岸  | 2室1厅 | 82.83平米 | 南 北 | 其他', '中楼层(共19层)2013年建板塔结合  -  东泊子', '118万', '单价14247元/平米')
('https://image1.ljcdn.com/370600-inspection/40cac21e-9e03-4483-9d8b-634c5153c79d.jpg.296x216.jpg', '中海紫御公馆装修三居室 带小棚', '中海紫御公馆  | 3室2厅 | 141.87平米 | 南 北 | 精装', '中楼层(共33层)2013年建板塔结合  -  科技大道', '212万', '单价14944元/平米')
('https://image1.ljcdn.com/370600-inspection/f40f5f44-26f8-4a9c-a9e0-a1f5ae2d9fe9.jpg.296x216.jpg', '户型南北通透  固定装修 采光无遮挡', '金地澜悦  | 3室2厅 | 112平米 | 南 北 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '140万', '单价12500元/平米')
('https://image1.ljcdn.com/370600-inspection/7396cdd9-d778-4b5b-bed2-6f8370e47ea9.jpg.296x216.jpg', '户型方正，通透两居，毛坯，中间楼层，采光视野好', '中海国际社区  | 2室2厅 | 70平米 | 南 北 | 其他', '高楼层(共34层)2017年建塔楼  -  科技大道', '85万', '单价12143元/平米')
('https://image1.ljcdn.com/370600-inspection/77f1781c-869d-4cda-8a83-ed4f33161d94.JPG.296x216.jpg', '中海海悦府多层电梯洋房，一梯两户南北通透南厅双南卧', '中海海悦府  | 4室2厅 | 141平米 | 南 北 | 其他', '中楼层(共6层)2016年建板楼  -  科技大道', '220万', '单价15603元/平米')
('https://image1.ljcdn.com/370600-inspection/4e79ab01-e4f6-4b45-87ba-4bf548335884.jpg.296x216.jpg', '力高阳光海岸 4室2厅 150万', '力高阳光海岸  | 4室2厅 | 124平米 | 南 北 | 其他', '低楼层(共33层)2016年建板楼  -  牟平', '150万', '单价12097元/平米')
('https://image1.ljcdn.com/370600-inspection/fd4c02f1-9ee3-45de-9893-8a0c4c2673d3.jpg.296x216.jpg', '中海国际社区 2室2厅 95万', '中海国际社区  | 2室2厅 | 69.95平米 | 南 北 | 精装', '中楼层(共33层)2017年建塔楼  -  科技大道', '95万', '单价13582元/平米')
('https://image1.ljcdn.com/370600-inspection/23581b70-95b6-41a2-86b1-5ff911678ef3.jpg.296x216.jpg', '带大露台！南北通透大三居！央企开发，配套齐全', '中海国际社区  | 3室2厅 | 114平米 | 南 北 | 其他', '低楼层(共19层)2017年建塔楼  -  科技大道', '136万', '单价11930元/平米')
('https://image1.ljcdn.com/370600-inspection/eb489aca-d36c-4e93-9771-977a0d95905d.jpg.296x216.jpg', '品质小区，满两年不满五年，小区背排，视野采光没问题', '中海银海熙岸  | 3室1厅 | 117.97平米 | 南 北 | 精装', '高楼层(共33层)2013年建板塔结合  -  东泊子', '178万', '单价15089元/平米')
('https://image1.ljcdn.com/370600-inspection/4464a29b-0a56-47a7-89ee-6cbcc2f53a14.jpg.296x216.jpg', '银海熙岸精装修大三居 高楼层观海效果很好 双南卧南厅', '中海银海熙岸  | 3室2厅 | 136.8平米 | 南 北 | 精装', '高楼层(共33层)2013年建板塔结合  -  东泊子', '200万', '单价14620元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb83a1dbe-b99d-4e1c-9270-1cc685710415.jpg.296x216.jpg', '央企开发，高档小区，精装修，满二，带19.8平小棚', '中海紫御公馆  | 3室2厅 | 141.86平米 | 南 北 | 其他', '中楼层(共33层)2013年建板塔结合  -  科技大道', '220万', '单价15509元/平米')
('https://image1.ljcdn.com/370600-inspection/222197b6-261d-403e-b4b9-2cc1e7f48094.jpg.296x216.jpg', '小区最南排采光无遮挡，南北通透，看房随时', '海天雅筑  | 4室2厅 | 158平米 | 南 北 | 毛坯', '低楼层(共28层)暂无数据  -  科技大道', '180万', '单价11393元/平米')
('https://image1.ljcdn.com/370600-inspection/aa731a76-87fc-4c4d-b9b2-5255ba32ec13.jpg.296x216.jpg', '房子两个北向卧室，海景好，精装修', '金地澜悦  | 2室1厅 | 87.93平米 | 北 | 其他', '高楼层(共25层)2012年建塔楼  -  牟平', '85万', '单价9667元/平米')
('https://image1.ljcdn.com/370600-inspection/e52ecc59-f294-4b42-a4fd-38368f767e84.jpg.296x216.jpg', '中海银海熙岸 2室1厅 115万', '中海银海熙岸  | 2室1厅 | 84.05平米 | 南 北 | 其他', '中楼层(共19层)2013年建板塔结合  -  东泊子', '115万', '单价13683元/平米')
('https://image1.ljcdn.com/370600-inspection/0b011e35-73e1-499b-95eb-5face782fc66.jpg.296x216.jpg', '南北通透两居室   精装修 中间楼层 采光无遮挡', '力高阳光海岸  | 2室1厅 | 81.58平米 | 南 北 | 其他', '中楼层(共30层)2016年建板楼  -  牟平', '111万', '单价13607元/平米')
('https://image1.ljcdn.com/370600-inspection/c4d8ce27-be97-4f91-b53e-54c282145f86.jpg.296x216.jpg', '此房为公寓 产权40年 精装修 都是环保材料 小区品质好', '金地澜悦  | 1室1厅 | 67.82平米 | 北 | 精装', '低楼层(共25层)2012年建塔楼  -  牟平', '56万', '单价8258元/平米')
('https://image1.ljcdn.com/370600-inspection/513caafc-1748-4a92-b540-e16c1ddccf2c.jpg.296x216.jpg', '南北通透  耳朵户型  经典三居', '中海国际社区  | 3室2厅 | 114.02平米 | 南 北 | 简装', '低楼层(共19层)2017年建塔楼  -  科技大道', '145万', '单价12718元/平米')
('https://image1.ljcdn.com/370600-inspection/bebe94b9-0b5b-46df-a9d2-f1f974024e0e.jpg.296x216.jpg', '海天雅筑 4室2厅 180万', '海天雅筑  | 4室2厅 | 158平米 | 南 北 | 其他', '中楼层(共28层)暂无数据  -  科技大道', '180万', '单价11393元/平米')
('https://image1.ljcdn.com/370600-inspection/ee041bcd-515f-4dfe-babf-c84e22a1c311.jpg.296x216.jpg', '南北通透三居室，双南卧南客厅，视野好，观景效果好', '中海银海熙岸  | 3室1厅 | 116.94平米 | 南 北 | 精装', '高楼层(共34层)2013年建板塔结合  -  东泊子', '160万', '单价13683元/平米')
('https://image1.ljcdn.com/370600-inspection/ecfa534c-ee97-4221-8066-0ba377236ee4.jpg.296x216.jpg', '楼层可看海，南厅双南卧，四居室，餐客厅都带大阳台、', '中海紫御公馆  | 4室2厅 | 193.68平米 | 南 北 | 毛坯', '中楼层(共32层)2013年建板塔结合  -  科技大道', '285万', '单价14715元/平米')
('https://image1.ljcdn.com/370600-inspection/9ea346e1-a393-4ba7-92ef-473a674da06d.jpg.296x216.jpg', '中海紫御公馆品质小区 高楼层采光好视野好 海景现房、', '中海紫御公馆  | 5室1厅 | 281.48平米 | 南 北 | 毛坯', '高楼层(共32层)2013年建板楼  -  科技大道', '370万', '单价13145元/平米')
('https://image1.ljcdn.com/370600-inspection/31a2f069-f0c3-4f40-bb8e-0ceeb64ca965.jpg.296x216.jpg', '中海银海熙岸 2室1厅 116万', '中海银海熙岸  | 2室1厅 | 83.94平米 | 南 北 | 其他', '高楼层(共19层)2013年建板塔结合  -  东泊子', '116万', '单价13820元/平米')
('https://image1.ljcdn.com/370600-inspection/335fd7e7-8df0-4ebd-914c-73777237ff4d.JPG.296x216.jpg', '中海紫御公馆 4室2厅 225万', '中海紫御公馆  | 4室2厅 | 141平米 | 南 北 | 其他', '高楼层(共33层)2013年建板楼  -  科技大道', '225万', '单价15958元/平米')
('https://image1.ljcdn.com/370600-inspection/282f78ae-4a58-40fa-831a-b34bdc438580.jpg.296x216.jpg', '中海紫御公馆毛坯改善大四居可做五居室，东打头看海好', '中海紫御公馆  | 4室2厅 | 281平米 | 南 北 | 毛坯', '高楼层(共32层)2013年建板楼  -  科技大道', '380万', '单价13524元/平米')
('https://image1.ljcdn.com/370600-inspection/201a9335-e127-441f-bb2b-eb66833716e1.jpg.296x216.jpg', '中海国际社区低楼层南北通透三居室', '中海国际社区  | 3室2厅 | 94.36平米 | 南 北 | 其他', '低楼层(共33层)2018年建塔楼  -  科技大道', '120万', '单价12718元/平米')
('https://image1.ljcdn.com/370600-inspection/7237b59e-79f3-4925-83a7-6125abffad48.JPG.296x216.jpg', '中海国际社区 2室1厅 86万', '中海国际社区  | 2室1厅 | 72.4平米 | 南 北 | 其他', '高楼层(共33层)2017年建塔楼  -  科技大道', '86万', '单价11879元/平米')
('https://image1.ljcdn.com/370600-inspection/cf84ea5a-298c-4d12-86fb-4d89cd8cb4cb.jpg.296x216.jpg', '高档社区  无遮挡 精装修 房主配合', '中海紫御公馆  | 2室2厅 | 97.76平米 | 南 | 精装', '高楼层(共33层)2013年建板塔结合  -  科技大道', '145万', '单价14833元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadabd19f16-fe19-43c7-8d13-edce8ff8d340.jpg.296x216.jpg', '此房南厅双南卧 全明户型 中高楼层 采光好', '金地澜悦  | 3室2厅 | 112.32平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '130万', '单价11575元/平米')
('https://image1.ljcdn.com/370600-inspection/cd2ec203-3e86-4270-aae2-b891a9753723.jpg.296x216.jpg', '海天雅筑  小区最南排 靠海不近海 精装修 能贷款', '海天雅筑  | 4室2厅 | 158.6平米 | 南 北 | 精装', '中楼层(共28层)暂无数据  -  科技大道', '200万', '单价12611元/平米')
('https://image1.ljcdn.com/370600-inspection/8324ca79-073b-47a8-b022-38f3d79f445a.jpg.296x216.jpg', '中海紫御公馆四居室，改善，看房一般方便', '中海紫御公馆  | 4室2厅 | 193.48平米 | 南 北 | 毛坯', '中楼层(共32层)2013年建板塔结合  -  科技大道', '280万', '单价14472元/平米')
('https://image1.ljcdn.com/370600-inspection/e7ddbd73-5e30-47b8-a789-f5baa6a94f44.jpg.296x216.jpg', '中海国际社区新上精装三居室+赠送小棚装修基本未住！', '中海国际社区  | 3室2厅 | 109.72平米 | 南 北 | 精装', '高楼层(共34层)2017年建塔楼  -  科技大道', '154万', '单价14036元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload47621c77-6866-4f40-8585-83ac557908dd.jpg.296x216.jpg', '两层复式   60平大露台 可做两户 不是顶楼', '金地澜悦  | 6室3厅 | 241.06平米 | 南 北 | 其他', '高楼层(共29层)2012年建板楼  -  牟平', '340万', '单价14105元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadeb9a0322-e38e-40f9-a36f-7436d528c165.jpg.296x216.jpg', '中海国际社区 2室1厅 105万', '中海国际社区  | 2室1厅 | 71平米 | 南 | 其他', '中楼层(共33层)2017年建塔楼  -  科技大道', '105万', '单价14789元/平米')
('https://image1.ljcdn.com/370600-inspection/cba2cacb-8ec3-4198-9ca1-ee36ef18fdfb.jpg.296x216.jpg', '紫御公馆精装修 两梯两户 南北通透 户型方正设计合理', '中海紫御公馆  | 4室2厅 | 190.59平米 | 南 北 | 精装', '低楼层(共32层)2013年建板塔结合  -  科技大道', '300万', '单价15741元/平米')
('https://image1.ljcdn.com/370600-inspection/0fbd9ce1-33d7-4306-a8ae-c576dc5f7ee7.jpg.296x216.jpg', '精装修三室 通透 看房方便 全明户型 全天采光', '中海紫御公馆  | 4室1厅 | 143平米 | 南 北 | 精装', '中楼层(共33层)2013年建板楼  -  科技大道', '208万', '单价14546元/平米')
('https://image1.ljcdn.com/370600-inspection/dce13ed3-4d25-4ec3-9bdd-069f1efbf953.jpg.296x216.jpg', '小高层160平 四居室 满足多人口家庭', '马山寨海景豪庭  | 4室2厅 | 169.63平米 | 南 北 | 毛坯', '低楼层(共18层)2012年建塔楼  -  东泊子', '156万', '单价9197元/平米')
('https://image1.ljcdn.com/370600-inspection/68f1079b-c021-4d54-9d53-48cb537023ce.jpg.296x216.jpg', '中海紫御公馆纯南向两居室，采光无遮挡，视野好', '中海紫御公馆  | 2室2厅 | 96.67平米 | 南 | 毛坯', '高楼层(共33层)2013年建板楼  -  科技大道', '120万', '单价12414元/平米')
('https://image1.ljcdn.com/370600-inspection/7c462c6c-5722-429f-b70a-dceee1b329ad.jpg.296x216.jpg', '南北通透格局，视野宽阔，采光充足，配套齐全，', '力高阳光海岸  | 3室2厅 | 110平米 | 南 北 | 其他', '低楼层(共30层)2016年建板楼  -  牟平', '132万', '单价12000元/平米')
('https://image1.ljcdn.com/370600-inspection/afbac68a-ecba-4186-8303-522b7d89ad82.jpg.296x216.jpg', '房子是上下复试 毛坯房可随时装修 户型方正可看海', '中海银海熙岸  | 4室2厅 | 173.93平米 | 南 北 | 毛坯', '高楼层(共19层)2013年建板塔结合  -  东泊子', '220万', '单价12649元/平米')
('https://image1.ljcdn.com/370600-inspection/de8c01ee-1cbc-4bf7-bfaf-c99ea2b3f56f.jpg.296x216.jpg', '此房子满两年了  房主自己出个税 和中介费', '金地澜悦  | 3室2厅 | 112平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '145万', '单价12947元/平米')
('https://image1.ljcdn.com/370600-inspection/aa66c30c-f185-4390-9634-1ba9192fab0e.jpg.296x216.jpg', '高新区管委旁，精装三居室，南厅双南卧', '中海国际社区  | 3室2厅 | 94.3平米 | 南 北 | 其他', '高楼层(共33层)2018年建塔楼  -  科技大道', '135万', '单价14317元/平米')
('https://image1.ljcdn.com/370600-inspection/a0710e4b-d0d4-4bfd-84a0-a3f4cfbdd863.jpg.296x216.jpg', '南北通透大两居室，可改三居室，小高层，不临街', '中海国际社区  | 2室2厅 | 121平米 | 南 北 | 其他', '低楼层(共19层)暂无数据  -  科技大道', '135万', '单价11158元/平米')
('https://image1.ljcdn.com/370600-inspection/b5ff173a-31f7-43a1-bfbb-db49a1a493fb.jpg.296x216.jpg', '中海紫御公馆 4室2厅 325万', '中海紫御公馆  | 4室2厅 | 253.11平米 | 南 北 | 毛坯', '低楼层(共30层)2013年建板楼  -  科技大道', '325万', '单价12841元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploada1f682f2-0a7c-400a-b468-0b30524fe7d9.jpg.296x216.jpg', '南北通透 采光充足 户型方正 中高楼层', '力高阳光海岸  | 3室2厅 | 88.41平米 | 南 北 | 其他', '高楼层(共27层)2016年建板楼  -  牟平', '105万', '单价11877元/平米')
('https://image1.ljcdn.com/370600-inspection/db68934a-3940-4dc2-b1c1-c3d945fd007c.jpg.296x216.jpg', '中高楼层，房间采光好，海景房。', '金地澜悦  | 3室2厅 | 151平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  牟平', '200万', '单价13246元/平米')
('https://image1.ljcdn.com/370600-inspection/dcc90551-eaa0-4642-9ad1-7245c7b0ed70.JPG.296x216.jpg', '中海银海熙岸新上精装三居室+北排海景全明户型+看房约', '中海银海熙岸  | 3室2厅 | 117.97平米 | 南 北 | 精装', '中楼层(共33层)2013年建板塔结合  -  东泊子', '180万', '单价15259元/平米')
('https://image1.ljcdn.com/370600-inspection/3d80cb9e-1028-4edb-807e-223b16d8b8c5.jpg.296x216.jpg', '海边精装大两居，视野好，采光充足', '马山寨海景豪庭  | 2室2厅 | 95.89平米 | 南 北 | 精装', '中楼层(共18层)2012年建塔楼  -  东泊子', '120万', '单价12515元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadfe1cdd32-1a27-4208-90f4-a73ad2f3cc0e.jpg.296x216.jpg', '小区是金地开发，开发商实力雄厚，是国内的品牌地产', '金地澜悦  | 3室1厅 | 151平米 | 南 北 | 其他', '高楼层(共29层)2012年建板楼  -  牟平', '230万', '单价15232元/平米')
('https://image1.ljcdn.com/370600-inspection/d061ec71-07a6-47b1-bae5-512afd52d47a.jpg.296x216.jpg', '紫御公馆改善4居室，中间楼层，两梯三户，带车位', '中海紫御公馆  | 4室2厅 | 141平米 | 南 北 | 其他', '中楼层(共33层)2013年建板楼  -  科技大道', '240万', '单价17022元/平米')
('https://image1.ljcdn.com/370600-inspection/1bdceaca-59f3-458e-958a-60419ed09fef.jpg.296x216.jpg', '精装修两居室 小高层 小区南排 前后无遮挡 采光通风好', '中海银海熙岸  | 2室2厅 | 85.96平米 | 南 北 | 精装', '低楼层(共18层)2013年建板塔结合  -  东泊子', '125万', '单价14542元/平米')
('https://image1.ljcdn.com/370600-inspection/ed361449-b018-4c41-adcf-7ad54ea27f72.jpg.296x216.jpg', '中海海悦府 3室2厅 245万', '中海海悦府  | 3室2厅 | 121.46平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  科技大道', '245万', '单价20172元/平米')
('https://image1.ljcdn.com/370600-inspection/599926a3-16e8-4ed7-b5a0-7da8db92eb2b.jpg.296x216.jpg', '中海银海熙岸精装两居室，小区最南排，中高楼层', '中海银海熙岸  | 2室1厅 | 82.83平米 | 南 北 | 其他', '高楼层(共19层)2013年建板塔结合  -  东泊子', '110万', '单价13281元/平米')
('https://image1.ljcdn.com/370600-inspection/f8911135-3cf3-4147-bd3e-68c0dd78dbed.jpg.296x216.jpg', '南北通透格局，视野宽阔，采光充足，环境优美', '力高阳光海岸  | 3室2厅 | 81.58平米 | 南 北 | 其他', '中楼层(共30层)2016年建板楼  -  牟平', '108万', '单价13239元/平米')
('https://image1.ljcdn.com/370600-inspection/47518865-e994-4895-9c98-a18c7bffb7d4.jpg.296x216.jpg', '中海紫御公馆 6室1厅 410万', '中海紫御公馆  | 6室1厅 | 281平米 | 南 北 | 其他', '高楼层(共32层)2013年建板楼  -  科技大道', '410万', '单价14591元/平米')
('', '中海紫御公馆 1室1厅 72万', '中海紫御公馆  | 1室1厅 | 61平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  科技大道', '72万', '单价11804元/平米')
('https://image1.ljcdn.com/370600-inspection/e64e7332-5d7a-4e01-ab13-6f26d77ed421.jpg.296x216.jpg', '中海银海熙岸新上三居室+东打头好楼层+实木装拎包住！', '中海银海熙岸  | 3室2厅 | 138.06平米 | 南 北 | 精装', '中楼层(共19层)2013年建板塔结合  -  东泊子', '225万', '单价16298元/平米')
('', '海天雅筑 3室3厅 195万', '海天雅筑  | 3室3厅 | 157.8平米 | 南 | 简装', '高楼层(共28层)暂无数据  -  科技大道', '195万', '单价12358元/平米')
('https://image1.ljcdn.com/370600-inspection/8104dc3f-ec70-4c69-91e9-e9ada8aae959.jpg.296x216.jpg', '海景豪庭精装三居室 中高楼层可观海 采光无影响', '马山寨海景豪庭  | 3室2厅 | 132平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  东泊子', '198万', '单价15000元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/ae3b837d-a23c-4b07-8efa-ffc6113a504e.png.280x210.jpg', '中海银海熙岸 2室1厅 112万', '中海银海熙岸  | 2室1厅 | 85.96平米 | 南 北 | 其他', '低楼层(共18层)2013年建板塔结合  -  东泊子', '112万', '单价13030元/平米')
('https://image1.ljcdn.com/370600-inspection/9c80907d-025e-4308-9143-65eb08de099f.jpg.296x216.jpg', '通透两居室，户型方正，中间楼层无遮挡+送车位！！', '中海国际社区  | 2室2厅 | 70平米 | 南 北 | 其他', '中楼层(共34层)2017年建塔楼  -  科技大道', '85万', '单价12143元/平米')
