('https://image1.ljcdn.com/340100-inspection/d29bc567-db84-4449-bd5e-c46d29c0b2d2.JPG.296x216.jpg', '熔安家园，刚需两房，朝南户型，大阳台，采光好，诚售', '熔安家园  | 2室2厅 | 85.76平米 | 南 | 其他', '低楼层(共18层)2015年建塔楼  -  临湖', '115万', '单价13410元/平米')
('https://image1.ljcdn.com/340100-inspection/4d68f1d9-8a0e-4ac5-915b-1cfa06ea990c.jpg.296x216.jpg', '顶楼复式 动静分离 楼下客餐厅 楼上卧室 满五唯一', '丹霞柠檬郡  | 2室2厅 | 92.55平米 | 南 | 其他', '高楼层(共16层)2010年建塔楼  -  芙蓉', '125万', '单价13507元/平米')
('https://image1.ljcdn.com/340100-inspection/553857ae-2664-46fa-a610-99914741235b.JPG.296x216.jpg', '满两年 简单装修 全明户型 港澳商圈', '翠微苑  | 3室2厅 | 140.12平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  芙蓉', '249万', '单价17771元/平米')
('https://image1.ljcdn.com/340100-inspection/ced6e8eb-cb7b-4eb9-bf20-1998f3fd6abd.JPG.296x216.jpg', '华凤国际 2室1厅 127万', '华凤国际  | 2室1厅 | 93.14平米 | 南 | 其他', '中楼层(共23层)2010年建板楼  -  莲花', '127万', '单价13636元/平米')
('https://image1.ljcdn.com/340100-inspection/328970fc-d97b-4e8a-bcd9-ff5a684d3f30.JPG.296x216.jpg', '百乐门新上 精装边户三房  南北通透 带产权车位', '百乐门悦府  | 3室2厅 | 89.29平米 | 南 北 | 其他', '低楼层(共34层)2013年建板楼  -  莲花', '159万', '单价17808元/平米')
('https://image1.ljcdn.com/340100-inspection/78017ae8-90cc-467d-a657-790f5e77059c.jpg.296x216.jpg', '东海星城 2室2厅 148万', '东海星城  | 2室2厅 | 86.19平米 | 南 | 其他', '高楼层(共33层)2010年建板楼  -  莲花', '148万', '单价17172元/平米')
('https://image1.ljcdn.com/340100-inspection/544d4eba-227d-4f75-a3ec-54bcd73f1f73.JPG.296x216.jpg', '观澜华庭 2室2厅 142万', '观澜华庭  | 2室2厅 | 85.25平米 | 南 | 其他', '中楼层(共18层)2013年建塔楼  -  临湖', '142万', '单价16657元/平米')
('https://image1.ljcdn.com/340100-inspection/d35c7fb1-c196-4de6-87c0-fd2465d53253.jpg.296x216.jpg', '明珠湖畔 2室1厅 155万', '明珠湖畔  | 2室1厅 | 91.7平米 | 南 北 | 其他', '中楼层(共11层)2007年建板楼  -  芙蓉', '155万', '单价16903元/平米')
('https://image1.ljcdn.com/340100-inspection/7e6af4b8-d378-4ce8-9bd5-89a5d658e60c.JPG.296x216.jpg', '上湖名院 3室2厅 170万', '上湖名院  | 3室2厅 | 89.22平米 | 东 | 其他', '中楼层(共33层)2011年建塔楼  -  芙蓉', '170万', '单价19055元/平米')
('https://image1.ljcdn.com/340100-inspection/49d7c056-6177-4df6-8806-bf1694f8a2b7.JPG.296x216.jpg', '时光原著 户型方正 精装修 诚心出售', '时光原著  | 3室2厅 | 82.14平米 | 南 北 | 其他', '中楼层(共32层)2013年建塔楼  -  海恒', '145万', '单价17653元/平米')
('https://image1.ljcdn.com/340100-inspection/35266901-339e-4066-a54b-37345421cd13.jpg.296x216.jpg', '融科城融祥园 3室2厅 205万', '融科城融祥园  | 3室2厅 | 98.47平米 | 南 北 | 其他', '低楼层(共34层)2015年建塔楼  -  芙蓉', '205万', '单价20819元/平米')
('https://image1.ljcdn.com/340100-inspection/696fc625-6770-491b-8374-dfe6ea938e88.JPG.296x216.jpg', '南艳湖旁 精装观景房 南北通透 采光好', '御湖观邸  | 3室2厅 | 101.68平米 | 南 北 | 其他', '高楼层(共33层)2012年建塔楼  -  海恒', '180万', '单价17703元/平米')
('https://image1.ljcdn.com/340100-inspection/db4bff7e-18a8-43df-997b-62baa2c4af1b.jpg.296x216.jpg', '二附院旁，交通便利，采光充足，精装修朝南单身套', '丹霞柠檬郡  | 1室1厅 | 45.47平米 | 南 | 其他', '中楼层(共16层)2010年建塔楼  -  芙蓉', '70万', '单价15395元/平米')
('https://image1.ljcdn.com/340100-inspection/75cd1550-df38-419f-865e-3b11bc029730.JPG.296x216.jpg', '绿城翡翠湖玫瑰园 3室2厅 430万', '绿城翡翠湖玫瑰园  | 3室2厅 | 159.98平米 | 南 | 其他', '高楼层(共37层)2013年建塔楼  -  芙蓉', '430万', '单价26879元/平米')
('https://image1.ljcdn.com/340100-inspection/d122dec8-f116-4e10-9296-7e1e9554207d.JPG.296x216.jpg', '华邦边户，采光无遮挡，房型正气，业主诚心出售', '华邦观筑里  | 3室2厅 | 87.4平米 | 南 | 其他', '中楼层(共34层)板塔结合  -  芙蓉', '156万', '单价17849元/平米')
('https://image1.ljcdn.com/340100-inspection/053f4373-dca1-4c91-a95e-37ac707e7eab.jpg.296x216.jpg', '港澳商圈，精致三房，业主诚心，光线无遮挡', '明珠湖畔  | 3室2厅 | 94.86平米 | 南 | 其他', '高楼层(共11层)2007年建板楼  -  芙蓉', '150万', '单价15813元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf96f956e-d2cb-4c04-8ca0-ba61e36a34e0.jpg.296x216.jpg', '满两年，位置好，采光充足，配套齐全 三开间朝南户型', '明珠湖畔  | 2室2厅 | 84.97平米 | 南 | 其他', '中楼层(共18层)2007年建塔楼  -  芙蓉', '135万', '单价15888元/平米')
('https://image1.ljcdn.com/340100-inspection/c9daf987-ffb8-4de2-bf80-571c0551f15f.JPG.296x216.jpg', '满两年无增值税 中高楼层采光好 视野好', '融科城融祥园  | 2室2厅 | 84.33平米 | 南 | 其他', '高楼层(共34层)2015年建板楼  -  芙蓉', '175万', '单价20752元/平米')
('https://image1.ljcdn.com/340100-inspection/c33651a3-25c4-40f5-a61c-25b8645e6ea2.JPG.296x216.jpg', '东海星城 1室1厅 84万', '东海星城  | 1室1厅 | 53.27平米 | 东 | 其他', '低楼层(共28层)2010年建板楼  -  莲花', '84万', '单价15769元/平米')
('https://image1.ljcdn.com/340100-inspection/1a3150ac-8c78-4f44-9de1-a47e0a00fccb.jpg.296x216.jpg', '新上南艳瑞景 纯毛坯 带暖气 有钥匙 诚心出售', '南艳瑞景  | 4室2厅 | 180.46平米 | 南 北 | 其他', '中楼层(共11层)2007年建塔楼  -  海恒', '255万', '单价14131元/平米')
('https://image1.ljcdn.com/340100-inspection/3f87b475-7184-4dca-911d-28502abefe10.JPG.296x216.jpg', '翡翠湖畔品质小区国耀毛坯大复式满五年带车位', '国耀一方城  | 4室2厅 | 218.95平米 | 南 北 | 其他', '低楼层(共15层)2011年建塔楼  -  芙蓉', '470万', '单价21467元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5b519ebc-771a-4e02-b132-838adbb6fa99.JPG.296x216.jpg', '南湖春城 多层使用面积大 居家装修', '南湖春城  | 2室2厅 | 88.26平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  海恒', '123万', '单价13937元/平米')
('https://image1.ljcdn.com/340100-inspection/2c9dbafa-20b8-4faa-9e6e-1c9009423a7d.JPG.296x216.jpg', '正规小三房，楼层好，采光充足，三开间朝南地理位好', '华邦观筑里  | 3室2厅 | 86.81平米 | 南 | 其他', '低楼层(共34层)板塔结合  -  芙蓉', '154万', '单价17740元/平米')
('https://image1.ljcdn.com/340100-inspection/e40c1c0c-56ac-456c-8858-31d3f96515c3.JPG.296x216.jpg', '新小区  全明户型 无暗间 适合一家人居住', '世茂翡翠首府  | 4室2厅 | 116.35平米 | 南 | 其他', '低楼层(共31层)2017年建板塔结合  -  芙蓉', '186万', '单价15987元/平米')
('https://image1.ljcdn.com/340100-inspection/241371b2-5a98-4eb0-8afd-a2dd3c2baabb.JPG.296x216.jpg', '翡翠湖畔 品质电梯高层，新毛坯', '世茂翡翠首府  | 3室2厅 | 90.65平米 | 南 | 其他', '中楼层(共28层)塔楼  -  芙蓉', '165万', '单价18202元/平米')
('https://image1.ljcdn.com/340100-inspection/d08d6b31-22a0-4a14-a2ec-9993ac4050a8.JPG.296x216.jpg', '精装修15万  南北通透 10H采光不遮挡', '名邦锦绣年华  | 2室2厅 | 79.99平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  锦绣', '120万', '单价15002元/平米')
('https://image1.ljcdn.com/340100-inspection/5456b536-4526-4b5a-aa39-912611be91b1.JPG.296x216.jpg', '南湖春城 户型方正 居家装修 业主置换诚心出售', '南湖春城  | 2室2厅 | 72.94平米 | 南 北 | 其他', '中楼层(共26层)2008年建塔楼  -  海恒', '110万', '单价15081元/平米')
('https://image1.ljcdn.com/340100-inspection/b6448ff9-ba84-4916-8b88-8485d58f9a6b.JPG.296x216.jpg', '徽园旁 大三房 采光刺眼 户型方正', '东海徽园  | 3室2厅 | 132.2平米 | 南 北 | 其他', '低楼层(共18层)2006年建板楼  -  莲花', '188万', '单价14221元/平米')
('https://image1.ljcdn.com/340100-inspection/083d8df1-0f07-4d37-8a25-68bc2dda2392.JPG.296x216.jpg', '紫金山庄 精装修 满五年 户型方正 诚心出售', '紫金山庄  | 2室2厅 | 88.44平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  海恒', '135万', '单价15265元/平米')
('https://image1.ljcdn.com/340100-inspection/7b8ad3a2-865f-4ef4-b934-8710f9a5c231.JPG.296x216.jpg', '复式户型，高楼层景观房，朝南户型，看房方便', '翰林雅居  | 2室2厅 | 111.41平米 | 南 北 | 其他', '高楼层(共18层)2004年建板楼  -  芙蓉', '156万', '单价14003元/平米')
('https://image1.ljcdn.com/340100-inspection/9b7308e4-4fe1-434a-b9de-7dc0c7a79b22.JPG.296x216.jpg', '滨湖前城 刚需   诚心售 看房方便', '滨湖前城  | 2室1厅 | 76.92平米 | 南 | 其他', '高楼层(共18层)2007年建板塔结合  -  临湖', '107万', '单价13911元/平米')
('https://image1.ljcdn.com/340100-inspection/533ec071-3058-437a-b8c4-7e72360e68d9.JPG.296x216.jpg', '中环城国际公寓  朝南户型 采光好 业主诚心售', '中环城国际公寓  | 2室2厅 | 71.19平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  芙蓉', '133万', '单价18683元/平米')
('https://image1.ljcdn.com/340100-inspection/e9027227-445f-48c3-85a3-96578fcce9df.JPG.296x216.jpg', '两房朝南，三阳台，满两年，业主诚心卖', '御湖观邸  | 2室2厅 | 89平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  海恒', '147万', '单价16517元/平米')
('https://image1.ljcdn.com/340100-inspection/e744df71-1e1f-4534-b51b-787a6d41fbcb.JPG.296x216.jpg', '徽园 精装两房，采光视野好，拎包入住。', '东海徽园  | 2室2厅 | 96.87平米 | 南 | 其他', '高楼层(共18层)2006年建板楼  -  莲花', '148万', '单价15279元/平米')
('https://image1.ljcdn.com/340100-inspection/1fae9b08-d436-43a7-846c-1bcfa5e85612.JPG.296x216.jpg', '明珠广场 精装修三房保养很好 户型方正 采光良好', '东海星城  | 3室2厅 | 98.93平米 | 南 | 其他', '高楼层(共33层)2010年建板楼  -  莲花', '165万', '单价16679元/平米')
('https://image1.ljcdn.com/340100-inspection/97fddb31-d917-46a7-846b-aecb462d2ebf.jpg.296x216.jpg', '次新小区环境优美  交通便利配套完善', '上湖名院  | 3室2厅 | 89.2平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  芙蓉', '166.9万', '单价18711元/平米')
('https://image1.ljcdn.com/340100-inspection/a8f06f29-5e1e-4feb-a22c-e1f695f32693.JPG.296x216.jpg', '为你而选 为你为家满2 精装自住交通便利配套设施齐全', '南湖春城  | 2室2厅 | 88.99平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  海恒', '138万', '单价15508元/平米')
('https://image1.ljcdn.com/340100-inspection/df1a969c-6684-4297-8523-e2f0c9751c61.JPG.296x216.jpg', '中环城国际公寓 2室1厅 136万', '中环城国际公寓  | 2室1厅 | 71.67平米 | 南 | 其他', '高楼层(共18层)2012年建塔楼  -  芙蓉', '136万', '单价18976元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade1d1422a-7cf0-42e4-8804-b23233b58f3e.jpg.296x216.jpg', '绿城翡翠湖玫瑰园 3室2厅 350万', '绿城翡翠湖玫瑰园  | 3室2厅 | 142平米 | 南 | 其他', '中楼层(共37层)2013年建塔楼  -  芙蓉', '350万', '单价24648元/平米')
('https://image1.ljcdn.com/340100-inspection/37c25e1d-baef-4c19-b243-2c3a26617dd7.JPG.296x216.jpg', '南湖春城，大两房，居家装修，拎包入住，楼层好', '南湖春城  | 2室2厅 | 90.93平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  海恒', '132万', '单价14517元/平米')
('https://image1.ljcdn.com/340100-inspection/7bbcd33d-0de7-4b11-a841-5119331b9b6f.JPG.296x216.jpg', '业主诚心出售此房挑高户型  交通方便家具家电全送', '中环城国际公寓  | 2室2厅 | 72.3平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  芙蓉', '136万', '单价18811元/平米')
('https://image1.ljcdn.com/340100-inspection/de8c0ce0-dff8-4fb8-8606-78ee5d67416e.JPG.296x216.jpg', '御湖观邸 3室2厅 180万', '御湖观邸  | 3室2厅 | 104.47平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  海恒', '180万', '单价17230元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload62fdfdef-7784-453f-815a-2879048eeef5.JPG.296x216.jpg', '满两年 采光好 无遮挡 赠送面积大 户型方正 中环城旁', '凯旋公寓  | 2室1厅 | 58.34平米 | 南 北 | 其他', '高楼层(共20层)2008年建板楼  -  莲花', '103万', '单价17656元/平米')
('https://image1.ljcdn.com/340100-inspection/c2c63486-27b5-482f-9d9c-73d0bb56aaa7.JPG.296x216.jpg', '一里洋房 2室1厅 86万', '一里洋房  | 2室1厅 | 57.6平米 | 南 | 其他', '低楼层(共6层)2008年建板楼  -  芙蓉', '86万', '单价14931元/平米')
('https://image1.ljcdn.com/340100-inspection/81785e59-35ca-4c71-aa9b-df58d45204d8.jpg.296x216.jpg', '精装修 三房户型 边户 采光很好 满两年', '高速翡翠湖畔  | 3室2厅 | 101.42平米 | 南 | 其他', '高楼层(共34层)2013年建板楼  -  芙蓉', '186万', '单价18340元/平米')
('https://image1.ljcdn.com/340100-inspection/e3f873cc-0b37-4447-8520-9898a117782e.JPG.296x216.jpg', '葛洲坝玖珑府 通透4居 户型方正 业主诚心出售', '葛洲坝玖珑府  | 4室2厅 | 121.23平米 | 南 北 | 其他', '低楼层(共31层)塔楼  -  芙蓉', '215万', '单价17735元/平米')
('https://image1.ljcdn.com/340100-inspection/ad1b080f-7a37-4ac0-9153-645443b1b36c.JPG.296x216.jpg', '金星家园 满两年 通透性好 居家三室 看房方便', '金星家园  | 3室2厅 | 138.74平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  芙蓉', '268万', '单价19317元/平米')
('https://image1.ljcdn.com/340100-inspection/fb4167d2-720b-4c1a-abcd-46c61d71e1a8.jpg.296x216.jpg', '翡翠湖畔，绿城双院墅，平层官邸大户型西边户！', '绿城翡翠湖玫瑰园  | 4室2厅 | 411.6平米 | 南 西 北 | 其他', '中楼层(共4层)2013年建板楼  -  芙蓉', '1050万', '单价25511元/平米')
('https://image1.ljcdn.com/340100-inspection/3b117039-a918-423f-8bc1-0aa97128d2b6.jpg.296x216.jpg', '精装两房 采光好 楼层佳 小区中间位置 满两年 税少', '名仕豪庭  | 2室2厅 | 68.48平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  芙蓉', '130万', '单价18984元/平米')
('https://image1.ljcdn.com/340100-inspection/0ad7ca44-29b0-467f-8d3b-f02b99317478.JPG.296x216.jpg', '东海星城  精装三房 四开间朝南 景观楼层客厅带大阳台', '东海星城  | 3室2厅 | 112.66平米 | 南 | 其他', '低楼层(共18层)2010年建板楼  -  莲花', '173万', '单价15356元/平米')
('https://image1.ljcdn.com/340100-inspection/efb33803-ff46-44d1-b2c0-8689079a5489.JPG.296x216.jpg', '鸟瞰湖景花园洋房复式精装40万 观景房 户型通透采光好', '禹洲翡翠湖郡  | 5室3厅 | 122平米 | 南 北 | 其他', '高楼层(共24层)2015年建塔楼  -  芙蓉', '260万', '单价21312元/平米')
('https://image1.ljcdn.com/340100-inspection/982accfa-4525-4c50-9450-24478b78ee26.JPG.296x216.jpg', '翡翠湖畔， 品质电梯洋房 ，新毛坯 ， 采光好无遮挡。', '世茂翡翠首府  | 3室2厅 | 100.14平米 | 南 | 其他', '高楼层(共27层)塔楼  -  芙蓉', '170万', '单价16977元/平米')
('https://image1.ljcdn.com/340100-inspection/37951e8d-3097-46b6-85b6-c65095b19978.jpg.296x216.jpg', '此房为一室一厅，经典户型，居家舒适，室内通透。', '东海星城  | 1室1厅 | 48.73平米 | 北 | 其他', '低楼层(共32层)2010年建板楼  -  莲花', '59万', '单价12108元/平米')
('https://image1.ljcdn.com/340100-inspection/0c909d3d-ce40-4c0a-a776-6cfe6ee62a3e.jpg.296x216.jpg', '滨湖前城 满两年 省钱 视野采光好 户型方正', '滨湖前城  | 3室2厅 | 102.05平米 | 南 | 其他', '高楼层(共6层)2007年建板楼  -  临湖', '147万', '单价14405元/平米')
('https://image1.ljcdn.com/340100-inspection/852d9779-ca08-4cd2-b788-deb42165476d.jpg.296x216.jpg', '政务南 合肥产证刚需二房  采光好 带产权车位', '名仕豪庭  | 2室2厅 | 67.5平米 | 南 | 其他', '低楼层(共32层)2013年建塔楼  -  芙蓉', '133万', '单价19704元/平米')
('https://image1.ljcdn.com/340100-inspection/test-14795fa8-00e9-4cfc-a7cd-3cba91f1553c.png.296x216.jpg', '满两年 边户 带电梯 小三房 看房方便', '明珠湖畔  | 3室2厅 | 90.27平米 | 西 | 其他', '中楼层(共16层)2007年建塔楼  -  芙蓉', '152万', '单价16839元/平米')
('https://image1.ljcdn.com/340100-inspection/ded82493-4e92-46ce-9e5f-b52806c141d7.JPG.296x216.jpg', '为你而选为你为家 东华园 精装大四房 户型方正 诚售', '东华园  | 4室2厅 | 182.28平米 | 南 北 | 其他', '低楼层(共18层)2010年建塔楼  -  海恒', '270万', '单价14813元/平米')
('https://image1.ljcdn.com/340100-inspection/316583ea-0fc4-4a03-9557-003fdae6f911.JPG.296x216.jpg', '业主换房的，诚心出售，没有装修  一手买进的', '尚泽大都会  | 3室2厅 | 112.89平米 | 南 | 其他', '低楼层(共34层)2015年建板楼  -  莲花', '175万', '单价15502元/平米')
('https://image1.ljcdn.com/340100-inspection/c737f64d-1aed-4652-96eb-da89439a53fe.JPG.296x216.jpg', '碧湖蓝庭 3室2厅 218万', '碧湖蓝庭  | 3室2厅 | 140.38平米 | 南 | 其他', '高楼层(共18层)2006年建塔楼  -  芙蓉', '218万', '单价15530元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload20154fc5-3dca-47b6-a256-d54f71e7f41b.jpg.296x216.jpg', '翠湖苑 通透三居 户型方正 业主诚心售', '翠湖苑  | 3室2厅 | 91.53平米 | 南 北 | 其他', '高楼层(共18层)2008年建塔楼  -  芙蓉', '150万', '单价16389元/平米')
('https://image1.ljcdn.com/340100-inspection/e9381aa3-d18d-4fdf-a16f-2ee2c76d4528.JPG.296x216.jpg', '交通便利 繁华地段 看房子方便', '凯旋公寓  | 3室2厅 | 81.61平米 | 南 | 其他', '中楼层(共20层)2008年建板楼  -  莲花', '160万', '单价19606元/平米')
('https://image1.ljcdn.com/340100-inspection/9939129d-fc88-4f41-9740-8e0cdc505339.JPG.296x216.jpg', '紫金山庄 户型方正 满2年 业主置换诚心出售', '紫金山庄  | 3室2厅 | 93.02平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  海恒', '120万', '单价12901元/平米')
('https://image1.ljcdn.com/340100-inspection/a4ffd3ce-2cad-4229-b687-8f2f9d432c55.JPG.296x216.jpg', '精装两室复室，位置优越交通便利', '中环城国际公寓  | 2室2厅 | 71.19平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  芙蓉', '137万', '单价19245元/平米')
('https://image1.ljcdn.com/340100-inspection/01376780-e6e3-4fc6-ad41-5bcc95505196.JPG.296x216.jpg', '临近南艳湖 南北通透三房 户型方正 业主诚心出售', '福禄园  | 3室2厅 | 130.4平米 | 南 北 | 其他', '高楼层(共5层)2001年建板楼  -  海恒', '148万', '单价11350元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9f855292-9eb4-4c5d-8447-b03da9b64264.jpg.296x216.jpg', '满两年，居家装修，拎包入住，采光好', '朝霞园  | 3室2厅 | 85平米 | 南 | 其他', '高楼层(共6层)2003年建板楼  -  莲花', '115万', '单价13530元/平米')
('https://image1.ljcdn.com/340100-inspection/98d87707-5ef6-4d0b-a7c1-6c41624ef9db.JPG.296x216.jpg', '上海城市 品质社区 精装2室拎包入住', '上海城市  | 2室2厅 | 87.48平米 | 南 | 其他', '低楼层(共26层)2006年建板楼  -  莲花', '125万', '单价14289元/平米')
('https://image1.ljcdn.com/340100-inspection/99739aa7-529f-4437-ace3-15ab9da919b1.JPG.296x216.jpg', '滨湖前城 2室1厅 118万', '滨湖前城  | 2室1厅 | 86.46平米 | 南 | 其他', '低楼层(共11层)板塔结合  -  临湖', '118万', '单价13648元/平米')
('https://image1.ljcdn.com/340100-inspection/633bc4bf-cb8d-4eaa-802f-7b5c1086696b.JPG.296x216.jpg', '此房满五年，没有增值税，房型正气，采光充足，无遮挡', '一里洋房  | 2室1厅 | 69.35平米 | 南 北 | 其他', '高楼层(共20层)2008年建塔楼  -  芙蓉', '118万', '单价17016元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload33a09e41-648a-4a7b-8ce5-614ca5ac1cb4.JPG.296x216.jpg', '采光好房东诚心出售，可以接受置换', '丽景碧雅  | 2室2厅 | 112.87平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  莲花', '156万', '单价13822元/平米')
('https://image1.ljcdn.com/340100-inspection/735f0092-07b1-42e5-afbc-c0d686642392.JPG.296x216.jpg', '经开区 明珠广场 芙蓉名园 精装四房 南北通透户型', '芙蓉名园  | 4室2厅 | 152.84平米 | 南 北 | 其他', '中楼层(共17层)2006年建板楼  -  莲花', '199万', '单价13021元/平米')
('https://image1.ljcdn.com/340100-inspection/56b2f130-e6f9-4ac9-8c0f-83e293ed3672.JPG.296x216.jpg', '御景前城，安静小区，小三房，诚心卖', '御景前城  | 3室2厅 | 87.41平米 | 南 | 其他', '低楼层(共18层)2014年建塔楼  -  临湖', '145万', '单价16589元/平米')
('https://image1.ljcdn.com/340100-inspection/71b70afb-2232-42c4-b067-cbd102286cfd.JPG.296x216.jpg', '满五年 精装修 保养不错 紧凑小两房 户型方正！！', '东海星城  | 2室2厅 | 80.3平米 | 南 | 其他', '高楼层(共28层)2010年建板楼  -  莲花', '130万', '单价16190元/平米')
('https://image1.ljcdn.com/340100-inspection/88faeadf-7877-4846-b6fd-0615c38ad043.jpg.296x216.jpg', '满两年    采光好  小区新', '名仕豪庭  | 4室2厅 | 143.66平米 | 南 | 其他', '高楼层(共32层)2013年建塔楼  -  芙蓉', '225万', '单价15662元/平米')
('https://image1.ljcdn.com/340100-inspection/b292d25b-e2de-474d-8066-5b1af2c86209.JPG.296x216.jpg', '明珠广场旁 品质小区 朝南两房 诚售 采光好', '国轩名门  | 2室2厅 | 84.15平米 | 南 | 其他', '低楼层(共30层)暂无数据  -  莲花', '112万', '单价13310元/平米')
