('https://image1.ljcdn.com/441900-inspection/2aec141c-53b4-4b14-b41e-7dbbb5d6b57b.jpg.296x216.jpg', '未来世界花园 复式两房 带装修 高楼层 朝南向 采光好', '未来世界花园  | 2室2厅 | 53.4平米 | 西南 | 其他', '高楼层(共17层)塔楼  -  东泰', '125万', '单价23409元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload43f2af5a-f76c-47b2-ba95-d7a5ed0134b0.jpg.296x216.jpg', '活力康城满五唯一  82平大两房出售', '宏远活力康城  | 2室2厅 | 80.16平米 | 西南 | 其他', '高楼层(共12层)塔楼  -  宏远北', '145万', '单价18089元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0e6e9ade-af5b-4d9e-b0ed-bc585d8c11f6.jpg.296x216.jpg', '玫瑰公馆花园 三房二厅 满五唯一', '世纪城玫瑰公馆  | 3室2厅 | 81平米 | 东南 | 简装', '中楼层(共17层)塔楼  -  西平', '238万', '单价29383元/平米')
('https://image1.ljcdn.com/441900-inspection/9308ca93-f64b-4f66-b9cd-70a452c7857c.jpg.296x216.jpg', '格林小城，精装三房，环境优美，', '金地格林小城  | 3室2厅 | 123.56平米 | 南 西南 | 精装', '中楼层(共18层)塔楼  -  东泰', '285万', '单价23066元/平米')
('https://image1.ljcdn.com/441900-inspection/2359b634-a152-45e4-bcc1-5365acbfa9f9.jpg.296x216.jpg', '此房满五唯一  免双税  三米大阳台', '光大景湖湾畔  | 3室2厅 | 116.27平米 | 东北 | 其他', '低楼层(共18层)塔楼  -  宏远南', '258万', '单价22190元/平米')
('https://image1.ljcdn.com/441900-inspection/5f73bc98-547e-4848-a1c2-c700915b96bd.jpg.296x216.jpg', '单边位置朝南 简洁温馨新装修 拎包可入住 实用性高', '江南雅筑  | 2室2厅 | 77平米 | 西南 | 其他', '低楼层(共17层)2007年建塔楼  -  宏远北', '170万', '单价22078元/平米')
('https://image1.ljcdn.com/441900-inspection/fa05b18f-9819-4f83-984a-185045c72f44.jpg.296x216.jpg', '世纪城国际公馆二期 标准四房出售', '世纪城国际公馆二期  | 4室2厅 | 158.88平米 | 南 | 其他', '中楼层(共18层)塔楼  -  西平', '350万', '单价22030元/平米')
('https://image1.ljcdn.com/441900-inspection/cbb6326b-0ed2-44c4-9c84-f2764f30208d.jpg.296x216.jpg', '国际公馆三房出售  满五唯一免双税  装修保养好', '世纪城国际公馆二期  | 3室2厅 | 146.07平米 | 东北 | 其他', '中楼层(共11层)塔楼  -  西平', '390万', '单价26700元/平米')
('https://image1.ljcdn.com/441900-inspection/08088aa1-ccf1-4442-9ce8-274945a0807c.jpg.296x216.jpg', '万科物业，中间楼层，满五唯一，有钥匙随时可看！', '万科金悦香树  | 3室2厅 | 96平米 | 东北 | 精装', '中楼层(共24层)塔楼  -  南城车站', '240万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/ce78730a-ca67-4291-b223-138b7721af38.jpg.296x216.jpg', '未来世界花园 复式两居室 带装修', '未来世界花园  | 1室1厅 | 48平米 | 西南 | 其他', '低楼层(共14层)塔楼  -  东泰', '87万', '单价18125元/平米')
('https://image1.ljcdn.com/441900-inspection/23f1da3c-8756-4ba7-b79d-68e0e7597fbb.jpg.296x216.jpg', '中信森林湖  地铁口物业 小区人车分流 有自然资源', '中信森林湖兰溪谷  | 4室2厅 | 146.41平米 | 西南 | 其他', '高楼层(共29层)2012年建塔楼  -  水濂山', '405万', '单价27663元/平米')
('https://image1.ljcdn.com/441900-inspection/f449574c-03b7-4a99-ae89-8caaf768836f.jpg.296x216.jpg', '塞纳城市家园 方正实用三房 装修保养好 鸿福路口', '塞纳城市嘉园  | 3室2厅 | 88.45平米 | 西北 | 简装', '高楼层(共30层)塔楼  -  鸿福路口', '165万', '单价18655元/平米')
('https://image1.ljcdn.com/441900-inspection/59aa0e1a-d2ba-4f7b-860a-1504aa4f2233.jpg.296x216.jpg', '南城 精装2房 保养很好 业主诚心出售 拎包入住', '名门世家  | 2室1厅 | 60.89平米 | 东 | 其他', '中楼层(共17层)2008年建塔楼  -  三元里', '110万', '单价18066元/平米')
('https://image1.ljcdn.com/441900-inspection/fcdf949e-55c6-4eec-ab92-082e01e95f2f.jpg.296x216.jpg', '石竹新花园 精装两房 南向看花园 装修保养新 诚售', '石竹新花园  | 2室1厅 | 98.7平米 | 西北 | 其他', '中楼层(共11层)塔楼  -  石竹', '205万', '单价20771元/平米')
('https://image1.ljcdn.com/441900-inspection/e68e7279-5888-449a-b9e4-e06b248994bd.jpg.296x216.jpg', '景湖春晓精装三房 满五唯一 楼层视野好 小区生活方便', '光大景湖春晓  | 3室2厅 | 111.59平米 | 西南 | 精装', '中楼层(共18层)2005年建塔楼  -  东泰', '310.8万', '单价27852元/平米')
('https://image1.ljcdn.com/441900-inspection/bcbf882d-9a99-46ff-8f14-862164558914.jpg.296x216.jpg', '通透毛坯四房 看房方便 高层观景好', '鼎峰源著  | 4室2厅 | 165.99平米 | 东南 | 毛坯', '低楼层(共30层)塔楼  -  水濂山', '510万', '单价30725元/平米')
('https://image1.ljcdn.com/441900-inspection/30225f39-3378-4ea5-bb95-6211a9a9e46f.jpg.296x216.jpg', '金地格林小城，一梯两户，中高楼层，安静舒适！', '金地格林小城  | 3室2厅 | 123.55平米 | 西南 | 精装', '高楼层(共11层)塔楼  -  东泰', '275万', '单价22259元/平米')
('https://image1.ljcdn.com/441900-inspection/7e255442-2be7-4389-8cec-6ba34ccd03e8.jpg.296x216.jpg', '恒大御湖 精装三房  满五唯一   阳台看湖景 近地铁口', '百悦尚城三期恒大御湖  | 3室2厅 | 103平米 | 东南 | 其他', '高楼层(共18层)塔楼  -  南城车站', '300万', '单价29127元/平米')
('https://image1.ljcdn.com/441900-inspection/5a980a2c-ad5f-4869-b254-648f6edb56b5.jpg.296x216.jpg', '精装修三房 满五唯一 赠送40平米花园', '现代经典花园  | 3室2厅 | 121.87平米 | 东北 | 其他', '低楼层(共7层)塔楼  -  西平', '200万', '单价16411元/平米')
('https://image1.ljcdn.com/441900-inspection/7530d470-547c-443a-8f53-3d2d2ee8383c.jpg.296x216.jpg', '业主保养好 户型正 采光佳 布局合理', '光大景湖湾畔  | 4室2厅 | 157.3平米 | 东南 | 其他', '低楼层(共18层)塔楼  -  宏远南', '350万', '单价22251元/平米')
('https://image1.ljcdn.com/441900-inspection/944ee55f-911c-4f4d-a36d-c5b138f0aa26.jpg.296x216.jpg', '毛坯四房 满五唯一 高楼层采光好', '世纪城玫瑰公馆  | 4室2厅 | 146.13平米 | 东南 | 其他', '中楼层(共17层)暂无数据  -  西平', '380万', '单价26005元/平米')
('https://image1.ljcdn.com/441900-inspection/b7770e73-793d-487e-91f8-de221f33e77c.jpg.296x216.jpg', '西平商圈 世纪城大平层 户型方正 南北通透 空中别墅', '世纪城国际公馆三期仁里  | 6室2厅 | 383平米 | 南 | 其他', '高楼层(共23层)塔楼  -  西平', '860万', '单价22455元/平米')
('https://image1.ljcdn.com/441900-inspection/69be3cf9-e692-4ec0-905e-749649fe77fd.jpg.296x216.jpg', '光大景湖春晓 3室2厅 300万', '光大景湖春晓  | 3室2厅 | 131.51平米 | 南 | 精装', '中楼层(共11层)2005年建塔楼  -  东泰', '300万', '单价22812元/平米')
('https://image1.ljcdn.com/441900-inspection/13774492-6d01-4819-9155-aae20fef5752.jpg.296x216.jpg', '房子是一楼的 双阳台 户型很方正实用', '清华居  | 3室2厅 | 149平米 | 东南 | 其他', '低楼层(共10层)塔楼  -  水濂山', '285万', '单价19128元/平米')
('https://image1.ljcdn.com/441900-inspection/98393801-c991-470f-bea3-a50c946812e8.jpg.296x216.jpg', '满五唯一 户型方正 大五房 超大阳台', '石竹新花园  | 5室2厅 | 191平米 | 东南 西南 | 其他', '高楼层(共11层)塔楼  -  石竹', '380万', '单价19896元/平米')
('https://image1.ljcdn.com/441900-inspection/383f81bb-0fb3-499e-a43c-5e408a726a76.jpg.296x216.jpg', '花园中间位  高楼层景观好  南北对流免个税', '石竹新花园  | 3室2厅 | 133.71平米 | 东南 西北 | 精装', '高楼层(共16层)塔楼  -  石竹', '280万', '单价20941元/平米')
('https://image1.ljcdn.com/441900-inspection/198d6078-f67c-4600-b248-b753aa75b1e1.jpg.296x216.jpg', '骏马山庄 精装三房 家私家电赠送', '骏马山庄  | 3室2厅 | 125.07平米 | 南 | 其他', '高楼层(共12层)塔楼  -  南城车站', '210万', '单价16791元/平米')
('https://image1.ljcdn.com/441900-inspection/205ecaf1-befc-4b15-8b63-442b4fd5812e.jpg.296x216.jpg', '地铁口物 现代经典花园  赠送地下花园50平', '现代经典花园  | 3室2厅 | 121.3平米 | 西北 | 精装', '低楼层(共6层)塔楼  -  西平', '190万', '单价15664元/平米')
('https://image1.ljcdn.com/441900-inspection/b2745195-117d-41b3-958c-1a27c2c71eee.jpg.296x216.jpg', '世纪城别墅群 带大花园 边位别墅  317.36平 安静', '世纪城国际公馆一期   | 联排别墅 | 6室2厅 | 317.36平米 | 东南 | 精装', '1层暂无数据  -  西平', '1100万', '单价34661元/平米')
('https://image1.ljcdn.com/441900-inspection/4b134e96-e4be-4630-8657-0897d16307c1.jpg.296x216.jpg', '满五唯一免双税 赠送面积大，实用三房', '万科金域华府一期  | 3室2厅 | 75平米 | 西北 | 简装', '高楼层(共23层)2010年建塔楼  -  石竹', '248万', '单价33067元/平米')
('https://image1.ljcdn.com/441900-inspection/0190ef46-3897-4758-b794-bc9009662aec.jpg.296x216.jpg', '满五唯一免双税，通风采光好，小区位置好', '塞纳城市嘉园  | 2室2厅 | 80.72平米 | 西南 | 其他', '低楼层(共30层)塔楼  -  鸿福路口', '160万', '单价19822元/平米')
('https://image1.ljcdn.com/441900-inspection/10e52a08-ba52-43b5-83f6-dcb01f6aad5c.jpg.296x216.jpg', '顶楼复式带精装修  满五唯一 楼层好视野开阔', '世纪城国际公馆一期  | 5室2厅 | 132.67平米 | 西南 | 其他', '高楼层(共8层)塔楼  -  西平', '335万', '单价25251元/平米')
('https://image1.ljcdn.com/441900-inspection/7722d8a5-cbf0-4973-b26a-84701d94a674.jpg.296x216.jpg', '带装修户型方正实用3+1书房，视野开阔，采光好通风', '东骏豪苑  | 4室2厅 | 167.1平米 | 东南 | 精装', '低楼层(共16层)塔楼  -  西平', '410万', '单价24537元/平米')
('https://image1.ljcdn.com/441900-inspection/6a3aa4bd-b095-44f6-9c39-1d6d7ebd5f09.jpg.296x216.jpg', '高楼层 东南向 精装 方正实用三房', '东骏豪苑  | 3室2厅 | 112.35平米 | 东南 | 精装', '高楼层(共16层)塔楼  -  西平', '292万', '单价25991元/平米')
('https://image1.ljcdn.com/441900-inspection/6d9b4004-035f-48af-963c-a3dd93e35730.jpg.296x216.jpg', '景湖荣郡  精装三房 保养好 免双税', '光大景湖荣郡  | 3室2厅 | 100.3平米 | 西北 | 精装', '高楼层(共18层)塔楼  -  东泰', '318万', '单价31705元/平米')
('https://image1.ljcdn.com/441900-inspection/a269d2ca-0530-4019-8b5a-0fa5e5b08f1e.jpg.296x216.jpg', '景湖花园毛坯联排别墅  业主广东省只有一套住房满五年', '光大景湖花园   | 联排别墅 | 5室2厅 | 315.77平米 | 南 | 其他', '3层暂无数据  -  东泰', '750万', '单价23752元/平米')
('https://image1.ljcdn.com/441900-inspection/4a7da19d-5f59-4f19-8989-25d7e3fa3558.jpg.296x216.jpg', '宏远江南雅筑小区标准三房户型业主自住诚意出售', '江南雅筑  | 3室2厅 | 110.22平米 | 南 北 | 其他', '低楼层(共12层)2007年建板楼  -  宏远北', '222万', '单价20142元/平米')
('https://image1.ljcdn.com/441900-inspection/f92702e1-0d4d-4acf-aebb-5b4de9317778.jpg.296x216.jpg', '地铁口物业，满五唯一，免双税费，高楼层笋盘', '新中银花园  | 3室2厅 | 100.8平米 | 北 | 其他', '高楼层(共12层)塔楼  -  东泰', '176.8万', '单价17535元/平米')
('https://image1.ljcdn.com/441900-inspection/9cc24fd6-7538-4b21-8979-6d38f2f07d80.jpg.296x216.jpg', '满五唯一免双税，保养好，看花园', '万科金悦香树  | 3室2厅 | 96平米 | 西北 | 精装', '低楼层(共24层)塔楼  -  南城车站', '245万', '单价25521元/平米')
('https://image1.ljcdn.com/441900-inspection/b6823eba-e38f-4b46-a297-fc2fc364e1aa.jpg.296x216.jpg', '石竹新花园 东南三房 赠送大花园 诚心放卖 随时可看', '石竹新花园  | 3室2厅 | 111.22平米 | 东南 | 简装', '低楼层(共12层)塔楼  -  石竹', '222万', '单价19961元/平米')
('https://image1.ljcdn.com/441900-inspection/75c042a3-5986-47ea-852b-11cd75e9d549.jpg.296x216.jpg', '简单装修 楼层佳 视野好超低价急卖', '金地格林小城  | 3室2厅 | 95.8平米 | 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '196万', '单价20460元/平米')
('https://image1.ljcdn.com/441900-inspection/81501fd1-5311-48ac-8668-f715f530e96b.jpg.296x216.jpg', '晶城 精装一房一厅 业主自住保养很好 满五唯一免双税', '晶城  | 1室1厅 | 33.35平米 | 西南 | 精装', '高楼层(共24层)2009年建板楼  -  石竹', '68万', '单价20390元/平米')
('https://image1.ljcdn.com/441900-inspection/59cfe4e6-dc5c-447c-ab75-fec7121d2eca.jpg.296x216.jpg', '未来世界精装复试三房 配套完善 拎包入住', '未来世界花园  | 3室2厅 | 68平米 | 南 | 其他', '低楼层(共17层)塔楼  -  东泰', '158万', '单价23236元/平米')
('https://image1.ljcdn.com/441900-inspection/f6571b34-4345-4386-8118-d48457a0639b.jpg.296x216.jpg', '满五唯一   花园位置  对流户型 自住房子', '万科金域华府二期  | 4室2厅 | 169.28平米 | 东南 | 其他', '高楼层(共26层)塔楼  -  石竹', '525万', '单价31014元/平米')
('https://image1.ljcdn.com/441900-inspection/dc517340-a1a5-4752-af13-7c339fd595b9.jpg.296x216.jpg', '二期一梯一户 满五唯一 花园位置 对流户型', '万科金域华府二期  | 4室2厅 | 169平米 | 东南 | 其他', '低楼层(共26层)塔楼  -  石竹', '530万', '单价31361元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5b09b049-fba9-4f84-84dd-0e94bf7a2d48.jpg.296x216.jpg', '景湖名郡 4室2厅 360万', '景湖名郡  | 4室2厅 | 159.38平米 | 东南 | 简装', '低楼层(共18层)塔楼  -  东泰', '360万', '单价22588元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload06c2b734-6d31-4496-bdc3-2e33d589e04d.jpg.296x216.jpg', '景湖春晓   精装两房  拎包入住', '光大景湖春晓  | 2室2厅 | 85.17平米 | 西南 | 简装', '中楼层(共5层)2005年建暂无数据  -  东泰', '215万', '单价25244元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadefbb4537-e578-45d7-924f-baf242205853.jpg.296x216.jpg', '免双税，小区中间位安静 一楼带花园共160平', '光大景湖春晓  | 2室2厅 | 103.78平米 | 南 | 精装', '低楼层(共11层)2005年建塔楼  -  东泰', '306万', '单价29486元/平米')
('https://image1.ljcdn.com/441900-inspection/da23bd11-7d7e-4f9b-9fa6-1ca5d61d6aaf.jpg.296x216.jpg', '景湖春晓大三房 满五唯一 大阳台', '光大景湖春晓  | 3室2厅 | 134平米 | 南 西 | 精装', '中楼层(共11层)2005年建塔楼  -  东泰', '305万', '单价22762元/平米')
('https://image1.ljcdn.com/441900-inspection/b9738dd7-8358-4c92-9a3d-9e2d349f072b.jpg.296x216.jpg', '毛坯两房 户型方正 采光通风 交通方便', '金域中央四期  | 2室2厅 | 93.49平米 | 南 | 其他', '高楼层(共26层)塔楼  -  南城车站', '200万', '单价21393元/平米')
('https://image1.ljcdn.com/441900-inspection/3ec55455-ffab-40d9-a022-5f7a9e472878.jpg.296x216.jpg', '地段繁华，居家皆宜，生活便利，户型方正，通透性好', '天诚康桥华苑  | 1室1厅 | 49.51平米 | 东北 | 其他', '高楼层(共19层)塔楼  -  鸿福路口', '80万', '单价16159元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2c2bca57-3b6d-4a35-9002-8e4e311a9cc2.jpg.296x216.jpg', '晶城一房一厅，精装修，保养好，采光好，满五不唯一', '晶城  | 1室1厅 | 36平米 | 东北 | 其他', '低楼层(共19层)2008年建板楼  -  石竹', '63万', '单价17500元/平米')
('https://image1.ljcdn.com/441900-inspection/396165e3-50f2-4fd8-9524-b9b53715a674.jpg.296x216.jpg', '石竹新花园 两房两卫 带大花园 满五唯一 看房方便', '石竹新花园  | 2室2厅 | 105.78平米 | 西南 | 简装', '低楼层(共11层)塔楼  -  石竹', '210万', '单价19853元/平米')
('https://image1.ljcdn.com/441900-inspection/f7e8a5a2-88d9-4b2d-9b37-5fd73379221f.jpg.296x216.jpg', '建工大厦  精装住宅 酒店管理 干净整洁', '名门酒店  | 1室0厅 | 46.31平米 | 东南 | 简装', '中楼层(共18层)塔楼  -  三元里', '50万', '单价10797元/平米')
('https://image1.ljcdn.com/441900-inspection/40902b46-e14e-4455-8eb1-597d15ecf212.jpg.296x216.jpg', '此房为居家精致装修，业主自住，保养不错很通透，唯一', '光大景湖春晓  | 4室2厅 | 142.37平米 | 东南 | 精装', '低楼层(共18层)2005年建塔楼  -  东泰', '345万', '单价24233元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9c43f4f4-e6d3-4006-ac5f-00067a0516be.jpg.296x216.jpg', '万科华府二期 朝南四房 通透采光好', '万科金域华府二期  | 4室1厅 | 158.3平米 | 东南 | 其他', '低楼层(共18层)塔楼  -  石竹', '368万', '单价23247元/平米')
('https://image1.ljcdn.com/441900-inspection/9291839d-3ae8-4e74-8d45-cce3c35fb801.jpg.296x216.jpg', '光大景湖花园 居家温馨舒适三房 高楼层采光好', '光大景湖花园  | 3室2厅 | 151.97平米 | 北 | 简装', '中楼层(共16层)2002年建暂无数据  -  东泰', '330万', '单价21715元/平米')
('https://image1.ljcdn.com/441900-inspection/d7b4b9aa-ef11-47b2-8d9c-ae32d5ef8e24.jpg.296x216.jpg', '中信森林湖兰溪谷 4室2厅 540万', '中信森林湖兰溪谷  | 4室2厅 | 163平米 | 西北 | 毛坯', '高楼层(共33层)2012年建塔楼  -  水濂山', '540万', '单价33129元/平米')
('https://image1.ljcdn.com/441900-inspection/44b2650f-2c0e-4d3d-a272-c76985e35494.jpg.296x216.jpg', '香树丽舍两房 满五唯一！！！业主保养好 家私都很名贵', '香树丽舍  | 2室2厅 | 77.14平米 | 北 | 精装', '低楼层(共28层)塔楼  -  南城车站', '175万', '单价22687元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5031e409-02f4-4125-b048-d212879b2a89.jpg.296x216.jpg', '满五唯一  费用低  对花园  安静舒服', '万科金域华府一期  | 3室2厅 | 75.42平米 | 西北 | 精装', '低楼层(共23层)2010年建塔楼  -  石竹', '250万', '单价33148元/平米')
('https://image1.ljcdn.com/441900-inspection/cd698c6d-390a-4a4c-8b25-42d343641be5.jpg.296x216.jpg', '晶城 一房一厅 精装修  方正户型 诚心出售', '晶城  | 1室1厅 | 33.16平米 | 东北 | 其他', '低楼层(共24层)2009年建板楼  -  石竹', '68万', '单价20507元/平米')
('https://image1.ljcdn.com/441900-inspection/3c9a7f11-891a-402c-8fa0-259c0f60eaad.jpg.296x216.jpg', '错层复式 四房正南向看花园 位置安静', '现代经典花园  | 4室2厅 | 189.13平米 | 南 | 简装', '低楼层(共6层)塔楼  -  西平', '283万', '单价14964元/平米')
('https://image1.ljcdn.com/441900-inspection/af5e823e-ce99-436a-90b8-c58a5a444037.jpg.296x216.jpg', '满五唯一 户型方正 旁边元美公园 总价低', '名门世家  | 2室1厅 | 60.86平米 | 东北 | 其他', '高楼层(共17层)2008年建塔楼  -  三元里', '120万', '单价19718元/平米')
('https://image1.ljcdn.com/441900-inspection/1bdf6adc-7dae-4cfa-88a3-e523f0edbd30.jpg.296x216.jpg', '西平鼎峰源著顶楼复式送平台 挑空客厅 景观好看植物园', '鼎峰源著  | 3室2厅 | 169平米 | 南 | 其他', '高楼层(共30层)塔楼  -  水濂山', '480万', '单价28403元/平米')
('https://image1.ljcdn.com/440300-inspection/3419c93e-bbcd-4083-9e88-a23f1d2ad9a9.jpg.296x216.jpg', '大单间 中楼层 视野开阔 采光充足', '光大景湖春晓  | 1室0厅 | 47.98平米 | 西北 | 简装', '高楼层(共18层)2005年建塔楼  -  东泰', '86万', '单价17925元/平米')
('https://image1.ljcdn.com/441900-inspection/e959a292-ca9b-45b7-9da3-cd655a2ac90f.jpg.296x216.jpg', '东骏豪苑 高楼层 新装修 少有三房 三阳台户型', '东骏豪苑  | 3室2厅 | 134.12平米 | 西南 | 精装', '中楼层(共15层)塔楼  -  西平', '320万', '单价23860元/平米')
('https://image1.ljcdn.com/441900-inspection/78de3385-14ad-42f1-8259-176f1b1e6bab.jpg.296x216.jpg', '现代经典 安静南向四房两厅出售', '现代经典花园  | 4室2厅 | 199.35平米 | 南 | 其他', '低楼层(共7层)塔楼  -  西平', '260万', '单价13043元/平米')
('https://image1.ljcdn.com/441900-inspection/e70b1279-4bda-4969-9b3f-0b8956ffcd2d.jpg.296x216.jpg', '此房装修好 家私家电齐 位置安静 朝西南', '丰盛名苑  | 1室1厅 | 51平米 | 西南 | 其他', '低楼层(共11层)暂无数据  -  南城车站', '95万', '单价18628元/平米')
('https://image1.ljcdn.com/441900-inspection/9a2487f7-7c4e-4a12-a0eb-f0fe3a90a589.jpg.296x216.jpg', '业主自住，高档装修，户型方正实用  适合居家', '宏远时代广场  | 3室2厅 | 137.74平米 | 东南 | 其他', '中楼层(共20层)1999年建塔楼  -  运河东', '200万', '单价14521元/平米')
('https://image1.ljcdn.com/441900-inspection/2d080f1f-64e0-4bad-ab40-f626dea6794b.jpg.296x216.jpg', '顶楼复式，满五唯一，精装看湖三层送露台', '东骏豪苑  | 5室2厅 | 322.55平米 | 西北 | 精装', '高楼层(共10层)塔楼  -  西平', '960万', '单价29763元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload898acc03-b473-444f-88fc-1bba6a571788.jpg.296x216.jpg', '万科金域华府 精装2居室 花园中间 安静舒适', '万科金域华府二期  | 2室2厅 | 77.41平米 | 西南 | 精装', '低楼层(共26层)塔楼  -  石竹', '186万', '单价24028元/平米')
('https://image1.ljcdn.com/441900-inspection/274bf45b-5c47-4f62-aff8-c5109f7c3722.jpg.296x216.jpg', '房子看花园 安静 温馨舒适 配套成熟', '中信新天地  | 1室1厅 | 52.88平米 | 西北 | 其他', '高楼层(共19层)2004年建塔楼  -  石竹', '95万', '单价17966元/平米')
('https://image1.ljcdn.com/441900-inspection/4e9be317-5a70-4aa7-bca8-454172954cf8.jpg.296x216.jpg', '满五唯一，高楼层，看花园，采光好无遮挡', '石竹新花园  | 3室2厅 | 108.38平米 | 西北 | 其他', '中楼层(共16层)塔楼  -  石竹', '220万', '单价20299元/平米')
('https://image1.ljcdn.com/441900-inspection/1f45a486-0633-4967-9a1e-d510beca70b1.jpg.296x216.jpg', '石竹新花园，绿化比高，户型方正，成熟小区。', '石竹新花园  | 5室2厅 | 129.53平米 | 南 | 其他', '低楼层(共12层)塔楼  -  石竹', '250万', '单价19301元/平米')
('https://image1.ljcdn.com/441900-inspection/16b6aacc-1c79-43ea-b374-e904ff17a9f5.jpg.296x216.jpg', '单证 单证 单证 东南朝向 3+2户型 景观好', '世纪城国际公馆三期仁里  | 5室2厅 | 176.01平米 | 南 | 毛坯', '高楼层(共18层)塔楼  -  西平', '450万', '单价25567元/平米')
('https://image1.ljcdn.com/441900-inspection/a198ae4d-7a7e-43d1-910a-e8814adcebb0.jpg.296x216.jpg', '未来世界花园 车位 15万', '未来世界花园  | 车位 | 12.5平米 | 东南', '暂无数据  -  东泰', '15万', '单价12000元/平米')
