('https://image1.ljcdn.com/330100-inspection/6f4321b9-f318-42b7-9cac-b174e9c69cab.jpg.296x216.jpg', '莫干新村 满五唯一 小三房 送院子', '莫干新村  | 2室1厅 | 64.87平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1982年建板楼  -  湖墅', '272万', '单价41931元/平米')
('https://image1.ljcdn.com/330100-inspection/07275c23-d3a9-4594-8148-f1599db1cf05.jpg.296x216.jpg', '精装修，大关东二苑好房新上。。', '大关东二苑  | 2室1厅 | 66.97平米 | 南 北 | 精装 | 无电梯', '低楼层(共7层)1995年建板楼  -  大关', '255万', '单价38077元/平米')
('https://image1.ljcdn.com/330100-inspection/bb26b42f-a9b0-44a6-8339-46fdc255a9e9.jpg.296x216.jpg', '满五且名下一套+一梯两户+精选修+运河小区', '定海西园  | 2室2厅 | 71.13平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2006年建板楼  -  拱宸桥', '300万', '单价42177元/平米')
('https://image1.ljcdn.com/330100-inspection/d2a76c04-1275-4396-b9f7-24f25b2b9830.jpg.296x216.jpg', '户型正气+精装修+南北通+免增值税+房东诚心出售', '九龙仓碧玺  | 2室2厅 | 82.12平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2015年建板楼  -  桥西', '580万', '单价70629元/平米')
('https://image1.ljcdn.com/330100-inspection/f2a5a1b6-ed79-45ee-a6e2-fda41989f274.jpg.296x216.jpg', '全明边套 楼层适中 距离市二医院仅50米', '两宜里  | 3室1厅 | 67.24平米 | 南 西北 北 | 毛坯', '中楼层(共5层)1989年建板楼  -  拱宸桥', '260万', '单价38668元/平米')
('https://image1.ljcdn.com/330100-inspection/ed52ad89-0a0b-4bea-8e40-999898eaa8f7.jpg.296x216.jpg', '楼层合适，采光没有遮挡，运河少有商品房，价格合适。', '运河东苑  | 3室2厅 | 149.06平米 | 南 | 精装 | 有电梯', '低楼层(共17层)1998年建板楼  -  拱宸桥', '570万', '单价38240元/平米')
('https://image1.ljcdn.com/330100-inspection/57457390-cec2-4847-a69b-032734443520.jpg.296x216.jpg', '清新两房朝南 格局大 南北通透 明厨明卫', '蚕花园永和坊  | 2室1厅 | 65.23平米 | 南 | 简装 | 无电梯', '低楼层(共7层)2000年建板楼  -  拱宸桥', '245万', '单价37560元/平米')
('https://image1.ljcdn.com/330100-inspection/217779dd-54ad-4842-9032-fd5a252ab50f.jpg.296x216.jpg', '金星桃源居大两房  户型量好 楼层佳', '金星桃源居  | 2室1厅 | 69.96平米 | 南 北 | 简装 | 有电梯', '中楼层(共28层)2010年建板楼  -  半山', '205万', '单价29303元/平米')
('https://image1.ljcdn.com/330100-inspection/ba70f178-1338-4636-aa11-eb8529217a6d.jpg.296x216.jpg', '03年多成 可改两室 免双税 自住精装', '拱宸新苑  | 1室2厅 | 60.46平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2001年建板楼  -  拱宸桥', '240万', '单价39696元/平米')
('https://image1.ljcdn.com/330100-inspection/78e092aa-c052-4b19-8f1f-c1aec54887d7.jpg.296x216.jpg', '远洋大河宸章 2室1厅 560万', '远洋大河宸章  | 2室1厅 | 89.28平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2014年建板楼  -  桥西', '560万', '单价62725元/平米')
('https://image1.ljcdn.com/330100-inspection/f09dae9f-e470-4254-8db5-2c0393b8c0b5.jpg.296x216.jpg', '芳满庭 3室2厅 455万', '芳满庭  | 3室2厅 | 89.25平米 | 南 北 | 精装 | 有电梯', '低楼层(共22层)2008年建板楼  -  申花', '455万', '单价50981元/平米')
('https://image1.ljcdn.com/330100-inspection/ee3807f8-2aec-453d-880d-6a1f8e522c0f.jpg.296x216.jpg', '左家新村 两房朝南  卖鱼桥本部  1T2户 户型正气', '左家新村  | 2室1厅 | 69.96平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1993年建板楼  -  湖墅', '300万', '单价42882元/平米')
('https://image1.ljcdn.com/330100-inspection/799af34b-55d9-4744-955a-56142544efc4.jpg.296x216.jpg', '带管媒，清爽装修，无增值税，看房方便，诚心出售', '云河大厦  | 1室1厅 | 34.03平米 | 北 | 简装 | 有电梯', '高楼层(共18层)2002年建塔楼  -  信义坊', '153万', '单价44961元/平米')
('https://image1.ljcdn.com/330100-inspection/ca102065-8142-40a4-a69f-8f7b57ca4cd9.jpg.296x216.jpg', '70年产权LOFT结构 买一层送一层  采光视野好', '嘉泰馨庭  | 2室2厅 | 69.85平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2009年建板楼  -  桥西', '352万', '单价50394元/平米')
('https://image1.ljcdn.com/330100-inspection/9a55bd2e-654c-4f66-871c-fc31438b8947.jpg.296x216.jpg', '锦昌文华苑  运河边的三居室 楼层佳 采光好 小区中间', '锦昌文华苑  | 3室2厅 | 129.14平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2007年建板楼  -  拱宸桥', '672万', '单价52037元/平米')
('https://image1.ljcdn.com/330100-inspection/a5a95d49-abcd-42c7-b110-6cb3cc1acab1.jpg.296x216.jpg', '大三房 厅有25方左右 装修清爽 免双税', '小河佳苑  | 3室2厅 | 113.78平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  和睦', '400万', '单价35156元/平米')
('https://image1.ljcdn.com/330100-inspection/6bfa14fd-2c2d-4542-b959-9b94b666d13e.jpg.296x216.jpg', '紫荆家园，双卖小好房，全明户型，自住装修，拎包入住', '紫荆家园  | 2室1厅 | 84.08平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2001年建板楼  -  拱宸桥', '408万', '单价48526元/平米')
('https://image1.ljcdn.com/330100-inspection/165fb197-e933-44b0-9535-81b5d1d7c281.jpg.296x216.jpg', '仓基新村，一楼带院子，诚心出售，看房方便', '仓基新村  | 3室1厅 | 79.32平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  信义坊', '330万', '单价41604元/平米')
('https://image1.ljcdn.com/330100-inspection/396dbe3e-58c6-443c-a461-eb40cec734b8.jpg.296x216.jpg', '田园牧歌风禾苑自住精装修满两年送储藏间和一个小露台', '绿城西子田园牧歌  | 2室1厅 | 84.14平米 | 南 北 | 精装 | 有电梯', '低楼层(共15层)2013年建板楼  -  半山', '320万', '单价38032元/平米')
('https://image1.ljcdn.com/330100-inspection/b2c0daf3-dd3f-4105-90da-fb71dd8e33e3.jpg.296x216.jpg', '上岛公馆，一线运河景观，视野好，阳台多，次新房！', '清水公寓  | 4室2厅 | 225.41平米 | 南 西 北 | 毛坯 | 有电梯', '中楼层(共20层)2011年建板楼  -  德胜', '1350万', '单价59891元/平米')
('https://image1.ljcdn.com/330100-inspection/cf8decda-22d1-408a-b4f8-00356f1869a8.jpg.296x216.jpg', '大关大两房出售 中间楼层  诚心出售', '大关东六苑  | 2室2厅 | 82平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  大关', '280万', '单价34147元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadfae9e02e-2a15-460e-9567-599685f5b2f4.jpg.296x216.jpg', '南北通透格局边套户型 业主诚心出售', '小河佳苑  | 2室1厅 | 93.08平米 | 南 | 精装 | 有电梯', '中楼层(共8层)2007年建板楼  -  和睦', '336万', '单价36098元/平米')
('https://image1.ljcdn.com/330100-inspection/67128cdc-6b3f-4da8-acc7-67f558352b6e.jpg.296x216.jpg', '刚需改善大三房 2002年欧式建筑风格品质小区', '盛德嘉苑  | 3室2厅 | 131平米 | 西南 | 简装 | 有电梯', '中楼层(共11层)2002年建板楼  -  德胜', '590万', '单价45039元/平米')
('https://image1.ljcdn.com/330100-inspection/test-e584acfd-9c6e-41dd-9188-37c73c0223d3.png.296x216.jpg', '景上公寓 精装80万 运河一线景观东边套适合有品位的你', '景上公寓  | 3室2厅 | 132.09平米 | 东南 南 | 精装 | 有电梯', '高楼层(共11层)2008年建板楼  -  和睦', '710万', '单价53752元/平米')
('https://image1.ljcdn.com/330100-inspection/8d265365-a578-4c66-82bc-734a509a4801.jpg.296x216.jpg', '稻香园北区 大三房 户型正气 诚心出售', '稻香园北区  | 3室2厅 | 104.56平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1997年建板楼  -  湖墅', '418万', '单价39978元/平米')
('https://image1.ljcdn.com/330100-inspection/77a60c8c-76d3-418f-9728-c66da1721c4d.jpg.296x216.jpg', '2000年后电梯房+总价低+免征两税+房东诚', '蚕花园永宁坊  | 2室1厅 | 66.16平米 | 南 | 简装 | 有电梯', '高楼层(共22层)2000年建板楼  -  拱宸桥', '185万', '单价27963元/平米')
('https://image1.ljcdn.com/330100-inspection/test-2c5ec59d-848c-4d08-b057-21039c9f6975.png.296x216.jpg', '叶青兜路刚需大两房 精装修 视野好采光好', '叶青随苑  | 2室2厅 | 86.12平米 | 东 南 | 精装 | 有电梯', '中楼层(共11层)1999年建板楼  -  湖墅', '410万', '单价47608元/平米')
('https://image1.ljcdn.com/330100-inspection/46d21878-a884-47ce-a9aa-ff8c62469098.jpg.296x216.jpg', '精装公寓，居住舒适，楼层采光都不错', '宜家时代  | 2室1厅 | 69.9平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2010年建板楼  -  桥西', '147万', '单价21031元/平米')
('https://image1.ljcdn.com/330100-inspection/7aaee96b-871d-43dd-b211-448f972df017.jpg.296x216.jpg', '此房南北通透格局好，全明户型，视野阔绰，采光充足', '大关南八苑  | 3室2厅 | 95平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  大关', '410万', '单价43158元/平米')
('https://image1.ljcdn.com/330100-inspection/1a30da24-ca8e-4b7d-86a1-572c6b1683b2.JPG.296x216.jpg', '运河边，赠送超大露台，精装修，单价低于市场价', '左岸花园  | 5室2厅 | 196.78平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  拱宸桥', '646万', '单价32829元/平米')
('https://image1.ljcdn.com/330100-inspection/9ff507e9-009b-480c-a564-52aec96bb603.jpg.296x216.jpg', '南北通透，楼层适中，满屋唯一免双税', '小河佳苑  | 2室2厅 | 66.62平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2005年建板楼  -  和睦', '250万', '单价37527元/平米')
('https://image1.ljcdn.com/330100-inspection/c6204681-8c7b-4378-8607-430ee6f324f1.jpg.296x216.jpg', '东边套 中间楼层 明厨明卫 清爽装修', '蚕花园永兴坊  | 2室1厅 | 55.2平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  拱宸桥', '225万', '单价40761元/平米')
('https://image1.ljcdn.com/330100-inspection/3aab87a5-f8df-4293-ae99-3a0958247766.jpg.296x216.jpg', '经典户型，格局好空间大得房率高，领包入住城北', '天鸿香榭里  | 5室2厅 | 133.39平米 | 南 北 | 简装 | 有电梯', '中楼层(共20层)2012年建板楼  -  万达广场', '500万', '单价37485元/平米')
('https://image1.ljcdn.com/330100-inspection/6acd4dca-1a1a-4c97-803d-8a1b796dadc9.jpg.296x216.jpg', '小套户型 两房一厅精装修花了20万 可以直接拎包入住', '莫干山路70号  | 3室1厅 | 51.56平米 | 南 | 精装 | 无电梯', '低楼层(共5层)1996年建板楼  -  湖墅', '220万', '单价42669元/平米')
('https://image1.ljcdn.com/330100-inspection/971f8afc-9b7a-4a74-8798-fac685dd2f60.jpg.296x216.jpg', '庆隆苑小两房 房龄新 不沿街卫生间带窗户', '庆隆苑  | 2室1厅 | 65.11平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2004年建板塔结合  -  和睦', '270万', '单价41469元/平米')
('https://image1.ljcdn.com/330100-inspection/5688c8be-c2ec-4ffa-baee-0e902890ead4.jpg.296x216.jpg', '南北通透 四房朝南  采光好 动静分离 拎包入住', '圣都公寓  | 4室3厅 | 201.87平米 | 南 北 | 精装 | 有电梯', '高楼层(共15层)2000年建塔楼  -  湖墅', '705万', '单价34924元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadce1945c7-c023-44fa-96a1-460f1308060a.jpg.296x216.jpg', '大关南六苑，满五年，清爽装修，可拎包入住', '大关南六苑  | 1室1厅 | 50.75平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  大关', '190万', '单价37439元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload94dfc5c3-9efd-492a-bdc9-61b3149c058b.jpg.296x216.jpg', '名城公馆 40万自住装修 拎包入住 房东诚心出售', '名城公馆  | 3室1厅 | 88.49平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2013年建板楼  -  桥西', '520万', '单价58764元/平米')
('https://image1.ljcdn.com/330100-inspection/2218f902-88ad-448b-ba21-979768574dae.jpg.296x216.jpg', '户型正气，可读卖小，置换可选，房龄新。', '圣都公寓  | 4室2厅 | 178.47平米 | 南 | 简装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  湖墅', '666万', '单价37318元/平米')
('https://image1.ljcdn.com/330100-inspection/e6df903a-5210-4e69-b257-a416839d0038.jpg.296x216.jpg', '优质好房，配套设施齐全，房东诚心卖', '黄龙金茂悦  | 4室2厅 | 138.09平米 | 南 | 毛坯', '低楼层(共27层)2017年建板楼  -  申花', '680万', '单价49244元/平米')
('https://image1.ljcdn.com/330100-inspection/838a414b-055d-4378-ab2a-fc689d161745.jpg.296x216.jpg', '美林湾好房 房东诚心出售 小区正中', '天阳美林湾  | 4室2厅 | 133平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2008年建板楼  -  申花', '520万', '单价39098元/平米')
('https://image1.ljcdn.com/330100-inspection/56a5cf9b-d128-4b73-904e-4cd2d63013c5.jpg.296x216.jpg', '锦绣新村 自住精装修 总价低 两房户型正气', '锦绣新村  | 2室1厅 | 53.12平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1998年建板楼  -  湖墅', '230万', '单价43299元/平米')
('https://image1.ljcdn.com/330100-inspection/74177a4d-5d0a-4497-836e-a95d38ae770b.jpg.296x216.jpg', '新上房源上岛公馆，精装两房朝南，次新房', '清水公寓  | 2室1厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共20层)2011年建板楼  -  德胜', '520万', '单价58427元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploaddb5834e7-f665-402f-b83e-0fbe6b732371.jpg.296x216.jpg', '新上西边套 精装修 电梯房 看房方便', '左家新村  | 2室1厅 | 78.76平米 | 西南 | 精装 | 有电梯', '低楼层(共20层)1996年建板楼  -  湖墅', '340万', '单价43170元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload214e5ef6-b5a0-41f9-88cd-f41e9cf9b83e.jpg.296x216.jpg', '水滟苑 主城区 拱墅 东边套 简装 看房方便', '都市水乡水滟苑  | 2室2厅 | 92.17平米 | 东南 | 简装 | 有电梯', '中楼层(共15层)2008年建板楼  -  三墩', '285万', '单价30922元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload18365eb4-9e8d-4add-afa1-2918b794a237.jpg.296x216.jpg', '三宝新村虽然面积小，但做成2房2厅格局，精装修', '三宝新村  | 2室1厅 | 47.42平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1988年建板楼  -  信义坊', '200万', '单价42177元/平米')
('https://image1.ljcdn.com/330100-inspection/b873f0b9-e853-415a-9e50-da9cc6b0316a.jpg.296x216.jpg', '半山好房，依山傍水总价低可以贷款', '轧钢小区  | 2室1厅 | 57.35平米 | 南 | 简装', '中楼层(共5层)暂无数据  -  半山', '150万', '单价26156元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadd001ab30-d7f4-4e6a-a8a8-93207ff496c9.jpg.296x216.jpg', '卖鱼桥直辖小区 刚需过渡三居室 满五年是唯一住房', '假山新村  | 3室2厅 | 87.71平米 | 东 | 简装 | 无电梯', '高楼层(共7层)1992年建板楼  -  德胜', '360万', '单价41045元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadfc4df3e7-5e2d-475b-a928-f7b0c34b1a90.jpg.296x216.jpg', '此房为电梯房，客厅宽敞，简单装修，可自行改', '稻香园南区  | 3室1厅 | 99.41平米 | 西 | 简装 | 有电梯', '高楼层(共18层)2000年建板楼  -  湖墅', '360万', '单价36214元/平米')
('https://image1.ljcdn.com/330100-inspection/b21ffbf3-b28f-45f8-89a8-824bd10c8ccf.jpg.296x216.jpg', '绿城精装修，4房，适合改善居住，最重要的房东诚心卖', '绿城慧园  | 4室2厅 | 192平米 | 东 南 北 | 精装 | 有电梯', '低楼层(共21层)2014年建板塔结合  -  申花', '1100万', '单价57292元/平米')
