('https://image1.ljcdn.com/370200-inspection/1e981338-8854-4319-b37f-00f04dcca510.JPG.296x216.jpg', '瑞纳花园 小高层套三 户型方正 距离地铁11号线500米', '瑞纳花园  | 3室1厅 | 115.43平米 | 南 西 | 其他 | 有电梯', '中楼层(共12层)2000年建板楼  -  石老人', '406万', '单价35173元/平米')
('https://image1.ljcdn.com/370200-inspection/2a8380e5-a703-4905-b3eb-0caacc6c17f2.jpg.296x216.jpg', '东城国际北区 精装套二 满五年 全明户型 诚心出售', '海尔东城国际北区  | 2室2厅 | 110.55平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2008年建板塔结合  -  颐中体育场', '442万', '单价39982元/平米')
('https://image1.ljcdn.com/370200-inspection/2ccaa49e-9193-4291-8e40-c51ee99fa22c.jpg.296x216.jpg', '精装修 海景好 人车分流 高层带电梯 通透户型', '金光都市名家  | 3室2厅 | 137.14平米 | 南 北 | 精装 | 有电梯', '中楼层(共20层)2006年建板塔结合  -  麦岛', '620万', '单价45210元/平米')
('https://image1.ljcdn.com/370200-inspection/ca702555-11a9-44f4-a89c-a1ef6d96ca30.jpg.296x216.jpg', '亚麦山城，元宝户型、南北通透，满五年唯一住房省税', '亚麦山城一期  | 3室2厅 | 165.13平米 | 南 北 | 精装 | 有电梯', '低楼层(共14层)2006年建板楼  -  雕塑园', '627万', '单价37971元/平米')
('https://image1.ljcdn.com/370200-inspection/0996a8c8-9296-4535-b342-e0aa761fdd40.jpg.296x216.jpg', '平层大套四 安静不靠路 免双税 视野好 底价有惊喜', '鲁信长春花园  | 4室2厅 | 201.34平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  颐中体育场', '798万', '单价39635元/平米')
('https://image1.ljcdn.com/370200-inspection/3bbeb632-4cb3-43fb-911e-e01bbefb6d61.jpg.296x216.jpg', '前海花园 套二好房 多层二楼 南北通透 采光好', '前海花园  | 2室1厅 | 85.51平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  西姜', '236万', '单价27600元/平米')
('https://image1.ljcdn.com/370200-inspection/64fb0365-9960-4a48-9622-87e850c7cbc5.jpg.296x216.jpg', '高楼层海景房，落地窗设计，带大阳台，满5年', '千禧龙苑二期  | 1室1厅 | 78.2平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2010年建板楼  -  石老人', '298万', '单价38108元/平米')
('https://image1.ljcdn.com/370200-inspection/b839bb8b-c40b-4d89-913f-b94c480e1aa1.JPG.296x216.jpg', '千禧龙苑 全明户型 南北通透 南北大阳台 精装修', '千禧龙苑一期  | 3室2厅 | 196.95平米 | 南 北 | 精装 | 无电梯', '中楼层(共4层)2001年建板楼  -  石老人', '820万', '单价41635元/平米')
('https://image1.ljcdn.com/370200-inspection/e7afb449-dada-4228-ad8a-fc0aadfd9c81.JPG.296x216.jpg', '麒麟山庄 满五年 全明户型 100平米露台 车库 储藏室', '麒麟山庄  | 2室2厅 | 112.57平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共4层)2005年建板楼  -  沙子口', '385万', '单价34201元/平米')
('https://image1.ljcdn.com/370200-inspection/6b83cc17-cbe3-4d2a-ba79-a6dfd5405fdd.JPG.296x216.jpg', '山水名园二期，精装修复式，户型方正', '山水名园二期  | 2室2厅 | 128平米 | 南 | 精装 | 有电梯', '低楼层(共12层)2009年建板楼  -  石老人', '425万', '单价33204元/平米')
('https://image1.ljcdn.com/370200-inspection/test-1571fded-6a25-4ad1-9a9e-1a6df6b6b6b4.png.296x216.jpg', '海逸翠庭 海景套三 精装未住 停车方便', '海逸翠庭  | 3室2厅 | 200.21平米 | 南 北 | 精装 | 无电梯', '中楼层(共4层)2005年建板楼  -  西姜', '795万', '单价39709元/平米')
('https://image1.ljcdn.com/370200-inspection/780ae4d3-130f-4834-8c03-9559aace8863.jpg.296x216.jpg', '远洋风景精装套三，短住，视野好，拎包住 省增值税', '远洋风景  | 3室2厅 | 159.34平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2013年建板楼  -  颐中体育场', '760万', '单价47697元/平米')
('https://image1.ljcdn.com/370200-inspection/b361be5e-b20c-49b2-bf71-343652936af5.jpg.296x216.jpg', '鲁信小黄楼，大套三，精装修，有独立车库可一起出售', '鲁信长春花园  | 3室2厅 | 161.47平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2006年建板楼  -  颐中体育场', '636万', '单价39389元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload7f4051e2-d0bb-4f7e-86d7-37a4d64ad13d.jpg.296x216.jpg', '金顶花园，多层顶加阁，满五年，带露台，耳朵户型！', '金顶花园  | 4室2厅 | 123.2平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2007年建板塔结合  -  颐中体育场', '650万', '单价52760元/平米')
('https://image1.ljcdn.com/370200-inspection/514dbd53-72f9-45d9-b622-b2167b1ba4f8.jpg.296x216.jpg', '山水名园二期 带电梯顶楼复式 海景好 带车位', '山水名园二期  | 3室2厅 | 207.12平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2009年建板楼  -  石老人', '960万', '单价46350元/平米')
('https://image1.ljcdn.com/370200-inspection/72f01952-aada-4cf4-a082-e3591e1223ca.jpg.296x216.jpg', '精装房随时签约，位置安静，精装修，居住便利', '奥林花园  | 4室2厅 | 141.4平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  颐中体育场', '600万', '单价42433元/平米')
('https://image1.ljcdn.com/370200-inspection/a0effebb-99f8-4b38-be3e-892f49b0db35.jpg.296x216.jpg', '海风花园，多层带电梯，花园示范小区急售好房随时看房', '海风花园  | 3室2厅 | 124.3平米 | 南 | 精装 | 有电梯', '中楼层(共5层)2001年建板楼  -  雕塑园', '630万', '单价50684元/平米')
('https://image1.ljcdn.com/370200-inspection/49c0d5c4-ae54-4425-8589-2252d6f56225.jpg.296x216.jpg', '千禧龙苑二期 高层海景房 全海景 送车位', '千禧龙苑二期  | 1室1厅 | 71.86平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2010年建板楼  -  石老人', '295万', '单价41053元/平米')
('https://image1.ljcdn.com/370200-inspection/8326c717-e953-4a83-b255-051dbcfdff32.jpg.296x216.jpg', '新上小高层套三 精装一楼带院 位置安静 随时看房！', '海尔东城国际北区  | 3室1厅 | 102.39平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2008年建板塔结合  -  颐中体育场', '405万', '单价39555元/平米')
('https://image1.ljcdn.com/370200-inspection/b8a2fde0-1033-4200-adfd-bbc5dc6b0798.JPG.296x216.jpg', '小家也有大天地，国际名都精致一室小户型，满五唯一。', '国际名都  | 1室1厅 | 65.17平米 | 东 | 简装 | 有电梯', '中楼层(共17层)2007年建板楼  -  汽车东站', '199万', '单价30536元/平米')
('https://image1.ljcdn.com/370200-inspection/635e5a72-5926-410f-b765-31168b78178c.jpg.296x216.jpg', '丽海花园东明厅套二，适合给老人或者孩子就学方便', '丽海花园一期  | 2室2厅 | 80.51平米 | 东 南 北 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  崂山CBD', '305万', '单价37884元/平米')
('https://image1.ljcdn.com/370200-inspection/f187232d-26b0-444d-8506-2f7040bf53fb.jpg.296x216.jpg', '瑞纳花园  高层看海  户型方正  大户型套三', '瑞纳花园  | 2室2厅 | 115平米 | 南 西 | 简装 | 有电梯', '高楼层(共12层)2000年建板楼  -  石老人', '410万', '单价35653元/平米')
('https://image1.ljcdn.com/370200-inspection/7b5bb49a-305c-47cb-9b04-571193f13b5f.jpg.296x216.jpg', '鲁信全明大套三   满五年唯一  有车位  视野超棒', '鲁信长春花园  | 3室2厅 | 155.98平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2008年建板楼  -  颐中体育场', '550万', '单价35261元/平米')
('https://image1.ljcdn.com/370200-inspection/a75ce051-7a6d-48e3-9bda-4bf0bafe80c7.jpg.296x216.jpg', '龙安新苑 新上复式海景房 带阁楼 送观海平台 随时看房', '龙安新苑  | 6室2厅 | 199平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)2003年建板楼  -  雕塑园', '935万', '单价46985元/平米')
('https://image1.ljcdn.com/370200-inspection/66203104-e91b-483a-91be-00a0440ef6ba.JPG.296x216.jpg', '金狮广场北侧裕龙大厦 东户方正 看山看海 随时看房', '裕龙大厦  | 3室2厅 | 243.67平米 | 南 | 其他 | 有电梯', '低楼层(共26层)2004年建板楼  -  崂山CBD', '536万', '单价21997元/平米')
('https://image1.ljcdn.com/370200-inspection/test-a16542e3-3497-444a-a5c7-4c982d3214b9.png.296x216.jpg', '中南公寓 优质三居 全天采光 看山看海', '中南公寓  | 3室2厅 | 132.49平米 | 南 西 | 简装 | 有电梯', '高楼层(共18层)2004年建塔楼  -  崂山CBD', '425万', '单价32078元/平米')
('https://image1.ljcdn.com/370200-inspection/48f40ad3-b263-459d-bd96-dd5e23586afc.JPG.296x216.jpg', '国际名都  大户型套一  可改套二  随时看房', '国际名都  | 1室1厅 | 71.69平米 | 西北 | 其他 | 有电梯', '中楼层(共13层)2007年建板楼  -  汽车东站', '179万', '单价24969元/平米')
('https://image1.ljcdn.com/370200-inspection/ffe420e2-899e-448c-9521-78825a0c2bcc.jpg.296x216.jpg', '康城 新上元宝三居 位置佳 钥匙随时看房 全明通透户型', '康城  | 3室2厅 | 134.44平米 | 南 北 | 简装 | 有电梯', '低楼层(共16层)2009年建板楼  -  汽车东站', '498万', '单价37043元/平米')
('https://image1.ljcdn.com/370200-inspection/dcf95dba-e537-4d79-8525-8088b910736d.jpg.296x216.jpg', '东岳海花园 精装套二 婚房居家不二选 采光视野好', '东岳海花园  | 2室2厅 | 109.94平米 | 南 | 精装 | 有电梯', '高楼层(共20层)2007年建板楼  -  汽车东站', '355万', '单价32291元/平米')
('https://image1.ljcdn.com/370200-inspection/0b65bd7e-1d08-402c-b878-e94b0ef74fab.jpg.296x216.jpg', '东岳海花园 低价三居 中高楼层 双阳台 上育才 近地铁', '东岳海花园  | 3室1厅 | 124.11平米 | 南 北 | 精装 | 有电梯', '中楼层(共23层)2007年建板楼  -  汽车东站', '397万', '单价31988元/平米')
('https://image1.ljcdn.com/370200-inspection/ff20cec5-a631-4dea-b4f2-5d5af7c84d84.jpg.296x216.jpg', '金岭花园A区 M2&M11双地铁 精装修 带阁楼 带露台', '金岭花园A区  | 2室1厅 | 82.28平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  崂山CBD', '329万', '单价39986元/平米')
('https://image1.ljcdn.com/370200-inspection/1f964850-50ef-40a9-b5a0-dccf725787c4.JPG.296x216.jpg', '山海花园 把东头看海大套二 可改套三 集中供暖', '山海花园  | 2室2厅 | 116.12平米 | 东 南 北 | 精装 | 无电梯', '低楼层(共3层)2001年建板楼  -  西姜', '369万', '单价31778元/平米')
('https://image1.ljcdn.com/370200-inspection/2f40e80e-68c5-473f-890c-5a588c4d307c.jpg.296x216.jpg', '竹韵山色 顶加阁看房方便 业主诚心卖', '竹韵山色一期  | 5室1厅 | 86.86平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2010年建板楼  -  北村', '330万', '单价37993元/平米')
('https://image1.ljcdn.com/370200-inspection/1ad4343b-ed16-4e04-9b9f-e1416eaaa3b9.jpg.296x216.jpg', '远洋风景 满两年 高楼层 南北通透套二 看山景', '远洋风景  | 2室2厅 | 90.14平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2013年建板楼  -  颐中体育场', '425万', '单价47149元/平米')
('https://image1.ljcdn.com/370200-inspection/test-7cfab131-b294-4784-826b-054fb9f634ce.png.296x216.jpg', '位置安静，送车位，有钥匙看房方便，诚意出售', '恩马文景园  | 3室2厅 | 145.53平米 | 南 北 | 其他 | 有电梯', '低楼层(共31层)2011年建板楼  -  崂山CBD', '580万', '单价39855元/平米')
('https://image1.ljcdn.com/370200-inspection/54a3e582-d940-4341-9275-e4b327983ae1.jpg.296x216.jpg', '高楼层海景房，精装未住，采光好', '山水名园三期  | 2室2厅 | 119.6平米 | 南 北 | 精装 | 有电梯', '中楼层(共14层)2010年建板楼  -  石老人', '500万', '单价41807元/平米')
('https://image1.ljcdn.com/370200-inspection/test-8f39f6d0-04f2-475c-a9c9-fd6a35509c17.png.296x216.jpg', '锦绣花园 满五唯一 楼层适中 一梯一户！', '锦绣花园  | 3室2厅 | 141.54平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1999年建板楼  -  西姜', '342万', '单价24163元/平米')
('https://image1.ljcdn.com/370200-inspection/64b12357-8c59-4307-9538-7d30042707ce.jpg.296x216.jpg', '金领世家 装修好，楼层高，视野采光好', '金领世家  | 2室1厅 | 114.87平米 | 南 | 其他 | 有电梯', '中楼层(共19层)2009年建板楼  -  崂山CBD', '485万', '单价42222元/平米')
('https://image1.ljcdn.com/370200-inspection/f9728982-af8d-4a8a-b7f7-722fe31da659.jpg.296x216.jpg', '尚东区 典藏套二 全明户型 业主急售 育才+地铁', '青建尚东区  | 2室2厅 | 90.88平米 | 南 北 | 简装 | 有电梯', '低楼层(共23层)2009年建板楼  -  汽车东站', '360万', '单价39613元/平米')
('https://image1.ljcdn.com/370200-inspection/938c5c41-ea95-442a-989b-37aea47f3926.jpg.296x216.jpg', '樱海园 精装大套三 全海景 俯瞰雕塑园无遮挡 浮山山景', '樱海园二期  | 3室2厅 | 177.36平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2010年建板楼  -  雕塑园', '872万', '单价49166元/平米')
('https://image1.ljcdn.com/370200-inspection/e77f3cbe-cc87-4504-aa2a-6959d9f88742.jpg.296x216.jpg', '多层带电梯 采光足 小区中间位置 元宝户型', '金光都市名家  | 3室2厅 | 146平米 | 南 北 | 其他 | 有电梯', '高楼层(共6层)2006年建板楼  -  麦岛', '750万', '单价51370元/平米')
('https://image1.ljcdn.com/370200-inspection/5ee09db2-715a-498b-b13f-9918842913e2.jpg.296x216.jpg', '浮山前 凯旋公寓 南北通透 精装套四 采光好 送阁楼', '凯旋公寓  | 4室2厅 | 149.37平米 | 东 南 西 | 其他 | 无电梯', '高楼层(共5层)1999年建板楼  -  雕塑园', '600万', '单价40169元/平米')
('https://image1.ljcdn.com/370200-inspection/test-2c9073aa-3744-469c-80cc-b4ecb55dfddb.png.296x216.jpg', '此房满五年诚意出售，装修保护好，地理位置优越', '凯旋家园  | 3室2厅 | 147.01平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2004年建板楼  -  崂山CBD', '530万', '单价36052元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload57b7721d-d182-4e92-8cf7-81c1508029fb.jpg.296x216.jpg', '多层看海 视野开阔 户型方正 三南卧', '金海湾  | 3室2厅 | 144.21平米 | 南 北 | 其他 | 无电梯', '中楼层(共4层)1998年建板楼  -  雕塑园', '666万', '单价46183元/平米')
('https://image1.ljcdn.com/370200-inspection/316dd682-5c15-466a-81ea-238ae7ceaf4c.JPG.296x216.jpg', '石老人花园。5个房间。2层复式不临路。这单价很快卖了', '石老人花园西区  | 5室2厅 | 235.86平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  石老人', '660万', '单价27983元/平米')
('https://image1.ljcdn.com/370200-inspection/test-4412dec2-191a-4aa0-b284-7abaa2de01d2.png.296x216.jpg', '有钥匙高层海景三居室 圆弧落地窗看海 送地下车位', '山水名园二期  | 3室2厅 | 161.31平米 | 南 北 | 精装 | 有电梯', '中楼层(共15层)2009年建板楼  -  石老人', '560万', '单价34716元/平米')
('https://image1.ljcdn.com/370200-inspection/2e36a0db-499d-4c31-8c73-32781c9843f3.jpg.296x216.jpg', '丽海花园满五年唯一套二，楼层好，南北通透', '丽海花园一期  | 2室1厅 | 82.46平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2002年建板楼  -  崂山CBD', '322万', '单价39050元/平米')
('https://image1.ljcdn.com/370200-inspection/79b19833-f0a3-4a92-9c97-01b7a059094b.jpg.296x216.jpg', '套二的小户型，总价单价较低，业主诚意出售，随时可看', '鲁信长春花园  | 2室2厅 | 98.98平米 | 南 北 | 精装 | 有电梯', '低楼层(共26层)2008年建板楼  -  颐中体育场', '339万', '单价34250元/平米')
('https://image1.ljcdn.com/370200-inspection/test-1d72b0f2-d78f-4a8f-a06e-245830e30c45.png.296x216.jpg', '北国之春悠然苑 套三 双南卧，西厅，北卧，卫生间有窗', '北国之春悠然苑  | 3室2厅 | 98.36平米 | 南 北 | 简装 | 有电梯', '低楼层(共18层)2008年建板楼  -  北村', '325万', '单价33042元/平米')
('https://image1.ljcdn.com/370200-inspection/6732ee26-60fe-4447-9e1f-619c207b1eb2.jpg.296x216.jpg', '御景峰套三房    高层全山景、海景    来电有惊喜', '御景峰  | 3室2厅 | 124.5平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2009年建板楼  -  雕塑园', '680万', '单价54619元/平米')
('https://image1.ljcdn.com/370200-inspection/8fd9b5e1-9446-419a-a96a-2927fce7e56f.jpg.296x216.jpg', '南区多层不靠路D户型套三 满五唯一 价格低', '鲁信长春花园  | 3室2厅 | 151.59平米 | 南 北 | 精装 | 有电梯', '中楼层(共6层)2006年建板楼  -  颐中体育场', '610万', '单价40241元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_upload760219c4-bcb4-4916-81ca-68c2333075fa.jpg.296x216.jpg', '青建尚东区 精装修 采光佳 楼层好 满五唯一省税 育才', '青建尚东区  | 2室2厅 | 94.31平米 | 南 北 | 精装 | 有电梯', '低楼层(共23层)2009年建板楼  -  汽车东站', '382万', '单价40505元/平米')
('https://image1.ljcdn.com/370200-inspection/ca5a9199-9e32-4804-9cb2-3b8a21c61ef3.jpg.296x216.jpg', '东城国际北区，新上看浮山套三，位置安静，全明户型', '海尔东城国际北区  | 3室2厅 | 117.5平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2008年建板塔结合  -  颐中体育场', '495万', '单价42128元/平米')
('https://image1.ljcdn.com/370200-inspection/180841e5-67f8-44c5-be3c-ce9c711c2028.jpg.296x216.jpg', '精装修多层海景房 南北通透视野好 二楼出行方便', '悦海豪庭  | 4室2厅 | 204.95平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2003年建板楼  -  石老人', '820万', '单价40010元/平米')
('https://image1.ljcdn.com/370200-inspection/b50d1008-3379-4c58-8c0c-228abce3aae3.jpg.296x216.jpg', '静享安逸 观览美景 尚东区安静不吵双南卧大两居带车位', '青建尚东区  | 2室1厅 | 117.37平米 | 南 北 | 精装 | 有电梯', '高楼层(共20层)2009年建板楼  -  汽车东站', '438万', '单价37318元/平米')
('https://image1.ljcdn.com/370200-inspection/test-8fb99cb7-b35e-4d72-af20-838b847158ec.png.296x216.jpg', '金领世家 满五年唯一省双税 海景 双南卧南厅 通透套三', '金领世家  | 3室2厅 | 163.77平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共20层)2009年建板楼  -  崂山CBD', '643万', '单价39263元/平米')
('https://image1.ljcdn.com/370200-inspection/219d9aea-6df1-4dec-8323-bfc4d9b1aa99.jpg.296x216.jpg', '小区安静，户型方正，业主诚心，配套齐全', '颐灏海怡名都  | 3室2厅 | 155.32平米 | 南 | 其他 | 有电梯', '低楼层(共13层)2006年建板楼  -  麦岛', '610万', '单价39274元/平米')
('https://image1.ljcdn.com/370200-inspection/9edaf2b8-13e2-443b-8a85-42e8ff5c1fe5.jpg.296x216.jpg', '梅海园 精装南北通透三居 视野采光好 看海', '梅海园  | 3室2厅 | 153.31平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2000年建板楼  -  雕塑园', '620万', '单价40441元/平米')
('https://image1.ljcdn.com/370200-inspection/424e85d5-b5c9-4fa6-a1e9-32aeb3b31a4d.jpg.296x216.jpg', '金光丽园 南北卧南厅 一楼带小院 满五唯一', '金光丽园  | 2室2厅 | 84.49平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2012年建板楼  -  北村', '326万', '单价38585元/平米')
('https://image1.ljcdn.com/370200-inspection/0f66e06e-432d-440e-881f-f164daf3fb09.JPG.296x216.jpg', '山水名园三期  精装套三 环境优越  满五唯一 送车位', '山水名园三期  | 3室2厅 | 150.77平米 | 南 北 | 精装 | 有电梯', '低楼层(共13层)2010年建板楼  -  石老人', '546万', '单价36215元/平米')
('https://image1.ljcdn.com/370200-inspection/b363754a-46fd-479d-8641-bb4518c8d795.jpg.296x216.jpg', '满五唯一省双税，带南向大车库，海景山景好，诚售。', '悦海豪庭  | 3室2厅 | 151.47平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  石老人', '810万', '单价53476元/平米')
('https://image1.ljcdn.com/370200-inspection/25b442d0-801d-4add-95a4-b32e759a1513.jpg.296x216.jpg', '书香门第 顶加阁 好位置无遮挡 带露台 有车库', '书香门第  | 3室2厅 | 136.66平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2007年建板楼  -  石老人', '720万', '单价52686元/平米')
('https://image1.ljcdn.com/370200-inspection/c78cea9d-873e-4178-8ee4-c068caa28be0.jpg.296x216.jpg', '溪谷美寓北区 户型方正 全天采光 精装修', '溪谷美寓二期  | 2室2厅 | 92.59平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  汽车东站', '360万', '单价38882元/平米')
('https://image1.ljcdn.com/370200-inspection/test-160561ce-811d-43a0-8b43-b1b151db3515.png.296x216.jpg', '海逸翠庭 南北通透大套三  海景房', '海逸翠庭  | 3室2厅 | 197.36平米 | 南 北 | 精装 | 无电梯', '中楼层(共4层)2005年建板楼  -  西姜', '750万', '单价38002元/平米')
('https://image1.ljcdn.com/370200-inspection/31d70954-e67b-49c3-a4a0-c95c2579fb72.JPG.296x216.jpg', '山水名园三期。限时急售。卧室海景美丽。厨卫带窗户。', '山水名园三期  | 3室2厅 | 150.77平米 | 西南 东北 | 其他 | 有电梯', '中楼层(共13层)2010年建板楼  -  石老人', '580万', '单价38470元/平米')
('https://image1.ljcdn.com/370200-inspection/a20ed337-4915-4ec8-8478-e4899171a1ac.jpg.296x216.jpg', '09年社区、南北通透大套二，精装修、高楼层', '亚麦山城二期  | 2室2厅 | 131.28平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  雕塑园', '430万', '单价32755元/平米')
('https://image1.ljcdn.com/370200-inspection/test-61a8e2a3-36ad-4d5f-af47-a9c4eb674e24.png.296x216.jpg', '国际名都 方正套一 满五唯一 朝向好 户型佳', '国际名都  | 1室1厅 | 67.12平米 | 东 | 其他 | 有电梯', '低楼层(共13层)2007年建板楼  -  汽车东站', '194万', '单价28904元/平米')
('https://image1.ljcdn.com/370200-inspection/9ebec646-fac1-4df6-9d05-09532697839a.jpg.296x216.jpg', '千禧龙苑二期 低楼层  精装修 拎包入住 诚意出售', '千禧龙苑二期  | 2室2厅 | 85平米 | 南 北 | 简装 | 有电梯', '低楼层(共26层)2010年建板楼  -  石老人', '340万', '单价40000元/平米')
('https://image1.ljcdn.com/370200-inspection/73756795-02dc-4db3-85ba-53c6765b0736.jpg.296x216.jpg', '康城90平标准套二，邻近育才金钥匙汽车东站', '康城  | 2室1厅 | 91.72平米 | 南 北 | 简装 | 有电梯', '低楼层(共23层)2009年建板楼  -  汽车东站', '298万', '单价32491元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadc4d5c25b-5d0d-49a8-9c9c-d24cdab34e1e.jpg.296x216.jpg', '亚麦山城二期双南卧西厅二居室，全海景全山景', '亚麦山城二期  | 2室2厅 | 89.47平米 | 南 | 其他 | 有电梯', '高楼层(共14层)2009年建板楼  -  雕塑园', '336万', '单价37555元/平米')
('https://image1.ljcdn.com/370200-inspection/7e06cf07-07c8-4b7d-8011-68558bf27e1a.JPG.296x216.jpg', '丽海花园一期 顶楼套二带外置阁楼', '丽海花园一期  | 4室2厅 | 98.63平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2002年建板楼  -  崂山CBD', '530万', '单价53737元/平米')
