('https://image1.ljcdn.com/320100-inspection/65e7f4b6-8512-4930-a5fe-7820d6d2678d.jpg.296x216.jpg', '满五年 南北通透 采光足 拎包入住 居家装修', '新天地花园  | 2室1厅 | 59.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1999年建板楼  -  月牙湖', '168万', '单价28369元/平米')
('https://image1.ljcdn.com/320100-inspection/f4e15742-a256-48ed-82e9-e481b1db409e.JPG.296x216.jpg', '南部新城 洪家园 土城头 低楼层  看房方便 出行方便', '开源小区二村  | 2室1厅 | 62.26平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1994年建板楼  -  洪家园', '173万', '单价27787元/平米')
('https://image1.ljcdn.com/320100-inspection/94b8e9e9-5808-4511-9dfe-73c615dedb29.JPG.296x216.jpg', '新街口商圈 武学园小区 98年电梯房 精装修 交通便利', '武学园小区  | 1室1厅 | 50.49平米 | 西 北 | 精装 | 有电梯', '低楼层(共30层)1998年建塔楼  -  新街口', '255万', '单价50506元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload30cd9623-2d91-40e7-882e-cfaf95fc891f.jpg.296x216.jpg', '三楼 满五年 小区刚刚出新过 采光无遮挡', '白鹭小区丁官营  | 2室1厅 | 49.35平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板塔结合  -  夫子庙', '164.8万', '单价33395元/平米')
('https://image1.ljcdn.com/320100-inspection/55894a40-8c83-4bc0-ba06-f78772f8ec84.jpg.296x216.jpg', '光华路四方新村电梯房 房龄新满五年无个税 随时可看', '四方新村三村  | 2室1厅 | 75.85平米 | 南 北 | 其他 | 有电梯', '高楼层(共14层)2000年建板塔结合  -  月牙湖', '167万', '单价22018元/平米')
('https://image1.ljcdn.com/320100-inspection/68db93e2-e4f9-49cf-8e36-822fa7ec81cb.JPG.296x216.jpg', '小区中间 安静 业主诚心卖 环境好 采光足 出新 边户', '慧园街4号  | 2室1厅 | 52.23平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  升州路', '270万', '单价51695元/平米')
('https://image1.ljcdn.com/320100-inspection/3396cf54-e639-43bf-97c8-89642fb9a5e4.jpg.296x216.jpg', '此房满五年，户型很方正，双卧朝南厅朝南，采光好。', '瑞金新村  | 3室1厅 | 74.31平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)1979年建板塔结合  -  瑞金路', '270万', '单价36335元/平米')
('https://image1.ljcdn.com/320100-inspection/e8980365-69fd-4003-8d62-20fc8eebb8eb.JPG.296x216.jpg', '五老村街道 单室套 厨卫全明 交通便利 带门禁', '头条巷  | 1室1厅 | 38.45平米 | 东 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  五老村', '134万', '单价34851元/平米')
('https://image1.ljcdn.com/320100-inspection/605ffb8d-7db9-4149-aa25-ae182fa8e86b.JPG.296x216.jpg', '秦虹 武定门 夫子庙 小3房 楼层好 交通便利 配套成熟', '雅居乐花园  | 3室1厅 | 74.39平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2009年建板塔结合  -  秦虹', '252万', '单价33876元/平米')
('https://image1.ljcdn.com/320100-inspection/4c7e3342-1e28-46dd-9464-0bf76077792c.jpg.296x216.jpg', '大光路 武定门地铁 不临街 诚售', '枫丹白露枫丹花园  | 4室2厅 | 142.38平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  秦虹', '560万', '单价39332元/平米')
('https://image1.ljcdn.com/320100-inspection/72736dcd-0b99-4461-82e0-0a3a4bb0d307.JPG.296x216.jpg', '封闭式95年小区 双南户型 采光不遮挡 厨卫全明', '小火瓦巷  | 2室1厅 | 51.47平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1996年建板楼  -  新街口', '288万', '单价55955元/平米')
('https://image1.ljcdn.com/320100-inspection/f18d14d0-b526-4ecc-83c1-d05524905293.jpg.296x216.jpg', '磨盘街 2室1厅 145万', '磨盘街  | 2室1厅 | 53.96平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)1997年建板塔结合  -  来凤里', '145万', '单价26872元/平米')
('https://image1.ljcdn.com/320100-inspection/7e33e27e-1bd8-4263-89ee-6f6767829cae.JPG.296x216.jpg', '良城美景家园 3室2厅 365万', '良城美景家园  | 3室2厅 | 112.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  秦虹', '365万', '单价32526元/平米')
('https://image1.ljcdn.com/320100-inspection/5184febf-4225-4e3d-b525-d9026a438240.jpg.296x216.jpg', '三山街 满五年 双南 业主诚售 集庆门公交总站', '集庆路  | 2室1厅 | 63.83平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  来凤里', '188万', '单价29454元/平米')
('https://image1.ljcdn.com/320100-inspection/be68e590-7ad5-459d-8892-941d17ac2f9e.JPG.296x216.jpg', '满五唯一 南北通透采光好 生活设施完善', '申家巷20号  | 2室1厅 | 58.87平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1988年建板楼  -  常府街', '178万', '单价30237元/平米')
('https://image1.ljcdn.com/320100-inspection/52f13d38-e5d7-4098-a66a-2ec0ceeeb91b.jpg.296x216.jpg', '瑞金北村 2室1厅 290万', '瑞金北村  | 2室1厅 | 62.77平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1992年建板楼  -  瑞金路', '290万', '单价46201元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload2062cd2d-c5c4-43f4-ad29-21dfbcbdb18e.jpg.296x216.jpg', '光华路 海福巷 四方新村 白下教委房改房', '四方新村七村  | 2室1厅 | 71.61平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2000年建板塔结合  -  月牙湖', '190万', '单价26533元/平米')
('https://image1.ljcdn.com/320100-inspection/3e229e33-dd7a-41db-bddb-34dbdfe3f812.jpg.296x216.jpg', '扇骨里小区 3室1厅 188万', '扇骨里小区  | 3室1厅 | 66.91平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1987年建板塔结合  -  秦虹', '188万', '单价28098元/平米')
('https://image1.ljcdn.com/320100-inspection/42558382-93b2-4a2f-af6d-9d47bcb268ad.JPG.296x216.jpg', '房子是满五年，户型方正，南北通透，没有遮挡交通便利', '万达江南明珠  | 2室1厅 | 84.26平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  月牙湖', '288万', '单价34180元/平米')
('https://image1.ljcdn.com/320100-inspection/dbeca92e-29de-4bec-94b1-6b64b925603c.jpg.296x216.jpg', '五福花园 送大阁楼 2室朝南 1999年房改房 满五唯一', '五福花园  | 3室2厅 | 102.28平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1995年建板塔结合  -  来凤里', '298万', '单价29136元/平米')
('https://image1.ljcdn.com/320100-inspection/8fd37d20-1a7d-4efe-8752-20b59d8a8ce3.jpg.296x216.jpg', '石小 朝天宫 汉中门 业主诚售', '鸿邺大厦  | 2室1厅 | 74.53平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)1998年建板楼  -  朝天宫', '218万', '单价29250元/平米')
('https://image1.ljcdn.com/320100-inspection/81879765-bf05-4bc3-bd2f-b535a14c3f86.jpg.296x216.jpg', '秦淮河畔 花园式小区 适宜居住带地下室', '御水湾花园  | 3室2厅 | 103.68平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2007年建板楼  -  光华路', '390万', '单价37616元/平米')
('https://image1.ljcdn.com/320100-inspection/7ad82c6f-fbe1-48cb-a88d-1c55a18b4f74.jpg.296x216.jpg', '此房满五唯一  格局好无物业费交通便利，楼层好', '将军塘  | 2室1厅 | 67.6平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1996年建板塔结合  -  月牙湖', '168万', '单价24853元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadceee9bf0-5494-482a-94b2-28ac58ee6137.JPG.296x216.jpg', '1991年房龄 一楼带大院 采光不挡 出行便利', '瑞金北村  | 2室1厅 | 48.42平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1992年建板楼  -  瑞金路', '225万', '单价46469元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadfba31ef8-f51a-4f7c-b1b2-e6fbe48427ea.JPG.296x216.jpg', '南部新城 不靠高架 三房 配套成熟 交通便利', '康美里  | 3室1厅 | 76.54平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  洪家园', '218万', '单价28482元/平米')
('https://image1.ljcdn.com/320100-inspection/5d083680-f7e0-4eba-bd31-b8a40492265e.JPG.296x216.jpg', '大明路 南部新城 夫子庙 满五年无个税 精装 带车位', '明通家园  | 2室2厅 | 109.26平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  秦虹', '346万', '单价31668元/平米')
('https://image1.ljcdn.com/320100-inspection/83b829c0-535a-4be8-a0c9-e876a4c511a8.JPG.296x216.jpg', '月牙湖 2011年商品房 环境好带露台 采光好 精装拎包住', '金基月亮湾  | 2室2厅 | 89.36平米 | 东 西 | 其他 | 有电梯', '低楼层(共10层)2011年建板楼  -  大光路', '388万', '单价43420元/平米')
('https://image1.ljcdn.com/320100-inspection/60de92f1-ebdb-4bbe-95d5-797ea18b73e0.JPG.296x216.jpg', '秦虹 大明路 南部新城 满五年 无个税 南北通透 采光优', '岗虹苑  | 2室1厅 | 49.6平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  秦虹', '123万', '单价24799元/平米')
('https://image1.ljcdn.com/320100-inspection/test-7288da3c-15a1-4cac-94af-b158835199c3.png.296x216.jpg', '张府园地铁口 高档小区 单身公寓有燃气 满五年', '朗诗熙园  | 1室0厅 | 35.79平米 | 北 | 其他 | 有电梯', '中楼层(共25层)2004年建板楼  -  新街口', '132万', '单价36882元/平米')
('https://image1.ljcdn.com/320100-inspection/edb59d5a-623a-4dd9-b2d6-ac86a59a6084.jpg.296x216.jpg', '栖霞建设 电梯已装  精装带阁楼 苜蓿园地铁 东边户', '紫金城东区  | 3室2厅 | 111.09平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  月牙湖', '355万', '单价31957元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadefae174b-fd41-408b-9aa9-2ceca63d5a07.jpg.296x216.jpg', '三山街 来凤里 南北通透两房 满五年', '来凤里  | 2室1厅 | 51.96平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1997年建板楼  -  来凤里', '142万', '单价27329元/平米')
('https://image1.ljcdn.com/320100-inspection/fc2adfcf-902c-4f82-94fc-cb946eef0673.JPG.296x216.jpg', '五老村街道 满五年 南北两房 中间楼层 诚心出售', '仁义里小区  | 2室1厅 | 47.1平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1988年建板楼  -  五老村', '172万', '单价36519元/平米')
('https://image1.ljcdn.com/320100-inspection/0ac21920-8f82-4761-acfa-a2ef8ede2223.JPG.296x216.jpg', '南部新城 阳光里 中间位置 采光充足', '阳光里  | 2室1厅 | 64.98平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2001年建板楼  -  洪家园', '192万', '单价29548元/平米')
('https://image1.ljcdn.com/320100-inspection/77cc5acd-c3e3-4019-b507-b40a1bbf2ecf.JPG.296x216.jpg', '棉鞋营小区 双南户型 南北通透 不临街 采光很好 全明', '棉鞋营小区  | 2室2厅 | 91.13平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1995年建板楼  -  常府街', '273万', '单价29958元/平米')
('https://image1.ljcdn.com/320100-inspection/942527d2-a5e8-4fba-92e9-72570ef97a8b1.jpg.296x216.jpg', '月牙湖 海福巷 金龙花园 精装修 拎包入住 满五年', '金龙花园  | 3室1厅 | 88.3平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2001年建板楼  -  月牙湖', '219万', '单价24802元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload833e9be2-51ae-4301-b610-848f278051e6.JPG.296x216.jpg', '秦虹 洪家园 康业里 中间楼层 两房 采光充足 配套成熟', '康业里  | 2室1厅 | 61.81平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  洪家园', '175万', '单价28313元/平米')
('https://image1.ljcdn.com/320100-inspection/551bc190-e31d-4aaa-b26d-d57654595b45.JPG.296x216.jpg', '大明路 映山菁华 六楼跃层 双南采光好 商品房房龄新', '映山菁华  | 2室1厅 | 72.23平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2008年建板楼  -  洪家园', '258万', '单价35720元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload54ea8159-20df-4fa5-9837-c4c351bcba47.JPG.296x216.jpg', '大光路 满五年唯一 瑞金路 采光视野好 双南户型 诚售', '明龙雅居  | 2室2厅 | 99.22平米 | 南 | 简装 | 有电梯', '高楼层(共34层)2009年建板塔结合  -  大光路', '420万', '单价42331元/平米')
('https://image1.ljcdn.com/320100-inspection/25635485-da2d-4326-b83c-4c26171d94b0.JPG.296x216.jpg', '配套成熟齐全 交通出行便利 电梯房 南北通透', '砂珠巷小区  | 2室1厅 | 76.19平米 | 南 北 | 精装 | 有电梯', '低楼层(共35层)1998年建板楼  -  升州路', '236万', '单价30976元/平米')
