('https://image1.ljcdn.com/310000-inspection/test-1b985316-fcfb-4d1c-92e6-eb684c06bd34.png.296x216.jpg', '精装大三房，满五唯一，品质小区配套齐全，人车分流，', '品尊国际  | 3室2厅 | 153.16平米 | 南 北 | 精装 | 有电梯', '低楼层(共36层)2011年建板楼  -  真如', '1220万', '单价79656元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170709/84df0d9d-5bc7-4f86-a97f-9d3faeb7ec77.jpg.296x216.jpg', '邻近地铁11号线 配套齐全 高层全明户型 房东诚售', '曹杨五月天  | 1室2厅 | 70.94平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  真如', '400万', '单价56386元/平米')
('https://image1.ljcdn.com/310000-inspection/test-64f71345-66de-4b13-a541-852afab1c490.png.296x216.jpg', '“业主降价100万，华侨城南北高区直通4房，到价即签”', '华侨城  | 4室2厅 | 167.64平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2011年建板楼  -  长寿路', '1780万', '单价106180元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload5255501e-064d-4c89-997b-79119087e616.jpg.296x216.jpg', '高区边套全明+全天采光+苏州河小区公园景观+全南户型', '中远两湾城  | 3室2厅 | 128.96平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2001年建板楼  -  中远两湾城', '910万', '单价70565元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170303/cbaf744b-8a0d-468b-88a1-3948835489e1.jpg.296x216.jpg', '曹杨五月天11号线上海西站 05年小区 没有税费', '曹杨五月天  | 2室2厅 | 92.67平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2005年建板楼  -  真如', '540万', '单价58272元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8a14baee-c002-4345-8cd3-e9ccf9106dc0.png.296x216.jpg', '出门即是长寿路地铁站，一南一东，楼层好，拎包入住', '长寿新村(普陀)  | 2室1厅 | 70.02平米 | 南 | 简装 | 有电梯', '中楼层(共26层)1995年建塔楼  -  长寿路', '478万', '单价68267元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161109/73df238d-7983-4a96-985e-89756ff3bdb1.jpg.296x216.jpg', '满五、地铁口、随时看、品质小区、复室', '西部俊园  | 3室2厅 | 158.56平米 | 南 | 简装 | 有电梯', '低楼层(共22层)2002年建板楼  -  长寿路', '970万', '单价61176元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170618/99f13c13-fc6a-46d7-b53f-0386f7cb06cb.jpg.296x216.jpg', '外销房大三房，满五年紧.邻地铁，拒绝虚假', '玉佛城  | 3室2厅 | 139.03平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2001年建板楼  -  长寿路', '870万', '单价62577元/平米')
('https://image1.ljcdn.com/310000-inspection/test-11ee6d31-193e-40ff-a6bf-410564ed87b2.png.296x216.jpg', '此房房龄新小区环境好 售后公房无增值税 交通便利！', '梅岭支路85弄  | 2室1厅 | 74.41平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  曹杨', '455万', '单价61148元/平米')
('https://image1.ljcdn.com/310000-inspection/test-719e7969-1aad-4ab2-9405-42125311b49c.png.296x216.jpg', '世纪同乐大三房两南一北 高区景观采光无遮挡诚意出售', '绿地世纪城(二期)  | 3室2厅 | 133.79平米 | 南 北 | 简装 | 有电梯', '中楼层(共34层)2003年建板楼  -  武宁', '1020万', '单价76239元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1e5bb05b-89dd-4ffa-89f5-efbb19c4f217.png.296x216.jpg', '房龄新 近地铁 双南两房 楼层佳 采光好 生活配套齐全', '甘泉二村  | 2室1厅 | 49.45平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  甘泉宜川', '285万', '单价57634元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadaf3e0344-ef1e-4022-9499-2d81cf187c6a.JPG.296x216.jpg', '品质小区，低调的奢华身份的象征，，享受便捷都市生活', '浅水湾恺悦名城  | 4室2厅 | 187.32平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2010年建板楼  -  长寿路', '1880万', '单价100364元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c02bb2e5-8960-4ebd-834b-162b54597700.png.296x216.jpg', '一梯两户得房率高 两南一北通风好 满五唯一采光佳', '绿地世纪城(二期)  | 3室2厅 | 109.59平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2003年建板楼  -  武宁', '890万', '单价81212元/平米')
('https://image1.ljcdn.com/310000-inspection/728a310d-02d3-4408-9e4a-259dd2c9ece7.JPG.296x216.jpg', '祥和公园景观房 房型正气  满五唯一 诚意出售 好楼层', '祥和名邸(公寓)  | 3室2厅 | 134.38平米 | 东南 | 精装 | 有电梯', '高楼层(共17层)2003年建板楼  -  长征', '770万', '单价57301元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180112/193bf7d1-b73f-4739-9b9e-d0ed092f3a9d.jpg.296x216.jpg', '满五唯一双南两房，带电梯 长风公园10min', '桂巷新村  | 3室1厅 | 64.56平米 | 东北 | 简装 | 有电梯', '高楼层(共17层)1985年建塔楼  -  长风', '390万', '单价60409元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1ea61d4a-3aa1-4a51-8354-3c3554678337.png.296x216.jpg', '内环内 可租固定车位 3.4号线中谭路 得房率高 户型好', '佳景公寓  | 3室2厅 | 91.84平米 | 西南 | 简装', '低楼层(共7层)1997年建板楼  -  甘泉宜川', '490万', '单价53354元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170822/8df7ecfb-4b97-491d-873a-712fd6dd4231.jpg.296x216.jpg', '满五唯一，房型正气！近地铁！繁华地段，诚意出售', '澳门公寓  | 2室2厅 | 99.07平米 | 南 | 精装 | 有电梯', '高楼层(共20层)1998年建塔楼  -  长寿路', '716万', '单价72273元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170118/93d17412-31bf-4b8d-b2e7-79a6d78843a5.jpg.296x216.jpg', '延长小区(普陀) 1室1厅 218万', '延长小区(普陀)  | 1室1厅 | 42.46平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  甘泉宜川', '218万', '单价51343元/平米')
('https://image1.ljcdn.com/310000-inspection/4a58cd36-bdf1-4999-adc2-01d130129bc1.jpg.296x216.jpg', '满五唯一免个税 自住精装修 品质小区苏州河观景房', '水岸茗苑  | 2室2厅 | 110.82平米 | 南 | 精装 | 有电梯', '中楼层(共12层)2003年建板楼  -  长寿路', '888万', '单价80130元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171223/7e60bbc4-3ee1-4700-a95d-437d84386754.jpg.296x216.jpg', '电梯高区 景观优美  采光好配套齐全 近13号地铁真北站', '绿洲湖畔花园  | 3室2厅 | 116.86平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2005年建板楼  -  长征', '860万', '单价73593元/平米')
('https://image1.ljcdn.com/310000-inspection/test-783b74bc-3ade-40d5-8b2f-e28b4781c3b1.jpeg.296x216.jpg', '双山小区 2室1厅 360万', '双山小区  | 2室1厅 | 67.54平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1993年建板楼  -  甘泉宜川', '360万', '单价53302元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170912/d99bc17b-c753-443a-9c9f-643f70a9e359.jpg.296x216.jpg', '精装大三房，满五唯一税费少，诚意出售', '阳光威尼斯(二期)  | 3室2厅 | 126.06平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  真光', '560万', '单价44424元/平米')
('https://image1.ljcdn.com/310000-inspection/test-345280b0-180b-4856-bcc7-4850b6cbb499.jpeg.296x216.jpg', '中内环 满五唯一 精装两房  3/4号线中潭路  边套', '泰山一村  | 2室1厅 | 48.93平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1982年建板楼  -  甘泉宜川', '265万', '单价54160元/平米')
('https://image1.ljcdn.com/310000-inspection/test-49ed7427-be47-4e93-9730-50f6702c244d.png.296x216.jpg', '带地下产权车位，在6楼，采光和视野不错，全南户型', '阳光威尼斯(一期)  | 2室2厅 | 99平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2004年建板楼  -  真光', '450万', '单价45455元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc25fcd33-dfd7-46fb-a8c4-320bf5b42ad5.jpg.296x216.jpg', '一线河景  南北通透  楼层好采光佳 满五唯一免征个税', '中远两湾城  | 4室2厅 | 160.45平米 | 南 北 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  中远两湾城', '1200万', '单价74790元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadddb97bfa-f6de-4c40-be87-540744ae879f.JPG.296x216.jpg', '众源公寓 2室2厅 399万', '众源公寓  | 2室2厅 | 80.57平米 | 暂无数据 | 简装 | 无电梯', '低楼层(共7层)1998年建板楼  -  甘泉宜川', '399万', '单价49523元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170912/2a90d45b-a8ee-49ec-83db-f3b110a1cd99.jpg.296x216.jpg', '西部复式  高区无遮挡  采光好  精装清新风与复古结合', '西部俊园  | 3室2厅 | 158.56平米 | 南 | 精装 | 有电梯', '高楼层(共22层)2002年建板楼  -  长寿路', '1150万', '单价72528元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160603/c7c22fd1-e225-49b0-b12b-17555ee8c91d.jpg.296x216.jpg', '钥匙房随时可看   朝南两房  交通方便  配套齐全', '新湖明珠城  | 2室2厅 | 120.35平米 | 南 | 毛坯 | 有电梯', '低楼层(共33层)板楼  -  武宁', '955万', '单价79352元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1cbae11e-a809-4a9d-8536-7dcdf71c8e41.png.296x216.jpg', '实惠精装小两房，看小区绿化，可拎包入住，业主诚售', '中远两湾城  | 2室2厅 | 76.71平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2006年建板楼  -  中远两湾城', '550万', '单价71699元/平米')
('https://image1.ljcdn.com/310000-inspection/48b46dbb-673f-4ce8-a28b-1fca634ecd80.jpg.296x216.jpg', '中远两湾城 2室2厅 720万', '中远两湾城  | 2室2厅 | 96.56平米 | 西南 | 精装 | 有电梯', '低楼层(共34层)2001年建塔楼  -  中远两湾城', '720万', '单价74566元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploade679b596-58ff-4816-aa07-98e2a2309956.JPG.296x216.jpg', '房东新房定好，精装修，诚意出售，看房方便', '白玉大楼  | 1室1厅 | 45.47平米 | 西南 | 精装 | 有电梯', '中楼层(共17层)1990年建塔楼  -  武宁', '320万', '单价70377元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170924/1116ae5c-54f5-420d-b60a-243f22e84ad1.jpg.296x216.jpg', '小区景观位置，满五唯一，少税费，诚意出售！', '真北二街坊  | 2室1厅 | 54.67平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  真如', '309万', '单价56521元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f69352b5-d4c6-4472-af73-31eb68678252.png.296x216.jpg', '星河世纪城二期，两房户型，小区环境佳', '星河世纪城  | 2室2厅 | 94平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  真如', '600万', '单价63830元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3c1e69b1-607e-4ac0-a59c-eb56951dafc0.png.296x216.jpg', '桃浦六村绿春苑 2室1厅 215万', '桃浦六村绿春苑  | 2室1厅 | 62.2平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  桃浦', '215万', '单价34566元/平米')
('https://image1.ljcdn.com/310000-inspection/e442a664-960d-4257-aa32-2404eac6301b.jpg.296x216.jpg', '新出笋盘！满五年唯一税费少，全南户型，看小区绿化', '中远两湾城  | 2室2厅 | 97.62平米 | 南 | 精装 | 有电梯', '中楼层(共12层)2002年建板楼  -  中远两湾城', '760万', '单价77853元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload429dda4a-5f39-47f4-a33d-bd6d972f0a95.JPG.296x216.jpg', '光复西路2185弄，动迁房税费少，精装一室户价值高', '光复西路2185弄  | 1室1厅 | 36.01平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1989年建板楼  -  长风', '190万', '单价52764元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171001/7aee4b58-9072-4b22-a8e7-9d1b07e0752a.jpg.296x216.jpg', '近华师大长风公园，地铁13/15号线，满五唯一产权清晰', '华师大三村  | 3室1厅 | 85.26平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  长风', '500万', '单价58645元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c57ff11c-c802-4c7d-b66a-5f34d068a013.png.296x216.jpg', '高档小区，优越位置  景观  两房 南北通透 高楼层...', '星河世纪城  | 2室2厅 | 100.06平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2005年建板楼  -  真如', '660万', '单价65961元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c0a3495b-6c33-4d14-8a19-df7ed9a0f07b.png.296x216.jpg', '东区100弄正南朝向大一房 业主置换已买好诚意出售', '中远两湾城  | 1室2厅 | 69.56平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2006年建板楼  -  中远两湾城', '550万', '单价79069元/平米')
('https://image1.ljcdn.com/310000-inspection/e1092b1a-eac2-431c-9d30-2c53936019d4.JPG.296x216.jpg', '此房满五唯一，视野开阔，采光好，房东诚意售', '曹杨三村(兰岭园)  | 2室1厅 | 51.19平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1978年建板楼  -  曹杨', '290万', '单价56652元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload93abfb08-630a-48a6-be8c-0f76fd302fc7.JPG.296x216.jpg', '此房满五唯一，小区正中边套，业主在旁边上班看房方便', '曹杨五村(芙蓉园)  | 1室1厅 | 43.34平米 | 南 | 精装', '中楼层(共7层)1989年建板楼  -  曹杨', '270万', '单价62299元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171110/ed63428b-7218-463d-ac25-52542cf92948.jpg.296x216.jpg', '双南双天井，采光好，前后楼间距开阔。', '清涧七街坊  | 2室1厅 | 64.52平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1995年建板楼  -  真光', '340万', '单价52697元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b3e67374-e493-4ae2-ac27-a1ae12bb458f.png.296x216.jpg', '有车位 中区全南两房 位置好 采光好视野好 满五唯一', '品尊国际  | 2室2厅 | 94.09平米 | 南 | 精装 | 有电梯', '低楼层(共35层)2009年建板楼  -  真如', '850万', '单价90340元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0bd67486-64c7-4c67-923d-02e7e2286198.png.280x210.jpg', '黄陵小区 1室1厅 185万', '黄陵小区  | 1室1厅 | 34.85平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  甘泉宜川', '185万', '单价53085元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c5e927da-d2d0-4cee-a0b2-da7671980d86.png.296x216.jpg', '清涧三街坊 2室1厅 300万', '清涧三街坊  | 2室1厅 | 65.92平米 | 南 | 简装 | 有电梯', '高楼层(共24层)1998年建塔楼  -  真光', '300万', '单价45510元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadabf4fac6-79c4-43d5-81e2-719af0b201a4.JPG.296x216.jpg', '精致户型—享受无限阳光生活，地铁口小两房 可随时看', '梅岭支路85弄  | 2室1厅 | 53.95平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1987年建板楼  -  曹杨', '322万', '单价59685元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171125/9f8c9ace-cef5-477f-8378-1bd275a10391.jpg.296x216.jpg', '售后公房满五唯一无任何税费产权户口清晰  超诚意出售', '五星公寓  | 2室2厅 | 111.42平米 | 南 | 精装 | 有电梯', '低楼层(共24层)1996年建塔楼  -  曹杨', '720万', '单价64621元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171125/dc928a97-bad5-4a17-90ed-2395b2164aac.jpg.296x216.jpg', '满五唯一 高区景观位置 板式南北直通2房，双阳台', '达安春之声  | 2室2厅 | 103.92平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)2006年建板楼  -  万里', '700万', '单价67360元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bd299f11-332f-4ef1-b18a-1c7bce35502e.png.296x216.jpg', '降价房源！南北通三房！房子已经满五岁！诚意出售！', '阳光威尼斯(三期)  | 3室2厅 | 116.15平米 | 南 北 | 简装 | 有电梯', '中楼层(共20层)2006年建板楼  -  真光', '530万', '单价45631元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170703/036abde4-b814-48c7-85ec-7fa7b6858545.jpg.296x216.jpg', '双南大二房性价很高的一套，业主诚意出售，到价可签字', '阳光威尼斯(二期)  | 2室2厅 | 93.21平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2005年建板楼  -  真光', '390万', '单价41842元/平米')
('https://image1.ljcdn.com/310000-inspection/dd7471a5-6d3d-40ae-9bd4-cfcc321673e6.JPG.296x216.jpg', '曹杨四村桐柏园，双南两房，门前临河', '曹杨四村(桐柏园)  | 2室0厅 | 48.94平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1985年建板楼  -  曹杨', '270万', '单价55170元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171206/6d3226a1-4dfb-4fcd-ac8a-88449685e5e9.jpg.296x216.jpg', '满五唯一产权户口都清晰 采光好双南两房', '桃浦七村雪松苑  | 2室1厅 | 63.45平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  桃浦', '238万', '单价37510元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170222/88ebf2e2-7849-4884-92c2-82ccc915848f.jpg.296x216.jpg', '目前租客住 看房要电话预约 房 东 不是很着急卖房子', '阳光威尼斯(一期)  | 3室2厅 | 119.08平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2004年建板楼  -  真光', '570万', '单价47867元/平米')
('https://image1.ljcdn.com/310000-inspection/test-34dc6c1e-2699-459f-adde-b80246ef2958.png.296x216.jpg', '户型方正，带露台，业主诚意急售', '秋水云庐  | 3室2厅 | 145.89平米 | 南 | 简装 | 有电梯', '中楼层(共8层)2003年建板楼  -  长寿路', '1200万', '单价82254元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/0b00c6d1-82b2-4743-9753-396c8b1dd0a6.png.280x210.jpg', '满五唯一，总价低，拎包入住，看房方便，诚意出售', '达丰新村  | 1室0厅 | 30.52平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1983年建板楼  -  武宁', '205万', '单价67170元/平米')
('https://image1.ljcdn.com/310000-inspection/0d605234-acfe-41a9-8307-35156cb5d44c.JPG.296x216.jpg', '双南2房 全明地铁房看房方便房东急卖', '曹杨九村  | 2室0厅 | 43.4平米 | 南 | 简装 | 有电梯', '中楼层(共7层)1977年建板楼  -  曹杨', '257万', '单价59217元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170617/73a26995-0f15-4555-b7dd-b408c50dadd6.jpg.296x216.jpg', '全南户型，业主诚意出售，2003年小区', '嘉富利大厦  | 3室2厅 | 111.58平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2003年建塔楼  -  光新', '699万', '单价62646元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1dc40d30-85ff-4077-a5aa-527af6e53d26.png.296x216.jpg', '小区新上笋盘，拎包入住，有钥匙随时看房，', '水岸豪庭  | 3室2厅 | 139.99平米 | 南 北 | 精装 | 有电梯', '中楼层(共20层)2003年建板楼  -  武宁', '1088万', '单价77720元/平米')
('https://image1.ljcdn.com/310000-inspection/test-84dbeb0d-fab0-4a19-9dc2-beb93fdc82f4.png.296x216.jpg', '南北通大两房，使用面积高，诚意出售，到价签字', '光新苑  | 2室1厅 | 62.9平米 | 南 | 简装', '中楼层(共7层)板楼  -  光新', '315万', '单价50080元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3c31af6a-304a-4898-baa3-843648e4e751.png.296x216.jpg', '目前家园总价低的南北通两房，格局好，业主诚心出售！', '中环家园  | 2室2厅 | 98.95平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2006年建板楼  -  万里', '630万', '单价63669元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171211/b7e7107e-4542-435d-ab3c-8c6eaa267bfa.jpg.296x216.jpg', '近地铁 南北通透  大三房  精装修 满五唯一免个税', '金沙雅苑(一期)  | 3室2厅 | 124平米 | 南 北 | 精装 | 有电梯', '高楼层(共7层)2002年建板楼  -  长征', '710万', '单价57259元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171008/09bb298b-7121-44a8-8fd9-b51c1f00d521.jpg.296x216.jpg', '居家大三房，南北通透，电梯中区，满五唯一，诚意出售', '中环家园  | 3室2厅 | 133.01平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  万里', '845万', '单价63530元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cce8c17e-f27f-49bc-98f0-09818b7d2e0d.png.296x216.jpg', '房子满五唯一，单价低，房东很诚心出售，近地铁', '宜川三村  | 1室1厅 | 34.12平米 | 东 | 简装 | 无电梯', '中楼层(共5层)1956年建板楼  -  甘泉宜川', '135万', '单价39567元/平米')
('https://image1.ljcdn.com/310000-inspection/test-351d7c33-fb55-4983-b7a0-bebf0c06b670.png.296x216.jpg', '（热推房源）全南三房！景观楼层！视野开阔！诚意出售', '阳光威尼斯(三期)  | 3室2厅 | 108.92平米 | 南 | 简装 | 有电梯', '高楼层(共26层)2006年建板楼  -  真光', '535万', '单价49119元/平米')
('https://image1.ljcdn.com/310000-inspection/5382ee20-7999-4423-9b49-c0806bf2415d.jpg.296x216.jpg', '楼层佳，户型正，一梯两户，近乐购，商圈繁华', '真光新村第二小区  | 2室1厅 | 69.58平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  真光', '360万', '单价51740元/平米')
('https://image1.ljcdn.com/310000-inspection/test-91461696-3687-45b8-92ed-7fbd4c5e8f2c.jpeg.296x216.jpg', '中环家园高区大三房 满五唯一税费少 看房方便有钥匙', '中环家园  | 3室2厅 | 131.58平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2003年建板楼  -  万里', '880万', '单价66880元/平米')
('https://image1.ljcdn.com/310000-inspection/test-39516773-9e98-4c16-98e1-89f423822ef1.png.296x216.jpg', '汪家井西区，精装一室一厅，满五唯一，90年房龄', '汪家井小区  | 1室1厅 | 45.57平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  甘泉宜川', '215万', '单价47181元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161022/9d9187a2-9c09-422b-b732-eafbf95d711c.jpg.296x216.jpg', '万里真欣园，一梯两户，正气3房，低于市场价随时看房', '万里真欣园  | 3室2厅 | 115.03平米 | 南 | 精装', '低楼层(共6层)1999年建暂无数据  -  万里', '620万', '单价53899元/平米')
('https://image1.ljcdn.com/310000-inspection/test-f13303ed-b753-488c-b3b0-fa05b9a216d7.png.296x216.jpg', '新出笋盘，南北通三房，三房全部朝南，双阳台两卫全明', '中远两湾城  | 3室2厅 | 121.95平米 | 西南 | 精装 | 有电梯', '低楼层(共30层)2003年建板楼  -  中远两湾城', '830万', '单价68061元/平米')
('https://image1.ljcdn.com/310000-inspection/fcaac11a-73de-48b5-8f28-37797eff42da.jpg.296x216.jpg', '7号线长寿路地铁站，配套齐全交通便利，诚售！', '长久大厦  | 3室1厅 | 103.06平米 | 暂无数据 | 简装 | 有电梯', '高楼层(共20层)2003年建塔楼  -  长寿路', '860万', '单价83447元/平米')
('https://image1.ljcdn.com/310000-inspection/d007b609-e0ce-4721-b1b1-2d6e31f15580.JPG.296x216.jpg', '满五唯一烫金地段 烫金小区 三轨相交堪比人民广场交通', '普陀二村  | 2室1厅 | 48.1平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1982年建板楼  -  武宁', '332万', '单价69023元/平米')
