('https://image1.ljcdn.com/210100-inspection/b0b07c26-f931-4099-9816-cd34f1dc3853.jpg.296x216.jpg', '大东 大华水岸 精装三室 装修好 拎包入住', '大华水岸府邸  | 3室2厅 | 134.8平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '144万', '单价10683元/平米')
('https://image1.ljcdn.com/210100-inspection/c96c4dea-703b-44c3-a7d7-5d3b5d6dd0da.JPG.296x216.jpg', '大东上园小区中高楼层采光好装修拎包入住', '上园小区  | 1室1厅 | 38平米 | 南 | 精装', '高楼层(共7层)1987年建板楼  -  大东区', '25万', '单价6579元/平米')
('https://image1.ljcdn.com/210100-inspection/3c07f7c9-22ee-4df3-b04b-616bb15e3b27.JPG.296x216.jpg', '大东 东中街 天龙家园 三室一厅 精装修 高楼层 拎包住', '天龙家园  | 3室1厅 | 103平米 | 南 北 | 精装', '高楼层(共7层)板楼  -  大东区', '90万', '单价8738元/平米')
('https://image1.ljcdn.com/210100-inspection/77ab31ac-6a4f-424b-8bd2-3ba493b94de1.jpg.296x216.jpg', '大东八王寺 万科物业 高楼层 采光好 视野好', '万科金色家园  | 2室2厅 | 141平米 | 南 | 精装', '高楼层(共18层)2005年建板楼  -  大东区', '183万', '单价12979元/平米')
('https://image1.ljcdn.com/210100-inspection/bda35bde-620f-46a3-9d03-05c693657e0f.jpg.296x216.jpg', '大东 骨科医院 东方银座 一楼地下室 不把山 不临街', '东方银座中心城  | 2室2厅 | 123.5平米 | 南 北 | 毛坯', '低楼层(共33层)板楼  -  大东区', '210万', '单价17005元/平米')
('https://image1.ljcdn.com/210100-inspection/7a910c0a-063e-4139-8a6b-0063f682aa58.JPG.296x216.jpg', '大北关街芳州园 大一室 南北通透 中间层 不把山不临街', '芳州园  | 1室1厅 | 86平米 | 南 北 | 简装', '中楼层(共16层)2006年建板楼  -  大东区', '75万', '单价8721元/平米')
('https://image1.ljcdn.com/210100-inspection/fc9a3c0e-346c-4bc5-9f5e-d7c06f21bf5e.jpg.296x216.jpg', '大东 新家源城市居住公园 南北通透户型 不把山', '新家源城市居住公园  | 3室2厅 | 168平米 | 南 北 | 精装', '高楼层(共15层)2000年建板楼  -  大东区', '175万', '单价10417元/平米')
('https://image1.ljcdn.com/210100-inspection/test-c781595f-b6ca-428f-bdbf-df2c54f8064d.png.296x216.jpg', '八王寺 城市经典 标准三室  南北通透 中间楼层', '城市经典  | 3室2厅 | 116.74平米 | 南 北 | 简装', '中楼层(共30层)2007年建板塔结合  -  大东区', '105万', '单价8995元/平米')
('https://image1.ljcdn.com/210100-inspection/fc3301fc-8f6a-4be3-b9ce-186dc8a86bc1.JPG.296x216.jpg', '香檀一室小户型 中间楼层 前方无遮挡', '香檀1917  | 1室1厅 | 54.76平米 | 北 | 简装', '低楼层(共35层)2008年建板楼  -  大东区', '46万', '单价8401元/平米')
('https://image1.ljcdn.com/210100-inspection/f740cb87-3094-4aa7-85a1-2297d5395e98.JPG.296x216.jpg', '大华水岸 精装两居室 南北通透 户型方正', '大华水岸府邸  | 2室2厅 | 92.8平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  大东区', '124万', '单价13363元/平米')
('https://image1.ljcdn.com/210100-inspection/0b5582d8-e88e-42d6-aca7-3cbad619b4af.jpg.296x216.jpg', '大东区八王寺绿苑小区封闭小区南北通透标准户型', '绿苑小区  | 2室2厅 | 120平米 | 南 北 | 简装', '高楼层(共6层)2004年建板楼  -  大东区', '75万', '单价6250元/平米')
('https://image1.ljcdn.com/210100-inspection/d99c6d95-cbed-4918-99ff-23ba6e404960.JPG.296x216.jpg', '此房是鑫淼人家 1室 精装修 拎包即住', '鑫淼人家  | 1室2厅 | 67.74平米 | 西 | 精装', '高楼层(共22层)暂无数据  -  大东区', '53万', '单价7825元/平米')
('https://image1.ljcdn.com/210100-inspection/80912911-4adf-4d34-9273-ed59ce1e4cda.JPG.296x216.jpg', '大东 瑞家坚果 高楼层 采光好 视野好', '瑞家坚果  | 3室1厅 | 76.84平米 | 南 北 | 简装', '高楼层(共33层)2014年建板楼  -  大东区', '77万', '单价10021元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload456fd27d-6554-4ce5-989c-b64522d73e70.jpg.296x216.jpg', '大东区 国瑞城 瑞家景峰 两室 保持干净', '瑞家景峰  | 2室2厅 | 73.82平米 | 南 | 精装', '中楼层(共32层)板楼  -  大东区', '61万', '单价8264元/平米')
('https://image1.ljcdn.com/210100-inspection/1e7b4e98-4b48-47ff-b7f6-0ae2c25e8d0d.jpg.296x216.jpg', '四海花园 两室两厅 精装修 采光好', '四海花园  | 2室2厅 | 109.08平米 | 南 北 | 简装', '高楼层(共7层)2001年建板楼  -  大东区', '83万', '单价7610元/平米')
('https://image1.ljcdn.com/210100-inspection/db7336f9-bbed-4553-a6fe-2c2f801f3e45.JPG.296x216.jpg', '大东区 圆缘雅居 三室两厅一厨一卫', '圆缘雅居  | 3室2厅 | 120.9平米 | 东南 北 | 简装', '中楼层(共11层)板楼  -  大东区', '84万', '单价6948元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadaa150ef7-07e5-498e-b6b7-47378087ac41.jpg.296x216.jpg', '南北通透 不把山不临街 中高楼层 采光好', '如意家园  | 2室2厅 | 113平米 | 南 北 | 精装', '中楼层(共7层)2003年建板楼  -  大东区', '102万', '单价9027元/平米')
('https://image1.ljcdn.com/210100-inspection/b13804ae-8951-4af9-952f-7693f3d3f139.JPG.296x216.jpg', '万恒领域 2室 精装修 中间楼层 前无遮挡 采光好', '万恒领域  | 2室1厅 | 94.37平米 | 南 北 | 精装', '中楼层(共25层)2009年建板楼  -  大东区', '86万', '单价9114元/平米')
('https://image1.ljcdn.com/210100-inspection/fea29741-e15f-4a79-af51-dbbb89d071b0.jpg.296x216.jpg', '大东东方玫瑰园 两居室 精装修 装修保持好 拎包入住', '东方玫瑰园  | 2室2厅 | 84.45平米 | 南 北 | 精装', '高楼层(共6层)2007年建板楼  -  大东区', '64万', '单价7579元/平米')
('https://image1.ljcdn.com/210100-inspection/faeb2fe5-378b-44be-ba08-fdeb15999f9d.jpg.296x216.jpg', '八王寺 城中艺景 不把山 中间楼层 标准两室 南北通透', '城中艺景  | 2室2厅 | 97.42平米 | 南 北 | 精装', '中楼层(共26层)2007年建板楼  -  大东区', '114万', '单价11702元/平米')
('https://image1.ljcdn.com/210100-inspection/7ae75e4e-ae9f-4cb5-b256-e14ea76b1c81.jpg.296x216.jpg', '大东上园康都 采光好视野好拎包入住', '康都  | 2室1厅 | 58.75平米 | 东北 | 简装', '高楼层(共15层)2001年建板楼  -  大东区', '36.5万', '单价6213元/平米')
('https://image1.ljcdn.com/210100-inspection/0acfbfb2-c40e-4d52-8d19-cfeefabc50bf.jpg.296x216.jpg', '大东  东方玫瑰园小区  无遮挡 采光好', '东方玫瑰园  | 2室2厅 | 75.66平米 | 南 | 精装', '中楼层(共15层)2007年建板楼  -  大东区', '60.5万', '单价7997元/平米')
('https://image1.ljcdn.com/210100-inspection/e02b7a32-02e5-475a-80f6-16ace33fde84.jpg.296x216.jpg', '可久小区 2室1厅 44万', '可久小区  | 2室1厅 | 53.48平米 | 南 北 | 精装', '中楼层(共8层)1997年建暂无数据  -  大东区', '44万', '单价8228元/平米')
('https://image1.ljcdn.com/210100-inspection/cb109eb4-f7ac-4290-b170-a69415866762.jpg.296x216.jpg', '大东 八王寺 城市经典 一室 高楼层 采光好', '城市经典  | 1室0厅 | 36.68平米 | 东 | 简装', '中楼层(共30层)2007年建板塔结合  -  大东区', '39万', '单价10633元/平米')
('https://image1.ljcdn.com/210100-inspection/89f8edbc-39b1-4f17-8e08-2068eaff6789.JPG.296x216.jpg', '大东二台子 林韵春天 南北两室 不把山 精装修', '林韵春天  | 2室1厅 | 68.75平米 | 南 北 | 简装', '低楼层(共11层)2005年建板楼  -  大东区', '52万', '单价7564元/平米')
('https://image1.ljcdn.com/210100-inspection/401ee244-208b-4e4d-a104-7063a48574ef.JPG.296x216.jpg', '大东骨科 东方俪城 高楼层 无遮挡 视野开阔', '万恒东方俪城三期  | 2室2厅 | 80.65平米 | 南 北 | 简装', '高楼层(共24层)2005年建板楼  -  大东区', '68万', '单价8432元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload76fe4969-bf90-46de-bf3c-56b3918807c1.jpg.296x216.jpg', '大东东站 万科蓝山  精装修 纯南向 中间楼层 采光好', '万科蓝山  | 2室1厅 | 94.06平米 | 南 | 精装', '高楼层(共18层)2012年建板楼  -  大东区', '91万', '单价9675元/平米')
('https://image1.ljcdn.com/210100-inspection/test-442a7ddb-1d3b-48a4-856b-3119481e232c.png.296x216.jpg', '大东 圣淘沙 南北两室 不把山不临街 拎包入住', '圣淘沙家园  | 2室2厅 | 103.8平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '66万', '单价6359元/平米')
('https://image1.ljcdn.com/210100-inspection/13e28df5-4914-4122-adcd-30a1b1f0aa20.jpg.296x216.jpg', '万科蓝山一室公寓 万科物业 满两年 看房方便有钥匙', '万科蓝山  | 1室0厅 | 42平米 | 东 | 精装', '低楼层(共16层)2012年建板楼  -  大东区', '37万', '单价8810元/平米')
('https://image1.ljcdn.com/210100-inspection/bc5acc70-c4d5-42e9-bd6a-e3c6bd824be7.JPG.296x216.jpg', '紫竹茗郡中高楼层采光充足装修保持好拎包入住', '彤利紫竹茗郡  | 2室1厅 | 64平米 | 南 北 | 精装', '高楼层(共6层)板楼  -  大东区', '45万', '单价7032元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade726bdea-bd04-459c-89c9-32bd9d9a5aef.jpg.296x216.jpg', '大东 八王寺商圈 鸿基园 标准四居室 精装户型方正', '鸿基园  | 4室2厅 | 165.88平米 | 南 北 | 精装', '高楼层(共7层)2003年建板楼  -  大东区', '135万', '单价8139元/平米')
('https://image1.ljcdn.com/210100-inspection/db1d7715-08e4-4cc7-8bed-b1efac63c96f.JPG.296x216.jpg', '八王寺 小北 沈阳大学南门 三室 精装', '新家源城市居住公园  | 3室2厅 | 135.15平米 | 东 南 北 | 精装', '高楼层(共11层)2000年建板楼  -  大东区', '151万', '单价11173元/平米')
('https://image1.ljcdn.com/210100-inspection/59ad4036-258a-47f4-8e62-eb82ab35250f.jpg.296x216.jpg', '大东东站 东方玫瑰园 高楼层 视野开阔 无遮挡采光好', '东方玫瑰园  | 3室2厅 | 108平米 | 南 北 | 精装', '高楼层(共6层)2007年建板楼  -  大东区', '80万', '单价7408元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploada76d81ee-0388-4212-89db-96d4fcc7b8e6.jpg.296x216.jpg', '龙之梦商圈 运河旁大华水岸 两室多层洋房赠阁楼  婚装', '大华水岸府邸  | 2室2厅 | 93.95平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  大东区', '135万', '单价14370元/平米')
('https://image1.ljcdn.com/210100-inspection/23636e85-b4d7-4a1e-ae03-2e899762683b.JPG.296x216.jpg', '祥云居 3室2厅 86万', '祥云居  | 3室2厅 | 111.52平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  大东区', '86万', '单价7712元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload97a461ae-f08b-4698-8a95-b2edacb7b6b0.jpg.296x216.jpg', '大东区鸿泽园两室二厅 双南卧 品牌家电全赠送 采光好', '鸿泽园  | 2室2厅 | 98.82平米 | 南 北 | 精装', '高楼层(共7层)2004年建板楼  -  大东区', '83.5万', '单价8450元/平米')
('https://image1.ljcdn.com/210100-inspection/49fa0536-de89-4c6e-9980-185d30cc7942.jpg.296x216.jpg', '大东圣水源洋房 中间楼层 精装修 南北通透四居室', '圣水源  | 4室2厅 | 200.86平米 | 南 北 | 精装', '中楼层(共8层)暂无数据  -  大东区', '480万', '单价23898元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadf6657a66-4262-40ec-8b91-1e010ec61fd5.jpg.296x216.jpg', '大东区 八王寺 万科金色家园 多层 三室 户型方正', '万科金色家园  | 3室2厅 | 158.05平米 | 南 北 | 精装', '低楼层(共6层)2005年建板楼  -  大东区', '255万', '单价16135元/平米')
('https://image1.ljcdn.com/210100-inspection/28fee2f0-1e08-41e0-b5a4-1255af2196c4.jpg.296x216.jpg', '文华园 4室2厅 280万', '文华园  | 4室2厅 | 275平米 | 南 北 | 其他', '高楼层(共9层)板楼  -  大东区', '280万', '单价10182元/平米')
('https://image1.ljcdn.com/210100-inspection/becb9a09-4ca3-43cf-832f-20999ea473df.jpg.296x216.jpg', '大东区 八王寺 五中家乐福  翰林家园 2室2厅精装', '翰林家园  | 2室2厅 | 90.54平米 | 南 北 | 简装', '高楼层(共7层)2005年建板楼  -  大东区', '70万', '单价7732元/平米')
('https://image1.ljcdn.com/210100-inspection/8d61493b-2c84-4d36-81b9-995f53294d39.JPG.296x216.jpg', '大东  国瑞城  南向 采光好', '国瑞城  | 1室1厅 | 56.83平米 | 南 | 精装', '低楼层(共20层)板楼  -  大东区', '36万', '单价6335元/平米')
('https://image1.ljcdn.com/210100-inspection/7fb68e12-e056-4107-a488-27067e1b9938.jpg.296x216.jpg', '新上 果舍三期 南北两室 高楼层 采光充足视野开阔', '果舍添香三期  | 2室1厅 | 84.43平米 | 南 北 | 简装', '高楼层(共13层)板楼  -  大东区', '95万', '单价11252元/平米')
('https://image1.ljcdn.com/210100-inspection/ef85bb21-343b-4216-a0ac-8d6fa85fd781.jpg.296x216.jpg', '大华水岸府邸 3室2厅 139万', '大华水岸府邸  | 3室2厅 | 138平米 | 南 北 | 其他', '中楼层(共18层)2006年建板楼  -  大东区', '139万', '单价10073元/平米')
('https://image1.ljcdn.com/210100-inspection/0a8ccc0f-c13b-4d99-a087-650914951ed3.jpg.296x216.jpg', '大东 家乐福 鸿基园 南北通透 大花园不把山不临街', '鸿基园  | 3室2厅 | 150.54平米 | 南 北 | 简装', '低楼层(共7层)2003年建板楼  -  大东区', '225万', '单价14947元/平米')
('https://image1.ljcdn.com/210100-inspection/d4445aed-1ed2-426b-a560-dc5f937dfcc7.JPG.296x216.jpg', '大东区东中街 东远国际花园 一室一厅', '东远国际花园  | 1室1厅 | 60.69平米 | 西南 | 毛坯', '高楼层(共34层)板楼  -  大东区', '80万', '单价13182元/平米')
('https://image1.ljcdn.com/210100-inspection/94fa43ee-fb87-4899-82a5-7f669a5b6d4b.jpg.296x216.jpg', '大东 八王寺 城市经典 中间楼层 采光好', '城市经典  | 3室1厅 | 116.74平米 | 南 北 | 精装', '低楼层(共30层)2007年建板塔结合  -  大东区', '118万', '单价10108元/平米')
('https://image1.ljcdn.com/210100-inspection/ce0553af-6c15-4d45-8e17-983fd0019715.jpg.296x216.jpg', '大东区 尚品天城 中楼层 采光好', '尚品天城  | 2室2厅 | 96.11平米 | 南 北 | 其他', '中楼层(共12层)2005年建板楼  -  大东区', '142万', '单价14775元/平米')
('https://image1.ljcdn.com/210100-inspection/0279471a-a555-43c5-9f09-aca272372074.jpg.296x216.jpg', '大东东中街商圈天龙家园 不把山不临街错层中间楼层', '天龙家园  | 2室2厅 | 128.16平米 | 南 北 | 精装', '中楼层(共7层)2003年建板楼  -  大东区', '145万', '单价11314元/平米')
('https://image1.ljcdn.com/210100-inspection/2f0b0ef0-7e68-4827-a742-73ecbc0fd8ff.jpg.296x216.jpg', '大东骨科 东方银座 中间楼层 无遮挡 采光好', '东方银座中心城  | 3室2厅 | 113.61平米 | 南 北 | 毛坯', '低楼层(共32层)板楼  -  大东区', '107万', '单价9419元/平米')
('https://image1.ljcdn.com/210100-inspection/fda32c44-7545-4502-af1d-d90ead9b81cc.jpg.296x216.jpg', '东方俪城星座，采光好，拎包即住', '万恒东方俪城星座  | 1室1厅 | 48.24平米 | 北 | 简装', '高楼层(共22层)2005年建塔楼  -  大东区', '33.5万', '单价6945元/平米')
('https://image1.ljcdn.com/210100-inspection/aa031b60-2c78-4dc2-98fb-f4edfea6f520.JPG.296x216.jpg', '大东商圈 临中街 双南一北 交通便利 楼层适合老人居住', '中街北苑  | 3室2厅 | 113平米 | 南 北 | 其他', '低楼层(共9层)2003年建板楼  -  大东区', '120万', '单价10620元/平米')
('https://image1.ljcdn.com/210100-inspection/241dd4aa-388c-4893-838c-5a80dc9499c1.jpg.296x216.jpg', '大东 二台子 林韵春天 格局好', '林韵春天  | 2室1厅 | 64.35平米 | 南 北 | 简装', '高楼层(共7层)2005年建板楼  -  大东区', '33万', '单价5129元/平米')
('https://image1.ljcdn.com/210100-inspection/20eb563e-694c-4e5e-88d3-430d7efdc7c9.JPG.296x216.jpg', '中街香檀1917两室南向无遮挡采光充足清水房', '香檀1917  | 2室2厅 | 94.36平米 | 南 | 毛坯', '中楼层(共34层)2008年建板楼  -  大东区', '94万', '单价9962元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload5eba9dbe-d8ea-4887-ac2d-52ab92bbc767.jpg.296x216.jpg', '大东 吉祥 锦联左岸 精装修 一室 纯南向 采光好 温馨', '锦联左岸  | 1室1厅 | 47.08平米 | 南 | 精装', '低楼层(共28层)2010年建板楼  -  大东区', '55万', '单价11683元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade2091470-633c-4344-a67c-0dbdd1314d73.jpg.296x216.jpg', '龙之梦 大华水岸 两室两厅小高层 不把山精装修 采光好', '大华水岸府邸  | 2室2厅 | 104.18平米 | 南 北 | 精装', '中楼层(共11层)2006年建板楼  -  大东区', '120万', '单价11519元/平米')
('https://image1.ljcdn.com/210100-inspection/8740abc8-5551-485a-b15d-49dac57914c7.jpg.296x216.jpg', '大东 如意家园 两室两厅一厨一卫', '如意家园  | 2室2厅 | 114.95平米 | 南 北 | 简装', '低楼层(共7层)2003年建板楼  -  大东区', '125万', '单价10875元/平米')
('https://image1.ljcdn.com/210100-inspection/test-0a8a359f-ba23-4a3a-a1d2-bbe1ceb02c6e.png.296x216.jpg', '一环旁 万恒东方俪城 配套齐全交通方便 随时可以看房', '万恒东方俪城四期  | 2室1厅 | 89.14平米 | 南 北 | 简装', '低楼层(共24层)2005年建板楼  -  大东区', '81万', '单价9087元/平米')
('https://image1.ljcdn.com/210100-inspection/19f8ec9e-5a05-44d0-a528-f56de2b3ff4a.jpg.296x216.jpg', '可久小区 3室2厅 92万', '可久小区  | 3室2厅 | 127平米 | 南 北 | 其他', '中楼层(共7层)1997年建暂无数据  -  大东区', '92万', '单价7245元/平米')
('https://image1.ljcdn.com/210100-inspection/b2daed2a-7125-4792-a682-05506982a224.jpg.296x216.jpg', '大东八王寺 万科物业 精装三室 中间楼层 户型方正', '万科金色家园  | 3室2厅 | 149.39平米 | 南 北 | 精装', '中楼层(共18层)2005年建板楼  -  大东区', '201万', '单价13455元/平米')
('https://image1.ljcdn.com/210100-inspection/7ec91312-d468-4bf1-99b0-5fb6b265a274.JPG.296x216.jpg', '汇馨家园 2室2厅 110万', '汇馨家园  | 2室2厅 | 113.8平米 | 南 北 | 其他', '中楼层(共9层)2005年建板楼  -  大东区', '110万', '单价9667元/平米')
('https://image1.ljcdn.com/210100-inspection/ec4fe2c1-88c4-42d5-84d3-ee15181c8e22.jpg.296x216.jpg', '大东  瑞家景峰  低楼层  出行便利', '瑞家景峰  | 2室1厅 | 78.77平米 | 西南 | 简装', '低楼层(共33层)暂无数据  -  大东区', '63万', '单价7998元/平米')
('https://image1.ljcdn.com/210100-inspection/1f539542-a149-47b2-8120-a62cdb3fe14a.JPG.296x216.jpg', '大东 新华壹品 南北通透 采光充足 拎包入住', '新华壹品A区  | 3室2厅 | 104平米 | 南 北 | 精装', '高楼层(共9层)2006年建板楼  -  大东区', '100万', '单价9616元/平米')
('https://image1.ljcdn.com/210100-inspection/687e62fc-bb0f-49d2-9f86-51002c4ea706.JPG.296x216.jpg', '可久小区 2室1厅 43万', '可久小区  | 2室1厅 | 70.27平米 | 东南 | 其他', '高楼层(共6层)暂无数据  -  大东区', '43万', '单价6120元/平米')
('https://image1.ljcdn.com/210100-inspection/6bb818de-e703-4a29-a2a0-fe0a84de271c.jpg.296x216.jpg', '大东钢泉巷瑞家景峰 双南卧精装修两居室', '瑞家景峰  | 2室1厅 | 77平米 | 西南 | 精装', '中楼层(共33层)2013年建板楼  -  大东区', '67万', '单价8702元/平米')
('https://image1.ljcdn.com/210100-inspection/b4d55735-5e56-4df7-bff7-2dc89c2966c4.JPG.296x216.jpg', '大东新华壹品 采光充足 视野开阔', '新华壹品A区  | 3室2厅 | 98.6平米 | 南 北 | 精装', '高楼层(共9层)2006年建板楼  -  大东区', '95万', '单价9635元/平米')
