('https://image1.ljcdn.com/370600-inspection/e0f8d11c-d3ef-4b3a-b02e-e5f5e175e7ec.jpg.296x216.jpg', '福利莱小区  精装修  双南卧 拎包入住', '福利莱小区  | 2室1厅 | 72.58平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  福海路', '65万', '单价8956元/平米')
('https://image1.ljcdn.com/370600-inspection/d162e715-b774-44c6-8adb-d77b2dffd515.jpg.296x216.jpg', '万科润园  精装修 好楼层  视野宽阔 采光好', '万科假日润园  | 2室1厅 | 76.1平米 | 南 北 | 其他', '中楼层(共18层)2016年建塔楼  -  万科', '80万', '单价10513元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb120217e-c67d-41e7-9da7-afdaf7ab7685.jpg.296x216.jpg', '南北通透 楼层好 采光充足 视野开阔', '观月里小区  | 3室1厅 | 77.5平米 | 南 北 | 其他', '中楼层(共5层)1996年建板楼  -  福海路', '65万', '单价8388元/平米')
('https://image1.ljcdn.com/370600-inspection/e3c6e90d-c7ae-4f77-aa88-de11f2dcfbc6.jpg.296x216.jpg', '万科假日风景 南北通透 精装修三居室', '万科假日风景  | 3室2厅 | 95.03平米 | 南 北 | 精装', '高楼层(共11层)2016年建塔楼  -  万科', '115万', '单价12102元/平米')
('https://image1.ljcdn.com/370600-inspection/74e37794-00c1-47fd-a9de-ce7992e91041.jpg.296x216.jpg', '满五年不唯一，楼层好，卫生间有窗，采光好，通透', '水清木华芝阳城  | 2室2厅 | 105.6平米 | 南 北 | 其他', '低楼层(共6层)2017年建板楼  -  芝阳', '90万', '单价8523元/平米')
('https://image1.ljcdn.com/370600-inspection/f3be6b46-d80e-4939-a72a-d8120e7b61a1.jpg.296x216.jpg', '富豪新天地，毛坯房，满五唯一住房', '富豪新天地  | 3室2厅 | 105.95平米 | 西南 | 毛坯', '高楼层(共16层)2009年建板塔结合  -  富豪', '98万', '单价9250元/平米')
('https://image1.ljcdn.com/370600-inspection/57b904db-3857-4bc2-be14-e356302f56a6.jpg.296x216.jpg', '积金山，多层非顶楼，一梯两户 南北通透  精装修', '积金山小区  | 2室1厅 | 57.14平米 | 南 北 | 其他', '中楼层(共5层)1998年建板楼  -  福海路', '53万', '单价9276元/平米')
('https://image1.ljcdn.com/370600-inspection/test-fd098aea-d5fc-49f7-8920-50bddd4dc354.png.296x216.jpg', '富豪新天地，三室两厅一厨一卫，多层四楼，南北通透。', '富豪新天地  | 3室2厅 | 99平米 | 南 西 北 | 其他', '中楼层(共6层)2009年建板楼  -  富豪', '110万', '单价11112元/平米')
('https://image1.ljcdn.com/370600-inspection/23488942-d757-4306-99dc-7d3b12081064.jpg.296x216.jpg', '万科假日风景 5室2厅 180万', '万科假日风景  | 5室2厅 | 95.91平米 | 南 北 | 其他', '高楼层(共11层)2016年建塔楼  -  万科', '180万', '单价18768元/平米')
('https://image1.ljcdn.com/370600-inspection/1d624b2a-c66e-49f4-b09c-b72293513e06.jpg.296x216.jpg', '万科假日风景，首付44万，东打头，采光好', '万科假日风景  | 3室2厅 | 98.56平米 | 东 南 北 | 其他', '中楼层(共10层)2016年建塔楼  -  万科', '113万', '单价11466元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload81961a3e-4a62-4d78-92ba-37851e7998b0.jpg.296x216.jpg', '万科假日风景 2室1厅 60万', '万科假日风景  | 2室1厅 | 58.9平米 | 南 | 其他', '高楼层(共25层)2016年建塔楼  -  万科', '60万', '单价10187元/平米')
('https://image1.ljcdn.com/370600-inspection/30c6824f-6f72-4137-b12d-6045f27e4896.jpg.296x216.jpg', '福利莱小区多层南北通透3房2厅一卫西打头带小棚', '福利莱小区  | 3室2厅 | 98.22平米 | 南 北 | 精装', '低楼层(共6层)2014年建板楼  -  福海路', '100万', '单价10182元/平米')
('https://image1.ljcdn.com/370600-inspection/9b094a10-406d-4d5e-b094-06ee5aed80b4.jpg.296x216.jpg', '此房精装修，南北通透，西打头采光视野好。', '福祥新苑  | 2室2厅 | 70.62平米 | 南 西 北 | 其他', '高楼层(共6层)2003年建板楼  -  富豪', '60万', '单价8497元/平米')
('https://image1.ljcdn.com/370600-inspection/6258e531-81fa-4739-85a8-9194ed2a743a.jpg.296x216.jpg', '星河城精装修西北向户型采光好视野宽阔，配套实施齐全', '星河城  | 2室2厅 | 75.15平米 | 西北 | 其他', '高楼层(共30层)2011年建塔楼  -  福海路', '65万', '单价8650元/平米')
('https://image1.ljcdn.com/370600-inspection/3b5a8d0c-45c5-4a67-b72a-47fee569512c.jpg.296x216.jpg', '东方华府；三室两厅一厨两卫，南向', '东方华府  | 3室2厅 | 124平米 | 南 | 其他', '低楼层(共30层)2019年建塔楼  -  福海路', '162万', '单价13065元/平米')
('https://image1.ljcdn.com/370600-inspection/f2ff93dc-7583-4f74-8bbe-df974bd24b97.jpg.296x216.jpg', '富豪新天地，两室一厅一厨一卫，满五年，精装修带小棚', '富豪新天地  | 2室1厅 | 75.98平米 | 东南 | 其他', '中楼层(共18层)2009年建板塔结合  -  富豪', '75万', '单价9872元/平米')
('https://image1.ljcdn.com/370600-inspection/1827ab1e-76e0-4884-ae12-422a15e1bfd8.jpg.296x216.jpg', '福利莱万和城，南北通透，毛坯房。', '福利莱万和城  | 3室2厅 | 90.05平米 | 东 南 北 | 其他', '高楼层(共11层)2013年建塔楼  -  芝阳', '75万', '单价8329元/平米')
('https://image1.ljcdn.com/370600-inspection/693fd1ad-c0cc-454e-a6f9-d98aa466462a.jpg.296x216.jpg', '福海路上南北通透精装修，交通便利，周边配套齐全', '锦绣山庄  | 2室2厅 | 60.58平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  奇泉', '50万', '单价8254元/平米')
('https://image1.ljcdn.com/370600-inspection/c809b26a-de22-4c0a-8534-b93fe6ea3a1c.jpg.296x216.jpg', '阳光首院，电梯洋房，南向小二居，毛坯房，想怎么设计', '阳光首院  | 2室1厅 | 83.58平米 | 南 | 其他', '低楼层(共31层)2012年建板楼  -  首院', '80万', '单价9572元/平米')
('https://image1.ljcdn.com/370600-inspection/test-2d48daad-ee37-42d3-9052-8fcc33e7b149.png.296x216.jpg', '富豪青年国际多层，两室一厨一卫，南北通透，带小棚', '富豪青年国际广场  | 2室2厅 | 106平米 | 南 北 | 其他', '低楼层(共7层)2006年建板楼  -  富豪', '109万', '单价10284元/平米')
('https://image1.ljcdn.com/370600-inspection/d7d70e41-0e94-416a-9871-441f226dfa98.jpg.296x216.jpg', '此房南北通透，大两居精装房，全明户型，南向客厅', '东方明珠花园  | 2室2厅 | 96平米 | 南 北 | 其他', '高楼层(共12层)2009年建塔楼  -  振华', '90万', '单价9375元/平米')
('https://image1.ljcdn.com/370600-inspection/bfe4537d-f2bb-454f-b131-27c6221e2a2e.jpg.296x216.jpg', '楼层好，视野宽阔，采光充足，交通便利，购物方便。', '星河城  | 1室1厅 | 51.4平米 | 北 | 精装', '中楼层(共30层)2011年建塔楼  -  福海路', '35万', '单价6810元/平米')
('https://image1.ljcdn.com/370600-inspection/0ff49812-2100-400b-a035-f269be682f5c.jpg.296x216.jpg', '多层复式 南北通透 外置大阳台 一梯两户', '北方月光怡景  | 2室1厅 | 73.8平米 | 南 北 | 其他', '高楼层(共6层)2017年建板楼  -  富豪', '92万', '单价12467元/平米')
('https://image1.ljcdn.com/370600-inspection/e29e1995-617c-456c-b279-2cd866bdf513.jpg.296x216.jpg', '丽景佳园 1室1厅 42万', '丽景佳园  | 1室1厅 | 45.57平米 | 南 | 精装', '高楼层(共11层)2011年建塔楼  -  福海路', '42万', '单价9217元/平米')
('https://image1.ljcdn.com/370600-inspection/dbc51003-95ff-44ac-8bfc-3516d1950b6d.jpg.296x216.jpg', '夹河边顶楼加阁楼，带车位和小棚，南北通透好户型', '清洋苑  | 4室2厅 | 68.86平米 | 南 北 | 其他', '高楼层(共6层)2004年建板楼  -  振华', '80万', '单价11618元/平米')
('https://image1.ljcdn.com/370600-inspection/92fe0e55-45fc-4ade-b7b1-fdb60690dd02.jpg.296x216.jpg', '松霞新苑北小区三室阁楼采光充足', '松霞新苑北小区  | 3室1厅 | 35.37平米 | 南 北 | 其他', '高楼层(共7层)2009年建板楼  -  松霞', '27万', '单价7634元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload80201518-0665-4b91-8d80-ce7073a77fc8.jpg.296x216.jpg', '北四路天府街福海路北方月光怡景顶加阁', '北方月光怡景  | 4室2厅 | 102.23平米 | 南 北 | 精装', '高楼层(共6层)2017年建板楼  -  富豪', '115万', '单价11250元/平米')
('https://image1.ljcdn.com/370600-inspection/76e23f80-66ca-4505-bc6b-6d90e488c4bd.jpg.296x216.jpg', '南北通透，户型方正，河景房，带车位，带小棚', '银河明珠  | 3室1厅 | 172.5平米 | 东 南 北 | 其他', '中楼层(共30层)2010年建塔楼  -  松霞', '255万', '单价14783元/平米')
('https://image1.ljcdn.com/370600-inspection/d1aeb860-d82e-472d-b2b5-fef13d4ac260.jpg.296x216.jpg', '福山中心公寓楼民水民电，楼层好采光好，配套完善，', '天创国际城  | 1室1厅 | 40.02平米 | 北 | 其他', '高楼层(共18层)2005年建塔楼  -  福海路', '19万', '单价4748元/平米')
('https://image1.ljcdn.com/370600-inspection/2fa271dc-79f8-498b-9c37-b97ea96147e0.jpg.296x216.jpg', '福海路两边 积金山 南北通透两室', '积金山小区  | 2室1厅 | 57.14平米 | 南 北 | 其他', '中楼层(共5层)1998年建板楼  -  福海路', '50万', '单价8751元/平米')
('https://image1.ljcdn.com/370600-inspection/c2458b3e-e0c1-460a-aa8f-3da86f1895cb.jpg.296x216.jpg', '南北通透，视野开阔，精装两居室拎包入住', '万科假日风景  | 2室2厅 | 80.26平米 | 南 北 | 其他', '中楼层(共25层)2016年建塔楼  -  万科', '82万', '单价10217元/平米')
('https://image1.ljcdn.com/370600-inspection/4b1a9c00-0449-48ba-ac47-19ea5316893f.jpg.296x216.jpg', '三室南北通透好房子采光好带阁楼。', '鸿福名城  | 5室1厅 | 95.56平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  鸿福街', '95万', '单价9942元/平米')
('https://image1.ljcdn.com/370600-inspection/cca15d00-b486-4ba7-bed6-beaad5bc198f.jpg.296x216.jpg', '福祥新苑，家家悦旁，南北通透三居室，79平，59.6万', '福祥新苑  | 3室2厅 | 79.84平米 | 南 北 | 其他', '高楼层(共6层)2003年建板楼  -  富豪', '59.6万', '单价7465元/平米')
('https://image1.ljcdn.com/370600-inspection/637c2e56-06ad-401c-a8a4-7ad0df35594e.jpg.296x216.jpg', '星河城精装修南向户型，视野开阔，房子满五不唯一', '星河城  | 2室1厅 | 68.37平米 | 南 | 其他', '低楼层(共30层)2011年建塔楼  -  福海路', '69万', '单价10093元/平米')
('https://image1.ljcdn.com/370600-inspection/4fea3c3c-d1c5-4aee-a93a-b17b3562ed9e.jpg.296x216.jpg', '鸿福名城，多层精装修，上下两层，南北通透', '鸿福名城  | 2室1厅 | 80平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  鸿福街', '95万', '单价11875元/平米')
('https://image1.ljcdn.com/370600-inspection/76b90443-d40c-453a-9e07-f7e5f8780f8f.jpg.296x216.jpg', '富豪青年国际，一室一厅一厨一卫，精装修。', '富豪青年国际广场  | 1室1厅 | 41.03平米 | 北 | 其他', '低楼层(共16层)2006年建塔楼  -  富豪', '40万', '单价9749元/平米')
('https://image1.ljcdn.com/370600-inspection/6b9e74a3-f1ee-4b77-90e3-2c5b74522ddd.jpg.296x216.jpg', '富盛苑，精装两居室，双南卧，西打头，采光好', '富盛苑  | 2室1厅 | 75.18平米 | 南 西 北 | 其他', '中楼层(共10层)暂无数据  -  万科', '80万', '单价10642元/平米')
('https://image1.ljcdn.com/370600-inspection/7ab18445-e880-4b35-82c7-57a4b7dd9823.jpg.296x216.jpg', '房子满五年、小区位置好交通方便、房子采光好', '香逸中央  | 4室1厅 | 147.55平米 | 南 北 | 精装', '低楼层(共9层)2009年建板楼  -  福海路', '200万', '单价13555元/平米')
('https://image1.ljcdn.com/370600-inspection/6de56d89-e7ad-4874-933c-e24bd4a93951.jpg.296x216.jpg', '星河城一室一厅住宅，配套齐全，交通便利', '星河城  | 1室1厅 | 50.75平米 | 北 | 其他', '低楼层(共30层)2011年建塔楼  -  福海路', '41万', '单价8079元/平米')
('https://image1.ljcdn.com/370600-inspection/729dab61-ede8-42ba-9bb0-d1c5e0c19394.jpg.296x216.jpg', '福海路积金山南北通透东大头可拎包入住', '积金山小区  | 2室1厅 | 89.75平米 | 南 北 | 其他', '低楼层(共7层)暂无数据  -  福海路', '75万', '单价8357元/平米')
('https://image1.ljcdn.com/370600-inspection/6020dfbb-4c4b-4872-ab98-3ea17b4c3ddd.jpg.296x216.jpg', '东方华府好楼层 好户型 视野宽阔  采光充足', '东方华府  | 2室2厅 | 85平米 | 东南 | 毛坯', '中楼层(共33层)2019年建塔楼  -  福海路', '93万', '单价10942元/平米')
('https://image1.ljcdn.com/370600-inspection/ab19a396-e2a0-4a67-86aa-ceb5869851b2.jpg.296x216.jpg', '福海路万科旁星河城精装三室未住好房', '星河城  | 3室2厅 | 92.36平米 | 南 北 | 精装', '中楼层(共19层)2011年建塔楼  -  福海路', '103万', '单价11153元/平米')
('https://image1.ljcdn.com/370600-inspection/b191b34f-4f37-424f-ade7-04e5c6d9ad8f.jpg.296x216.jpg', '芙蓉花园好楼层，不挡光，视野好，采光充足', '芙蓉花园  | 2室2厅 | 86.9平米 | 南 北 | 简装', '低楼层(共6层)2011年建板楼  -  福海路', '99万', '单价11393元/平米')
('https://image1.ljcdn.com/370600-inspection/84e5bd7a-54d8-4866-abbf-38cad101767f.jpg.296x216.jpg', '三联影院小区好位置 多层公摊小 利用率高', '三联影院  | 4室2厅 | 92.43平米 | 南 北 | 简装', '高楼层(共6层)暂无数据  -  福海路', '100万', '单价10819元/平米')
('https://image1.ljcdn.com/370600-inspection/874cb5cb-576e-4b64-be1e-fe81fb39aed6.jpg.296x216.jpg', '星河城 3室1厅 100万', '星河城  | 3室1厅 | 114平米 | 南 北 | 其他', '低楼层(共19层)2011年建塔楼  -  福海路', '100万', '单价8772元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploada0f0c46a-88f9-4491-8ba7-05c774b73c0e.jpg.296x216.jpg', '万科假日风景，顶复结构，品质社区，尽享品味人生！', '万科假日风景  | 4室3厅 | 105.04平米 | 南 北 | 其他', '高楼层(共5层)2016年建板楼  -  万科', '165万', '单价15709元/平米')
('https://image1.ljcdn.com/370600-inspection/b8528e23-20e9-43ce-a7f5-c780e1bb9131.JPG.296x216.jpg', '河滨小区好房,户型方正，户型采光', '河滨小区  | 2室1厅 | 69.47平米 | 南 | 其他', '高楼层(共4层)1992年建板楼  -  松霞', '58万', '单价8349元/平米')
('https://image1.ljcdn.com/370600-inspection/test-12bfde7c-ad8a-46df-95c1-749a1d4b18ea.png.296x216.jpg', '福海阳光花园 3室2厅 98万', '福海阳光花园  | 3室2厅 | 97.83平米 | 南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  福海路', '98万', '单价10018元/平米')
('https://image1.ljcdn.com/370600-inspection/test-26fc84ad-9190-4d48-a565-0a63525e7ae2.png.296x216.jpg', '房子为东北向  装修好  拎包入住', '星河城  | 2室2厅 | 72平米 | 东北 | 其他', '高楼层(共26层)2011年建塔楼  -  福海路', '72万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/8bb26f93-fb09-4b73-b69f-cafb9b500fe7.jpg.296x216.jpg', '汇福街，楼层好，采光好，看房方便', '汇福街  | 3室2厅 | 87.6平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  富豪', '70万', '单价7991元/平米')
('https://image1.ljcdn.com/370600-inspection/8f955498-3630-4a2b-a57a-c0056a10f38e.jpg.296x216.jpg', '楼层好，采光好，交通便利，配套设施齐,精装修，', '香逸中央  | 4室2厅 | 157.2平米 | 南 北 | 其他', '高楼层(共9层)2009年建板楼  -  福海路', '238万', '单价15140元/平米')
('https://image1.ljcdn.com/370600-inspection/test-e809b0c1-c0c9-4469-92d2-3d7e15c8b4f0.png.296x216.jpg', '水清木华芝阳满五年两室精装修卫生间有窗采光好有小棚', '水清木华芝阳城  | 2室2厅 | 95.16平米 | 西南 | 其他', '中楼层(共11层)暂无数据  -  芝阳', '76万', '单价7987元/平米')
('https://image1.ljcdn.com/370600-inspection/3548e6ce-f82a-467c-8b9d-280cf7baec50.jpg.296x216.jpg', '福海路东方华府 精装4室南北通透大阳台采光好送车位', '东方华府  | 4室2厅 | 156.52平米 | 南 北 | 精装', '低楼层(共22层)2019年建塔楼  -  福海路', '210万', '单价13417元/平米')
('https://image1.ljcdn.com/370600-inspection/d3792756-8d9c-4000-abad-4146ac93929f.jpg.296x216.jpg', '星河城 南北通透 南厅双南卧 精装修 中间楼层 采光好', '星河城  | 3室2厅 | 108平米 | 南 北 | 其他', '中楼层(共19层)2011年建塔楼  -  福海路', '120万', '单价11112元/平米')
('https://image1.ljcdn.com/370600-inspection/de95793d-cd70-4172-9084-ac3e1403cd00.jpg.296x216.jpg', '富豪花园 3室1厅 160万', '富豪花园  | 3室1厅 | 112.5平米 | 东 南 北 | 其他', '高楼层(共5层)2009年建板楼  -  富豪', '160万', '单价14223元/平米')
('https://image1.ljcdn.com/370600-inspection/43b71262-379c-462b-bcce-f030a267e931.jpg.296x216.jpg', '万科假日润园 2室2厅 81万', '万科假日润园  | 2室2厅 | 76.33平米 | 南 | 其他', '中楼层(共18层)2014年建塔楼  -  万科', '81万', '单价10612元/平米')
('https://image1.ljcdn.com/370600-inspection/57af66bd-de37-4db8-a4a5-8074cc6af92d.jpg.296x216.jpg', '永乐公寓，两居室，精装带小棚，50万各付！', '永乐公寓  | 2室1厅 | 66.39平米 | 南 | 其他', '高楼层(共6层)1994年建板楼  -  振华', '55万', '单价8285元/平米')
('https://image1.ljcdn.com/370600-inspection/83dea4dc-f218-40e9-90b3-1adec5f192d8.jpg.296x216.jpg', '东方华府精装修可拎包入住 全明户型', '东方华府  | 4室2厅 | 132.48平米 | 南 北 | 精装', '低楼层(共33层)2019年建塔楼  -  福海路', '160万', '单价12078元/平米')
('https://image1.ljcdn.com/370600-inspection/test-70e4c1e1-1402-4443-9019-a93bef99c70b.png.296x216.jpg', '星河城一室一厅 南向 楼层好，配套齐全，交通便利', '星河城  | 1室1厅 | 52.83平米 | 南 | 其他', '高楼层(共30层)2011年建塔楼  -  福海路', '40万', '单价7572元/平米')
('https://image1.ljcdn.com/370600-inspection/dfeebfcf-eede-4e4c-8ba0-192d52765c2f.jpg.296x216.jpg', '房子在顶楼27楼，前方没有遮挡，视野开阔采光好', '檀香苑  | 4室2厅 | 83.73平米 | 南 北 | 其他', '高楼层(共27层)塔楼  -  鸿福街', '95万', '单价11346元/平米')
('https://image1.ljcdn.com/370600-inspection/ff21b7b0-b4cc-4398-b7e2-1fab19ab5f26.jpg.296x216.jpg', '北四路富豪西苑多层好楼层精装修拎包入住视野好带小棚', '富豪西苑  | 2室1厅 | 79.4平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  富豪', '88万', '单价11084元/平米')
('https://image1.ljcdn.com/370600-inspection/c320a6a9-445c-4b29-836c-f0f930d9ea54.jpg.296x216.jpg', '恒生三号小区，精装修，双南卧，带车库', '恒生3号小区  | 3室2厅 | 113.95平米 | 南 北 | 其他', '中楼层(共6层)1998年建板楼  -  振华', '108万', '单价9478元/平米')
('https://image1.ljcdn.com/370600-inspection/a25de06b-9e21-4e23-a02c-d0795545eff3.jpg.296x216.jpg', '多层、视野开阔、采光好、精装修、南北通透', '万科假日风景  | 4室2厅 | 105.04平米 | 东南 北 | 其他', '高楼层(共5层)2016年建板楼  -  万科', '145万', '单价13805元/平米')
('https://image1.ljcdn.com/370600-inspection/fb70a2e4-3351-489b-ba4e-8d07e50f2ad4.jpg.296x216.jpg', '永乐公寓 振华商圈 南厅双南卧三室两卫 送小棚', '永乐公寓  | 3室2厅 | 120.6平米 | 南 北 | 其他', '低楼层(共6层)1994年建板楼  -  振华', '95万', '单价7878元/平米')
('https://image1.ljcdn.com/370600-inspection/07d68a7d-3051-4fca-89fe-45717fe0ca0e.jpg.296x216.jpg', '星河城好房源 视野好 采光充足', '星河城  | 2室2厅 | 95平米 | 南 北 | 其他', '低楼层(共11层)2011年建塔楼  -  福海路', '115万', '单价12106元/平米')
('https://image1.ljcdn.com/370600-inspection/7cb9b218-7a7a-48e4-a913-82554ce4a9d1.jpg.296x216.jpg', '星河城三期 一楼带花园 精装 南厅双南卧 全明户型', '星河城  | 2室2厅 | 83.78平米 | 南 | 其他', '低楼层(共19层)2011年建塔楼  -  福海路', '80万', '单价9549元/平米')
('https://image1.ljcdn.com/370600-inspection/4a21a0ff-7bd7-4e26-91a0-d8f5574787a5.JPG.296x216.jpg', '星河城东北向2居户型 毛坯房 装修可根据自己的喜欢', '星河城  | 2室2厅 | 71.82平米 | 东北 | 其他', '中楼层(共26层)2011年建塔楼  -  福海路', '62万', '单价8633元/平米')
('https://image1.ljcdn.com/370600-inspection/0918594a-5d25-43cf-9521-1955555b7b2e.jpg.296x216.jpg', '银河小区 2室1厅 55万', '银河小区  | 2室1厅 | 58平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  松霞', '55万', '单价9483元/平米')
('https://image1.ljcdn.com/370600-inspection/85de3236-9de6-4e04-902a-9806f8ec70d5.jpg.296x216.jpg', '福海路星河城南向  精装两居室拎包入住', '星河城  | 2室1厅 | 68.32平米 | 南 | 精装', '中楼层(共30层)2011年建塔楼  -  福海路', '70万', '单价10246元/平米')
('https://image1.ljcdn.com/370600-inspection/2c876af8-e508-4148-a1b9-545b15bd26df.jpg.296x216.jpg', '房子南厅南卧，卧室带阳台，采光好，精装修，配套齐全', '星河城  | 2室2厅 | 94.3平米 | 南 北 | 其他', '高楼层(共11层)2011年建塔楼  -  福海路', '98万', '单价10393元/平米')
('https://image1.ljcdn.com/370600-inspection/df48b7d8-32d3-4eef-8602-49ab2666a7fa.jpg.296x216.jpg', '南北通透 户型好 采光好 精装修 证件齐全 位置优越', '天创国际城  | 4室2厅 | 153.6平米 | 东 南 北 | 其他', '高楼层(共19层)2005年建塔楼  -  福海路', '139万', '单价9050元/平米')
('https://image1.ljcdn.com/370600-inspection/a7bf4673-1f33-4e11-bd17-575eb8229825.jpg.296x216.jpg', '北方月光怡景 精装修4室 南北通透 南厅双南卧满五唯一', '北方月光怡景  | 4室2厅 | 148.42平米 | 南 北 | 其他', '低楼层(共11层)2017年建板楼  -  富豪', '140万', '单价9433元/平米')
('https://image1.ljcdn.com/370600-inspection/071df382-cc53-435b-8d5e-1ca1f6e7106b.jpg.296x216.jpg', '河滨小区 2室1厅 60万', '河滨小区  | 2室1厅 | 65.6平米 | 南 北 | 其他', '中楼层(共5层)1992年建板楼  -  松霞', '60万', '单价9147元/平米')
('https://image1.ljcdn.com/370600-inspection/ddc3815e-bc5d-4e78-abff-bf4b7421424b.jpg.296x216.jpg', '富豪新天地 2室2厅 78万', '富豪新天地  | 2室2厅 | 76.14平米 | 南 | 其他', '高楼层(共12层)2009年建板塔结合  -  富豪', '78万', '单价10245元/平米')
('https://image1.ljcdn.com/370600-inspection/8f0db06d-ad5b-4654-a30a-e9a8956ff578.jpg.296x216.jpg', '富丽花园 精装修小户型 拎包入住', '富丽花园  | 1室1厅 | 47.82平米 | 南 | 其他', '高楼层(共18层)2009年建板楼  -  富豪', '48万', '单价10038元/平米')
('https://image1.ljcdn.com/370600-inspection/6c12bba5-eeac-4f7a-b31f-18b090f699da.jpg.296x216.jpg', '多层打头房，三居室，采光好家里保持好南北通透', '东华花园  | 3室2厅 | 91.03平米 | 南 西 北 | 其他', '低楼层(共6层)暂无数据  -  松霞', '85万', '单价9338元/平米')
('https://image1.ljcdn.com/370600-inspection/ce9e2e35-caca-4b23-9afc-ce3e3dfc2c41.jpg.296x216.jpg', '汇福街 三室一厅 精装修  多层', '汇福街  | 3室1厅 | 108.2平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  富豪', '98万', '单价9058元/平米')
