('https://image1.ljcdn.com/370200-inspection/683daa83-7c38-4b6a-b177-f3bfb77b5efb.jpg.296x216.jpg', '大华正信花园 套三户型 南北通透 楼层好 看房方便', '大华正信花园  | 3室1厅 | 129.73平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  即墨', '180万', '单价13875元/平米')
('https://image1.ljcdn.com/370200-inspection/d87d5bac-31a7-4b48-91a6-f0542a7a84bc.JPG.296x216.jpg', '龙山花园，精装套二，南北通透，采光好', '龙山花园  | 2室2厅 | 87.14平米 | 南 北 | 其他', '中楼层(共6层)2011年建板楼  -  即墨', '140万', '单价16067元/平米')
('https://image1.ljcdn.com/370200-inspection/c2e7139d-2756-45af-93d8-70381e6064b7.JPG.296x216.jpg', '曼谷阳光，带阁楼，大露台，精装，经典套二，南北通透', '曼谷阳光  | 2室2厅 | 91.91平米 | 南 北 | 其他', '高楼层(共9层)2011年建板楼  -  即墨', '178万', '单价19367元/平米')
('https://image1.ljcdn.com/370200-inspection/0b72983a-1d54-4e5f-b852-15fbed94f165.JPG.296x216.jpg', '精装顶加阁，满五年，诚心出售，产权无纠纷！', '书香门第  | 2室2厅 | 104.56平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  即墨', '162万', '单价15494元/平米')
('https://image1.ljcdn.com/370200-inspection/ed744005-a24c-46b9-b4e6-e94f3df7c926.jpg.296x216.jpg', '新上即发阳光城好楼层优质顶加阁房屋', '即发阳光城  | 3室2厅 | 136.05平米 | 南 北 | 其他', '高楼层(共5层)2015年建板楼  -  即墨', '230万', '单价16906元/平米')
('https://image1.ljcdn.com/370200-inspection/8b9b6e31-ef60-46fb-a747-b653d23011e2.jpg.296x216.jpg', '怡景嘉苑  南北通透  全明户型  楼层好视野好', '怡景嘉苑  | 2室2厅 | 95.43平米 | 南 北 | 其他', '中楼层(共19层)2013年建板楼  -  即墨', '138万', '单价14461元/平米')
('https://image1.ljcdn.com/370200-inspection/58c61c11-caab-41f3-9639-d6b68b1d1fff.JPG.296x216.jpg', '因为一个人 爱上一座城 东岸澜庭 精装套二 南北通透', '东岸澜庭  | 2室1厅 | 66.4平米 | 南 北 | 其他', '高楼层(共6层)2009年建暂无数据  -  即墨', '88万', '单价13254元/平米')
('https://image1.ljcdn.com/370200-inspection/2be5656d-ed15-4c37-8a7f-db99f1be005c.jpg.296x216.jpg', '15年新小区电梯房，近地铁口，精装修，拎包入住', '颐和家园东区  | 2室1厅 | 88.25平米 | 南 北 | 精装', '中楼层(共11层)2015年建暂无数据  -  即墨', '137万', '单价15525元/平米')
('https://image1.ljcdn.com/370200-inspection/test-b67d8f01-4b28-4b82-80cf-1f7b83bc5f69.png.296x216.jpg', '宝龙 **尊邸，二十八中  ，配套完善，', '宝龙中央尊邸  | 3室2厅 | 124.51平米 | 南 | 其他', '低楼层(共33层)2012年建暂无数据  -  即墨', '168万', '单价13493元/平米')
('https://image1.ljcdn.com/370200-inspection/bfeb58f8-38d6-468c-9180-7009d8a89d9f.jpg.296x216.jpg', '南北通透 采光充足 居住舒适 生活交通便利', '怡景嘉苑  | 2室2厅 | 92.25平米 | 南 北 | 其他', '低楼层(共19层)2013年建板楼  -  即墨', '156万', '单价16911元/平米')
('https://image1.ljcdn.com/370200-inspection/7c914605-7fc1-44d9-a647-033f92ec694c.jpg.296x216.jpg', '绿化好！ 采光充足 居住舒适 生活交通便利', '怡景嘉苑  | 2室1厅 | 89.79平米 | 南 北 | 其他', '中楼层(共16层)2013年建暂无数据  -  即墨', '147万', '单价16372元/平米')
('https://image1.ljcdn.com/370200-inspection/6624921f-bf5d-4dad-b82e-fe42e14c6494.jpg.296x216.jpg', '义乌城B区多层采光好公摊小一梯两户交通便利', '义乌城  | 2室2厅 | 93.53平米 | 南 北 | 精装', '中楼层(共6层)2010年建暂无数据  -  即墨', '140万', '单价14969元/平米')
('https://image1.ljcdn.com/370200-inspection/test-227970c3-2cd8-4f3b-b187-9e26cd6a0211.png.296x216.jpg', '新上世纪花苑北区温馨小套三，过五唯一省双税', '世纪花苑北区  | 3室1厅 | 95.16平米 | 南 北 | 其他', '中楼层(共6层)2002年建板楼  -  即墨', '126万', '单价13241元/平米')
('https://image1.ljcdn.com/370200-inspection/test-a72ce2fd-6550-4bc6-88da-89e83c6361ae.png.296x216.jpg', '东城家园 经典套二户型 楼层好采光充足 南北通透。', '东城家园  | 2室1厅 | 79.5平米 | 南 | 精装', '中楼层(共6层)2010年建暂无数据  -  即墨', '98万', '单价12328元/平米')
('https://image1.ljcdn.com/370200-inspection/test-3ee46311-ef36-4373-9ae8-a2f51a53c48e.png.296x216.jpg', '急售好房，万科四季花城，钻石楼层，南北通透格局', '四季花城  | 3室2厅 | 88.85平米 | 南 北 | 其他', '中楼层(共18层)2012年建暂无数据  -  即墨', '160万', '单价18008元/平米')
('https://image1.ljcdn.com/370200-inspection/5b72b9a9-2d50-419c-8ae7-d2bbbb84582a.JPG.296x216.jpg', '学府林居 2室1厅 238万', '学府林居  | 2室1厅 | 92.19平米 | 南 | 其他', '低楼层(共5层)2011年建暂无数据  -  即墨', '238万', '单价25817元/平米')
('https://image1.ljcdn.com/370200-inspection/2b0b7a6c-9e03-4471-852f-9452ba5845de.JPG.296x216.jpg', '曼谷阳光公寓70年大产权居民水电费服装市场低楼层', '曼谷阳光  | 1室0厅 | 40.63平米 | 南 | 精装', '低楼层(共6层)2009年建暂无数据  -  即墨', '58万', '单价14276元/平米')
('https://image1.ljcdn.com/370200-inspection/test-51b59e27-7c39-4f95-ad7d-85cc5272604f.png.296x216.jpg', '城市花园，好楼层，双南卧东明厅 带储藏室', '正信城市花园  | 2室1厅 | 78.09平米 | 南 北 | 简装', '中楼层(共5层)暂无数据  -  即墨', '106万', '单价13575元/平米')
('https://image1.ljcdn.com/370200-inspection/test-b4710702-5eb8-403f-810a-c709decf8e36.png.296x216.jpg', '新上宝龙新天地，精装修，位置好', '宝龙新天地  | 3室1厅 | 127.23平米 | 南 | 其他', '中楼层(共31层)2013年建暂无数据  -  即墨', '188万', '单价14777元/平米')
('https://image1.ljcdn.com/370200-inspection/118439d9-940b-44b1-a63b-5acad7dca04a.JPG.296x216.jpg', '鹤翔小区  大客厅   好楼层   双卫 送超大地下室', '鹤翔小区  | 2室2厅 | 102.97平米 | 南 北 | 简装', '中楼层(共5层)1999年建暂无数据  -  即墨', '121万', '单价11751元/平米')
('https://image1.ljcdn.com/370200-inspection/b0d1100b-e1c9-4bbf-afde-463897d27c0f.jpg.296x216.jpg', '西元庄6期，套二，北明厅，北明厅', '永合弘泰苑6期  | 2室1厅 | 71.12平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  即墨', '100万', '单价14061元/平米')
('https://image1.ljcdn.com/370200-inspection/e00568bf-c751-4d28-bc99-cd7f5eed1d81.jpg.296x216.jpg', '中惠景园 中间楼层 带储藏室 南北通透 前排无遮挡', '中惠景园  | 2室1厅 | 79平米 | 南 北 | 精装', '中楼层(共6层)2009年建暂无数据  -  即墨', '120万', '单价15190元/平米')
('https://image1.ljcdn.com/370200-inspection/9359fa6b-5a45-438f-bbf2-5d47da468779.JPG.296x216.jpg', '京宝花苑  小套三  满五唯一   南北通透   送车库', '京宝花苑  | 3室1厅 | 86.81平米 | 南 北 | 精装', '低楼层(共6层)1999年建暂无数据  -  即墨', '118万', '单价13593元/平米')
('https://image1.ljcdn.com/370200-inspection/rsp_pic_uploadd977f6ff-8838-4f87-a085-0b43c3c06777.jpg.296x216.jpg', '多层小区带车库 毛坯大套三双卫 随意装修 楼层好', '红盾小区东区  | 3室2厅 | 122.52平米 | 南 北 | 其他', '低楼层(共5层)暂无数据  -  即墨', '186万', '单价15182元/平米')
('https://image1.ljcdn.com/370200-inspection/674a4bc7-eba8-48be-97e2-7dd05a927f26.jpg.296x216.jpg', '宝龙广场 仁和小区 楼层佳 位置好 诚心出售', '仁和小区  | 2室1厅 | 82.47平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  即墨', '99万', '单价12005元/平米')
('https://image1.ljcdn.com/370200-inspection/c7ab63ad-21a9-448a-bf2c-1ca841396d1f.jpg.296x216.jpg', '明水苑 套三 楼层.采光好.南北通透.随时看房', '明水苑  | 3室2厅 | 99.98平米 | 南 | 其他', '中楼层(共6层)2007年建暂无数据  -  即墨', '125万', '单价12503元/平米')
('https://image1.ljcdn.com/370200-inspection/5c84382a-ef01-445d-816b-261d10f13de8.jpg.296x216.jpg', '义乌城  毛坯套二  购物方便  交通便利 楼层好', '义乌城  | 2室2厅 | 91.26平米 | 南 北 | 其他', '中楼层(共9层)2011年建暂无数据  -  即墨', '127万', '单价13917元/平米')
('https://image1.ljcdn.com/370200-inspection/test-2d87c6b8-969a-4d20-af06-a67a478590c3.png.296x216.jpg', '即发共和小区，套二双南卧，户型方正采光好', '即发共和小区  | 2室1厅 | 65.93平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1997年建板楼  -  即墨', '75万', '单价11376元/平米')
('https://image1.ljcdn.com/370200-inspection/d9c401d3-c206-43fe-9f31-ea95854976b5.jpg.296x216.jpg', '物业管理好， 大套三双卫，精装房，楼层好，单价低 。', '红盾小区东区  | 3室2厅 | 122.6平米 | 南 北 | 精装', '中楼层(共6层)暂无数据  -  即墨', '165万', '单价13459元/平米')
('https://image1.ljcdn.com/370200-inspection/dd62248b-9216-41bd-ad12-63c70b2404e4.JPG.296x216.jpg', '南北通透，楼层好，视野宽阔，采光充足', '银座动感时代  | 3室1厅 | 89.96平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  即墨', '130万', '单价14451元/平米')
('https://image1.ljcdn.com/370200-inspection/25ada970-a996-46ae-a9c9-d013936d1162.jpg.296x216.jpg', '学府林居 大套三户型 南北通透 采光好 精装修中间楼层', '学府林居  | 3室2厅 | 99.02平米 | 南 北 | 其他', '中楼层(共11层)2013年建暂无数据  -  即墨', '165万', '单价16664元/平米')
('https://image1.ljcdn.com/370200-inspection/01faf74c-d89d-4fe7-87ab-013bfd79c0cd.JPG.296x216.jpg', '套二，户型方正，交通方便，全明户型', '东城家园  | 2室2厅 | 81.56平米 | 南 北 | 其他', '高楼层(共5层)2010年建暂无数据  -  即墨', '108万', '单价13242元/平米')
('https://image1.ljcdn.com/370200-inspection/de3c1947-8fb3-4b60-a6d3-dd8582be880a.jpg.296x216.jpg', '精装小套二 双南卧 公摊小 单价低 楼层好 采光好', '永合泰丰苑  | 2室1厅 | 69.31平米 | 南 | 精装', '中楼层(共6层)暂无数据  -  即墨', '90万', '单价12986元/平米')
('https://image1.ljcdn.com/370200-inspection/fae0b402-46ea-4a10-9bdc-ee46ddf5fc29.JPG.296x216.jpg', '南北通透，挑空厅，顶加阁，视野开阔，采光充足', '银座动感时代  | 3室1厅 | 94.74平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  即墨', '150万', '单价15833元/平米')
('https://image1.ljcdn.com/370200-inspection/95787e93-c830-4710-8d56-ab9962cd4582.JPG.296x216.jpg', '中惠景园，楼层好，适合刚需，产权清晰，无纠纷', '中惠景园  | 2室1厅 | 72.45平米 | 南 | 简装', '中楼层(共7层)2009年建暂无数据  -  即墨', '113万', '单价15597元/平米')
('https://image1.ljcdn.com/370200-inspection/fa5a1e56-8c4f-4033-b970-51e8b6cc7c1c.jpg.296x216.jpg', '西元庄三期 双南卧 好楼层 总价低 免双税', '永合硕辉苑  | 2室1厅 | 75.58平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  即墨', '100万', '单价13232元/平米')
('https://image1.ljcdn.com/370200-inspection/5ceb94d0-26ea-4596-ab3a-07bf35cb276d.JPG.296x216.jpg', '南向，楼层好，视野宽阔，采光充足。', '银座动感时代  | 1室1厅 | 57.52平米 | 南 | 其他', '中楼层(共18层)2011年建板楼  -  即墨', '80万', '单价13909元/平米')
('https://image1.ljcdn.com/370200-inspection/0477e33f-6e1f-4513-be6f-36fba9a3b6d2.jpg.296x216.jpg', '精装大套三，采光好，位置佳，业主诚心卖房。', '宝龙中央尊邸  | 3室2厅 | 125.25平米 | 南 | 其他', '高楼层(共33层)2012年建暂无数据  -  即墨', '180万', '单价14372元/平米')
('https://image1.ljcdn.com/370200-inspection/test-548a0b5e-b617-40b4-a719-1f063c0b66b3.png.296x216.jpg', '少有德国技术工业化住宅，9级抗震，南北通透', '万科东郡  | 3室2厅 | 109.01平米 | 南 北 | 精装', '低楼层(共11层)2016年建板楼  -  即墨', '175万', '单价16054元/平米')
('https://image1.ljcdn.com/370200-inspection/cf7a6511-55c8-4c8f-8a45-a19433f3d6a0.JPG.296x216.jpg', '婚装套三，采光无遮挡，户型方正', '宝龙中央尊邸  | 3室2厅 | 125.5平米 | 南 | 其他', '高楼层(共32层)2012年建暂无数据  -  即墨', '168万', '单价13387元/平米')
('https://image1.ljcdn.com/370200-inspection/5090efc6-86fc-45eb-8f7e-fb1178a1e04b.jpg.296x216.jpg', '新上房源，环秀苑，地铁七号线，大套三，户型方正', '环秀苑  | 3室2厅 | 117.22平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  即墨', '157万', '单价13394元/平米')
('https://image1.ljcdn.com/370200-inspection/83371474-3315-4d21-9356-590a591e6bc3.JPG.296x216.jpg', '2003年 成熟社区 南北通透 毛坯 采光好', '正信城市花园  | 2室2厅 | 88.27平米 | 南 北 | 毛坯', '中楼层(共5层)暂无数据  -  即墨', '135万', '单价15294元/平米')
('https://image1.ljcdn.com/370200-inspection/a9bba32b-9d45-46fd-9a0b-712e307177e5.JPG.296x216.jpg', '新府花园.精装套三.两厅.采光好.南北通透.随时看房', '新府花园  | 3室2厅 | 110.2平米 | 南 北 | 其他', '中楼层(共5层)1995年建暂无数据  -  即墨', '140万', '单价12705元/平米')
('https://image1.ljcdn.com/370200-inspection/70edc709-7607-4b7a-ac2e-988fc8a2c657.jpg.296x216.jpg', '银座动感时代 精装套三 带车位 全明户型 采光好', '银座动感时代  | 3室1厅 | 94.58平米 | 南 北 | 其他', '高楼层(共18层)2011年建板楼  -  即墨', '145万', '单价15331元/平米')
('https://image1.ljcdn.com/370200-inspection/cf894728-94d1-4525-8adc-8dad3d4de1f6.jpg.296x216.jpg', '免双税，带储藏室，看房方便，诚心出售', '永合泰丰苑  | 2室2厅 | 90.26平米 | 南 | 其他', '高楼层(共6层)2009年建板楼  -  即墨', '106万', '单价11744元/平米')
('https://image1.ljcdn.com/370200-inspection/14b5bae4-5c38-49d9-bb00-ed87d5ce330c.jpg.296x216.jpg', '新和平四区 复式户型 南北通透 采光好 视野开阔', '和平二期东小区  | 2室1厅 | 73.23平米 | 南 北 | 其他', '高楼层(共5层)暂无数据  -  即墨', '105万', '单价14339元/平米')
('https://image1.ljcdn.com/370200-inspection/7e280759-04fd-4c7a-a81e-787049e95e04.jpg.296x216.jpg', '环秀苑，4楼，墨河公园，市医院', '环秀苑  | 2室1厅 | 76平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  即墨', '110万', '单价14474元/平米')
('https://image1.ljcdn.com/370200-inspection/9c3e24d1-5cc7-482c-9e25-c6a05e8e3cf2.jpg.296x216.jpg', '永合硕辉苑，正规套二居室，精装修。', '永合硕辉苑  | 2室2厅 | 91.97平米 | 南 | 其他', '中楼层(共6层)2006年建暂无数据  -  即墨', '128万', '单价13918元/平米')
('https://image1.ljcdn.com/370200-inspection/692c867f-5990-4ddd-980c-c87cd1e6d2f0.jpg.296x216.jpg', '低首付 位置佳 房子装修保持好 很干净！钻石楼层。', '永合硕钧苑  | 2室2厅 | 88.58平米 | 南 北 | 其他', '中楼层(共7层)2007年建暂无数据  -  即墨', '115万', '单价12983元/平米')
('https://image1.ljcdn.com/370200-inspection/8cdcbc1c-4e7e-405d-bbb9-766c3c34d2f9.jpg.296x216.jpg', '新昌家园 精装顶加阁 全明户型 大套三 通透 视野开阔', '新昌家园  | 3室2厅 | 121.41平米 | 南 北 | 其他', '高楼层(共5层)2003年建暂无数据  -  即墨', '148万', '单价12191元/平米')
('https://image1.ljcdn.com/370200-inspection/test-3a602bb1-8f58-4d1e-ad2c-0923c3945238.png.296x216.jpg', '安居贰小区  小套三户型 南北通透 采光好  中间楼层', '安居二小区  | 3室1厅 | 88.08平米 | 南 北 | 其他', '中楼层(共6层)2000年建暂无数据  -  即墨', '123万', '单价13965元/平米')
('https://image1.ljcdn.com/370200-inspection/test-13e33aa7-563c-4959-93aa-c649ebec496b.png.296x216.jpg', '宝龙坊子街，南北通透，高层瞰景，全天采光', '坊子街东区  | 3室2厅 | 110.62平米 | 南 北 | 精装', '中楼层(共28层)2011年建暂无数据  -  即墨', '175万', '单价15820元/平米')
('https://image1.ljcdn.com/370200-inspection/6fee235a-0d7e-4875-a25a-c71a185cf43a.jpg.296x216.jpg', '新上房源，大套三，南北通透，采光极好，电梯房', '万科东郡  | 3室2厅 | 130平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  即墨', '208万', '单价16000元/平米')
('https://image1.ljcdn.com/370200-inspection/8f5c13be-0766-4795-aade-4dc8879a8a07.jpg.296x216.jpg', '永合硕辉苑 精装婚房套二 送家具家电 低楼层南北通透', '永合硕辉苑  | 2室2厅 | 97.99平米 | 南 北 | 其他', '低楼层(共6层)2015年建板楼  -  即墨', '118万', '单价12043元/平米')
('https://image1.ljcdn.com/370200-inspection/fae9002e-90f9-4e28-8c69-2c827db7299e.jpg.296x216.jpg', '名都苑 精装套四 南北通透 采光充足 视野开阔', '名都苑  | 4室2厅 | 150.98平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  即墨', '205万', '单价13578元/平米')
('https://image1.ljcdn.com/370200-inspection/aa0ecdc3-2a65-46d8-b88a-9ae1a48f9d7b.JPG.296x216.jpg', '大华正信花园精装修，满五唯一，南北通透，看房方便', '大华正信花园  | 2室1厅 | 95.05平米 | 南 | 精装', '高楼层(共5层)2002年建暂无数据  -  即墨', '116万', '单价12205元/平米')
('https://image1.ljcdn.com/370200-inspection/test-c5cf0f76-c046-4f74-b2e7-57e1a9832ac2.png.296x216.jpg', '硕辉苑精装修套二，业主换房诚心出售', '硕辉苑  | 2室1厅 | 91.79平米 | 南 | 其他', '中楼层(共6层)2010年建板楼  -  即墨', '147万', '单价16015元/平米')
('https://image1.ljcdn.com/370200-inspection/test-5cc2eb07-a197-4599-992e-a6bc7582966c.png.296x216.jpg', '新上房源，闻馨苑，电梯房，大套三，南北通透，采光好', '闻馨苑  | 3室2厅 | 152.9平米 | 南 | 其他', '中楼层(共10层)2011年建暂无数据  -  即墨', '240万', '单价15697元/平米')
('https://image1.ljcdn.com/370200-inspection/test-90474a97-2163-47b8-be1e-a7f4be1b224f.png.296x216.jpg', '振华苑经典大套二，户型好，采光充足', '振华苑  | 2室1厅 | 92.05平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  即墨', '134万', '单价14558元/平米')
('https://image1.ljcdn.com/370200-inspection/0fb931f5-04cc-445d-bea3-303bebeee062.jpg.296x216.jpg', '曼谷阳光 顶复室 超大露台 精装修全实木 元宝户型', '曼谷阳光  | 3室2厅 | 130.94平米 | 南 北 | 精装', '高楼层(共9层)2011年建板楼  -  即墨', '218万', '单价16649元/平米')
('https://image1.ljcdn.com/370200-inspection/test-77498c96-100c-4a3c-b1e0-00f0e829094d.png.296x216.jpg', '此房南北通透格局，楼间距大，采光充足，公摊小。', '永興住宅區  | 2室1厅 | 73平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  即墨', '86万', '单价11781元/平米')
('https://image1.ljcdn.com/370200-inspection/9aea5922-4567-4949-973e-a4bdf7fffdf3.JPG.296x216.jpg', '新上房源，园丁村，大套二，满五，顶加阁采光好。', '园丁村  | 2室1厅 | 80.83平米 | 南 | 其他', '高楼层(共7层)暂无数据  -  即墨', '102万', '单价12620元/平米')
('https://image1.ljcdn.com/370200-inspection/test-56059c50-fdec-4d7d-a43a-242ed8ec88aa.png.296x216.jpg', '和平二期东小区，精装套二，楼层好居住方便，送地下室', '和平二期东小区  | 2室1厅 | 91.85平米 | 南 北 | 其他', '中楼层(共6层)2003年建暂无数据  -  即墨', '124万', '单价13501元/平米')
('https://image1.ljcdn.com/370200-inspection/test-8a5dedf3-1e2c-4c88-be25-f627a1eca46e.png.296x216.jpg', '即墨万科四季花城最诋单价房，看了就能定', '四季花城  | 2室1厅 | 82.63平米 | 南 | 其他', '低楼层(共18层)2012年建暂无数据  -  即墨', '130万', '单价15733元/平米')
('', '万科四季花城 钻石楼层 南北通透格局 全明户型', '四季花城  | 2室2厅 | 93.85平米 | 南 北 | 精装', '中楼层(共10层)2008年建暂无数据  -  即墨', '180万', '单价19180元/平米')
('https://image1.ljcdn.com/370200-inspection/19b04f0b-acd0-41f0-be39-0c7a802e4037.JPG.296x216.jpg', '满五年唯一房，省税，业主诚心卖', '安居小区  | 2室1厅 | 90.34平米 | 南 北 | 简装', '高楼层(共7层)1999年建暂无数据  -  即墨', '110万', '单价12177元/平米')
('https://image1.ljcdn.com/370200-inspection/7557b89e-e08c-4574-b55e-1e8123d68729.jpg.296x216.jpg', '此房五加阁面积大，距离德馨1500米距离二十八中300米', '硕辉苑  | 3室2厅 | 144.88平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2008年建板楼  -  即墨', '238万', '单价16428元/平米')
('https://image1.ljcdn.com/370200-inspection/test-4550e692-4e5e-4369-8d9b-c7b81f3aa3e7.png.296x216.jpg', '马山新城 楼层好 采光充足 精装套二', '马山新城  | 2室1厅 | 79.11平米 | 南 北 | 其他', '中楼层(共5层)2011年建暂无数据  -  即墨', '130万', '单价16433元/平米')
('https://image1.ljcdn.com/370200-inspection/test-80b117ab-cf5a-40c0-a653-e5baa08fcba0.png.296x216.jpg', '万科品质 楼旺位置 房东诚心出售 随时看房 精品两居', '万科东郡  | 2室1厅 | 92.2平米 | 南 | 其他', '低楼层(共18层)2014年建板楼  -  即墨', '145万', '单价15727元/平米')
('https://image1.ljcdn.com/370200-inspection/test-f2936ece-53c8-4b82-9042-1940b121ad30.png.296x216.jpg', '坊子街西区.套三.楼层好.采光充足.南北通透.随时看房', '坊子街西区  | 3室2厅 | 110.62平米 | 南 北 | 其他', '低楼层(共22层)2011年建暂无数据  -  即墨', '170万', '单价15368元/平米')
('https://image1.ljcdn.com/370200-inspection/test-8719da29-dcbe-49a4-b86a-00670e73c7f0.png.296x216.jpg', '红盾小区东区 物业管理好  大套三双卫  精装房', '红盾小区东区  | 3室2厅 | 160.27平米 | 南 北 | 其他', '高楼层(共6层)2004年建暂无数据  -  即墨', '240万', '单价14975元/平米')
('https://image1.ljcdn.com/370200-inspection/test-0019697b-f3cb-437d-af20-285e839f4ca5.png.296x216.jpg', '新上京宝花园房子，房子单价便宜位置佳', '京宝花苑  | 3室2厅 | 135.33平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  即墨', '160万', '单价11823元/平米')
('', '芭东小镇3层独栋带院别墅精装未住温泉入户', '芭东小镇  | 4室4厅 | 295.01平米 | 南 北 | 精装', '低楼层(共2层)2009年建暂无数据  -  即墨', '780万', '单价26440元/平米')
('https://image1.ljcdn.com/370200-inspection/test-e71be79a-f84a-4f79-a253-0cf74b7cde69.png.296x216.jpg', '此房满二唯一，南北通透，采光极好，户型方正', '万科东郡  | 2室2厅 | 93.1平米 | 南 | 其他', '中楼层(共24层)2014年建板楼  -  即墨', '142万', '单价15253元/平米')
('https://image1.ljcdn.com/370200-inspection/bdbaf730-a188-4b13-b989-95494d6866ef.jpg.296x216.jpg', '豪第成龙顶楼加阁楼，利用率大，精装婚房，拎包入住。', '豪第成龙  | 3室2厅 | 100.16平米 | 南 北 | 其他', '高楼层(共6层)2012年建暂无数据  -  即墨', '156万', '单价15576元/平米')
('https://image1.ljcdn.com/370200-inspection/test-baee3130-8da9-47dd-8064-fee2dd08f82d.png.296x216.jpg', '业主自售 房东诚心出售精装套三户型 洋房品质随时看房', '华丽美地  | 3室1厅 | 94.24平米 | 南 北 | 其他', '低楼层(共6层)2009年建板楼  -  即墨', '135万', '单价14326元/平米')
