('https://image1.ljcdn.com/370600-inspection/ba3c41fc-3f6e-4575-892d-40563f8be3e2.jpg.296x216.jpg', '福莱山公园方正两居室婚房拎包入住有地上车位', '海信慧园西区  | 2室2厅 | 92平米 | 南 | 其他', '低楼层(共32层)2010年建板塔结合  -  高级中学', '135万', '单价14674元/平米')
('https://image1.ljcdn.com/370600-inspection/8780b29f-cb7d-46bc-91ac-fb63ac5cef5d.jpg.296x216.jpg', '临近福莱山公园的南向小两室 中高楼层采光好 压力不大', '东方国际  | 2室1厅 | 64.8平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  福莱山公园', '56万', '单价8642元/平米')
('https://image1.ljcdn.com/370600-inspection/2817a6df-8355-4455-a276-208603620971.jpg.296x216.jpg', '静海小区 自住顶加阁 新上房源 看房方便', '静海小区  | 3室2厅 | 154.06平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  黄河路', '145万', '单价9412元/平米')
('https://image1.ljcdn.com/370600-inspection/e070ba86-6cd7-4c32-9760-f0bde601d967.jpg.296x216.jpg', '海阔天高   毛坯房  送车位，房源优质', '海阔天高  | 3室1厅 | 101.41平米 | 东 | 毛坯', '中楼层(共23层)2006年建塔楼  -  德胜', '85万', '单价8382元/平米')
('https://image1.ljcdn.com/370600-inspection/13526d77-a772-49ee-83cd-026720b07f52.jpg.296x216.jpg', '万泰海公馆 3室2厅 145万', '万泰海公馆  | 3室2厅 | 136.01平米 | 南 北 | 其他', '高楼层(共32层)2008年建板楼  -  星颐广场', '145万', '单价10661元/平米')
('https://image1.ljcdn.com/370600-inspection/444bc27c-2f9e-4e4a-bb5b-13e5f35c4590.jpg.296x216.jpg', '楼层好，采光充足，附近交通便利', '金胜小区  | 2室1厅 | 56.05平米 | 南 北 | 其他', '高楼层(共5层)1995年建板楼  -  德胜', '60万', '单价10705元/平米')
('https://image1.ljcdn.com/370600-inspection/79b3d66c-8535-4662-acb9-bc4adfd5a2c6.jpg.296x216.jpg', '融科林语 一楼带院带地下室 南北通透 封闭小区', '融科林语  | 3室2厅 | 132平米 | 南 北 | 其他', '低楼层(共11层)2011年建塔楼  -  万达', '330万', '单价25000元/平米')
('https://image1.ljcdn.com/370600-inspection/35b9ff5c-7485-4410-bdce-5f5eb236103f.jpg.296x216.jpg', '南厅双南卧 功能间都带窗 户型方正 居家装修 采光好', '海信慧园西区  | 3室2厅 | 109.45平米 | 南 | 其他', '低楼层(共24层)2010年建板塔结合  -  高级中学', '140万', '单价12792元/平米')
('https://image1.ljcdn.com/370600-inspection/ee93abf1-e392-4ed2-959b-b07045fd0d77.jpg.296x216.jpg', '黄海小区 2室1厅 107万', '黄海小区  | 2室1厅 | 80.92平米 | 南 北 | 其他', '中楼层(共6层)2001年建板楼  -  星颐广场', '107万', '单价13223元/平米')
('https://image1.ljcdn.com/370600-inspection/56b6ded0-6f29-4438-bfde-f0862e6d52d8.jpg.296x216.jpg', '70.79平+85万+南北通头户型+类似毛坯房', '金胜小区  | 2室1厅 | 70.79平米 | 南 北 | 其他', '中楼层(共6层)1995年建板楼  -  德胜', '80万', '单价11302元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploaded782c6d-8eee-4703-a60b-432d400409e1.jpg.296x216.jpg', '品质小区 南厅双南卧户型  居住舒适  简装', '海信慧园西区  | 3室1厅 | 113.39平米 | 南 | 其他', '中楼层(共27层)2010年建板塔结合  -  高级中学', '150万', '单价13229元/平米')
('https://image1.ljcdn.com/370600-inspection/5cae64f0-b5b6-4a7e-936a-a6d5c3d16fe0.jpg.296x216.jpg', '星海小区 2室2厅 60万', '星海小区  | 2室2厅 | 51平米 | 南 北 | 其他', '高楼层(共7层)1998年建板楼  -  星颐广场', '60万', '单价11765元/平米')
('https://image1.ljcdn.com/370600-inspection/f6ba0354-ed76-4aec-ba7b-9218cd1991d1.jpg.296x216.jpg', '房子东南向，中间楼层，可以拎包入住', '永兴花园  | 3室2厅 | 157.39平米 | 东 南 | 其他', '中楼层(共13层)2004年建塔楼  -  德胜', '180万', '单价11437元/平米')
('https://image1.ljcdn.com/370600-inspection/4366a2d7-bb4e-443e-8ea9-49324a07ae93.jpg.296x216.jpg', '海信西区，新上三居室，带地上车位，满两年，有钥匙。', '海信慧园西区  | 3室1厅 | 107.75平米 | 南 北 | 其他', '高楼层(共27层)2010年建板塔结合  -  高级中学', '150万', '单价13922元/平米')
('https://image1.ljcdn.com/370600-inspection/f641a5b8-2511-436b-8fb0-961ceac9702b.JPG.296x216.jpg', '风景独好 视野宽阔 精装修大三居 业主诚售看房方便', '金域河畔  | 3室2厅 | 142.02平米 | 南 北 | 其他', '低楼层(共16层)2004年建板塔结合  -  德胜', '175万', '单价12323元/平米')
('https://image1.ljcdn.com/370600-inspection/33879059-ce12-4924-a4ec-c8234efd9623.jpg.296x216.jpg', '科信佳园 适合各个年龄段人群居住 小区旁有 星颐广场', '科信佳园  | 2室1厅 | 93.68平米 | 南 北 | 其他', '高楼层(共24层)2009年建板楼  -  星颐广场', '105万', '单价11209元/平米')
('https://image1.ljcdn.com/370600-inspection/dfd6359c-e230-4ed6-bd97-f55136b7c064.jpg.296x216.jpg', '黄海精装修没住，全明，可送香港品牌定制实木家具。', '亲海翠苑  | 3室2厅 | 124平米 | 南 北 | 其他', '高楼层(共19层)2007年建板楼  -  星颐广场', '155万', '单价12500元/平米')
('https://image1.ljcdn.com/370600-inspection/97118386-6b9f-4b9e-bc7f-c07a52e8a525.jpg.296x216.jpg', '金光小区 南厅双南卧  南北通透 采光充足 购物便利', '金光小区东区  | 3室2厅 | 85平米 | 南 北 | 其他', '高楼层(共6层)1990年建板楼  -  万达', '92万', '单价10824元/平米')
('https://image1.ljcdn.com/370600-inspection/7b5d2b0e-d2aa-4f9f-b0e0-7ec93d29058c.jpg.296x216.jpg', '静海苑南北通透两居室，俯瞰金沙滩公园', '天和静海苑  | 2室1厅 | 83.68平米 | 南 北 | 其他', '中楼层(共25层)2010年建板楼  -  黄河路', '120万', '单价14341元/平米')
('https://image1.ljcdn.com/370600-inspection/5e358d70-f240-48d3-a302-804a452bb46b.jpg.296x216.jpg', '黄河路北+怡海翠庭+顶楼加阁楼+精装修+近海！', '怡海翠庭  | 4室2厅 | 196.83平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  黄河路', '203万', '单价10314元/平米')
('https://image1.ljcdn.com/370600-inspection/f946f309-72ef-487f-b4c1-e3c669b1d213.jpg.296x216.jpg', '嵛景华城南北通透全明两居室 小高层公摊小 采光充足', '嵛景华城  | 2室2厅 | 91.14平米 | 南 北 | 其他', '中楼层(共12层)2008年建板楼  -  福莱山公园', '110万', '单价12070元/平米')
('https://image1.ljcdn.com/370600-inspection/5309d551-3bfe-4e7e-a776-f7f2a16ae106.jpg.296x216.jpg', '小区配套设施齐全 交通出行便利 人文气息浓厚', '凤台小区  | 3室2厅 | 92.99平米 | 南 北 | 其他', '高楼层(共6层)1997年建板楼  -  星颐广场', '98万', '单价10539元/平米')
('https://image1.ljcdn.com/370600-inspection/d9cf7193-e90e-4760-92b9-9f4f293de571.jpg.296x216.jpg', '银芝小区 2室2厅 84万', '银芝小区  | 2室2厅 | 76.87平米 | 西南 | 其他', '高楼层(共6层)1994年建板楼  -  德胜', '84万', '单价10928元/平米')
('https://image1.ljcdn.com/370600-inspection/8e5aab98-1d14-4809-8717-0a8ff0d853ec.jpg.296x216.jpg', '户型合理，南北通透，带有阁楼.', '静海小区  | 4室2厅 | 139.98平米 | 南 北 | 其他', '高楼层(共5层)2003年建板楼  -  黄河路', '165万', '单价11788元/平米')
('https://image1.ljcdn.com/370600-inspection/70c137ca-c241-4399-b00f-8ef1085ee328.JPG.296x216.jpg', '满两年，可看葡萄园，采光佳。楼层好。', '天马相城三期  | 2室2厅 | 98.4平米 | 东 南 | 其他', '中楼层(共26层)2009年建板塔结合  -  万科城', '110万', '单价11179元/平米')
('https://image1.ljcdn.com/370600-inspection/df307fa6-6a19-4157-a23f-7a991d6f41c7.jpg.296x216.jpg', '亲海翠苑 精装修   双南卧 南北通透', '亲海翠苑  | 3室1厅 | 134平米 | 南 北 | 其他', '低楼层(共19层)2007年建板楼  -  星颐广场', '168万', '单价12538元/平米')
('https://image1.ljcdn.com/370600-inspection/7a6ade92-0c0f-49ca-83d0-332cbbe1c080.jpg.296x216.jpg', '周围配套设施很齐全，北边有家家悦、振华商厦、银行', '金胜小区  | 3室1厅 | 86.33平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '100万', '单价11584元/平米')
('https://image1.ljcdn.com/370600-inspection/8c24509c-61ad-480a-8b65-439a10f275ff.jpg.296x216.jpg', '华电小区 双南卧南厅户型合理 满五唯一 看房方便', '华电小区  | 3室2厅 | 113.5平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '108万', '单价9516元/平米')
('https://image1.ljcdn.com/370600-inspection/b00c64be-8269-4364-8d0a-fcba237ef048.jpg.296x216.jpg', '单价低，楼层位置好，视野宽阔，简单装修', '香格里拉花园  | 2室1厅 | 79.28平米 | 南 | 其他', '高楼层(共28层)2010年建塔楼  -  万达', '96万', '单价12109元/平米')
('https://image1.ljcdn.com/370600-inspection/3b9e6791-7aa6-4c64-b6e6-9ad558cf8fc4.jpg.296x216.jpg', '简单装修+南北通透户型+70.76平+85万净拿', '金胜小区  | 2室2厅 | 70.76平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '85万', '单价12013元/平米')
('https://image1.ljcdn.com/370600-inspection/f3321b5a-55ec-43c4-bf08-868acb55f4ce.jpg.296x216.jpg', '金胜小区南北通透三居室中等装修看房方便', '金胜小区  | 3室2厅 | 90.98平米 | 南 北 | 其他', '高楼层(共5层)1995年建板楼  -  德胜', '110万', '单价12091元/平米')
('https://image1.ljcdn.com/370600-inspection/cf0525d0-cc85-4e72-b04a-476005749a16.jpg.296x216.jpg', '土地出让金已交，带小棚，简装，价格净得，满五唯一', '旭日小区  | 3室2厅 | 96.83平米 | 南 北 | 其他', '高楼层(共6层)1994年建板楼  -  德胜', '100万', '单价10328元/平米')
('https://image1.ljcdn.com/370600-inspection/db493735-037f-45af-aa76-a00f1a4ad3c7.jpg.296x216.jpg', '金光小区东区 南北通透 双南卧 采光充足 购物便利', '金光小区东区  | 2室2厅 | 62.2平米 | 南 北 | 其他', '中楼层(共6层)1990年建板楼  -  万达', '74万', '单价11898元/平米')
('https://image1.ljcdn.com/370600-inspection/7ca2624d-2d9c-4360-9ab1-9d03d722b65e.jpg.296x216.jpg', '银芝小区 三室精装修 楼层适中 好房子不等人', '银芝小区  | 3室1厅 | 82平米 | 南 北 | 其他', '中楼层(共6层)1994年建板楼  -  德胜', '98万', '单价11952元/平米')
('https://image1.ljcdn.com/370600-inspection/ef34f566-2470-4a63-b87d-b06c4261f006.jpg.296x216.jpg', '万科城 永旺旁 品质社区 产证满两年 楼层好 采光好', '万科城  | 2室2厅 | 78.53平米 | 南 | 其他', '高楼层(共34层)板楼  -  万科城', '110万', '单价14008元/平米')
('https://image1.ljcdn.com/370600-inspection/3be662a0-e849-4f4e-90c9-e5d3d0c4b02d.jpg.296x216.jpg', '多层五楼，毛坯房，南北通透。单价低', '丹阳小区  | 3室2厅 | 85.41平米 | 南 北 | 其他', '高楼层(共6层)1995年建板楼  -  德胜', '87万', '单价10187元/平米')
('https://image1.ljcdn.com/370600-inspection/c6b04cdb-8bc5-4ffb-9f40-d50ba2245a8f.jpg.296x216.jpg', '单价低，带小棚，三居室，南北通透，价格低', '静海小区  | 3室2厅 | 101.1平米 | 南 北 | 其他', '高楼层(共6层)1993年建板楼  -  黄河路', '90万', '单价8903元/平米')
('https://image1.ljcdn.com/370600-inspection/1487785e-49b4-4d6c-9c36-04fa4918de5f.jpg.296x216.jpg', '长江路北 金东世纪 南北通透 三室两卫毛坯', '金东世纪A  | 3室2厅 | 145平米 | 南 北 | 其他', '中楼层(共29层)2002年建板塔结合  -  德胜', '145万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/52ad619c-c638-4e0e-b984-57db322e2a09.jpg.296x216.jpg', '越秀星汇金沙 毛坯三居室 楼前无遮挡 看房方便', '越秀星汇金沙  | 3室2厅 | 94平米 | 南 北 | 其他', '低楼层(共33层)2016年建板楼  -  北京中路', '94万', '单价10000元/平米')
('https://image1.ljcdn.com/370600-inspection/167f9cea-606b-4f69-bcfd-863f1c522967.jpg.296x216.jpg', '周围配套设施完善，生活很方便，距离星颐广场100米', '金城小区  | 2室1厅 | 64.69平米 | 南 北 | 其他', '高楼层(共7层)2002年建板楼  -  星颐广场', '60万', '单价9276元/平米')
('https://image1.ljcdn.com/370600-inspection/231810e8-3919-459e-b2ea-3410043042e8.jpg.296x216.jpg', '满五唯一净拿价，精装修家具家电带，低楼层，带露台', '银海花苑  | 2室1厅 | 72.27平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  德胜', '100万', '单价13838元/平米')
('https://image1.ljcdn.com/370600-inspection/e35e61dd-84f5-478c-abb2-fa4bc568e60f.jpg.296x216.jpg', '金桥澎湖山庄大三居西打头俩天俩梯俩户', '金桥澎湖山庄  | 3室2厅 | 96平米 | 南 北 | 毛坯', '低楼层(共17层)暂无数据  -  福莱山公园', '125万', '单价13021元/平米')
('https://image1.ljcdn.com/370600-inspection/4e4e5060-2b8b-401e-bce7-9842471c19bd.jpg.296x216.jpg', '金东精装大三居，楼层好，视野开阔，装修好，拎包入住', '金东小区  | 3室1厅 | 84.8平米 | 南 北 | 其他', '高楼层(共6层)1996年建板楼  -  德胜', '103.8万', '单价12241元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload6bddf494-384d-468a-b4f8-fa51a5c7e63f.jpg.296x216.jpg', '海信慧园西区 小高层 全明两居室 南北通透 中等装修', '海信慧园西区  | 2室1厅 | 91.86平米 | 南 北 | 其他', '低楼层(共11层)2010年建板塔结合  -  高级中学', '115万', '单价12520元/平米')
('https://image1.ljcdn.com/370600-inspection/5d3be575-a5de-4fc0-8bc7-a75887361b50.jpg.296x216.jpg', '万泰海公馆 2室1厅 95万', '万泰海公馆  | 2室1厅 | 78.47平米 | 南 | 其他', '低楼层(共32层)2008年建板楼  -  星颐广场', '95万', '单价12107元/平米')
('https://image1.ljcdn.com/370600-inspection/e5a740af-5d8d-4ea3-8644-362b01754b61.jpg.296x216.jpg', '海天景苑 2室2厅 92万', '海天景苑  | 2室2厅 | 98.68平米 | 南 北 | 其他', '高楼层(共24层)2006年建塔楼  -  福莱山公园', '92万', '单价9324元/平米')
('https://image1.ljcdn.com/370600-inspection/e5532948-6037-4656-bd46-6326f3cf7ad2.jpg.296x216.jpg', '金鑫家园，两室两厅，南北通透，中下楼层，产权清晰', '金鑫家园  | 2室2厅 | 90.84平米 | 南 北 | 其他', '低楼层(共8层)2008年建板楼  -  万达', '105万', '单价11559元/平米')
('https://image1.ljcdn.com/370600-inspection/a1a6d9ee-7406-4a89-9a04-3336104e7ba5.jpg.296x216.jpg', '满五唯一，采光好，视野好，小区环境优美', '星海花园  | 6室4厅 | 127.94平米 | 南 北 | 简装', '高楼层(共5层)2004年建板楼  -  星颐广场', '250万', '单价19541元/平米')
('https://image1.ljcdn.com/370600-inspection/31e96945-8ce0-4d98-aa4e-19ea6ebb63eb.jpg.296x216.jpg', '毛坯房，小区环境不错，小区改善型为主', '海信依云小镇  | 3室2厅 | 166.99平米 | 南 北 | 其他', '高楼层(共6层)2016年建板楼  -  福莱山公园', '137万', '单价8205元/平米')
('https://image1.ljcdn.com/370600-inspection/5ce6d439-07f2-4b8b-89c3-1de36375ed1e.jpg.296x216.jpg', '澎湖湾南北通透西打头精装修三居室', '金桥澎湖湾  | 3室2厅 | 148.27平米 | 南 西 北 | 其他', '中楼层(共32层)2015年建塔楼  -  北京中路', '159.5万', '单价10758元/平米')
('https://image1.ljcdn.com/370600-inspection/ac70ab4f-6c95-4088-a742-5eb0a8803761.jpg.296x216.jpg', '金桥澎湖山庄 南北通透两室两厅可看海', '金桥澎湖山庄  | 2室2厅 | 89.8平米 | 南 北 | 其他', '高楼层(共24层)2015年建板楼  -  福莱山公园', '98万', '单价10914元/平米')
('https://image1.ljcdn.com/370600-inspection/2d84423e-c0ba-4246-9e93-ad165d490cf7.jpg.296x216.jpg', '双南卧，全明户型，满两年无大税，毛坯可任意装修', '天马相城三期  | 2室2厅 | 94.06平米 | 南 西南 | 其他', '低楼层(共22层)2009年建板塔结合  -  万科城', '115万', '单价12227元/平米')
('https://image1.ljcdn.com/370600-inspection/7c0a4603-3257-4710-ba0e-f09c07e57967.jpg.296x216.jpg', '精装顶加阁，上下面积一样，低点装修合理', '翠园芳邻  | 4室3厅 | 123平米 | 南 北 | 精装', '高楼层(共18层)2007年建塔楼  -  万达', '210万', '单价17074元/平米')
('https://image1.ljcdn.com/370600-inspection/aa715538-cd6d-49e1-bd9e-7c6d77fa3983.jpg.296x216.jpg', '精装修，家具家电全送，带小院，带地下室', '银和怡海花园  | 4室2厅 | 140.61平米 | 南 北 | 其他', '低楼层(共6层)2002年建板楼  -  德胜', '265万', '单价18847元/平米')
('https://image1.ljcdn.com/370600-inspection/41c1ce35-de61-4391-adcf-25a3e301d9a5.jpg.296x216.jpg', '好装修，满四年，配套齐全，交通便利，自采暖', '正大国际公寓  | 2室2厅 | 95平米 | 北 | 其他', '低楼层(共19层)2003年建板楼  -  星颐广场', '82万', '单价8632元/平米')
('https://image1.ljcdn.com/370600-inspection/fb46e94b-dccf-4516-a0a2-7d22ae99fdbe.jpg.296x216.jpg', '天马二期毛坯，任意装修，满二年无大税', '天马相城二期  | 4室2厅 | 205.34平米 | 南 北 | 其他', '低楼层(共26层)2009年建塔楼  -  万科城', '280万', '单价13636元/平米')
('https://image1.ljcdn.com/370600-inspection/f224f1d2-733f-4aa9-876f-3587e516c8d7.jpg.296x216.jpg', '顶加阁 精装拎包入住 阁楼可单独走门，出租自住两不误', '嵛景华城  | 4室2厅 | 111.58平米 | 南 | 其他', '高楼层(共12层)2008年建板楼  -  福莱山公园', '120万', '单价10755元/平米')
('https://image1.ljcdn.com/370600-inspection/8e24f311-b27d-46a9-8d16-68465605434b.jpg.296x216.jpg', '楼层优越，视野好，采光好，精装修，看房方便', '天和静海苑  | 2室2厅 | 93.34平米 | 南 北 | 其他', '高楼层(共26层)2010年建板楼  -  黄河路', '128万', '单价13714元/平米')
('https://image1.ljcdn.com/370600-inspection/b4704264-2095-408e-a7e5-9e502bc8369f.jpg.296x216.jpg', '实木精装顶加阁 阁楼低点少 居住舒适 位置安静', '碧海云天  | 4室3厅 | 202.4平米 | 南 北 | 其他', '高楼层(共5层)2006年建板楼  -  星颐广场', '258万', '单价12748元/平米')
('https://image1.ljcdn.com/370600-inspection/762a7bca-993c-4c17-8073-6d5096fd9e4e.jpg.296x216.jpg', '银和怡海国奥天地落地大窗交通便利', '银和怡海国奥天地  | 2室2厅 | 78平米 | 南 | 其他', '高楼层(共15层)2016年建板楼  -  黄河路', '150万', '单价19231元/平米')
('https://image1.ljcdn.com/370600-inspection/d2741e8f-6d2a-4704-9b8e-57386960482f.jpg.296x216.jpg', '海信天山郡 3室2厅 170万', '海信天山郡  | 3室2厅 | 118.37平米 | 南 北 | 其他', '低楼层(共25层)2016年建板楼  -  万达', '170万', '单价14362元/平米')
('https://image1.ljcdn.com/370600-inspection/b064ec2f-d6b1-4915-bf93-e081e40ac758.jpg.296x216.jpg', '嵛景华城小高层 南北通透 双南卧 北客厅 户型方正', '嵛景华城  | 3室2厅 | 105.43平米 | 南 北 | 其他', '中楼层(共11层)2008年建板楼  -  福莱山公园', '125万', '单价11857元/平米')
('https://image1.ljcdn.com/370600-inspection/test-d3bc6e80-42d4-402e-80ca-1f7883702012.png.296x216.jpg', '三和星海花园大四居南北通透格局地理位置好交通便利', '三和星海花园  | 4室1厅 | 168平米 | 南 北 | 其他', '中楼层(共11层)2006年建板楼  -  星颐广场', '223万', '单价13274元/平米')
('https://image1.ljcdn.com/370600-inspection/a8370f01-6bc4-438c-801f-11c6e90d8530.jpg.296x216.jpg', '多层结构，带阁楼，装修优质，南北通透，看房方便', '华电小区  | 3室2厅 | 71.93平米 | 南 北 | 简装', '高楼层(共6层)2001年建板楼  -  德胜', '95万', '单价13208元/平米')
('https://image1.ljcdn.com/370600-inspection/7544c197-a158-4994-b92b-da013aaf1487.jpg.296x216.jpg', '越秀星汇金沙 3室2厅 120万', '越秀星汇金沙  | 3室2厅 | 95.2平米 | 南 北 | 其他', '高楼层(共33层)2016年建板楼  -  北京中路', '120万', '单价12606元/平米')
('https://image1.ljcdn.com/370600-inspection/edfecb0d-f71f-4ae4-8705-9f9ab946b66a.jpg.296x216.jpg', '海阔天高 1室0厅 25万', '海阔天高  | 1室0厅 | 31平米 | 西 | 精装', '30层2008年建塔楼  -  德胜', '25万', '单价8065元/平米')
('https://image1.ljcdn.com/370600-inspection/2ddcaf9a-102a-49d0-87c5-929762200fc9.jpg.296x216.jpg', '北方月光兰庭 毛坯 东打头三居室 中间楼层 采光好', '北方月光兰庭  | 3室2厅 | 106.76平米 | 南 北 | 其他', '中楼层(共18层)2010年建板楼  -  高级中学', '150万', '单价14051元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadffe92235-1936-465f-a047-b24dd1d5b4d5.jpg.296x216.jpg', '融科林语+中上楼层+精装修+送家具家电+封闭小区', '融科林语  | 2室2厅 | 86.36平米 | 南 | 其他', '高楼层(共28层)2011年建塔楼  -  万达', '130万', '单价15054元/平米')
('https://image1.ljcdn.com/370600-inspection/df449a57-754a-44ff-b841-105d53ba7394.jpg.296x216.jpg', '福鑫家园 2室1厅 86万', '福鑫家园  | 2室1厅 | 77.15平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  万达', '86万', '单价11148元/平米')
('https://image1.ljcdn.com/370600-inspection/ab889205-29e2-4ede-82d4-f1718eb088fe.jpg.296x216.jpg', '中建悦海和园  品质生活  舒心享受', '中建悦海和园  | 2室1厅 | 82.83平米 | 南 | 其他', '低楼层(共32层)2013年建板楼  -  北京中路', '90万', '单价10866元/平米')
('https://image1.ljcdn.com/370600-inspection/b2b2b804-5be1-4933-9caa-d7c42471b68e.jpg.296x216.jpg', '国奥天地 户型方正 全明户型 三居室 看房方便！', '银和怡海国奥天地  | 3室2厅 | 120.84平米 | 东 西 | 精装', '低楼层(共18层)2016年建板楼  -  黄河路', '145万', '单价12000元/平米')
