('https://image1.ljcdn.com/441900-inspection/95f594ca-ff2a-4e05-9a33-24ecf86fce2b.jpg.296x216.jpg', '穗莞深城际轻轨口小区  中高楼层  采光通风良好', '万豪苑  | 2室2厅 | 90.28平米 | 东 | 其他', '18层2009年建塔楼  -  长安新区', '160万', '单价17723元/平米')
('https://image1.ljcdn.com/441900-inspection/dd92f3da-23a8-4a28-bc21-ee22016dc81f.jpg.296x216.jpg', '拧包入住标准3房，保养新，满五唯一免双税。', '锦江花园  | 3室2厅 | 98平米 | 东南 | 简装', '中楼层(共7层)2005年建板楼  -  长安新区', '190万', '单价19388元/平米')
('https://image1.ljcdn.com/441900-inspection/bcd57f02-918f-4df4-8dea-c6756bf8901d.jpg.296x216.jpg', '阳光国际标准一房，新装修，满两年免增值税', '阳光国际商城  | 1室1厅 | 51平米 | 东北 | 其他', '中楼层(共30层)2006年建塔楼  -  宵边', '130万', '单价25491元/平米')
('https://image1.ljcdn.com/441900-inspection/2f7407a6-7ae2-43de-95ad-d031838f77ee.jpg.296x216.jpg', '临深长安莲花苑满五唯一大两房，业主诚心出售，免双税', '莲花苑  | 2室2厅 | 91平米 | 南 | 其他', '中楼层(共7层)2003年建塔楼  -  中心', '175万', '单价19231元/平米')
('https://image1.ljcdn.com/441900-inspection/8d57a329-32a4-4c92-95c1-1aaf171c5335.jpg.296x216.jpg', '万达公馆，大三方，带家私家电车位出售', '万达中央公馆  | 3室2厅 | 131.22平米 | 南 | 其他', '高楼层(共25层)2014年建塔楼  -  宵边', '420万', '单价32008元/平米')
('', '滨海湾新区长安花园高楼层朝南两房', '长安花园  | 2室2厅 | 78平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  长安新区', '200万', '单价25642元/平米')
('https://image1.ljcdn.com/441900-inspection/72c89c9d-ca22-47a1-a4e7-a0f0c7115239.jpg.296x216.jpg', '自带家私家电，户型方正，通风好，满二唯一。', '万科金色悦府  | 3室2厅 | 95.46平米 | 南 | 精装', '中楼层(共32层)2015年建塔楼  -  宵边', '310万', '单价32475元/平米')
('https://image1.ljcdn.com/441900-inspection/249665f2-5738-4a45-879a-feaff234cad6.jpg.296x216.jpg', '君源铂尔曼，满五唯一免双税，正在出售中。。。。。。', '君源铂尔曼公馆  | 1室1厅 | 46.7平米 | 西 | 其他', '低楼层(共25层)2013年建塔楼  -  长安新区', '108万', '单价23127元/平米')
('https://image1.ljcdn.com/441900-inspection/f41083ff-ef79-4e91-a8a4-9beaf81952d3.jpg.296x216.jpg', '业主诚心出售，此房满五唯一，可随时看房', '陶然豪园  | 5室2厅 | 240.29平米 | 南 | 其他', '低楼层(共30层)2005年建塔楼  -  宵边', '600万', '单价24970元/平米')
('', '万达广场，高楼层。通风采光好，精装修', '万达中央公馆  | 2室2厅 | 80平米 | 南 | 其他', '高楼层(共29层)2014年建塔楼  -  宵边', '238万', '单价29750元/平米')
('https://image1.ljcdn.com/441900-inspection/22cf3c8e-09f1-4e30-9a9e-aab71cd0be80.jpg.296x216.jpg', '万豪苑精装一房，业主诚意出售。', '万豪苑  | 1室1厅 | 45.16平米 | 东 | 其他', '18层2009年建塔楼  -  长安新区', '90万', '单价19930元/平米')
('https://image1.ljcdn.com/441900-inspection/bfb55e9c-0231-49e1-888a-cee547a4b36f.jpg.296x216.jpg', '大型社区，环境优美。呼吸新鲜空气清晰，高楼层景观好', '四季豪园  | 3室2厅 | 135平米 | 南 | 精装', '高楼层(共30层)2010年建塔楼  -  增田', '488万', '单价36149元/平米')
('https://image1.ljcdn.com/441900-inspection/a4cb0e56-3c6a-4f59-9e44-f7c4194e034a.jpg.296x216.jpg', '万达中央公馆 4室2厅 410万', '万达中央公馆  | 4室2厅 | 138.03平米 | 南 北 | 精装', '高楼层(共31层)2014年建塔楼  -  宵边', '410万', '单价29704元/平米')
('', '轻轨口物业铂尔曼单间，业主诚意出售', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 北 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '100万', '单价21820元/平米')
('https://image1.ljcdn.com/441900-inspection/6f13023a-ad50-4eff-88a7-9d1876660bc1.jpg.296x216.jpg', '长安新区轻轨口物业铂尔曼复式四房，业主诚意出售。', '君源铂尔曼公馆  | 4室1厅 | 43.5平米 | 南 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '135万', '单价31035元/平米')
('https://image1.ljcdn.com/441900-inspection/4aeca91e-a790-444f-9d2a-7ffbb34c51aa.jpg.296x216.jpg', '长安花园 带家私家电 满五不唯一', '长安花园  | 2室2厅 | 76.04平米 | 北 | 精装', '中楼层(共11层)2010年建塔楼  -  长安新区', '185万', '单价24330元/平米')
('https://image1.ljcdn.com/441900-inspection/e6695072-5bac-4065-93e0-ad7f5d7c04a9.jpg.296x216.jpg', '长安花园望花园舒适两房   业主诚心出售看房方便！', '长安花园  | 2室1厅 | 78平米 | 北 | 精装', '低楼层(共18层)2010年建塔楼  -  长安新区', '215万', '单价27565元/平米')
('https://image1.ljcdn.com/441900-inspection/12e7d104-7143-482c-9da9-a0f1bf8bc87d.jpg.296x216.jpg', '中惠新城 4室2厅 400万', '中惠新城  | 4室2厅 | 155平米 | 南 | 其他', '中楼层(共22层)2005年建塔楼  -  宵边', '400万', '单价25807元/平米')
('https://image1.ljcdn.com/441900-inspection/af46290d-e17e-4fdb-9ab3-bc2cfd4e738c.jpg.296x216.jpg', '长安区  万科生活商圈   精装修两房', '长青城  | 2室2厅 | 89.5平米 | 东南 | 其他', '高楼层(共19层)1996年建塔楼  -  咸西', '145万', '单价16202元/平米')
('https://image1.ljcdn.com/441900-inspection/63faa107-8f19-4b82-9156-1719394c064b.jpg.296x216.jpg', '长安正中区 高楼层 装修上档次 业主诚心卖', '沃多夫酒店公寓  | 1室0厅 | 44.39平米 | 北 | 其他', '中楼层(共31层)2009年建塔楼  -  咸西', '100万', '单价22528元/平米')
('https://image1.ljcdn.com/441900-inspection/f69f1eaa-5faf-4090-a735-42df3f1ae345.jpg.296x216.jpg', '满五唯一免双税，位于长安繁华位置，小区安静。', '长安城市花园  | 1室1厅 | 46.16平米 | 南 | 简装', '中楼层(共16层)2003年建塔楼  -  增田', '82万', '单价17765元/平米')
('https://image1.ljcdn.com/441900-inspection/1efe5375-a2a1-43e7-be71-a968bebdf6c3.jpg.296x216.jpg', '健逸天地 固定停车位 业主诚心出售', '健逸天地  | 车位 | 13平米 | 南', '2005年建板楼  -  增田', '17万', '单价13077元/平米')
('https://image1.ljcdn.com/441900-inspection/b69e87e1-2692-486d-ab10-54fb677d25cd.jpg.296x216.jpg', '装修好，高楼层，视野好，业主性格好好沟通，南北通透', '长安万科中心  | 3室2厅 | 106.91平米 | 南 | 其他', '中楼层(共22层)2013年建塔楼  -  中心', '334.8万', '单价31317元/平米')
('https://image1.ljcdn.com/441900-inspection/1d27ca58-393b-40d7-8147-1c3afd526dde.jpg.296x216.jpg', '滨海湾新区 长安花园 温馨两房带租约诚心出售', '长安花园  | 2室2厅 | 76.1平米 | 北 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '180万', '单价23654元/平米')
('https://image1.ljcdn.com/441900-inspection/07c7a82d-7cda-46b0-becb-3d94ddec4182.jpg.296x216.jpg', '户型方正，中高楼层，客厅出阳台，主卧带阳台', '粮贸住宅  | 3室2厅 | 159.3平米 | 南 | 精装', '中楼层(共12层)2009年建塔楼  -  中心', '270万', '单价16950元/平米')
('https://image1.ljcdn.com/441900-inspection/7b2a5886-5229-4f58-9203-7a58b672ae0e.jpg.296x216.jpg', '滨海新区 中式风格 自带超大平台花园 业主急售可议价', '长安花园  | 3室2厅 | 93.97平米 | 南 | 其他', '低楼层(共13层)2010年建塔楼  -  长安新区', '340万', '单价36182元/平米')
('https://image1.ljcdn.com/441900-inspection/89348ee8-a51c-4e95-8b6f-342c36290d11.jpg.296x216.jpg', '君源铂尔曼  户型方正  采光好', '君源铂尔曼公馆  | 1室0厅 | 42.69平米 | 北 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '98万', '单价22957元/平米')
('https://image1.ljcdn.com/441900-inspection/0a6b29a5-298d-43c1-8b82-d03bc7f799b8.jpg.296x216.jpg', '南北通透，品质小区，配套成熟。', '信义怡翠豪园  | 3室2厅 | 124.9平米 | 南 | 其他', '低楼层(共19层)2008年建塔楼  -  咸西', '350万', '单价28023元/平米')
('https://image1.ljcdn.com/441900-inspection/9a38bff3-5d19-4203-8090-761989dd2381.jpg.296x216.jpg', '长安健逸天地满五唯一，业主诚意出售。', '健逸天地  | 4室2厅 | 131.22平米 | 南 | 其他', '中楼层(共18层)2005年建塔楼  -  增田', '265万', '单价20196元/平米')
('https://image1.ljcdn.com/441900-inspection/809ca3ba-deb6-4d5a-adba-062bcab26522.jpg.296x216.jpg', '户型方正，中高楼层，客厅出阳台，主卧带阳台', '粮贸住宅  | 3室2厅 | 163.2平米 | 南 | 精装', '中楼层(共12层)2009年建塔楼  -  中心', '250万', '单价15319元/平米')
('https://image1.ljcdn.com/441900-inspection/580c17a8-182c-45ef-8c64-765022dadde8.jpg.296x216.jpg', '此房满两年免增值税，户型方正，中间楼层视野好', '健逸天地  | 2室1厅 | 95平米 | 南 | 其他', '低楼层(共18层)2005年建塔楼  -  增田', '210万', '单价22106元/平米')
('', '铂尔曼一居室 高楼层朝南 视野开阔', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 南 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '95万', '单价20729元/平米')
('', '长安花园 三房满五唯一带车位家私家电出售', '长安花园  | 3室2厅 | 93平米 | 北 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '300万', '单价32259元/平米')
('https://image1.ljcdn.com/441900-inspection/e0eb1abc-0d7a-4dd9-8c89-cccb8341aae0.jpg.296x216.jpg', '3房1厅。房子保养很好。业主诚心出售，小区环境好', '中正SOHO  | 3室2厅 | 63.77平米 | 南 北 | 其他', '中楼层(共17层)2016年建塔楼  -  宵边', '170万', '单价26659元/平米')
('https://image1.ljcdn.com/441900-inspection/ab476a22-bafe-4074-90fe-4d81c3f6c046.jpg.296x216.jpg', '万达广场旁 精装两房 温馨舒适 采光通风良好', '中惠新城  | 2室2厅 | 85.48平米 | 西南 | 简装', '低楼层(共33层)2005年建塔楼  -  宵边', '210万', '单价24568元/平米')
('https://image1.ljcdn.com/441900-inspection/9a1f0c83-9680-483b-9c59-8f4cbca10987.jpg.296x216.jpg', '莲花广场精装5房   满五唯一  业主自住保养好', '莲花广场  | 5室2厅 | 189.5平米 | 南 | 精装', '高楼层(共22层)暂无数据  -  咸西', '450万', '单价23747元/平米')
('https://image1.ljcdn.com/441900-inspection/8672d9fb-e186-4ed2-a41a-10f406f73c92.jpg.296x216.jpg', '户型方正，配套成熟，中等楼层，光线充足，朝南采光好', '君源铂尔曼公馆  | 1室0厅 | 45.83平米 | 北 | 其他', '高楼层(共25层)2013年建塔楼  -  长安新区', '78.8万', '单价17194元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7369eb8a-84b6-4c11-85f7-3b8a98863263.jpg.296x216.jpg', '中正SOHO  精装复式公寓， 舒适安静，给您个温馨的家', '中正SOHO  | 1室1厅 | 38.55平米 | 南 | 精装', '低楼层(共17层)2016年建塔楼  -  宵边', '110万', '单价28535元/平米')
('https://image1.ljcdn.com/441900-inspection/10feb4b0-2ccb-4284-9dbe-355e2df093b5.jpg.296x216.jpg', '滨海新区实用三房南北通，满二年增值税，带家私电器卖', '金沙花园  | 3室2厅 | 102.7平米 | 北 | 其他', '高楼层(共17层)2009年建塔楼  -  长安新区', '260万', '单价25317元/平米')
('https://image1.ljcdn.com/441900-inspection/f5af4bfe-f660-48ba-962d-69ca09f15b58.jpg.296x216.jpg', '滨海新区，长安花园，户型方正，采光好。', '长安花园  | 2室2厅 | 77平米 | 北 | 精装', '低楼层(共18层)2010年建塔楼  -  长安新区', '200万', '单价25975元/平米')
('https://image1.ljcdn.com/441900-inspection/92e482e5-120b-46cd-b56f-33ceff7c70a0.jpg.296x216.jpg', '四季豪园3房精装修，业主城心卖，满五年', '四季豪园  | 3室2厅 | 136.6平米 | 南 | 其他', '中楼层(共30层)2010年建塔楼  -  增田', '468万', '单价34261元/平米')
('https://image1.ljcdn.com/441900-inspection/43a00e6c-eba4-4ef6-b49c-cea217789b69.jpg.296x216.jpg', '滨海湾新区 君源铂尔曼 精装一房', '君源铂尔曼公馆  | 1室1厅 | 51.2平米 | 东 | 精装', '高楼层(共25层)2013年建塔楼  -  长安新区', '105万', '单价20508元/平米')
('https://image1.ljcdn.com/441900-inspection/da57e50e-d3d9-40eb-9ca9-fe8aeb9d3b1e.jpg.296x216.jpg', '满二唯一免增值税，户型方正，业主好沟通', '万达中央公馆  | 2室2厅 | 79.53平米 | 南 | 其他', '高楼层(共24层)2014年建塔楼  -  宵边', '210万', '单价26406元/平米')
('https://image1.ljcdn.com/441900-inspection/71ee8d9b-becf-41e6-98f6-062a09e8fc99.jpg.296x216.jpg', '满五唯一免双税，精装修保养好，朝小区花园位置好安静', '金沙花园  | 3室2厅 | 117.94平米 | 南 | 精装', '中楼层(共17层)2009年建塔楼  -  长安新区', '310万', '单价26285元/平米')
('https://image1.ljcdn.com/441900-inspection/891818eb-f452-4ff4-9a4f-5cf11bc812d6.jpg.296x216.jpg', '长安莲花苑四期电梯房，看沃尔玛，高楼层，位置安静', '莲花苑  | 3室2厅 | 127平米 | 北 | 其他', '高楼层(共12层)2003年建塔楼  -  中心', '255万', '单价20079元/平米')
('', '户型方正，南北通透，通风采光，带空中花园', '中惠山畔名城  | 3室2厅 | 137平米 | 南 北 | 精装', '高楼层(共28层)2003年建塔楼  -  中心', '430万', '单价31387元/平米')
('https://image1.ljcdn.com/441900-inspection/1b0191d9-bdcd-44f1-8e07-f031a2910b76.jpg.296x216.jpg', '锦江花园，带30平独立花园，大三房，户型方正。', '锦江花园  | 3室2厅 | 133.34平米 | 北 | 其他', '低楼层(共16层)2005年建板楼  -  长安新区', '228万', '单价17100元/平米')
('https://image1.ljcdn.com/441900-inspection/7141659b-49cb-4e0c-8c4a-a62b48da1b60.jpg.296x216.jpg', '滨海湾新区长安花园满五唯一三房免双税高楼层视野开阔', '长安花园  | 3室2厅 | 96.17平米 | 北 | 其他', '中楼层(共18层)2010年建塔楼  -  长安新区', '260万', '单价27036元/平米')
('https://image1.ljcdn.com/441900-inspection/39c06baa-3528-4c78-81dd-3c36ace198fb.jpg.296x216.jpg', '长安在售满五唯一 大户型5房 业主诚心出售', '中惠新城  | 5室1厅 | 150平米 | 南 北 | 其他', '低楼层(共33层)2005年建塔楼  -  宵边', '310万', '单价20667元/平米')
('', '万达广场旁，中高楼层 采光好 精装一房 温馨舒适', '阳光国际商城  | 1室1厅 | 50.55平米 | 南 | 精装', '中楼层(共30层)2006年建塔楼  -  宵边', '130万', '单价25718元/平米')
('https://image1.ljcdn.com/441900-inspection/893d05ff-9c4a-46a0-be85-591e0b07c624.jpg.296x216.jpg', '标准4房户型方正 视野良好 家私电器齐全 拎包入住', '中惠新城  | 3室2厅 | 143平米 | 东南 | 其他', '低楼层(共33层)2005年建塔楼  -  宵边', '300万', '单价20980元/平米')
('https://image1.ljcdn.com/441900-inspection/3e50be05-87c4-4f10-b25a-8ab9d4dcdc36.jpg.296x216.jpg', '二楼复式 带个大平台，满五唯一，业主诚心出售', '莲花苑  | 5室2厅 | 194.36平米 | 南 | 其他', '中楼层(共5层)2003年建板楼  -  中心', '420万', '单价21610元/平米')
('https://image1.ljcdn.com/441900-inspection/311a93a0-1fa6-4643-a93b-68018aaa3595.jpg.296x216.jpg', '轻轨物业户型方正，自带小型阳台业主诚心出售', '君源铂尔曼公馆  | 1室0厅 | 50平米 | 西 | 其他', '中楼层(共25层)2013年建塔楼  -  长安新区', '110万', '单价22000元/平米')
('https://image1.ljcdn.com/441900-inspection/8fba5bfd-6489-4908-befb-66c9bae75a3f.jpg.296x216.jpg', '沃多夫业主诚心出售 看房提前联系我', '沃多夫酒店公寓  | 1室0厅 | 43.22平米 | 东北 | 其他', '中楼层(共32层)2009年建塔楼  -  咸西', '90万', '单价20824元/平米')
('https://image1.ljcdn.com/441900-inspection/dfac6025-660a-4b21-8093-d7c5f0defd42.jpg.296x216.jpg', '业主诚心出售    有意请联系', '中正SOHO  | 3室2厅 | 63平米 | 东 | 精装', '高楼层(共17层)2016年建塔楼  -  宵边', '190万', '单价30159元/平米')
('https://image1.ljcdn.com/441900-inspection/1a59c164-c63e-4093-a6a9-b65b8429e7ce.jpg.296x216.jpg', '万达广场 南北通透的3房 户型方正实用 带车位看房随时', '万达中央公馆  | 3室2厅 | 110平米 | 南 北 | 精装', '中楼层(共29层)2014年建塔楼  -  宵边', '340万', '单价30910元/平米')
('', '中惠新城加州园林  鸟语花香 绿树成荫 居住佳', '中惠新城  | 5室2厅 | 129.71平米 | 南 | 其他', '中楼层(共33层)2005年建塔楼  -  宵边', '300万', '单价23129元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8b36c1a0-ccca-4fac-bf6d-8397e850fae2.jpg.296x216.jpg', '实用一房一厅小户型带精装修带家电出售', '万豪苑  | 1室1厅 | 45.6平米 | 北 | 精装', '18层2009年建塔楼  -  长安新区', '80万', '单价17544元/平米')
