('https://image1.ljcdn.com/shfdfs-image/20180107/1e1bdc08-9a22-4c91-bc2c-8e4147df6d97.jpg.296x216.jpg', '海尚馨苑 2室2厅 240万', '海尚馨苑  | 2室2厅 | 98平米 | 暂无数据 | 其他', '中楼层(共8层)2008年建板楼  -  山阳', '240万', '单价24490元/平米')
('', '精装修两房 房东诚心出售 满五年不唯一', '康发新苑  | 2室2厅 | 91.68平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  枫泾', '160万', '单价17453元/平米')
('', '石化六村 2室1厅 85万', '石化六村  | 2室1厅 | 48.93平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1980年建板楼  -  石化', '85万', '单价17372元/平米')
('', '海浒新村  环境优美，适合居住', '海浒新村  | 2室1厅 | 63.9平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1994年建板楼  -  山阳', '125万', '单价19562元/平米')
('', '98房龄+正常贷款+大天井+公园绿化+金山卫站+碧海金沙', '海棠新村  | 2室1厅 | 54.6平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共6层)1990年建板楼  -  石化', '88万', '单价16118元/平米')
('', '鸿越华庭 3室2厅 290万', '鸿越华庭  | 3室2厅 | 113.98平米 | 南 北 | 其他', '中楼层(共7层)2004年建板楼  -  朱泾', '290万', '单价25444元/平米')
('', '采光优秀 温馨之家 好房好心情 幸福之家', '绿地金卫新家园  | 1室2厅 | 78平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  张堰', '165万', '单价21154元/平米')
('', '万春苑 2室2厅 140万', '万春苑  | 2室2厅 | 112.76平米 | 南 | 其他', '中楼层(共8层)2007年建板楼  -  金山', '140万', '单价12416元/平米')
('', '业主卖房回老家+诚意出售看房随时', '弘泽阳光苑  | 3室2厅 | 136平米 | 南 | 简装', '低楼层(共12层)2005年建板楼  -  朱泾', '350万', '单价25736元/平米')
('', '精装三房+两南一北厅南北通+视野无遮挡+静待有缘人', '棕榈湾花园  | 3室2厅 | 149.99平米 | 南 | 其他', '中楼层(共11层)2005年建板楼  -  石化', '425万', '单价28336元/平米')
('', '满五唯一省个税，随时可看，急售', '金山名都  | 3室2厅 | 141.85平米 | 南 | 毛坯', '低楼层(共11层)板楼  -  朱泾', '400万', '单价28199元/平米')
('', '金悦华庭 2室2厅 218万', '金悦华庭  | 2室2厅 | 89平米 | 南 | 其他', '低楼层(共11层)2011年建板楼  -  张堰', '218万', '单价24495元/平米')
('', '采光优秀 温馨之家 好房好心情 幸福之家', '城西花苑  | 3室2厅 | 159.54平米 | 南 | 毛坯', '低楼层(共13层)2006年建板楼  -  金山', '210万', '单价13163元/平米')
('', '华纺和成未来派 2室2厅 120万', '华纺和成未来派  | 2室2厅 | 76.44平米 | 南 北 | 其他', '高楼层(共17层)板楼  -  亭林', '120万', '单价15699元/平米')
('', '中冶枫郡苑 枫泾古镇边上 房龄新 楼层好', '中冶枫郡苑  | 2室2厅 | 88.35平米 | 南 | 毛坯 | 无电梯', '中楼层(共5层)2013年建板楼  -  枫泾', '170万', '单价19242元/平米')
('', '老城区生活配套齐全出行方便，金山卫站半小时到上海南', '石化十一村  | 2室1厅 | 51.14平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1983年建板楼  -  石化', '95万', '单价18577元/平米')
('', '业主急售，钥匙在邻居家里，随时方便看房，满五唯一', '万安街433弄  | 2室1厅 | 62.2平米 | 南 | 简装 | 无电梯', '低楼层(共3层)1983年建板楼  -  朱泾', '120万', '单价19293元/平米')
('', '此房是新小区，环境好，小区绿化高，位于枫泾古镇新区', '中冶枫郡苑  | 4室2厅 | 157.35平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2013年建板楼  -  枫泾', '268万', '单价17033元/平米')
('', '石化三村 2室1厅 80万', '石化三村  | 2室1厅 | 54.17平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1976年建板楼  -  石化', '80万', '单价14769元/平米')
('', '好房急售，好房急售，好房急售，满五唯一，精装修。。', '御景龙庭  | 2室1厅 | 91.29平米 | 南 | 精装', '低楼层(共18层)板楼  -  金山', '190万', '单价20813元/平米')
('', '石化十五村 2室1厅 72万', '石化十五村  | 2室1厅 | 54.01平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1988年建板楼  -  石化', '72万', '单价13331元/平米')
('', '东风新村 1室1厅 60万', '东风新村  | 1室1厅 | 36.69平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1980年建板楼  -  张堰', '60万', '单价16354元/平米')
('', '采光优秀 温馨之家 好房好心情 幸福之家', '城西花苑  | 3室2厅 | 132平米 | 暂无数据 | 其他', '低楼层(共13层)2006年建板楼  -  金山', '178万', '单价13485元/平米')
('', '绿地金卫新家园 2室2厅 190万', '绿地金卫新家园  | 2室2厅 | 92.53平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2007年建板楼  -  张堰', '190万', '单价20534元/平米')
('', '隆亭家园 低单价 低总价 房东置换 诚意出售 价格好谈', '隆亭家园  | 3室2厅 | 132.56平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2006年建板楼  -  亭林', '175万', '单价13202元/平米')
('', '山鑫公寓 2室2厅 169万', '山鑫公寓  | 2室2厅 | 81.32平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1997年建板楼  -  石化', '169万', '单价20783元/平米')
('', '海景房+楼层好+可以体验到“面朝大海、春暖花开”', '临潮大楼  | 2室1厅 | 74平米 | 暂无数据 | 简装', '高楼层(共25层)1992年建塔楼  -  山阳', '135万', '单价18244元/平米')
('', '枫阳新村 3室2厅 260万', '枫阳新村  | 3室2厅 | 135.06平米 | 南 | 其他', '高楼层(共15层)2005年建板楼  -  枫泾', '260万', '单价19251元/平米')
('', '枫阳新村 2室1厅 125万', '枫阳新村  | 2室1厅 | 55平米 | 暂无数据 | 简装 | 无电梯', '中楼层(共5层)1997年建板楼  -  枫泾', '125万', '单价22728元/平米')
('', '好楼层，2房朝南，1房朝北，客厅朝南，带储藏室20平', '市中路72弄  | 3室2厅 | 115.81平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1998年建板楼  -  亭林', '156万', '单价13471元/平米')
('', '电梯海景房中间层+总价低+4A景区金山城市沙滩旁', '临潮大楼  | 2室1厅 | 74平米 | 南 北 | 毛坯', '中楼层(共25层)1992年建塔楼  -  山阳', '136万', '单价18379元/平米')
('', '绿地漕泾新苑 3室2厅 148万', '绿地漕泾新苑  | 3室2厅 | 126平米 | 南 | 其他', '中楼层(共13层)2005年建板楼  -  漕泾', '148万', '单价11747元/平米')
('', '绿地金卫新家园 3室2厅 177万', '绿地金卫新家园  | 3室2厅 | 93.56平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  张堰', '177万', '单价18919元/平米')
('', '金山吕巷绿地路易宫别墅+业主一手买进从未入住过', '绿地路易宫(别墅)  | 4室3厅 | 263.39平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共1层)2014年建板楼  -  吕巷', '688万', '单价26121元/平米')
('', '总价低，可落户投/资，精装小户型，周/边配套成熟', '锦华大楼  | 2室1厅 | 78平米 | 暂无数据 | 简装', '中楼层(共18层)1990年建塔楼  -  金山', '130万', '单价16667元/平米')
('', '御龙首 府 联排别墅 看房随时 我们有钥匙 性 价比高', '御龙名邸  | 4室2厅 | 202平米 | 南 | 毛坯 | 无电梯', '低楼层(共1层)2012年建板楼  -  山阳', '550万', '单价27228元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170704/47bdf7bf-5c62-4e0c-9a5f-7e077a3cf38c.jpg.296x216.jpg', '采光优秀 温馨之家 好房好心情 幸福之家', '御景龙庭  | 2室2厅 | 91.52平米 | 南 | 精装', '低楼层(共25层)2011年建板楼  -  金山', '220万', '单价24039元/平米')
('https://image1.ljcdn.com/310000-inspection/7e08434b-9e20-497b-88a2-c354ee99c7e9.jpg.296x216.jpg', '绿地金卫新家园 2室1厅 130万', '绿地金卫新家园  | 2室1厅 | 65.89平米 | 南 | 其他 | 有电梯', '中楼层(共14层)2010年建板楼  -  张堰', '130万', '单价19730元/平米')
('https://image1.ljcdn.com/310000-inspection/2ac7c8c8-1c51-4242-93ec-9d181d89637c.jpg.296x216.jpg', '景区房 近枫泾古镇 配套齐全 精装大三房 业主诚心售', '新春苑  | 3室2厅 | 120.09平米 | 南 | 精装 | 无电梯', '中楼层(共4层)2006年建板楼  -  枫泾', '185万', '单价15406元/平米')
('https://image1.ljcdn.com/310000-inspection/729014c9-78dc-4f38-8780-946e01263e25.jpg.296x216.jpg', '石化六村 1室1厅 60.5万', '石化六村  | 1室1厅 | 38.74平米 | 南 | 其他 | 无电梯', '低楼层(共5层)1979年建板楼  -  石化', '60.5万', '单价15617元/平米')
('https://image1.ljcdn.com/310000-inspection/7a0f0297-16bd-4236-9779-d2445ca9e190.jpg.296x216.jpg', '产权住宅，自住精装双天井，适合老人居住和挂户口', '石化九村  | 2室1厅 | 46.91平米 | 东 南 北 | 其他 | 无电梯', '低楼层(共5层)1980年建板楼  -  石化', '90万', '单价19186元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170702/02260d96-ccc8-4723-adf3-0871401fd0f7.jpg.296x216.jpg', '金山100多万的房子 老小区  配套成熟 价格优惠', '石化二村  | 2室1厅 | 64.78平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1975年建板楼  -  石化', '128万', '单价19760元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170414/eef938a1-a0f5-4ca9-b94d-c6a7cdaf4a05.jpg.296x216.jpg', '总价低，正气精装修双南两房，出行便利。', '富民新村(金山)  | 2室1厅 | 56.01平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1993年建板楼  -  张堰', '120万', '单价21425元/平米')
('https://image1.ljcdn.com/310000-inspection/fe4e61e7-9ff2-4c15-bb0e-66f1126a9571.jpg.296x216.jpg', '老城区生活配套齐全出行方便，金山卫站半小时到上海南', '石化十一村  | 2室1厅 | 51.8平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1983年建板楼  -  石化', '75万', '单价14479元/平米')
('', '石化六村 2室1厅 72万', '石化六村  | 2室1厅 | 46.78平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1980年建板楼  -  石化', '72万', '单价15392元/平米')
('', '一手动迁房，满足上市交易条件，看房随时，价格实惠，', '恒康佳苑  | 1室1厅 | 69.64平米 | 南 | 其他', '高楼层(共12层)2013年建板楼  -  亭林', '120万', '单价17232元/平米')
('', '景展家园 3室2厅 152万', '景展家园  | 3室2厅 | 99.18平米 | 南 | 其他 | 无电梯', '高楼层(共5层)2007年建板楼  -  廊下', '152万', '单价15326元/平米')
('https://image1.ljcdn.com/310000-inspection/8806f23c-028b-4d81-9f15-ef605b53f5ad.jpg.296x216.jpg', '石化九村 1室1厅 66万', '石化九村  | 1室1厅 | 37.01平米 | 南 | 其他 | 无电梯', '低楼层(共5层)1980年建板楼  -  石化', '66万', '单价17834元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180106/e3d93625-29c2-4e1a-8252-9f5d91ace338.jpg.296x216.jpg', '小区临河而建，采光视野好！精装从未住过！诚意出售！', '万春苑  | 3室2厅 | 135.97平米 | 南 | 精装', '低楼层(共11层)2007年建板楼  -  金山', '190万', '单价13974元/平米')
('https://image1.ljcdn.com/310000-inspection/63c16fdf-99cd-47a2-8290-49b29990fd7d.jpg.296x216.jpg', '海浒新村 2室1厅 120万', '海浒新村  | 2室1厅 | 63.9平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1993年建板楼  -  山阳', '120万', '单价18780元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170922/a5ea2348-ba22-459b-bbc0-36be3ac92384.jpg.296x216.jpg', '万春苑 3室2厅 180万', '万春苑  | 3室2厅 | 135.34平米 | 南 | 毛坯', '中楼层(共11层)2007年建板楼  -  金山', '180万', '单价13300元/平米')
('https://image1.ljcdn.com/310000-inspection/cc967af0-2d68-41ea-aa26-e223e8093187.jpg.296x216.jpg', '君逸公馆 3室2厅 360万', '君逸公馆  | 3室2厅 | 136.79平米 | 南 | 精装', '中楼层(共18层)2014年建板楼  -  山阳', '360万', '单价26318元/平米')
('', '绿地金山名邸（别墅） 4室3厅 400万', '绿地金山名邸（别墅）  | 4室3厅 | 192.05平米 | 南 | 毛坯 | 无电梯', '低楼层(共3层)2011年建板楼  -  张堰', '400万', '单价20828元/平米')
('', '留溪佳园 3室2厅 208万', '留溪佳园  | 3室2厅 | 127.33平米 | 南 | 精装', '低楼层(共12层)2006年建板楼  -  张堰', '208万', '单价16336元/平米')
('', '金山次新电梯毛坯房，满五不唯一，配套齐全，诚心出售', '绿地漕泾新苑  | 3室1厅 | 126.39平米 | 南 | 毛坯', '低楼层(共13层)2005年建板楼  -  漕泾', '152万', '单价12027元/平米')
('https://image1.ljcdn.com/310000-inspection/4053d84e-41bc-4b6a-a8e8-8f27a18ee9eb.jpg.296x216.jpg', '纯公积金首付14万起，商贷首付23万起。产权住宅', '石化十二村  | 2室1厅 | 47.35平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1982年建板楼  -  石化', '66万', '单价13939元/平米')
('', '联排别墅，中间位置，精装修，拎包入住，诚意卖，急售', '绿地金山名邸（别墅）  | 4室2厅 | 197平米 | 南 | 毛坯 | 无电梯', '低楼层(共3层)2011年建板楼  -  张堰', '420万', '单价21320元/平米')
('', '阳光美郡精装两房，业主置换诚售，带阁楼', '阳光美郡  | 2室2厅 | 88.82平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2011年建板楼  -  吕巷', '145万', '单价16326元/平米')
('', '一楼送院子，送花园，送二十多平米储藏室', '隆亭家园  | 3室2厅 | 128.92平米 | 南 | 精装 | 无电梯', '低楼层(共5层)2007年建板楼  -  亭林', '245万', '单价19005元/平米')
('https://image1.ljcdn.com/310000-inspection/923a44f9-b10d-4379-9ae5-af32d3011fd1.jpg.296x216.jpg', 'MID位置楼层  婚房装修 通透格局 视野开阔 交通便利', '滨海二村  | 1室1厅 | 31.06平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1986年建板楼  -  金山', '60万', '单价19318元/平米')
('', '健康路311号 3室2厅 278万', '健康路311号  | 3室2厅 | 128.92平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  朱泾', '278万', '单价21564元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171219/a6570ef7-cf9d-42d5-b8c0-5430e57ddc48.jpg.296x216.jpg', '建元景苑 2室2厅 115万', '建元景苑  | 2室2厅 | 87.72平米 | 南 | 其他 | 无电梯', '高楼层(共5层)2011年建板楼  -  金山', '115万', '单价13110元/平米')
('https://image1.ljcdn.com/310000-inspection/af1bd678-3ba4-416a-bab8-08c4ac4b2f7b.jpg.296x216.jpg', '70年产权住宅，清爽装修一室，中间楼层采光好不潮湿', '滨海一村  | 1室1厅 | 31.06平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1986年建板楼  -  金山', '55万', '单价17708元/平米')
('', '万安世家华园 4室2厅 620万', '万安世家华园   | 联排别墅 | 4室2厅 | 221.93平米 | 南 | 精装 | 无电梯', '1层2012年建板楼  -  朱泾', '620万', '单价27937元/平米')
('https://image1.ljcdn.com/310000-inspection/cb3f322b-5856-4d9c-b311-82b9cae57756.jpg.296x216.jpg', '二手买进，2016年全新装修，品牌家具家电，自住急售', '新春苑  | 3室2厅 | 130平米 | 南 北 | 精装', '高楼层(共8层)2008年建板楼  -  枫泾', '185万', '单价14231元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161117/c581e9e2-c442-4655-8e0d-af582920dfe2.jpg.296x216.jpg', '中冶枫郡苑 2室2厅 180万', '中冶枫郡苑  | 2室2厅 | 89.38平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2013年建板楼  -  枫泾', '180万', '单价20139元/平米')
