('https://image1.ljcdn.com/340100-inspection/dc1c6217-f3b8-4225-8a9d-f628a7042745.jpg.296x216.jpg', '纯毛坯三房，南北通透，送产权车位，', '蓝鼎星河府  | 3室2厅 | 122.76平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  周谷堆', '197万', '单价16048元/平米')
('https://image1.ljcdn.com/340100-inspection/be6d2b0e-aaef-4718-9728-3a0b4b6c0255.jpg.296x216.jpg', '为你而选为你为家 万振四期 精装两居室 全南户型', '万振逍遥苑四期  | 2室1厅 | 85.27平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '128万', '单价15012元/平米')
('https://image1.ljcdn.com/340100-inspection/16897ffa-9c58-4e65-8c41-77618532df8c.jpg.296x216.jpg', '阳光上南怡园《南北通三房 楼层好 采光充足》诚售', '阳光上南怡园  | 3室2厅 | 122.66平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  周谷堆', '138万', '单价11251元/平米')
('https://image1.ljcdn.com/340100-inspection/7155de69-28f5-4260-8ffb-e00777cce1b4.jpg.296x216.jpg', '为你而选为你为家，万振四期好房子', '万振逍遥苑四期  | 2室2厅 | 87.57平米 | 南 | 其他', '中楼层(共34层)2008年建板楼  -  周谷堆', '127万', '单价14503元/平米')
('https://image1.ljcdn.com/340100-inspection/d8f44c3e-5025-4dd7-b03a-e326058368ff.jpg.296x216.jpg', '万达旁 包公园 南北两居 赠送50平院子', '美菱集团公司  | 2室1厅 | 59.65平米 | 南 北 | 其他', '低楼层(共6层)1990年建板楼  -  包公', '105万', '单价17603元/平米')
('https://image1.ljcdn.com/340100-inspection/62e03a32-f718-4444-8927-abc269674e83.jpg.296x216.jpg', '品质一居室 中等装修 厅卧分离 十平大阳台 采光充足', '和昌都汇华府  | 1室1厅 | 43.16平米 | 东南 | 其他', '高楼层(共32层)2012年建板楼  -  周谷堆', '83万', '单价19231元/平米')
('https://image1.ljcdn.com/340100-inspection/2848d046-2a69-4970-a0e2-59b9a32b1f72.jpg.296x216.jpg', '万达商圈 交通便利 环境优美 户型方正', '万达中心名宅  | 2室2厅 | 89.62平米 | 南 | 其他', '中楼层(共25层)2010年建塔楼  -  包公', '173万', '单价19304元/平米')
('https://image1.ljcdn.com/340100-inspection/2aa8b7a6-eddd-4a63-9866-816ffafc3ca9.jpg.296x216.jpg', '天下锦城康桥郡 方正三房 中间楼层 东边户', '天下锦城康桥郡  | 3室2厅 | 114平米 | 南 北 | 其他', '11层2016年建板楼  -  常青', '217万', '单价19036元/平米')
('https://image1.ljcdn.com/340100-inspection/18d87d9d-351c-49b0-b1a5-c38db19c21f4.jpg.296x216.jpg', '万振逍遥苑四期 3室2厅 160万', '万振逍遥苑四期  | 3室2厅 | 102.47平米 | 南 北 | 其他', '中楼层(共33层)2008年建板楼  -  周谷堆', '160万', '单价15615元/平米')
('https://image1.ljcdn.com/340100-inspection/e2e3d63a-63a0-4408-8de0-747066e4efd9.jpg.296x216.jpg', '海顿公馆《飞机户型 南北三房 全明户型 地铁口》满五', '绿地海顿公馆A  | 3室1厅 | 115.51平米 | 南 | 其他', '中楼层(共18层)2010年建板楼  -  周谷堆', '220万', '单价19046元/平米')
('https://image1.ljcdn.com/340100-inspection/2d5447f5-079c-4237-8814-0a4f7fb03c9b.jpg.296x216.jpg', '满五唯一 南北通透三居室 无噪音 采光无遮挡 居家舒适', '元一柏庄  | 3室2厅 | 128.19平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '215万', '单价16772元/平米')
('https://image1.ljcdn.com/340100-inspection/977944ca-7ceb-4c79-8d85-45cdc94a5917.jpg.296x216.jpg', '柏林春天 精装三房  地铁口 交通便利', '柏林春天  | 3室2厅 | 120.38平米 | 南 北 | 其他', '低楼层(共18层)2007年建塔楼  -  包公', '180万', '单价14953元/平米')
('https://image1.ljcdn.com/340100-inspection/f7475e14-6baa-45c6-80b3-2b96f683a861.jpg.296x216.jpg', '精装大三房 边户 南北通透户型 中间楼层采光不挡', '铂金汉宫  | 3室2厅 | 131.02平米 | 南 | 其他', '中楼层(共28层)2009年建板楼  -  包公', '230万', '单价17555元/平米')
('https://image1.ljcdn.com/340100-inspection/f3fa4c52-1fda-43a5-8ae4-7eabae86a965.jpg.296x216.jpg', '和地蓝湾 挑高户型 全新精装修 刚装修好', '和地蓝湾  | 3室2厅 | 93.42平米 | 南 | 其他', '高楼层(共18层)2010年建板楼  -  周谷堆', '205万', '单价21944元/平米')
('https://image1.ljcdn.com/340100-inspection/test-031725bb-8e31-4bb1-8bc7-aa04346a9ebb.png.296x216.jpg', '金地国际城 精装一室 采光刺眼，已租养贷', '金地国际城  | 1室0厅 | 37平米 | 东南 | 其他', '中楼层(共27层)2007年建塔楼  -  周谷堆', '43万', '单价11622元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload88bdc4df-868d-4f86-9ad2-2fe9f62fec0a.jpg.296x216.jpg', '蓝鼎星河府 次新小区 人车分流 户型好', '蓝鼎星河府  | 3室2厅 | 131.73平米 | 南 北 | 其他', '低楼层(共45层)2013年建塔楼  -  周谷堆', '215万', '单价16322元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada8e08d49-2175-4c1e-8912-a33f6e3ab9f8.jpg.296x216.jpg', '为你而选为你为家  两居 总价低 诚心出售', '桐城绿苑  | 2室1厅 | 67.2平米 | 西南 | 其他', '低楼层(共25层)2011年建板塔结合  -  常青', '97万', '单价14435元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4d56ef4f-25c9-4e95-9292-9047595a73c9.jpg.296x216.jpg', '海顿公馆 刚需两居室两房朝南带阳台 中高楼层采光足', '绿地海顿公馆C  | 2室1厅 | 75.83平米 | 南 | 其他', '低楼层(共33层)2009年建板楼  -  周谷堆', '148万', '单价19518元/平米')
('https://image1.ljcdn.com/340100-inspection/61de248c-c702-4e0e-b06c-cdde62dc033a.jpg.296x216.jpg', '风和园  品质三居 单价低 采光好 看房方便 押证好房', '风和园  | 3室2厅 | 100.75平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  包公', '158万', '单价15683元/平米')
('https://image1.ljcdn.com/340100-inspection/ff694b7c-8669-43d7-8037-9babf23e038f.jpg.296x216.jpg', '红阳苑 南北通透户型  中间位置电梯房 功能间全明', '世纪阳光花园红阳苑  | 2室2厅 | 87.58平米 | 南 北 | 其他', '中楼层(共18层)2008年建板楼  -  包公', '166万', '单价18955元/平米')
('https://image1.ljcdn.com/340100-inspection/cd03196a-8596-4c80-a920-0e60c4fd9934.jpg.296x216.jpg', '全品牌家具家电   拎包入住   满两年', '蓝鼎星河府  | 3室2厅 | 118.38平米 | 南 | 其他', '中楼层(共31层)2013年建塔楼  -  周谷堆', '190万', '单价16051元/平米')
('https://image1.ljcdn.com/340100-inspection/d2b35801-a8e5-4db3-b8b7-36537f2ea8f0.jpg.296x216.jpg', '地矿家园 毛坯大三房 满五年 可以自己装修的好房子', '地矿家园  | 3室2厅 | 113.74平米 | 南 | 其他', '高楼层(共34层)2012年建板楼  -  周谷堆', '172万', '单价15123元/平米')
('https://image1.ljcdn.com/340100-inspection/047c9888-a24c-4695-8c97-5bcdc278be9f.jpg.296x216.jpg', '万达精装四居房子满五年   有车位 急售', '万达中心名宅  | 4室1厅 | 140.4平米 | 南 北 | 其他', '高楼层(共33层)2010年建塔楼  -  包公', '260万', '单价18519元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0f299eb9-bdfc-4293-98bc-3db721e09f42.jpg.296x216.jpg', '珠光花园 顶楼复式 价格实惠 闹中取静 单价九千多', '珠光花园  | 5室2厅 | 155.36平米 | 南 | 其他', '高楼层(共6层)2005年建板楼  -  周谷堆', '165万', '单价10621元/平米')
('https://image1.ljcdn.com/340100-inspection/130b61fc-a6b1-4ce4-8acd-3c19ff9a84c6.jpg.296x216.jpg', '海顿公馆D区 简单装修复式两房 满两年', '绿地海顿公馆D  | 2室2厅 | 82.56平米 | 南 | 其他', '中楼层(共18层)2011年建板楼  -  周谷堆', '123万', '单价14899元/平米')
('https://image1.ljcdn.com/340100-inspection/ab2dadb1-cfde-4538-b21f-a62aa187ebd6.jpg.296x216.jpg', '铂金汉宫 精装复式 看房方便 满两年，业主诚心出售', '铂金汉宫  | 2室1厅 | 51.06平米 | 北 | 其他', '高楼层(共24层)2009年建塔楼  -  包公', '105万', '单价20565元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload68a26a81-4048-4eec-85e2-f5dd027b2191.jpg.296x216.jpg', '房龄新，南北通透带阳台，人车分流，纯毛坯', '蓝鼎星河府  | 3室2厅 | 122.76平米 | 南 北 | 其他', '高楼层(共31层)2013年建塔楼  -  周谷堆', '218万', '单价17759元/平米')
('https://image1.ljcdn.com/340100-inspection/1b781ef2-4006-4513-a769-cc3f784f5e00.jpg.296x216.jpg', '江南新里程 三居室 纯毛坯 装修风格由你定', '江南新里程  | 3室1厅 | 75.88平米 | 东 | 其他', '低楼层(共33层)2009年建板楼  -  芜湖路', '145万', '单价19110元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload40b181dd-6dc5-4715-a7bb-b2c495f54d4d.jpg.296x216.jpg', '丽阳兰庭精选好房，南头通透，精装修，三面采光！！', '丽阳兰庭  | 2室2厅 | 73.2平米 | 南 北 | 其他', '高楼层(共26层)2007年建塔楼  -  周谷堆', '115万', '单价15711元/平米')
('https://image1.ljcdn.com/340100-inspection/244781e7-169a-4775-a280-b6f8cb79e6e1.jpg.296x216.jpg', '万振逍遥苑四期 2室2厅 152万', '万振逍遥苑四期  | 2室2厅 | 97.16平米 | 南 | 其他', '高楼层(共31层)2008年建板楼  -  周谷堆', '152万', '单价15645元/平米')
('https://image1.ljcdn.com/340100-inspection/a710c2cb-3977-40d7-b1f9-39007cd152eb.jpg.296x216.jpg', '海顿公馆 精装复式三房 拎包入住 没税 中间层 采光好', '绿地海顿公馆D  | 3室1厅 | 89.83平米 | 南 | 其他', '低楼层(共33层)2011年建板楼  -  周谷堆', '140万', '单价15585元/平米')
('https://image1.ljcdn.com/340100-inspection/b4d3864f-c72d-4141-891f-fa797b33d645.jpg.296x216.jpg', '品质和昌 刚需两房 双阳台  交通便利 配套完善', '和昌都汇华府  | 2室1厅 | 58.26平米 | 西 | 其他', '高楼层(共32层)2012年建板楼  -  周谷堆', '105万', '单价18023元/平米')
('https://image1.ljcdn.com/340100-inspection/f1b4b0d2-6366-4f3f-9f63-417311e7072f.jpg.296x216.jpg', '鑫苑望江花园 2室2厅 满2年税费低', '鑫苑望江花园  | 2室2厅 | 95.5平米 | 南 北 | 其他', '低楼层(共27层)2007年建塔楼  -  常青', '155万', '单价16231元/平米')
('https://image1.ljcdn.com/340100-inspection/45874eef-ad3a-48c8-a3b0-550c905400be.jpg.296x216.jpg', '绿地海顿公馆D 3室2厅 165万', '绿地海顿公馆D  | 3室2厅 | 89.48平米 | 南 北 | 其他', '中楼层(共18层)2011年建板楼  -  周谷堆', '165万', '单价18440元/平米')
('https://image1.ljcdn.com/340100-inspection/a6bbe4b7-dc4d-4ad8-bd26-0b926d6f7e46.jpg.296x216.jpg', '万振城市广场 2室2厅 116万', '万振城市广场  | 2室2厅 | 85.54平米 | 南 | 其他', '中楼层(共30层)2016年建塔楼  -  周谷堆', '116万', '单价13561元/平米')
('https://image1.ljcdn.com/340100-inspection/54273692-19b7-48de-a4ec-85e3221fd5fa.jpg.296x216.jpg', '桐江新村 3室2厅 125万', '桐江新村  | 3室2厅 | 88.05平米 | 南 北 | 其他', '中楼层(共7层)1995年建板楼  -  芜湖路', '125万', '单价14197元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2ae35ea1-c61a-42fe-9c59-829b3d888baf.jpg.296x216.jpg', '万达中心名宅 2室1厅 165万', '万达中心名宅  | 2室1厅 | 89.6平米 | 南 | 其他', '中楼层(共25层)2010年建塔楼  -  包公', '165万', '单价18416元/平米')
('https://image1.ljcdn.com/340100-inspection/527d7497-44c1-41c7-a8ae-a9738aca8fff.jpg.296x216.jpg', '煤炭研究所宿舍 三房 周边出行方便 万达商圈', '煤炭研究所宿舍  | 3室1厅 | 86.39平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  包公', '130万', '单价15049元/平米')
('https://image1.ljcdn.com/340100-inspection/0f31618c-156a-4450-b5e2-2cfcc7dee530.jpg.296x216.jpg', '万振逍遥苑四期 精装2房 中间楼层 全明户型', '万振逍遥苑四期  | 2室2厅 | 81平米 | 南 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '133万', '单价16420元/平米')
('https://image1.ljcdn.com/340100-inspection/cbf18f01-b1f7-465b-a0b8-23e66c815b26.jpg.296x216.jpg', '满五年南北苑通透三居室，通风效果好，采光无遮挡', '元一柏庄  | 3室2厅 | 133.95平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '220万', '单价16425元/平米')
('https://image1.ljcdn.com/340100-inspection/3de99188-f9b9-42ca-b2cb-95dbf6555adb.jpg.296x216.jpg', '风和园 环境好 物业管理佳 周边出行方便 随时看房', '风和园  | 3室2厅 | 100.75平米 | 东 | 其他', '低楼层(共6层)2000年建板楼  -  包公', '178万', '单价17668元/平米')
('https://image1.ljcdn.com/340100-inspection/c369d849-253b-4750-a7c4-7ca3d9232ba7.jpg.296x216.jpg', '马鞍山路南一环交口 集中供暖国贸小区 中间楼层采光好', '国贸公寓  | 2室2厅 | 90.93平米 | 南 | 其他', '中楼层(共28层)2008年建塔楼  -  周谷堆', '140万', '单价15397元/平米')
('https://image1.ljcdn.com/340100-inspection/38e0f393-7787-4607-a5fc-eaeba18d1aae.jpg.296x216.jpg', '世纪阳光精装三房 安静居家好楼层 满五年有钥匙随时看', '世纪阳光花园橙阳苑  | 3室2厅 | 120.43平米 | 南 北 | 其他', '中楼层(共6层)2003年建板楼  -  包公', '215万', '单价17853元/平米')
('https://image1.ljcdn.com/340100-inspection/7f7160c5-4c5f-481a-865e-071363b09726.jpg.296x216.jpg', '供电西村 2室1厅 75万', '供电西村  | 2室1厅 | 55.03平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  常青', '75万', '单价13629元/平米')
('https://image1.ljcdn.com/340100-inspection/1e378766-dc73-448f-98db-f8b8349bc774.jpg.296x216.jpg', '玫瑰绅城 精装两房 楼层好 采光好 看房随时', '玫瑰绅城  | 2室1厅 | 75平米 | 南 | 其他', '中楼层(共21层)2009年建塔楼  -  周谷堆', '106万', '单价14134元/平米')
('https://image1.ljcdn.com/340100-inspection/3818bdba-e3e5-46bc-9806-1d9ee179fd6a.jpg.296x216.jpg', '海顿公馆  电梯三房  南北通透    中间楼层  采光充足', '绿地海顿公馆A  | 3室2厅 | 128.89平米 | 南 北 | 其他', '高楼层(共30层)2010年建板楼  -  周谷堆', '240万', '单价18621元/平米')
('https://image1.ljcdn.com/340100-inspection/5f0af6e0-5e32-4c22-bf62-b31a2c0805b0.jpg.296x216.jpg', '世纪阳光花园青阳苑 2室2厅 167万', '世纪阳光花园青阳苑  | 2室2厅 | 100.06平米 | 东 | 其他', '中楼层(共11层)2006年建板楼  -  包公', '167万', '单价16690元/平米')
('https://image1.ljcdn.com/340100-inspection/7d54d189-5a98-4cb3-b731-563dce708b35.jpg.296x216.jpg', '万振逍遥苑四期 大5房 精装修 不临马路', '万振逍遥苑四期  | 5室2厅 | 175.45平米 | 南 北 | 其他', '低楼层(共18层)2008年建板楼  -  周谷堆', '270万', '单价15389元/平米')
('https://image1.ljcdn.com/340100-inspection/7350f0e2-cc72-433e-a689-3b812f5a6ef2.jpg.296x216.jpg', '为你而选 为你为家 万振逍遥苑四期 中装四房 南北通透', '万振逍遥苑四期  | 4室2厅 | 130.64平米 | 南 北 | 其他', '低楼层(共33层)2008年建板楼  -  周谷堆', '203万', '单价15539元/平米')
('https://image1.ljcdn.com/340100-inspection/f7b01703-89c3-4c6a-b4b6-dc250b1a3743.jpg.296x216.jpg', '地矿家园 3室2厅 188万', '地矿家园  | 3室2厅 | 115.68平米 | 南 北 | 其他', '低楼层(共34层)2012年建板楼  -  周谷堆', '188万', '单价16252元/平米')
('https://image1.ljcdn.com/340100-inspection/1dbf33ff-b1bc-47ad-8591-36c2a3f859bc.jpg.296x216.jpg', '金桂苑新上精装三房！楼层好采光棒！', '望湖城桂香居金桂苑  | 3室2厅 | 129.86平米 | 南 | 其他', '中楼层(共18层)板楼  -  望湖', '275万', '单价21177元/平米')
('https://image1.ljcdn.com/340100-inspection/83c42707-1474-4733-822c-597961aeb7e1.JPG.296x216.jpg', '恒生阳光城 精装修 边户带燃气', '恒生阳光城  | 2室2厅 | 87.5平米 | 南 | 其他', '低楼层(共18层)2005年建板楼  -  芜湖路', '115万', '单价13143元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1768859d-44b8-446b-bb03-21c51b83a5f9.jpg.296x216.jpg', '世纪阳光兰阳苑 近地铁 精装修 采光足 满五 楼层好', '世纪阳光花园紫阳苑  | 4室2厅 | 147平米 | 南 北 | 其他', '中楼层(共11层)2004年建板楼  -  包公', '220万', '单价14966元/平米')
('https://image1.ljcdn.com/340100-inspection/9ebc96a8-9232-46fe-83a9-21fb9e1219da.jpg.296x216.jpg', '金地国际城，满五年，简装，采光好，有钥匙 随时看房', '金地国际城  | 1室1厅 | 57.45平米 | 西南 | 其他', '低楼层(共30层)2007年建塔楼  -  周谷堆', '66万', '单价11489元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf58fd4b4-be47-4515-a58b-581ac036c08b.jpg.296x216.jpg', '海顿二期 精装一居室 户型朝南 位置安静 不挡光', '绿地海顿公馆B  | 1室1厅 | 45.47平米 | 南 | 其他', '低楼层(共33层)2010年建板楼  -  周谷堆', '83万', '单价18254元/平米')
('https://image1.ljcdn.com/340100-inspection/39b48553-7f23-4f05-984d-a6e8ba9d3554.jpg.296x216.jpg', '海顿二期 一居室朝南 出租装修 看房方便 诚心卖', '绿地海顿公馆B  | 1室1厅 | 45.01平米 | 南 | 其他', '低楼层(共33层)2010年建板楼  -  周谷堆', '83万', '单价18441元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload5f07b76e-7d7f-404f-86a5-6029670f67d2.jpg.296x216.jpg', '高档小区，绿城物业，正规一室一厅，楼层好采光无遮挡', '绿城玉兰公寓  | 1室1厅 | 64.38平米 | 南 | 其他', '低楼层(共19层)2010年建塔楼  -  常青', '98万', '单价15223元/平米')
('https://image1.ljcdn.com/340100-inspection/8f2ae2db-3fb6-4b6d-aff4-6bc631182263.jpg.296x216.jpg', '小区中间位置，楼层好采光足，单价低', '青年小区  | 3室1厅 | 73.4平米 | 南 北 | 其他', '高楼层(共5层)1995年建板楼  -  包公', '108万', '单价14714元/平米')
('https://image1.ljcdn.com/340100-inspection/bc918fee-d19f-4b7e-9497-fbc6e3aaa8f1.jpg.296x216.jpg', '四方两卫 中间楼层 视野好 小区环境佳', '和昌都汇华府  | 4室2厅 | 120.7平米 | 南 北 | 其他', '中楼层(共32层)2012年建板楼  -  周谷堆', '220万', '单价18228元/平米')
('https://image1.ljcdn.com/340100-inspection/af469530-e55d-49cf-8cf9-a096a234181a.jpg.296x216.jpg', '金地国际城 3室2厅 175万', '金地国际城  | 3室2厅 | 120.6平米 | 南 北 | 其他', '高楼层(共33层)2007年建塔楼  -  周谷堆', '175万', '单价14511元/平米')
('https://image1.ljcdn.com/340100-inspection/be1e1d45-967b-427c-a407-44414cd74c34.jpg.296x216.jpg', '曙宏新村 3室2厅 148万', '曙宏新村  | 3室2厅 | 114.43平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  常青', '148万', '单价12934元/平米')
('https://image1.ljcdn.com/340100-inspection/07dcf2f6-83c7-4a5d-b16d-8a3b9f8715b0.jpg.296x216.jpg', '供电西村 单位房 多层低公摊 诚心出售', '供电西村  | 2室1厅 | 55.03平米 | 南 北 | 其他', '高楼层(共6层)2000年建板楼  -  常青', '75万', '单价13629元/平米')
('https://image1.ljcdn.com/340100-inspection/442104af-6eac-4eea-874d-47c06ec7b8bd.jpg.296x216.jpg', '绿地海顿公馆A期 精装两室 活动空间大 拎包入住位置好', '绿地海顿公馆A  | 2室2厅 | 109.58平米 | 南 | 其他', '高楼层(共33层)2010年建板楼  -  周谷堆', '197万', '单价17978元/平米')
('https://image1.ljcdn.com/340100-inspection/034ef3e4-593e-4ab4-87d4-e126d7d3232d.jpg.296x216.jpg', '山水西苑 南北通透大3室 能看到望湖公园 纯毛坯', '山水西苑  | 3室2厅 | 138.73平米 | 南 北 | 其他', '中楼层(共16层)2010年建板楼  -  望湖', '270万', '单价19463元/平米')
('https://image1.ljcdn.com/340100-inspection/839e59d8-9232-47ba-9720-c1f8a1d12145.jpg.296x216.jpg', '地矿家园 3室2厅 210万', '地矿家园  | 3室2厅 | 117.43平米 | 南 北 | 其他', '高楼层(共34层)2012年建板楼  -  周谷堆', '210万', '单价17883元/平米')
('https://image1.ljcdn.com/340100-inspection/7b95a2e2-2439-45f3-9740-ba0d704186cc.jpg.296x216.jpg', '绿地海顿公馆A 三房 位置好 南北通透 采光好 有露台', '绿地海顿公馆A  | 3室2厅 | 127.56平米 | 南 北 | 其他', '低楼层(共30层)2010年建板楼  -  周谷堆', '230万', '单价18031元/平米')
('https://image1.ljcdn.com/340100-inspection/57fc6112-bba4-4324-9c89-1d3ce8b831b4.jpg.296x216.jpg', '为你而选为你而家 南北通透大三居 位置安静 采光好', '万振逍遥苑一期  | 3室2厅 | 126平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  周谷堆', '194万', '单价15397元/平米')
('https://image1.ljcdn.com/340100-inspection/c1b58bb3-a50e-42d1-a68b-10093cf22605.jpg.296x216.jpg', '望湖城紫桂苑 三房南北通透，交通便利 环境好 急售', '望湖城桂香居紫桂苑  | 3室2厅 | 127.71平米 | 南 北 | 毛坯', '高楼层(共18层)2009年建板楼  -  望湖', '278万', '单价21769元/平米')
('https://image1.ljcdn.com/340100-inspection/d4f35f6f-3aeb-4ab0-96f8-150b6f6a576e.jpg.296x216.jpg', '为你而选 为你为家 万振逍遥苑 简装一室 诚心卖', '万振逍遥苑四期  | 1室1厅 | 46.3平米 | 南 北 | 其他', '高楼层(共34层)2008年建板楼  -  周谷堆', '70万', '单价15119元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload26355f18-fa65-4e5c-80bd-27b9165506e6.jpg.296x216.jpg', '万达品质两居  中间楼层  采光好 全明户型 诚心出售', '万达中心名宅  | 2室2厅 | 94.41平米 | 西南 | 其他', '高楼层(共47层)2010年建塔楼  -  包公', '180万', '单价19066元/平米')
('https://image1.ljcdn.com/340100-inspection/e6e638ab-463b-462d-a541-e544b110bed2.jpg.296x216.jpg', '望湖北苑 南北通透 三房两卫 全明户型 钥匙房源', '望湖北苑  | 3室2厅 | 121.03平米 | 南 北 | 毛坯', '高楼层(共6层)2005年建板楼  -  望湖', '167万', '单价13799元/平米')
