('https://image1.ljcdn.com/510100-inspection/test-194e1b15-081e-4a27-8267-a6506d76d31c.png.296x216.jpg', '此房户型方正采光佳，视野宽阔，', '心怡中丝园  | 3室2厅 | 102.38平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2015年建板塔结合  -  麓山', '138万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8d64f989-5720-410a-918e-d30df87ca4c9.png.296x216.jpg', '麓山印象，套四双卫，带车位，毛培房', '麓山印象  | 4室2厅 | 167平米 | 南 北 | 其他 | 有电梯', '中楼层(共9层)2013年建板楼  -  海洋公园', '255万', '单价15270元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5a35b339-cbf4-4037-9d68-52a589c557f2.png.296x216.jpg', '洛森堡套三改套四   清水南北通透', '洛森堡  | 4室1厅 | 99.11平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共34层)2009年建板塔结合  -  海洋公园', '155万', '单价15640元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2612b81e-c762-4fcb-b007-6e24dde285e8.png.296x216.jpg', '恒大名都精装方正套三双卫 双阳台，满两年', '恒大名都  | 3室2厅 | 105平米 | 东 | 简装 | 有电梯', '低楼层(共31层)2012年建板楼  -  海洋公园', '172万', '单价16381元/平米')
('https://image1.ljcdn.com/510100-inspection/test-db10d1f6-e769-4b0d-9c24-3ca44f6c1142.png.296x216.jpg', '麓山国际帕莎迪纳3组团电梯洋房', '麓山国际帕萨迪纳3组  | 2室2厅 | 102.94平米 | 东南 | 其他 | 无电梯', '高楼层(共8层)2008年建板塔结合  -  麓山', '175万', '单价17001元/平米')
('https://image1.ljcdn.com/510100-inspection/test-79543971-6bde-46e2-bc91-6cb9f1f17a10.png.296x216.jpg', '天府新区蓝岸丽景套三自住装修可拧包入住', '蓝岸丽景  | 3室1厅 | 126.14平米 | 东 西 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  华阳', '145万', '单价11496元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5795c4f9-a191-468c-82dd-c420bdacd656.png.296x216.jpg', '清水套三  带阳台   户型方正  对中庭', '南湖国际社区  | 3室1厅 | 123.76平米 | 东北 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '158万', '单价12767元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cd110fcf-5b4b-4f6e-992b-a6d2a73223c5.png.296x216.jpg', '天府新区 华阳街道 油建苑 套三户型', '油建苑  | 3室2厅 | 146.81平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1996年建板塔结合  -  南湖', '135万', '单价9196元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04cb3c1b-24a9-4ff7-bd09-2f99db8641cd.png.296x216.jpg', '新疆石油花园三期 大套二 带花园', '新疆石油花园三期  | 2室1厅 | 90.43平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2002年建板楼  -  南湖', '94万', '单价10395元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f82b8236-7c82-4c5e-ae4b-21bef3eb4794.png.296x216.jpg', '南湖国际社区清水套四，朝向好，户型好', '南湖国际社区  | 4室2厅 | 179.06平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2010年建板楼  -  南湖', '320万', '单价17872元/平米')
('https://image1.ljcdn.com/510100-inspection/test-656bc5ba-2357-4b04-a823-2da0ac27b503.png.296x216.jpg', '雅居乐花园清水大套四带入户花园', '雅居乐花园  | 4室2厅 | 203平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2010年建板楼  -  雅居乐', '240万', '单价11823元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e6dab692-1f96-4654-90b3-e579f0593dee.png.296x216.jpg', '中间楼层 视野开阔 可以看江景 卧室带阳台', '心怡紫晶城  | 3室2厅 | 130.8平米 | 西南 | 其他 | 有电梯', '中楼层(共31层)2011年建塔楼  -  锦江生态带', '218万', '单价16667元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f69ed084-e620-42e7-afe1-f8927105d9f8.png.296x216.jpg', '天府新区  南阳盛世 套三双卫', '南阳盛世二期  | 3室2厅 | 131.19平米 | 西北 | 其他 | 有电梯', '中楼层(共29层)2011年建板塔结合  -  南湖', '182万', '单价13874元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7b6124a0-a364-4b14-8c22-aa5f6d63b5bb.png.296x216.jpg', '产权已下可交易，房子产权满两年，套四可以改套五', '南湖国际社区  | 4室1厅 | 177.66平米 | 南 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '310万', '单价17450元/平米')
('https://image1.ljcdn.com/510100-inspection/test-76fa45f5-2477-4902-a547-81d2fd62f34a.png.296x216.jpg', '南湖国际社区经典4+1户型可看江安河', '南湖国际社区  | 4室2厅 | 177.5平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '253万', '单价14254元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e3cf54cb-8b91-4aa4-9f00-08baecc110d0.png.296x216.jpg', '河畔新世界套三双卫清水带入户，满二', '恒大天府半岛  | 3室2厅 | 135.2平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2017年建板楼  -  锦江生态带', '190万', '单价14054元/平米')
('https://image1.ljcdn.com/510100-inspection/717420c4-d8ca-4503-9cd8-4b6e9b192021.JPG.296x216.jpg', '恒大名都精装方正套二 双阳台 朝中庭 满两年', '恒大名都  | 2室1厅 | 76.39平米 | 南 | 简装 | 有电梯', '中楼层(共32层)2012年建板楼  -  海洋公园', '115万', '单价15055元/平米')
('https://image1.ljcdn.com/510100-inspection/test-19ef63c1-e805-4f05-a100-684a484238e9.png.296x216.jpg', '佳兆业君汇上品，套五三卫，对中庭，带车位', '佳兆业君汇上品  | 5室2厅 | 172.2平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2013年建板塔结合  -  南湖', '340万', '单价19745元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42b1b034-cac7-433c-9f1c-9d88b8123af7.png.296x216.jpg', '华阳滨河花园+户型方正+户型通透+不临街+有装修', '华阳滨河花园  | 3室2厅 | 128.99平米 | 东南 西北 | 其他 | 无电梯', '低楼层(共6层)2003年建板塔结合  -  华阳', '142万', '单价11009元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ebfa56df-f74a-4f30-bdaa-df511bda12a1.png.296x216.jpg', '雅居乐花园清水套四双卫，户型方正。', '雅居乐花园  | 4室2厅 | 156.9平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2008年建板楼  -  雅居乐', '200万', '单价12747元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a3673ed3-7ab4-47fd-9f0d-a2b76e76aeff.png.296x216.jpg', '南湖国际社区 户型通透 大阳台', '南湖国际社区  | 2室2厅 | 84.94平米 | 西北 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '130万', '单价15305元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fcff1162-c647-4589-9d3d-966542c424e0.png.296x216.jpg', '恒大天府半岛清水套四 户型方正', '恒大天府半岛  | 4室2厅 | 166.47平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2017年建板楼  -  锦江生态带', '262万', '单价15739元/平米')
('https://image1.ljcdn.com/510100-inspection/test-40260bd9-6b63-4775-8946-91ca8d163c0b.png.296x216.jpg', '麓山国际云曦台清水套三双卫，随时可看', '麓山国际云曦台  | 3室1厅 | 105.29平米 | 东南 | 其他 | 有电梯', '高楼层(共22层)2015年建板楼  -  麓山', '165万', '单价15672元/平米')
('https://image1.ljcdn.com/510100-inspection/768c7dcf-6d4d-4177-800c-eed43c50a042.jpg.296x216.jpg', '阳光华苑套三      跃层带花园', '阳光华苑  | 3室2厅 | 143.41平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  华阳', '286万', '单价19943元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ef3be6e4-aeee-457b-bfe0-e08f156ec5df.png.296x216.jpg', '新鸿基悦城，清水，套四三卫，带大阳台', '新鸿基悦城  | 4室2厅 | 200.33平米 | 西北 | 其他 | 有电梯', '中楼层(共31层)2015年建板塔结合  -  海洋公园', '365万', '单价18220元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4d82c62a-b092-4ef5-b36a-678aa546bf8a.png.296x216.jpg', '此房清水套四，坐北朝南，朝小区中庭', '佳兆业君汇上品  | 4室2厅 | 188.09平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2013年建板塔结合  -  南湖', '273万', '单价14515元/平米')
('https://image1.ljcdn.com/510100-inspection/test-19622f40-793f-4f37-ab11-b53a902188fd.png.296x216.jpg', '天府新区 客厅带大阳台 满2年 户型无浪费 视野好', '佳兆业君汇上品  | 4室2厅 | 138.08平米 | 东 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  南湖', '220万', '单价15933元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1f110b72-0a22-423a-b883-cd750d234134.png.296x216.jpg', '天府新区 南阳锦城 装修套二 预约可看', '南阳锦城  | 2室1厅 | 83.35平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2008年建板塔结合  -  南湖', '110万', '单价13198元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fe40e533-71fa-492a-a09d-1efc929e8902.png.296x216.jpg', '天府新区华阳蜀郡  多层洋房 装修大套三有花园', '蜀郡  | 3室2厅 | 175.3平米 | 南 | 精装 | 无电梯', '低楼层(共4层)2010年建板楼  -  华阳', '323万', '单价18426元/平米')
('https://image1.ljcdn.com/510100-inspection/test-be55aa4c-07e0-44ca-86df-dd40b141dbb4.png.296x216.jpg', '天府新区金南园 套三双卫 有装修', '金南园  | 3室2厅 | 139.14平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  四河', '205万', '单价14734元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42136213-9378-4fa1-bd6c-f68d89cee8a5.png.296x216.jpg', '装修套三 采光好 视野好 大阳台', '南湖国际社区  | 3室2厅 | 97.8平米 | 北 | 其他 | 有电梯', '高楼层(共34层)2010年建板楼  -  南湖', '160万', '单价16360元/平米')
('https://image1.ljcdn.com/510100-inspection/test-feaf9353-bc4c-4930-bc79-9a7fcfa7bd7d.png.296x216.jpg', '天府新区成南锦秀居家装修套二+满五唯一', '成南锦秀  | 2室1厅 | 64.44平米 | 东 | 精装 | 有电梯', '高楼层(共16层)2010年建板楼  -  南湖', '108万', '单价16760元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eed4573c-8ec1-40ab-86d5-deb0cbe0a7d1.png.296x216.jpg', '南湖国际社区      清水房 套三', '南湖国际社区  | 3室2厅 | 142.13平米 | 东南 | 毛坯 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '218万', '单价15339元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b8505f2-c9ac-4548-bdc6-fb2d0c39acce.png.296x216.jpg', '恒大名都套二 带装修 空房 满二年 预约看房', '恒大名都  | 2室1厅 | 72.56平米 | 西 | 其他 | 有电梯', '高楼层(共32层)2012年建板楼  -  海洋公园', '108万', '单价14885元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d93b23fd-f2ab-458b-9520-422816ee2b54.png.296x216.jpg', '新鸿基悦城户型方正的中间楼层的套三清水房', '新鸿基悦城  | 3室2厅 | 156.83平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2017年建板塔结合  -  海洋公园', '250万', '单价15941元/平米')
('https://image1.ljcdn.com/510100-inspection/test-615a1944-07e5-4dac-912a-454a8c2c2f25.png.296x216.jpg', '精装修，套三，环保装修材料.......', '中信城左岸  | 3室2厅 | 88.89平米 | 东 | 其他 | 有电梯', '高楼层(共25层)塔楼  -  南湖', '145万', '单价16313元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fc03ff35-8b43-4035-a6f6-fbbcf8157bc8.png.296x216.jpg', '南阳盛世套三双卫，有装修，不临街', '南阳盛世  | 3室2厅 | 116.63平米 | 西南 东北 | 其他 | 有电梯', '中楼层(共29层)2011年建板塔结合  -  南湖', '180万', '单价15434元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5304b493-aa1f-4099-95b4-6ee5118c5a32.png.296x216.jpg', '天府新区 电梯房 装修套二 客厅有阳台 朝南 户型方正', '益州国际  | 2室2厅 | 72.25平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2014年建板塔结合  -  华阳', '108万', '单价14949元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload8d35f655-b420-490a-ad56-56f42541866b.JPG.296x216.jpg', '雅居乐花园 套四清水 满二 位置安静', '雅居乐花园  | 4室2厅 | 184.45平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2010年建板楼  -  雅居乐', '235万', '单价12741元/平米')
('https://image1.ljcdn.com/510100-inspection/a9fb3b5a-9e77-4061-831e-f411df04df7e.jpg.296x216.jpg', '南湖国际社区，满两年，234平大跃层', '南湖国际社区  | 4室2厅 | 234.94平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '350万', '单价14898元/平米')
('https://image1.ljcdn.com/510100-inspection/test-922decca-f905-46e2-9366-14c370cd59fe.png.296x216.jpg', '中庭位置套二，朝南，长阳台，远离主干道，安静', '慕和南道  | 2室2厅 | 88.42平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  华阳', '160万', '单价18096元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1654d264-d373-416f-869d-6246d64236ed.png.296x216.jpg', '房子满两年，户型方正采光好，视野开阔', '油建苑  | 3室2厅 | 104.88平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1996年建板塔结合  -  南湖', '132万', '单价12586元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c047fd45-7836-46a7-b376-6a8348bcc981.png.296x216.jpg', '麓山国际帕萨迪纳清水套三，带花园', '麓山国际帕萨迪纳3组  | 3室2厅 | 113.28平米 | 南 | 其他 | 无电梯', '低楼层(共8层)2008年建板塔结合  -  麓山', '181万', '单价15979元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c3ec83c-2002-4708-8456-0613bafc926d.png.296x216.jpg', '南湖国际社区一期看湖套三清水房', '南湖国际社区一期  | 3室2厅 | 127.6平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  南湖', '220万', '单价17242元/平米')
('https://image1.ljcdn.com/510100-inspection/beac2d0d-cf88-4bc8-b801-c53840403c83.jpg.296x216.jpg', '南湖国际社区 三室两厅一厨两卫双阳台', '南湖国际社区  | 3室2厅 | 152.87平米 | 西北 | 其他 | 有电梯', '低楼层(共34层)2010年建板楼  -  南湖', '263万', '单价17205元/平米')
('https://image1.ljcdn.com/510100-inspection/test-69bfcb75-3363-4c2d-bd1c-176e18d6f65f.png.296x216.jpg', '开发商装修房套三双卫看河景 对中庭安静带负一楼车位', '恒大天府半岛  | 3室2厅 | 141平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2017年建板楼  -  锦江生态带', '230万', '单价16313元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b9432a0b-340e-4371-90d2-1df7d63c82b2.png.296x216.jpg', '南湖国际社区 一期   清水 套二', '南湖国际社区一期  | 2室1厅 | 77.48平米 | 西 | 其他 | 有电梯', '中楼层(共34层)2010年建塔楼  -  南湖', '140万', '单价18070元/平米')
('https://image1.ljcdn.com/510100-inspection/test-acd78e66-0780-4428-af2f-a9bc319cc762.png.296x216.jpg', '输气大院套三单卫 生活舒适 配套齐全', '输气大院  | 3室2厅 | 95.8平米 | 东 | 其他', '高楼层(共6层)板楼  -  南湖', '86万', '单价8978元/平米')
('https://image1.ljcdn.com/510100-inspection/test-999237da-3161-41e6-bee6-3689b304f753.png.296x216.jpg', '天府新区洛森堡清水三室两厅对中庭产权满两年', '洛森堡  | 3室2厅 | 145平米 | 东北 | 其他 | 有电梯', '中楼层(共34层)2009年建板楼  -  海洋公园', '198万', '单价13656元/平米')
('https://image1.ljcdn.com/510100-inspection/test-78050f6a-eda2-423f-9741-d8d7a4154c8d.png.296x216.jpg', '套三双卫，精装修带家具家电，对中庭，高楼层，安静', '万科海悦汇城东区  | 3室2厅 | 105.79平米 | 南 | 其他 | 有电梯', '高楼层(共50层)2014年建板楼  -  海洋公园', '165万', '单价15597元/平米')
('https://image1.ljcdn.com/510100-inspection/test-116a2255-e36d-40e1-bf22-a8e67996745f.png.296x216.jpg', '万科海悦汇城东区 套二有装修衣帽间 中庭不临街满二年', '万科海悦汇城东区  | 2室2厅 | 60.52平米 | 东 | 其他 | 有电梯', '高楼层(共35层)2014年建板楼  -  海洋公园', '120万', '单价19829元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5d24d2d5-6c81-405c-8588-9a2480213583.png.296x216.jpg', '天府新区+ 瑞升橡树林华府+装修套三', '瑞升橡树林华府  | 3室2厅 | 85.6平米 | 南 | 其他', '低楼层(共34层)板楼  -  南湖', '150万', '单价17524元/平米')
('https://image1.ljcdn.com/510100-inspection/test-01051ae3-c4f7-4413-bd66-748ff65c8f89.png.296x216.jpg', '麓山国际麓镇solo公寓标准套 一', '麓山国际SOLO公寓  | 1室1厅 | 45.85平米 | 东南 | 其他 | 有电梯', '中楼层(共10层)2010年建塔楼  -  麓山', '65万', '单价14177元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10795f9e-13e5-4583-aa95-19488b8f2219.png.296x216.jpg', '锦华苑 套五跃层 有阳台花园 不临街 简装', '锦华苑  | 5室2厅 | 200.89平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  南湖', '245万', '单价12196元/平米')
('https://image1.ljcdn.com/510100-inspection/test-885a75d9-6ae7-4feb-8678-6328613d204f.png.296x216.jpg', '南湖世纪  清水套三  双卫朝中庭', '南湖世纪  | 3室2厅 | 98.87平米 | 西南 | 毛坯 | 有电梯', '低楼层(共30层)2016年建板楼  -  南湖', '170万', '单价17195元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e21fbfe4-530c-40e7-9230-547da7cea351.png.296x216.jpg', '瑞雪港湾  清水套三双卫   小区中庭不临街  安静', '瑞雪港湾  | 3室2厅 | 133平米 | 南 | 其他', '高楼层(共6层)板楼  -  华阳', '150万', '单价11279元/平米')
('https://image1.ljcdn.com/510100-inspection/test-be72ea35-5d1f-4bb5-8471-89df59c92dd8.png.296x216.jpg', '河畔新世界 新上没住过人 装修套三', '恒大天府半岛  | 3室2厅 | 125.72平米 | 东北 | 其他 | 有电梯', '中楼层(共29层)2017年建板楼  -  锦江生态带', '187万', '单价14875元/平米')
('https://image1.ljcdn.com/510100-inspection/test-577468e8-6616-4f24-9cc9-2c0a835194c2.png.296x216.jpg', '远大公园装修套二 高楼层 视野开阔 不满二年 客厅朝东', '远大中央公园一期  | 2室2厅 | 84平米 | 东 | 其他', '高楼层(共32层)板塔结合  -  南湖', '150万', '单价17858元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d2d48b1e-af6d-4ba5-bb99-872c587f9a50.png.296x216.jpg', '金茂光明城标准80平方精装修套二', '金茂光明城市  | 2室1厅 | 80.09平米 | 西 | 精装 | 有电梯', '低楼层(共33层)2016年建板塔结合  -  华阳', '118万', '单价14734元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f5dc349-43e5-491c-8bdc-27ad0270d1d6.png.296x216.jpg', '新鸿基悦城    套三双卫+有阳台', '新鸿基悦城  | 3室2厅 | 141.82平米 | 东 西 | 其他 | 有电梯', '低楼层(共31层)2011年建板塔结合  -  海洋公园', '297万', '单价20943元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9bdb0014-afe0-4215-a2ef-425e14f479ed.png.296x216.jpg', '华阳心怡德盛苑 套四 没装修 有车位', '心怡德盛苑  | 4室2厅 | 228.24平米 | 南 北 | 其他 | 无电梯', '低楼层(共5层)2007年建板楼  -  四河', '400万', '单价17526元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10a7dbc1-0bbc-4f2c-a643-ef1eb90b4cb2.png.296x216.jpg', '此房套三单卫，现在是简单装修.', '中信城左岸  | 3室2厅 | 87.61平米 | 北 | 简装 | 有电梯', '高楼层(共33层)塔楼  -  南湖', '150万', '单价17122元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d538bbc9-f2a6-476e-a58c-20c44bd9d4f2.png.296x216.jpg', '宏达，带装修，套二中间楼层，竖厅', '宏达世纪锦城  | 2室2厅 | 80.3平米 | 北 | 其他 | 有电梯', '低楼层(共32层)2012年建板楼  -  海洋公园', '145万', '单价18058元/平米')
('https://image1.ljcdn.com/510100-inspection/test-55dc8fd5-d9ac-47c8-b10b-a55c9fb63c92.png.296x216.jpg', '南湖世纪清水套三对中庭采光好视野佳', '南湖世纪  | 3室2厅 | 98.87平米 | 西北 | 其他 | 有电梯', '高楼层(共30层)2016年建板楼  -  南湖', '170万', '单价17195元/平米')
('https://image1.ljcdn.com/510100-inspection/test-75611365-d4e7-4b45-bddc-d1ff6de01569.png.296x216.jpg', '麓山国际半月湾 一楼带花园 户型方正', '麓山国际半月湾  | 5室1厅 | 214.23平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2013年建板楼  -  麓山', '326万', '单价15218元/平米')
