('https://image1.ljcdn.com/340100-inspection/b57f6a55-d3aa-4bf1-bbda-2762eb7c789a.jpg.296x216.jpg', '永和家园，简装，业主诚心急售。', '永和家园  | 3室2厅 | 94.75平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '125万', '单价13193元/平米')
('https://image1.ljcdn.com/340100-inspection/ae01b001-59ce-424b-913f-fee76786ef94.jpg.296x216.jpg', '绿城桂花园 精装电梯三房 采光好 业主诚心出售', '绿城桂花园  | 3室2厅 | 111.28平米 | 南 | 精装', '中楼层(共11层)2009年建板楼  -  天乐', '239万', '单价21478元/平米')
('https://image1.ljcdn.com/340100-inspection/902163d5-278c-4e14-81a2-5b5aa8943c72.jpg.296x216.jpg', '澜溪镇 花园洋房 户型方正 采光充足 位置好 毛坯', '澜溪镇  | 3室2厅 | 143平米 | 南 北 | 其他', '中楼层(共5层)2008年建板楼  -  天乐', '335万', '单价23427元/平米')
('https://image1.ljcdn.com/340100-inspection/b77a6850-63e5-4fe5-9b64-a76e2406b739.jpg.296x216.jpg', '澜溪镇 观景房  采光充足 位置好 毛坯 视野开阔', '澜溪镇  | 4室2厅 | 171平米 | 南 北 | 毛坯', '低楼层(共11层)2008年建板楼  -  天乐', '340万', '单价19884元/平米')
('https://image1.ljcdn.com/340100-inspection/c1443da3-0e10-477b-900c-f91238adab5c.jpg.296x216.jpg', '博澳丽苑 中高楼层采光好 两房朝南 带阳台 诚售', '博澳丽苑  | 2室2厅 | 96.96平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  天乐', '136万', '单价14027元/平米')
('https://image1.ljcdn.com/340100-inspection/fdbd532d-ec68-4133-958a-f9a9c7650c80.jpg.296x216.jpg', '为你而选为你为家高新区和一花园精装两房满两年', '和一花园  | 2室2厅 | 86.45平米 | 南 | 其他', '高楼层(共24层)2010年建塔楼  -  兴园', '132万', '单价15269元/平米')
('https://image1.ljcdn.com/340100-inspection/bc32abda-6bd6-4a35-811f-9a9f08be057b.jpg.296x216.jpg', '华地紫园 3室2厅 205万', '华地紫园  | 3室2厅 | 100.17平米 | 南 | 其他', '低楼层(共32层)2014年建塔楼  -  兴园', '205万', '单价20466元/平米')
('https://image1.ljcdn.com/340100-inspection/c1be0e89-6a79-4d72-91f3-f31866f4603d.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园 满五 环境优美', '绿城桂花园  | 6室2厅 | 175.44平米 | 南 北 | 其他', '高楼层(共5层)2004年建板楼  -  天乐', '300万', '单价17100元/平米')
('https://image1.ljcdn.com/340100-inspection/33ef4455-dc40-449f-847c-fccaa9d40c7a.jpg.296x216.jpg', '三房两厅 毛坯房 配套齐全 交通便利  蜀西湖', '永和家园  | 3室2厅 | 92平米 | 南 | 其他', '低楼层(共11层)2008年建板楼  -  长宁', '115万', '单价12500元/平米')
('https://image1.ljcdn.com/340100-inspection/069d5bf9-5c07-4957-b72c-f471e99e6e22.jpg.296x216.jpg', '海亮精装三房，诚心出售，满二。', '海亮九玺  | 3室1厅 | 90.64平米 | 南 | 其他', '低楼层(共27层)板楼  -  蜀麓', '158万', '单价17432元/平米')
('https://image1.ljcdn.com/340100-inspection/dea10b16-84a3-498b-99b6-d85d6e8955ff.jpg.296x216.jpg', '绿城桂花园 洋楼复式 精装修 满五年', '绿城桂花园  | 3室2厅 | 155.94平米 | 南 北 | 其他', '中楼层(共5层)2004年建板楼  -  天乐', '289万', '单价18533元/平米')
('https://image1.ljcdn.com/340100-inspection/55d1fd1c-469a-44a9-9308-0a47eac1d320.jpg.296x216.jpg', '永和家园三室两厅，给您一个温馨的家', '永和家园  | 3室2厅 | 93.8平米 | 南 北 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '130万', '单价13860元/平米')
('https://image1.ljcdn.com/340100-inspection/98e4669f-f799-4837-ab6e-9c1b4b5674cb.jpg.296x216.jpg', '海亮九玺 精装修三房 满两年 自住装修 视野采光好', '海亮九玺  | 3室2厅 | 84.86平米 | 南 | 其他', '高楼层(共34层)2016年建塔楼  -  蜀麓', '165万', '单价19444元/平米')
('https://image1.ljcdn.com/340100-inspection/4da1d143-ea8e-47f0-8d02-3dff6a1093cd.jpg.296x216.jpg', '为你而选为你为家 梦园小区 配套成熟 精装复式', '梦园小区  | 4室2厅 | 188.51平米 | 南 北 | 简装', '高楼层(共6层)2002年建板楼  -  天乐', '230万', '单价12201元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf4da4b0e-5838-4598-a10a-b60930b31c3f.jpg.296x216.jpg', '祥源城三期 毛坯 大四房  户型好', '祥源城  | 4室1厅 | 120.72平米 | 南 | 其他', '中楼层(共33层)2017年建塔楼  -  长宁', '232万', '单价19219元/平米')
('https://image1.ljcdn.com/340100-inspection/879b76f8-eabd-4ef4-b558-ae93ef2ebc0a.jpg.296x216.jpg', '精品装修价格合适户型方正双卧室朝南', '华地紫园  | 3室2厅 | 132平米 | 南 | 精装', '高楼层(共33层)2013年建塔楼  -  兴园', '252万', '单价19091元/平米')
('https://image1.ljcdn.com/340100-inspection/e1906eb6-db51-4c08-9131-c63d5edc29c3.jpg.296x216.jpg', '绿地乔治庄园 高档洋房 满两年 纯毛坯 品质物业', '绿地乔治庄园  | 5室2厅 | 186.88平米 | 南 | 其他', '中楼层(共7层)2012年建板楼  -  蜀麓', '430万', '单价23010元/平米')
('https://image1.ljcdn.com/340100-inspection/98672d6d-2c93-4bb5-aa8e-72bd17eb2a73.jpg.296x216.jpg', '海亮【九台别墅】带私家庭院 带3个车位 业主诚心出售', '海亮九台别墅   | 联排别墅 | 4室2厅 | 353.37平米 | 南 | 其他', '3层暂无数据  -  蜀麓', '490万', '单价13867元/平米')
('https://image1.ljcdn.com/340100-inspection/09f9d33d-b4ee-46eb-8135-39ecd946bbef.jpg.296x216.jpg', '国轩 市政供暖 精装大三房 一梯两户 低密度 南北通透', '国轩K西嘉  | 3室2厅 | 126平米 | 南 北 | 精装', '低楼层(共12层)2008年建板楼  -  天乐', '198万', '单价15715元/平米')
('https://image1.ljcdn.com/340100-inspection/d450c89e-bf1b-4f04-babf-5984c88811eb.jpg.296x216.jpg', '乔治庄园改善型高档洋房。独门独户。南北两个超大阳台', '绿地乔治庄园  | 4室2厅 | 198.69平米 | 南 北 | 其他', '低楼层(共7层)2012年建板楼  -  蜀麓', '400万', '单价20132元/平米')
('https://image1.ljcdn.com/340100-inspection/3a64c20f-0520-4406-ab97-c2df0e763fcb.jpg.296x216.jpg', '旭辉湖山源著 4室2厅 390万', '旭辉湖山源著  | 4室2厅 | 156平米 | 南 北 | 毛坯', '低楼层(共6层)2016年建板楼  -  蜀麓', '390万', '单价25000元/平米')
('https://image1.ljcdn.com/340100-inspection/671a5a3c-eb45-4797-9ea1-a6e40ca05a9b.jpg.296x216.jpg', '御景城 南北通透三居室 纯毛坯 业主诚售', '御景城  | 3室2厅 | 116.85平米 | 南 北 | 其他', '低楼层(共33层)2016年建塔楼  -  兴园', '189万', '单价16175元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1b0fc57f-715d-49c5-9c9e-a70f1646aa84.jpg.296x216.jpg', '海亮九玺 北区满两年 精装修20万 南北通透 诚意卖', '海亮九玺  | 3室2厅 | 98.28平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  蜀麓', '185万', '单价18824元/平米')
('https://image1.ljcdn.com/340100-inspection/08b93940-0a67-498f-b0da-43371576c8b2.jpg.296x216.jpg', '旭辉湖山源著 5室3厅 545万', '旭辉湖山源著   | 联排别墅 | 5室3厅 | 241.88平米 | 南 | 其他', '3层暂无数据  -  蜀麓', '545万', '单价22532元/平米')
('https://image1.ljcdn.com/340100-inspection/64ac3f16-6d42-4555-b9a1-7c4344f93230.jpg.296x216.jpg', '为你而选为你为家 蜀湖湾毛坯顶复 附带大露台', '蜀湖湾小区  | 4室3厅 | 185平米 | 南 | 毛坯', '高楼层(共6层)2014年建板楼  -  天乐', '235万', '单价12703元/平米')
('https://image1.ljcdn.com/340100-inspection/8fb5bef6-6ebb-4b2c-9e9a-b70de5869d8a.jpg.296x216.jpg', '淮矿多层南北通透三居室 居家精装修拎包入住', '淮矿馥邦天下  | 3室2厅 | 91.16平米 | 南 北 | 其他', '低楼层(共9层)2015年建板楼  -  兴园', '196万', '单价21501元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload62e01797-e076-4f1d-b333-42be399471a1.jpg.296x216.jpg', '为你而选为你为家 峰尚国际 70年公寓 中间楼层 采光好', '峰尚国际  | 1室1厅 | 63平米 | 西 | 毛坯', '中楼层(共30层)2012年建塔楼  -  天乐', '75万', '单价11905元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0dee8bbd-2c42-4b19-8462-338db46d15ec.jpg.296x216.jpg', '为你而选为你为家 瑞和山水居朝南两居 卧室大全新装修', '瑞和山水居  | 2室2厅 | 86.1平米 | 南 | 简装', '高楼层(共33层)2012年建塔楼  -  兴园', '112万', '单价13009元/平米')
('https://image1.ljcdn.com/340100-inspection/81fcd078-99ee-4093-b03b-f2f19c7e9612.jpg.296x216.jpg', '为你而选为你为家 金濠优活城 精装两室 可拎包入住', '金濠优活城  | 2室2厅 | 69.96平米 | 西 | 其他', '低楼层(共28层)2012年建塔楼  -  天乐', '105万', '单价15009元/平米')
('https://image1.ljcdn.com/340100-inspection/840eff46-1f6a-47dc-b92d-e8ff718c55bd.jpg.296x216.jpg', '国轩成套公寓 满五年 居家装修 楼层采光好诚售', '国轩K西嘉  | 1室1厅 | 40.22平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  天乐', '52万', '单价12929元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4ce6f766-d7b6-4e49-89ec-2dea4ad233f8.jpg.296x216.jpg', '为你而选为你而家 和一花园 大三房', '和一花园  | 3室2厅 | 121.37平米 | 南 北 | 其他', '中楼层(共18层)2010年建塔楼  -  兴园', '168万', '单价13842元/平米')
('https://image1.ljcdn.com/340100-inspection/f3a0fc12-f54d-4ee0-bda9-a3bbafaafceb.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园精装顶楼复式 满五年', '绿城桂花园  | 5室3厅 | 261.67平米 | 南 北 | 其他', '高楼层(共4层)2004年建板楼  -  天乐', '430万', '单价16433元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4b7bc393-2690-4bee-b066-65f2b1015f22.jpg.296x216.jpg', '大蜀山脚下 改善3房 2卧及客厅朝南 户型方正 通透格局', '蓝鼎海棠湾  | 3室2厅 | 129平米 | 南 北 | 毛坯', '中楼层(共31层)2013年建塔楼  -  天乐', '248万', '单价19225元/平米')
('https://image1.ljcdn.com/340100-inspection/996896a8-5657-407d-b15c-649e12423972.jpg.296x216.jpg', '为你而选为你为家 绿城桂花园观景复式 纯毛坯 满二年', '绿城桂花园  | 3室2厅 | 200.31平米 | 南 北 | 其他', '中楼层(共5层)2004年建板楼  -  天乐', '398.6万', '单价19900元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload78d5b6d0-5012-45e6-b032-8e4237671973.jpg.296x216.jpg', '为你而选为你为家 新西茗阁 精装单身公寓 朝北户型', '新西茗阁  | 1室0厅 | 32.53平米 | 北 | 精装', '低楼层(共30层)2012年建塔楼  -  天乐', '48万', '单价14756元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload19bdca50-88c7-446c-91f9-a1e0ae0267c2.jpg.296x216.jpg', '为你而选为你为家 御景城 毛坯三房 中间位置 采光好', '御景城  | 3室1厅 | 86平米 | 南 | 毛坯', '中楼层(共30层)2016年建塔楼  -  兴园', '153万', '单价17791元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc07bc0dc-5b59-4ade-bcdf-cc35de1e10cf.jpg.296x216.jpg', '为你而选为你为家 梦园小区 户型方正 南北通透', '梦园小区  | 4室2厅 | 181.68平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  天乐', '249万', '单价13706元/平米')
('https://image1.ljcdn.com/340100-inspection/f3edcf24-5a89-46cc-b820-a8208239724e.jpg.296x216.jpg', '为你而选为你为家 金濠优活城 精装二室 楼层好诚售', '金濠优活城  | 2室2厅 | 67平米 | 南 北 | 其他', '高楼层(共28层)2012年建塔楼  -  天乐', '105万', '单价15672元/平米')
('https://image1.ljcdn.com/340100-inspection/a5317b72-4e19-4768-8bc6-ac1b64e6e2d0.jpg.296x216.jpg', '顶楼复式，户型方正  视野开阔 采光好', '绿城桂花园  | 3室2厅 | 159.14平米 | 南 | 其他', '高楼层(共4层)2004年建板楼  -  天乐', '290万', '单价18223元/平米')
('https://image1.ljcdn.com/340100-inspection/c21be4d7-2470-490b-b2f5-99ecdd384ecf.jpg.296x216.jpg', '永和家园 2室1厅 92万', '永和家园  | 2室1厅 | 63.4平米 | 南 | 其他', '中楼层(共11层)2008年建板楼  -  长宁', '92万', '单价14512元/平米')
('https://image1.ljcdn.com/340100-inspection/test-84a22422-e415-48ce-8492-403cbdcaa450.png.296x216.jpg', '新华御湖上园 毛坯一居室 朝南采光好', '新华御湖上园  | 1室1厅 | 47.79平米 | 南 | 其他', '中楼层(共23层)塔楼  -  蜀麓', '75万', '单价15694元/平米')
('https://image1.ljcdn.com/340100-inspection/919e163c-d506-438e-b53b-a178204bc9f4.jpg.296x216.jpg', '此房是精装修的，可以拎包住。看房方便，采光充足', '百商现代名苑  | 3室2厅 | 98.99平米 | 南 北 | 其他', '低楼层(共6层)2011年建板楼  -  兴园', '158万', '单价15962元/平米')
('https://image1.ljcdn.com/340100-inspection/16645407-c196-4eb8-9224-4a977766a216.jpg.296x216.jpg', '大蜀山脚下改善3房 采光充足 通透格局', '蓝鼎海棠湾  | 3室1厅 | 128.93平米 | 南 北 | 其他', '低楼层(共31层)2013年建塔楼  -  天乐', '244万', '单价18925元/平米')
('https://image1.ljcdn.com/340100-inspection/3ea5d70d-aba1-4657-afb2-b8f978f9d261.jpg.296x216.jpg', '淮矿馥邦天下 上下楼复式花园洋房 精装修 一层带院', '淮矿馥邦天下  | 3室2厅 | 171.38平米 | 南 北 | 其他', '低楼层(共9层)2015年建板楼  -  兴园', '308万', '单价17972元/平米')
('https://image1.ljcdn.com/340100-inspection/0fd1dfae-7c60-4a1e-931e-d7b67b85e4d6.jpg.296x216.jpg', '旭辉湖山源著洋房  两房朝南 采光好 南北通透', '旭辉湖山源著  | 4室2厅 | 115平米 | 南 | 其他', '中楼层(共8层)2016年建塔楼  -  蜀麓', '257万', '单价22348元/平米')
('https://image1.ljcdn.com/340100-inspection/f4122129-a998-4803-bfc6-a8ba0e77f1e9.jpg.296x216.jpg', '为你而选为你为家，华地紫园，视野棒，楼层好', '华地紫园  | 2室2厅 | 89平米 | 南 | 其他', '中楼层(共33层)2014年建塔楼  -  兴园', '175万', '单价19663元/平米')
('https://image1.ljcdn.com/340100-inspection/8e5f3593-871a-4d84-a50c-d6fbc0c416a6.jpg.296x216.jpg', '旭辉湖山源著 4室2厅 500万', '旭辉湖山源著   | 联排别墅 | 4室2厅 | 257.69平米 | 南 | 其他', '3层暂无数据  -  蜀麓', '500万', '单价19404元/平米')
('https://image1.ljcdn.com/340100-inspection/1195105b-4779-4f85-8d96-96863e820b11.jpg.296x216.jpg', '为你而选为你为家 园景天下 环境优美 配套齐全 采光好', '园景天下  | 3室2厅 | 142.71平米 | 南 北 | 毛坯', '高楼层(共11层)2000年建板楼  -  天乐', '230万', '单价16117元/平米')
('https://image1.ljcdn.com/340100-inspection/953f48cb-cb4e-4e0f-803f-be8159886be9.jpg.296x216.jpg', '华地紫园 南北向三居室 精装修 拎包住', '华地紫园  | 3室2厅 | 119.07平米 | 南 北 | 其他', '低楼层(共33层)2013年建塔楼  -  兴园', '210万', '单价17637元/平米')
('https://image1.ljcdn.com/340100-inspection/c1be1c7a-f77b-4f5a-8354-48dfe024146b.jpg.296x216.jpg', '为你而选 为你为家 绿城桂花园 精装自住顶楼复式', '绿城桂花园  | 5室2厅 | 216平米 | 南 | 其他', '高楼层(共5层)2004年建板楼  -  天乐', '390万', '单价18056元/平米')
('https://image1.ljcdn.com/340100-inspection/0a310e24-c332-4746-93f4-48117a4e92bf.jpg.296x216.jpg', '高新 安医附院 科大讯飞 创新产业园海亮九玺 毛坯三室', '海亮九玺  | 3室2厅 | 89.2平米 | 南 北 | 其他', '高楼层(共31层)2016年建塔楼  -  蜀麓', '160万', '单价17938元/平米')
('https://image1.ljcdn.com/340100-inspection/e58e4e66-bafe-4e39-8c56-37dd0aa8ef86.jpg.296x216.jpg', '为你而选为你为家 博澳丽苑 刚需两房 双阳台 采光充足', '博澳丽苑  | 2室2厅 | 97.96平米 | 南 | 其他', '中楼层(共31层)2009年建塔楼  -  天乐', '135万', '单价13782元/平米')
('https://image1.ljcdn.com/340100-inspection/33fc0db0-cdec-4936-9c55-085f4cde3269.jpg.296x216.jpg', '旭辉湖山源著 6室2厅 520万', '旭辉湖山源著   | 联排别墅 | 6室2厅 | 241.84平米 | 南 | 其他', '3层暂无数据  -  蜀麓', '520万', '单价21502元/平米')
('https://image1.ljcdn.com/340100-inspection/48bf7b1a-6d9a-41fa-a004-81da75dda16e.jpg.296x216.jpg', '保利梧桐语 3室2厅 150万', '保利梧桐语  | 3室2厅 | 91.77平米 | 南 北 | 其他', '低楼层(共29层)2016年建板楼  -  蜀麓', '150万', '单价16346元/平米')
('https://image1.ljcdn.com/340100-inspection/a4a0c196-accb-4c96-90da-df7a684fa52b.jpg.296x216.jpg', '为你而选为你为家 百商现代名苑 正气三房 全南采光好', '百商现代名苑  | 3室2厅 | 98.09平米 | 南 | 精装', '高楼层(共18层)2011年建塔楼  -  兴园', '172万', '单价17535元/平米')
('https://image1.ljcdn.com/340100-inspection/4e81e831-c99f-48ca-a565-c6d2e99fc1f5.jpg.296x216.jpg', '绿城桂花园 五室  大户型改善  位置好', '绿城桂花园  | 5室3厅 | 209.83平米 | 南 北 | 精装', '高楼层(共5层)板楼  -  天乐', '400万', '单价19064元/平米')
('https://image1.ljcdn.com/340100-inspection/18bc5834-3008-4d0a-a505-e8a1b6b3d1c0.jpg.296x216.jpg', '百商尚成 高新产证 价格实惠 业主诚心出售', '百商尚成  | 2室1厅 | 84.91平米 | 南 | 简装', '高楼层(共18层)2011年建板楼  -  兴园', '132万', '单价15546元/平米')
('https://image1.ljcdn.com/340100-inspection/test-1fe2ec10-e3bf-452a-ae04-5c3fcfd8ffc7.png.296x216.jpg', '幸福金色年华 3室2厅 190万', '幸福金色年华  | 3室2厅 | 110平米 | 南 北 | 简装', '高楼层(共26层)2016年建塔楼  -  长宁', '190万', '单价17273元/平米')
('https://image1.ljcdn.com/340100-inspection/0c8534ed-ae3d-43d7-a454-ea12b7654ff0.jpg.296x216.jpg', '徽商城市风景 楼层好 交通便利 诚心出售', '徽商城市风景  | 3室2厅 | 137.45平米 | 南 北 | 其他', '中楼层(共11层)2008年建塔楼  -  天乐', '234万', '单价17025元/平米')
('https://image1.ljcdn.com/340100-inspection/860845dd-9299-4890-877a-88e97f9920bf.jpg.296x216.jpg', '百商悦澜山 4室2厅 178万', '百商悦澜山  | 4室2厅 | 134.97平米 | 南 北 | 其他', '高楼层(共31层)2015年建塔楼  -  兴园', '178万', '单价13189元/平米')
('https://image1.ljcdn.com/340100-inspection/6b48c04b-00c8-4f17-bfbc-29daa847ed28.jpg.296x216.jpg', '为你而选为你为家 高新区瑞和山水居', '瑞和山水居  | 3室1厅 | 88.63平米 | 南 | 毛坯', '高楼层(共33层)2012年建塔楼  -  兴园', '116万', '单价13089元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload616dfbb6-9a11-49a0-92f5-0a278f28fef3.jpg.296x216.jpg', '为你而选为你为家 蓝鼎海棠湾 中间位置 视野采光不挡', '蓝鼎海棠湾  | 4室2厅 | 220.01平米 | 南 | 毛坯', '中楼层(共40层)2013年建塔楼  -  天乐', '355万', '单价16136元/平米')
('https://image1.ljcdn.com/340100-inspection/5a9b76d9-0ce0-41c8-928e-7743d3f411b4.jpg.296x216.jpg', '为你而选为你为家澜溪镇精装修四居室', '澜溪镇  | 4室2厅 | 171.12平米 | 南 北 | 精装', '中楼层(共11层)2008年建板楼  -  天乐', '370万', '单价21623元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload1e2eb728-8ab5-4f51-b23c-b036defcaafb.jpg.296x216.jpg', '精装房，采光充足，楼层好，配套成熟，生活便利', '兴园小区北区  | 2室1厅 | 79.91平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  兴园', '120万', '单价15017元/平米')
('https://image1.ljcdn.com/340100-inspection/bfa363d5-fcad-4c6b-84ca-33799a1beb4b.jpg.296x216.jpg', '和一花园  精装自住  南北通透  双阳台  诚心出售', '和一花园  | 2室2厅 | 95.94平米 | 南 北 | 其他', '中楼层(共6层)2010年建板楼  -  兴园', '153万', '单价15948元/平米')
('https://image1.ljcdn.com/340100-inspection/451c0588-9610-420a-a69b-35473cd55f4e.jpg.296x216.jpg', '博澳丽苑 满二年 诚心出售 采光无遮挡 满五唯一', '博澳丽苑  | 1室1厅 | 64.2平米 | 南 | 其他', '低楼层(共31层)2009年建塔楼  -  天乐', '90万', '单价14019元/平米')
('https://image1.ljcdn.com/340100-inspection/fbc4a28f-2222-4e64-96c7-45193ae04159.jpg.296x216.jpg', '保利西山林语 4室2厅 400万', '保利西山林语  | 4室2厅 | 158平米 | 南 北 | 其他', '高楼层(共8层)暂无数据  -  蜀麓', '400万', '单价25317元/平米')
('https://image1.ljcdn.com/340100-inspection/e65b7576-be32-4be4-a553-cf6619724624.jpg.296x216.jpg', '瑞和山水居 毛坯两房 单价低 户型好 采光充足', '瑞和山水居  | 2室1厅 | 86.1平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  兴园', '113万', '单价13125元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade469f87d-0a87-4e28-ac49-1249e32869af.jpg.296x216.jpg', '为你而选为你为家 兴园三居，空间布局合理  视野广阔', '兴园小区  | 3室1厅 | 102.55平米 | 南 | 毛坯', '中楼层(共6层)2005年建板楼  -  兴园', '141万', '单价13750元/平米')
('https://image1.ljcdn.com/340100-inspection/c24f1ead-2f6f-4d43-91ab-2b8a2c82bcc8.jpg.296x216.jpg', '为你而选为你为家和一花园顶楼复式 自住装修 诚心出售', '和一花园  | 3室2厅 | 144.97平米 | 南 北 | 其他', '高楼层(共6层)2010年建板楼  -  兴园', '210万', '单价14486元/平米')
('https://image1.ljcdn.com/340100-inspection/36c0bb83-726a-4ea6-8d62-1d1602658414.jpg.296x216.jpg', '精装三房，楼层好，采光好，满五唯一', '百商现代名苑  | 3室2厅 | 81.5平米 | 南 北 | 精装', '高楼层(共18层)2011年建塔楼  -  兴园', '150万', '单价18405元/平米')
('https://image1.ljcdn.com/340100-inspection/ee41cccf-27eb-47d1-b202-feb4edbee4ee.jpg.296x216.jpg', '御景城 3室1厅 218万', '御景城  | 3室1厅 | 117.04平米 | 南 北 | 其他', '低楼层(共33层)2016年建塔楼  -  兴园', '218万', '单价18627元/平米')
('https://image1.ljcdn.com/340100-inspection/0c302082-f114-4f79-8b8b-31e0a0f89b64.jpg.296x216.jpg', '花园洋房，品质小区，环境优美，四房正气户型', '旭辉湖山源著  | 4室2厅 | 125平米 | 南 北 | 其他', '中楼层(共7层)板楼  -  蜀麓', '300万', '单价24000元/平米')
('https://image1.ljcdn.com/340100-inspection/dbaef0d0-edc0-4ef3-9499-f0eb8f8bf93f.jpg.296x216.jpg', '为你而选为你为家 峰尚国际 精装两室 交通便利 楼层好', '峰尚国际  | 2室1厅 | 72.8平米 | 西北 | 其他', '低楼层(共31层)2012年建塔楼  -  天乐', '95万', '单价13050元/平米')
('https://image1.ljcdn.com/340100-inspection/4561f299-cf2c-4971-863a-ad60334f8085.jpg.296x216.jpg', '此房毛坯房，采光好，业主诚售，位置好！', '淮矿馥邦天下  | 3室2厅 | 140.27平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  兴园', '265万', '单价18893元/平米')
