('https://image1.ljcdn.com/440600-inspection/8b97ab30-9e17-43de-af59-711f2161936b.jpg.296x216.jpg', '利豪名郡 2室2厅 145万', '利豪名郡  | 2室2厅 | 83.7平米 | 南 | 简装', '高楼层(共17层)2011年建塔楼  -  澜石', '145万', '单价17324元/平米')
('https://image1.ljcdn.com/440600-inspection/f769b369-b797-4143-b095-471d7a44ce0f.jpg.296x216.jpg', '东方广场红宝石城 电梯三房出售', '东方广场  | 3室2厅 | 118平米 | 南 | 简装', '中楼层(共19层)2001年建塔楼  -  福升', '155万', '单价13136元/平米')
('https://image1.ljcdn.com/440600-inspection/e9f31f23-c868-48a8-8d72-0159ed75cd9e.jpg.296x216.jpg', '翠影华庭 2室2厅 110万', '翠影华庭  | 2室2厅 | 94.86平米 | 南 | 精装', '低楼层(共7层)2002年建板楼  -  张槎', '110万', '单价11597元/平米')
('https://image1.ljcdn.com/440600-inspection/c03d8b25-1a7e-4e14-8a70-58d3b40d4f1c.jpg.296x216.jpg', '阳光人家 3室2厅 160万', '阳光人家  | 3室2厅 | 99.7平米 | 北 | 其他', '中楼层(共11层)2002年建塔楼  -  季华', '160万', '单价16049元/平米')
('https://image1.ljcdn.com/440600-inspection/02be0f32-dc11-4b18-b4de-0a8f0b75ca2e.jpg.296x216.jpg', '恒福新城 毛坯出售', '恒福新城  | 4室2厅 | 156.56平米 | 北 | 毛坯', '低楼层(共18层)2010年建塔楼  -  朝安', '303万', '单价19354元/平米')
('https://image1.ljcdn.com/440600-inspection/0df95178-5a29-40cc-86ba-256b66726ef2.jpg.296x216.jpg', '汇博星辰 1室1厅 52万', '汇博星辰  | 1室1厅 | 38平米 | 西 | 简装', '中楼层(共19层)2007年建塔楼  -  唐园', '52万', '单价13685元/平米')
('https://image1.ljcdn.com/440600-inspection/1eb1f702-ddb6-412c-a2e3-732a9260df3b.jpg.296x216.jpg', '怡翠玫瑰 标配3房 南北通透', '怡翠玫瑰园  | 3室2厅 | 120.49平米 | 南 北 | 其他', '中楼层(共16层)2004年建塔楼  -  湖景', '228万', '单价18923元/平米')
('https://image1.ljcdn.com/440600-inspection/80385754-0a83-4f51-af5f-745c85b7e8e3.jpg.296x216.jpg', '绿地* 南北对流 中间楼层', '禅城绿地中心  | 4室2厅 | 128平米 | 南 | 毛坯', '低楼层(共33层)2015年建塔楼  -  朝安', '280万', '单价21875元/平米')
('https://image1.ljcdn.com/440600-inspection/1772fe29-3765-449e-8f02-18737cd5eb18.JPG.296x216.jpg', '季华金品 装修新净 两房两厅 方正看花', '季华金品尚院  | 2室2厅 | 87.81平米 | 东 | 精装', '高楼层(共18层)2012年建塔楼  -  朝安', '175万', '单价19930元/平米')
('https://image1.ljcdn.com/440600-inspection/9dbe2fcd-5d36-409b-8962-3f30d0998def.jpg.296x216.jpg', '购物中心 3室2厅 158万', '购物中心  | 3室2厅 | 154平米 | 东北 | 其他', '低楼层(共24层)1998年建塔楼  -  季华', '158万', '单价10260元/平米')
('https://image1.ljcdn.com/440600-inspection/53242f87-b5d5-4403-aee8-2ac19d40e5a9.jpg.296x216.jpg', '新鸿基泷景新出二房二厅', '泷景花园  | 2室2厅 | 88.86平米 | 北 | 毛坯', '低楼层(共39层)塔楼  -  澜石', '145万', '单价16318元/平米')
('https://image1.ljcdn.com/440600-inspection/7851722a-d7fc-4474-a518-28f3873b52fe.jpg.296x216.jpg', '新鸿基泷景 新装修三房 厅出阳台朝南', '泷景花园  | 3室2厅 | 159平米 | 南 | 其他', '低楼层(共22层)塔楼  -  澜石', '270万', '单价16982元/平米')
('https://image1.ljcdn.com/440600-inspection/7743a531-1254-4485-8a05-fb6fe4354833.jpg.296x216.jpg', '侨都花园 电梯三房两厅出售 格局方正 厅出阳台望花园', '侨都花园  | 3室2厅 | 110.35平米 | 南 | 精装', '低楼层(共8层)1999年建塔楼  -  季华', '150万', '单价13594元/平米')
('https://image1.ljcdn.com/440600-inspection/5c81afab-b3b9-4cc9-b1c6-043dbd13d7ae.jpg.296x216.jpg', '春晖阁 3室2厅 115万', '春晖阁  | 3室2厅 | 84.89平米 | 东南 | 其他', '高楼层(共11层)塔楼  -  张槎', '115万', '单价13547元/平米')
('https://image1.ljcdn.com/440600-inspection/52c5da6c-ca85-45cd-b5ba-33801c15b3b7.jpg.296x216.jpg', '世博嘉园三区 4室2厅 290万', '世博嘉园三区  | 4室2厅 | 170.52平米 | 南 | 其他', '低楼层(共17层)2010年建塔楼  -  魁奇', '290万', '单价17007元/平米')
('https://image1.ljcdn.com/440600-inspection/e0e00902-2455-440d-8511-71d4aa522a8a.jpg.296x216.jpg', '涟岸 2室2厅 130万', '涟岸  | 2室2厅 | 89.7平米 | 南 | 其他', '低楼层(共31层)2017年建塔楼  -  南庄', '130万', '单价14493元/平米')
('https://image1.ljcdn.com/440600-inspection/e6b798e4-5d2f-4ce7-ae97-fdd6a6c9f406.jpg.296x216.jpg', '保利香槟花园 3室2厅 148万', '保利香槟花园  | 3室2厅 | 88.72平米 | 北 | 其他', '低楼层(共16层)2012年建塔楼  -  张槎', '148万', '单价16682元/平米')
('https://image1.ljcdn.com/440600-inspection/341f7b50-87c5-4165-9fac-ec9cd88e03af.jpg.296x216.jpg', '怡景丽苑 靓装修3房 南向 采光充足 格局方正', '怡景丽苑  | 3室2厅 | 139.99平米 | 南 | 其他', '中楼层(共11层)2004年建塔楼  -  魁奇', '210万', '单价15002元/平米')
('https://image1.ljcdn.com/440600-inspection/23e9c3db-fac1-4524-b528-0ec066bb80a0.jpg.296x216.jpg', '唐园东一街 3室3厅 188万', '唐园东一街  | 3室3厅 | 156.53平米 | 南 北 | 其他', '高楼层(共9层)1996年建塔楼  -  唐园', '188万', '单价12011元/平米')
('https://image1.ljcdn.com/440600-inspection/7e1b317f-9f4f-4aae-a43e-3f8728b28f6f.jpg.296x216.jpg', '怡翠玫瑰园 电梯3房 可做复式 交通方便', '怡翠玫瑰园  | 3室2厅 | 119.64平米 | 北 | 简装', '高楼层(共16层)2004年建塔楼  -  湖景', '215万', '单价17971元/平米')
('https://image1.ljcdn.com/440600-inspection/950359ce-15f3-4b0e-8481-d0033f83a7e8.JPG.296x216.jpg', '金地九珑璧二期 三房两厅 成熟小区', '金地九珑璧  | 3室2厅 | 128.37平米 | 西 | 其他', '中楼层(共25层)2011年建塔楼  -  湖景', '300万', '单价23370元/平米')
('https://image1.ljcdn.com/440600-inspection/6d91d0f9-fe7d-4f70-aad1-b54b30d9c8f6.jpg.296x216.jpg', '海景大厦 3室2厅 115万', '海景大厦  | 3室2厅 | 104.95平米 | 西南 | 简装', '低楼层(共30层)2000年建塔楼  -  澜石', '115万', '单价10958元/平米')
('https://image1.ljcdn.com/440600-inspection/5e33dde5-e9c5-4943-99e0-4432637b08ae.jpg.296x216.jpg', '榴苑五街 3室2厅 95万', '榴苑五街  | 3室2厅 | 127.2平米 | 南 | 其他', '高楼层(共8层)板楼  -  石湾', '95万', '单价7469元/平米')
('https://image1.ljcdn.com/440600-inspection/6d10460e-bd45-4698-95dc-d3885ca4df27.jpg.296x216.jpg', '普君新城华府 开发商装修 南向未入住', '普君新城华府  | 2室2厅 | 74平米 | 南 | 其他', '中楼层(共31层)2015年建塔楼  -  祖庙', '163万', '单价22028元/平米')
('https://image1.ljcdn.com/440600-inspection/e9e65336-2fc2-49eb-85e3-105fc6a3d218.jpg.296x216.jpg', '文华尚领 3室2厅 180万', '文华尚领  | 3室2厅 | 95.01平米 | 南 北 | 精装', '中楼层(共17层)2012年建塔楼  -  南桂西', '180万', '单价18946元/平米')
('https://image1.ljcdn.com/440600-inspection/fe199d3c-6c8e-4729-b6e5-b7086282e3d6.jpg.296x216.jpg', '绿景轩 电梯二房 格局方正 南向 阳台看花园 远离马路', '绿景轩  | 2室2厅 | 108.6平米 | 南 | 精装', '低楼层(共19层)2002年建塔楼  -  绿景', '153万', '单价14089元/平米')
('https://image1.ljcdn.com/440600-inspection/565a12fd-8434-41d7-9ec9-f022c4e0a78b.jpg.296x216.jpg', '越秀可逸新势力 4室2厅 254万', '越秀可逸新势力  | 4室2厅 | 127平米 | 北 | 精装', '中楼层(共32层)2016年建塔楼  -  南桂西', '254万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/40d88a3a-1bcd-4740-80a4-fdebcf6d09a3.jpg.296x216.jpg', '流行前线 四房出售', '流行前线E座  | 4室2厅 | 167平米 | 南 北 | 其他', '高楼层(共8层)2004年建塔楼  -  同济', '160万', '单价9581元/平米')
('https://image1.ljcdn.com/440600-inspection/13cd8d35-d6d1-4200-ad0b-d1d1c2e020e2.jpg.296x216.jpg', '涟岸 2室2厅 113万', '涟岸  | 2室2厅 | 89.08平米 | 南 | 毛坯', '低楼层(共31层)2017年建塔楼  -  南庄', '113万', '单价12686元/平米')
('https://image1.ljcdn.com/440600-inspection/33478073-d9c7-4016-955c-990b78d8b6b9.jpg.296x216.jpg', '星海岸城市花园，满5不唯一。无户口，无按揭。', '星海岸城市花园  | 2室2厅 | 82平米 | 南 | 精装', '低楼层(共16层)2012年建塔楼  -  澜石', '155万', '单价18903元/平米')
('https://image1.ljcdn.com/440600-inspection/82e41df4-017b-4471-bb5b-c2deaa0f3bff.jpg.296x216.jpg', '怡翠玫瑰园 4室2厅 320.6万', '怡翠玫瑰园  | 4室2厅 | 160.3平米 | 北 | 精装', '高楼层(共28层)2004年建塔楼  -  湖景', '320.6万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/6f7b1599-7927-4504-828b-ac60aecb9853.jpg.296x216.jpg', '普君新城  交通便利 配套完善', '普君新城普祥路8号  | 3室2厅 | 95平米 | 南 | 简装', '低楼层(共29层)2010年建塔楼  -  祖庙', '180万', '单价18948元/平米')
('https://image1.ljcdn.com/440600-inspection/c6ed2b10-2dae-4b93-9b89-631805cf2de4.JPG.296x216.jpg', '鸿业城市花园 4室2厅 210万', '鸿业城市花园  | 4室2厅 | 97平米 | 南 | 精装', '低楼层(共23层)2011年建塔楼  -  湖景', '210万', '单价21650元/平米')
('https://image1.ljcdn.com/440600-inspection/f9b1f63d-127c-4238-b8a5-f2b7b0a86450.jpg.296x216.jpg', '港宏世家 3室2厅 150万', '港宏世家  | 3室2厅 | 89平米 | 东南 | 其他', '低楼层(共31层)2017年建塔楼  -  南庄', '150万', '单价16854元/平米')
('https://image1.ljcdn.com/440600-inspection/5fd39434-570c-42b7-98b5-6b8f64e7ca83.jpg.296x216.jpg', '鸿业城市花园 2室2厅 172万', '鸿业城市花园  | 2室2厅 | 87.98平米 | 南 | 其他', '中楼层(共25层)2011年建塔楼  -  湖景', '172万', '单价19550元/平米')
('https://image1.ljcdn.com/440600-inspection/d8095ce1-95f2-419f-b7e1-e19b23b592c2.jpg.296x216.jpg', '汇博星辰 4室2厅 135万', '汇博星辰  | 4室2厅 | 85.4平米 | 东南 | 毛坯', '低楼层(共16层)2007年建塔楼  -  唐园', '135万', '单价15808元/平米')
('https://image1.ljcdn.com/440600-inspection/c2d6db2b-f1f9-4d26-a3b2-4f2c777674eb.jpg.296x216.jpg', '恒福新城 四房带两主套', '恒福新城  | 4室2厅 | 141.61平米 | 北 | 简装', '低楼层(共14层)2010年建塔楼  -  朝安', '257万', '单价18149元/平米')
('https://image1.ljcdn.com/440600-inspection/1e1bb522-98ec-40c6-9dc9-15c4b57dd6cf.jpg.296x216.jpg', '港宏世家 3室2厅 130万', '港宏世家  | 3室2厅 | 89平米 | 北 | 其他', '低楼层(共31层)2017年建塔楼  -  南庄', '130万', '单价14607元/平米')
('https://image1.ljcdn.com/440600-inspection/921fff67-a002-4e60-8c61-58c1a75ea69b.jpg.296x216.jpg', '东方水岸 东向2房 不靠路 满五年唯一', '东方水岸  | 2室2厅 | 84平米 | 东 | 精装', '中楼层(共11层)2007年建塔楼  -  澜石', '145万', '单价17262元/平米')
('https://image1.ljcdn.com/440600-inspection/52fb536a-8402-436e-8cf1-9def06866152.jpg.296x216.jpg', '汇银城市花园 2室2厅 160万', '汇银城市花园  | 2室2厅 | 96.7平米 | 南 北 | 精装', '中楼层(共12层)2000年建塔楼  -  魁奇', '160万', '单价16547元/平米')
('https://image1.ljcdn.com/440600-inspection/3eee7c69-5e0d-4e39-9476-468f179eea55.jpg.296x216.jpg', '天湖郦都3期 5室2厅 850万', '天湖郦都3期  | 5室2厅 | 260.02平米 | 南 | 其他', '高楼层(共25层)2005年建塔楼  -  湖景', '850万', '单价32690元/平米')
('https://image1.ljcdn.com/440600-inspection/2a08b257-9d05-4a4d-aa1f-0195e4771cc8.jpg.296x216.jpg', '玫瑰园 3室2厅 125万', '玫瑰园  | 3室2厅 | 97平米 | 南 北 | 其他', '中楼层(共8层)2001年建塔楼  -  绿景', '125万', '单价12887元/平米')
('https://image1.ljcdn.com/440600-inspection/a4232682-fd54-4b50-83da-13030f9cdd92.jpg.296x216.jpg', '惠景城小区惠景一街 2室1厅 105万', '惠景城小区惠景一街  | 2室1厅 | 79平米 | 南 | 其他', '高楼层(共8层)1998年建塔楼  -  绿景', '105万', '单价13292元/平米')
('https://image1.ljcdn.com/440600-inspection/cf83c485-074a-4c86-b811-a9aa49458849.JPG.296x216.jpg', '恒福新城 2室2厅 117万', '恒福新城  | 2室2厅 | 60.27平米 | 东北 | 其他', '低楼层(共22层)2010年建塔楼  -  朝安', '117万', '单价19413元/平米')
('https://image1.ljcdn.com/440600-inspection/3efc5925-8c07-4ba0-a1b5-747ba0f3d708.jpg.296x216.jpg', '泷景花园 4室2厅 370万', '泷景花园  | 4室2厅 | 185.88平米 | 南 西南 | 毛坯', '高楼层(共22层)塔楼  -  澜石', '370万', '单价19906元/平米')
('https://image1.ljcdn.com/440600-inspection/a1eaa008-83a6-4213-a7ab-7e8f9188bfaa.jpg.296x216.jpg', '逸彩美寓 2室2厅 114.8万', '逸彩美寓  | 2室2厅 | 77.99平米 | 西南 | 精装', '高楼层(共16层)2010年建塔楼  -  同济', '114.8万', '单价14720元/平米')
('https://image1.ljcdn.com/440600-inspection/13af2260-ef09-4939-b5a4-3e890ba92f1e.jpg.296x216.jpg', '凯德城脉 2室2厅 125万', '凯德城脉  | 2室2厅 | 69.24平米 | 北 | 其他', '中楼层(共26层)2015年建塔楼  -  魁奇', '125万', '单价18054元/平米')
('https://image1.ljcdn.com/440600-inspection/1af68d6d-72d0-4863-a5a9-f8bfe597b17a.jpg.296x216.jpg', '岭南天地尚苑 3室2厅 280万', '岭南天地尚苑  | 3室2厅 | 131.12平米 | 北 | 其他', '低楼层(共42层)2015年建塔楼  -  祖庙', '280万', '单价21355元/平米')
('https://image1.ljcdn.com/440600-inspection/103932ec-7a84-4415-a4fd-29c06655b049.jpg.296x216.jpg', '雅居乐曼克山 交通方便', '佛山雅居乐花园曼克顿山  | 3室2厅 | 89平米 | 南 | 毛坯', '低楼层(共28层)2010年建塔楼  -  魁奇', '176万', '单价19776元/平米')
('https://image1.ljcdn.com/440600-inspection/c8d24790-e466-42e6-bb86-6dba5f8d5c0b.JPG.296x216.jpg', '金地珑悦花园 实用3房', '金地珑悦  | 3室2厅 | 89平米 | 南 | 精装', '低楼层(共34层)2017年建塔楼  -  湖景', '175万', '单价19663元/平米')
('https://image1.ljcdn.com/440600-inspection/2552795e-6fdc-40d1-93c5-a9b672fc6a21.jpg.296x216.jpg', '东建世纪广场 2室2厅 140万', '东建世纪广场  | 2室2厅 | 100.28平米 | 南 北 | 其他', '中楼层(共15层)2003年建塔楼  -  季华', '140万', '单价13961元/平米')
('https://image1.ljcdn.com/440600-inspection/50736042-8519-473d-bd3b-5636995b539a.jpg.296x216.jpg', '世纪康城 3室2厅 220万', '世纪康城  | 3室2厅 | 127平米 | 南 | 其他', '低楼层(共12层)2004年建塔楼  -  魁奇', '220万', '单价17323元/平米')
('https://image1.ljcdn.com/440600-inspection/7bf18a20-a7aa-4013-a5d1-58ded75d5d29.jpg.296x216.jpg', '花园街小区 3室2厅 110万', '花园街小区  | 3室2厅 | 102平米 | 东北 | 精装', '中楼层(共8层)板楼  -  唐园', '110万', '单价10785元/平米')
('https://image1.ljcdn.com/440600-inspection/3e35f326-3797-41ae-a1ab-5d134e29f28c.jpg.296x216.jpg', '华宝世家雅苑 3室1厅 123万', '华宝世家雅苑  | 3室1厅 | 84.34平米 | 南 | 其他', '中楼层(共17层)塔楼  -  石湾', '123万', '单价14584元/平米')
('https://image1.ljcdn.com/440600-inspection/9dd038fd-1a02-4572-869b-8562e1d7933c.JPG.296x216.jpg', '望花园好安静 重要业主城心出售 看好房价格还可谈', '中海文华熙岸  | 2室2厅 | 84.97平米 | 东 | 精装', '低楼层(共34层)2010年建塔楼  -  湖景', '197万', '单价23185元/平米')
('https://image1.ljcdn.com/440600-inspection/fb3442d6-fbb0-499c-9e80-04b917183499.jpg.296x216.jpg', '青柯街小区 2室2厅 79万', '青柯街小区  | 2室2厅 | 90.45平米 | 南 北 | 简装', '低楼层(共9层)板楼  -  张槎', '79万', '单价8735元/平米')
('https://image1.ljcdn.com/440600-inspection/34adc989-8e15-4d99-8245-e8bb944d7455.jpg.296x216.jpg', '碧桂园城市花园 毛坯3房 南向望江望花园 中楼层采光好', '碧桂园城市花园南区  | 3室2厅 | 98平米 | 南 | 毛坯', '中楼层(共32层)2013年建板塔结合  -  澜石', '165万', '单价16837元/平米')
('https://image1.ljcdn.com/440600-inspection/653271d2-76de-4908-8a77-6eec70170a47.JPG.296x216.jpg', '恒福新城 5室2厅 395万', '恒福新城  | 5室2厅 | 188平米 | 南 | 精装', '低楼层(共22层)2010年建塔楼  -  朝安', '395万', '单价21011元/平米')
('https://image1.ljcdn.com/440600-inspection/7df52955-4755-4d01-b4b3-ab44c3a260d9.jpg.296x216.jpg', '季华金品尚院 2室2厅 140万', '季华金品尚院  | 2室2厅 | 76.42平米 | 北 | 其他', '低楼层(共17层)2012年建塔楼  -  朝安', '140万', '单价18320元/平米')
