('https://image1.ljcdn.com/210100-inspection/65ec54f2-3154-44dd-93c3-ebdb1517d5e8.jpg.296x216.jpg', '人杰水岸一期多层 精装修 业主自住婚装', '中铁人杰水岸一期  | 3室2厅 | 81.53平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '75万', '单价9200元/平米')
('https://image1.ljcdn.com/210100-inspection/636660ea-cf64-4559-a0a8-59b7604a92ce.jpg.296x216.jpg', '华强城 3室2厅 90万', '华强城  | 3室2厅 | 116.49平米 | 南 北 | 毛坯', '高楼层(共31层)板楼  -  沈北新区', '90万', '单价7726元/平米')
('https://image1.ljcdn.com/210100-inspection/8cfc6928-11f3-4f83-8ab5-174c00a6f47d.jpg.296x216.jpg', '阳光书香园 满五唯一 南北花园16平 六层 不挡光', '阳光书香园  | 2室1厅 | 63.38平米 | 南 北 | 其他', '低楼层(共5层)暂无数据  -  沈北新区', '45万', '单价7101元/平米')
('https://image1.ljcdn.com/210100-inspection/60e56310-eec3-4e21-af23-b27e842250ca.jpg.296x216.jpg', '富城俪景嘉园 信基城旁 精装两室 拎包入住', '富城俪景嘉园  | 2室2厅 | 88.61平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '49万', '单价5530元/平米')
('https://image1.ljcdn.com/210100-inspection/17e92237-5793-429a-8760-549e8bde09de.jpg.296x216.jpg', '龙湖香醍漫步 5室3厅 290万', '龙湖香醍漫步  | 5室3厅 | 324.14平米 | 南 北 | 毛坯', '低楼层(共3层)暂无数据  -  沈北新区', '290万', '单价8947元/平米')
('https://image1.ljcdn.com/210100-inspection/c59208c9-93c9-40d5-8f7f-5a3255aefb14.jpg.296x216.jpg', '华强城 精装修四室两卫 楼层好视野好 没住过', '华强城  | 4室2厅 | 129.19平米 | 南 北 | 其他', '高楼层(共18层)板楼  -  沈北新区', '125万', '单价9676元/平米')
('https://image1.ljcdn.com/210100-inspection/87ffde4d-986f-49a0-9be2-e82136ee505d.jpg.296x216.jpg', '沈北新区 蒲河路人杰水岸一期 大户型 很好的装修', '中铁人杰水岸一期  | 3室2厅 | 160.13平米 | 南 北 | 其他', '低楼层(共5层)2014年建板楼  -  沈北新区', '290万', '单价18111元/平米')
('https://image1.ljcdn.com/210100-inspection/1ad1a25b-89ed-4bd0-9ade-286681203d6c.jpg.296x216.jpg', '荣盛香缇澜山 3室2厅 81万', '荣盛香缇澜山  | 3室2厅 | 89.47平米 | 南 北 | 其他', '中楼层(共16层)2015年建板楼  -  沈北新区', '81万', '单价9054元/平米')
('https://image1.ljcdn.com/210100-inspection/27afdb20-2436-4fae-959e-c0aeb3fcdd18.jpg.296x216.jpg', '人杰水岸二期 1室1厅 40万', '人杰水岸二期  | 1室1厅 | 49.78平米 | 南 | 其他', '低楼层(共27层)板楼  -  沈北新区', '40万', '单价8036元/平米')
('https://image1.ljcdn.com/210100-inspection/c8057c1b-3aaa-4e60-a494-1b9bbe2b1106.jpg.296x216.jpg', '精装好房三室拎包入住荣盛盛京绿洲', '荣盛盛京绿洲  | 3室1厅 | 98.17平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  沈北新区', '67万', '单价6825元/平米')
('https://image1.ljcdn.com/210100-inspection/305d1b46-1eae-483f-866e-9ad986f9c3e6.jpg.296x216.jpg', '碧桂园太阳城 爱尚美寓 精装修 家电赠送 一室一厅', '碧桂园太阳城  | 1室1厅 | 60.78平米 | 南 | 其他', '中楼层(共26层)暂无数据  -  沈北新区', '40万', '单价6582元/平米')
('https://image1.ljcdn.com/210100-inspection/b89993b3-1607-47a0-9051-ba069dfbec92.jpg.296x216.jpg', '城建美庭 3室2厅 72万', '城建美庭  | 3室2厅 | 100.53平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  沈北新区', '72万', '单价7163元/平米')
('https://image1.ljcdn.com/210100-inspection/c253f4f3-cae8-408c-be42-48f4e4bfbaeb.jpg.296x216.jpg', '中铁人杰水岸一期 1室0厅 36万', '中铁人杰水岸一期  | 1室0厅 | 50.1平米 | 南 | 其他', '中楼层(共27层)板楼  -  沈北新区', '36万', '单价7186元/平米')
('https://image1.ljcdn.com/210100-inspection/8c866be1-6cf7-4cc5-a035-0d24d3fb2e0b.jpg.296x216.jpg', '中铁人杰水岸 精装修 三室两厅 交通便利', '人杰水岸二期  | 3室2厅 | 143.14平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '162万', '单价11318元/平米')
('https://image1.ljcdn.com/210100-inspection/869b5b67-132d-440a-ae17-a8a705cf7c4c.jpg.296x216.jpg', '人杰水岸一期多层五楼 精装修 满五唯一', '中铁人杰水岸一期  | 3室2厅 | 105.66平米 | 南 北 | 简装', '高楼层(共6层)2014年建板楼  -  沈北新区', '95万', '单价8992元/平米')
('https://image1.ljcdn.com/210100-inspection/d1875131-4a53-4f0f-a29a-f022d719f5d9.jpg.296x216.jpg', '太湖国际花园 人杰湖公园站 交通便利 积家 大学城', '太湖国际花园  | 2室1厅 | 91.5平米 | 南 北 | 其他', '高楼层(共8层)暂无数据  -  沈北新区', '84万', '单价9181元/平米')
('https://image1.ljcdn.com/210100-inspection/ffd2b0e1-a7c2-41ec-a833-6d789361b5ad.jpg.296x216.jpg', '三盛颐景御园 3室2厅 73.5万', '三盛颐景御园  | 3室2厅 | 116.01平米 | 南 北 | 其他', '低楼层(共32层)板楼  -  沈北新区', '73.5万', '单价6336元/平米')
('https://image1.ljcdn.com/210100-inspection/ab63aa90-d769-450d-ad13-a023f282c6a2.jpg.296x216.jpg', '太湖国际花园 红星美凯龙盛京医院旁 交通便利', '太湖国际花园  | 3室2厅 | 85.28平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '85万', '单价9968元/平米')
('https://image1.ljcdn.com/210100-inspection/d5a673fb-c63a-46ab-be75-0bb829bd03ce.jpg.296x216.jpg', '太湖国际花园 3室2厅 71万', '太湖国际花园  | 3室2厅 | 113平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '71万', '单价6284元/平米')
('https://image1.ljcdn.com/210100-inspection/62808f49-fa2f-4c87-af52-d3ca4de14ec1.jpg.296x216.jpg', '超高绿化，居民素质高，让您居住舒心', '融创唐轩公馆  | 1室1厅 | 53.86平米 | 东北 | 精装', '中楼层(共32层)暂无数据  -  沈北新区', '46万', '单价8541元/平米')
('https://image1.ljcdn.com/210100-inspection/f2d28a19-98a3-4436-8124-4e202aa3df84.jpg.296x216.jpg', '沈阳雅居乐花园c地块，高层中间楼层，现房即买即住。', '沈阳雅居乐花园C地块  | 3室2厅 | 115.55平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '98万', '单价8482元/平米')
('https://image1.ljcdn.com/210100-inspection/17be99bc-7473-4158-8269-1f6b601f59ae.jpg.296x216.jpg', '惊爆价！！华强城 经典 1室,业主急售、精装修拎包入住', '华强城  | 1室1厅 | 47.77平米 | 西 | 精装', '低楼层(共31层)板楼  -  沈北新区', '39万', '单价8165元/平米')
('https://image1.ljcdn.com/210100-inspection/7af31674-e184-4495-8b8e-5ee0772ee484.jpg.296x216.jpg', '碧桂园太阳城 2室1厅 70万', '碧桂园太阳城  | 2室1厅 | 101.3平米 | 南 西 北 | 其他', '高楼层(共28层)暂无数据  -  沈北新区', '70万', '单价6911元/平米')
('https://image1.ljcdn.com/210100-inspection/c31bb702-d976-46ba-a784-923d3bfe68e1.jpg.296x216.jpg', '龙腾碧玉湾 1室0厅 18.5万', '龙腾碧玉湾  | 1室0厅 | 35.15平米 | 东北 | 其他', '中楼层(共26层)暂无数据  -  沈北新区', '18.5万', '单价5264元/平米')
('https://image1.ljcdn.com/210100-inspection/8cc10570-15c7-4f32-8772-a2bdd4d6dc66.jpg.296x216.jpg', '沈北太湖国际花园 人杰湖D铁口 盛京一院 红星美凯龙', '太湖国际花园  | 4室3厅 | 118.74平米 | 南 西 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '74万', '单价6233元/平米')
('https://image1.ljcdn.com/210100-inspection/7fdb30bf-5fb2-4675-bfac-f29c71115e3f.jpg.296x216.jpg', '太湖国际花园 1室1厅 35万', '太湖国际花园  | 1室1厅 | 32.57平米 | 南 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '35万', '单价10747元/平米')
('https://image1.ljcdn.com/210100-inspection/cde00aaa-c28c-4f6c-909f-52c25c627cbd.jpg.296x216.jpg', '步阳江南甲第二期 精装修 三室户型 拎包即住 不临街', '步阳江南甲第  | 3室1厅 | 105.99平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  沈北新区', '85万', '单价8020元/平米')
('https://image1.ljcdn.com/210100-inspection/c9037c50-04d9-4ed9-8e7b-791ab7033fd8.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室1厅 37万', '沈阳雅居乐花园A地块  | 1室1厅 | 41.06平米 | 南 | 其他', '低楼层(共29层)板楼  -  沈北新区', '37万', '单价9012元/平米')
('https://image1.ljcdn.com/210100-inspection/61b241ad-5101-4a3a-918c-d08e0ffd25f8.jpg.296x216.jpg', '沈阳雅居乐花园C地块 3室2厅 168万', '沈阳雅居乐花园C地块  | 3室2厅 | 142.2平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  沈北新区', '168万', '单价11815元/平米')
('https://image1.ljcdn.com/210100-inspection/eb0cf43f-86e4-4bbc-b718-e08ab5a684a8.jpg.296x216.jpg', '沈阳雅居乐花园A地块 1室2厅 47万', '沈阳雅居乐花园A地块  | 1室2厅 | 46.95平米 | 东南 | 其他', '高楼层(共29层)2016年建板楼  -  沈北新区', '47万', '单价10011元/平米')
('https://image1.ljcdn.com/210100-inspection/49d676ee-c596-47b1-ad5a-cc7f99d9d8eb.jpg.296x216.jpg', '蒲河路 人杰二期 南北通透  拎包入住', '人杰水岸二期  | 3室2厅 | 124平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '121万', '单价9759元/平米')
('https://image1.ljcdn.com/210100-inspection/d3e716af-e2fb-44c1-bfd5-021bb1c87d10.jpg.296x216.jpg', '人杰水岸二期 1室1厅 38万', '人杰水岸二期  | 1室1厅 | 49.78平米 | 南 | 其他', '高楼层(共27层)板楼  -  沈北新区', '38万', '单价7634元/平米')
('https://image1.ljcdn.com/210100-inspection/188966e3-cc42-4f8f-97ae-f2370e146eb7.jpg.296x216.jpg', '步阳江南甲第 4室2厅 96万', '步阳江南甲第  | 4室2厅 | 117.8平米 | 南 北 | 精装', '低楼层(共6层)2016年建板楼  -  沈北新区', '96万', '单价8150元/平米')
('https://image1.ljcdn.com/210100-inspection/e5b5622e-01ba-44a0-987d-3c6dbf727424.jpg.296x216.jpg', '汇置上都 比售楼处还便宜 .优质小区', '汇置尚都  | 2室2厅 | 102平米 | 南 北 | 毛坯', '高楼层(共4层)2018年建板楼  -  沈北新区', '83万', '单价8138元/平米')
('https://image1.ljcdn.com/210100-inspection/c773d5be-038d-4521-ad7f-0a596f923e1f.jpg.296x216.jpg', '三室两厅两卫 满五  不临街 采光充足', '碧桂园太阳城  | 3室2厅 | 148.82平米 | 南 北 | 简装', '中楼层(共32层)暂无数据  -  沈北新区', '85万', '单价5712元/平米')
('https://image1.ljcdn.com/210100-inspection/13e8bb90-1b5f-48da-9c4b-d6076e90bc1b.jpg.296x216.jpg', '沈北道义红星美凯龙 商铺 人杰湖口信基城 盛京医院旁', '荣盛香缇澜山  | 2室2厅 | 77.73平米 | 南 北 | 其他', '高楼层(共18层)2015年建板楼  -  沈北新区', '55.5万', '单价7141元/平米')
('https://image1.ljcdn.com/210100-inspection/976e1c2e-01c5-48db-9855-f2ff93d5d1e7.jpg.296x216.jpg', '碧桂园太阳城 2室2厅 50万', '碧桂园太阳城  | 2室2厅 | 81.72平米 | 西南 北 | 其他', '低楼层(共30层)暂无数据  -  沈北新区', '50万', '单价6119元/平米')
('https://image1.ljcdn.com/210100-inspection/2aa9b81e-4d84-4bd9-baed-b2c6c351f86e.jpg.296x216.jpg', '碧桂园太阳城 蒲河路D铁口 盛京一院 交通便利', '碧桂园太阳城  | 3室2厅 | 139.6平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '87万', '单价6233元/平米')
('https://image1.ljcdn.com/210100-inspection/2565bb17-132a-4257-acc6-1ec343da102d.jpg.296x216.jpg', '无贷款，满二，送部分家电，东南朝向，交通方便', '华强城  | 1室1厅 | 54平米 | 东南 | 简装', '高楼层(共31层)板楼  -  沈北新区', '48万', '单价8889元/平米')
('https://image1.ljcdn.com/210100-inspection/4c4dfaf0-84f5-4066-ba7a-654c61191e52.jpg.296x216.jpg', '碧桂园太阳城 1室1厅 50万', '碧桂园太阳城  | 1室1厅 | 64.11平米 | 东北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '50万', '单价7800元/平米')
('https://image1.ljcdn.com/210100-inspection/2ab29350-513f-4047-ad17-27e17483a581.jpg.296x216.jpg', '荣盛香缇澜山 3室2厅 73万', '荣盛香缇澜山  | 3室2厅 | 101.68平米 | 南 北 | 精装', '高楼层(共18层)2015年建板楼  -  沈北新区', '73万', '单价7180元/平米')
('https://image1.ljcdn.com/210100-inspection/0c327e08-8fd7-4cb5-b948-47537753ca3b.jpg.296x216.jpg', '亚泰城 2室2厅 98万', '亚泰城  | 2室2厅 | 89.03平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  沈北新区', '98万', '单价11008元/平米')
('https://image1.ljcdn.com/210100-inspection/1c8198fa-9c09-4ab5-bf21-fbab0eae94f9.jpg.296x216.jpg', '沈北新区正风路荣盛盛京绿洲 一室一厅 标准南北户型', '荣盛盛京绿洲  | 1室1厅 | 58.87平米 | 南 北 | 其他', '高楼层(共15层)2016年建板楼  -  沈北新区', '48万', '单价8154元/平米')
('https://image1.ljcdn.com/210100-inspection/8699c687-588d-4582-a673-cea2f9ffc1c5.jpg.296x216.jpg', '碧桂园太阳城 3室2厅 85万', '碧桂园太阳城  | 3室2厅 | 139.94平米 | 南 北 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '85万', '单价6075元/平米')
('https://image1.ljcdn.com/210100-inspection/14218557-50f8-4315-8e00-32887e855882.jpg.296x216.jpg', '雅居乐花园A地块，一室精装，拎包即住。', '沈阳雅居乐花园A地块  | 1室1厅 | 52.76平米 | 西 | 简装', '高楼层(共29层)板楼  -  沈北新区', '43万', '单价8151元/平米')
('https://image1.ljcdn.com/210100-inspection/37a10c18-f7c3-42f3-8f93-251176c4da11.jpg.296x216.jpg', '碧桂园太阳城 3室2厅 87万', '碧桂园太阳城  | 3室2厅 | 143.94平米 | 南 北 | 其他', '高楼层(共32层)暂无数据  -  沈北新区', '87万', '单价6045元/平米')
('https://image1.ljcdn.com/210100-inspection/a6890df2-c700-4265-a1d2-ca3684f76407.jpg.296x216.jpg', '龙湖原府 3室2厅 105万', '龙湖原府  | 3室2厅 | 111.26平米 | 南 | 其他', '中楼层(共7层)2013年建板楼  -  沈北新区', '105万', '单价9438元/平米')
('https://image1.ljcdn.com/210100-inspection/7d6e7738-625d-480d-b879-ff075f65ba72.jpg.296x216.jpg', '道义太湖国际花园 精装修 婚房 中间楼层 采光良好', '太湖国际花园  | 2室2厅 | 51.22平米 | 东北 | 其他', '低楼层(共24层)暂无数据  -  沈北新区', '44.5万', '单价8689元/平米')
('https://image1.ljcdn.com/210100-inspection/bb3561fa-8afb-4301-a048-dc21e11636e9.jpg.296x216.jpg', '沈北道义商圈 城建美庭三室标准户型 交通便利', '城建美庭  | 3室1厅 | 100平米 | 东 南 北 | 其他', '高楼层(共18层)暂无数据  -  沈北新区', '72万', '单价7200元/平米')
('https://image1.ljcdn.com/210100-inspection/a99de303-16a7-4ffb-9167-195012269d0e.jpg.296x216.jpg', '地雅新居 2室1厅 42.5万', '地雅新居  | 2室1厅 | 81平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  沈北新区', '42.5万', '单价5247元/平米')
('https://image1.ljcdn.com/210100-inspection/c12a6f61-cded-44a4-bd87-004b27d58ad2.jpg.296x216.jpg', '荣信森林里 3室2厅 75万', '荣信森林里  | 3室2厅 | 94.92平米 | 东 南 北 | 简装', '高楼层(共6层)暂无数据  -  沈北新区', '75万', '单价7902元/平米')
('https://image1.ljcdn.com/210100-inspection/08343d22-d9a2-433a-be13-f076bbb62f41.jpg.296x216.jpg', '三盛颐景御园 3室2厅 68万', '三盛颐景御园  | 3室2厅 | 116.01平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  沈北新区', '68万', '单价5862元/平米')
('https://image1.ljcdn.com/210100-inspection/3d71dae0-301e-456f-8b99-e39e945555d1.jpg.296x216.jpg', '融创唐轩公馆 3室2厅 115万', '融创唐轩公馆  | 3室2厅 | 108平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  沈北新区', '115万', '单价10649元/平米')
('https://image1.ljcdn.com/210100-inspection/64daad35-95f8-4bb1-aab7-c7d77442ca63.jpg.296x216.jpg', '融创唐轩公馆 2室1厅 61万', '融创唐轩公馆  | 2室1厅 | 59.55平米 | 东北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '61万', '单价10244元/平米')
('https://image1.ljcdn.com/210100-inspection/c3db8203-1aa2-4db5-b817-6811cf3fe698.jpg.296x216.jpg', '蒲河路 人杰水岸一期 南北通透 采光良好', '中铁人杰水岸一期  | 2室2厅 | 87.06平米 | 南 北 | 其他', '高楼层(共6层)2014年建板楼  -  沈北新区', '63万', '单价7237元/平米')
('https://image1.ljcdn.com/210100-inspection/be8f6782-7bd3-4ef4-b2e7-baf72363a5f4.jpg.296x216.jpg', '中铁人杰水岸一期 3室2厅 245万', '中铁人杰水岸一期  | 3室2厅 | 168.66平米 | 南 西 北 | 其他', '低楼层(共5层)暂无数据  -  沈北新区', '245万', '单价14527元/平米')
('https://image1.ljcdn.com/210100-inspection/4e6e4c8e-2179-437e-8bb7-74d27f403234.jpg.296x216.jpg', '沈北新区七星大街 碧桂园太阳城 精装修三室两厅两卫', '碧桂园太阳城  | 3室2厅 | 148.82平米 | 南 北 | 其他', '中楼层(共32层)暂无数据  -  沈北新区', '115万', '单价7728元/平米')
('https://image1.ljcdn.com/210100-inspection/74e83a2e-ac1b-4e3e-bd08-91bbf1fe61e2.jpg.296x216.jpg', '中央大学城 3室2厅 58万', '中央大学城  | 3室2厅 | 112.06平米 | 南 北 | 其他', '高楼层(共7层)暂无数据  -  沈北新区', '58万', '单价5176元/平米')
('https://image1.ljcdn.com/210100-inspection/b60c289a-1217-4565-b258-7148dedbca0f.jpg.296x216.jpg', '道义大街 龙腾碧玉湾 精装修两室 南北通透', '龙腾碧玉湾  | 2室2厅 | 80.13平米 | 南 北 | 其他', '中楼层(共5层)暂无数据  -  沈北新区', '56万', '单价6989元/平米')
('https://image1.ljcdn.com/210100-inspection/de9c492c-516e-4488-9a5c-cc0b3a350d05.jpg.296x216.jpg', '中铁人杰水岸一期 1室0厅 36万', '中铁人杰水岸一期  | 1室0厅 | 50.1平米 | 南 | 其他', '中楼层(共27层)板楼  -  沈北新区', '36万', '单价7186元/平米')
('https://image1.ljcdn.com/210100-inspection/426bea12-9230-4a01-a998-c48d7b774b39.jpg.296x216.jpg', '中央大学城 3室1厅 63万', '中央大学城  | 3室1厅 | 111.66平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  沈北新区', '63万', '单价5643元/平米')
('https://image1.ljcdn.com/210100-inspection/2963a124-2bf6-483f-bf81-3c1e8e059d57.jpg.296x216.jpg', '三盛颐景御园 2室2厅 48.5万', '三盛颐景御园  | 2室2厅 | 77.46平米 | 南 北 | 其他', '低楼层(共32层)板楼  -  沈北新区', '48.5万', '单价6262元/平米')
('https://image1.ljcdn.com/210100-inspection/6c085a1c-ea32-46ee-86dc-c0c4c5e13611.jpg.296x216.jpg', '蒲丰路 三室两厅一厨一卫  采光良好', '荣盛盛京绿洲  | 3室2厅 | 94.88平米 | 南 北 | 其他', '低楼层(共18层)2016年建板楼  -  沈北新区', '65万', '单价6851元/平米')
