('https://image1.ljcdn.com/340100-inspection/f6c652fb-13e0-4b6b-9275-9ce8211bc4d4.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 127万', '北城世纪城泽徽苑  | 3室2厅 | 96.97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '127万', '单价13097元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0aab3770-f783-44fc-967b-b4627668cc0a.jpg.296x216.jpg', '北城世纪城泽徽苑 4室2厅 160万', '北城世纪城泽徽苑  | 4室2厅 | 128.8平米 | 南 北 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '160万', '单价12423元/平米')
('https://image1.ljcdn.com/340100-inspection/9a617d4c-60f4-4ab0-acd0-6c6399aea652.JPG.296x216.jpg', '北城世纪城瑞徽苑 3室2厅 115万', '北城世纪城瑞徽苑  | 3室2厅 | 93.28平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '115万', '单价12329元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadee506840-87bf-4ef1-a3ce-82847390d6b2.JPG.296x216.jpg', '恒泰城品阿奎利亚 4室2厅 156万', '恒泰城品阿奎利亚  | 4室2厅 | 123.81平米 | 南 北 | 其他', '中楼层(共18层)2011年建塔楼  -  北城', '156万', '单价12600元/平米')
('https://image1.ljcdn.com/340100-inspection/e043b413-dc4b-4cb8-ab4a-5ab12d1335dc.JPG.296x216.jpg', '帝徽苑 满两年 西边户 南北双阳台 简装 业主诚售', '北城世纪城帝徽苑  | 3室2厅 | 93.93平米 | 南 北 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '115万', '单价12244元/平米')
('https://image1.ljcdn.com/340100-inspection/a2201969-3fe7-46d1-b405-91ddc241fc82.JPG.296x216.jpg', '国徽苑简装大两房高楼层采光好满两年 送车位', '国徽苑  | 2室2厅 | 91.08平米 | 南 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '106万', '单价11639元/平米')
('https://image1.ljcdn.com/340100-inspection/9124dd46-f8bb-458d-85a3-748512cd1c00.JPG.296x216.jpg', '北城世纪城吉徽苑 3室2厅 110万', '北城世纪城吉徽苑  | 3室2厅 | 93.18平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '110万', '单价11806元/平米')
('https://image1.ljcdn.com/340100-inspection/737d87f1-83a7-4078-96f0-fb8258701998.JPG.296x216.jpg', '恒泰米兰堡 2室2厅 86万', '恒泰米兰堡  | 2室2厅 | 79平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  北城', '86万', '单价10887元/平米')
('https://image1.ljcdn.com/340100-inspection/fa934a9c-1c4a-426d-a2a8-9344743e1a93.JPG.296x216.jpg', '恒大帝景，三房朝南户型，自带精装修，中上楼层。', '恒大帝景  | 3室2厅 | 121.22平米 | 南 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '148万', '单价12210元/平米')
('https://image1.ljcdn.com/340100-inspection/a8f18af5-f6aa-477f-b9d8-b26b050e0427.JPG.296x216.jpg', '恒泰悦城 3室2厅 103万', '恒泰悦城  | 3室2厅 | 65平米 | 南 北 | 其他', '高楼层(共19层)2012年建塔楼  -  北城', '103万', '单价15847元/平米')
('https://image1.ljcdn.com/340100-inspection/c895cb19-3979-4af9-b5ad-e232118cd19e.JPG.296x216.jpg', '鑫徽苑 3室2厅 120万', '鑫徽苑  | 3室2厅 | 94.14平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '120万', '单价12747元/平米')
('https://image1.ljcdn.com/340100-inspection/b09d5482-7a03-411d-b2b0-3a9df58b75b8.JPG.296x216.jpg', '金地雅苑 2室2厅 90万', '金地雅苑  | 2室2厅 | 83.75平米 | 南 | 其他', '低楼层(共6层)暂无数据  -  北城', '90万', '单价10747元/平米')
('https://image1.ljcdn.com/340100-inspection/da1ca8ff-189a-447d-a736-779211d9719f.JPG.296x216.jpg', '京城国际 3室2厅 115万', '京城国际  | 3室2厅 | 85.37平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  北城', '115万', '单价13471元/平米')
('https://image1.ljcdn.com/340100-inspection/6a8fa4aa-7e7d-4a86-a66c-b3f6caff1469.jpg.296x216.jpg', '融科梧桐里南北通透大四房高楼层采光好小区物业好', '融科梧桐里  | 4室2厅 | 125.11平米 | 南 北 | 其他', '高楼层(共35层)2017年建塔楼  -  北城', '150万', '单价11990元/平米')
('https://image1.ljcdn.com/340100-inspection/ddf9164e-0b3e-443b-bf9b-bc4840c6dc0f.JPG.296x216.jpg', '东边户 楼层好，满二年，精装未住，带车位，有钥匙', '北城世纪城康徽苑  | 3室2厅 | 106平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  北城', '128万', '单价12076元/平米')
('https://image1.ljcdn.com/340100-inspection/bb011744-3ab2-49c5-afb5-81a4cad6b39e.JPG.296x216.jpg', '光明北部湾边户毛坯三房楼层好全天采光', '北部湾双子星座  | 4室2厅 | 94.72平米 | 南 北 | 其他', '中楼层(共34层)塔楼  -  北城', '100万', '单价10558元/平米')
('https://image1.ljcdn.com/340100-inspection/3a9e85f1-9ce3-40e7-b0fb-b9915714e6cf.jpg.296x216.jpg', '恒泰米兰堡 3室2厅 120万', '恒泰米兰堡  | 3室2厅 | 106.98平米 | 南 | 其他', '高楼层(共15层)2012年建塔楼  -  北城', '120万', '单价11218元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf3f132ec-b76f-4e7e-b359-08b33969d4a9.JPG.296x216.jpg', '京祥名都 3室2厅 94万', '京祥名都  | 3室2厅 | 89.07平米 | 南 | 毛坯', '高楼层(共34层)板塔结合  -  北城', '94万', '单价10554元/平米')
('https://image1.ljcdn.com/340100-inspection/f332765a-58fb-4a7c-8791-0132d1b48164.jpg.296x216.jpg', '金色里程 2室2厅 113万', '金色里程  | 2室2厅 | 87.46平米 | 南 | 其他', '中楼层(共33层)塔楼  -  北城', '113万', '单价12921元/平米')
('https://image1.ljcdn.com/340100-inspection/68cff672-ee07-48b2-a0fc-b1c9adf83efd.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 140万', '北城世纪城泽徽苑  | 3室2厅 | 126.7平米 | 南 北 | 其他', '中楼层(共34层)2015年建塔楼  -  北城', '140万', '单价11050元/平米')
('https://image1.ljcdn.com/340100-inspection/51d9a211-4756-4f3c-b542-edd2071df33b.jpg.296x216.jpg', '北城世纪城吉徽苑简装三房满两年业主诚心出售', '北城世纪城吉徽苑  | 3室2厅 | 93.16平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '110万', '单价11808元/平米')
('https://image1.ljcdn.com/340100-inspection/864b1ab6-b47f-4c57-8c1d-6f3256dcced9.JPG.296x216.jpg', '京城国际毛坯三房高楼层采光好品质小区', '京城国际  | 3室2厅 | 85.14平米 | 南 | 其他', '高楼层(共33层)2014年建塔楼  -  北城', '100万', '单价11746元/平米')
('https://image1.ljcdn.com/340100-inspection/43d058ce-0ed2-43ca-8f1a-fc27c9c88c1b.JPG.296x216.jpg', '新慧金水岸南区 4室2厅 140万', '新慧金水岸南区  | 4室2厅 | 143平米 | 南 | 其他', '中楼层(共18层)2011年建板塔结合  -  北城', '140万', '单价9791元/平米')
('https://image1.ljcdn.com/340100-inspection/bf787806-3b7b-4733-b3ae-b68bfb452eb5.JPG.296x216.jpg', '北城世纪城雅徽苑 5室2厅 206万', '北城世纪城雅徽苑  | 5室2厅 | 195.76平米 | 南 | 其他', '高楼层(共32层)暂无数据  -  北城', '206万', '单价10524元/平米')
('https://image1.ljcdn.com/340100-inspection/abbe76d4-abd7-4171-a0f0-7bfd2256de9f.JPG.296x216.jpg', '吉徽苑三房简装满两年 户型方正', '北城世纪城吉徽苑  | 3室2厅 | 93.16平米 | 南 | 其他', '低楼层(共30层)2013年建塔楼  -  北城', '107万', '单价11486元/平米')
('https://image1.ljcdn.com/340100-inspection/414e8c68-b77e-4a8e-9816-9ca614dba678.JPG.296x216.jpg', '为你而选为你为家，腾徽苑边户三房精装修。', '北城世纪城腾徽苑  | 3室2厅 | 98.72平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '114万', '单价11548元/平米')
('https://image1.ljcdn.com/340100-inspection/169b9f3f-0047-43b2-967f-dcee31797468.JPG.296x216.jpg', '新慧金水岸南区边户毛坯三房南北通透双阳台', '新慧金水岸南区  | 3室2厅 | 127.87平米 | 南 北 | 其他', '低楼层(共18层)2011年建板塔结合  -  北城', '105万', '单价8212元/平米')
('https://image1.ljcdn.com/340100-inspection/7d0858b5-fcec-480a-92ff-ec8e8a6d9278.JPG.296x216.jpg', '国强丰瑞园 满五年唯一 没尾款 朝南采光好 看房方便', '国强丰瑞园  | 3室1厅 | 87.81平米 | 南 | 其他', '中楼层(共11层)板楼  -  北城', '87万', '单价9908元/平米')
('https://image1.ljcdn.com/340100-inspection/1868f65c-d73c-4fe7-bff9-00db6fc200d8.JPG.296x216.jpg', '新慧金水岸南区 三居室 湖景房 满两年', '新慧金水岸南区  | 3室2厅 | 127.87平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  北城', '108万', '单价8447元/平米')
('https://image1.ljcdn.com/340100-inspection/7708e80f-82c1-4f18-a2ec-75633e040638.JPG.296x216.jpg', '恒泰阿奎利亚北区 3室2厅 132万', '恒泰阿奎利亚北区  | 3室2厅 | 131.42平米 | 南 | 其他', '高楼层(共6层)板楼  -  北城', '132万', '单价10045元/平米')
('https://image1.ljcdn.com/340100-inspection/693e70e1-8d2d-4e51-9a5f-8b67a19b010d.JPG.296x216.jpg', '国徽苑 4室2厅 150万', '国徽苑  | 4室2厅 | 129.63平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '150万', '单价11572元/平米')
('https://image1.ljcdn.com/340100-inspection/ffbfd39f-21a3-4631-9f50-55f17782377f.JPG.296x216.jpg', '半岛1号 3室2厅 165万', '半岛1号  | 3室2厅 | 116.17平米 | 南 | 其他', '高楼层(共9层)2012年建塔楼  -  北城', '165万', '单价14204元/平米')
('https://image1.ljcdn.com/340100-inspection/e2c80e88-a27d-4934-b605-457b576373ed.JPG.296x216.jpg', '融科梧桐里简装四房南北通透中间楼层采光好小区物业好', '融科梧桐里  | 4室2厅 | 122.68平米 | 南 北 | 其他', '中楼层(共35层)2017年建塔楼  -  北城', '140万', '单价11412元/平米')
('https://image1.ljcdn.com/340100-inspection/7e53a3cb-83ed-4351-b5b2-c1f9232c7c04.JPG.296x216.jpg', '阿奎利亚三居室 中装采光好楼层好 满五年 诚心出售', '阿奎利亚上学苑  | 3室2厅 | 111.7平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '120万', '单价10744元/平米')
('https://image1.ljcdn.com/340100-inspection/78000667-d903-4d76-9c3b-fed70eb8feb9.JPG.296x216.jpg', '北城世纪城颐徽苑 4室2厅 147万', '北城世纪城颐徽苑  | 4室2厅 | 141平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '147万', '单价10426元/平米')
('https://image1.ljcdn.com/340100-inspection/c69d3000-6538-49be-9256-7323c5bd2ec4.JPG.296x216.jpg', '力高共和城 3室2厅 118万', '力高共和城  | 3室2厅 | 104.8平米 | 东 | 其他', '低楼层(共21层)2012年建塔楼  -  北城', '118万', '单价11260元/平米')
('https://image1.ljcdn.com/340100-inspection/ad222843-ade9-42fc-b0ca-5c8082f04d9c.jpg.296x216.jpg', '力高共和城 2室1厅 96万', '力高共和城  | 2室1厅 | 71.06平米 | 南 | 其他', '高楼层(共21层)2012年建塔楼  -  北城', '96万', '单价13510元/平米')
('https://image1.ljcdn.com/340100-inspection/8cc004ff-eb34-4fd8-a18e-d82cc07ef00d.jpg.296x216.jpg', '北城世纪城泽徽苑 3室2厅 135万', '北城世纪城泽徽苑  | 3室2厅 | 128平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '135万', '单价10547元/平米')
('https://image1.ljcdn.com/340100-inspection/8ce32e0b-6029-467e-9542-3894bc48f2d7.JPG.296x216.jpg', '恒泰米兰堡 2室2厅 106万', '恒泰米兰堡  | 2室2厅 | 89.86平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  北城', '106万', '单价11797元/平米')
('https://image1.ljcdn.com/340100-inspection/e1c0b1ae-8105-4c02-958f-ebed80058720.JPG.296x216.jpg', '文一北郡，纯毛坯，满两年，带车位', '文一名门北郡  | 3室2厅 | 88.66平米 | 南 | 其他', '低楼层(共29层)塔楼  -  北城', '109万', '单价12295元/平米')
('https://image1.ljcdn.com/340100-inspection/6a4871bf-bac4-4e82-89ed-fc7226297779.JPG.296x216.jpg', '世纪城二期泽徽苑，中等偏上装修，小三房，带车位。', '北城世纪城泽徽苑  | 3室2厅 | 92.44平米 | 南 北 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '110万', '单价11900元/平米')
('https://image1.ljcdn.com/340100-inspection/cf5eb49d-3d0f-4d57-af62-72870fc88086.JPG.296x216.jpg', '吉徽苑精装满两年南北双阳台西边户型', '北城世纪城吉徽苑  | 3室2厅 | 95.48平米 | 南 北 | 精装', '高楼层(共33层)2013年建塔楼  -  北城', '120万', '单价12569元/平米')
('https://image1.ljcdn.com/340100-inspection/baa54e2a-2173-4fc2-a4dd-e55ce3287737.JPG.296x216.jpg', '新慧金水岸南区 2室2厅 85万', '新慧金水岸南区  | 2室2厅 | 80.77平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  北城', '85万', '单价10524元/平米')
('https://image1.ljcdn.com/340100-inspection/51e90dfe-774b-4e6d-84c8-db147c5347ec.JPG.296x216.jpg', '恒大帝景 2室2厅 108万', '恒大帝景  | 2室2厅 | 84.12平米 | 南 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '108万', '单价12839元/平米')
('https://image1.ljcdn.com/340100-inspection/20ec0d80-1e9e-42d4-9f58-3b0e278e1729.JPG.296x216.jpg', '北城中环城 2室2厅 105万', '北城中环城  | 2室2厅 | 96.83平米 | 南 北 | 其他', '低楼层(共33层)2010年建塔楼  -  北城', '105万', '单价10844元/平米')
('https://image1.ljcdn.com/340100-inspection/ecabe6bd-c445-4cd1-bf7a-b09b2e8822e6.JPG.296x216.jpg', '北城世纪城吉徽苑 3室2厅 108万', '北城世纪城吉徽苑  | 3室2厅 | 93.16平米 | 南 | 其他', '高楼层(共30层)2013年建塔楼  -  北城', '108万', '单价11593元/平米')
('https://image1.ljcdn.com/340100-inspection/e28af4c7-b89b-48fb-9a9c-872e053fd900.JPG.296x216.jpg', '新慧金水岸南区 3室2厅 103万', '新慧金水岸南区  | 3室2厅 | 123平米 | 南 | 其他', '低楼层(共18层)2011年建板塔结合  -  北城', '103万', '单价8374元/平米')
('https://image1.ljcdn.com/340100-inspection/857360e0-7149-4172-8c81-80ef9860c82f.JPG.296x216.jpg', '恒大帝景 小区环境好   精装修', '恒大帝景  | 3室2厅 | 130.47平米 | 南 北 | 其他', '高楼层(共33层)2015年建塔楼  -  北城', '142万', '单价10884元/平米')
('https://image1.ljcdn.com/340100-inspection/52f976b3-fc02-4019-8c52-ca30761000d2.JPG.296x216.jpg', '京冠北城华府 3室1厅 106万', '京冠北城华府  | 3室1厅 | 88.88平米 | 南 | 其他', '低楼层(共28层)暂无数据  -  北城', '106万', '单价11927元/平米')
('https://image1.ljcdn.com/340100-inspection/b1234cbf-641e-4e9a-97a6-008b659790b6.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 98万', '新慧金水岸北区  | 3室2厅 | 103.64平米 | 南 北 | 其他', '低楼层(共33层)塔楼  -  北城', '98万', '单价9456元/平米')
('https://image1.ljcdn.com/340100-inspection/aa46a173-1f46-4b52-9fed-320d06e49dac.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 148万', '北城世纪城泽徽苑  | 3室2厅 | 128.35平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '148万', '单价11531元/平米')
('https://image1.ljcdn.com/340100-inspection/93c831c8-5c7f-4281-a180-4fa118398473.jpg.296x216.jpg', '和昌都汇华郡毛坯两房中间楼层采光好视野好小区物业好', '和昌都汇华郡  | 2室2厅 | 75.03平米 | 东 南 | 其他', '中楼层(共34层)2014年建塔楼  -  北城', '100万', '单价13329元/平米')
('https://image1.ljcdn.com/340100-inspection/3c5c00fe-8821-4e2e-9387-6198267e0cf6.JPG.296x216.jpg', '世纪城二期泽徽苑三房，中间楼层，带车位，满两年。', '北城世纪城泽徽苑  | 3室2厅 | 92.44平米 | 南 北 | 其他', '中楼层(共33层)2015年建塔楼  -  北城', '110万', '单价11900元/平米')
('https://image1.ljcdn.com/340100-inspection/cce2bc5c-df1e-4a2d-ae67-474b004bc1f4.JPG.296x216.jpg', '半岛1号 3室2厅 128万', '半岛1号  | 3室2厅 | 112平米 | 南 | 其他', '低楼层(共25层)2012年建塔楼  -  北城', '128万', '单价11429元/平米')
('https://image1.ljcdn.com/340100-inspection/4fafa08a-5032-4533-a2a4-f9b4364da9f0.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 113万', '新慧金水岸北区  | 3室2厅 | 118.6平米 | 南 | 其他', '高楼层(共18层)塔楼  -  北城', '113万', '单价9528元/平米')
('https://image1.ljcdn.com/340100-inspection/a1e67be3-ae8e-4a93-8747-07bb7b937ec1.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 115万', '新慧金水岸北区  | 3室2厅 | 122.68平米 | 南 | 其他', '中楼层(共27层)塔楼  -  北城', '115万', '单价9374元/平米')
('https://image1.ljcdn.com/340100-inspection/3a748650-55df-4e52-b6fd-0a83a07d25ec.JPG.296x216.jpg', '北城世纪城泽徽苑 3室2厅 170万', '北城世纪城泽徽苑  | 3室2厅 | 129.31平米 | 南 | 其他', '中楼层(共32层)2015年建塔楼  -  北城', '170万', '单价13147元/平米')
('https://image1.ljcdn.com/340100-inspection/47e0f9e7-07e3-4241-beab-863e8c85a607.JPG.296x216.jpg', '颐徽苑精品2房位置好，视野好，出售', '北城世纪城颐徽苑  | 2室2厅 | 67.6平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  北城', '86万', '单价12722元/平米')
('https://image1.ljcdn.com/340100-inspection/414ced41-3987-4fd9-a791-85bb109f4673.jpg.296x216.jpg', '阿奎利亚城果 2室2厅 87万', '阿奎利亚城果  | 2室2厅 | 78.9平米 | 南 | 其他', '低楼层(共18层)塔楼  -  北城', '87万', '单价11027元/平米')
('https://image1.ljcdn.com/340100-inspection/ca0dee8f-edb0-4a60-b32b-b973b318f423.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 110万', '新慧金水岸北区  | 3室2厅 | 115.6平米 | 南 | 其他', '高楼层(共33层)塔楼  -  北城', '110万', '单价9516元/平米')
('https://image1.ljcdn.com/340100-inspection/55ccc9cb-9e58-4b68-8202-8edd4de72626.JPG.296x216.jpg', '力高共和城两居室 满两年 中间楼层', '力高共和城  | 2室2厅 | 79.13平米 | 南 | 精装', '中楼层(共33层)2012年建塔楼  -  北城', '98万', '单价12385元/平米')
('https://image1.ljcdn.com/340100-inspection/7255fc62-a782-4b5c-88dd-93e2a6d53ee1.JPG.296x216.jpg', '北城世纪城冠徽苑 3室2厅 123万', '北城世纪城冠徽苑  | 3室2厅 | 104.51平米 | 南 | 其他', '低楼层(共33层)2012年建塔楼  -  北城', '123万', '单价11770元/平米')
('https://image1.ljcdn.com/340100-inspection/d066fdf7-b389-4f86-a332-e9e37a8030f7.JPG.296x216.jpg', '新慧金水岸北区 3室1厅 75万', '新慧金水岸北区  | 3室1厅 | 85平米 | 南 | 其他', '低楼层(共27层)塔楼  -  北城', '75万', '单价8824元/平米')
('https://image1.ljcdn.com/340100-inspection/041fe1d1-c563-4bbe-841b-4e8f17e32379.jpg.296x216.jpg', '恒大帝景 3室2厅 173万', '恒大帝景  | 3室2厅 | 138.5平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  北城', '173万', '单价12491元/平米')
('https://image1.ljcdn.com/340100-inspection/e4af3e6d-53da-409a-9ba5-1dc817d45784.JPG.296x216.jpg', '融科梧桐里 4室2厅 126万', '融科梧桐里  | 4室2厅 | 107.63平米 | 南 北 | 毛坯', '低楼层(共34层)2017年建塔楼  -  北城', '126万', '单价11707元/平米')
('https://image1.ljcdn.com/340100-inspection/cc3e4f04-7e85-415e-8cab-1667544bf588.JPG.296x216.jpg', '京城国际 3室1厅 126万', '京城国际  | 3室1厅 | 95.06平米 | 南 | 其他', '中楼层(共33层)2014年建塔楼  -  北城', '126万', '单价13255元/平米')
('https://image1.ljcdn.com/340100-inspection/3ebe0c60-5539-488a-95d6-8d1a9d960a62.JPG.296x216.jpg', '北城世纪城瑞徽苑 3室2厅 103万', '北城世纪城瑞徽苑  | 3室2厅 | 93.22平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  北城', '103万', '单价11050元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload741fb3c2-773f-40a5-b07f-514ca97bb178.JPG.296x216.jpg', '恒泰米兰堡 3室2厅 120万', '恒泰米兰堡  | 3室2厅 | 102平米 | 南 | 其他', '中楼层(共18层)2012年建塔楼  -  北城', '120万', '单价11765元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf068e48d-9c19-4d5a-8dd1-8e6340e3aa76.JPG.296x216.jpg', '圣联科瑞北郡 3室1厅 102万', '圣联科瑞北郡  | 3室1厅 | 119.08平米 | 南 | 其他', '中楼层(共26层)塔楼  -  北城', '102万', '单价8566元/平米')
('https://image1.ljcdn.com/340100-inspection/d6baeaf0-169b-4dd9-beba-d1acb2a92552.JPG.296x216.jpg', '北城世纪城颐徽苑 3室2厅 120万', '北城世纪城颐徽苑  | 3室2厅 | 94.5平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  北城', '120万', '单价12699元/平米')
('https://image1.ljcdn.com/340100-inspection/714a3be4-62ba-40a6-9e46-14ec51942c0b.jpg.296x216.jpg', '阿奎利亚上学苑 2室1厅 95万', '阿奎利亚上学苑  | 2室1厅 | 82平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  北城', '95万', '单价11586元/平米')
('https://image1.ljcdn.com/340100-inspection/841fd394-ad4a-43a8-a3c4-2ef543de4347.JPG.296x216.jpg', '北城世纪城康徽苑 3室2厅 112万', '北城世纪城康徽苑  | 3室2厅 | 96平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  北城', '112万', '单价11667元/平米')
('https://image1.ljcdn.com/340100-inspection/ec4ed2a1-f0b1-4a4f-9341-f3b5061ac6c6.JPG.296x216.jpg', '半岛1号 3室1厅 152万', '半岛1号  | 3室1厅 | 121.89平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  北城', '152万', '单价12471元/平米')
('https://image1.ljcdn.com/340100-inspection/56b43619-4a19-447c-bc47-135a77184f6c.JPG.296x216.jpg', '北城世纪城吉徽苑 2室2厅 89万', '北城世纪城吉徽苑  | 2室2厅 | 77.9平米 | 南 | 其他', '低楼层(共33层)2013年建塔楼  -  北城', '89万', '单价11425元/平米')
('https://image1.ljcdn.com/340100-inspection/1a39b974-d42f-4a88-b555-79ac22a4614a.JPG.296x216.jpg', '新慧金水岸北区 3室2厅 90万', '新慧金水岸北区  | 3室2厅 | 103.64平米 | 南 北 | 其他', '低楼层(共33层)塔楼  -  北城', '90万', '单价8684元/平米')
('https://image1.ljcdn.com/340100-inspection/b2e23f9c-8a4a-4b68-a8c0-475c8b50af6a.jpg.296x216.jpg', '国徽苑 3室2厅 108万', '国徽苑  | 3室2厅 | 93平米 | 南 北 | 其他', '高楼层(共33层)2013年建塔楼  -  北城', '108万', '单价11613元/平米')
('https://image1.ljcdn.com/340100-inspection/7a04af11-7196-4f7a-85d5-635b9829f8ca.JPG.296x216.jpg', '阿奎利亚理想家 3室2厅 120万', '阿奎利亚理想家  | 3室2厅 | 95.75平米 | 南 | 其他', '中楼层(共11层)2013年建板塔结合  -  北城', '120万', '单价12533元/平米')
('https://image1.ljcdn.com/340100-inspection/c1028982-0280-496b-9324-efe03e4b3700.JPG.296x216.jpg', '新慧金水岸南区 毛坯 满两年 南北双阳台 中间楼层', '新慧金水岸南区  | 4室2厅 | 143.24平米 | 南 北 | 其他', '中楼层(共18层)2011年建板塔结合  -  北城', '118万', '单价8238元/平米')
