('https://image1.ljcdn.com/440600-inspection/0f1800d2-f314-450d-845b-3beaa9b01a93.jpg.296x216.jpg', '精装修3房 大阳台 送入户花园 家私电器全送  满五年', '金河水岸  | 3室2厅 | 109.21平米 | 北 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '148万', '单价13552元/平米')
('https://image1.ljcdn.com/440600-inspection/75d7ff43-0662-47e4-b245-56891eec1fa1.JPG.296x216.jpg', '岭岚花园，顺德客运站，顺德职业中专，', '岭岚花园华翠轩  | 2室1厅 | 83平米 | 西北 | 简装', '低楼层(共11层)2006年建塔楼  -  大良西北区', '99万', '单价11928元/平米')
('https://image1.ljcdn.com/440600-inspection/eec940f5-2643-41af-8c13-529331dc2994.jpg.296x216.jpg', '明日华府 配套成熟', '明日华府  | 5室2厅 | 234平米 | 南 北 | 毛坯', '中楼层(共23层)2011年建塔楼  -  大良东区', '420万', '单价17949元/平米')
('https://image1.ljcdn.com/440600-inspection/31dd88da-ace6-4794-9fbd-56001d2d6bb4.JPG.296x216.jpg', '荣崋豪苑 2室2厅 125万', '荣崋豪苑  | 2室2厅 | 90.4平米 | 西南 | 其他', '中楼层(共6层)暂无数据  -  伦教', '125万', '单价13828元/平米')
('https://image1.ljcdn.com/440600-inspection/7d9cc7a3-66ca-4efa-814d-6093ca54f51c.jpg.296x216.jpg', '威斯广场雍景轩 3室2厅 120万', '威斯广场雍景轩  | 3室2厅 | 79.93平米 | 南 北 | 精装', '高楼层(共17层)2005年建塔楼  -  乐从', '120万', '单价15014元/平米')
('https://image1.ljcdn.com/440600-inspection/23f8a370-8ae5-4f59-83c2-cd8d884acf91.jpg.296x216.jpg', '博澳城 3室2厅 165万', '博澳城  | 3室2厅 | 120.47平米 | 南 | 其他', '低楼层(共17层)2009年建塔楼  -  大良北区', '165万', '单价13697元/平米')
('https://image1.ljcdn.com/440600-inspection/7f42a453-f2e7-442f-8ee5-abec5ad68aaf.jpg.296x216.jpg', '金河水岸 3室2厅 188万', '金河水岸  | 3室2厅 | 153平米 | 南 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '188万', '单价12288元/平米')
('https://image1.ljcdn.com/440600-inspection/d0e60db5-0666-4462-a26b-b2fcd4eaddcf.jpg.296x216.jpg', '上品轩 3室2厅 215万', '上品轩  | 3室2厅 | 121平米 | 东 西 | 简装', '39层2014年建板塔结合  -  大良中区', '215万', '单价17769元/平米')
('https://image1.ljcdn.com/440600-inspection/f663fced-5eb7-47cd-b304-41ed91835f89.jpg.296x216.jpg', '大良大围散盘 7室3厅 398万', '大良大围散盘  | 7室3厅 | 384平米 | 南 | 精装', '4层板楼  -  大良东区', '398万', '单价10365元/平米')
('https://image1.ljcdn.com/440600-inspection/9520ef44-9604-46bc-84f8-248c92b72db7.jpg.296x216.jpg', '金河水岸 3室2厅 204万', '金河水岸  | 3室2厅 | 157平米 | 南 | 精装', '中楼层(共26层)2009年建塔楼  -  乐从', '204万', '单价12994元/平米')
('https://image1.ljcdn.com/440600-inspection/663c9d97-6a8a-452e-9280-604c86e811b3.jpg.296x216.jpg', '博澳城 3室2厅 155万', '博澳城  | 3室2厅 | 118平米 | 北 | 其他', '高楼层(共24层)板楼  -  大良北区', '155万', '单价13136元/平米')
('https://image1.ljcdn.com/440600-inspection/a14a01bf-b115-40a3-9469-42f416056e75.jpg.296x216.jpg', '康城尚域尚美苑 4室2厅 178万', '康城尚域尚美苑  | 4室2厅 | 126平米 | 东 | 精装', '高楼层(共7层)2005年建塔楼  -  大良东区', '178万', '单价14127元/平米')
('https://image1.ljcdn.com/440600-inspection/7b783a52-81b0-4f05-ac7b-eead112980e9.jpg.296x216.jpg', '顺联新城花园 3室2厅 134万', '顺联新城花园  | 3室2厅 | 92平米 | 东北 | 其他', '低楼层(共16层)2010年建板塔结合  -  乐从', '134万', '单价14566元/平米')
('https://image1.ljcdn.com/440600-inspection/8a82fb9b-f217-4309-a128-ad7ab19bf556.jpg.296x216.jpg', '湖畔湾豪庭二期朗晴轩 3室2厅 138万', '湖畔湾豪庭二期朗晴轩  | 3室2厅 | 115平米 | 南 北 | 其他', '中楼层(共7层)2006年建塔楼  -  乐从', '138万', '单价12000元/平米')
('https://image1.ljcdn.com/440600-inspection/18a3dcac-8055-45bd-b607-58eab9558f79.jpg.296x216.jpg', '继业楼  交通便利', '继业楼  | 3室2厅 | 104.2平米 | 北 | 其他', '7层2001年建板塔结合  -  大良中区', '89万', '单价8542元/平米')
('https://image1.ljcdn.com/440600-inspection/1aef67b6-ea38-4ed7-b8e8-893fa4d2580f.jpg.296x216.jpg', '岭岚花园 交通便利', '岭岚花园华翠轩  | 2室2厅 | 82.95平米 | 西南 | 精装', '中楼层(共11层)2006年建塔楼  -  大良西北区', '105万', '单价12659元/平米')
('https://image1.ljcdn.com/440600-inspection/89bfc17c-8b4a-48bb-be32-9253d76f6eae.jpg.296x216.jpg', '华乐大厦 4室2厅 180万', '华乐大厦  | 4室2厅 | 183平米 | 南 | 其他', '低楼层(共19层)2004年建塔楼  -  乐从', '180万', '单价9837元/平米')
('https://image1.ljcdn.com/440600-inspection/2f495791-55ae-408e-9b9e-6ce1e2f44e79.jpg.296x216.jpg', '嘉信三期 中等装修三房', '嘉信城市花园三期  | 3室2厅 | 133平米 | 东 | 简装', '中楼层(共6层)2011年建板楼  -  大良新区', '210万', '单价15790元/平米')
('https://image1.ljcdn.com/440600-inspection/e8c68756-f6b1-4aac-b6b3-0c6f275774b5.JPG.296x216.jpg', '碧桂花城 2房2厅', '碧桂花城翠湖畔一区  | 2室2厅 | 80平米 | 南 | 精装', '中楼层(共7层)2001年建塔楼  -  陈村', '127万', '单价15875元/平米')
('https://image1.ljcdn.com/440600-inspection/8ddfd852-6c77-4d0e-bf99-6e8f7f21ef94.JPG.296x216.jpg', '乐贤居 3室2厅 148万', '乐贤居  | 3室2厅 | 110平米 | 西 | 其他', '7层2003年建板塔结合  -  大良东区', '148万', '单价13455元/平米')
('https://image1.ljcdn.com/440600-inspection/c14ec783-6c93-4fea-8374-8f36d9e9f44a.jpg.296x216.jpg', '博澳城 电梯3房', '博澳城  | 4室2厅 | 132平米 | 南 北 | 其他', '低楼层(共23层)2009年建塔楼  -  大良北区', '150万', '单价11364元/平米')
('https://image1.ljcdn.com/440600-inspection/516e626c-a131-4d19-8a97-83ed10b6d7fb.JPG.296x216.jpg', '文海花园 3室2厅 138万', '文海花园  | 3室2厅 | 101.22平米 | 东北 | 其他', '中楼层(共16层)暂无数据  -  容桂', '138万', '单价13634元/平米')
('https://image1.ljcdn.com/440600-inspection/cb8eb8a3-67a3-4047-8b45-221d13117cca.jpg.296x216.jpg', '怡翠晋盛 格局方正 实用户型', '怡翠晋盛花园  | 3室2厅 | 91平米 | 东南 | 毛坯', '高楼层(共37层)2016年建塔楼  -  乐从', '200万', '单价21979元/平米')
('https://image1.ljcdn.com/440600-inspection/0fc61670-0b1b-46c9-a6b3-461a22a2872a.jpg.296x216.jpg', '鸿铵楼 2室2厅 99万', '鸿铵楼  | 2室2厅 | 77.34平米 | 西南 | 其他', '中楼层(共7层)板楼  -  大良东区', '99万', '单价12801元/平米')
('https://image1.ljcdn.com/440600-inspection/744278d7-37d1-471f-b30d-bcb48177ae8c.jpg.296x216.jpg', '乐从南区 中高楼层 南北对流4房 大阳台', '北岸美庐  | 4室2厅 | 134.04平米 | 南 北 | 毛坯', '高楼层(共22层)2014年建塔楼  -  乐从', '174.3万', '单价13000元/平米')
('https://image1.ljcdn.com/440600-inspection/7406c558-49d6-411e-942b-59ac3c9e3d3a.jpg.296x216.jpg', '星际半岛 3室2厅 155万', '星际半岛  | 3室2厅 | 120平米 | 南 | 其他', '低楼层(共37层)2016年建塔楼  -  乐从', '155万', '单价12917元/平米')
('https://image1.ljcdn.com/440600-inspection/fb2070f9-125e-4036-a609-6f9aaeefdfe9.jpg.296x216.jpg', '南北对流 毛坯3房 户型靓 送入户花园 可改4房 随时看', '北岸美庐  | 3室2厅 | 125.66平米 | 南 北 | 毛坯', '中楼层(共18层)2014年建塔楼  -  乐从', '165万', '单价13131元/平米')
('https://image1.ljcdn.com/440600-inspection/3b96264c-4649-4b1a-9925-59b7a26df9f0.jpg.296x216.jpg', '星英半岛 三房两厅', '星英半岛  | 3室2厅 | 88.9平米 | 南 | 毛坯', '中楼层(共32层)2016年建塔楼  -  陈村', '180万', '单价20248元/平米')
('https://image1.ljcdn.com/440600-inspection/1861f9aa-4fa6-40af-9e92-ea2813a2871e.jpg.296x216.jpg', '嘉信城市花园二期 4室2厅 220万', '嘉信城市花园二期  | 4室2厅 | 136.9平米 | 西北 | 其他', '中楼层(共21层)2011年建塔楼  -  大良新区', '220万', '单价16071元/平米')
('https://image1.ljcdn.com/440600-inspection/899b1a56-b103-4420-81f4-e293aa9c9d00.jpg.296x216.jpg', '宝翠花园 3室2厅 210万', '宝翠花园  | 3室2厅 | 131平米 | 南 | 简装', '低楼层(共16层)2008年建塔楼  -  大良东区', '210万', '单价16031元/平米')
('https://image1.ljcdn.com/440600-inspection/dab69629-abce-4851-9e1f-e08c90b6e3a2.jpg.296x216.jpg', '海琴湾 5室3厅 501万', '海琴湾  | 5室3厅 | 260平米 | 南 | 其他', '高楼层(共12层)2003年建塔楼  -  大良东区', '501万', '单价19270元/平米')
('https://image1.ljcdn.com/440600-inspection/1e66e594-1dec-4a19-b5b5-850849cd06dc.jpg.296x216.jpg', '都市玫瑰苑 3室2厅 175万', '都市玫瑰苑  | 3室2厅 | 102.6平米 | 东 | 精装', '中楼层(共8层)2005年建板塔结合  -  大良南区', '175万', '单价17057元/平米')
('https://image1.ljcdn.com/440600-inspection/e57c2bd0-f8ef-4035-9f1a-13f25697061b.jpg.296x216.jpg', '尚都豪庭 4室3厅 235万', '尚都豪庭  | 4室3厅 | 165.8平米 | 西北 | 其他', '高楼层(共13层)2008年建塔楼  -  容桂', '235万', '单价14174元/平米')
('https://image1.ljcdn.com/440600-inspection/dda54c83-15f4-4385-919e-19e320859b2c.jpg.296x216.jpg', '依云水岸二期 4室2厅 450万', '依云水岸二期  | 4室2厅 | 196平米 | 南 北 | 其他', '中楼层(共42层)2010年建塔楼  -  乐从', '450万', '单价22960元/平米')
('https://image1.ljcdn.com/440600-inspection/16a19c62-cad6-4835-960c-d5be93e41834.jpg.296x216.jpg', '紫荆南苑 5室2厅 85万', '紫荆南苑  | 5室2厅 | 64.98平米 | 南 东北 | 其他', '高楼层(共7层)2005年建板楼  -  乐从', '85万', '单价13081元/平米')
('https://image1.ljcdn.com/440600-inspection/9e6fb9e7-4740-4e5c-88fa-08314f312dff.jpg.296x216.jpg', '澳德蓝山花园 3室2厅 120万', '澳德蓝山花园  | 3室2厅 | 90.42平米 | 南 | 简装', '中楼层(共9层)2012年建塔楼  -  大良西北区', '120万', '单价13272元/平米')
('https://image1.ljcdn.com/440600-inspection/c7fc8df4-b94b-4628-b6ca-45c8cba6848a.jpg.296x216.jpg', '乐从雅居乐花园 6室2厅 634万', '乐从雅居乐花园  | 6室2厅 | 488平米 | 南 北 | 其他', '高楼层(共26层)2013年建塔楼  -  乐从', '634万', '单价12992元/平米')
('https://image1.ljcdn.com/440600-inspection/7890ea64-d945-4088-bb84-96778163c145.JPG.296x216.jpg', '保利东湾东景花园 4室2厅 330万', '保利东湾东景花园  | 4室2厅 | 140平米 | 南 | 其他', '低楼层(共28层)2014年建塔楼  -  乐从', '330万', '单价23572元/平米')
('https://image1.ljcdn.com/440600-inspection/f39348a0-6e3d-4ca0-aaa5-92957918d07d.jpg.296x216.jpg', '保利中环一期中宇花园 4室2厅 230万', '保利中环一期中宇花园  | 4室2厅 | 141.57平米 | 西北 | 毛坯', '低楼层(共32层)塔楼  -  大良新区', '230万', '单价16247元/平米')
('https://image1.ljcdn.com/440600-inspection/b5cb41b5-4ab3-4726-bcc6-13f3fc9b864f.jpg.296x216.jpg', '顺德雅居乐花园 环境优雅 大户型', '顺德雅居乐花园  | 5室3厅 | 308平米 | 南 | 毛坯', '高楼层(共24层)2011年建塔楼  -  大良南区', '440万', '单价14286元/平米')
('https://image1.ljcdn.com/440600-inspection/625667af-20d4-4484-8712-b3deb8d5ebba.jpg.296x216.jpg', '威斯广场星际公寓 1室1厅 55万', '威斯广场星际公寓  | 1室1厅 | 51平米 | 南 | 其他', '低楼层(共15层)2005年建塔楼  -  乐从', '55万', '单价10785元/平米')
('https://image1.ljcdn.com/440600-inspection/2c256ca3-d310-4358-be54-a836bf0a0390.jpg.296x216.jpg', '银丰豪庭 2室2厅 97万', '银丰豪庭  | 2室2厅 | 90平米 | 东南 | 其他', '高楼层(共9层)2008年建塔楼  -  大良西北区', '97万', '单价10778元/平米')
('https://image1.ljcdn.com/440600-inspection/1dfd1706-87d2-466f-aa7e-2d257256a827.jpg.296x216.jpg', '君御花园 4室2厅 285万', '君御花园  | 4室2厅 | 146平米 | 北 | 其他', '中楼层(共17层)2007年建塔楼  -  大良东区', '285万', '单价19521元/平米')
('https://image1.ljcdn.com/440600-inspection/be857967-f223-477e-95d8-d95557e5901c.jpg.296x216.jpg', '嘉信城市花园三期 小区管理', '嘉信城市花园三期  | 4室2厅 | 187.76平米 | 西南 | 毛坯', '低楼层(共23层)2011年建塔楼  -  大良新区', '263万', '单价14008元/平米')
('https://image1.ljcdn.com/440600-inspection/0da42f42-0760-45d6-a160-45444a8c7748.jpg.296x216.jpg', '龙光水悦云天 江景房', '龙光水悦云天  | 3室2厅 | 110平米 | 南 | 其他', '中楼层(共32层)塔楼  -  容桂', '180万', '单价16364元/平米')
('https://image1.ljcdn.com/440600-inspection/beef9955-a314-4b46-bb16-32a061036264.JPG.296x216.jpg', '富逸居 2室2厅 69.8万', '富逸居  | 2室2厅 | 67平米 | 南 | 其他', '中楼层(共7层)暂无数据  -  容桂', '69.8万', '单价10418元/平米')
('https://image1.ljcdn.com/440600-inspection/44f4e122-758f-457e-8e46-a56034209f3a.jpg.296x216.jpg', '保利百合花园 3室2厅 172万', '保利百合花园  | 3室2厅 | 120平米 | 南 | 其他', '低楼层(共20层)2013年建塔楼  -  容桂', '172万', '单价14334元/平米')
('https://image1.ljcdn.com/440600-inspection/ab8d6390-5a24-41ef-9932-aeb060804218.jpg.296x216.jpg', '保利中环广中宇花园 毛坯4房 居住舒适', '保利中环一期中宇花园  | 4室2厅 | 168平米 | 南 北 | 毛坯', '中楼层(共32层)塔楼  -  大良新区', '280万', '单价16667元/平米')
('https://image1.ljcdn.com/440600-inspection/ed26e91c-4c7a-4558-9593-42084b0f2ae5.jpg.296x216.jpg', '金威郦都 装修2房 花园小区 提前预约', '金威郦都  | 2室2厅 | 84平米 | 西 | 简装', '低楼层(共21层)2012年建塔楼  -  乐从', '110万', '单价13096元/平米')
('https://image1.ljcdn.com/440600-inspection/c54b773b-4be8-4354-af23-d0f0707f9a1c.jpg.296x216.jpg', '金宇名都 2室2厅 80万', '金宇名都  | 2室2厅 | 65平米 | 北 | 其他', '低楼层(共21层)2009年建塔楼  -  乐从', '80万', '单价12308元/平米')
('https://image1.ljcdn.com/440600-inspection/55307eaa-327e-42e8-9bab-9392578cad05.jpg.296x216.jpg', '保利东湾 三房两厅', '保利东湾东景花园  | 3室2厅 | 101平米 | 南 | 毛坯', '高楼层(共28层)2014年建塔楼  -  乐从', '235.8万', '单价23347元/平米')
('https://image1.ljcdn.com/440600-inspection/21bd1ba3-f030-4b0b-b579-3531ee7da47a.jpg.296x216.jpg', '博澳城 4室2厅 248万', '博澳城  | 4室2厅 | 172平米 | 东南 | 其他', '高楼层(共16层)2009年建塔楼  -  大良北区', '248万', '单价14419元/平米')
('https://image1.ljcdn.com/440600-inspection/a9cfb364-969c-4975-88f1-740d903847f1.jpg.296x216.jpg', '顺德雅居乐花园 毛坯四房', '顺德雅居乐花园  | 4室2厅 | 206.88平米 | 南 北 | 毛坯', '低楼层(共25层)2011年建塔楼  -  大良南区', '330万', '单价15952元/平米')
('https://image1.ljcdn.com/440600-inspection/5ba38677-4c3a-4ffd-8b56-374833eda292.jpg.296x216.jpg', '金茂华美达 1室1厅 75万', '金茂华美达  | 1室1厅 | 44平米 | 东南 | 其他', '高楼层(共20层)塔楼  -  北滘', '75万', '单价17046元/平米')
('https://image1.ljcdn.com/440600-inspection/a1a272b9-cf22-4fb0-9b49-5f02e84c0edf.jpg.296x216.jpg', '金威郦都 2室2厅 120万', '金威郦都  | 2室2厅 | 84.04平米 | 西 | 简装', '中楼层(共21层)2012年建塔楼  -  乐从', '120万', '单价14279元/平米')
('https://image1.ljcdn.com/440600-inspection/335b4352-f196-481f-a0c5-08310b598168.jpg.296x216.jpg', '招商公园1872 电梯洋房', '招商公园1872  | 4室2厅 | 141.96平米 | 南 | 毛坯', '高楼层(共36层)2016年建塔楼  -  大良新区', '250万', '单价17611元/平米')
('https://image1.ljcdn.com/440600-inspection/83282c57-563e-4943-85a4-482dbce78ae5.jpg.296x216.jpg', '景鸿楼 3室2厅 168万', '景鸿楼  | 3室2厅 | 97.97平米 | 南 | 精装', '低楼层(共7层)2002年建板楼  -  大良东区', '168万', '单价17149元/平米')
('https://image1.ljcdn.com/440600-inspection/5ca0cb7e-aa89-4608-99e7-e961ffe2c784.jpg.296x216.jpg', '保利中环第五大道 毛坯四房 交通便利', '保利中环三期第五大道  | 4室2厅 | 140平米 | 南 | 毛坯', '高楼层(共31层)2016年建塔楼  -  大良新区', '245万', '单价17500元/平米')
('https://image1.ljcdn.com/440600-inspection/340bb0a5-4586-45ab-916f-bb36ba80dcf1.jpg.296x216.jpg', '佛奥湾 2室2厅 162万', '佛奥湾  | 2室2厅 | 88平米 | 西 | 其他', '39层2018年建板塔结合  -  乐从', '162万', '单价18410元/平米')
('https://image1.ljcdn.com/440600-inspection/e48ec290-815b-42e0-8b23-29f9d75d2e58.jpg.296x216.jpg', '雍翠华府 4室2厅 180万', '雍翠华府  | 4室2厅 | 172.23平米 | 南 北 | 精装', '高楼层(共12层)2003年建塔楼  -  龙江', '180万', '单价10452元/平米')
('https://image1.ljcdn.com/440600-inspection/b0b30f91-42ff-4b00-8895-2a86dcd53247.jpg.296x216.jpg', '依云水岸三期 诚意出售 随时签约', '依云水岸三期  | 4室2厅 | 196平米 | 南 北 | 毛坯', '低楼层(共41层)2011年建塔楼  -  乐从', '430万', '单价21939元/平米')
('https://image1.ljcdn.com/440600-inspection/02252687-a446-47ea-9b77-34fe190fc675.JPG.296x216.jpg', '龙光水悦云天 4室2厅 318万', '龙光水悦云天  | 4室2厅 | 170.27平米 | 南 北 | 其他', '中楼层(共32层)2010年建塔楼  -  容桂', '318万', '单价18677元/平米')
('https://image1.ljcdn.com/440600-inspection/8460fa43-7830-4fd7-9585-2a69f8f569ea.jpg.296x216.jpg', '保利第五大道 毛坯4房', '保利中环三期第五大道  | 4室2厅 | 143平米 | 南 | 毛坯', '低楼层(共27层)2016年建塔楼  -  大良新区', '230万', '单价16084元/平米')
('https://image1.ljcdn.com/440600-inspection/19ebe91e-d01e-424d-a9cd-e8b8da97f1a9.jpg.296x216.jpg', '顺德雅居乐花园', '顺德雅居乐花园  | 6室3厅 | 306平米 | 东南 | 毛坯', '高楼层(共24层)2011年建塔楼  -  大良南区', '450万', '单价14706元/平米')
('https://image1.ljcdn.com/440600-inspection/c21cb979-f2fb-47f7-a2e9-351d3a593429.jpg.296x216.jpg', '凯蓝名都 4室2厅 183万', '凯蓝名都  | 4室2厅 | 136.71平米 | 南 | 精装', '低楼层(共17层)2010年建塔楼  -  容桂', '183万', '单价13386元/平米')
('https://image1.ljcdn.com/440600-inspection/46f1bbf9-be24-46aa-aba4-6a0a97cf39f7.jpg.296x216.jpg', '顺德雅居乐花园 配套成熟', '顺德雅居乐花园  | 3室2厅 | 92平米 | 西北 | 其他', '低楼层(共22层)2011年建塔楼  -  大良南区', '200万', '单价21740元/平米')
('https://image1.ljcdn.com/440600-inspection/185d594b-d39d-4450-9447-ed9f5da1d0be.jpg.296x216.jpg', '乐从雅居乐花园 6室2厅 380万', '乐从雅居乐花园  | 6室2厅 | 224.96平米 | 南 北 | 其他', '低楼层(共26层)2013年建塔楼  -  乐从', '380万', '单价16892元/平米')
('https://image1.ljcdn.com/440600-inspection/0e72b273-0298-4ab4-9760-9a5c0f1c8dfb.jpg.296x216.jpg', '保利中环广场第五大道 南北对流', '保利中环三期第五大道  | 4室2厅 | 142平米 | 东南 | 其他', '低楼层(共31层)2016年建塔楼  -  大良新区', '230万', '单价16198元/平米')
('https://image1.ljcdn.com/440600-inspection/911e1f4f-7f95-47b0-a1c9-034564125e3c.jpg.296x216.jpg', '万科水晶城 采光好', '万科水晶城  | 3室2厅 | 173平米 | 西南 | 毛坯', '低楼层(共31层)2012年建塔楼  -  陈村', '300万', '单价17342元/平米')
('https://image1.ljcdn.com/440600-inspection/6b8e9cee-d044-4a08-8526-0d8cc6bbf9de.jpg.296x216.jpg', '金威郦都 3室2厅 158万', '金威郦都  | 3室2厅 | 111平米 | 东 | 精装', '低楼层(共21层)2012年建塔楼  -  乐从', '158万', '单价14235元/平米')
('https://image1.ljcdn.com/440600-inspection/ea76a2f3-6311-44c7-af8b-4d5add333170.jpg.296x216.jpg', '北岸美庐 简单装修3房 南北对流', '北岸美庐  | 3室2厅 | 126平米 | 南 北 | 简装', '中楼层(共18层)2014年建塔楼  -  乐从', '163.8万', '单价13000元/平米')
('https://image1.ljcdn.com/440600-inspection/995f37f7-6eea-4d0b-ac20-baf30c097fcb.jpg.296x216.jpg', '纯水岸花园 3室2厅 250万', '纯水岸花园  | 3室2厅 | 157平米 | 南 | 其他', '中楼层(共11层)塔楼  -  大良新区', '250万', '单价15924元/平米')
('https://image1.ljcdn.com/440600-inspection/206e916e-0756-4f87-b222-6812e7bf0e40.jpg.296x216.jpg', '金威郦都 3室2厅 145万', '金威郦都  | 3室2厅 | 109平米 | 西北 | 其他', '中楼层(共21层)2012年建塔楼  -  乐从', '145万', '单价13303元/平米')
('https://image1.ljcdn.com/440600-inspection/d6384251-c89e-466a-baa7-558b0bc5f75a.jpg.296x216.jpg', '保利东湾 二线望江四房 新毛坯', '保利东湾东景花园  | 4室2厅 | 170平米 | 南 北 | 毛坯', '高楼层(共29层)2014年建塔楼  -  乐从', '390万', '单价22942元/平米')
('https://image1.ljcdn.com/440600-inspection/0a572ad9-52da-484f-b132-fc6ac38958e7.jpg.296x216.jpg', '都市领地轩 3房1厅 135万元', '都市领地轩  | 3室1厅 | 87平米 | 东北 | 简装', '低楼层(共13层)2009年建塔楼  -  大良南区', '130万', '单价14943元/平米')
('https://image1.ljcdn.com/440600-inspection/83f9c618-b3a7-42b7-b6d9-016b5e08a56e.jpg.296x216.jpg', '保利东湾东景花园 望花园4房单位', '保利东湾东景花园  | 4室2厅 | 140平米 | 北 | 毛坯', '低楼层(共28层)2014年建塔楼  -  乐从', '280万', '单价20000元/平米')
('https://image1.ljcdn.com/440600-inspection/291ac7c1-7f0e-4f5e-83ee-23f365a55049.jpg.296x216.jpg', '乐从雅居乐花园 4室2厅 260万', '乐从雅居乐花园  | 4室2厅 | 136平米 | 南 | 其他', '高楼层(共29层)2013年建塔楼  -  乐从', '260万', '单价19118元/平米')
('https://image1.ljcdn.com/440600-inspection/292488ef-aac6-409f-9f90-db69741aff9f.jpg.296x216.jpg', '小区环境优美 电梯花园 装修3房 满两年', '佛山奥园贝沙轩  | 3室2厅 | 115平米 | 南 | 简装', '中楼层(共16层)2008年建塔楼  -  乐从', '163万', '单价14174元/平米')
('https://image1.ljcdn.com/440600-inspection/844317eb-3e86-48fb-9fd2-756d9112e2af.JPG.296x216.jpg', '银骏豪庭 1室0厅 53万', '银骏豪庭  | 1室0厅 | 39.96平米 | 西南 | 其他', '低楼层(共8层)2008年建塔楼  -  大良西北区', '53万', '单价13264元/平米')
('https://image1.ljcdn.com/440600-inspection/c008d23d-66ad-4b6c-ab18-c96c958271e8.jpg.296x216.jpg', '纯水岸花园 毛坯四房', '纯水岸花园  | 4室2厅 | 164平米 | 南 北 | 毛坯', '高楼层(共11层)塔楼  -  大良新区', '235万', '单价14330元/平米')
('https://image1.ljcdn.com/440600-inspection/413a25db-3f70-446d-8b87-ce65eca01e16.jpg.296x216.jpg', '保利东湾 三房两厅', '保利东湾东景花园  | 3室2厅 | 100平米 | 南 | 精装', '中楼层(共30层)2014年建塔楼  -  乐从', '220万', '单价22000元/平米')
