('https://image1.ljcdn.com/shfdfs-image/20170513/541a8d1f-99cd-4d95-844a-58e16d808346.jpg.296x216.jpg', '内环内 05年次新小区 小户型电梯房 房型正气两室两厅', '中兴财富国际公寓  | 2室2厅 | 79.48平米 | 东南 | 精装 | 有电梯', '低楼层(共34层)2005年建板楼  -  不夜城', '548万', '单价68949元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d94b76eb-677f-4037-95c2-f98beb303285.png.296x216.jpg', '05年次新大型小区，近大宁国际闸北公园，采光好随时看', '嘉利明珠城  | 2室2厅 | 95平米 | 南 | 简装 | 有电梯', '中楼层(共35层)2005年建板楼  -  闸北公园', '690万', '单价72632元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170505/20103939-010d-4df0-ba26-b72f079ed12e.jpg.296x216.jpg', '中星馨恒苑 三房两厅两卫 1050万', '中星馨恒苑  | 3室2厅 | 176.36平米 | 暂无数据 | 其他 | 有电梯', '低楼层(共13层)2014年建板楼  -  永和', '1050万', '单价59538元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ab8d36fd-cc93-4019-9b39-3542834bd22c.png.296x216.jpg', '（宝华现代城+780万南北通+满五年唯一+距地铁100米）', '宝华现代城  | 2室2厅 | 97.41平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2008年建板楼  -  大宁', '775万', '单价79561元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161101/96abf235-a249-46af-b6f2-6db6366caded.jpg.296x216.jpg', '三中 心未用 满5年免个税 全明户型南北通 地铁3/4号线', '三宝花苑  | 2室1厅 | 63.4平米 | 南 北 | 简装 | 有电梯', '中楼层(共7层)1993年建板楼  -  西藏北路', '480万', '单价75710元/平米')
('https://image1.ljcdn.com/310000-inspection/test-36550745-af77-4c97-9f0a-f3c93a353269.png.296x216.jpg', '满五唯一 叔叔年纪大了要换到子女身边方便照顾 诚意售', '锦佳苑  | 2室2厅 | 75.93平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  大宁', '550万', '单价72436元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e733cd1d-ef5f-4d32-a515-9f768d1c5f39.png.296x216.jpg', '永和板块，抢手小三房，房改售房税费少，可改大两房。', '永和三村  | 3室1厅 | 81.63平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  永和', '425万', '单价52065元/平米')
('https://image1.ljcdn.com/310000-inspection/test-98fd19f1-70a3-4d69-9646-57c1a41941e3.png.296x216.jpg', '苏州河景观房，全南板式户型，从餐厅就可以观看苏州河', '东方莱茵  | 3室2厅 | 171.17平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2003年建板楼  -  不夜城', '1400万', '单价81791元/平米')
('https://image1.ljcdn.com/310000-inspection/14cfa862-b227-46c4-a1f5-5acb20188171.jpg.296x216.jpg', '新静安南雅宾利 全控新风系统带地暖 人车分流', '绿洲雅宾利花园(二期)  | 3室2厅 | 188.47平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  西藏北路', '1600万', '单价84895元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180111/009024d7-d255-480e-b22e-b615b374dc97.jpg.296x216.jpg', '卓悦居全南户型，交通便利，配套成熟，有车位。', '卓悦居  | 2室2厅 | 86.43平米 | 南 | 精装 | 有电梯', '中楼层(共37层)2008年建板楼  -  不夜城', '880万', '单价101817元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfdbefbfe-5c84-43f9-aab3-5832fddc36af.jpg.296x216.jpg', '中星馨恒苑大三房两厅两卫，精装全送880万', '中星馨恒苑  | 3室2厅 | 149.03平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2014年建板楼  -  永和', '860万', '单价57707元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cef84202-5066-4c89-9a4c-affd29d886e7.png.296x216.jpg', '1/3/4/8号线 加两站人民广场，看房方便，诚意出售', '复元坊  | 2室2厅 | 81.69平米 | 东 | 简装 | 有电梯', '中楼层(共20层)1999年建塔楼  -  西藏北路', '530万', '单价64880元/平米')
('https://image1.ljcdn.com/310000-inspection/22d578ef-494f-4c1e-babf-c6160a7e3c64.JPG.296x216.jpg', '正气双南全明大两房   正阳台  户型正气   无增值税', '和源名城  | 2室1厅 | 81.43平米 | 南 | 简装 | 有电梯', '中楼层(共34层)2014年建板楼  -  彭浦', '436万', '单价53543元/平米')
('https://image1.ljcdn.com/310000-inspection/8f1cf6d5-2d11-4ed4-9f0a-6b750dced71b.jpeg.296x216.jpg', '售后公房无增值税 楼层佳   看房方便', '广茂苑  | 2室2厅 | 86.95平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  大宁', '510万', '单价58655元/平米')
('https://image1.ljcdn.com/310000-inspection/test-47b7664b-7ea6-498a-83b6-c23276c944c0.png.296x216.jpg', '《近地铁》《宝华现代城》《南北通两房》《品质小区》', '宝华现代城  | 2室2厅 | 97.84平米 | 南 北 | 精装 | 有电梯', '低楼层(共29层)2008年建板楼  -  大宁', '860万', '单价87899元/平米')
('https://image1.ljcdn.com/310000-inspection/test-be50c760-5900-42b6-836b-d021e82d9523.png.296x216.jpg', '歌林春天馨园 2室2厅 918万', '歌林春天馨园  | 2室2厅 | 119.06平米 | 南 | 精装 | 有电梯', '高楼层(共17层)2005年建板楼  -  大宁', '918万', '单价77104元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a2aa5980-b1b5-4acf-8b50-3e802d9c0ce8.png.296x216.jpg', '慧芝湖花园 2室2厅 770万', '慧芝湖花园  | 2室2厅 | 88.88平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2009年建板楼  -  大宁', '770万', '单价86634元/平米')
('https://image1.ljcdn.com/310000-inspection/test-3cecfced-3a0e-431d-abff-3aa44b38b166.png.296x216.jpg', '2013年电梯次新房 双南精装修 诚意售轨道1号 灵石公园', '大宁龙盛雅苑  | 2室1厅 | 63.39平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2012年建板楼  -  大宁', '548万', '单价86449元/平米')
('https://image1.ljcdn.com/310000-inspection/test-53ec7962-cc3e-47d6-b913-08e9870abf2c.png.296x216.jpg', '新挂牌（钥匙两房+全明户型）中高区（满五省税）', '宝华现代城  | 2室2厅 | 95.26平米 | 南 | 简装 | 有电梯', '中楼层(共26层)2008年建板楼  -  大宁', '880万', '单价92379元/平米')
('https://image1.ljcdn.com/310000-inspection/363411a8-c723-4050-ba22-2f29de1a58ea.jpg.296x216.jpg', '高区全明 大两房 俯瞰灵石公园 视野开阔 前方无遮挡', '宁泰馨苑  | 2室2厅 | 103.31平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2003年建板楼  -  大宁', '750万', '单价72598元/平米')
('https://image1.ljcdn.com/310000-inspection/c5c71d9b-4a35-4683-9a26-8a581f0b0abc.JPG.296x216.jpg', '临汾花园, 2室2厅 453万', '临汾花园,  | 2室2厅 | 93.62平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  彭浦', '453万', '单价48388元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7cc92231-4972-43a7-bd59-2bb0450662b1.png.296x216.jpg', '内环内高品质小区+人车分流带产权车位+近地铁交通便利', '复地新都国际  | 2室2厅 | 87.47平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2011年建板楼  -  西藏北路', '825万', '单价94319元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171209/3345861d-2ca8-4aaa-8e9f-28d0731edb1b.jpg.296x216.jpg', '满五唯一  南北通风 看房方便 价格好谈', '精文城上城  | 3室2厅 | 113.05平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2004年建板楼  -  西藏北路', '799.8万', '单价70748元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170906/92485650-c028-406c-83df-37d36d34d683.jpg.296x216.jpg', '满五唯一 西边套全明 晚霞点缀 环境舒适', '安业路300弄  | 2室1厅 | 59.17平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1988年建板楼  -  彭浦', '305万', '单价51547元/平米')
('https://image1.ljcdn.com/310000-inspection/6235cdce-403c-448f-957c-26ada7ef40dd.jpg.296x216.jpg', '嘉利明珠、 高区一居室、采光视野不遮挡、满二税费少', '嘉利明珠城  | 1室2厅 | 54.83平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2005年建板楼  -  闸北公园', '480万', '单价87544元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3d184dcf-8110-48b9-a6d1-a1c02562aeeb.jpg.296x216.jpg', '华祺苑板式三房地铁8、12号线诚意出售满五唯一', '华祺苑  | 3室2厅 | 127.94平米 | 南 北 | 精装 | 有电梯', '高楼层(共10层)2005年建板楼  -  西藏北路', '980万', '单价76599元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170926/5f548b4a-1790-428b-96ce-4e8be8d9e34c.jpg.296x216.jpg', '彭浦新村精装一室一厅，房东诚意出售', '和源名城  | 1室1厅 | 58.91平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  彭浦', '310万', '单价52623元/平米')
('https://image1.ljcdn.com/310000-inspection/0247a6c8-0eb5-4938-b7db-4bf89c809533.jpg.296x216.jpg', '汉中小区高区全南两房 置换出售', '汉中小区  | 2室1厅 | 73.13平米 | 南 | 简装 | 有电梯', '高楼层(共24层)1998年建塔楼  -  不夜城', '550万', '单价75209元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6cea48f5-e9fb-40bc-bbde-feeecf262464.png.296x216.jpg', '龙盛佳苑 1室1厅 265万', '龙盛佳苑  | 1室1厅 | 46.77平米 | 南 | 其他 | 有电梯', '低楼层(共15层)2011年建塔楼  -  阳城', '265万', '单价56661元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170521/4ea9fae6-631c-4eef-adfa-51b9c01f92c6.jpg.296x216.jpg', '和诚公寓 一梯两户 楼层佳满五唯一 双南户型  诚意售', '和诚公寓  | 2室2厅 | 92.05平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  闸北公园', '570万', '单价61923元/平米')
('https://image1.ljcdn.com/310000-inspection/test-00eeb412-dec8-4f21-b658-3a837fe4623e.png.296x216.jpg', '卓悦居新出南北通宜居两房，业主回台变现出售', '卓悦居  | 2室2厅 | 89.87平米 | 南 北 | 精装 | 有电梯', '高楼层(共37层)2008年建板楼  -  不夜城', '810万', '单价90131元/平米')
('https://image1.ljcdn.com/310000-inspection/test-95cb4538-9683-47c4-873e-ca2c8c195bb7.png.296x216.jpg', '（有车位）（二期不靠高架）（采光无遮）（钥匙房）', '宝华现代城  | 2室2厅 | 95.82平米 | 南 | 精装 | 有电梯', '低楼层(共27层)2008年建板楼  -  大宁', '870万', '单价90796元/平米')
('https://image1.ljcdn.com/310000-inspection/test-256db745-6f46-4290-acb6-1fa8a92dca15.png.296x216.jpg', '双南、中间楼层、无遮挡视野开阔，钥匙房随时看。', '恒安小区  | 2室1厅 | 57.38平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1987年建板楼  -  彭浦', '280万', '单价48798元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8805fbc8-5be9-4c24-bf62-34c8499c8eff.png.296x216.jpg', '近地铁紧挨公园带花园 厨卫全明 交通方便 采光无遮挡', '新梅共和城  | 2室2厅 | 97.79平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2003年建板楼  -  大宁', '680万', '单价69537元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161015/0a0e95a5-6bfc-48d6-843b-a93daea5eeed.jpg.296x216.jpg', '双南两房一厅 4楼 户型方正 均价4万6 有钥匙 随时好看', '临汾路1564弄  | 2室1厅 | 65.87平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  彭浦', '305万', '单价46304元/平米')
('https://image1.ljcdn.com/310000-inspection/test-afcdfdb5-add1-48c9-b272-b2a07fd92aa7.png.296x216.jpg', '慧芝湖新出高区两房，满五且唯一，少个税，诚意出售', '慧芝湖花园  | 2室2厅 | 91.8平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2007年建板楼  -  大宁', '780万', '单价84968元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload4a940e5b-ac2c-4e54-92e3-3ba4f0c17d2b.jpg.296x216.jpg', '鑫安公寓 2室2厅 600万', '鑫安公寓  | 2室2厅 | 94.62平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  闸北公园', '600万', '单价63412元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160108/302f3e26-6d3a-45a1-99a1-cad92a4348b5.jpg.296x216.jpg', '三泉家园，不带车位，二楼两房。', '三泉家园  | 2室2厅 | 92.66平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  彭浦', '515万', '单价55580元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161017/24dbbef1-167e-4930-857a-2aa0c7409e54.jpg.296x216.jpg', '建灵公寓 3室1厅 670万', '建灵公寓  | 3室1厅 | 115.72平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1997年建板楼  -  西藏北路', '670万', '单价57899元/平米')
('https://image1.ljcdn.com/310000-inspection/44020a6e-ac19-4d87-a0c7-330a350c79b7.jpg.296x216.jpg', '品质装修，大金空调地暖，买入税少，高区陆家嘴景观', '卓悦居  | 2室2厅 | 88.75平米 | 南 | 精装 | 有电梯', '中楼层(共37层)2008年建板楼  -  不夜城', '966万', '单价108846元/平米')
('https://image1.ljcdn.com/310000-inspection/test-04bfad2f-ffed-4a28-b7c4-2c590997e63a.png.296x216.jpg', '金峰大厦，多轨相交，配套成熟，价格可议，静等有缘人', '金峰大厦  | 3室2厅 | 121.7平米 | 西北 | 精装 | 有电梯', '中楼层(共29层)1996年建塔楼  -  不夜城', '738万', '单价60641元/平米')
('https://image1.ljcdn.com/310000-inspection/test-4a4430a2-5843-4261-9245-affb987210b6.png.296x216.jpg', '全明户型 单价低 有钥匙 随时等您来电看房', '长城苑  | 2室2厅 | 108.7平米 | 西南 | 简装 | 有电梯', '低楼层(共28层)1999年建塔楼  -  西藏北路', '650万', '单价59798元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c1a9591f-5b3c-4de4-9cda-da27a44012cb.png.296x216.jpg', '采光充足 视野好 边套全明 南北通透 看房方便 有钥匙', '万荣小区  | 2室1厅 | 55.11平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1994年建板楼  -  阳城', '263万', '单价47723元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170730/54bd7dd3-2eeb-4558-97b5-8b20b7b8ed05.jpg.296x216.jpg', '2010年品质小区+南北通透大四房+久光百货', '悦公馆  | 4室2厅 | 175.27平米 | 南 北 | 简装 | 有电梯', '低楼层(共14层)2010年建板楼  -  大宁', '1405万', '单价80163元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b46547ea-4ed3-4a01-b9f3-f5ee3479d92b.png.296x216.jpg', '位置好，户型正，采光视野佳，随时看房', '建银曙光小区  | 2室2厅 | 81.48平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  大宁', '555万', '单价68115元/平米')
('https://image1.ljcdn.com/310000-inspection/82904d4f-95de-413a-9c86-5d436aef2e09.JPG.296x216.jpg', '满五年少税，双南两房，采光好，产权清晰，诚意出售。', '彭五小区  | 2室1厅 | 46.86平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1978年建板楼  -  彭浦', '215万', '单价45882元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ad3a2806-2bcd-4349-8fd5-bac90cee01c1.png.296x216.jpg', '洛川中路1100弄，闸北实验，中区楼层，有钥匙随时可看', '柳营路1025弄  | 1室1厅 | 46.33平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1994年建板楼  -  大宁', '278万', '单价60005元/平米')
('https://image1.ljcdn.com/310000-inspection/efbe027a-9c62-4f7b-b189-a8fec27f9b49.JPG.296x216.jpg', '主卧客厅都朝南，一梯两户，得房率高，小户型', '阳曲小区  | 1室1厅 | 41.9平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)1990年建板楼  -  彭浦', '189万', '单价45108元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload26e71c7d-c047-4f50-885e-42deb3c78656.jpg.296x216.jpg', '满五唯一，地铁口，中间楼层，无遮挡', '龙潭小区  | 2室1厅 | 55.45平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1996年建板楼  -  阳城', '320万', '单价57710元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload8ffaf8ad-e63d-49d5-8e28-7688c5becc56.JPG.296x216.jpg', '业主婚房，满五唯一，近地铁，产权清晰无户口！！！！', '保德公寓  | 1室1厅 | 42.22平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  彭浦', '205万', '单价48556元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170603/658bb42a-b338-40b0-8383-029690a8e90e.jpg.296x216.jpg', '心族公寓 2室2厅 615万', '心族公寓  | 2室2厅 | 91.8平米 | 南 | 简装 | 有电梯', '低楼层(共8层)1998年建板楼  -  大宁', '615万', '单价66994元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170912/2fab4793-50e3-4305-87dc-27fd0e0f6cbb.jpg.296x216.jpg', '（满五年 南北直通 全明户型 ）（1号线地铁站）', '新梅共和城  | 2室2厅 | 85.44平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  大宁', '650万', '单价76077元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171014/e5c79eff-f7ff-40ca-a1fe-7bc80513eb56.jpg.296x216.jpg', '闹市中的小别墅，独门独户，新房的格局和装修', '老沪太路208弄  | 2室2厅 | 69.56平米 | 南 | 精装 | 无电梯', '低楼层(共6层)1996年建板楼  -  大宁', '455万', '单价65412元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171216/717f4dd1-de89-4adc-9685-5c00130d0df5.jpg.296x216.jpg', '老客户委托 诚意出售 高区景观房 环境优美交通便利', '上海滩大宁城(公寓)  | 3室2厅 | 93.79平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2012年建板楼  -  大宁', '775万', '单价82632元/平米')
('https://image1.ljcdn.com/310000-inspection/test-aa25b75e-0425-491f-b0c3-da8770a4a8b4.png.296x216.jpg', '苏河湾品质小区，正看十万方中.央公园，层高3米6！', '中粮天悦壹号  | 4室2厅 | 224平米 | 南 | 精装', '低楼层(共25层)板楼  -  西藏北路', '3200万', '单价142858元/平米')
('https://image1.ljcdn.com/310000-inspection/493b86a4-c4c5-4637-9f12-71232ed8864f.jpg.296x216.jpg', '带车位，楼下就是芷江中路幼儿园，北边静安区闸北实验', '大宁瑞仕花园  | 3室2厅 | 154.07平米 | 南 北 | 精装 | 有电梯', '高楼层(共21层)2013年建板楼  -  大宁', '1440万', '单价93465元/平米')
('https://image1.ljcdn.com/310000-inspection/8db4068f-0474-430a-a050-7aba777227fe.jpg.296x216.jpg', '离8号线800米 总价低的3房 房东诚心卖房 看房方便', '和福花苑  | 3室2厅 | 140.73平米 | 南 | 精装 | 有电梯', '中楼层(共18层)1999年建塔楼  -  闸北公园', '720万', '单价51162元/平米')
('https://image1.ljcdn.com/310000-inspection/ae241782-9704-4aa3-898d-c1cf03c69869.jpg.296x216.jpg', '和源名城 婚房装修拎包入住 有产权车位', '和源名城  | 2室2厅 | 79.05平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2011年建板楼  -  彭浦', '440万', '单价55661元/平米')
('https://image1.ljcdn.com/310000-inspection/424c5e6e-fa01-4835-99e7-a37567d353b0.jpg.296x216.jpg', '中兴财富 满五年唯一 景观房 精装修全明 诚意出售', '中兴财富国际公寓  | 2室1厅 | 79.64平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2005年建板楼  -  不夜城', '570万', '单价71573元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fb774ffd-9d84-40de-8b34-64afa91fdcca.png.296x216.jpg', '和源馨苑 1室1厅 408万', '和源馨苑  | 1室1厅 | 57.32平米 | 南 | 简装 | 有电梯', '中楼层(共10层)2014年建板楼  -  西藏北路', '408万', '单价71180元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7011c6c9-c4f6-474a-a6b3-dfb57257a145.png.296x216.jpg', '户型方正、南北通格局，楼层好，视野宽阔，采光充足', '崇文园  | 3室2厅 | 128.04平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2004年建板楼  -  闸北公园', '910万', '单价71072元/平米')
('https://image1.ljcdn.com/310000-inspection/test-93699763-8689-408f-9e99-e7f37c4999ce.png.296x216.jpg', '内环边 电梯房双南2房2厅 对口闸北实验 双南全明户型', '金纺小区  | 2室2厅 | 98.04平米 | 南 | 简装 | 有电梯', '中楼层(共25层)1998年建塔楼  -  大宁', '570万', '单价58140元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2e83f5bf-1151-4558-a58d-849fcb900b6d.png.296x216.jpg', '金纺小区 2室2厅 570万', '金纺小区  | 2室2厅 | 98.04平米 | 南 | 简装 | 有电梯', '中楼层(共25层)1998年建塔楼  -  大宁', '570万', '单价58140元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/a218cb02-1cf1-4b6b-9cfb-c739ccb5d3e5.jpg.296x216.jpg', '保德公寓 2室2厅 345万', '保德公寓  | 2室2厅 | 83.4平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1997年建板楼  -  彭浦', '345万', '单价41367元/平米')
('https://image1.ljcdn.com/310000-inspection/test-03f6464b-15fa-4f4d-92e5-a38b161b70ca.png.296x216.jpg', '龙潭小区，楼层佳南北两房，近7号线大华三路地铁站。', '龙潭小区  | 2室1厅 | 52.45平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1994年建板楼  -  阳城', '318万', '单价60630元/平米')
('https://image1.ljcdn.com/310000-inspection/583c134c-5ea1-4dd1-8714-acb0d77df9c1.jpg.296x216.jpg', '400万税费各付+内环内电梯2房+1999年房龄+急售', '沪太家具大厦  | 2室1厅 | 74.3平米 | 东南 | 简装 | 有电梯', '低楼层(共28层)1999年建塔楼  -  不夜城', '395万', '单价53163元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cb9f7c58-52c2-4a36-90cd-91390f06a4ac.png.296x216.jpg', '慧芝湖花园 高区景观房 满五年唯一 看房提前约', '慧芝湖花园  | 2室2厅 | 88.22平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2007年建板楼  -  大宁', '780万', '单价88416元/平米')
('https://image1.ljcdn.com/310000-inspection/be97ec22-4190-4279-b110-7853bcb647a2.jpg.296x216.jpg', '中星馨恒苑 2室2厅 740万', '中星馨恒苑  | 2室2厅 | 107平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2014年建板楼  -  永和', '740万', '单价69159元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload3d1ade6b-70ac-42b5-a6d1-833e4123ac97.jpg.296x216.jpg', '玉峰花园 3室1厅 460万', '玉峰花园  | 3室1厅 | 99平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  阳城', '460万', '单价46465元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9810d835-804c-482f-8dfa-b7191a816795.png.296x216.jpg', '静安阳城、龙盛佳苑、精装修、无增值税、近7号线地铁', '龙盛佳苑  | 1室2厅 | 47.76平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2011年建塔楼  -  阳城', '308万', '单价64490元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d9e0f87b-404b-45d9-aa1f-8bb629135538.png.296x216.jpg', '闸北公园售后公房税费少边套全明户型位置安静，采光好', '平型关路315弄  | 2室1厅 | 51.29平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1981年建板楼  -  闸北公园', '320万', '单价62391元/平米')
