('https://image1.ljcdn.com/330100-inspection/353626ee-aedd-4977-88f2-6d8fa77aa0e3.jpg.296x216.jpg', '都市枫林经典三房，房东诚心卖，看房方便', '通和都市枫林  | 3室2厅 | 106.82平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  石桥', '352.6万', '单价33004元/平米')
('https://image1.ljcdn.com/330100-inspection/b811aff4-a28a-40c8-8386-7c45f7c32b64.jpg.296x216.jpg', '改善大面积四房 小区内部 全明户型 自住装修 交通方便', '水印康庭  | 4室2厅 | 139.01平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  三塘', '550万', '单价39566元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadb86c415b-a315-41a8-87fa-4589c071b9cf.jpg.296x216.jpg', '芳洲苑大两房 可做三房  沿河', '北景园芳洲苑  | 2室2厅 | 94.6平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2005年建塔楼  -  石桥', '275万', '单价29070元/平米')
('https://image1.ljcdn.com/330100-inspection/379ae3d5-40f8-4be7-bf3c-c8c393d64c43.jpg.296x216.jpg', '镜瑞弄 一室小套 总价低 长寿桥 楼层好', '镜瑞弄  | 1室1厅 | 39.25平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  众安桥', '235万', '单价59873元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload282ce2df-c613-4318-acfd-98a8da5e9dac.jpg.296x216.jpg', '平凡里公寓二期  中高楼层  采光较好 满五唯一没双税', '平凡里公寓  | 2室1厅 | 82.55平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2004年建板楼  -  流水苑', '362万', '单价43853元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadcf57ea87-4b66-4152-8872-cdcb18d80a73.jpg.296x216.jpg', '电梯三房 楼层好 诚心出售 看房方便', '水星阁  | 3室2厅 | 124.55平米 | 南 | 简装 | 有电梯', '低楼层(共24层)1998年建板楼  -  体育场路', '538万', '单价43196元/平米')
('https://image1.ljcdn.com/330100-inspection/9f1be292-3a1e-499f-843e-f64ce48493f7.jpg.296x216.jpg', '春丰苑 中间楼层 两房朝南 户型正气 客厅带窗红会医院', '春丰苑  | 3室2厅 | 100.37平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  建国北路', '460万', '单价45831元/平米')
('https://image1.ljcdn.com/330100-inspection/ed1b2da1-175e-4f3c-a3bc-9d81855e7547.JPG.296x216.jpg', '户型方正，南北朝向，精装自住，保养很好。', '元都新景公寓  | 2室1厅 | 90.34平米 | 南 | 精装 | 有电梯', '高楼层(共15层)2009年建塔楼  -  石桥', '290万', '单价32101元/平米')
('https://image1.ljcdn.com/330100-inspection/f4783df7-7345-45f3-a966-06e80b92b044.jpg.296x216.jpg', '北景园荷风苑两室两厅户型正气看房方便', '北景园荷风苑  | 2室1厅 | 91.65平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建板楼  -  石桥', '280万', '单价30552元/平米')
('https://image1.ljcdn.com/330100-inspection/485306d2-a8f7-47eb-97a7-5052e61643c8.jpg.296x216.jpg', '中江花园 3房朝南 边套全明 视野开阔', '中江花园  | 3室2厅 | 147平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2000年建板楼  -  建国北路', '699万', '单价47552元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload43c3bb83-4749-4a9a-ad98-fea41518359f.jpg.296x216.jpg', '朝晖苑 电梯房 2000年房龄 三房朝南', '朝晖七区  | 3室1厅 | 120.1平米 | 南 北 | 简装 | 有电梯', '中楼层(共18层)1986年建板楼  -  朝晖', '535万', '单价44547元/平米')
('https://image1.ljcdn.com/330100-inspection/6e559818-70af-4d09-b4b8-7a8775ea6d74.jpg.296x216.jpg', '青蓝好房小户型满五自住精装修环境安静', '东清巷  | 1室1厅 | 33.06平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  长庆', '168万', '单价50817元/平米')
('https://image1.ljcdn.com/330100-inspection/44baab61-0004-4843-909c-38ba90a37e92.jpg.296x216.jpg', '朝晖九区 中间楼层 东边套 小两房', '朝晖九区  | 2室1厅 | 57.44平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)1993年建板楼  -  朝晖', '252万', '单价43872元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7fec5a05-d3b5-4978-85fd-a456205fb126.jpg.296x216.jpg', '锦园小区  满五且唯一 中间楼层  自住精装修 全明户型', '锦园小区  | 2室1厅 | 54.53平米 | 东 南 | 精装 | 无电梯', '中楼层(共7层)1994年建板楼  -  建国北路', '242万', '单价44380元/平米')
('https://image1.ljcdn.com/330100-inspection/test-58f5082f-25c4-471e-9d56-dca3dd3a603c.png.296x216.jpg', '青蓝低总价小三房    采光无遮挡     业主诚心出售', '遥祥寺巷  | 3室1厅 | 69.07平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1993年建板楼  -  长庆', '305万', '单价44159元/平米')
('https://image1.ljcdn.com/330100-inspection/30828fd8-ad4c-4002-8a3c-bed23902945a.jpg.296x216.jpg', '次顶楼，采光好，格局好，视野开阔。', '青春坊  | 3室1厅 | 106.04平米 | 东 南 | 简装 | 有电梯', '高楼层(共20层)1998年建板楼  -  长庆', '515万', '单价48567元/平米')
('https://image1.ljcdn.com/330100-inspection/6e8fe9c8-471e-44a3-8156-d254a880daa4.jpg.296x216.jpg', '青蓝 中河高架地铁口 小两房年轻人刚需的选择', '林司后  | 2室0厅 | 44.15平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1991年建板楼  -  长庆', '207万', '单价46886元/平米')
('https://image1.ljcdn.com/330100-inspection/e71c4d19-45ac-4483-b059-6e8c767a0228.jpg.296x216.jpg', '朝晖七区大面积改善房 跃层结构 带露台 采光无遮挡', '朝晖七区  | 3室2厅 | 112.91平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1986年建板楼  -  朝晖', '450万', '单价39855元/平米')
('https://image1.ljcdn.com/330100-inspection/35c5db54-7a4a-4b3b-ab85-10bb4bd6abf3.jpg.296x216.jpg', '安吉路 近地铁 近西湖 一楼带20方大院子', '环西新村  | 2室1厅 | 49.6平米 | 南 | 精装 | 无电梯', '低楼层(共4层)1989年建板楼  -  武林', '310万', '单价62500元/平米')
('https://image1.ljcdn.com/330100-inspection/fb2ed335-7dc4-4dc5-9820-b54ec18866ef.jpg.296x216.jpg', '钛合国际 新上房源 看房随时 诚心出售', '钛合国际  | 1室1厅 | 51.86平米 | 北 | 精装 | 有电梯', '中楼层(共27层)2008年建塔楼  -  流水苑', '130万', '单价25068元/平米')
('https://image1.ljcdn.com/330100-inspection/25dbeb58-90eb-4836-b3df-93e46b363208.jpg.296x216.jpg', '绿洲花园房龄新，楼层高，采光优良。', '绿洲花园  | 4室2厅 | 220.83平米 | 南 | 简装 | 有电梯', '高楼层(共15层)2004年建板塔结合  -  流水苑', '860万', '单价38944元/平米')
('https://image1.ljcdn.com/330100-inspection/3c52fcd2-1174-401c-8249-18255d559f3d.jpg.296x216.jpg', '居家三房  中间楼层  近地铁 南北通透好房子 诚心出售', '东园小区  | 3室1厅 | 58.49平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1993年建板楼  -  建国北路', '260万', '单价44453元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploade640ac43-f968-47d3-9cc9-d4b4af22c0c9.JPG.296x216.jpg', '沿河，满五年，诚心出售，采光好', '三里家园一区  | 3室2厅 | 122.42平米 | 南 北 | 简装 | 有电梯', '低楼层(共16层)2006年建塔楼  -  三里亭', '460万', '单价37576元/平米')
('https://image1.ljcdn.com/330100-inspection/2b76ea33-3f34-4e09-93b0-25fc0bed7ef2.jpg.296x216.jpg', '朝晖四区 96年左右房龄 视野开阔 采光好', '朝晖四区  | 3室1厅 | 76.63平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1989年建板楼  -  朝晖', '275万', '单价35887元/平米')
('https://image1.ljcdn.com/330100-inspection/6facbd9e-d43b-4ad6-b569-3225119d6feb.jpg.296x216.jpg', '仙林苑小高层电梯房 边套户型 带装修', '仙林苑  | 2室2厅 | 88.94平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2000年建板楼  -  众安桥', '580万', '单价65213元/平米')
('https://image1.ljcdn.com/330100-inspection/e2fa63cd-9a56-4164-a30b-7f1ee915f5f2.jpg.296x216.jpg', '钻石三楼 房东自住精装修全明东边套', '艮园社区  | 2室1厅 | 55.89平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1992年建板楼  -  建国北路', '258万', '单价46163元/平米')
('https://image1.ljcdn.com/330100-inspection/1ad351ee-4c11-41ef-a8c4-6600c2d5e8f1.jpg.296x216.jpg', '养眼的户型 复古的装修 老幼皆宜的楼层 还不下手！', '流水苑  | 2室2厅 | 82.98平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  流水苑', '372万', '单价44831元/平米')
('https://image1.ljcdn.com/330100-inspection/e4e97a21-8422-4515-a520-4974fb336d3e.jpg.296x216.jpg', '青春坊 1室1厅 168万', '青春坊  | 1室1厅 | 33.92平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  长庆', '168万', '单价49529元/平米')
('https://image1.ljcdn.com/330100-inspection/accefce8-31a3-4a7d-8689-73087c0bda3a.jpg.296x216.jpg', '业主自住 精装大三房 采光好 视野开阔 西边套', '北景园水镜苑  | 3室2厅 | 133.47平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  石桥', '380万', '单价28471元/平米')
('https://image1.ljcdn.com/330100-inspection/6acdb175-6fed-4cbd-9a1b-0c4ce7d8e792.jpg.296x216.jpg', '朝晖九区 拥有高得房率 南北通透 采光不受影响', '朝晖九区  | 2室1厅 | 74.59平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  朝晖', '310万', '单价41561元/平米')
('https://image1.ljcdn.com/330100-inspection/a88cbd5f-c9d6-4acc-a0a6-163adf66e657.jpg.296x216.jpg', '此房名下满五年唯一住房，三开间朝南，东边套。', '中大凤栖花园  | 3室2厅 | 131.17平米 | 南 | 精装 | 无电梯', '低楼层(共7层)2003年建板楼  -  潮鸣', '698万', '单价53214元/平米')
('https://image1.ljcdn.com/330100-inspection/a496b955-2596-41e0-8829-dcd26954d9fb.jpg.296x216.jpg', '三塘南村  三开间朝南   采光好   诚心出售', '三塘南村  | 2室2厅 | 76.19平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1998年建板楼  -  三塘', '280万', '单价36751元/平米')
('https://image1.ljcdn.com/330100-inspection/d48c2efc-13da-4274-a093-70c06a3a4a17.jpg.296x216.jpg', '三塘兰园：楼层3楼，现空置有钥匙，南北通2房南诚心售', '三塘兰园  | 2室1厅 | 87.46平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  三塘', '350万', '单价40019元/平米')
('https://image1.ljcdn.com/330100-inspection/9779d3b4-0a5c-49da-a3ed-8c250eee6c02.jpg.296x216.jpg', '三房朝南，全明户型，满五减免增增值税。。', '流水北苑  | 4室2厅 | 125.63平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1996年建板楼  -  流水苑', '530万', '单价42188元/平米')
('https://image1.ljcdn.com/330100-inspection/83f1b6d7-2e3d-43f6-8b9a-c642f8041718.JPG.296x216.jpg', '元都新景 户型好 两房朝南带阳台', '元都新景公寓  | 2室2厅 | 90.34平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共15层)2009年建塔楼  -  石桥', '278万', '单价30773元/平米')
('https://image1.ljcdn.com/330100-inspection/4699cb3d-23be-4dc6-bf10-8b31f326104c.jpg.296x216.jpg', '朝晖七区 两房朝南 中间楼层 小两房 交通方便', '朝晖七区  | 2室0厅 | 36.49平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1986年建板楼  -  朝晖', '165万', '单价45218元/平米')
('https://image1.ljcdn.com/330100-inspection/60c6db62-cd11-4f04-ba46-9c64984f8e51.jpg.296x216.jpg', '朝晖二区 优选好房 满五唯一 两房朝南 南北通透精装修', '朝晖二区  | 2室1厅 | 62.21平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)1985年建板楼  -  朝晖', '250万', '单价40187元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_uploadc46f6a39-ca86-4925-b2fc-6c52f8578619.jpg.296x216.jpg', '流水苑满五年，免双税。中间楼层', '流水苑  | 3室1厅 | 75.98平米 | 西 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  流水苑', '290万', '单价38168元/平米')
('https://image1.ljcdn.com/330100-inspection/4399fd70-713e-4d1b-886c-d2c960e058cc.JPG.296x216.jpg', '新上房源，总价低看房方便，楼层佳、房型正气，免双税', '三里家园一区  | 2室1厅 | 51.16平米 | 南 | 精装 | 无电梯', '中楼层(共7层)2006年建板楼  -  三里亭', '215万', '单价42026元/平米')
('https://image1.ljcdn.com/330100-inspection/1b870d7d-d9ed-4729-be03-9a8307e41169.jpg.296x216.jpg', '朝晖五区 婚房精装修 户型方正 拎包入住', '朝晖五区  | 2室1厅 | 74.29平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1981年建板楼  -  朝晖', '330万', '单价44421元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload7fcdf520-b8a3-43f8-a074-605e244b8964.jpg.296x216.jpg', '流水苑新上房源 30万婚房装修两房 好楼层 采光好！！', '流水苑  | 2室2厅 | 59.73平米 | 南 西 北 | 精装 | 无电梯', '中楼层(共7层)1999年建板楼  -  流水苑', '245万', '单价41018元/平米')
('https://image1.ljcdn.com/330100-inspection/rsp_pic_upload71fcce3a-9aef-4819-9c7a-9938f65f2878.jpg.296x216.jpg', '春丰苑 有阁楼带露台 建国北路地铁口 自住装修', '春丰苑  | 3室1厅 | 107.95平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1999年建板楼  -  建国北路', '539万', '单价49931元/平米')
('https://image1.ljcdn.com/330100-inspection/e25c1507-b378-4ae2-8788-6f1b9a09f610.jpg.296x216.jpg', '武林路，三室好房，两房朝南，一楼带大院子', '武林路  | 3室1厅 | 82.27平米 | 南 | 毛坯 | 无电梯', '低楼层(共5层)1995年建板楼  -  武林', '460万', '单价55914元/平米')
('https://image1.ljcdn.com/330100-inspection/f3a3acb8-d898-4273-b89c-66cf675bd926.jpg.296x216.jpg', '三塘桂园 4室1厅 336万', '三塘桂园  | 4室1厅 | 84.88平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2000年建板楼  -  三塘', '336万', '单价39586元/平米')
('https://image1.ljcdn.com/330100-inspection/b77183fe-498e-4929-a70e-9e5205eee89e.jpg.296x216.jpg', '满五唯一，大面积精装修，无遮挡采光佳。', '通和都市枫林  | 3室1厅 | 107.68平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2006年建板楼  -  石桥', '320万', '单价29718元/平米')
('https://image1.ljcdn.com/330100-inspection/479e85f1-d912-4e2c-8330-f95e5431bb66.jpg.296x216.jpg', '长寿桥大三房，中间楼层，户型正，满五唯一', '屏风苑小区  | 3室2厅 | 110.32平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  天水', '650万', '单价58920元/平米')
('https://image1.ljcdn.com/330100-inspection/755d4897-8c26-4aa2-a9d6-9f4e0e0364c6.jpg.296x216.jpg', '泰和苑 电梯房 三开间朝南 户型好', '泰和苑  | 2室1厅 | 94.39平米 | 南 | 简装 | 有电梯', '低楼层(共22层)1998年建板楼  -  潮鸣', '400万', '单价42378元/平米')
('https://image1.ljcdn.com/330100-inspection/d88ebb86-94c5-4454-9c93-1ed78959cd04.jpg.296x216.jpg', '泰和苑 1室1厅 225万', '泰和苑  | 1室1厅 | 51.6平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1998年建板楼  -  潮鸣', '225万', '单价43605元/平米')
('https://image1.ljcdn.com/330100-inspection/423d63a4-c49d-4801-8551-3ebecd7bcd40.jpg.296x216.jpg', '三塘沁园 总价低 楼层好 采光好 适合一家人', '三塘沁园  | 2室1厅 | 54.54平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1998年建板楼  -  三塘', '220万', '单价40338元/平米')
('https://image1.ljcdn.com/330100-inspection/e298fa6a-da2d-4fb1-842f-75fb546cdfcb.jpg.296x216.jpg', '元都新景大两房，可造性强。两房朝南双阳台', '元都新景公寓  | 2室2厅 | 91.81平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共14层)2009年建塔楼  -  石桥', '282万', '单价30716元/平米')
