('https://image1.ljcdn.com/441900-inspection/cce0e410-e1f2-4403-89f6-67b45e10ba7a.jpg.296x216.jpg', '景湖春天大三房放售 带两个阳台 花园中间位置 很安静', '光大景湖春天  | 3室2厅 | 107平米 | 西北 | 其他', '低楼层(共10层)塔楼  -  火炼树', '220万', '单价20561元/平米')
('https://image1.ljcdn.com/441900-inspection/ea28cdd5-28cd-4e9d-ad03-ce8f13ed42f6.jpg.296x216.jpg', '精装两房，户型朝南，采光好，位置安静，配套成熟', '中信德方斯  | 2室2厅 | 75平米 | 东南 | 其他', '低楼层(共20层)塔楼  -  东泰', '145万', '单价19334元/平米')
('https://image1.ljcdn.com/441900-inspection/bbac3bb1-2f2a-4779-831b-284b3080b217.jpg.296x216.jpg', '东泰花园荣华苑 2室2厅 106万', '东泰花园荣华苑  | 2室2厅 | 69.5平米 | 东北 | 其他', '高楼层(共8层)塔楼  -  东泰', '106万', '单价15252元/平米')
('https://image1.ljcdn.com/441900-inspection/d79e6faa-64a8-4949-a79f-553be1796983.jpg.296x216.jpg', '户型方正，小两房，自住温馨住房。', '中信阳光假日  | 2室2厅 | 60.37平米 | 北 | 其他', '中楼层(共6层)暂无数据  -  东泰', '115万', '单价19050元/平米')
('https://image1.ljcdn.com/441900-inspection/bf1844b8-404c-4e1e-adf7-4d675aceeae1.jpg.296x216.jpg', '通透大4房          花园小区', '中惠丽阳时代  | 4室1厅 | 194.41平米 | 北 | 简装', '中楼层(共21层)塔楼  -  石井', '270万', '单价13889元/平米')
('', '东城中 心五期 满五唯一 配套齐全 高楼层通风采光好', '东城中心  | 4室2厅 | 196.17平米 | 东 | 其他', '中楼层(共17层)塔楼  -  黄旗山', '330万', '单价16823元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload5957df0b-c040-4dda-a84e-111b0f272db7.jpg.296x216.jpg', '此房双阳台，南北对流，保养好，采光充足 视野开阔', '朝阳苑  | 3室2厅 | 148平米 | 南 | 精装', '中楼层(共18层)2009年建塔楼  -  石井', '310万', '单价20946元/平米')
('https://image1.ljcdn.com/441900-inspection/638d424a-a09d-45d9-9298-34cfa9b9363f.jpg.296x216.jpg', '装修保养很好，电梯房，户型方正。采光好', '怡丰都市广场  | 2室1厅 | 49平米 | 南 | 其他', '中楼层(共11层)塔楼  -  东泰', '75万', '单价15307元/平米')
('https://image1.ljcdn.com/441900-inspection/16dff72e-4f00-4e3e-bf51-d0f5a741bfb8.jpg.296x216.jpg', '万达广场旁 正规两房 交通便利 封闭式小区 南向', '中惠丽阳时代  | 2室2厅 | 65.56平米 | 西南 | 简装', '低楼层(共26层)塔楼  -  石井', '108万', '单价16474元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload1cefe2b3-36be-4bc5-93f3-915c95f7c8cb.jpg.296x216.jpg', '万佳花园 朝南3房 中楼层 送杂物房 入学方便', '万佳花园  | 3室2厅 | 122.67平米 | 南 | 其他', '中楼层(共8层)塔楼  -  花园新村', '100万', '单价8152元/平米')
('https://image1.ljcdn.com/441900-inspection/b453db0f-4710-4fe4-bd6a-b9ceeb4e1323.jpg.296x216.jpg', '嘉华苑两房装修保养好 适合居家', '东泰花园嘉华苑  | 2室1厅 | 75.7平米 | 南 | 其他', '高楼层(共7层)塔楼  -  东泰', '110万', '单价14532元/平米')
('https://image1.ljcdn.com/441900-inspection/073dd8be-0de1-4d8c-9ade-28af84fcf404.jpg.296x216.jpg', '精装修4房2厅，满五唯一房子保养好！', '锦绣旗峰  | 4室2厅 | 205平米 | 北 | 精装', '中楼层(共11层)塔楼  -  火炼树', '492万', '单价24000元/平米')
('https://image1.ljcdn.com/441900-inspection/b39e0bf6-141c-48b3-b790-ad9a2c857402.jpg.296x216.jpg', '景湖春天，双阳台格局方正，周 边生活商 业配套齐全', '光大景湖春天  | 4室2厅 | 130.96平米 | 西北 | 精装', '中楼层(共5层)暂无数据  -  火炼树', '198万', '单价15120元/平米')
('https://image1.ljcdn.com/441900-inspection/78ee0fe6-ff90-4516-8b7d-ab8cdef4e562.jpg.296x216.jpg', '地铁口物业，满五省增值税，户型方正，业主诚意出售.', '怡丰公寓  | 2室1厅 | 53平米 | 东北 | 其他', '低楼层(共17层)塔楼  -  东泰', '120万', '单价22642元/平米')
('https://image1.ljcdn.com/441900-inspection/9d7a1a76-e411-4603-aaa9-1567c8783615.jpg.296x216.jpg', '万佳花园 大3房 交通 入学便利 送杂物房 装修保养好', '万佳花园  | 3室2厅 | 127.22平米 | 北 | 其他', '中楼层(共8层)塔楼  -  花园新村', '90万', '单价7075元/平米')
('https://image1.ljcdn.com/440300-inspection/74d44167-4c50-4bd9-811f-56f815dce9e9.jpg.296x216.jpg', '新世纪豪园 满五年红本在手 业主诚售', '新世纪豪园二期  | 4室2厅 | 264.44平米 | 南 北 | 简装', '低楼层(共10层)塔楼  -  火炼树', '450万', '单价17018元/平米')
('https://image1.ljcdn.com/441900-inspection/e450a960-a89f-426d-9bec-417bd6fc419d.jpg.296x216.jpg', '万达广场旁 繁华地段 黄旗山脚下', '东海阳光  | 1室0厅 | 44平米 | 东 | 其他', '低楼层(共25层)塔楼  -  世博广场', '85万', '单价19319元/平米')
('https://image1.ljcdn.com/441900-inspection/0606acfd-afe5-4390-939e-ee7799baaa17.jpg.296x216.jpg', '东南向少有的高层边位，通风采光俱佳，读莞师附校', '天骄峰景B区  | 3室2厅 | 80.49平米 | 西北 | 其他', '低楼层(共17层)塔楼  -  石井', '330万', '单价40999元/平米')
('https://image1.ljcdn.com/441900-inspection/6bd619a3-c659-46e4-8228-8873e3b42c21.jpg.296x216.jpg', '星河传说 聚星岛155平四房 诚心出售', '星河传说聚星岛A区  | 4室2厅 | 155平米 | 西 | 其他', '中楼层(共12层)2006年建塔楼  -  石井', '420万', '单价27097元/平米')
('https://image1.ljcdn.com/441900-inspection/0fe766f6-75c3-4f65-9a52-798949bfed58.jpg.296x216.jpg', '宜景康源高楼层，复式结构，精装修家私家电全带', '宜景康源  | 1室1厅 | 36.62平米 | 南 | 其他', '高楼层(共14层)塔楼  -  世博广场', '65万', '单价17750元/平米')
('https://image1.ljcdn.com/441900-inspection/32ef6134-c105-49fd-a09b-e85f11c95785.jpg.296x216.jpg', '把边位置中高层，东南方向采光充足，配套实施齐全', '天骄峰景B区  | 4室2厅 | 80平米 | 东南 | 其他', '高楼层(共17层)塔楼  -  石井', '350万', '单价43750元/平米')
('https://image1.ljcdn.com/441900-inspection/2aabffd7-3e2f-44b9-8955-8ccd28a82ba3.jpg.296x216.jpg', '东泰花园 裕华苑一楼 3房  带大花园  停车方便', '东泰花园裕华苑  | 3室2厅 | 110.15平米 | 北 | 其他', '低楼层(共11层)塔楼  -  东泰', '180万', '单价16342元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload16181f49-d319-4aef-af1d-955349a45c58.jpg.296x216.jpg', '精美装修 带租约出售 交通便利 配套成熟', '东泰花园风云汇  | 1室0厅 | 43.26平米 | 北 | 其他', '低楼层(共17层)塔楼  -  东泰', '67万', '单价15488元/平米')
('https://image1.ljcdn.com/441900-inspection/6e3395c0-70d1-4e71-9d0c-8eccdf2476bd.jpg.296x216.jpg', '怡丰都市 3房 满五唯一 省双税 朝凯旋城 楼层高采光好', '怡丰都市广场  | 3室2厅 | 112.2平米 | 西南 | 其他', '高楼层(共12层)塔楼  -  东泰', '207万', '单价18450元/平米')
('https://image1.ljcdn.com/441900-inspection/2fa3eba4-ee4e-46ce-837b-0a7c5d316811.jpg.296x216.jpg', '此房满五唯一免双税，位置安静舒适 采光好，保养好', '中信凯旋城  | 4室2厅 | 169.58平米 | 南 | 其他', '低楼层(共11层)塔楼  -  东泰', '425万', '单价25062元/平米')
('https://image1.ljcdn.com/441900-inspection/130e1161-071e-4f12-8e57-262863eb8adf.jpg.296x216.jpg', '地铁口 户型方正 小区环境好 入住舒适', '格兰名筑  | 3室2厅 | 116平米 | 北 | 其他', '低楼层(共15层)塔楼  -  主山', '280万', '单价24138元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbcbd47d5-6cf0-426e-9edc-a48a468e1e70.jpg.296x216.jpg', '次房满五唯一  带前后阳台，南北对流，户型方正实用', '中信阳光假日  | 3室2厅 | 136平米 | 西南 | 简装', '高楼层(共6层)暂无数据  -  东泰', '230万', '单价16912元/平米')
('https://image1.ljcdn.com/441900-inspection/2574f6ea-db1c-437b-ab05-67581e01d865.jpg.296x216.jpg', '凯旋城标准三房，位置安静，南北对流', '中信凯旋城  | 3室2厅 | 142.76平米 | 南 北 | 其他', '低楼层(共16层)塔楼  -  东泰', '385万', '单价26969元/平米')
('https://image1.ljcdn.com/441900-inspection/e79ef9f2-3553-4ac9-9356-ec30bca8ce20.jpg.296x216.jpg', '东城地铁站，漂亮三房，有小区电梯房。', '金泽花园  | 3室1厅 | 120.5平米 | 南 | 其他', '中楼层(共19层)2006年建塔楼  -  东平街', '188万', '单价15602元/平米')
('https://image1.ljcdn.com/441900-inspection/11ae2f0a-e180-4a31-ab43-dd3a4566f7e3.jpg.296x216.jpg', '中信德方斯满五唯一，业主诚心出售。', '中信德方斯  | 1室0厅 | 43.67平米 | 西北 | 其他', '中楼层(共22层)塔楼  -  东泰', '73万', '单价16717元/平米')
('https://image1.ljcdn.com/441900-inspection/09492362-a792-4909-8259-b7c55e43a122.jpg.296x216.jpg', '联华花园城高层通透大3房，带家私电器出售，万科商圈', '联华花园城  | 3室2厅 | 132.47平米 | 西北 | 精装', '高楼层(共17层)暂无数据  -  上下桥', '246万', '单价18571元/平米')
('https://image1.ljcdn.com/441900-inspection/6f804027-714d-4871-b961-6e6b19bb9493.jpg.296x216.jpg', '东泰花园明华苑 2室2厅 130万', '东泰花园明华苑  | 2室2厅 | 81.3平米 | 南 | 其他', '高楼层(共8层)塔楼  -  东泰', '130万', '单价15991元/平米')
('https://image1.ljcdn.com/441900-inspection/11b1b6b6-bae0-446f-8d6c-351d9f56fcd6.jpg.296x216.jpg', '宏远御庭山毛坯安静4房诚意出售', '宏远御庭山  | 4室2厅 | 143.96平米 | 南 | 其他', '低楼层(共18层)塔楼  -  黄旗山', '235万', '单价16324元/平米')
('https://image1.ljcdn.com/441900-inspection/b20b2c89-da0f-49a1-8791-b3fbb03a19c9.jpg.296x216.jpg', '没有增值税，东南向少有的高层边位，通风采光俱佳', '天骄峰景B区  | 4室2厅 | 80平米 | 东南 | 其他', '中楼层(共17层)塔楼  -  石井', '335万', '单价41875元/平米')
('https://image1.ljcdn.com/440300-inspection/4b35820e-2ee1-423d-8fa4-039e8a4af011.jpg.296x216.jpg', '东城  中  心  东城地铁口方正格局，视野开阔', '东城中心  | 4室2厅 | 178.75平米 | 东北 | 其他', '高楼层(共17层)塔楼  -  黄旗山', '310万', '单价17343元/平米')
('https://image1.ljcdn.com/441900-inspection/f9de562a-c387-4ba3-87fc-ba3f79d3312f.jpg.296x216.jpg', '侨苑山庄  别墅围绕 户型方正 业主自住 看房方便', '侨苑山庄  | 5室2厅 | 197.59平米 | 南 | 其他', '中楼层(共6层)塔楼  -  上下桥', '175万', '单价8857元/平米')
('https://image1.ljcdn.com/441900-inspection/ff83fbde-801d-42ce-87cd-de8182ba3061.jpg.296x216.jpg', '广东省内一套住房满五年 免双税', '新世纪豪园二期  | 3室2厅 | 165.68平米 | 东南 | 其他', '中楼层(共11层)塔楼  -  火炼树', '370万', '单价22333元/平米')
('https://image1.ljcdn.com/441900-inspection/1753a663-7317-41cb-ac2b-658a8ce1b74a.jpg.296x216.jpg', '金月湾花园 4室2厅 325.5万', '金月湾花园  | 4室2厅 | 154.91平米 | 南 | 其他', '低楼层(共12层)塔楼  -  世博广场', '325.5万', '单价21013元/平米')
('https://image1.ljcdn.com/441900-inspection/bcc24bc7-4e60-45b1-9ff5-a87bc750400b.jpg.296x216.jpg', '黄旗山一号精装修的宽奢4房，带一个子母车位，朝向好', '黄旗山1号  | 3室2厅 | 180平米 | 南 | 其他', '中楼层(共26层)塔楼  -  石井', '550万', '单价30556元/平米')
('https://image1.ljcdn.com/441900-inspection/4aed08d9-9f1b-4323-a2d4-616b1fae1707.jpg.296x216.jpg', '黄旗印象复式四房放卖 装修保养新', '黄旗印象  | 4室2厅 | 74.66平米 | 东北 | 其他', '中楼层(共16层)塔楼  -  火炼树', '212万', '单价28396元/平米')
('https://image1.ljcdn.com/441900-inspection/205c4ce0-1345-4489-bc67-62e24115508e.jpg.296x216.jpg', '纯东城地铁口 商圈林立 满五唯一复式两房 诚意出售', '香缤时代园  | 2室1厅 | 50.39平米 | 东南 东北 | 精装', '低楼层(共13层)塔楼  -  世博广场', '120万', '单价23815元/平米')
('https://image1.ljcdn.com/441900-inspection/9b9af673-c43c-4cdc-9718-fa7b9af0820d.jpg.296x216.jpg', '户型方正，价格亲民。  城区范围，配套齐全', '嘉富大厦  | 3室2厅 | 98平米 | 东南 | 其他', '高楼层(共6层)塔楼  -  花园新村', '65万', '单价6633元/平米')
('https://image1.ljcdn.com/441900-inspection/b0b551e4-03b8-421e-bf5e-ef2237e9319a.png.296x216.jpg', '居家装修 朝向好 高楼层户型方正', '中信德方斯  | 1室1厅 | 59.04平米 | 东 | 精装', '中楼层(共20层)塔楼  -  东泰', '115万', '单价19479元/平米')
('https://image1.ljcdn.com/441900-inspection/7c48ca18-83db-4771-b423-d29cbe73b39f.jpg.296x216.jpg', '东泰花园兴华苑 2室1厅 93万', '东泰花园兴华苑  | 2室1厅 | 67平米 | 北 | 简装', '高楼层(共8层)塔楼  -  东泰', '93万', '单价13881元/平米')
('https://image1.ljcdn.com/441900-inspection/ba931841-6174-4065-a59b-2c4b50cca432.jpg.296x216.jpg', '中信凯旋城 四房出售 装修保养好 户型方正', '中信凯旋城  | 4室2厅 | 169平米 | 南 | 其他', '低楼层(共11层)塔楼  -  东泰', '480万', '单价28403元/平米')
('https://image1.ljcdn.com/441900-inspection/d2a6d5e1-bbaf-47f8-b06b-5a45e32fac75.jpg.296x216.jpg', '满五唯一免双税，中楼层，南北通透，位置好', '中信阳光假日  | 5室2厅 | 195.97平米 | 南 | 其他', '中楼层(共11层)塔楼  -  东泰', '380万', '单价19391元/平米')
('https://image1.ljcdn.com/441900-inspection/38d120d9-7d1d-47e8-beaf-4f0e64ee9ae3.jpg.296x216.jpg', '原3房改为大2房  装修新 格层正 采光好', '光大花园金碧苑  | 2室2厅 | 102平米 | 南 | 精装', '高楼层(共8层)塔楼  -  火炼树', '150万', '单价14706元/平米')
('https://image1.ljcdn.com/441900-inspection/39df135f-dab4-468f-b785-de80adcc8924.jpg.296x216.jpg', '东城中  心  满五唯一 中间层大三房 厅出阳台', '东城中心  | 3室2厅 | 94平米 | 东南 | 其他', '中楼层(共6层)塔楼  -  黄旗山', '138万', '单价14681元/平米')
('https://image1.ljcdn.com/441900-inspection/0997e5a6-c92d-4d9a-aa57-6f1bf230abac.jpg.296x216.jpg', '中信德方斯 2室2厅 155万', '中信德方斯  | 2室2厅 | 78.06平米 | 西北 | 精装', '低楼层(共20层)塔楼  -  东泰', '155万', '单价19857元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploade0b3c33f-7eca-40b4-8a8a-d8fefa717d0f.jpg.296x216.jpg', '万达公馆 新装修四房，安静舒适', '东城万达广场  | 4室2厅 | 233平米 | 南 | 其他', '低楼层(共30层)板楼  -  世博广场', '700万', '单价30043元/平米')
('https://image1.ljcdn.com/441900-inspection/a479d0f7-5f33-4e04-9ceb-4492bd739fa6.jpg.296x216.jpg', '低楼层大三房 看房方便 业主诚心出售', '东城中心  | 5室2厅 | 199平米 | 东北 | 其他', '中楼层(共8层)塔楼  -  黄旗山', '198万', '单价9950元/平米')
('https://image1.ljcdn.com/441900-inspection/ddd9a364-ddec-4d58-a7d0-dc7a4a7f4933.jpg.296x216.jpg', '怡丰 3房 装修保养良好 主卧可轻松改4房', '怡丰都市广场  | 3室2厅 | 134.36平米 | 西南 | 其他', '中楼层(共11层)塔楼  -  东泰', '230万', '单价17119元/平米')
('https://image1.ljcdn.com/441900-inspection/9539d106-6705-424f-a2b4-4fe5d1bd2def.jpg.296x216.jpg', '城区繁华地段，标准一房一厅，买到等于赚到', '鼎峰卡布斯  | 1室1厅 | 56.03平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  东泰', '100万', '单价17848元/平米')
('https://image1.ljcdn.com/441900-inspection/f4ca0805-d5fa-46f4-a882-6a9c2938c9c9.jpg.296x216.jpg', '康怡居，满五唯一，通风好，位置地段', '东泰花园康怡居  | 2室2厅 | 89.1平米 | 南 | 简装', '高楼层(共6层)暂无数据  -  东泰', '156万', '单价17509元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddf6d1c83-9df9-4289-98db-57a848eca92c.jpg.296x216.jpg', '君悦2046    51平单间住宅 地铁物业', '君悦2046  | 1室1厅 | 51.58平米 | 西南 | 精装', '低楼层(共15层)塔楼  -  上下桥', '69万', '单价13378元/平米')
('https://image1.ljcdn.com/441900-inspection/4b3d0339-252d-495a-9353-604270830e6f.jpg.296x216.jpg', '中信凯旋城 3室2厅 340万', '中信凯旋城  | 3室2厅 | 140.3平米 | 南 | 其他', '高楼层(共11层)塔楼  -  东泰', '340万', '单价24234元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadee687a5d-1765-4b30-941c-23b653c5eac4.jpg.296x216.jpg', '光大景湖春天 3室2厅 260万', '光大景湖春天  | 3室2厅 | 150.94平米 | 南 | 其他', '低楼层(共16层)塔楼  -  火炼树', '260万', '单价17226元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadf1d8ba94-b542-489a-b69f-9aaaf0defe18.jpg.296x216.jpg', '天骄峰景155平实用三房 业主诚心出售', '天骄峰景  | 3室2厅 | 152.36平米 | 南 | 其他', '低楼层(共30层)2009年建板楼  -  石井', '480万', '单价31505元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadad656286-be57-46ad-836d-de448ad4f9e1.jpg.296x216.jpg', '中信德方斯全新装修两房 成熟小区位置安静 交通便利', '中信德方斯  | 2室2厅 | 74.14平米 | 西北 | 其他', '中楼层(共20层)塔楼  -  东泰', '135万', '单价18209元/平米')
('https://image1.ljcdn.com/441900-inspection/74eb2aea-ea90-45bd-b14c-7428e1ab0204.jpg.296x216.jpg', '万达公馆高楼层看花园 南北通透 装修保养好 拎包入住', '东城万达广场  | 4室2厅 | 197平米 | 东南 西北 | 其他', '中楼层(共30层)塔楼  -  世博广场', '510万', '单价25889元/平米')
('https://image1.ljcdn.com/441900-inspection/701d76dd-89a3-4ace-ba91-a6ec4a07af2e.jpg.296x216.jpg', '户型方正 装修漂亮 配套齐全 业主诚心卖', '东泰花园裕华苑  | 2室2厅 | 89.04平米 | 南 北 | 其他', '高楼层(共11层)塔楼  -  东泰', '168万', '单价18868元/平米')
('https://image1.ljcdn.com/441900-inspection/11e8712c-514e-45cf-bf07-544ae1a8b376.jpg.296x216.jpg', '金成翠榕苑   精装三房  户型方正 通风采光好', '金成翠榕苑  | 3室2厅 | 140平米 | 东南 | 其他', '中楼层(共16层)暂无数据  -  主山', '200万', '单价14286元/平米')
('https://image1.ljcdn.com/441900-inspection/a984c8a9-b4bc-4427-9d3d-f1d1d1621fc8.jpg.296x216.jpg', '满五唯一 户型方正 实用面积大 装修漂亮 配套成熟', '东泰花园富华苑  | 2室2厅 | 73.74平米 | 北 | 其他', '高楼层(共8层)塔楼  -  东泰', '98万', '单价13290元/平米')
('https://image1.ljcdn.com/441900-inspection/138d58f6-4f98-4c44-b226-918a66d6ab32.jpg.296x216.jpg', '满五唯一中信德方斯 电梯居家两房 朝南 高层视野开阔', '中信德方斯  | 2室1厅 | 74.04平米 | 东南 | 简装', '高楼层(共20层)塔楼  -  东泰', '143万', '单价19314元/平米')
('https://image1.ljcdn.com/441900-inspection/70695628-28e2-43fa-b0ea-c9bb133ca48e.jpg.296x216.jpg', '鼎峰卡布斯两房业主诚心出售，中高楼层采光通风好。', '鼎峰卡布斯  | 2室1厅 | 60平米 | 南 北 | 其他', '中楼层(共18层)2009年建塔楼  -  东泰', '125万', '单价20834元/平米')
('https://image1.ljcdn.com/441900-inspection/02f64d4b-041f-4beb-82dd-69be88631336.jpg.296x216.jpg', '庆峰花园 4室2厅 208万', '庆峰花园  | 4室2厅 | 120.36平米 | 东 | 其他', '低楼层(共6层)暂无数据  -  石井', '208万', '单价17282元/平米')
('https://image1.ljcdn.com/441900-inspection/a1d98d7c-60f0-465d-86d8-7ad5602adefa.jpg.296x216.jpg', '一楼带花园   有一个养鱼的小池子  保养好', '中信凯旋城  | 3室2厅 | 121.97平米 | 南 | 其他', '低楼层(共11层)塔楼  -  东泰', '320万', '单价26236元/平米')
('https://image1.ljcdn.com/441900-inspection/49829e0f-41b3-4a8e-ba50-85bc1b53d85c.jpg.296x216.jpg', '黄旗印象 精装三房  南北通透  采光通风好', '黄旗印象  | 3室2厅 | 89平米 | 东南 | 其他', '低楼层(共15层)塔楼  -  火炼树', '210万', '单价23596元/平米')
('https://image1.ljcdn.com/441900-inspection/3abaf254-2be1-4855-b741-abbfae15586b.jpg.296x216.jpg', '地铁口大三房 配套齐全 单价低 免双税', '东城中心  | 3室1厅 | 199平米 | 东南 东北 | 其他', '高楼层(共8层)塔楼  -  黄旗山', '180万', '单价9046元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadc30691f1-7b4e-49e6-bcdc-fb72e24d3a02.jpg.296x216.jpg', '东泰花园中楼层采光好 居家舒服', '东泰花园景华苑  | 4室2厅 | 139.75平米 | 东北 | 简装', '中楼层(共8层)塔楼  -  东泰', '225万', '单价16101元/平米')
('', '满五唯一 低层朝南，安静 交通入学便利。', '万佳花园  | 5室0厅 | 143.97平米 | 南 | 其他', '中楼层(共8层)塔楼  -  花园新村', '115万', '单价7988元/平米')
('https://image1.ljcdn.com/441900-inspection/c71d0668-0cfc-4d5e-bd7d-6a8cdf658636.jpg.296x216.jpg', '天骄峰景小区中间位 满五唯一 视野开阔 无遮挡', '天骄峰景  | 5室2厅 | 286.39平米 | 南 | 毛坯', '高楼层(共31层)2009年建板楼  -  石井', '950万', '单价33172元/平米')
('https://image1.ljcdn.com/441900-inspection/e9efb892-e64e-4d6b-9ef6-e433a3054ca3.jpg.296x216.jpg', '地铁口旁一房一厅，中高楼层，朝南，保养新', '怡丰公寓  | 1室1厅 | 35.45平米 | 南 | 其他', '中楼层(共17层)塔楼  -  东泰', '107.6万', '单价30353元/平米')
('https://image1.ljcdn.com/441900-inspection/5617cdb7-e976-423c-9ef6-b5a675929b34.jpg.296x216.jpg', '锦绣旗峰 311.5㎡顶楼复式 旗峰山景房', '锦绣旗峰  | 5室2厅 | 311.5平米 | 东北 | 其他', '高楼层(共11层)塔楼  -  火炼树', '623万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/ecca8a94-ce23-4046-96d5-a2df2fc40ec5.jpg.296x216.jpg', '东城中 心五期满五唯一，地 铁 口物业，配套齐全', '东城中心  | 5室1厅 | 179.29平米 | 东 | 其他', '中楼层(共17层)塔楼  -  黄旗山', '300万', '单价16733元/平米')
