('https://image1.ljcdn.com/320500-inspection/test-7c6e955e-07fd-4d9f-bddf-e9cf559b50ad.png.296x216.jpg', '南北大三房，精装修，家具家电全留，有钥匙，有车位', '中海御景湾  | 3室2厅 | 117平米 | 南 北 | 精装 | 有电梯', '高楼层(共39层)2015年建板楼  -  金阊新城', '266万', '单价22736元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161120/e94559d7-bbe8-4c33-ab06-41b17af8a161.jpg.296x216.jpg', '天筑家园 火车旁、草桥善耕、一楼老人小孩宜居', '天筑家园北区  | 3室2厅 | 116.75平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2005年建板楼  -  平江新城', '265万', '单价22699元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170702/5dbc5053-5d14-4e59-9779-98f432d53f2e.jpg.296x216.jpg', '家悦花园 全南两房  中上楼层 采光充足 诚心出售', '家悦花园  | 2室1厅 | 82平米 | 南 | 毛坯 | 有电梯', '高楼层(共26层)2014年建板楼  -  平江新城', '168万', '单价20488元/平米')
('https://image1.ljcdn.com/320500-inspection/test-f23831b9-0e98-40de-9ad2-ecd38943cf64.png.296x216.jpg', '大观北三开间朝南大两房，钥匙在手随时看房。', '大观花园北区  | 2室2厅 | 95.93平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2009年建板楼  -  平江新城', '216万', '单价22517元/平米')
('https://image1.ljcdn.com/320500-inspection/test-93420e03-6637-46a9-b9c4-0d93cfab1b67.png.296x216.jpg', '世茂运河城和茂苑二期 3室2厅 395万', '世茂运河城和茂苑二期  | 3室2厅 | 141平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2010年建板楼  -  沧浪新城', '395万', '单价28015元/平米')
('https://image1.ljcdn.com/320500-inspection/test-3198bf0c-a151-4ad2-b6d7-237d6d81698a.png.296x216.jpg', '中海凤凰熙岸 2室2厅 380万', '中海凤凰熙岸  | 2室2厅 | 127.47平米 | 南 | 其他 | 有电梯', '低楼层(共20层)板楼  -  胥江', '380万', '单价29811元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161111/91220ccc-123e-4641-b3c0-f8c9210ca6e8.jpg.296x216.jpg', '苏州世茂广场 1室1厅 82万', '苏州世茂广场  | 1室1厅 | 56平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共28层)2013年建板楼  -  沧浪新城', '82万', '单价14643元/平米')
('https://image1.ljcdn.com/320500-inspection/5edcba41-4631-4e93-ace1-1f455f1463a6.jpg.296x216.jpg', '络香路3号 2室2厅 172万', '络香路3号  | 2室2厅 | 88.13平米 | 南 北 | 精装 | 无电梯', '低楼层(共4层)2008年建板楼  -  金门', '172万', '单价19517元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170923/f3439319-1095-4e49-a6cc-866db19fc6e8.jpg.296x216.jpg', '家悦花园 5室2厅 400万', '家悦花园  | 5室2厅 | 120平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2014年建板楼  -  平江新城', '400万', '单价33334元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e77cfa41-5131-4f59-9564-81019d329628.png.296x216.jpg', '183平方大平层 空中别墅 居住舒适 随时看房', '中锐府上  | 5室2厅 | 183平米 | 南 | 毛坯 | 有电梯', '高楼层(共25层)2017年建板楼  -  平江新城', '530万', '单价28962元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c93bd4b9-add4-49a0-a008-58883e0d8ebe.png.296x216.jpg', '锦沧名苑 2室2厅 255万', '锦沧名苑  | 2室2厅 | 93平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2009年建板楼  -  沧浪新城', '255万', '单价27420元/平米')
('https://image1.ljcdn.com/320500-inspection/test-99199511-f275-464a-be69-4e9a8faaa396.png.296x216.jpg', '南华公寓 2室2厅 188万', '南华公寓  | 2室2厅 | 102.02平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1994年建板楼  -  南门', '188万', '单价18428元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170424/e17c54e4-7b39-437f-a24b-1f7e5cf85b76.jpg.296x216.jpg', '泰南路120号 5室3厅 347万', '泰南路120号  | 5室3厅 | 188平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共4层)板楼  -  胥江', '347万', '单价18458元/平米')
('https://image1.ljcdn.com/320500-inspection/05a70134-e038-4a0a-8120-20463eeb88eb.jpg.296x216.jpg', '庄先湾散盘 2室1厅 97万', '庄先湾散盘  | 2室1厅 | 48.19平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1995年建板楼  -  苏州大学', '97万', '单价20129元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/979c9480-c869-4677-8fa7-7ae5cc2b8b90.jpg.296x216.jpg', '丽景苑 4室2厅 380万', '丽景苑  | 4室2厅 | 156.9平米 | 东 | 简装 | 有电梯', '中楼层(共7层)2002年建板楼  -  平江路', '380万', '单价24220元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2700d8ee-bd30-4b4d-8fcc-8eec11f12bf7.png.296x216.jpg', '银桥新村 3室2厅 155万', '银桥新村  | 3室2厅 | 83平米 | 南 | 精装 | 无电梯', '中楼层(共4层)2000年建板楼  -  胥江', '155万', '单价18675元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2fbba55f-411e-4495-a396-aa19301ab2d4.png.296x216.jpg', '橘子国花园77平小两房，毛坯空置，有钥匙，业主诚售！', '橘子国花园  | 2室2厅 | 77平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2009年建板楼  -  平江新城', '196万', '单价25455元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171006/3f3dd5ba-bc32-42cc-ba5d-86ee2bddf50d.jpg.296x216.jpg', '甲辰巷 4室2厅 230万', '甲辰巷  | 4室2厅 | 57.18平米 | 暂无数据 | 精装 | 无电梯', '低楼层(共3层)2000年建板楼  -  十全街', '230万', '单价40224元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e3222347-a5a9-4e73-b3f2-75116d735f10.png.296x216.jpg', '明日家园 2室2厅 217万', '明日家园  | 2室2厅 | 100平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2004年建板楼  -  南门', '217万', '单价21700元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170608/1eda9568-d191-4298-a5e1-0e9730cf6c30.jpg.296x216.jpg', '新庄新村 2室1厅 97万', '新庄新村  | 2室1厅 | 56.7平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  留园西园', '97万', '单价17108元/平米')
('https://image1.ljcdn.com/320500-inspection/7bcdf5f0-11f6-4081-9f7c-d52323d2e196.jpg.296x216.jpg', '里河一村 2室1厅 95万', '里河一村  | 2室1厅 | 55.08平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1994年建板楼  -  葑门', '95万', '单价17248元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170308/814df483-b09a-40a7-8168-ef017e502155.jpg.296x216.jpg', '嘉业阳光城 3室2厅 220万', '嘉业阳光城  | 3室2厅 | 122平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  留园西园', '220万', '单价18033元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e34e3127-6f49-43d5-af5c-af76b846a1f6.png.296x216.jpg', '盘溪新村 2室1厅 109万', '盘溪新村  | 2室1厅 | 60.23平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1996年建板楼  -  南门', '109万', '单价18098元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160808/cec64692-c48b-48b6-adeb-3da9fcd8afa7.jpg.296x216.jpg', '宏葑新村 2室2厅 130万', '宏葑新村  | 2室2厅 | 67平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  苏州大学', '130万', '单价19403元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ef8e56ac-ea62-4218-8a4e-51ace58b911a.png.296x216.jpg', '西园路9号 2室1厅 145万', '西园路9号  | 2室1厅 | 80.46平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2003年建板楼  -  留园西园', '145万', '单价18022元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ad42cd8c-0f2e-4b06-8188-145092f03c64.png.296x216.jpg', '干将东路散盘 2室1厅 113万', '干将东路散盘  | 2室1厅 | 61.63平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共6层)平房  -  观前街', '113万', '单价18336元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d588e9da-0d99-4337-a4f5-ddfbf3224176.png.296x216.jpg', '三元三村 2室1厅 127万', '三元三村  | 2室1厅 | 65.06平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  金门', '127万', '单价19521元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171224/5fd690f0-5eae-439c-b401-ea24d126b04f.jpg.296x216.jpg', '金都名苑 2室1厅 235万', '金都名苑  | 2室1厅 | 101平米 | 暂无数据 | 精装 | 有电梯', '高楼层(共24层)2008年建板楼  -  金门', '235万', '单价23268元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170708/c7e84783-2a00-4a26-bff1-fd8f5f6c2e46.jpg.296x216.jpg', '养蚕里新村 2室1厅 130万', '养蚕里新村  | 2室1厅 | 53平米 | 暂无数据 | 简装 | 无电梯', '中楼层(共5层)1981年建板楼  -  南门', '130万', '单价24529元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170625/3cbe5096-cd6b-42c3-a55d-ac3f88b81586.jpg.296x216.jpg', '公园天下 2室2厅 255万', '公园天下  | 2室2厅 | 99.45平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2000年建板楼  -  胥江', '255万', '单价25642元/平米')
('https://image1.ljcdn.com/320500-inspection/test-3811f069-f4bd-4fbf-bc9f-f32d2a56b3ec.png.296x216.jpg', '柳家浜 2室2厅 126万', '柳家浜  | 2室2厅 | 69平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1998年建板楼  -  胥江', '126万', '单价18261元/平米')
('https://image1.ljcdn.com/320500-inspection/test-b0eefe5e-bd4e-44e9-bcdb-839823c7840b.png.296x216.jpg', '南华公寓精装复式 使用面积大 处于交通要到和古城南边', '南华公寓  | 3室2厅 | 101平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  南门', '240万', '单价23763元/平米')
('https://image1.ljcdn.com/320500-inspection/test-e852a141-7d3c-400e-85ca-e9e58f07004a.png.296x216.jpg', '鑫苑景园 3室2厅 236万', '鑫苑景园  | 3室2厅 | 110平米 | 南 | 精装 | 有电梯', '中楼层(共16层)2009年建板楼  -  留园西园', '236万', '单价21455元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160723/d651ad74-76dc-4563-b348-293e32fb245e.jpg.296x216.jpg', '金都名苑 2室2厅 275万', '金都名苑  | 2室2厅 | 99.84平米 | 暂无数据 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  金门', '275万', '单价27545元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8f7b008d-5112-4d63-b5b6-96c35e38a824.png.296x216.jpg', '恒润新新家园 2室2厅 215万', '恒润新新家园  | 2室2厅 | 89平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2004年建板楼  -  留园西园', '215万', '单价24158元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170813/90f02565-810a-4ec6-a568-f62a69b62f7e.jpg.296x216.jpg', '杨枝四村 2室1厅 144万', '杨枝四村  | 2室1厅 | 70.5平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  葑门', '144万', '单价20426元/平米')
('https://image1.ljcdn.com/320500-inspection/test-60f8c518-13c3-4311-b438-bb800a2ee702.png.296x216.jpg', '金阊大厦 2室2厅 153万', '金阊大厦  | 2室2厅 | 103.6平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  石路', '153万', '单价14769元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9bf6c5d5-46fc-43e9-bfbe-6a7acde2cd76.png.296x216.jpg', '苏大北小区 3室1厅 169万', '苏大北小区  | 3室1厅 | 73.88平米 | 南 | 精装 | 无电梯', '高楼层(共4层)1999年建板楼  -  苏州大学', '169万', '单价22875元/平米')
('https://image1.ljcdn.com/320500-inspection/test-bec9ba02-f4a1-4541-8e69-ecdb9315a894.png.296x216.jpg', '现代花园三期红房子 商品房性质 看房有钥匙', '现代花园  | 2室1厅 | 57平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2000年建板楼  -  葑门', '118万', '单价20702元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170601/6f92216d-6a0e-44e5-b4ec-8d736ff9ab29.jpg.296x216.jpg', '玖园 2室2厅 240万', '玖园   | 叠拼别墅 | 2室2厅 | 103平米 | 暂无数据 | 精装 | 无电梯', '下叠(共5层)2009年建板楼  -  留园西园', '240万', '单价23301元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171024/92ce29d1-6f70-4e0e-afb0-40157684e31d.jpg.296x216.jpg', '水香六村 3室2厅 250万', '水香六村  | 3室2厅 | 127.3平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1999年建板楼  -  沧浪新城', '250万', '单价19639元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170911/e52a5d8c-5b33-4c90-929e-c8f038fd699d.jpg.296x216.jpg', '阳光美地花园 精装三房 通透户型 诚心出售 满两年', '阳光美地花园  | 3室2厅 | 118平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2009年建板楼  -  平江新城', '268万', '单价22712元/平米')
('https://image1.ljcdn.com/320500-inspection/test-9c363e81-da10-4b69-87b8-0e20c848345d.png.296x216.jpg', '苏公馆 3室2厅 306万', '苏公馆  | 3室2厅 | 96.48平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2015年建板楼  -  沧浪新城', '306万', '单价31717元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180101/c199590b-f5d8-4955-a883-879e1eabd88f.jpg.296x216.jpg', '日规路1号 4室2厅 267万', '日规路1号  | 4室2厅 | 200平米 | 南 | 精装 | 无电梯', '高楼层(共4层)1990年建板楼  -  娄门', '267万', '单价13350元/平米')
('https://image1.ljcdn.com/320500-inspection/test-30dd8a77-21f7-4c3a-9e01-925fe369bb8b.png.296x216.jpg', '南环新村 2室1厅 95万', '南环新村  | 2室1厅 | 53.71平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)1985年建板楼  -  南门', '95万', '单价17688元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171208/2300f900-c9f2-4ff0-9193-563913188285.jpg.296x216.jpg', '里河新村（二三四村） 2室0厅 79万', '里河新村（二三四村）  | 2室0厅 | 51.4平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共5层)1994年建板楼  -  葑门', '79万', '单价15370元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180125/fa63fd0f-5c54-4745-9e30-0053055faa4b.jpg.296x216.jpg', '彩虹新村 2室1厅 92万', '彩虹新村  | 2室1厅 | 61平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共17层)1998年建板楼  -  胥江', '92万', '单价15082元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170915/7a6cffa4-3b90-4c2f-bf91-d576c3822579.jpg.296x216.jpg', '三元二村 2室1厅 96万', '三元二村  | 2室1厅 | 50.53平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1992年建板楼  -  金门', '96万', '单价18999元/平米')
('https://image1.ljcdn.com/320500-inspection/test-1807fd11-a1a6-4002-9503-30acac41382b.png.296x216.jpg', '杨枝一村 2室1厅 125万', '杨枝一村  | 2室1厅 | 66平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1995年建板楼  -  葑门', '125万', '单价18940元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload9222106c-9dac-42f0-8602-de64a59f41c9.jpg.296x216.jpg', '彩香一村五区 2室2厅 122万', '彩香一村五区  | 2室2厅 | 67.5平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1992年建板楼  -  石路', '122万', '单价18075元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170302/dabf84c2-8664-408f-887a-f3ae87461902.jpg.296x216.jpg', '现代花园 4室3厅 245万', '现代花园  | 4室3厅 | 128.6平米 | 南 | 精装 | 无电梯', '高楼层(共5层)2000年建板楼  -  葑门', '245万', '单价19052元/平米')
('https://image1.ljcdn.com/320500-inspection/test-a258ce4e-428f-40ec-85a0-dc014cb7df35.png.296x216.jpg', '御景湾小高层总高11，好房出售，通透户型', '中海御景湾  | 3室2厅 | 90平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2015年建板楼  -  金阊新城', '190万', '单价21112元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160822/3bcef572-3a13-4770-a724-7e9b6f17faad.jpg.296x216.jpg', '中梁天御二区、小河边地上四层叠墅、自带地下车库', '中梁天御二区  | 6室2厅 | 398平米 | 南 | 精装 | 有电梯', '低楼层(共8层)2013年建板楼  -  平江新城', '850万', '单价21357元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170927/c97e12de-ff3f-4d94-ba65-69d80157540d.jpg.296x216.jpg', '三香福郡 3室2厅 320万', '三香福郡  | 3室2厅 | 122.5平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2002年建板楼  -  胥江', '320万', '单价26123元/平米')
('https://image1.ljcdn.com/320500-inspection/test-613d3448-f82d-465e-8214-1f3ca32891ea.png.296x216.jpg', '内马路9-4号院 2室2厅 140万', '内马路9-4号院  | 2室2厅 | 78.36平米 | 南 | 其他 | 无电梯', '中楼层(共7层)2003年建板楼  -  南门', '140万', '单价17867元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c9d672bc-ab2e-4235-b2b8-124416b3526d.png.296x216.jpg', '嘉业阳光城 2室2厅 188万', '嘉业阳光城  | 2室2厅 | 105.5平米 | 南 | 其他 | 有电梯', '高楼层(共9层)2003年建板楼  -  留园西园', '188万', '单价17820元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload563f39ca-d4a2-47eb-bc76-096bdfe523d3.jpg.296x216.jpg', '胥江路318号 3室2厅 270万', '胥江路318号  | 3室2厅 | 164平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  胥江', '270万', '单价16464元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160908/67f4736a-3672-426c-8d48-022c59ddb308.jpg.296x216.jpg', '干将东路散盘 2室1厅 118万', '干将东路散盘  | 2室1厅 | 70.57平米 | 南 | 简装 | 无电梯', '高楼层(共7层)板楼  -  观前街', '118万', '单价16721元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8adba3bc-f57a-44c4-ac96-fa417c2ba46e.png.296x216.jpg', '2008年房龄！金帝名园！三房二卫！婚装！满五唯一诚售', '金帝名园  | 3室2厅 | 113平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2008年建板楼  -  胥江', '252万', '单价22301元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160912/25fdec40-5163-4e56-ab67-0a422e0976a7.jpg.296x216.jpg', '苏尚新地 精装小户型 1室1厅 适合办公、自住', '苏尚新地  | 2室1厅 | 54平米 | 西 | 精装 | 有电梯', '中楼层(共12层)2013年建板楼  -  平江新城', '65万', '单价12038元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171005/ad705a48-b83a-47c6-86a9-7e4a02ec6661.jpg.296x216.jpg', '谈家巷散盘 2室1厅 123万', '谈家巷散盘  | 2室1厅 | 80平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  石路', '123万', '单价15375元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6089e0b1-80a5-4515-9f0c-e0af9c66d4b2.png.296x216.jpg', '新上万达全明户型 全新毛坯未住人 看房方便 诚意出售', '万达广场  | 1室1厅 | 51.74平米 | 南 | 其他 | 有电梯', '高楼层(共29层)2009年建板楼  -  平江新城', '115万', '单价22227元/平米')
('https://image1.ljcdn.com/320500-inspection/test-d61941fd-1101-48d6-8538-bd701ecb7e10.png.296x216.jpg', '朱家庄新村 4室2厅 252万', '朱家庄新村  | 4室2厅 | 126.47平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1991年建板楼  -  石路', '252万', '单价19926元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload713de4cd-2b36-4bec-996f-64bba4a96513.jpg.296x216.jpg', '桃坞巷 5室3厅 660万', '桃坞巷   | 联排别墅 | 5室3厅 | 249.49平米 | 南 | 精装 | 无电梯', '3层2008年建板楼  -  桃花坞', '660万', '单价26454元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161120/bf278933-dc97-454a-81e8-05c5a4ea53a2.jpg.296x216.jpg', '杨枝一村 2室1厅 118万', '杨枝一村  | 2室1厅 | 66平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1996年建板楼  -  葑门', '118万', '单价17879元/平米')
('https://image1.ljcdn.com/320500-inspection/e524f423-c824-4c20-96a7-00966faa0e61.jpg.296x216.jpg', '仲雅苑北区 4号线旁  草桥小两房 小区中间 满五少税', '仲雅苑北区  | 2室1厅 | 68平米 | 南 | 简装 | 有电梯', '低楼层(共9层)2008年建板楼  -  平江新城', '164万', '单价24118元/平米')
