('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadde833e55-9559-4fd4-b413-0a6a0270f270.jpg.296x216.jpg', '采光无遮挡，精装修，拎包入住。', '润富花园  | 2室1厅 | 91平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2006年建板塔结合  -  桥北', '182万', '单价20000元/平米')
('https://image1.ljcdn.com/320100-inspection/60313e30-f3a5-4fdc-ad08-4ba23d456c5a.jpg.296x216.jpg', '天润城第十街区 3室2厅 240万', '天润城第十街区  | 3室2厅 | 90.68平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  桥北', '240万', '单价26467元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload6a9f3b23-5f52-47b8-8870-dd69cbfc6759.jpg.296x216.jpg', '此房已经满两年 ，税费少，精装修 小区新环境好', '天润城第十二街区  | 3室2厅 | 81.11平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2012年建板塔结合  -  桥北', '185万', '单价22809元/平米')
('https://image1.ljcdn.com/320100-inspection/0daeb796-2180-4379-9b6d-2ece7226f7d6.JPG.296x216.jpg', '威尼斯水城第四街区大三房 南北通透 采光好', '威尼斯水城第四街区  | 3室2厅 | 115.36平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2007年建板楼  -  桥北', '255万', '单价22105元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload7275a306-7582-4067-8487-47fc8d628c3a.JPG.296x216.jpg', '总价低 格局好  高楼层采光好 户型通透', '浦东花园  | 4室2厅 | 177.83平米 | 南 北 | 简装 | 有电梯', '高楼层(共11层)2003年建板楼  -  泰山街道', '260万', '单价14621元/平米')
('https://image1.ljcdn.com/320100-inspection/c2a214d3-1b1c-4e58-953b-a0a051689c3d.jpg.296x216.jpg', '简单装修 满2年 看房方便 业主诚心出售', '天润城第十四街区  | 2室2厅 | 69.58平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2012年建板楼  -  桥北', '166万', '单价23858元/平米')
('https://image1.ljcdn.com/320100-inspection/e7cb75bc-da80-4cdd-9ef0-6cd2a09f675f.jpg.296x216.jpg', '商圈成熟，户型方正，设施成熟，交通方便', '天润城第十二街区  | 2室2厅 | 70.71平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2012年建板塔结合  -  桥北', '175万', '单价24749元/平米')
('https://image1.ljcdn.com/320100-inspection/167987eb-17de-49d4-9391-e3c7e6f916b6.jpg.296x216.jpg', '户型方正 业主诚心出售，采光不遮挡 简单装修 满两年', '天润城第十二街区  | 2室2厅 | 71.81平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2012年建板塔结合  -  桥北', '173万', '单价24092元/平米')
('https://image1.ljcdn.com/320100-inspection/f17b1acd-7ed8-41fb-aa0c-95ee222a63bf.JPG.296x216.jpg', '此房只有契税，减轻购房成本，楼层好，视野开阔。', '旭日爱上城第三区  | 4室2厅 | 121.81平米 | 南 北 | 其他 | 有电梯', '高楼层(共25层)2010年建板楼  -  桥北', '330万', '单价27092元/平米')
('https://image1.ljcdn.com/320100-inspection/c5bfb5f7-40c6-4acf-8d6d-942b647ba573.jpg.296x216.jpg', '居家装修 户型方正 采光不遮挡 业主诚心出售', '天润城第十二街区  | 3室2厅 | 90.09平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2012年建板塔结合  -  桥北', '238万', '单价26419元/平米')
('https://image1.ljcdn.com/320100-inspection/62e25a2b-1b4c-48c7-9044-849a7bdb5fe7.jpg.296x216.jpg', '精装修小三房 满五年且唯一 采光不挡 小区环境优美', '天润城第十四街区  | 3室1厅 | 89.82平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  桥北', '218万', '单价24271元/平米')
('https://image1.ljcdn.com/320100-inspection/a1a08d3d-e260-4016-ae47-26a66e018db5.jpg.296x216.jpg', '满两年，带一个30平的院子，配套齐全，视野无遮挡', '江佑铂庭  | 2室2厅 | 82.92平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2012年建板楼  -  江浦街道', '230万', '单价27738元/平米')
('https://image1.ljcdn.com/320100-inspection/87b0d686-1d7a-4557-a261-b811275777a9.jpg.296x216.jpg', '天润城第十街区 3室2厅 250万', '天润城第十街区  | 3室2厅 | 100.56平米 | 南 | 简装 | 有电梯', '高楼层(共9层)2009年建板楼  -  桥北', '250万', '单价24861元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload4585fa8f-28f1-45de-8b12-6f737dea637b.jpg.296x216.jpg', '中高楼层 采光无遮挡 居家装修', '天润城第十二街区  | 2室1厅 | 70.59平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  桥北', '176万', '单价24933元/平米')
('https://image1.ljcdn.com/320100-inspection/test-3a470089-d2c6-441d-badd-4b5f290937b0.png.296x216.jpg', '南北通透 高楼层 采光棒 一梯两户 交通方便 配套齐全', '国信阅景龙华  | 3室2厅 | 130.75平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2010年建板楼  -  江浦街道', '280万', '单价21415元/平米')
('https://image1.ljcdn.com/320100-inspection/test-b48294f3-47bc-4b27-8aee-f8678b0ce895.png.296x216.jpg', '天润城十二街区 全新装修 直接入住', '天润城第十二街区  | 3室2厅 | 88.96平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2012年建板塔结合  -  桥北', '232万', '单价26080元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada2ed4b16-db2b-4a3e-b244-23f3b60e83ae.jpg.296x216.jpg', '品字户型，三开间朝南，采光好。交通便利。', '天润城第十二街区  | 2室2厅 | 73.87平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2012年建板塔结合  -  桥北', '182万', '单价24638元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload97a87e21-7cb5-41b8-b915-34dd80f268bb.JPG.296x216.jpg', '江北新区  商品房 顶楼带阁楼  精装修 随时看房', '商城小区  | 4室2厅 | 77.65平米 | 南 北 | 其他 | 无电梯', '高楼层(共5层)2007年建板楼  -  顶山街道', '185万', '单价23825元/平米')
('https://image1.ljcdn.com/320100-inspection/d553c459-a83d-464f-ac8a-6862df8510ba.jpg.296x216.jpg', '天润城样板小区，小区环境优美，南北通透，适宜居住', '天润城第八街区  | 2室2厅 | 80.21平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2008年建板塔结合  -  桥北', '188万', '单价23439元/平米')
('https://image1.ljcdn.com/320100-inspection/7cf8d1a4-8bb9-4528-824b-458cd8067edd.jpg.296x216.jpg', '满两年 西边户 南北通透 业主诚售', '国信阅景龙华  | 3室2厅 | 122.5平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  江浦街道', '278万', '单价22694元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploade06015a8-0ea3-4279-9249-416b29d78919.JPG.296x216.jpg', '满两年 税费少 户型好 小区环境好 交通便利', '弘阳旭日上城一区  | 2室2厅 | 88.15平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2007年建塔楼  -  桥北', '223万', '单价25298元/平米')
('https://image1.ljcdn.com/320100-inspection/8850f298-75c9-4735-9f0d-5a5f98b91532.jpg.296x216.jpg', '满两年 精装修 高楼层 采光充足 配套成熟', '融侨观邸一期  | 2室1厅 | 74.29平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2015年建板楼  -  江浦街道', '218万', '单价29345元/平米')
('https://image1.ljcdn.com/320100-inspection/8bfcdb73-e56c-4982-a30b-8a0e38acf623.jpg.296x216.jpg', '此房满五年，中楼层，采光好，毛胚大两房', '天华硅谷  | 2室2厅 | 89.59平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2012年建板楼  -  泰山街道', '192万', '单价21431元/平米')
('https://image1.ljcdn.com/320100-inspection/test-7b4164e6-66d2-452e-b156-1e1330398e51.png.296x216.jpg', '满两年，精装修，采光充足，南北通透', '江佑铂庭  | 3室2厅 | 92.74平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  江浦街道', '263万', '单价28359元/平米')
('https://image1.ljcdn.com/320100-inspection/6ecf3048-6d2d-4047-a5b9-248bbd5eedef.jpg.296x216.jpg', '江佑铂庭 2室1厅 241万', '江佑铂庭  | 2室1厅 | 78.85平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2012年建板楼  -  江浦街道', '241万', '单价30565元/平米')
('https://image1.ljcdn.com/320100-inspection/a3e6082d-cc5d-48bc-91e2-e42480ee4f99.JPG.296x216.jpg', '威尼斯毛坯三房 户型方正 采光好 小区新', '威尼斯水城第三街区  | 3室2厅 | 135.03平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共22层)2011年建板楼  -  桥北', '255万', '单价18885元/平米')
('https://image1.ljcdn.com/320100-inspection/b4bccb91-1fa6-4a3c-875f-ab3c71206d9e.jpg.296x216.jpg', '新理想佳园 2室2厅 200万', '新理想佳园  | 2室2厅 | 87.49平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  江浦街道', '200万', '单价22860元/平米')
('https://image1.ljcdn.com/320100-inspection/test-38a47b5c-d1ba-4766-915e-fb57845c31cb.png.296x216.jpg', '彩翼园小户型三方 东边户 采光好 视野好 拎包入住', '旭日爱上城第四区北区  | 3室2厅 | 87.34平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2011年建板楼  -  桥北', '278万', '单价31830元/平米')
('https://image1.ljcdn.com/320100-inspection/8aa93231-3b29-41a5-9af5-b9fd4e47e30c.jpg.296x216.jpg', '南北通透 出租装修 采光无遮挡 南北双阳台', '旭日家园  | 3室2厅 | 101.7平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  桥北', '217万', '单价21338元/平米')
('https://image1.ljcdn.com/320100-inspection/test-ce85af8c-d4dd-4022-995b-f79b8a79ac9e.png.296x216.jpg', '万科物业，素质住户，背靠老山，环境优美', '万科金色半山  | 3室2厅 | 79.27平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2013年建塔楼  -  浦口其它', '217万', '单价27375元/平米')
('https://image1.ljcdn.com/320100-inspection/4bfa81ab-70a7-4a9a-a0d1-4fa8c7693b1f.jpg.296x216.jpg', '天润城精装大两房 南北通透 满两年好楼层', '天润城第十二街区  | 2室2厅 | 89.24平米 | 南 北 | 精装 | 有电梯', '中楼层(共16层)2012年建板塔结合  -  桥北', '225万', '单价25213元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload457fa2d7-8cd2-42d6-95dd-1f1722a4ee71.JPG.296x216.jpg', '此房满两年 高楼层好 不临高架 小区环境好 配套成熟', '阳光帝景  | 2室2厅 | 94.33平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2014年建板楼  -  顶山街道', '221万', '单价23429元/平米')
('https://image1.ljcdn.com/320100-inspection/251f0567-3b79-4037-9d8c-a23c3d9a60bc.jpg.296x216.jpg', '老山脚下 万科品质 满两年 高楼层 开发商精装三房', '万科金色半山  | 3室2厅 | 79.27平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2013年建塔楼  -  浦口其它', '225万', '单价28385元/平米')
('https://image1.ljcdn.com/320100-inspection/f25d6cef-4e39-43b0-99b0-689ae0c3586a.JPG.296x216.jpg', '满2年 中间楼层 婚装  南北通透  采光好', '威尼斯水城第七街区  | 3室2厅 | 141.81平米 | 南 北 | 精装 | 有电梯', '低楼层(共21层)2007年建板楼  -  桥北', '326万', '单价22989元/平米')
('https://image1.ljcdn.com/320100-inspection/a0cc846f-c428-4a90-b9ca-b1f5b12378f2.jpg.296x216.jpg', '满五年 纯毛坯 东边户 采光充足 有钥匙 配套成熟 诚售', '国信阅景龙华  | 3室2厅 | 143.85平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2010年建板楼  -  江浦街道', '320万', '单价22246元/平米')
('https://image1.ljcdn.com/320100-inspection/test-af0281e3-db52-4f3b-b6c5-8b1babb201a2.png.296x216.jpg', '老山脚下 万科物业 精装小三房 满两年 低总价 宜居', '万科金色半山  | 3室2厅 | 88.57平米 | 东南 西北 | 其他 | 有电梯', '低楼层(共11层)2013年建塔楼  -  浦口其它', '206万', '单价23259元/平米')
('https://image1.ljcdn.com/320100-inspection/test-c15dea26-f868-4039-ac69-07de34949636.png.296x216.jpg', '采光充足 交通便利 业主诚售 满五年', '威尼斯水城第一街区  | 3室2厅 | 107.21平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2015年建板楼  -  桥北', '246万', '单价22946元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload90321220-157f-4daa-a1d0-e237f1a54b51.jpg.296x216.jpg', '总价低 满两年 南北通透 简装 中高楼层 业主诚售', '国信阅景龙华  | 2室2厅 | 96.71平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  江浦街道', '223万', '单价23059元/平米')
('https://image1.ljcdn.com/320100-inspection/5a8a3bc6-746f-48e4-80c3-1ae770bb9f80.jpg.296x216.jpg', '精装修 出行便利 配套齐全  物业管理规范', '天润城第十六街区南区  | 2室2厅 | 76平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2014年建板楼  -  桥北', '193万', '单价25395元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload039d1513-3d85-4667-924d-2fe6610e2bc2.jpg.296x216.jpg', '满五唯一 精装修南北通透两房 户型方正 厨卫全明', '天润城第七街区  | 2室2厅 | 92.02平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  桥北', '200万', '单价21735元/平米')
('https://image1.ljcdn.com/320100-inspection/7f5dab14-1561-4c0e-b311-fec73f47bf78.jpg.296x216.jpg', '户型方正，配套设施完善，交通出行方便。', '圣源居  | 2室2厅 | 104.39平米 | 南 北 | 其他', '高楼层(共7层)板楼  -  江浦街道', '195万', '单价18680元/平米')
('https://image1.ljcdn.com/320100-inspection/test-9276d0ae-8c54-46a7-a707-314425a01235.png.296x216.jpg', '纯毛坯 三居室 南北通透 采光充足 配套齐全', '北江锦城  | 3室2厅 | 124.67平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共11层)2015年建板楼  -  浦口其它', '242万', '单价19412元/平米')
('https://image1.ljcdn.com/320100-inspection/27d96c40-8517-4080-a747-015b1b03a527.jpg.296x216.jpg', '天润城好房     业主诚心出售   楼层好  位置佳', '天润城第二街区  | 2室1厅 | 90.61平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)2006年建板楼  -  桥北', '183万', '单价20197元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadbdeab756-50d5-4c78-969a-898a779521b2.jpg.296x216.jpg', '此房满两年，中楼层，采光充足 配套成熟 交通便利', '城南新村  | 2室2厅 | 84.47平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  江浦街道', '189万', '单价22375元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadc113beac-0df6-45e2-9595-d8dfe8a882aa.jpg.296x216.jpg', '此房满五唯一 楼层好 户型方正，视野开阔', '天润城第八街区  | 4室2厅 | 138.99平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共11层)2008年建板塔结合  -  桥北', '315万', '单价22664元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload3ddfc008-7b5c-4be9-8d49-6e6dcfc9fb80.JPG.296x216.jpg', '江北新区纬三隧道口 简装两房 采光充足 交通方便快捷', '盛泉新城  | 2室1厅 | 83.85平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  顶山街道', '180万', '单价21467元/平米')
('https://image1.ljcdn.com/320100-inspection/c4205cb4-9260-4c5e-816c-ec81684bc298.jpg.296x216.jpg', '房本办理满五年 南北通透 采光充足 楼层适中', '润富花园  | 2室2厅 | 90.63平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2006年建板塔结合  -  桥北', '187万', '单价20634元/平米')
('https://image1.ljcdn.com/320100-inspection/test-5b4766e5-6ce2-472d-89e2-2f8a0bf2bda2.png.296x216.jpg', '精装大三房，满两年，带暖气片和品牌家具家电，送车位', '江佑铂庭  | 3室2厅 | 114.36平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2012年建板楼  -  江浦街道', '320万', '单价27982元/平米')
('https://image1.ljcdn.com/320100-inspection/aa05e785-8bbf-498a-af46-c3708f406149.JPG.296x216.jpg', '江北新区柳洲东路威尼斯水城 花园洋房 南北通透 满五', '威尼斯水城第七街区  | 3室2厅 | 129.23平米 | 南 北 | 简装 | 有电梯', '低楼层(共21层)2007年建板楼  -  桥北', '255万', '单价19733元/平米')
('https://image1.ljcdn.com/320100-inspection/af0b30e2-5135-420c-b3c0-00db473a1ea3.jpg.296x216.jpg', '南北通透 采光充足 交通便利 诚心出售', '润富花园  | 4室2厅 | 127.45平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2006年建板塔结合  -  桥北', '243万', '单价19067元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada615c3f6-632a-4517-bb9e-3d7bf80b4cbb.JPG.296x216.jpg', '纯毛坯，可自由装修，三房两卫，南北通透', '泰来苑  | 3室2厅 | 135.17平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共11层)2014年建板楼  -  泰山街道', '245万', '单价18126元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadccc6ab29-2c2c-4c69-a966-aed211383a8d.JPG.296x216.jpg', '江北新区精装大顶跃 配套成熟 交通便利 看房方便', '恒辉翡翠花园  | 3室2厅 | 126.56平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2011年建板楼  -  桥北', '270万', '单价21334元/平米')
('https://image1.ljcdn.com/320100-inspection/fc8cf640-0306-4b47-9e97-ffa37b6c1d32.jpg.296x216.jpg', '天润城大两房 业主诚售 楼层好 位置佳 满5年唯一', '天润城第二街区  | 2室2厅 | 93.47平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2006年建板楼  -  桥北', '202万', '单价21612元/平米')
('https://image1.ljcdn.com/320100-inspection/test-dea2ba69-52f9-4bb6-96c4-3d14445cd2f0.png.296x216.jpg', '精装修 飞机户 南北通透 满五年唯一 靠地铁', '天润城第十街区  | 3室2厅 | 89.86平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  桥北', '215万', '单价23927元/平米')
('https://image1.ljcdn.com/320100-inspection/9b300b10-07af-4d2b-8dcc-11de0169ff7d.JPG.296x216.jpg', '八角餐厅西边户型 南北通透 满五年唯一 电梯房', '大华锦绣华城榴美颂  | 3室2厅 | 132.77平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  桥北', '300万', '单价22596元/平米')
('https://image1.ljcdn.com/320100-inspection/test-15fa5d58-b5bb-40d2-abdd-17afa16735d9.png.296x216.jpg', '双地铁，满两年，户型好楼层高，玅殺房，低价位', '中海万锦熙岸一期  | 2室2厅 | 90.19平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2014年建板楼  -  江浦街道', '225万', '单价24948元/平米')
('https://image1.ljcdn.com/320100-inspection/f7e8bd1b-ef5c-4f95-a40c-7dff98b4d1e4.JPG.296x216.jpg', '采光好，户型方正，南北通透，业主城心出售', '威尼斯水城第六街区  | 2室2厅 | 88.91平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2005年建板楼  -  桥北', '208万', '单价23395元/平米')
('https://image1.ljcdn.com/320100-inspection/72e1517c-9f81-48c0-9a9c-d062c48807e7.JPG.296x216.jpg', '威尼斯水城花园洋房 带大阳台 税费低 3号线柳洲东路站', '威尼斯水城第十街区  | 2室2厅 | 85.57平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2010年建板楼  -  桥北', '215万', '单价25126元/平米')
('https://image1.ljcdn.com/320100-inspection/5490de26-969c-48e2-b2e9-ab93726bb62c.JPG.296x216.jpg', '江北新区 精装 B户型 南北通透 业主诚心出售', '威尼斯水城第十四街区  | 2室2厅 | 91.5平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2013年建板楼  -  桥北', '215万', '单价23498元/平米')
('https://image1.ljcdn.com/320100-inspection/7f4cb3e8-fb08-47fe-a338-787594f9b033.jpg.296x216.jpg', '采光充足纯毛坯拎包入住看房方便', '江岸水城  | 3室2厅 | 106.82平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)2009年建板楼  -  桥北', '203万', '单价19004元/平米')
('https://image1.ljcdn.com/320100-inspection/a704bfa4-defa-4f57-bb5e-9c5930d37f60.JPG.296x216.jpg', '桂美颂精装三房，南北通透，配套成熟', '大华锦绣华城桂美颂  | 3室2厅 | 109.82平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  桥北', '260万', '单价23676元/平米')
('https://image1.ljcdn.com/320100-inspection/test-30932163-933d-4ff9-bfa3-89c5e373d4c3.png.296x216.jpg', '中海万锦熙岸 满两年 毛坯房 三室 交通方便人车分流', '中海万锦熙岸一期  | 3室2厅 | 93.73平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2014年建板楼  -  江浦街道', '250万', '单价26673元/平米')
('https://image1.ljcdn.com/320100-inspection/45997ca4-2753-4817-bc84-917779795849.jpg.296x216.jpg', '江佑铂庭 2室2厅 265万', '江佑铂庭  | 2室2厅 | 92.15平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  江浦街道', '265万', '单价28758元/平米')
('https://image1.ljcdn.com/320100-inspection/e63e83c7-b5ab-48c7-80da-a53c681fd2d6.JPG.296x216.jpg', '满5年唯一 三房朝南 南北通透 随时看房 诚售低价', '威尼斯水城第十五街区  | 3室2厅 | 110.95平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2014年建板楼  -  桥北', '255万', '单价22984元/平米')
('https://image1.ljcdn.com/320100-inspection/da240b6b-6cd0-418b-ae76-6d8d5f6de77e.jpg.296x216.jpg', '天润城婚装20万大两房 户型好楼层好 满五唯一', '天润城第七街区  | 2室1厅 | 93.6平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  桥北', '205万', '单价21902元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload7f99c176-4442-405f-91da-0d9f33ba0327.jpg.296x216.jpg', '江北新区 次顶楼 边户采光好 老山脚下 环境优雅', '美麟香漫山  | 3室2厅 | 97.81平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共11层)2017年建板楼  -  江浦街道', '242万', '单价24742元/平米')
('https://image1.ljcdn.com/320100-inspection/ed90ed21-e7a4-4310-b032-f31b36e47845.jpg.296x216.jpg', '华府国际 开发商精装 家电家具齐全 楼层好', '华府国际  | 4室2厅 | 114.99平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2016年建板楼  -  浦口其它', '325万', '单价28264元/平米')
('https://image1.ljcdn.com/320100-inspection/test-b5ce2cb9-85a7-495e-8e67-87a50df04846.png.296x216.jpg', '万科物业 南北通透 两房朝南 改善双卫大三房 次顶楼', '融侨观邸二期  | 3室2厅 | 132.26平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2016年建板塔结合  -  江浦街道', '335万', '单价25329元/平米')
('https://image1.ljcdn.com/320100-inspection/33ecd443-185c-4df1-97e3-012702a3e79e.jpg.296x216.jpg', '南北通透 中间楼层 视野开阔 配套齐全 交通方便', '天润城第十街区  | 2室2厅 | 81.02平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2009年建板楼  -  桥北', '186万', '单价22958元/平米')
