('https://image1.ljcdn.com/210100-inspection/5432586b-66d6-4eca-bdd4-0bdfd8f2b1ab.JPG.296x216.jpg', '恒泰骏景 2室1厅 60万', '恒泰骏景  | 2室1厅 | 76.77平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '60万', '单价7816元/平米')
('https://image1.ljcdn.com/210100-inspection/2987f9e4-2fa1-49f7-ad52-42a8d82e2251.JPG.296x216.jpg', '此房满五年，依云北郡B区，交通便利，配套齐全', '依云北郡B区  | 4室2厅 | 60.28平米 | 南 | 简装', '高楼层(共6层)2008年建板楼  -  于洪区', '56万', '单价9290元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload91493c9d-0185-4f73-993c-5a4e6afe2bec.JPG.296x216.jpg', '于洪区 怒江北街 省实验北侧 恒大城一楼带花园', '恒大城二期  | 2室1厅 | 44.04平米 | 西南 | 其他', '低楼层(共28层)2014年建板塔结合  -  于洪区', '50万', '单价11354元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadee0806ab-7bed-4728-a69b-f5d7d1624385.JPG.296x216.jpg', '大面积段多层 精装修 采光充足，楼间距大', '华锐桃源欣城  | 2室2厅 | 97.47平米 | 南 北 | 精装', '高楼层(共6层)2006年建板楼  -  于洪区', '77万', '单价7900元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload917154f3-96e5-4e80-b7c6-7eec9625838c.JPG.296x216.jpg', '依云北郡F区 2室1厅 82万', '依云北郡F区  | 2室1厅 | 85.85平米 | 南 北 | 其他', '中楼层(共6层)2009年建板楼  -  于洪区', '82万', '单价9552元/平米')
('https://image1.ljcdn.com/210100-inspection/1bc1a411-c6a4-4ce4-b83c-a72f935e07fc.jpg.296x216.jpg', '南北通透，南北两室，采光充足，精装修', '碧桂园银河城观澜  | 2室2厅 | 110.23平米 | 南 北 | 其他', '高楼层(共26层)2017年建板楼  -  于洪区', '84.5万', '单价7666元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc1d987a2-fc47-4e00-8a5a-b2bf870b36e3.JPG.296x216.jpg', '恒大城一期 一楼带八十平花园 保持好 采光充足', '恒大城一期  | 3室2厅 | 90.31平米 | 东南 | 简装', '低楼层(共11层)2014年建板塔结合  -  于洪区', '110万', '单价12181元/平米')
('https://image1.ljcdn.com/210100-inspection/0737a87e-bbb8-4fce-8836-afcc9faae05e.jpg.296x216.jpg', '依云北郡B区 2室1厅 67万', '依云北郡B区  | 2室1厅 | 66.54平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  于洪区', '67万', '单价10070元/平米')
('https://image1.ljcdn.com/210100-inspection/3dea4fab-9136-470f-9cc2-33bb434de644.jpg.296x216.jpg', '恒大绿洲 两室两厅 绿化好 环境优美', '恒大绿洲三期  | 2室2厅 | 96.44平米 | 南 西 | 其他', '低楼层(共32层)板楼  -  于洪区', '81万', '单价8400元/平米')
('https://image1.ljcdn.com/210100-inspection/de08c8f6-34a4-48ff-8902-6b186654d317.JPG.296x216.jpg', '恒大城一期小高东南北一楼三室130平花园，精装自住', '恒大城一期  | 3室2厅 | 104.28平米 | 东南 北 | 精装', '低楼层(共11层)2014年建板塔结合  -  于洪区', '140万', '单价13426元/平米')
('https://image1.ljcdn.com/210100-inspection/2d09e1df-94ba-49fb-90bd-2ca7b3ad57bb.JPG.296x216.jpg', '恒泰骏景 2室2厅 66.5万', '恒泰骏景  | 2室2厅 | 81.44平米 | 南 北 | 其他', '低楼层(共18层)2009年建板楼  -  于洪区', '66.5万', '单价8166元/平米')
('https://image1.ljcdn.com/210100-inspection/abcee05d-1d8f-497e-8a9d-b3b31748c17a.JPG.296x216.jpg', '恒大精装 装修保持不错 位置适中 采光充足', '恒大城二期  | 3室2厅 | 157.05平米 | 西南 北 | 其他', '低楼层(共28层)2014年建板塔结合  -  于洪区', '108万', '单价6877元/平米')
('https://image1.ljcdn.com/210100-inspection/d210e6dd-e4af-4a64-9134-2df8f368d8e2.JPG.296x216.jpg', '于洪区 怒江北街 恒大城二期 精装修 园区优美', '恒大城二期  | 3室2厅 | 157.05平米 | 西南 北 | 精装', '低楼层(共28层)2014年建板塔结合  -  于洪区', '112万', '单价7132元/平米')
('https://image1.ljcdn.com/210100-inspection/5ea2098e-cc10-4f81-ac82-087fd89cfd95.JPG.296x216.jpg', '碧桂园银河城星语苑 3室2厅 105万', '碧桂园银河城星语苑  | 3室2厅 | 123平米 | 南 北 | 其他', '低楼层(共30层)暂无数据  -  于洪区', '105万', '单价8537元/平米')
('https://image1.ljcdn.com/210100-inspection/072d84a2-1a4b-476d-ad35-2a4d0b930c1e.JPG.296x216.jpg', '南北标户 中间楼层位置好 采光充足 精装修 拎包就住', '恒大城一期  | 3室2厅 | 128.62平米 | 南 北 | 其他', '中楼层(共11层)2014年建板塔结合  -  于洪区', '115万', '单价8942元/平米')
('https://image1.ljcdn.com/210100-inspection/39434faf-eefa-4da4-ab49-7861e440f7d4.JPG.296x216.jpg', '怒江北街 恒大一精装3室，户不临街，前后有水系', '恒大城一期  | 3室2厅 | 135.94平米 | 东 南 北 | 精装', '中楼层(共28层)2014年建板塔结合  -  于洪区', '107万', '单价7872元/平米')
('https://image1.ljcdn.com/210100-inspection/1790fad7-511d-4d7d-88d1-cd24fc059241.JPG.296x216.jpg', '江山别院 2室1厅 51万', '江山别院  | 2室1厅 | 68.83平米 | 南 北 | 其他', '中楼层(共24层)暂无数据  -  于洪区', '51万', '单价7410元/平米')
('https://image1.ljcdn.com/210100-inspection/275714fc-6f0a-4583-8064-9b41a1065397.jpg.296x216.jpg', '于洪区南阳湖碧桂园 南北通风好 无遮挡一梯两户三居室', '碧桂园银河城星语苑  | 3室2厅 | 161.26平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '133万', '单价8248元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadd777ecc9-f531-4ed3-ac33-8211a9c44c9b.JPG.296x216.jpg', '阳光尚城三期 精装大三室 南北通透', '阳光尚城三期  | 3室2厅 | 112.37平米 | 南 北 | 精装', '高楼层(共6层)2009年建板楼  -  于洪区', '110万', '单价9790元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadd0939b37-6c05-4fea-90c1-71cd322729ba.JPG.296x216.jpg', '恒大城一期 4室2厅 120万', '恒大城一期  | 4室2厅 | 160平米 | 东南 北 | 其他', '中楼层(共28层)2014年建板塔结合  -  于洪区', '120万', '单价7500元/平米')
('https://image1.ljcdn.com/210100-inspection/a796a6f1-3af6-4ce4-95a2-67e528bfb348.JPG.296x216.jpg', '亚都名苑 2室2厅 74万', '亚都名苑  | 2室2厅 | 89.43平米 | 南 西 北 | 其他', '高楼层(共23层)2012年建板楼  -  于洪区', '74万', '单价8275元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploade935cba8-a2ec-414e-9029-8f9aecd5b5d5.jpg.296x216.jpg', '新上华锐桃源欣城近 景观区 大两室 小高三楼 精装修', '华锐桃源欣城  | 2室2厅 | 103.72平米 | 南 北 | 精装', '低楼层(共11层)2006年建板楼  -  于洪区', '78万', '单价7521元/平米')
('https://image1.ljcdn.com/210100-inspection/30a45240-393c-47fe-a435-2bbfe6263831.JPG.296x216.jpg', '恒泰骏景 2室2厅 69万', '恒泰骏景  | 2室2厅 | 88.82平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  于洪区', '69万', '单价7769元/平米')
('https://image1.ljcdn.com/210100-inspection/d5c02ded-8675-4206-9dce-0e5740c7d9be.jpg.296x216.jpg', '碧桂园精装三室 拎包即住 采光好', '碧桂园银河城聆涛  | 3室2厅 | 124平米 | 南 西 北 | 其他', '中楼层(共25层)板楼  -  于洪区', '100万', '单价8065元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload31207fa7-7432-4ab6-aab1-0fc1cd2f9e0b.JPG.296x216.jpg', '于洪区青山路 依云北郡B区 赠送阁楼 全明户型 采光好', '依云北郡B区  | 2室1厅 | 86.52平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  于洪区', '87万', '单价10056元/平米')
('https://image1.ljcdn.com/210100-inspection/5f62a845-b413-4151-8f30-d4dd70d97bec.jpg.296x216.jpg', '银亿万万城 3室1厅 86万', '银亿万万城  | 3室1厅 | 99平米 | 南 北 | 其他', '低楼层(共6层)2008年建板楼  -  于洪区', '86万', '单价8687元/平米')
('https://image1.ljcdn.com/210100-inspection/e68212dc-c0d7-45e3-a6bf-cf6fc61ce658.JPG.296x216.jpg', '兰庭花园 复式房 三室两厅两卫 南北通透', '兰亭花园  | 3室2厅 | 64.67平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  于洪区', '52万', '单价8041元/平米')
('https://image1.ljcdn.com/210100-inspection/1c0cc2ae-52bc-4031-bb47-99caceab2ac9.jpg.296x216.jpg', '精装修，保持的好，集体供暖，小区环境好，安静。', '梧景新村  | 3室2厅 | 144.26平米 | 南 北 | 其他', '低楼层(共24层)暂无数据  -  于洪区', '110万', '单价7626元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadbe73924a-749c-45cd-9689-2d545d03d2ed.JPG.296x216.jpg', '此房 小高三居室 精装修 全明户型', '亚都名苑  | 3室2厅 | 140.48平米 | 南 北 | 精装', '中楼层(共8层)2012年建板楼  -  于洪区', '98万', '单价6977元/平米')
('https://image1.ljcdn.com/210100-inspection/d01fee6f-8aac-4464-9d97-46a0a463e27c.JPG.296x216.jpg', '绿地老街坊 3室1厅 105万', '绿地老街坊  | 3室1厅 | 137.63平米 | 南 北 | 其他', '高楼层(共25层)2013年建板楼  -  于洪区', '105万', '单价7630元/平米')
('https://image1.ljcdn.com/210100-inspection/beeb0dc0-67ae-43ed-a00d-39f6fb6f6862.jpg.296x216.jpg', '标准南北通透两室两厅，地热采暖', '华锐桃源欣城  | 2室2厅 | 98.94平米 | 南 北 | 精装', '中楼层(共11层)2006年建板楼  -  于洪区', '75万', '单价7581元/平米')
('https://image1.ljcdn.com/210100-inspection/ef84b0db-975a-4750-93f1-b07654fe8fd0.jpg.296x216.jpg', '恒大绿洲一期 4室2厅 120万', '恒大绿洲一期  | 4室2厅 | 141平米 | 南 北 | 其他', '低楼层(共11层)板楼  -  于洪区', '120万', '单价8511元/平米')
('https://image1.ljcdn.com/210100-inspection/4a9b12be-f225-4758-a2b2-4627f96a0394.jpg.296x216.jpg', '品质恒大城 欧式装修 视野开阔 交通方便', '恒大城二期  | 3室2厅 | 121.26平米 | 南 北 | 精装', '高楼层(共28层)2014年建板塔结合  -  于洪区', '96万', '单价7917元/平米')
('https://image1.ljcdn.com/210100-inspection/b917bd01-dc95-4e24-89b9-551379ad8e83.JPG.296x216.jpg', '碧桂园银河城锦园 3室2厅 176万', '碧桂园银河城锦园  | 3室2厅 | 120平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  于洪区', '176万', '单价14667元/平米')
('https://image1.ljcdn.com/210100-inspection/6de99c81-b080-478f-adde-ec58cc44c61e.jpg.296x216.jpg', '碧桂园银河城星座 2室2厅 100万', '碧桂园银河城星座  | 2室2厅 | 97.48平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '100万', '单价10259元/平米')
('https://image1.ljcdn.com/210100-inspection/e9ffd1e2-3f01-4428-ac87-c57476228cac.JPG.296x216.jpg', '依云北郡B区，精装修，两室两厅一厨两卫，复式房', '依云北郡B区  | 2室2厅 | 60.25平米 | 南 西 | 精装', '低楼层(共9层)2008年建板楼  -  于洪区', '70万', '单价11619元/平米')
('https://image1.ljcdn.com/210100-inspection/85284e48-acb3-4da0-b8e1-084b33509ff3.jpg.296x216.jpg', '恒大绿洲三期 4室2厅 128万', '恒大绿洲三期  | 4室2厅 | 169.3平米 | 南 北 | 其他', '低楼层(共33层)板楼  -  于洪区', '128万', '单价7561元/平米')
('https://image1.ljcdn.com/210100-inspection/acf18a65-1bb6-4100-94f8-5d4e876f209f.jpg.296x216.jpg', '碧桂园银河城星语苑 5室2厅 160万', '碧桂园银河城星语苑  | 5室2厅 | 207.68平米 | 南 北 | 其他', '高楼层(共30层)板楼  -  于洪区', '160万', '单价7705元/平米')
('https://image1.ljcdn.com/210100-inspection/734eb78f-fd2e-4303-8a3c-acad1da83308.jpg.296x216.jpg', '兰亭花园 2室2厅 65万', '兰亭花园  | 2室2厅 | 95平米 | 南 北 | 精装', '中楼层(共11层)板楼  -  于洪区', '65万', '单价6843元/平米')
('https://image1.ljcdn.com/210100-inspection/c7de7752-614d-4d1e-b06a-24168fae4bc6.JPG.296x216.jpg', '怒江北街 恒大城一期 园区内  不临街 楼层好 户型正', '恒大城一期  | 3室2厅 | 157平米 | 西南 北 | 精装', '中楼层(共28层)2014年建板塔结合  -  于洪区', '125万', '单价7962元/平米')
('https://image1.ljcdn.com/210100-inspection/118575eb-66e0-470b-8f1b-a11d481ae416.JPG.296x216.jpg', '阳光尚城4.2期 3室1厅 100万', '阳光尚城4.2期  | 3室1厅 | 121.19平米 | 南 北 | 其他', '高楼层(共27层)2013年建板楼  -  于洪区', '100万', '单价8252元/平米')
('https://image1.ljcdn.com/210100-inspection/9ab44783-cc4f-4104-b9e1-dd8774646f0e.JPG.296x216.jpg', '亚都名苑 单间 中间楼层 有电梯 无遮挡', '亚都名苑  | 1室1厅 | 42.57平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  于洪区', '30万', '单价7048元/平米')
('https://image1.ljcdn.com/210100-inspection/14f96e54-2661-4682-94ef-cfbcb1978180.JPG.296x216.jpg', '恒大城一期 2室1厅 75万', '恒大城一期  | 2室1厅 | 79.16平米 | 西南 | 其他', '中楼层(共11层)2014年建板塔结合  -  于洪区', '75万', '单价9475元/平米')
('https://image1.ljcdn.com/210100-inspection/220d19f5-b55d-44d8-8162-d765c5a584b3.JPG.296x216.jpg', '阳光尚城4.1期 1室1厅 51万', '阳光尚城4.1期  | 1室1厅 | 54.02平米 | 南 | 其他', '高楼层(共23层)2012年建板楼  -  于洪区', '51万', '单价9441元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload0f81a307-672f-406b-b427-c431f2f20c65.JPG.296x216.jpg', '于洪 怒江北街 恒大城一期 园区内 不临街 三室精装', '恒大城一期  | 3室2厅 | 118.45平米 | 东南 北 | 精装', '高楼层(共11层)2014年建板塔结合  -  于洪区', '105万', '单价8865元/平米')
('https://image1.ljcdn.com/210100-inspection/2892b49d-0b21-4d28-910d-ec77cf0b22e0.jpg.296x216.jpg', '碧桂园银河城 小高南北三室 中间楼层 采光好', '碧桂园银河城星座  | 3室2厅 | 111.1平米 | 南 北 | 简装', '高楼层(共18层)板楼  -  于洪区', '150万', '单价13502元/平米')
('https://image1.ljcdn.com/210100-inspection/20561220-5f88-441b-82af-54c640f37208.JPG.296x216.jpg', '国奥现代城二期 2室2厅 63万', '国奥现代城二期  | 2室2厅 | 74.32平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  于洪区', '63万', '单价8477元/平米')
('https://image1.ljcdn.com/210100-inspection/21055750-b5ed-4bcb-8efc-f0812ab8337a.jpg.296x216.jpg', '东南两室 精装修 中间楼层 采光好 拎包即住', '碧桂园银河城星座  | 2室2厅 | 88.27平米 | 东南 | 其他', '高楼层(共30层)板楼  -  于洪区', '93万', '单价10536元/平米')
('https://image1.ljcdn.com/210100-inspection/67632ea3-401b-441a-b009-c6a953a1ce58.JPG.296x216.jpg', '七彩阳光 南北通透 交通便利 采光充足  两室', '七彩阳光  | 2室2厅 | 86.21平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  于洪区', '58万', '单价6728元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload9e04ecb9-0996-4b69-8971-12230939c26f.JPG.296x216.jpg', '亚都名苑 精装三室两卫 南北通透 标准格局', '亚都名苑  | 3室2厅 | 105.93平米 | 南 北 | 精装', '高楼层(共6层)2012年建板楼  -  于洪区', '65万', '单价6137元/平米')
('https://image1.ljcdn.com/210100-inspection/d2ee3337-65d8-4894-89c4-b3e00e5f9ead.jpg.296x216.jpg', '银亿万万城 2室1厅 44万', '银亿万万城  | 2室1厅 | 58.89平米 | 东北 | 其他', '高楼层(共11层)2008年建板楼  -  于洪区', '44万', '单价7472元/平米')
('https://image1.ljcdn.com/210100-inspection/b8355ca8-1423-424a-8d95-122fcb3ad3b6.jpg.296x216.jpg', '银亿万万城 2室1厅 44万', '银亿万万城  | 2室1厅 | 50平米 | 西 | 其他', '中楼层(共11层)2008年建板楼  -  于洪区', '44万', '单价8800元/平米')
('https://image1.ljcdn.com/210100-inspection/a94bfd2f-0159-409b-9592-0609cd4d14ad.JPG.296x216.jpg', '于洪区 怒江北街 依云北郡D区 三阳户型，采光充', '依云北郡D区  | 2室1厅 | 77.96平米 | 南 | 精装', '高楼层(共13层)2009年建板楼  -  于洪区', '51万', '单价6542元/平米')
('https://image1.ljcdn.com/210100-inspection/bb90ae0b-6452-45b4-b1ec-891344ec81db.jpg.296x216.jpg', '碧桂园银河城依云 于洪新城 中间楼层 视野好。', '碧桂园银河城依云  | 3室2厅 | 112.9平米 | 南 西 北 | 其他', '高楼层(共18层)板楼  -  于洪区', '116万', '单价10275元/平米')
('https://image1.ljcdn.com/210100-inspection/0969004e-a5c2-43b9-861e-fdc7ba68869f.jpg.296x216.jpg', '碧桂园银河城星座 2室2厅 96万', '碧桂园银河城星座  | 2室2厅 | 105平米 | 东 南 北 | 其他', '低楼层(共30层)板楼  -  于洪区', '96万', '单价9143元/平米')
('https://image1.ljcdn.com/210100-inspection/7ba5517e-f82e-498e-b504-45e6c5c5e579.JPG.296x216.jpg', '双南卧，南客厅，一北卧，带四十平大花园。', '亚都名苑  | 3室2厅 | 125.74平米 | 南 北 | 精装', '低楼层(共6层)2012年建板楼  -  于洪区', '95万', '单价7556元/平米')
('https://image1.ljcdn.com/210100-inspection/95999392-8e91-4448-95ef-b912f14537bd.jpg.296x216.jpg', '新城惠泽园 2室1厅 45万', '新城惠泽园  | 2室1厅 | 66.67平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  于洪区', '45万', '单价6750元/平米')
('https://image1.ljcdn.com/210100-inspection/b3478bab-65c2-41f2-a222-44abc5fffcff.JPG.296x216.jpg', '华锐桃源欣城 2室2厅 73万', '华锐桃源欣城  | 2室2厅 | 95.05平米 | 南 北 | 其他', '高楼层(共11层)2006年建板楼  -  于洪区', '73万', '单价7681元/平米')
('https://image1.ljcdn.com/210100-inspection/210fd54b-25a7-427c-80fe-906d7d3381d0.JPG.296x216.jpg', '朗香邸 2室2厅 69万', '朗香邸  | 2室2厅 | 83.22平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  于洪区', '69万', '单价8292元/平米')
('https://image1.ljcdn.com/210100-inspection/a0eb7c52-56e3-48e4-b309-503eae062d0f.jpg.296x216.jpg', '碧桂园银河城 南北通透 三室二卫 房主急售', '碧桂园银河城星语苑  | 3室2厅 | 135平米 | 南 北 | 毛坯', '中楼层(共30层)暂无数据  -  于洪区', '110万', '单价8149元/平米')
