('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload148a0280-b2b4-46ef-b187-27339d6859d8.JPG.296x216.jpg', '高品质小区，人车分流，板式户型，精装2+1户型', '大华锦绣华城(十四街区)  | 2室2厅 | 83.69平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2011年建板楼  -  北蔡', '698万', '单价83404元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6e673758-13f5-4bd8-ba98-d0952a282953.png.296x216.jpg', '仁恒森兰雅苑三期靠河采光好，8月份满2年，从未住过人', '仁恒森兰雅苑  | 4室2厅 | 181平米 | 南 | 精装 | 有电梯', '低楼层(共8层)2015年建板楼  -  金桥', '1380万', '单价76244元/平米')
('https://image1.ljcdn.com/310000-inspection/c29b4230-1d29-477b-8dda-a9a879b9342a.jpg.296x216.jpg', '栖山家园，2004年小区，精装修，主卧朝南厅朝南，', '栖山家园  | 2室2厅 | 76.41平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  金杨', '580万', '单价75907元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadbada1921-4145-4316-be10-138eedbcee60.jpg.296x216.jpg', '毕加索一期 链家优选房源 满五年唯一 中高层+ 好位置', '毕加索小镇(一期)(公寓)  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '中楼层(共8层)2010年建板楼  -  唐镇', '500万', '单价56180元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bb0710f3-448d-426e-9454-5fbee8508b53.png.296x216.jpg', '板式洋房 总价包含产权车位 6/11号线双地铁 品质社区', '金地湾流域(公寓)  | 3室2厅 | 88.16平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2009年建板楼  -  三林', '780万', '单价88476元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6a9d76d7-d888-4929-987d-8c470db9716b.png.296x216.jpg', '诚意出售 普通住宅税费少 11号线地铁800米 价格面谈', '永泰花苑  | 1室1厅 | 54.53平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  三林', '288万', '单价52815元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b3441f3e-7078-468f-a001-97f808198b5d.png.296x216.jpg', '房东特意从陕西过来卖房 满五唯一 税少', '上海绿城  | 2室2厅 | 108.26平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)2004年建板楼  -  杨东', '900万', '单价83134元/平米')
('https://image1.ljcdn.com/310000-inspection/351c4160-3452-4c64-9861-7d695b511ea0.jpg.296x216.jpg', '陆家嘴2013年新盘 南北通有阳台地暖 随时看满5年唯一', '国信世纪海景  | 3室2厅 | 235.69平米 | 南 | 精装 | 有电梯', '中楼层(共35层)板楼  -  塘桥', '2306万', '单价97841元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadfcbbb8dd-8551-4065-97f4-5f4641b7319c.JPG.296x216.jpg', '103平朝大两房，可改三房，看中价格可谈，得房率高', '东波苑二街坊  | 2室1厅 | 103.58平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  金桥', '430万', '单价41514元/平米')
('https://image1.ljcdn.com/310000-inspection/fe9686a4-a99b-4c15-91d1-827ab35e5cf4.JPG.296x216.jpg', '满五   单价低  总价低  景观房  隔壁星河湾', '由由四村  | 1室1厅 | 46.04平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1994年建板楼  -  北蔡', '235万', '单价51043元/平米')
('https://image1.ljcdn.com/310000-inspection/test-07950b8d-0599-4c83-91d6-9f7a465668ae.png.296x216.jpg', '菊园高区通透两房，满五唯一税费低，自住温馨装修', '菊园  | 2室2厅 | 103.14平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2001年建板楼  -  陆家嘴', '890万', '单价86291元/平米')
('https://image1.ljcdn.com/310000-inspection/test-86ef0dfd-ad86-4f20-b340-3e9cafe40651.png.296x216.jpg', '世纪公园全景房+送车位+二手买进买进价高+有钥匙', '华丽家族花园  | 3室2厅 | 141.54平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2002年建板楼  -  联洋', '1420万', '单价100325元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170702/482e8df8-316a-4326-bd2f-5546a0852bb8.jpg.296x216.jpg', '黄山始信苑+南北两房+诚意出售+看房方便', '黄山始信苑  | 2室2厅 | 83.19平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1999年建板楼  -  金杨', '630万', '单价75731元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e2a13e63-17e3-4165-9895-b3afbe388629.png.296x216.jpg', '拎包入住  税费低 有钥匙 三面光照', '城中花园  | 3室2厅 | 122.2平米 | 东 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  康桥', '550万', '单价45009元/平米')
('https://image1.ljcdn.com/310000-inspection/test-01645e72-c01d-4d48-bba3-2705adc62ac7.png.296x216.jpg', '婚房装修，满五唯一，多层四楼，拎包入住', '大华锦绣华城(四街区)  | 1室1厅 | 55.18平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2010年建板楼  -  北蔡', '386万', '单价69953元/平米')
('https://image1.ljcdn.com/310000-inspection/test-71355981-96e5-4157-b0bf-e5dd04a1de1b.png.296x216.jpg', '业主急售  南北通透 小区中间位置  满五 税费低', '连城新苑  | 2室2厅 | 96平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2006年建板楼  -  金桥', '505万', '单价52605元/平米')
('https://image1.ljcdn.com/310000-inspection/78dddd3e-56cf-48d2-87e4-990ad6d00b55.jpg.296x216.jpg', '东方别墅双拼别墅   位置佳，税费少，诚意卖！', '东方别墅(一期)   | 双拼别墅 | 4室3厅 | 244.52平米 | 北 | 精装 | 无电梯', '3层2002年建板楼  -  张江', '2468万', '单价100933元/平米')
('https://image1.ljcdn.com/310000-inspection/test-24477412-c999-4230-af33-f8e40e84dfad.png.296x216.jpg', '满五唯一，南北通透，两卫全明，精装全配，拎包入住！', '绿地康桥新苑  | 3室2厅 | 118平米 | 南 北 | 精装 | 有电梯', '低楼层(共17层)2004年建板楼  -  康桥', '540万', '单价45763元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161210/9475f829-6c41-4592-860c-b6505d4f49be.jpg.296x216.jpg', '满五年唯一+业主上门挂牌推荐+高区景观两房', '上海绿城  | 2室2厅 | 106.91平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2007年建板楼  -  杨东', '960万', '单价89796元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170528/dd635c26-7a14-46f4-b587-58d1329a4202.jpg.296x216.jpg', '钥匙房，看房方便。业主诚心出售', '海尚康庭  | 2室1厅 | 74.55平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2008年建板楼  -  康桥', '288万', '单价38632元/平米')
('https://image1.ljcdn.com/310000-inspection/0f6c22db-d262-4c0f-9c7a-cbdd12ffcd20.jpg.296x216.jpg', '2梯2户，飞机户型，中层，满五唯一，拎包入住，急售', '锦绣华都  | 3室2厅 | 113.13平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2010年建板楼  -  御桥', '610万', '单价53921元/平米')
('https://image1.ljcdn.com/310000-inspection/test-cafbc4de-2d42-4921-ad15-470c417f46e6.png.296x216.jpg', '670万买进税费少，位置安静装修楼层都好，来电就看房', '绿地泾南公寓  | 3室2厅 | 128.39平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  洋泾', '970万', '单价75552元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/9c4ceaf6-846f-4ce9-a6c8-3b45c79b35a9.jpg.296x216.jpg', '满五唯一无个税，婚房装修，92送8平方，三房南北通。', '锦绣华都  | 3室2厅 | 92平米 | 南 北 | 精装 | 有电梯', '高楼层(共14层)2010年建板楼  -  御桥', '550万', '单价59783元/平米')
('https://image1.ljcdn.com/310000-inspection/test-dcdcf2af-8254-4d9a-87e5-d1d8cb7dc135.png.296x216.jpg', '伊顿公馆，小区边套，采光无遮挡，中间楼层，诚心出售', '鹏润伊顿公馆  | 2室1厅 | 78平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共15层)2013年建板楼  -  惠南', '230万', '单价29488元/平米')
('https://image1.ljcdn.com/310000-inspection/test-b64f13b2-f7c0-43c8-aaec-7206ce1ecc0a.png.296x216.jpg', '绿地景汇大4房3房朝南1房朝北 电梯入户 近地铁和万达', '绿地景汇佳苑  | 4室2厅 | 201.1平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2012年建板楼  -  周浦', '980万', '单价48732元/平米')
('https://image1.ljcdn.com/310000-inspection/test-87815223-8c17-4ecd-b47f-b426882c6ad2.png.296x216.jpg', '2012年次新电梯房，配套齐全有车位，一手动迁少税费', '心圆东苑  | 2室2厅 | 74.6平米 | 南 | 毛坯 | 有电梯', '高楼层(共15层)2012年建板楼  -  川沙', '340万', '单价45577元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170816/7bf5b5b3-f4d1-4cb7-8bd1-94e01132e4f1.jpg.296x216.jpg', '精装修，中间套，品质小区，小三房，满五年唯一', '万科清林径  | 3室2厅 | 96.11平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板楼  -  新场', '352万', '单价36625元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload48791a69-5084-42b7-a952-51844f488d5b.jpg.296x216.jpg', '康桥板块少有美式别墅，朝南大花园，我最喜欢的别墅', '绿宝园  | 4室2厅 | 382.01平米 | 东南 南 | 精装 | 无电梯', '低楼层(共2层)2003年建板楼  -  康桥', '2800万', '单价73297元/平米')
('https://image1.ljcdn.com/310000-inspection/test-aa7ccb3c-06bf-452c-ad2c-804154b56594.png.296x216.jpg', '总价低，位置不错   总价便宜，满五年唯一有车位', '仁恒河滨城  | 3室2厅 | 122.02平米 | 北 | 精装 | 有电梯', '中楼层(共26层)2005年建板楼  -  联洋', '1250万', '单价102443元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180128/95cdfae4-0b94-41a8-abbb-a0debaa1f033.jpg.296x216.jpg', '双秀北园 5室3厅 510万', '双秀北园  | 5室3厅 | 100平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  康桥', '510万', '单价51000元/平米')
('https://image1.ljcdn.com/310000-inspection/test-29feb082-d1e0-48c2-979b-b11faf9f1d2b.png.296x216.jpg', '双南户型，业主自住精装修，位置安静，满五年税费少', '花木苑  | 2室2厅 | 74.12平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2000年建板楼  -  花木', '570万', '单价76903元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171207/e72ca26c-5f0d-4cd8-a457-6e0c7c1ee4ee.jpg.296x216.jpg', '广洋新景苑(公寓) 3室2厅 1300万', '广洋新景苑(公寓)  | 3室2厅 | 149.3平米 | 南 | 毛坯 | 有电梯', '高楼层(共13层)2005年建板楼  -  花木', '1300万', '单价87074元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7cf24b2e-752c-4cdf-9f95-105b40034047.png.296x216.jpg', '诚售！全新仁恒四居附送大花园+产权车位  税费可谈', '仁恒森兰雅苑  | 4室2厅 | 186.24平米 | 南 | 精装 | 有电梯', '低楼层(共16层)2014年建板楼  -  金桥', '1330万', '单价71414元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170505/9d471290-9373-41a9-ba3d-bcf46b833e9f.jpg.296x216.jpg', '江临天下四房+温州业主+随时签字+价格可谈', '江临天下  | 4室2厅 | 163.83平米 | 南 | 精装 | 有电梯', '低楼层(共35层)2003年建板楼  -  陆家嘴', '1400万', '单价85455元/平米')
('https://image1.ljcdn.com/310000-inspection/40a98bb6-f505-4348-9bd0-1c6bcd660220.jpg.296x216.jpg', '位置好，楼层佳，满五唯一，首付七成，到价收定！', '仁恒家园  | 3室2厅 | 140.93平米 | 南 | 精装 | 有电梯', '高楼层(共7层)2007年建板楼  -  外高桥', '760万', '单价53928元/平米')
('https://image1.ljcdn.com/310000-inspection/d353ffa8-b173-4420-990b-32b8676b47e3.jpg.296x216.jpg', '中冶尚城 2室2厅 617万', '中冶尚城  | 2室2厅 | 89.52平米 | 南 | 毛坯 | 有电梯', '中楼层(共11层)2010年建板楼  -  金桥', '617万', '单价68924元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadc3e02316-fad3-4593-906b-1d923e9e74ff.jpg.296x216.jpg', '动迁满五唯一，税费少；小区位置佳，双南户型', '双桥小区  | 2室1厅 | 73.88平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1998年建板楼  -  金桥', '490万', '单价66324元/平米')
('https://image1.ljcdn.com/310000-inspection/test-02774bc6-8043-4c71-9dd8-0a4ef1be0cf4.png.296x216.jpg', '前滩CBD板块+小区位置佳+三房两卫+业主诚意出售', '恒大华城天地苑  | 3室2厅 | 124.91平米 | 南 北 | 简装 | 有电梯', '中楼层(共11层)2002年建板楼  -  三林', '832万', '单价66608元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151230/c36fec81-2ce5-4e8e-899d-0bcc7a302a7a.jpg.296x216.jpg', '双主卧套房 南北直通 三面采光 三房朝南  随时可看', '仁恒滨江园  | 4室2厅 | 232.68平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2003年建板楼  -  陆家嘴', '2345万', '单价100783元/平米')
('https://image1.ljcdn.com/310000-inspection/test-5ae0dc35-190b-495d-8dac-33b57fa1d155.png.296x216.jpg', '动迁房，满五唯一，小区安静位置。', '伟业金锦苑二村  | 2室2厅 | 78平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  金桥', '450万', '单价57693元/平米')
('https://image1.ljcdn.com/310000-inspection/test-67d37c9e-d6d9-4042-90c4-6a65ee4b090c.png.296x216.jpg', '地铁口 精装一房 有钥匙 置换急售', '博安苑  | 1室1厅 | 50.77平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2004年建板楼  -  北蔡', '328万', '单价64606元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160811/a40f243d-8fcb-4334-9b76-e70d3aa413a4.jpg.296x216.jpg', '绿地康桥新苑 2室2厅 410万', '绿地康桥新苑  | 2室2厅 | 95.51平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2004年建板楼  -  康桥', '410万', '单价42928元/平米')
('https://image1.ljcdn.com/310000-inspection/test-db8e36ef-e812-43af-ab81-5c0b20e92d9e.png.296x216.jpg', '胸怀义气 金融权杖 开发商样板间 keep your eyes on', '仁恒滨江园  | 5室2厅 | 327.2平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2003年建板楼  -  陆家嘴', '3299万', '单价100826元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170821/ecae466e-9a24-4eaf-a43d-c60069eda840.jpg.296x216.jpg', '盛世年华紧凑型小三房诚意出售业主自住精装修', '盛世年华  | 3室2厅 | 102.52平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2005年建板楼  -  源深', '1240万', '单价120953元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170429/8f8c651c-9d3a-4a73-9a04-39b8f45e4994.jpg.296x216.jpg', '品珍苑 房东自住二改三 小区仅此一套 满五唯一少税费', '品珍苑  | 3室1厅 | 73.12平米 | 南 | 简装 | 无电梯', '低楼层(共6层)2000年建板楼  -  三林', '398万', '单价54432元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a0717590-dab6-486f-88b3-873fb8a2e429.png.296x216.jpg', '379弄精装修2房业主诚意急售', '凌兆新村(凌兆路379弄)  | 2室1厅 | 68.82平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  三林', '330万', '单价47952元/平米')
('https://image1.ljcdn.com/310000-inspection/test-900197ac-3112-4c28-a784-23cc34d75678.png.296x216.jpg', '一梯二户3楼花园洋房，赠送南北露台32.1平，可做四房', '金地未未来  | 3室2厅 | 115.47平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  金桥', '930万', '单价80541元/平米')
('https://image1.ljcdn.com/310000-inspection/d45f6507-2d62-4773-9283-c76f2e8088ea.jpg.296x216.jpg', '房型正气，得房率高，业主诚心出售', '海尚康庭  | 2室2厅 | 72.88平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2008年建板楼  -  康桥', '285万', '单价39106元/平米')
('https://image1.ljcdn.com/310000-inspection/test-a8ba86e6-01fb-4cad-97f6-7b07a8654247.png.296x216.jpg', '精装20万 满五唯一税少 6号线300米 看房方便 低价诚售', '中冶尚城  | 2室2厅 | 87.51平米 | 南 | 精装 | 有电梯', '低楼层(共14层)2010年建板楼  -  金桥', '575万', '单价65707元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170326/c126827f-96ba-4266-9225-5d6259e37cfd.jpg.296x216.jpg', '2013年竣工全南户型，楼层不高采光无遮挡，看房方便', '古北御庭  | 2室2厅 | 100.98平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2013年建板楼  -  北蔡', '930万', '单价92098元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170417/879c0bff-123f-4826-a76b-89f3bfd3bec4.jpg.296x216.jpg', '电梯房，税费低，急卖价格还可谈，总价低、方便看房', '浦江东旭公寓  | 2室1厅 | 79.56平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2009年建板楼  -  金桥', '385万', '单价48392元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171010/6c8dfea2-6dd1-4788-8752-6351c842739d.jpg.296x216.jpg', '俯瞰别墅+高区位置+满五年唯一+业主诚意出售+拎包入住', '绿地康桥新苑  | 2室2厅 | 88平米 | 南 | 精装 | 有电梯', '高楼层(共13层)2007年建板楼  -  康桥', '410万', '单价46591元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ee51e97e-253b-4d3e-8aac-1ade9b3b6b95.png.296x216.jpg', '大阳台，装修好，产权车位，税费低，有钥匙，满五唯一', '上海绿城  | 3室2厅 | 140.21平米 | 南 | 精装 | 有电梯', '低楼层(共15层)2007年建板楼  -  杨东', '1298万', '单价92576元/平米')
('https://image1.ljcdn.com/310000-inspection/test-07bf447e-b2c8-4572-87d2-c35c85b5f671.png.296x216.jpg', '满五唯一，楼层位置俱佳。板式三房，南北通三开间朝南', '翰锦苑  | 3室2厅 | 114.86平米 | 南 北 | 精装 | 有电梯', '高楼层(共13层)2003年建板楼  -  三林', '755万', '单价65733元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170423/cb3feb58-4076-41c8-9046-c12bf3e5282d.jpg.296x216.jpg', '送产权车位，高区景观房，装修好，满五唯一。', '四季全景台  | 3室2厅 | 161.1平米 | 南 | 精装 | 有电梯', '中楼层(共20层)2005年建板楼  -  花木', '1380万', '单价85662元/平米')
('https://image1.ljcdn.com/310000-inspection/test-212ac48b-e41a-426b-9d91-edd5d86c1e22.png.296x216.jpg', '金杨五街坊，中间套一房一厅。中间楼层，总价低。', '金杨新村五街坊  | 1室1厅 | 48.83平米 | 南 | 其他 | 无电梯', '低楼层(共6层)1994年建板楼  -  金杨', '230万', '单价47103元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170604/cf238d1a-e542-4ef3-9641-1d4557cc898d.jpg.296x216.jpg', '全明户型，业主诚意卖房，价格可谈', '紫叶花园  | 1室1厅 | 48.84平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1997年建板楼  -  北蔡', '275万', '单价56307元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151211/ca6fd07a-4865-4380-a206-09ae58787e4c.jpg.296x216.jpg', '福利分房，总价单价低！满五税费少，电梯户型正', '泾东小区  | 2室1厅 | 87.03平米 | 西北 | 精装 | 有电梯', '低楼层(共25层)1990年建塔楼  -  洋泾', '520万', '单价59750元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171202/3d10ba40-49b1-4012-86fe-10f6735db223.jpg.296x216.jpg', '建平实验九年制未用，地铁就在家门口', '黄山新苑  | 2室2厅 | 85.5平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2002年建板楼  -  金桥', '750万', '单价87720元/平米')
