('https://image1.ljcdn.com/210200-inspection/test-dcd62141-21c7-4d86-950f-713e1e1aecf0.png.296x216.jpg', '侯一小区 1室1厅 51万', '侯一小区  | 1室1厅 | 49.43平米 | 西 | 其他 | 无电梯', '低楼层(共7层)1993年建板楼  -  侯家沟', '51万', '单价10318元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada7aa78bd-e427-47d8-b4d1-315f5abc5b39.jpg.296x216.jpg', '户型方正 明厨明厅，好户型 房主急售', '金色年华公馆  | 1室1厅 | 54.78平米 | 西北 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  中山公园', '168万', '单价30669元/平米')
('https://image1.ljcdn.com/210200-inspection/test-1062d477-0ba2-4d8a-ba5c-f2cdc7e70f47.png.296x216.jpg', '星海中龙园三室精装修南北通透 一楼带花园不潮不闹', '星海中龙园  | 3室2厅 | 121.48平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  星海人家商圈', '285万', '单价23461元/平米')
('https://image1.ljcdn.com/210200-inspection/3922a516-9686-4b13-bbcf-272b8312f396.JPG.296x216.jpg', '莱州街 南北通透两室 近车站 近市场 生活便利', '莱州街  | 2室1厅 | 84.56平米 | 东 北 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  孙家沟', '80万', '单价9461元/平米')
('https://image1.ljcdn.com/210200-inspection/79bb7590-d7b9-4f79-acd7-0ab4d0dbaaa1.JPG.296x216.jpg', '锦泉南园中间楼层南北通厅采光好', '锦泉南园  | 2室1厅 | 79.73平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1996年建板楼  -  锦绣', '105万', '单价13170元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5b0d2823-deb3-42e9-acec-4859fcecf9de.jpg.296x216.jpg', '海天一色融,半步听涛语,拾级而上观,装修品质悦', '大连明珠  | 4室2厅 | 218.81平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2008年建塔楼  -  星海广场', '540万', '单价24679元/平米')
('https://image1.ljcdn.com/210200-inspection/8b5896be-e7c5-400d-a820-5548ae746a16.JPG.296x216.jpg', '幸福e家三期精装平层两室 全明户型 带阳台 装修保持好', '幸福e家三期  | 2室2厅 | 81.95平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2004年建板楼  -  幸福e家', '318万', '单价38805元/平米')
('https://image1.ljcdn.com/210200-inspection/5cf4e5d6-6216-4745-bd42-0a6e2f3b6417.jpg.296x216.jpg', '马栏*前排,地角好,中间楼层', '马栏小学北  | 2室0厅 | 69.78平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1995年建板楼  -  马栏', '69万', '单价9889元/平米')
('https://image1.ljcdn.com/210200-inspection/test-890bbef1-d5b8-41f4-a466-a7a0a1bcc709.png.296x216.jpg', '格致旁边，精装修开间小户型，有钥匙随时看房', '幸福e家三期  | 1室1厅 | 53.63平米 | 东南 | 精装 | 有电梯', '高楼层(共25层)2004年建板楼  -  幸福e家', '230万', '单价42887元/平米')
('https://image1.ljcdn.com/210200-inspection/e1b95239-5b0a-44d5-84cd-dae8e4bb7e35.jpg.296x216.jpg', '和平现代城 1室1厅 97万', '和平现代城  | 1室1厅 | 60.39平米 | 东北 | 精装 | 有电梯', '中楼层(共50层)2005年建板楼  -  和平广场', '97万', '单价16063元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadef0c4a26-7807-4b00-9093-b56c3b6f70fe.JPG.296x216.jpg', '锦绣精装修三楼，南北向东明厅。大客厅三室', '锦绣园  | 3室2厅 | 105.91平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)2000年建板楼  -  锦绣', '170万', '单价16052元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ead48f6e-85eb-403d-837c-a0a36ee85bee.png.296x216.jpg', '多层洋房 光线充足 诚心出售 五明户型', '阳光月秀  | 2室2厅 | 81.64平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2006年建板楼  -  阳光月秀', '135万', '单价16537元/平米')
('https://image1.ljcdn.com/210200-inspection/f7c9e2d2-864e-4931-95a7-bfb169f74c31.jpg.296x216.jpg', '格致九年五期精装修南北通透三室多层洋房', '幸福e家五期  | 3室2厅 | 152.49平米 | 南 北 | 精装 | 有电梯', '中楼层(共7层)2009年建板楼  -  幸福e家', '469万', '单价30757元/平米')
('https://image1.ljcdn.com/210200-inspection/eb9a3d3f-2db9-404a-a665-6ab2c1a9a000.jpg.296x216.jpg', '精装修保持好 视线好可看操场 光线好 临广场', '帝欧花园  | 2室2厅 | 95.92平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2005年建板楼  -  绿波', '198万', '单价20643元/平米')
('https://image1.ljcdn.com/210200-inspection/4222866b-a875-4190-a9b5-a4230e7c716d.JPG.296x216.jpg', '绿波B区 装修保持好 采光视野好', '绿波B区  | 3室1厅 | 96.91平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)1993年建板楼  -  春柳', '79.9万', '单价8245元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f002161d-21f0-416f-aef3-8d958703fec7.png.296x216.jpg', '中海英伦观邸 2室2厅 173万', '中海英伦观邸  | 2室2厅 | 83.66平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2009年建板楼  -  绿波', '173万', '单价20679元/平米')
('https://image1.ljcdn.com/210200-inspection/213f2795-a660-42a2-8658-58462a39b76d.jpg.296x216.jpg', '此房位于马栏广场 出行便利 楼层楼好', '马栏广场  | 2室1厅 | 98.25平米 | 东 西 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  马栏', '87万', '单价8855元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/test-bb880422-9593-4193-8d5e-fa401b5e6f78.png.280x210.jpg', '阳光月秀封闭小区精装两室南北通透拎包入住', '阳光月秀  | 2室1厅 | 91.7平米 | 南 西 北 | 精装 | 有电梯', '低楼层(共18层)2006年建板楼  -  阳光月秀', '143万', '单价15595元/平米')
('https://image1.ljcdn.com/210200-inspection/test-96336eea-c9fa-4fef-a180-a539c59af173.png.296x216.jpg', '南北通透 高楼层 观赏海景 改善房型 适合居住', '半岛听涛  | 4室1厅 | 191.71平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共31层)2007年建板楼  -  星海广场', '410万', '单价21387元/平米')
('https://image1.ljcdn.com/210200-inspection/42cfdd9e-054f-49a9-bb84-c0c04dd38cab.jpg.296x216.jpg', '五期格致 三区带煤气 两室 精装修', '幸福e家五期  | 2室1厅 | 94.31平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2008年建塔楼  -  幸福e家', '300万', '单价31810元/平米')
('https://image1.ljcdn.com/210200-inspection/52027293-5fd8-425b-865c-29fc5af81787.jpg.296x216.jpg', '马栏观山满庭芳两室一厅采光好中间楼层单价低', '观山满庭芳  | 2室1厅 | 66.77平米 | 东北 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  马栏', '90.8万', '单价13599元/平米')
('https://image1.ljcdn.com/210200-inspection/3612ccec-7843-4644-ab4c-66ea798aebfa.jpg.296x216.jpg', '辽师西关街 位置好 近车站 单价低 急售', '西关街  | 3室1厅 | 81.95平米 | 东 | 简装 | 无电梯', '高楼层(共7层)1997年建塔楼  -  辽师', '68万', '单价8298元/平米')
('https://image1.ljcdn.com/210200-inspection/test-aaf66d90-9496-4db2-84db-571c40ac5524.png.296x216.jpg', '马栏广场地铁沿线兰玉街一室一厅南向中间楼层急售', '马栏广场东  | 1室1厅 | 40.39平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1995年建板楼  -  马栏', '42万', '单价10399元/平米')
('https://image1.ljcdn.com/210200-inspection/4d33c6b0-9485-4e05-83c4-9f51c7470728.JPG.296x216.jpg', '锦江园 两室两厅 中间楼层 楼下免费停车', '锦江园  | 2室2厅 | 119.58平米 | 东 西 | 精装 | 无电梯', '中楼层(共6层)2000年建板楼  -  锦绣', '108万', '单价9032元/平米')
('https://image1.ljcdn.com/210200-inspection/1f4a5a5a-239c-4282-af89-d95475b7b877.JPG.296x216.jpg', '杭州街 中间楼层 田字格户型 优质房源', '杭州街  | 3室1厅 | 73.74平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1990年建板楼  -  黑石礁', '90万', '单价12206元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd6f40f81-9088-4479-83a2-8d44e7d0f689.JPG.296x216.jpg', '南北向两室 中间楼层 户型规矩  看房方便', '锦江园  | 2室1厅 | 75.43平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1996年建板楼  -  锦绣', '72万', '单价9546元/平米')
('https://image1.ljcdn.com/210200-inspection/225afb91-3b80-41c9-a677-4d6bc7e7231a.jpg.296x216.jpg', '通海花园精装修 三室 不把道边 看房方便', '通海花园  | 3室2厅 | 154.08平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  孙家沟', '280万', '单价18173元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9e56d6eb-b1d1-4415-a1cd-a3d3534cd0e3.png.296x216.jpg', '知行 多层四楼 2002年封闭小区', '绿香花园  | 2室2厅 | 96.55平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  绿波', '130万', '单价13465元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadcada5f2d-38e1-44c3-934d-c03cfc8cb200.jpg.296x216.jpg', '五一路桃山小区三室明厅户型好近软件园近星海', '桃山小区  | 3室2厅 | 109.94平米 | 南 西 北 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  南沙', '103万', '单价9369元/平米')
('https://image1.ljcdn.com/210200-inspection/test-16116d62-493a-4f33-87f2-c3c1af0ae687.png.296x216.jpg', '中海英伦观邸 中间楼层, 五明户型, 精装修,南北通厅！', '中海英伦观邸  | 3室2厅 | 119平米 | 南 北 | 简装 | 有电梯', '高楼层(共25层)2009年建板楼  -  绿波', '229万', '单价19244元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a7063fe0-2a02-4cfd-af37-cbe6fa1e694e.png.296x216.jpg', '： 房子中间楼层，南北通厅，五明格局。', '帝欧花园  | 2室2厅 | 95.92平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  绿波', '160万', '单价16681元/平米')
('https://image1.ljcdn.com/210200-inspection/689543df-3886-4248-9aea-fead1d1185db.JPG.296x216.jpg', '锦华中园 南北两室 户型规矩 2001年的房子 近地铁', '锦华中园  | 2室1厅 | 59.94平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)2001年建板楼  -  锦绣', '72万', '单价12013元/平米')
('https://image1.ljcdn.com/210200-inspection/61c96def-43b6-4aa0-94fb-0c5453a3e610.jpg.296x216.jpg', '通海花园精装修 不把道边 房主诚心出售 看房方便', '通海花园  | 3室1厅 | 153.5平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2002年建板楼  -  孙家沟', '280万', '单价18242元/平米')
('https://image1.ljcdn.com/210200-inspection/5a1705cf-1797-4287-a403-8f14ead6a85a.jpg.296x216.jpg', '新华同仁轩 带花园南北通透   适合老人及年轻人', '新华同仁轩  | 1室1厅 | 44.13平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  阳光月秀', '60万', '单价13597元/平米')
('https://image1.ljcdn.com/210200-inspection/ec329ce3-582b-409d-8587-a87d7c43bec4.jpg.296x216.jpg', '黑石礁  南北向两室一厅 装修干净 近地铁 无坡', '黑石礁  | 2室1厅 | 54.32平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1990年建板楼  -  黑石礁', '60万', '单价11046元/平米')
('https://image1.ljcdn.com/210200-inspection/test-81f8f976-0cd2-428a-8d21-66aa0f9a882e.png.296x216.jpg', '壹品星海 两室 双南向 海景房 星海广场视野', '壹品星海一期  | 2室1厅 | 101.02平米 | 南 | 精装 | 有电梯', '中楼层(共33层)2005年建板楼  -  星海广场', '259万', '单价25639元/平米')
('https://image1.ljcdn.com/210200-inspection/bdbc734a-6781-48fc-acda-3c2d0126c9ee.jpg.296x216.jpg', '幸福e家五期 2室2厅 359万', '幸福e家五期  | 2室2厅 | 93.65平米 | 南 北 | 精装 | 有电梯', '中楼层(共9层)2008年建板楼  -  幸福e家', '359万', '单价38335元/平米')
('https://image1.ljcdn.com/210200-inspection/test-a8a38f12-ed52-4764-80ca-cbcac40c714f.png.296x216.jpg', '壹品星海一期 3室2厅 355万', '壹品星海一期  | 3室2厅 | 158.51平米 | 南 北 | 精装 | 有电梯', '低楼层(共14层)2005年建板楼  -  星海广场', '355万', '单价22397元/平米')
('https://image1.ljcdn.com/210200-inspection/test-61872777-eebc-4436-b989-48605279985f.png.296x216.jpg', '侯一五楼  南北三室 前后不挡光 近花园车站 看房方便', '侯一小区  | 3室1厅 | 76.48平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1993年建板楼  -  侯家沟', '87万', '单价11376元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5d77a124-9efc-4a7c-b5d7-88b956da20ba.jpg.296x216.jpg', '马栏广场 益嘉广场 封闭小区 两室南北通厅精装修', '益嘉广场  | 2室2厅 | 100.37平米 | 南 北 | 精装 | 有电梯', '高楼层(共27层)2012年建塔楼  -  马栏', '199万', '单价19827元/平米')
('https://image1.ljcdn.com/210200-inspection/34daf3dc-da2a-4b44-855c-f3f5d2e38335.jpg.296x216.jpg', '和平商圈，交通便利，配套齐全，封闭小区', '华业玫瑰东方  | 1室0厅 | 45.83平米 | 西北 | 其他 | 有电梯', '低楼层(共23层)2011年建塔楼  -  和平广场', '105万', '单价22911元/平米')
