('https://image1.ljcdn.com/440100-inspection/e9faa787-6770-4c5e-8319-83c94bcf6037.jpg.296x216.jpg', '万科金色城品 精装3房 南向望园景', '万科金色城品  | 3室2厅 | 63平米 | 东南 | 精装 | 有电梯', '中楼层(共8层)2010年建塔楼  -  沙湾', '360万', '单价57143元/平米')
('https://image1.ljcdn.com/440100-inspection/2ebd6770-9435-460a-b628-08786bd17813.jpg.296x216.jpg', '祈福新村A区 南向两房 精装修 带19方花园 位置安静', '祈福新村A区  | 2室2厅 | 60.7平米 | 南 | 精装 | 无电梯', '低楼层(共4层)1995年建板楼  -  祈福', '170万', '单价28007元/平米')
('https://image1.ljcdn.com/440100-inspection/d6471795-ff45-4fa9-a817-ce6e67690c98.jpg.296x216.jpg', '自在城市花园二期诺德中心城 3室2厅 320万', '自在城市花园二期诺德中心城  | 3室2厅 | 101.52平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2012年建塔楼  -  汉溪', '320万', '单价31521元/平米')
('https://image1.ljcdn.com/440100-inspection/6bcdc011-90a4-417c-bdc7-337f020b9921.JPG.296x216.jpg', '祈福新村海晴居 3室2厅 235万', '祈福新村海晴居  | 3室2厅 | 76平米 | 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  祈福', '235万', '单价30922元/平米')
('https://image1.ljcdn.com/440100-inspection/11035be0-38d7-4402-8c12-534d4cd69073.jpg.296x216.jpg', '奥园养生广场 公寓两房可明火煮食 户型方正 采光好', '奥园养生广场  | 2室1厅 | 82平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2012年建塔楼  -  沙湾', '125万', '单价15244元/平米')
('https://image1.ljcdn.com/440100-inspection/f813729f-cc58-426c-b10c-cb40013f7b62.jpg.296x216.jpg', ') 媒体村电梯两房,保养采光好', '亚运城媒体北村  | 2室2厅 | 83平米 | 南 | 精装', '低楼层(共18层)塔楼  -  亚运城', '230万', '单价27711元/平米')
('https://image1.ljcdn.com/440100-inspection/41a75106-30eb-4c92-8413-e2212a73342e.JPG.296x216.jpg', '大石锦绣银湾 中间楼层，三居室。满五年。有钥匙', '锦绣银湾  | 3室2厅 | 118.63平米 | 南 北 | 精装 | 有电梯', '中楼层(共25层)2007年建塔楼  -  大石', '448万', '单价37765元/平米')
('https://image1.ljcdn.com/440100-inspection/a6bc6dc7-9595-4670-8119-2dd860a7ece4.jpg.296x216.jpg', '丽江九如通津 西南向三房 双阳台 电梯', '丽江花园九如通津  | 3室2厅 | 106平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)2000年建塔楼  -  南浦', '335万', '单价31604元/平米')
('https://image1.ljcdn.com/440100-inspection/13fdaa37-289c-4966-9f40-457b8fb23e90.jpg.296x216.jpg', '倚莲半岛 毛坯三房 南北对流户型 中高楼层', '倚莲半岛花园  | 3室2厅 | 145.94平米 | 南 北 | 毛坯', '中楼层(共16层)板楼  -  石楼镇', '280万', '单价19186元/平米')
('https://image1.ljcdn.com/440100-inspection/d0d316bc-4801-4188-b14f-f72870a3d8df.JPG.296x216.jpg', '广州雅居乐花园 新地南向3房 人车分流', '广州雅居乐花园新地沁园  | 3室2厅 | 88平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2010年建塔楼  -  雅居乐', '345万', '单价39205元/平米')
('https://image1.ljcdn.com/440100-inspection/393f9076-49e6-4621-9f3b-ca5cae0821f7.jpg.296x216.jpg', '东华花园 南向三房 中等楼层 楼梯房 视野开阔', '东华花园  | 3室2厅 | 96.46平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2004年建板楼  -  市桥东', '232万', '单价24052元/平米')
('https://image1.ljcdn.com/440100-inspection/test-2efe8d7b-9953-4058-ac7e-d433d88f74dc.png.296x216.jpg', '光明南路  中楼层  南北对流', '光明南路立志大街  | 2室2厅 | 101.9平米 | 南 | 简装', '中楼层(共7层)塔楼  -  市桥', '158万', '单价15506元/平米')
('https://image1.ljcdn.com/440100-inspection/624af409-716d-4dc3-a7c5-c2082cda2a88.jpg.296x216.jpg', '金海岸花园 二期皇玛 园内比较安静 有钥匙看房', '金海岸花园皇玛  | 2室2厅 | 87.55平米 | 北 | 精装 | 有电梯', '中楼层(共9层)2002年建塔楼  -  市桥东', '268万', '单价30612元/平米')
('https://image1.ljcdn.com/440100-inspection/99353243-9fed-44bd-9de8-8358c8623428.JPG.296x216.jpg', '珠殿苑南区 2室1厅 155万', '珠殿苑南区  | 2室1厅 | 69.6平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1996年建塔楼  -  市桥', '155万', '单价22271元/平米')
('https://image1.ljcdn.com/440100-inspection/af064f0a-cb01-4491-82db-53e73a2897d9.JPG.296x216.jpg', '广地花园二期 顶楼复式   新装修保养好', '广地花园  | 4室2厅 | 112.49平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2006年建塔楼  -  星河湾', '320万', '单价28447元/平米')
('https://image1.ljcdn.com/440100-inspection/40d32e3d-3afa-475a-97be-3c628cd20c70.jpg.296x216.jpg', '东怡新区 东雅园  南北向', '东怡新区东雅园  | 4室2厅 | 136.1平米 | 南 北 | 精装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  市桥东', '350万', '单价25717元/平米')
('https://image1.ljcdn.com/440100-inspection/db6cb712-1adf-4351-a8e4-aa91a88c1751.jpg.296x216.jpg', '实用小户型，双阳台设计，低楼层', '祈福新村海晴居  | 2室2厅 | 52.43平米 | 北 | 精装 | 无电梯', '低楼层(共6层)2003年建板楼  -  祈福', '170万', '单价32425元/平米')
('https://image1.ljcdn.com/440100-inspection/d7dc03c1-78fd-4707-8b50-cf945dba79c7.JPG.296x216.jpg', '剑桥郡 君澜街 3房2卫 带车位 送家私家电', '广州雅居乐花园剑桥郡  | 3室2厅 | 114平米 | 东北 | 精装 | 有电梯', '低楼层(共15层)2010年建塔楼  -  雅居乐', '495万', '单价43422元/平米')
('https://image1.ljcdn.com/440100-inspection/8d6d69fa-fef7-45a6-894d-a70bc71d3183.JPG.296x216.jpg', '侨宫苑 2室2厅 140万', '侨宫苑  | 2室2厅 | 77.5平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)1996年建塔楼  -  市桥', '140万', '单价18065元/平米')
('https://image1.ljcdn.com/440100-inspection/a4c9b858-56db-45b1-8b97-de50635bcc4d.JPG.296x216.jpg', '祈福新村迎风阁 2室2厅 258万', '祈福新村迎风阁  | 2室2厅 | 84.21平米 | 北 | 其他 | 有电梯', '低楼层(共20层)2005年建塔楼  -  祈福', '258万', '单价30638元/平米')
('https://image1.ljcdn.com/440100-inspection/7cb40509-e3e0-4133-ac09-9e2c6e2ae706.jpg.296x216.jpg', '入户阳台，温馨三房，视野开阔，户型合理，保养好', '信基城  | 4室2厅 | 158.57平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)板楼  -  大石', '698万', '单价44019元/平米')
('https://image1.ljcdn.com/440100-inspection/b84375b3-5d46-4e24-8dd5-0543008323a2.JPG.296x216.jpg', '银都大厦 4房2厅出售 户型方正', '银都大厦  | 4室2厅 | 160.9平米 | 东南 | 简装 | 有电梯', '中楼层(共28层)1995年建塔楼  -  市桥', '360万', '单价22375元/平米')
('https://image1.ljcdn.com/440100-inspection/c93fb760-3403-45d3-a47b-c456d118e2b1.jpg.296x216.jpg', '锦绣生态园  精装南向 2房出售', '锦绣生态园翠屏苑  | 2室2厅 | 70.67平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2003年建塔楼  -  钟村', '198万', '单价28018元/平米')
('https://image1.ljcdn.com/440100-inspection/d7022760-4494-40e3-88e6-52ce7c9f8198.JPG.296x216.jpg', '锦绣银湾 3室2厅 440万', '锦绣银湾  | 3室2厅 | 125.75平米 | 北 | 精装 | 有电梯', '高楼层(共24层)2007年建板楼  -  大石', '440万', '单价34991元/平米')
('https://image1.ljcdn.com/440100-inspection/29633a1f-0e08-45b0-b5d8-3609a531bab9.JPG.296x216.jpg', '钟村商贸城东盛大厦 3室2厅 150万', '钟村商贸城东盛大厦  | 3室2厅 | 75.5平米 | 东南 | 简装 | 无电梯', '低楼层(共9层)1990年建塔楼  -  钟村', '150万', '单价19868元/平米')
('https://image1.ljcdn.com/440100-inspection/a220443f-6495-40a1-b205-b4f28cd3f7fe.jpg.296x216.jpg', '交通便利，配套设施齐全，南北通透，视野宽阔。', '祈福新村康怡居  | 2室2厅 | 61.06平米 | 北 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  祈福', '195万', '单价31936元/平米')
('https://image1.ljcdn.com/440100-inspection/af6773c3-d6ac-415c-b16d-7af72c3fe36e.jpg.296x216.jpg', '番禺海伦堡流金岁月 3室2厅 435万', '番禺海伦堡流金岁月  | 3室2厅 | 67.28平米 | 南 | 简装 | 有电梯', '中楼层(共26层)2009年建塔楼  -  沙湾', '435万', '单价64656元/平米')
('https://image1.ljcdn.com/440100-inspection/67e09557-9a2e-48e4-841b-a277abd5725c.jpg.296x216.jpg', '侨基花园 温馨两房一厅 装修好 送家私', '侨基花园  | 2室1厅 | 66平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)1998年建塔楼  -  市桥', '167万', '单价25304元/平米')
('https://image1.ljcdn.com/440100-inspection/1a99e0f2-de4e-4b0d-8297-fd0815c96411.jpg.296x216.jpg', '蝶舞轩南向三房 采光充足 保养好', '祈福新村蝶舞轩  | 3室2厅 | 80.63平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  祈福', '265万', '单价32867元/平米')
('https://image1.ljcdn.com/440100-inspection/23ae32e7-eeb6-49bf-b013-cee408138b36.jpg.296x216.jpg', '南国奥园 精装修三房 南北对流', '南国奥林匹克花园悉尼  | 4室2厅 | 90平米 | 西南 | 精装 | 有电梯', '高楼层(共19层)2006年建塔楼  -  汉溪', '300万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/a565a9ea-d459-43d2-8e59-96f3ab083196.JPG.296x216.jpg', '锦绣生态园趣园 3室2厅 234万', '锦绣生态园趣园  | 3室2厅 | 93.62平米 | 北 | 精装 | 无电梯', '高楼层(共6层)2005年建塔楼  -  钟村', '234万', '单价24995元/平米')
('https://image1.ljcdn.com/440100-inspection/c31b3be0-f860-49ec-b900-5d2a45f49b83.jpg.296x216.jpg', '大西路 田心社区 方正小三房', '田心社区大西路  | 3室2厅 | 77.89平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  市桥', '139万', '单价17846元/平米')
('https://image1.ljcdn.com/440100-inspection/3646e63d-4383-4d44-8db1-30b495285858.JPG.296x216.jpg', '广地花园  二期楼梯顶楼复式 格局方正', '广地花园  | 3室2厅 | 139.44平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2006年建塔楼  -  星河湾', '360万', '单价25818元/平米')
('https://image1.ljcdn.com/440100-inspection/89676ac8-228e-4137-90c8-045fb11098de.jpg.296x216.jpg', '莲芳园 简装两房 楼梯中层 采光通风好', '富丽家园莲芳园  | 2室1厅 | 75.8平米 | 南 | 简装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  大石', '142万', '单价18734元/平米')
('https://image1.ljcdn.com/440100-inspection/09539e9e-4383-49a3-85c8-101d36c2bc30.JPG.296x216.jpg', '锦绣生态园趣园 2室1厅 193万', '锦绣生态园趣园  | 2室1厅 | 80.7平米 | 西南 | 简装 | 无电梯', '中楼层(共6层)2005年建塔楼  -  钟村', '193万', '单价23916元/平米')
('https://image1.ljcdn.com/440100-inspection/ac05c8fc-7276-4e21-aba6-c5e56a580548.jpg.296x216.jpg', '南国奥园 精装修三房 南北对', '南国奥林匹克花园悉尼  | 4室2厅 | 90平米 | 西南 | 精装 | 有电梯', '高楼层(共19层)2006年建塔楼  -  汉溪', '300万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/e718e591-fb1d-4285-86a8-03394c85cc86.JPG.296x216.jpg', '庄士映蝶蓝湾二期精装实用两房.', '庄士映蝶蓝湾二期  | 2室1厅 | 60.33平米 | 西南 | 精装', '中楼层(共17层)塔楼  -  石楼镇', '150万', '单价24864元/平米')
('https://image1.ljcdn.com/440100-inspection/92fb9de1-4554-4196-a3b9-0099ad2dd0f5.jpg.296x216.jpg', '市桥南 花样年华 精装修 园景单位', '番禺海伦堡花样年华二期  | 2室2厅 | 96平米 | 东北 | 简装 | 有电梯', '低楼层(共17层)2005年建塔楼  -  沙湾', '320万', '单价33334元/平米')
('https://image1.ljcdn.com/440100-inspection/f21cd1b6-84f2-4374-a89b-44bd57f88f60.jpg.296x216.jpg', '金沙湾花园 3室2厅 350万', '金沙湾花园  | 3室2厅 | 125.6平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)2007年建塔楼  -  沙湾', '350万', '单价27867元/平米')
('https://image1.ljcdn.com/440100-inspection/4e312f4b-ee73-47e8-a1bd-a61d20c57ab3.jpg.296x216.jpg', '昊龙花园 少放的3房 格局方正', '昊龙花园南区  | 3室2厅 | 88.48平米 | 北 | 精装 | 无电梯', '高楼层(共5层)2007年建塔楼  -  沙湾', '238万', '单价26899元/平米')
('https://image1.ljcdn.com/440100-inspection/test-82bcce7a-ba1d-40f6-aa33-f0efd972e1ea.png.296x216.jpg', '南北对流 外墙新净 格局方正  采光很好', '荷景花园一区  | 3室2厅 | 92平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  沙湾', '190万', '单价20653元/平米')
('https://image1.ljcdn.com/440100-inspection/85bec090-34db-405e-9a2d-d4502fe28566.jpg.296x216.jpg', '君华御府复式单位 南北对流', '君华香柏御府  | 4室2厅 | 76.67平米 | 南 北 | 其他', '高楼层(共32层)塔楼  -  沙湾', '300万', '单价39129元/平米')
('https://image1.ljcdn.com/440100-inspection/9162e651-4a8e-4f2b-a2a9-921cbb3a0d54.JPG.296x216.jpg', '广地花园  一期楼梯楼  精装修2房', '广地花园  | 2室2厅 | 73.3平米 | 南 | 精装 | 无电梯', '中楼层(共7层)塔楼  -  星河湾', '215万', '单价29332元/平米')
('https://image1.ljcdn.com/440100-inspection/57ede5da-18e3-4dd9-9592-bc321cf48461.JPG.296x216.jpg', '满五唯一方正两房，视野开阔，安静舒适。', '自在城市花园二期诺德中心城  | 2室2厅 | 74.82平米 | 东 | 简装 | 有电梯', '低楼层(共18层)2012年建塔楼  -  汉溪', '232万', '单价31008元/平米')
('https://image1.ljcdn.com/440100-inspection/68617a6b-7939-4c3c-b4f7-c0a378b51593.jpg.296x216.jpg', '海滨大厦 电梯三房', '海滨大厦  | 3室2厅 | 148平米 | 南 | 简装', '低楼层(共14层)2002年建塔楼  -  市桥', '280万', '单价18919元/平米')
('https://image1.ljcdn.com/440100-inspection/test-bfecafba-f26c-4db5-a643-cd5103962b08.png.296x216.jpg', '南北对流 楼层好 视野宽阔 采光充足', '荷景花园一区  | 4室2厅 | 118平米 | 东南 | 精装 | 无电梯', '中楼层(共7层)1995年建塔楼  -  沙湾', '195万', '单价16526元/平米')
('https://image1.ljcdn.com/440100-inspection/3fa18581-90b3-4762-8a0b-ca7bcd1c5346.jpg.296x216.jpg', '广州雅居乐 过五唯一 产权清晰', '广州雅居乐花园一尺山居  | 2室2厅 | 92.06平米 | 西北 | 精装 | 有电梯', '中楼层(共23层)2010年建塔楼  -  雅居乐', '326万', '单价35412元/平米')
('https://image1.ljcdn.com/440100-inspection/9e23ae51-5177-4e4a-bb78-0199f1eb895b.jpg.296x216.jpg', '东雅园，住家装修，电梯三房带主套', '东怡新区东雅园  | 3室2厅 | 100.6平米 | 南 | 简装 | 有电梯', '中楼层(共12层)2000年建塔楼  -  市桥东', '288万', '单价28629元/平米')
('https://image1.ljcdn.com/440100-inspection/134fd293-1f2f-4b79-8a42-bbfcde84ef46.jpg.296x216.jpg', '彩虹花园东区 2室1厅 190万', '彩虹花园东区  | 2室1厅 | 65.4平米 | 南 | 简装 | 无电梯', '中楼层(共7层)2000年建塔楼  -  洛溪', '190万', '单价29052元/平米')
('https://image1.ljcdn.com/440100-inspection/3e2f5831-caa1-42e8-85d6-477204c327fd.jpg.296x216.jpg', '金山谷三房套房出售  装修保养好', '金山谷四期  | 3室2厅 | 110.83平米 | 南 北 | 简装 | 有电梯', '高楼层(共25层)2013年建塔楼  -  祈福', '418万', '单价37716元/平米')
('https://image1.ljcdn.com/440100-inspection/47f6c0b1-3410-494c-ad82-b451824df1d3.jpg.296x216.jpg', '绿庭雅苑 东南向 业主诚心卖 无按揭', '绿庭雅苑  | 3室2厅 | 89.6平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)2005年建塔楼  -  沙湾', '215万', '单价23996元/平米')
('https://image1.ljcdn.com/440100-inspection/99421e89-48bd-47b3-af2e-77e03133f552.jpg.296x216.jpg', '丽江花园丽彦楼 2室1厅 200万', '丽江花园丽彦楼  | 2室1厅 | 66平米 | 西北 | 其他 | 有电梯', '高楼层(共9层)1995年建塔楼  -  南浦', '200万', '单价30304元/平米')
('https://image1.ljcdn.com/440100-inspection/606b5402-3131-4dcb-bee7-0bb1222abe2c.jpg.296x216.jpg', '平康苑 三房户型方正采光好', '平康路  | 3室2厅 | 97平米 | 南 | 简装', '低楼层(共8层)板楼  -  市桥', '185万', '单价19073元/平米')
('https://image1.ljcdn.com/440100-inspection/test-1068ffd6-2f54-4aff-9795-32a11641b8f6.png.296x216.jpg', '南向三房出售 户型方正 采光好', '番禺人民医院宿舍  | 3室1厅 | 97.7平米 | 南 | 简装', '高楼层(共9层)1995年建塔楼  -  市桥', '150万', '单价15354元/平米')
('https://image1.ljcdn.com/440100-inspection/dd2b0013-02c9-48a8-b431-74ea3c4ddeb6.jpg.296x216.jpg', '平康路 中高层南向四房 交通便利', '平康路  | 4室2厅 | 115.37平米 | 南 | 简装 | 无电梯', '高楼层(共7层)塔楼  -  市桥', '175万', '单价15169元/平米')
('https://image1.ljcdn.com/440100-inspection/6bd6ed7d-8d1f-4ae0-989b-008b6f527622.JPG.296x216.jpg', '广州星河湾怡心园 3室2厅 500万', '广州星河湾怡心园  | 3室2厅 | 121.7平米 | 南 北 | 精装 | 有电梯', '低楼层(共9层)2001年建塔楼  -  星河湾', '500万', '单价41085元/平米')
('https://image1.ljcdn.com/440100-inspection/c67ec693-1437-4da5-9795-501e7ad4a6bb.JPG.296x216.jpg', '南国奥园 汉溪长隆 南北对流 花园中间安静两房', '南国奥林匹克花园北奥二路  | 2室2厅 | 77.2平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2006年建板楼  -  汉溪', '300万', '单价38861元/平米')
('https://image1.ljcdn.com/440100-inspection/e831a711-a9e6-4444-a77d-34c5b884910e.JPG.296x216.jpg', '祈福新村C区 出行方便 实用两房', '祈福新村C区  | 2室2厅 | 63.5平米 | 南 | 简装 | 无电梯', '中楼层(共4层)1995年建板楼  -  祈福', '158万', '单价24882元/平米')
('https://image1.ljcdn.com/440100-inspection/ab0a56dc-4646-4475-b625-a1a0d715e578.jpg.296x216.jpg', '装修保养好 视野开阔 小区中间位置', '亚运城媒体北村  | 2室2厅 | 73.23平米 | 北 | 简装', '低楼层(共15层)塔楼  -  亚运城', '220万', '单价30043元/平米')
('https://image1.ljcdn.com/440100-inspection/fb706ca0-980c-47ff-9ef5-c0303fcad7c3.jpg.296x216.jpg', '康裕园 3室2厅 270万', '康裕园  | 3室2厅 | 99.4平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)1993年建塔楼  -  市桥', '270万', '单价27163元/平米')
('https://image1.ljcdn.com/440100-inspection/d1fdf5d9-089a-47ce-86e0-62829815bc4b.jpg.296x216.jpg', '精装三房 省一级学房 证满五年', '番禺奥林匹克花园  | 3室2厅 | 107.5平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)1990年建板楼  -  沙湾', '290万', '单价26977元/平米')
('https://image1.ljcdn.com/440100-inspection/test-f2f6d516-3782-43c3-9bc6-c86adc81efa7.png.296x216.jpg', '大北路永恒大街 3室1厅 168万', '大北路永恒大街  | 3室1厅 | 83.82平米 | 东 | 简装 | 无电梯', '中楼层(共8层)塔楼  -  市桥', '168万', '单价20043元/平米')
('https://image1.ljcdn.com/440100-inspection/780246ba-dd34-4415-a5d5-6c16b9664d49.JPG.296x216.jpg', '番禺海伦堡御院 3室2厅 315万', '番禺海伦堡御院  | 3室2厅 | 96.8平米 | 北 | 精装 | 有电梯', '高楼层(共22层)2005年建塔楼  -  沙湾', '315万', '单价32542元/平米')
('https://image1.ljcdn.com/440100-inspection/aa6db268-b8c0-46af-902f-6aaf3357aa9f.JPG.296x216.jpg', '祈福新村倚湖湾 4室2厅 500万', '祈福新村倚湖湾  | 4室2厅 | 153.8平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2006年建塔楼  -  祈福', '500万', '单价32510元/平米')
('https://image1.ljcdn.com/440100-inspection/d72cc58c-b21c-45d1-b1b6-3469debcfd9e.jpg.296x216.jpg', '东华花园一期 中楼层 大三房 采光好 无遮挡', '东华花园  | 3室2厅 | 110.8平米 | 北 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  市桥东', '255万', '单价23015元/平米')
('https://image1.ljcdn.com/440100-inspection/a27380d9-7deb-4f46-b3d4-872465e5368c.JPG.296x216.jpg', '东华花园    中楼层三房     装修保养好', '东华花园  | 3室2厅 | 108.6平米 | 北 | 简装 | 无电梯', '中楼层(共7层)2004年建塔楼  -  市桥东', '268万', '单价24678元/平米')
('https://image1.ljcdn.com/440100-inspection/6132ea17-b197-48e4-a881-e611d684a105.jpg.296x216.jpg', '富庭东园近地铁总价低小户型两房', '富庭东园  | 2室1厅 | 48.88平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  大石', '165万', '单价33757元/平米')
