('https://image1.ljcdn.com/340100-inspection/79021de0-8fab-4b80-92e3-27e81c75dfa5.JPG.296x216.jpg', '莱茵河畔花园 2室2厅 102万', '莱茵河畔花园  | 2室2厅 | 78.54平米 | 南 | 其他', '中楼层(共18层)2011年建塔楼  -  东站', '102万', '单价12988元/平米')
('https://image1.ljcdn.com/340100-inspection/1de11eb1-845a-4af5-b6cc-1dc5d1e187c8.JPG.296x216.jpg', '精装修自住，南北通透户型很漂亮没浪费，楼层也比较好', '德邦翠馨居  | 3室2厅 | 129.41平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  七里塘', '180万', '单价13910元/平米')
('https://image1.ljcdn.com/340100-inspection/b350cf4d-f882-4bbd-9c25-15871106bba3.JPG.296x216.jpg', '信达格兰云天  南北通透 户型方正 采光无遮挡 环境好', '信达格兰云天  | 3室2厅 | 83.04平米 | 南 北 | 其他', '中楼层(共9层)板楼  -  七里塘', '130万', '单价15656元/平米')
('https://image1.ljcdn.com/340100-inspection/195c3f7b-0976-48dc-91f5-61d1d71aa004.JPG.296x216.jpg', '信达格兰云天，居家装修两室，家电家具齐全，拎包即住', '信达格兰云天  | 2室2厅 | 88.27平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  七里塘', '115万', '单价13029元/平米')
('https://image1.ljcdn.com/340100-inspection/d4a68898-a194-4590-a65d-37a52ff3d09d.JPG.296x216.jpg', '中兴西湖花园 3室2厅 135万', '中兴西湖花园  | 3室2厅 | 97.85平米 | 南 北 | 其他', '高楼层(共18层)2004年建板塔结合  -  七里塘', '135万', '单价13797元/平米')
('https://image1.ljcdn.com/340100-inspection/528a27a4-8100-4e99-b2ce-4f29d621b56b.JPG.296x216.jpg', '中环东方名景 2室2厅 120万', '中环东方名景  | 2室2厅 | 88.3平米 | 南 北 | 其他', '中楼层(共16层)2006年建板楼  -  七里塘', '120万', '单价13591元/平米')
('https://image1.ljcdn.com/340100-inspection/5a14bc87-bcc8-40f5-8b5c-6553279e1c92.JPG.296x216.jpg', '阳光汇景，家电家具齐全，适合一人或两人居住', '阳光汇景  | 1室2厅 | 68.49平米 | 南 | 其他', '高楼层(共18层)板塔结合  -  七里塘', '85万', '单价12411元/平米')
('https://image1.ljcdn.com/340100-inspection/7ab52666-a88c-4bd0-87a2-f67b75a33e62.JPG.296x216.jpg', '利港尚公馆 3室2厅 135万', '利港尚公馆  | 3室2厅 | 89.6平米 | 南 | 其他', '中楼层(共25层)塔楼  -  七里塘', '135万', '单价15067元/平米')
('https://image1.ljcdn.com/340100-inspection/539567a2-363b-4503-ad7f-f3706dadfc1d.JPG.296x216.jpg', '精装修大三居 业主诚意出售  采光佳', '信达格兰云天  | 3室2厅 | 113.92平米 | 南 北 | 其他', '高楼层(共9层)板楼  -  七里塘', '179万', '单价15713元/平米')
('https://image1.ljcdn.com/340100-inspection/9a53a1db-c6a9-4eef-b220-2174573f4483.JPG.296x216.jpg', '金辉悦府 3室1厅 120万', '金辉悦府  | 3室1厅 | 96平米 | 南 | 其他', '低楼层(共29层)暂无数据  -  七里塘', '120万', '单价12500元/平米')
('https://image1.ljcdn.com/340100-inspection/964b5444-a6b9-4638-9577-e6659996f8b2.JPG.296x216.jpg', '家天下 精装四室 198万，户型方正，采光很好。', '家天下  | 4室2厅 | 108平米 | 南 | 其他', '高楼层(共24层)2014年建塔楼  -  七里塘', '192万', '单价17778元/平米')
('https://image1.ljcdn.com/340100-inspection/d19c7ef6-eb43-4b00-a1ec-4e64181e5e9e.JPG.296x216.jpg', '家天下 4室2厅 181万', '家天下  | 4室2厅 | 105平米 | 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  七里塘', '181万', '单价17239元/平米')
('https://image1.ljcdn.com/340100-inspection/5e0c9526-ba09-44d2-acf7-94b05fb1603a.JPG.296x216.jpg', '家天下精装三房，户型方正，采光很好。', '家天下  | 3室2厅 | 104平米 | 南 北 | 其他', '低楼层(共24层)2014年建塔楼  -  七里塘', '180万', '单价17308元/平米')
('https://image1.ljcdn.com/340100-inspection/d592e054-982e-4978-9539-555782960168.jpg.296x216.jpg', '此房采光好，小区环境好。适合年轻人居住', '隆昊昊天园  | 3室1厅 | 143平米 | 南 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '190万', '单价13287元/平米')
('https://image1.ljcdn.com/340100-inspection/6cf1777e-f77c-4f6e-9b55-deb2584327bb.JPG.296x216.jpg', '满两年，婚装一年，两居室   交通便利', '国耀园上园  | 2室2厅 | 72.96平米 | 南 | 其他', '中楼层(共24层)2012年建板塔结合  -  东站', '88万', '单价12062元/平米')
('https://image1.ljcdn.com/340100-inspection/4d983d51-fca5-4277-ad1c-3786a36bd685.JPG.296x216.jpg', '兴海苑C区 2室1厅 73万', '兴海苑C区  | 2室1厅 | 62平米 | 南 | 其他', '低楼层(共6层)板楼  -  七里塘', '73万', '单价11775元/平米')
('https://image1.ljcdn.com/340100-inspection/0381d635-0fe5-491e-bc08-b345a9750f82.JPG.296x216.jpg', '家天下精装两房，采光很好。业主诚心卖', '家天下  | 2室1厅 | 59.12平米 | 南 | 其他', '高楼层(共11层)2014年建塔楼  -  七里塘', '105万', '单价17761元/平米')
('https://image1.ljcdn.com/340100-inspection/1a2d8d46-514d-42d4-8fba-6acdbe3df268.JPG.296x216.jpg', '家天下 2室1厅 130万', '家天下  | 2室1厅 | 73.62平米 | 南 | 精装', '中楼层(共24层)2014年建板楼  -  七里塘', '130万', '单价17659元/平米')
('https://image1.ljcdn.com/340100-inspection/313a7f6c-9dce-4915-8150-64aff450c950.JPG.296x216.jpg', '生态公园旁 碧水雅居 三室两厅 精装修  楼层好', '碧水雅居  | 3室2厅 | 98.66平米 | 南 | 其他', '高楼层(共18层)2008年建板楼  -  七里塘', '132万', '单价13380元/平米')
('https://image1.ljcdn.com/340100-inspection/37f00bd9-e196-49b3-a2bc-081fcf62ca7d.JPG.296x216.jpg', '香江生态丽景 2室2厅 113万', '香江生态丽景  | 2室2厅 | 86.72平米 | 南 | 其他', '中楼层(共18层)板楼  -  七里塘', '113万', '单价13031元/平米')
('https://image1.ljcdn.com/340100-inspection/3a96cc7d-376a-454a-b524-46767ac76ec9.JPG.296x216.jpg', '精装修居家户型，适合大多数人群居住', '实嘉原创生活  | 3室2厅 | 97平米 | 南 北 | 其他', '中楼层(共6层)2011年建板塔结合  -  东站', '150万', '单价15464元/平米')
('https://image1.ljcdn.com/340100-inspection/18f32025-065e-4083-a6d1-3d2341cadce4.JPG.296x216.jpg', '兴海苑三期精致两室出售，无增值税，首付低', '兴海苑C区  | 2室1厅 | 61.85平米 | 南 | 其他', '中楼层(共6层)板楼  -  七里塘', '68万', '单价10995元/平米')
('https://image1.ljcdn.com/340100-inspection/2fe91069-5c9e-47b4-8e44-613e8dff551c.JPG.296x216.jpg', '利港尚公馆 3室2厅 168万', '利港尚公馆  | 3室2厅 | 110.71平米 | 南 | 其他', '中楼层(共25层)塔楼  -  七里塘', '168万', '单价15175元/平米')
('https://image1.ljcdn.com/340100-inspection/f8321b95-d8c5-4f6e-b938-29c89370c3aa.JPG.296x216.jpg', '香江生态丽景 2室2厅 115万', '香江生态丽景  | 2室2厅 | 84.77平米 | 南 | 其他', '中楼层(共11层)板楼  -  七里塘', '115万', '单价13567元/平米')
('https://image1.ljcdn.com/340100-inspection/dc3ddb82-5516-4c98-a6ed-e413c70e75aa.JPG.296x216.jpg', '林语人家，精装大三房，中间楼层，家电家具齐全', '林语人家  | 3室2厅 | 114.65平米 | 南 | 其他', '中楼层(共6层)板楼  -  东站', '136万', '单价11863元/平米')
('https://image1.ljcdn.com/340100-inspection/06c2bfde-c8b4-48af-bfa2-dbb0e272b753.JPG.296x216.jpg', '中高楼层 采光视野佳 南北通透 刚需小三房 诚心出售', '铁静苑A区  | 3室1厅 | 84.2平米 | 南 北 | 简装', '高楼层(共6层)板楼  -  七里塘', '95万', '单价11283元/平米')
('https://image1.ljcdn.com/340100-inspection/4501ea67-8d38-4117-8f35-de0f276fb802.JPG.296x216.jpg', '阳光汇景 2室1厅 89万', '阳光汇景  | 2室1厅 | 69.69平米 | 南 | 精装', '高楼层(共18层)板塔结合  -  七里塘', '89万', '单价12771元/平米')
('https://image1.ljcdn.com/340100-inspection/6a80bfcf-d9fc-4ef5-bfd0-9853ee6ad942.JPG.296x216.jpg', '空间大，采光好，有电梯，高楼层', '康城静林湾  | 3室2厅 | 103.92平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  七里塘', '135万', '单价12991元/平米')
('https://image1.ljcdn.com/340100-inspection/ff227a67-78e5-4306-a0ea-30059d08c0b6.JPG.296x216.jpg', '东湖山庄碧云阁，小区在家天下商圈南，旁边是瑶海公园', '碧云阁  | 3室2厅 | 114.43平米 | 南 北 | 其他', '中楼层(共11层)板楼  -  七里塘', '160万', '单价13983元/平米')
('https://image1.ljcdn.com/340100-inspection/9e125923-d5d8-4652-af41-b60a4a16e6c0.JPG.296x216.jpg', '温馨两居  户型方正 两室朝南 交通便利', '隆昊昊天园  | 2室2厅 | 68.27平米 | 南 | 简装', '低楼层(共30层)2012年建板塔结合  -  七里塘', '90万', '单价13183元/平米')
('https://image1.ljcdn.com/340100-inspection/7933977f-b2fa-4be8-9e14-c6d093979564.JPG.296x216.jpg', '碧水雅居 3室2厅 145万', '碧水雅居  | 3室2厅 | 98.66平米 | 南 | 精装', '中楼层(共18层)2008年建板楼  -  七里塘', '145万', '单价14697元/平米')
('https://image1.ljcdn.com/340100-inspection/a61a5f95-0881-454b-b1e8-acc4a92c8e43.JPG.296x216.jpg', '生态公园旁 家天下 精装修 小三房 随时看房', '家天下  | 3室2厅 | 86.08平米 | 南 | 其他', '高楼层(共32层)2014年建塔楼  -  七里塘', '145万', '单价16845元/平米')
('https://image1.ljcdn.com/340100-inspection/eb7a9db8-6cfa-442c-8407-0084777229ae.JPG.296x216.jpg', '香江生态丽景，拎包入住，楼层好，视野开阔，采光充足', '香江生态丽景  | 2室1厅 | 105平米 | 南 | 其他', '中楼层(共11层)板楼  -  七里塘', '147万', '单价14000元/平米')
('https://image1.ljcdn.com/340100-inspection/b5f9e21d-3f12-4650-a2aa-469b46b0fef3.JPG.296x216.jpg', '家天下 单价低 毛坯三房 方正户型 满五年唯一', '家天下  | 5室1厅 | 130.1平米 | 南 北 | 简装', '低楼层(共27层)2014年建塔楼  -  七里塘', '208万', '单价15988元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada5ae6ed7-e5ab-40ce-b922-dea56f4ac274.JPG.296x216.jpg', '国耀园上园 2室1厅 125万', '国耀园上园  | 2室1厅 | 89平米 | 南 | 其他', '中楼层(共24层)2012年建板塔结合  -  东站', '125万', '单价14045元/平米')
('https://image1.ljcdn.com/340100-inspection/d2034bea-bc4b-4872-ae82-b5f098cc1ef1.JPG.296x216.jpg', '不用装修，可直接入住，南北户型整齐，通风不差，', '中兴西湖花园  | 2室2厅 | 91.19平米 | 南 | 精装', '中楼层(共5层)2004年建板塔结合  -  七里塘', '130万', '单价14256元/平米')
('https://image1.ljcdn.com/340100-inspection/7b46ae69-8711-4219-a068-e430c8b17dcf.JPG.296x216.jpg', '阳光汇景  满五唯一 视野宽阔 采光充足 拎包入住', '阳光汇景  | 2室2厅 | 91.78平米 | 南 | 其他', '高楼层(共11层)2007年建板塔结合  -  七里塘', '110万', '单价11986元/平米')
('https://image1.ljcdn.com/340100-inspection/175b03ed-26c2-4fe6-b315-520efdfd6492.JPG.296x216.jpg', '南北采光楼下农贸市场，买个菜弄个满汉全席都没问题', '新站中心集贸市场  | 2室2厅 | 88.38平米 | 南 北 | 其他', '高楼层(共7层)塔楼  -  七里塘', '100万', '单价11315元/平米')
('https://image1.ljcdn.com/340100-inspection/b828614b-0295-4183-a0ff-44dd816eb8b5.JPG.296x216.jpg', '新海尚宸家园 4室2厅 162万', '新海尚宸家园  | 4室2厅 | 126.62平米 | 南 | 其他', '高楼层(共30层)塔楼  -  七里塘', '162万', '单价12795元/平米')
('https://image1.ljcdn.com/340100-inspection/f78ff235-910a-4d14-8a58-22b608e37e97.JPG.296x216.jpg', '南向三居室 小区环境好 精装修 中间楼层带电梯', '家天下  | 3室2厅 | 88.22平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  七里塘', '145万', '单价16437元/平米')
('https://image1.ljcdn.com/340100-inspection/b5f442ea-c16e-492f-a9b4-0f558adfea91.JPG.296x216.jpg', '国耀园上园 2室1厅 103.5万', '国耀园上园  | 2室1厅 | 75.09平米 | 东 | 其他', '中楼层(共24层)2012年建板塔结合  -  东站', '103.5万', '单价13784元/平米')
('https://image1.ljcdn.com/340100-inspection/edd3decb-ccad-4414-94e8-f629c86ebb81.JPG.296x216.jpg', '兴海苑D区 3室2厅 160万', '兴海苑D区  | 3室2厅 | 134.9平米 | 南 北 | 其他', '中楼层(共18层)塔楼  -  七里塘', '160万', '单价11861元/平米')
('https://image1.ljcdn.com/340100-inspection/af14df0b-4afd-4cf6-8608-63ffe2d3e867.JPG.296x216.jpg', '楼层好，精装修，采光无遮挡，户型方正', '隆昊昊天园  | 2室1厅 | 61.72平米 | 南 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '84万', '单价13610元/平米')
('https://image1.ljcdn.com/340100-inspection/6a9f6e29-3515-439f-bc4e-72e2ed7359f2.JPG.296x216.jpg', '香江生态丽景 3室2厅 143万', '香江生态丽景  | 3室2厅 | 105.61平米 | 南 | 其他', '中楼层(共11层)板楼  -  七里塘', '143万', '单价13541元/平米')
('https://image1.ljcdn.com/340100-inspection/9acf914e-6be6-474a-b3ea-1c9184b0a80d.JPG.296x216.jpg', '家天下 3室1厅 152万', '家天下  | 3室1厅 | 88平米 | 南 北 | 其他', '中楼层(共24层)2014年建塔楼  -  七里塘', '152万', '单价17273元/平米')
('https://image1.ljcdn.com/340100-inspection/90048ede-74f3-41b0-b7c5-be4894a3c18c.JPG.296x216.jpg', '家天下，视野宽阔，采光充足，通风好，拎包入住', '家天下  | 2室1厅 | 58.87平米 | 南 | 其他', '高楼层(共11层)2014年建塔楼  -  七里塘', '100万', '单价16987元/平米')
('https://image1.ljcdn.com/340100-inspection/264d0608-ad2e-47d2-a675-515c31797451.JPG.296x216.jpg', '省二院 昊天园 北二环 精装 两居室 采光好', '隆昊昊天园  | 2室2厅 | 77.25平米 | 南 北 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '104万', '单价13463元/平米')
('https://image1.ljcdn.com/340100-inspection/1280fe88-4de6-4843-b68c-c955f3fb9bdb.JPG.296x216.jpg', '此房楼层好，精装修，采光无遮挡，户型方正', '隆昊昊天园  | 3室2厅 | 118.65平米 | 南 北 | 其他', '中楼层(共18层)2012年建板塔结合  -  七里塘', '160万', '单价13486元/平米')
('https://image1.ljcdn.com/340100-inspection/9a146f0e-ef2f-404a-b6fa-af8228b4361f.JPG.296x216.jpg', '房子纯正毛坯，一天都没有住过，和新房没有什么区别', '安粮双景佳苑  | 3室2厅 | 123.9平米 | 南 北 | 毛坯', '中楼层(共11层)2010年建塔楼  -  七里塘', '165万', '单价13318元/平米')
('https://image1.ljcdn.com/340100-inspection/173c9b54-fe8b-40f3-beab-db52f2304207.JPG.296x216.jpg', '毛坯房可以根据自己的喜好装修业主诚心卖，看房方便', '国耀园上园  | 2室2厅 | 94.98平米 | 南 北 | 其他', '中楼层(共18层)2012年建板塔结合  -  东站', '125万', '单价13161元/平米')
('https://image1.ljcdn.com/340100-inspection/14c845e0-b438-40c0-b0d6-4e67de901084.JPG.296x216.jpg', '小户型实用两房，总价还不高，养养老，过度一下都挺好', '隆昊昊博园  | 2室1厅 | 59.33平米 | 南 | 其他', '低楼层(共18层)塔楼  -  七里塘', '72万', '单价12136元/平米')
('https://image1.ljcdn.com/340100-inspection/26c91dc4-80d5-4a09-8239-10d6706fb06b.JPG.296x216.jpg', '纯毛坯 小高层 采光好 大两居 小区环境好 物业规范', '实嘉原创生活  | 2室2厅 | 99.73平米 | 南 | 其他', '低楼层(共9层)2011年建板塔结合  -  东站', '122万', '单价12234元/平米')
