('https://image1.ljcdn.com/440300-inspection/test-1a38b4c5-3f36-4255-bcfe-946e703977fe.png.296x216.jpg', '碧水龙庭 三期 中高楼层 南向看花园  2+1户型 有钥匙', '碧水龙庭  | 2室1厅 | 73.31平米 | 西南 | 简装 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  民治', '390万', '单价53199元/平米')
('https://image1.ljcdn.com/440300-inspection/6470b5b6-57a6-40d1-bcbd-1ba9b57be460.jpg.296x216.jpg', '星河盛世121平方朝东看花园，每个房间都比较大', '星河盛世  | 4室1厅 | 121.62平米 | 东 | 精装 | 有电梯', '低楼层(共30层)2013年建板塔结合  -  民治', '938万', '单价77126元/平米')
('https://image1.ljcdn.com/440300-inspection/test-0000857b-0862-4f9a-a55b-1005c6a73497.png.296x216.jpg', '风和日丽 南向两房 满五唯一 诚心出售', '风和日丽  | 2室2厅 | 72.92平米 | 南 | 简装 | 无电梯', '高楼层(共7层)2001年建塔楼  -  深圳北站', '305万', '单价41827元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e475380e-89a2-488e-80e2-21b66e3b0a4b.png.296x216.jpg', '单本证四房，东南朝向，看园林位置安静', '星河盛世  | 4室2厅 | 134.01平米 | 东南 | 精装 | 有电梯', '低楼层(共30层)2012年建板塔结合  -  民治', '945万', '单价70518元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5de8c849-c5a2-4685-8bd9-6c26dda26e16.png.296x216.jpg', '南北通透，高楼层，使用率高，保养好，低总价小4房', '卓越皇后道  | 4室1厅 | 88.68平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2015年建板楼  -  上塘', '600万', '单价67659元/平米')
('https://image1.ljcdn.com/440300-inspection/test-707bb847-3a63-40f9-8b6f-5f0af58e3272.png.296x216.jpg', '龙华365花园3房   税费低  采光通风好  业主急卖', '美丽365花园  | 3室2厅 | 99.92平米 | 东南 | 其他 | 有电梯', '中楼层(共8层)2003年建板塔结合  -  龙华中心', '415万', '单价41534元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cd00f799-ec81-4795-ac17-48f4746d124a.png.296x216.jpg', '龙华花半里 标准三房 高楼层 租客住 看房方便', '龙华花半里花园  | 3室2厅 | 85.92平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  龙华中心', '430万', '单价50047元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload78b8e046-72a5-4cae-90ac-f2b344874673.jpg.296x216.jpg', '城投中间层 高赠送 南北3房，总价低，采光好', '城投七里香榭  | 3室1厅 | 99.86平米 | 东南 南 | 简装 | 有电梯', '中楼层(共11层)2007年建板塔结合  -  深圳北站', '580万', '单价58082元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2b4e826c-1a77-43c9-8c60-1b1cc40810ef.png.296x216.jpg', '金地梅陇镇一期满五唯一红本，南北通透大三房', '金地梅陇镇一期  | 3室1厅 | 107.38平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)2006年建板楼  -  深圳北站', '578万', '单价53828元/平米')
('https://image1.ljcdn.com/440300-inspection/test-dd2b3bd9-f5a3-407d-b5c5-73914739b133.png.296x216.jpg', '白石龙地铁口，百平大三房两卫双阳台采光好花园小区', '汇龙苑  | 3室2厅 | 104.21平米 | 东南 | 简装 | 无电梯', '中楼层(共6层)2004年建板塔结合  -  深圳北站', '495万', '单价47501元/平米')
('https://image1.ljcdn.com/440300-inspection/16655a3d-0185-4372-8a1c-2c7b49e0e4c3.jpg.296x216.jpg', '春城标准两房 刚需好房 深圳北站旁边 总价低 户型好', '世纪春城八号公寓  | 2室1厅 | 44.02平米 | 北 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  深圳北站', '235万', '单价53385元/平米')
('https://image1.ljcdn.com/440300-inspection/test-74dd4b5e-ab77-468e-abef-617723c5c59b.png.296x216.jpg', '丰润花园优质两房 满五年唯一 小区中间位置', '丰润花园  | 2室2厅 | 73.1平米 | 南 | 其他 | 无电梯', '高楼层(共8层)1994年建板塔结合  -  深圳北站', '280万', '单价38304元/平米')
('https://image1.ljcdn.com/440300-inspection/448c391f-562c-4629-89be-05563d670041.JPG.296x216.jpg', '龙华花半里住家三房 看花园 位置安静 高楼层', '龙华花半里花园  | 3室1厅 | 86.33平米 | 东南 | 简装 | 有电梯', '中楼层(共33层)2012年建板塔结合  -  龙华中心', '400万', '单价46334元/平米')
('https://image1.ljcdn.com/440300-inspection/194da2dc-c6ea-4a40-af61-0eac77bf6c8b.jpg.296x216.jpg', '金地梅陇镇、红本五年、厅出13.9平连体大阳台、不靠路', '金地梅陇镇一期  | 3室2厅 | 107.27平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2006年建板楼  -  深圳北站', '620万', '单价57799元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f580718e-a438-4386-8c6c-a7eb2a7d8b8e.png.296x216.jpg', '龙光玖龙玺精装修4房，户型方正实用，采光好.', '龙光玖龙玺北区  | 4室2厅 | 89.09平米 | 北 | 精装', '高楼层(共30层)2016年建塔楼  -  深圳北站', '830万', '单价93165元/平米')
('https://image1.ljcdn.com/440300-inspection/test-07d5b4ca-c911-482f-b7b5-82b88752ee85.png.296x216.jpg', '装修好，中层，满五唯一，少量欠款', '丰润花园  | 2室2厅 | 74.09平米 | 西 | 精装 | 无电梯', '中楼层(共8层)1999年建塔楼  -  深圳北站', '300万', '单价40492元/平米')
('https://image1.ljcdn.com/440300-inspection/4b736dfa-7e6e-4385-b4cb-a742a2cfe9ee.jpg.296x216.jpg', '双层入户，可做五房，满五唯一，南北通透', '星河丹堤  | 5室2厅 | 138.61平米 | 北 南 | 简装 | 有电梯', '高楼层(共29层)2008年建塔楼  -  深圳北站', '1090万', '单价78638元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload8e1e042b-1a8a-4c79-ac8d-4367987ef2a3.jpg.296x216.jpg', '潜龙花园中等楼层看花园三房出售', '潜龙花园  | 3室2厅 | 85.67平米 | 北 | 精装 | 无电梯', '中楼层(共8层)1999年建板塔结合  -  民治', '420万', '单价49026元/平米')
('https://image1.ljcdn.com/440300-inspection/ba1c6a29-08f6-4311-955a-0e4d665f33f5.jpg.296x216.jpg', '满五年唯一住宅业主诚意出售价格可谈，看好随时可签。', '大信花园  | 2室1厅 | 81.08平米 | 东南 | 简装 | 无电梯', '高楼层(共8层)2005年建板塔结合  -  龙华中心', '400万', '单价49334元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ef4c2ccb-9e1a-46d0-aa5b-5f59119dc420.png.296x216.jpg', '精装修，地铁物业，看小区花园，景色怡人', '龙光玖龙玺北区  | 4室2厅 | 87.97平米 | 南 | 其他', '低楼层(共30层)2016年建塔楼  -  深圳北站', '730万', '单价82983元/平米')
('https://image1.ljcdn.com/440300-inspection/test-313471ef-99a2-4dbf-b541-050bcf282427.png.296x216.jpg', '合正观澜汇 3室2厅 418万', '合正观澜汇  | 3室2厅 | 80.6平米 | 南 | 其他', '低楼层(共29层)2016年建板塔结合  -  观澜', '418万', '单价51862元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload845deb9a-683c-459a-a627-9fb0a24131c4.jpg.296x216.jpg', '大信花园 3室1厅 390万', '大信花园  | 3室1厅 | 97.25平米 | 北 | 其他 | 无电梯', '中楼层(共8层)2002年建板塔结合  -  龙华中心', '390万', '单价40103元/平米')
('https://image1.ljcdn.com/440300-inspection/ae615f25-b27b-4065-95f0-e6109e28c685.jpg.296x216.jpg', '龙华地铁口美丽AAA满五年唯一红本在手 南北通透3房', '美丽AAA花园  | 3室2厅 | 102.65平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2003年建板塔结合  -  龙华中心', '520万', '单价50658元/平米')
('https://image1.ljcdn.com/440300-inspection/test-614d22f2-3c0b-4a68-be07-34f61240f904.png.296x216.jpg', '碧水龙庭 大三房  可做4房 满五年 红本', '碧水龙庭  | 3室2厅 | 90.96平米 | 东南 西 | 简装 | 有电梯', '高楼层(共23层)2007年建板塔结合  -  民治', '500万', '单价54970元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a1f0f41c-0a48-41d1-9d96-ae55cd46d0b2.png.296x216.jpg', '【随时可看】中海锦城 高使用率精装3房 看花园安静', '中海锦城  | 3室2厅 | 89.35平米 | 南 北 | 精装 | 有电梯', '高楼层(共39层)2015年建暂无数据  -  上塘', '670万', '单价74987元/平米')
('https://image1.ljcdn.com/440300-inspection/48987189-0f74-4e46-b070-c929da19ce48.jpg.296x216.jpg', '馨园二期 户型方正 小区安静楼栋 看花园', '馨园二期  | 3室1厅 | 111.87平米 | 北 | 简装 | 有电梯', '低楼层(共11层)2003年建板塔结合  -  民治', '465万', '单价41567元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload6ecab05b-4a94-4a8c-9b10-03839a2aaf57.jpg.296x216.jpg', '世纪春城一期 南北通透大四房 满五年唯一  高层', '世纪春城一期  | 4室2厅 | 124.03平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2004年建板楼  -  深圳北站', '550万', '单价44345元/平米')
('https://image1.ljcdn.com/440300-inspection/ed7f6b25-2d85-47b3-b198-88a4b46102bc.jpg.296x216.jpg', '深圳北站商圈，鑫茂A区正规舒适两房。红本业主诚意卖', '潜龙鑫茂花园A区  | 2室2厅 | 56.19平米 | 南 | 精装 | 有电梯', '中楼层(共12层)2006年建板塔结合  -  民治', '350万', '单价62289元/平米')
('https://image1.ljcdn.com/440300-inspection/90154c83-f2c4-4970-b6d7-f743e6bc5f6f.JPG.296x216.jpg', '潜龙花园 3室2厅 410万', '潜龙花园  | 3室2厅 | 92.28平米 | 南 | 简装 | 无电梯', '高楼层(共8层)2000年建板塔结合  -  民治', '410万', '单价44430元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8448168f-1f0d-4ca0-bf23-e6b8a9c7cf3f.png.296x216.jpg', '世纪春城四期 2室2厅 420万', '世纪春城四期  | 2室2厅 | 75.12平米 | 南 | 精装 | 有电梯', '低楼层(共26层)2008年建板塔结合  -  深圳北站', '420万', '单价55911元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8a43ad77-e813-4a57-b34e-a41e5cf3c7da.png.296x216.jpg', '新华城 2室2厅 345万', '新华城  | 2室2厅 | 72.74平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2010年建板塔结合  -  深圳北站', '345万', '单价47430元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload06afe98e-e89e-4afd-8092-dd0851d88c07.jpg.296x216.jpg', '满五唯一， 高楼层，视野开阔，采光充足，精装保养好', '金地上塘道一期  | 3室1厅 | 78.37平米 | 南 | 精装 | 有电梯', '高楼层(共24层)2010年建板楼  -  上塘', '498万', '单价63545元/平米')
('https://image1.ljcdn.com/440300-inspection/97e5f318-36fb-40f9-be47-214a88a643b1.jpg.296x216.jpg', '金地梅陇镇 精装修高楼层大三房 南北通透 免个税', '金地梅陇镇三期  | 3室2厅 | 109.34平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  深圳北站', '570万', '单价52131元/平米')
('https://image1.ljcdn.com/440300-inspection/test-042139bb-0757-4074-90a1-db43f1e38c53.png.296x216.jpg', '深圳北商圈，潜龙鑫茂A区大两房，业主诚心出售', '潜龙鑫茂花园A区  | 2室2厅 | 72.35平米 | 东北 | 简装 | 有电梯', '高楼层(共12层)2006年建板塔结合  -  民治', '378万', '单价52247元/平米')
('https://image1.ljcdn.com/440300-inspection/50927480-5c4a-4744-b6e5-84df21c1cb92.jpg.296x216.jpg', '拎包入住龙华地铁口 精装修 中间层 东南向正规两房', '福景花园  | 2室2厅 | 70.97平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  龙华中心', '264万', '单价37199元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3de7b7fd-e756-4e52-99e0-48bb6cf71409.png.296x216.jpg', '龙华区 精装3房 270度无遮挡视野好 空置新房 业主急卖', '万科九龙山  | 3室2厅 | 87.16平米 | 东南 | 精装', '高楼层(共33层)2016年建板塔结合  -  观澜', '390万', '单价44746元/平米')
('https://image1.ljcdn.com/440300-inspection/test-64daca5f-d783-4e79-8575-bc7090960dd4.png.296x216.jpg', '龙华高楼层视野好，朝南看公园精装修，免个税红本。', '龙华花半里花园  | 3室2厅 | 87.71平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2012年建板塔结合  -  龙华中心', '410万', '单价46745元/平米')
('https://image1.ljcdn.com/440300-inspection/7b03aaa6-d106-46fc-b639-196fd4ae8051.JPG.296x216.jpg', '一手业主，没有个税，价格优势，自己住拎包入住', '皓月花园  | 4室1厅 | 85.58平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2005年建板塔结合  -  民治', '510万', '单价59594元/平米')
('https://image1.ljcdn.com/440300-inspection/c351de57-bc49-439a-a62d-fbd20e949000.JPG.296x216.jpg', '万科大户型，露台改五房，有装修直接入住', '万科金域华府  | 5室2厅 | 89平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2010年建板塔结合  -  深圳北站', '850万', '单价95506元/平米')
('https://image1.ljcdn.com/440300-inspection/test-cccb3d9d-c5e7-4188-8484-f0bad3ae0d2b.png.296x216.jpg', '富通天骏 2室1厅 365万', '富通天骏  | 2室1厅 | 71.02平米 | 东南 东北 | 简装 | 有电梯', '高楼层(共11层)2003年建板塔结合  -  龙华中心', '365万', '单价51394元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e3feed70-5f9d-46b3-a8c4-a7ccfc877d44.png.296x216.jpg', '观澜美佳华首誉四房 南北采光 自住装修 单证', '美佳华首誉  | 4室2厅 | 139.65平米 | 东南 | 精装 | 有电梯', '中楼层(共31层)2013年建板塔结合  -  观澜', '590万', '单价42249元/平米')
('https://image1.ljcdn.com/440300-inspection/c112e641-b363-4a0c-a781-695db1453b1f.jpg.296x216.jpg', '地铁口 花园社区 电梯房 满五年红本在手', '富通天骏  | 3室2厅 | 104.06平米 | 西北 | 精装 | 有电梯', '低楼层(共18层)2003年建板塔结合  -  龙华中心', '450万', '单价43245元/平米')
('https://image1.ljcdn.com/440300-inspection/test-42953f5a-448d-4a06-bb68-9516f7007337.png.296x216.jpg', '香缇雅苑 3室1厅 360万', '香缇雅苑  | 3室1厅 | 85.64平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  龙华中心', '360万', '单价42037元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2c9146df-8d5e-4ab3-86a9-b47f0ed5addd.png.296x216.jpg', '中航阳光新苑大四房，南向，安静，精装修', '中航阳光新苑  | 5室1厅 | 137.49平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2005年建板塔结合  -  深圳北站', '780万', '单价56732元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f6ca7e1f-c0b2-43ec-a674-1ed34d30484b.png.296x216.jpg', '电梯三房可以拎包入住，仅需365万少税', '银泉花园  | 3室2厅 | 93.41平米 | 东南 南 | 其他 | 有电梯', '低楼层(共11层)1999年建板塔结合  -  龙华中心', '365万', '单价39076元/平米')
('https://image1.ljcdn.com/440300-inspection/test-19e6ae60-c51b-4238-af4d-06b50525fa2a.png.296x216.jpg', '世纪春城三期 园林中间的大三房 带电梯 朝南看花园', '世纪春城三期  | 3室1厅 | 108.41平米 | 西南 西北 | 简装 | 有电梯', '低楼层(共10层)2007年建板塔结合  -  深圳北站', '498万', '单价45937元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8c2b3101-a171-4a76-8a52-d5e9cb8bb575.png.296x216.jpg', '春华平层大三房，业主诚心出售，装修好，小区环境好', '春华四季园二期  | 3室2厅 | 74.37平米 | 东南 | 精装 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  民治', '455万', '单价61181元/平米')
('https://image1.ljcdn.com/440300-inspection/test-fc4bf3b4-37f4-44dd-9cfb-46870e327dea.png.296x216.jpg', '潜龙花园 3房 通风采光好 实用面积大', '潜龙花园  | 3室2厅 | 94.55平米 | 东 | 简装 | 无电梯', '高楼层(共8层)1999年建板塔结合  -  民治', '365万', '单价38604元/平米')
('https://image1.ljcdn.com/440300-inspection/2942ee4c-265a-444c-bafb-d25a4e067c8f.jpg.296x216.jpg', '合能城市阳光 电梯两房中间楼层 户型通透采光好', '合能城市阳光花园  | 2室2厅 | 66.58平米 | 西南 东北 | 精装 | 有电梯', '中楼层(共22层)2011年建板塔结合  -  龙华中心', '255万', '单价38300元/平米')
('https://image1.ljcdn.com/440300-inspection/edc6490a-e438-4441-b59a-ba728ea073c5.jpg.296x216.jpg', '电梯三房，拎包可入住，385万，满五唯一红本', '银泉花园  | 3室2厅 | 92.89平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2000年建板塔结合  -  龙华中心', '385万', '单价41447元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a099d001-3ffd-4a59-8972-b5474a6fc942.png.296x216.jpg', '房子满两年，全新装修，高楼层，朝南向，业主诚心出售', '苹果园  | 1室1厅 | 41.48平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2004年建板塔结合  -  深圳北站', '200万', '单价48217元/平米')
('https://image1.ljcdn.com/440300-inspection/test-637a5647-c66a-4a86-9919-f4c8eb0429ae.png.296x216.jpg', '此房满五年红本在手，过户快客厅出阳台看花园客厅朝南', '富通天骏  | 4室2厅 | 148.9平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2003年建板塔结合  -  龙华中心', '700万', '单价47012元/平米')
('https://image1.ljcdn.com/440300-inspection/test-9eca8f44-ba9e-42d8-b253-6803c64ed922.png.296x216.jpg', '锦绣江南花园位置，看湖景，南北通风，有钥匙随时看房', '锦绣江南二期  | 3室2厅 | 101.82平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)2003年建板楼  -  深圳北站', '500万', '单价49107元/平米')
('https://image1.ljcdn.com/440300-inspection/7da709f1-84b7-4d90-b21e-026d103ebf36.jpg.296x216.jpg', '银泉花园 3室2厅 390万', '银泉花园  | 3室2厅 | 100.16平米 | 南 西北 | 精装 | 有电梯', '中楼层(共11层)2000年建塔楼  -  龙华中心', '390万', '单价38938元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadd6abd2f1-39ca-4d5c-a945-e02823ffee37.jpg.296x216.jpg', '全新家私家电出售，精装修，赠送大露台，花园中间位置', '卓越皇后道  | 4室2厅 | 89.34平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2015年建板楼  -  上塘', '620万', '单价69398元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f27f7194-3923-41f0-9d63-813c33bd994d.png.296x216.jpg', '世纪华庭 3室2厅 370万', '世纪华庭  | 3室2厅 | 86.26平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  龙华中心', '370万', '单价42894元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1fad799d-b1c1-41a8-94c2-b79a7b1645b9.png.296x216.jpg', '龙华花半里 精装三房 东南向 红本在手满五年 看房方便', '龙华花半里花园  | 3室2厅 | 86.23平米 | 东南 | 精装 | 有电梯', '中楼层(共33层)2012年建板塔结合  -  龙华中心', '415万', '单价48128元/平米')
('https://image1.ljcdn.com/440300-inspection/test-05e42425-f3fb-4f4c-823d-f7b4f9e7949b.png.296x216.jpg', '苹果园 1室1厅 190万', '苹果园  | 1室1厅 | 43.12平米 | 北 | 其他 | 有电梯', '低楼层(共16层)2004年建板塔结合  -  深圳北站', '190万', '单价44064元/平米')
('https://image1.ljcdn.com/440300-inspection/1ffd3312-0422-4937-a534-404f69507d05.jpg.296x216.jpg', '水榭毛坯4房，满五年，红本在手，小区中间位置', '莱蒙水榭春天三期  | 4室2厅 | 142.82平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2012年建塔楼  -  深圳北站', '920万', '单价64417元/平米')
('https://image1.ljcdn.com/440300-inspection/test-03f5cbce-b147-45df-8a77-8ad3d394f940.png.296x216.jpg', '龙华区金侨花园标准两房满五年红本诚心出售看房子方便', '金侨花园  | 2室1厅 | 58.8平米 | 西南 | 简装 | 无电梯', '高楼层(共7层)1993年建板塔结合  -  龙华中心', '238万', '单价40477元/平米')
('https://image1.ljcdn.com/440300-inspection/test-23c99f67-5490-4e89-bf54-4e1f960b1abc.png.296x216.jpg', '特发和平里二期 3室2厅 550万', '特发和平里二期  | 3室2厅 | 88.13平米 | 东南 | 其他', '高楼层(共49层)2015年建板塔结合  -  上塘', '550万', '单价62408元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a612d9df-c246-42d2-a332-e28d474948c6.png.296x216.jpg', '潜龙鑫茂花园A区 南向看花园 位置安静 满五年费用低', '潜龙鑫茂花园A区  | 3室2厅 | 80.54平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2006年建板塔结合  -  民治', '500万', '单价62081元/平米')
('https://image1.ljcdn.com/440300-inspection/5476c973-c3ad-43e6-9b69-5ecff47248cf.jpg.296x216.jpg', '美佳华首誉 4室2厅 330万', '美佳华首誉  | 4室2厅 | 88.24平米 | 西南 | 其他 | 有电梯', '中楼层(共28层)2013年建板塔结合  -  观澜', '330万', '单价37399元/平米')
('https://image1.ljcdn.com/440300-inspection/e7c90298-65f7-4c92-a5dc-a42a81999a4f.jpg.296x216.jpg', '水榭春天精装两居室 南向看花园 产权满五唯一', '莱蒙水榭春天三期  | 2室1厅 | 66.87平米 | 西南 | 精装 | 有电梯', '低楼层(共33层)2011年建塔楼  -  深圳北站', '530万', '单价79259元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e0f20ebd-78b7-4e56-b7b2-451ed8df79f7.png.296x216.jpg', '龙华地铁口 青年城邦园 精装一房一厅 满五税少 位置好', '青年城邦园  | 1室1厅 | 40.62平米 | 东南 | 其他 | 有电梯', '中楼层(共13层)2006年建板塔结合  -  龙华中心', '210万', '单价51699元/平米')
('https://image1.ljcdn.com/440300-inspection/9c7c8954-fc90-4152-81f8-c67552e5d4cc.jpg.296x216.jpg', '南北通透户型，水榭春天大社区，配套齐全。', '莱蒙水榭春天一期  | 4室2厅 | 119.3平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2010年建塔楼  -  深圳北站', '760万', '单价63705元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ced43738-0c45-4d6f-b4af-ad7e594a6d04.png.296x216.jpg', '水榭春天六期，红本三房，南向看花园，位置安静', '莱蒙水榭春天B区6期  | 3室2厅 | 88.74平米 | 南 | 精装 | 有电梯', '高楼层(共31层)2014年建塔楼  -  深圳北站', '780万', '单价87898元/平米')
('https://image1.ljcdn.com/440300-inspection/test-3e6da0da-5d1d-4b60-bf2f-b3ace4c95940.png.296x216.jpg', '龙光地铁口物业，户型方正实用，智能精装，居家选择。', '龙光玖龙玺北区  | 3室2厅 | 83.12平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2016年建塔楼  -  深圳北站', '710万', '单价85419元/平米')
('https://image1.ljcdn.com/440300-inspection/test-1434285d-a61d-454a-9078-e4d8f9827349.png.296x216.jpg', '龙华花半里花园 4室2厅 468万', '龙华花半里花园  | 4室2厅 | 86.83平米 | 东南 西北 | 其他 | 有电梯', '中楼层(共33层)2012年建板塔结合  -  龙华中心', '468万', '单价53899元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6dc60334-1f64-41fd-9827-989878e1342b.png.296x216.jpg', '小区仅有的三栋少量户型，户型方正，面积实用大', '风和日丽  | 3室1厅 | 97.54平米 | 南 | 简装 | 无电梯', '高楼层(共8层)2000年建塔楼  -  深圳北站', '403万', '单价41317元/平米')
('https://image1.ljcdn.com/440300-inspection/test-e8f46e3d-91b8-4a6b-8885-ad7dc0fb14ac.png.296x216.jpg', '港铁天颂 3室2厅 800万', '港铁天颂  | 3室2厅 | 127.1平米 | 东南 | 其他', '低楼层(共48层)2017年建暂无数据  -  龙华中心', '800万', '单价62943元/平米')
