('https://image1.ljcdn.com/340100-inspection/84da976b-a06e-477d-a6f4-542f1a6a88b9.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 170万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 86.3平米 | 南 | 其他', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '170万', '单价19699元/平米')
('https://image1.ljcdn.com/340100-inspection/9fbb5916-f67c-44eb-80d8-c04da0e79ca1.JPG.296x216.jpg', '满五年 中高楼层 双阳台 看房方便  出行方便', '蓝鼎滨湖假日翰林苑  | 2室1厅 | 67.69平米 | 南 | 简装', '高楼层(共33层)2008年建塔楼  -  滨湖世纪', '138万', '单价20388元/平米')
('https://image1.ljcdn.com/340100-inspection/5103c385-7da6-4d33-ab56-e5eaa874e0d0.JPG.296x216.jpg', '满2年 客厅和卧室朝南 楼层好 配套齐全 可做两房', '蓝鼎观湖苑  | 1室1厅 | 67平米 | 南 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '120万', '单价17911元/平米')
('https://image1.ljcdn.com/340100-inspection/8771cf2a-d48c-41c8-aafd-1410c773786c.JPG.296x216.jpg', '世纪城临滨苑 3室2厅 178万', '世纪城临滨苑  | 3室2厅 | 90.26平米 | 南 北 | 精装', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '178万', '单价19721元/平米')
('https://image1.ljcdn.com/340100-inspection/8eed7d86-d6f1-4088-9c2d-0331e1a2eeb7.JPG.296x216.jpg', '满五年唯一、精装修全配、户型方正', '蓝鼎观湖苑  | 2室2厅 | 85.8平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  滨湖世纪', '159万', '单价18532元/平米')
('https://image1.ljcdn.com/340100-inspection/a5d91a73-97ae-44d7-b16a-cc1af11a17b1.JPG.296x216.jpg', '中等装修，采光无遮挡，价格可谈，随时看房', '世纪城临滨苑  | 2室2厅 | 88.59平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '162万', '单价18287元/平米')
('https://image1.ljcdn.com/340100-inspection/08d52f7b-9e46-4b8e-9abf-9c2a709dc40e.JPG.296x216.jpg', '三房采光好 业主诚心卖 位置好 交通便利', '联投中心书城  | 3室2厅 | 91.72平米 | 南 | 其他', '低楼层(共27层)塔楼  -  环湖CBD', '173万', '单价18862元/平米')
('https://image1.ljcdn.com/340100-inspection/test-bbf07a07-8124-44b5-9775-70dee8138af8.png.296x216.jpg', '边户2房，通透户型，采光好 业主诚心出售！', '世纪城春融苑  | 2室2厅 | 82.4平米 | 南 北 | 其他', '低楼层(共33层)2008年建塔楼  -  滨湖世纪', '147万', '单价17840元/平米')
('https://image1.ljcdn.com/340100-inspection/c4e01aad-3748-4d9e-9409-313d79496fea.JPG.296x216.jpg', '楼间距宽 采光充足 位置安静 满二年 免增值税', '滨湖家园  | 2室2厅 | 95.79平米 | 南 北 | 其他', '低楼层(共18层)2009年建塔楼  -  滨湖世纪', '175万', '单价18270元/平米')
('https://image1.ljcdn.com/340100-inspection/0ba192e0-1cb9-4053-8458-4108c5b0c543.JPG.296x216.jpg', '中海滨湖公馆 4室2厅 198万', '中海滨湖公馆  | 4室2厅 | 95.87平米 | 南 | 其他', '低楼层(共34层)2014年建塔楼  -  环湖CBD', '198万', '单价20653元/平米')
('https://image1.ljcdn.com/340100-inspection/a84ee352-8965-488f-9e68-570acda439d3.JPG.296x216.jpg', '南向两居 带5平书房 公园 安静 全明', '蓝鼎滨湖假日清华园  | 2室2厅 | 86.29平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '167万', '单价19354元/平米')
('https://image1.ljcdn.com/340100-inspection/ff50057b-812b-4d79-b0b3-1e872c24da45.JPG.296x216.jpg', '书香门第东区 2室2厅 196万', '书香门第东区  | 2室2厅 | 82.79平米 | 南 | 其他', '高楼层(共31层)2009年建塔楼  -  滨湖世纪', '196万', '单价23675元/平米')
('https://image1.ljcdn.com/340100-inspection/79d03aa3-1563-410c-a6e3-95508bab6fe9.JPG.296x216.jpg', '万达四期悦湖苑两房朝南随时可看', '万达悦湖苑  | 2室2厅 | 89.35平米 | 南 | 其他', '高楼层(共33层)2016年建塔楼  -  环湖CBD', '158万', '单价17684元/平米')
('https://image1.ljcdn.com/340100-inspection/f7de5a34-6847-471d-b22a-dab6dd9897cc.JPG.296x216.jpg', '高速滨湖时代广场三房中高楼层采光通透好', '高速滨湖时代广场  | 3室2厅 | 125.43平米 | 东南 | 其他', '中楼层(共33层)2011年建塔楼  -  烟墩', '250.8万', '单价19996元/平米')
('https://image1.ljcdn.com/340100-inspection/bcda278c-cdd8-4b61-b763-1f55192a8fa7.jpg.296x216.jpg', '南北通透大三房 户型房子 闹中取静 采光佳', '蓝鼎观湖苑  | 3室2厅 | 111.13平米 | 南 北 | 其他', '中楼层(共33层)2010年建塔楼  -  滨湖世纪', '195万', '单价17548元/平米')
('https://image1.ljcdn.com/340100-inspection/2a61b677-70b6-423c-926c-e052329eede9.JPG.296x216.jpg', '南北通透四房户型，送入户花园，精装修业主置换诚信卖', '世纪城徽杰苑  | 4室2厅 | 137.55平米 | 南 北 | 其他', '低楼层(共28层)2011年建塔楼  -  滨湖世纪', '259万', '单价18830元/平米')
('https://image1.ljcdn.com/340100-inspection/61ec2ddb-5409-4462-a8cc-cc89452f4f1f.JPG.296x216.jpg', '滨湖明珠 市政供暖 满五唯一  通透边户 采光视野好', '滨湖明珠  | 3室2厅 | 127.62平米 | 南 北 | 精装', '高楼层(共33层)2007年建塔楼  -  滨湖世纪', '306万', '单价23978元/平米')
('https://image1.ljcdn.com/340100-inspection/1cda8b47-52b2-4008-887a-42caec00d9a2.JPG.296x216.jpg', '琥珀瑞安家园 中高楼层 两房朝南 经典三房 市政供暖', '琥珀瑞安家园  | 3室2厅 | 111.83平米 | 南 | 其他', '中楼层(共33层)2016年建塔楼  -  方兴', '235万', '单价21015元/平米')
('https://image1.ljcdn.com/340100-inspection/53095b5b-80dd-47ec-a32c-697c1f1896bc.JPG.296x216.jpg', '高速滨湖时代广场 毛坯房 南北通透 装修出自己的风格', '高速滨湖时代广场  | 2室2厅 | 89.4平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  烟墩', '162万', '单价18121元/平米')
('https://image1.ljcdn.com/340100-inspection/83c508ff-fbe8-47c4-a77e-126767ff00f1.jpg.296x216.jpg', '万科蓝山省府板块 送车位 品质小区', '万科蓝山一期  | 4室2厅 | 93.8平米 | 南 北 | 其他', '中楼层(共34层)2016年建塔楼  -  方兴', '230万', '单价24521元/平米')
('https://image1.ljcdn.com/340100-inspection/5b16e85d-212c-4da9-a1ff-9e9f8febac17.JPG.296x216.jpg', '临滨苑 三房 简装 看房方便 交通便利  业主诚售', '世纪城临滨苑  | 3室2厅 | 89.71平米 | 北 | 简装', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '155万', '单价17278元/平米')
('https://image1.ljcdn.com/340100-inspection/f1d86491-6e21-4145-b096-e5c123d003bc.JPG.296x216.jpg', '世纪城经典边户三居  中高楼层 采光好 业主诚心出售', '世纪城徽昌苑  | 3室2厅 | 114平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '190万', '单价16667元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbbcddf0b-9ff4-497d-bc1b-87152b5647a6.jpg.296x216.jpg', '开发商统一精装，从未入住，诚意出售，有钥匙随时看房', '万科蓝山一期  | 3室2厅 | 93.92平米 | 南 北 | 其他', '中楼层(共34层)2016年建塔楼  -  方兴', '215万', '单价22892元/平米')
('https://image1.ljcdn.com/340100-inspection/02ec1f7b-4dc2-489f-8cef-0bdc606567d1.JPG.296x216.jpg', '南北通透大三房，朝南超大阳台，采光好，视野开阔', '世纪城徽杰苑  | 3室2厅 | 120.78平米 | 南 | 简装', '高楼层(共28层)2011年建塔楼  -  滨湖世纪', '220万', '单价18215元/平米')
('https://image1.ljcdn.com/340100-inspection/77d6003f-de69-4c03-822e-003d24b503a9.jpg.296x216.jpg', '蓝鼎观湖苑 2室1厅 165万', '蓝鼎观湖苑  | 2室1厅 | 80.2平米 | 南 | 其他', '中楼层(共33层)2010年建塔楼  -  滨湖世纪', '165万', '单价20574元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0f81154f-015f-46a5-a3be-05087f84fcb0.jpg.296x216.jpg', '业主 诚心出售 总价低配套齐全 交通便利', '滨湖和园  | 2室2厅 | 93.48平米 | 南 北 | 其他', '低楼层(共18层)2012年建塔楼  -  滨湖世纪', '135万', '单价14442元/平米')
('https://image1.ljcdn.com/340100-inspection/ae321340-4cb5-4b51-b67e-79d7c4cb1a68.jpg.296x216.jpg', '精装修，南北通透，采光无遮挡，看房方便', '世纪城徽杰苑  | 3室2厅 | 115.71平米 | 南 北 | 其他', '低楼层(共28层)2011年建塔楼  -  滨湖世纪', '210万', '单价18149元/平米')
('https://image1.ljcdn.com/340100-inspection/2b07d1b1-df8c-4402-9950-495f1c492fb7.JPG.296x216.jpg', '万科蓝山 品质物业 精装交付 改善居住之所', '万科蓝山一期  | 3室2厅 | 91.63平米 | 南 | 其他', '低楼层(共41层)2016年建塔楼  -  方兴', '210万', '单价22919元/平米')
('https://image1.ljcdn.com/340100-inspection/9fc68c41-80a0-4b9e-beb2-35fcdbd6f9bb.JPG.296x216.jpg', '中层4房别墅旁 满2诚心卖 视觉盛宴安全楼层', '中海滨湖公馆  | 4室2厅 | 97平米 | 南 北 | 其他', '中楼层(共34层)2014年建塔楼  -  环湖CBD', '194万', '单价20000元/平米')
('https://image1.ljcdn.com/340100-inspection/5fe04016-4c68-49dd-ad3a-5e07f2dc3a25.jpg.296x216.jpg', '满五唯一，两卧朝南，南北通透，交通便利', '世纪城徽杰苑  | 3室2厅 | 114平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '175万', '单价15351元/平米')
('https://image1.ljcdn.com/340100-inspection/d6b708a6-af7f-42a7-8033-d501fea8ae42.jpg.296x216.jpg', '大阳台，三房两卫，中高楼层。视野好，满两年无增值税', '世纪城徽昌苑  | 3室2厅 | 122.9平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '208万', '单价16925元/平米')
('https://image1.ljcdn.com/340100-inspection/8ed87ad6-104e-4537-bf75-df61c7593232.JPG.296x216.jpg', '东方蓝海好房，旁边就是金斗公园。此报价赠送产权车位', '东方蓝海四期  | 3室2厅 | 94平米 | 南 | 其他', '低楼层(共33层)2014年建板楼  -  环湖CBD', '180万', '单价19149元/平米')
('https://image1.ljcdn.com/340100-inspection/82523c86-c637-40bb-89f2-fb8f500aca8c.JPG.296x216.jpg', '滨湖万科城 3室2厅 193万', '滨湖万科城  | 3室2厅 | 92.15平米 | 南 | 其他', '低楼层(共34层)2013年建板楼  -  烟墩', '193万', '单价20945元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploade335bd1d-cd70-4091-b338-2877f3b6f9fb.jpg.296x216.jpg', '边户三方 南北通透 全明户型 看房方便', '蓝鼎观湖苑  | 3室2厅 | 112.52平米 | 南 北 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '185万', '单价16442元/平米')
('https://image1.ljcdn.com/340100-inspection/93966755-4eac-44fa-928c-1d3b837b7b46.JPG.296x216.jpg', '宝能城 2室2厅 140万', '宝能城  | 2室2厅 | 83平米 | 南 | 其他', '高楼层(共28层)2015年建板楼  -  环湖CBD', '140万', '单价16868元/平米')
('https://image1.ljcdn.com/340100-inspection/test-5ac3748c-337b-4509-b2e8-5da226980bb9.png.296x216.jpg', '边户大三房，南北通透，带暖气，精装修，家具家电全送', '丽水家园  | 3室2厅 | 142.79平米 | 南 北 | 精装', '低楼层(共26层)塔楼  -  滨湖世纪', '290万', '单价20310元/平米')
('https://image1.ljcdn.com/340100-inspection/40a16acb-f56a-4c5c-86e3-1e79b6454fd9.JPG.296x216.jpg', '书香门第 满两年 中间楼层 采光好 边户大三房', '书香门第东区  | 3室2厅 | 94.22平米 | 南 | 其他', '低楼层(共31层)暂无数据  -  滨湖世纪', '220万', '单价23350元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada260fcdd-e169-4347-a6af-fd6c03ad8fa7.jpg.296x216.jpg', '中区两房、小区前排无遮挡、满两年带装修', '中铁滨湖名邸  | 2室1厅 | 87.17平米 | 南 | 其他', '中楼层(共30层)2013年建塔楼  -  烟墩', '185万', '单价21223元/平米')
('https://image1.ljcdn.com/340100-inspection/46b45371-43e4-44f4-9e80-092bc5926f20.JPG.296x216.jpg', '万达临湖苑 满两年 业主诚心卖', '临湖苑E区  | 3室2厅 | 95.21平米 | 南 | 其他', '低楼层(共28层)2014年建板楼  -  环湖CBD', '178万', '单价18696元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload8b8ca62c-50f3-40a1-8d7d-0b8e0b30d6d9.jpg.296x216.jpg', '蓝鼎滨湖假日清华园 3室1厅 198万', '蓝鼎滨湖假日清华园  | 3室1厅 | 87平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '198万', '单价22759元/平米')
('https://image1.ljcdn.com/340100-inspection/9241ee1f-feb7-4c05-963f-962a09c77b3d.JPG.296x216.jpg', '蓝鼎观湖苑 3室2厅 215万', '蓝鼎观湖苑  | 3室2厅 | 111.13平米 | 南 北 | 其他', '低楼层(共33层)2010年建塔楼  -  滨湖世纪', '215万', '单价19347元/平米')
('https://image1.ljcdn.com/340100-inspection/2fc971d0-7954-41fb-bce7-7c6fe372908d.JPG.296x216.jpg', '滨湖品阁 满五年 市政供暖 中高楼层 超大阳台 采光好', '滨湖品阁  | 2室2厅 | 92.77平米 | 南 | 其他', '高楼层(共28层)2007年建板塔结合  -  滨湖世纪', '218万', '单价23499元/平米')
('https://image1.ljcdn.com/340100-inspection/c2169634-2880-4d18-8302-206365a13f12.jpg.296x216.jpg', '此房为南北通透三房户型，采光充足，', '世纪城徽贵苑  | 3室2厅 | 118平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '200万', '单价16950元/平米')
('https://image1.ljcdn.com/340100-inspection/4943f277-67fa-4b33-bd88-76a926077273.jpg.296x216.jpg', '徽贵苑大三房 客厅带阳台超南 两房超南 中间楼层', '世纪城徽贵苑  | 3室2厅 | 121.35平米 | 南 北 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '210万', '单价17306元/平米')
('https://image1.ljcdn.com/340100-inspection/8c4b3971-8c3e-4673-8414-e46db2f1a4ee.jpg.296x216.jpg', '蓝鼎观湖苑 3室1厅 195万', '蓝鼎观湖苑  | 3室1厅 | 111.13平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  滨湖世纪', '195万', '单价17548元/平米')
('https://image1.ljcdn.com/340100-inspection/7604cbf1-0d22-4612-b7b3-4d95a2a2318d.JPG.296x216.jpg', '清华园 南北两房 双阳台 采光充足  通风效果好', '蓝鼎滨湖假日清华园  | 2室2厅 | 89.48平米 | 南 北 | 其他', '低楼层(共33层)2011年建塔楼  -  滨湖世纪', '172万', '单价19223元/平米')
('https://image1.ljcdn.com/340100-inspection/ac6847a9-b0ee-47ed-830f-ac13e88f460a.jpg.296x216.jpg', '滨湖假日清华园 朝南三房 中间楼层 视野采光好', '蓝鼎滨湖假日清华园  | 3室2厅 | 86.15平米 | 南 | 其他', '中楼层(共33层)2011年建塔楼  -  滨湖世纪', '177万', '单价20546元/平米')
('https://image1.ljcdn.com/340100-inspection/cb1c3735-a0ee-4be3-a7f9-1eb5d80cef89.JPG.296x216.jpg', '蓝山高层边户，视野采光不错，统一精装', '万科蓝山一期  | 4室2厅 | 93.8平米 | 南 北 | 其他', '高楼层(共34层)2016年建塔楼  -  方兴', '220万', '单价23455元/平米')
('https://image1.ljcdn.com/340100-inspection/63031ffc-d2d1-476f-9895-c9ec20c321db.JPG.296x216.jpg', '滨湖假日清华园 南北三房 高楼层 采光视野好', '蓝鼎滨湖假日清华园  | 3室2厅 | 86.94平米 | 南 北 | 其他', '高楼层(共33层)2011年建塔楼  -  滨湖世纪', '185万', '单价21280元/平米')
('https://image1.ljcdn.com/340100-inspection/10aa86a1-9347-4a85-81a4-35e0f3eac988.JPG.296x216.jpg', '蓝鼎滨湖假日翰林苑 3室2厅 180万', '蓝鼎滨湖假日翰林苑  | 3室2厅 | 88平米 | 南 北 | 其他', '低楼层(共33层)2008年建塔楼  -  滨湖世纪', '180万', '单价20455元/平米')
('https://image1.ljcdn.com/340100-inspection/a9910fc2-a05e-495d-ba82-5920a9e0e8ea.jpg.296x216.jpg', '高速时代城 中间楼层 两房朝南 小区中间位置 满两年', '高速时代城二期  | 3室2厅 | 104.23平米 | 南 | 其他', '低楼层(共33层)2015年建塔楼  -  方兴', '220万', '单价21108元/平米')
('https://image1.ljcdn.com/340100-inspection/57255370-0d00-4d98-8ee7-dc1e713aa473.jpg.296x216.jpg', '徽贵苑  大三房  经典户型    诚意出售', '世纪城徽贵苑  | 3室2厅 | 117.69平米 | 南 北 | 简装', '高楼层(共28层)2011年建塔楼  -  滨湖世纪', '190万', '单价16145元/平米')
('https://image1.ljcdn.com/340100-inspection/ab1fdab5-7986-4ba9-b866-0f4ae36f5fc4.JPG.296x216.jpg', '宝能城 两房 精装修 家电家具全送 总价低', '宝能城  | 2室2厅 | 82.33平米 | 南 | 其他', '高楼层(共33层)2015年建板楼  -  环湖CBD', '155万', '单价18827元/平米')
('https://image1.ljcdn.com/340100-inspection/2bdf66cc-e935-46ac-8b7f-988afc714b36.jpg.296x216.jpg', '高速时代城二期 高楼层 采光视野好 三房', '高速时代城二期  | 3室1厅 | 88平米 | 南 北 | 其他', '高楼层(共31层)2014年建塔楼  -  方兴', '192万', '单价21819元/平米')
('https://image1.ljcdn.com/340100-inspection/fec99412-7952-447b-9a4f-ecd0c3629cd2.JPG.296x216.jpg', '书香门第西区 3室2厅 260万', '书香门第西区  | 3室2厅 | 89.36平米 | 南 北 | 其他', '低楼层(共34层)2013年建塔楼  -  滨湖世纪', '260万', '单价29096元/平米')
('https://image1.ljcdn.com/340100-inspection/77ee11d8-32f1-4a61-a6bd-1793cef8339f.JPG.296x216.jpg', '高速时代城二期 高楼层 采光视野很好', '高速时代城二期  | 3室2厅 | 88平米 | 南 北 | 其他', '高楼层(共31层)2014年建塔楼  -  方兴', '185万', '单价21023元/平米')
('https://image1.ljcdn.com/340100-inspection/1bafe704-9fc3-40e2-955c-6983d14af900.JPG.296x216.jpg', '东方蓝海六期 2室1厅 155万', '东方蓝海六期  | 2室1厅 | 81.18平米 | 南 | 其他', '低楼层(共33层)塔楼  -  环湖CBD', '155万', '单价19094元/平米')
('https://image1.ljcdn.com/340100-inspection/9cb0f161-92e2-42da-9aca-53c280e003cf.JPG.296x216.jpg', '中铁滨湖名邸 毛坯两房 装修自己喜欢的风格', '中铁滨湖名邸  | 2室1厅 | 86.87平米 | 南 | 其他', '高楼层(共30层)2013年建塔楼  -  烟墩', '170万', '单价19570元/平米')
('https://image1.ljcdn.com/340100-inspection/9ce05a4a-d839-4aaf-8cac-76bbded13df2.JPG.296x216.jpg', '巴黎都市凯旋宫 省府板块 精装三房 前排采光无遮挡', '巴黎都市凯旋宫  | 3室2厅 | 103.97平米 | 南 北 | 其他', '低楼层(共28层)2014年建塔楼  -  方兴', '210万', '单价20199元/平米')
('https://image1.ljcdn.com/340100-inspection/d124af21-49c5-46b4-b36a-bce3e11bd460.JPG.296x216.jpg', '万达临湖苑大边套 诚心卖 欢迎致电', '临湖苑A区  | 3室2厅 | 118平米 | 南 北 | 简装', '低楼层(共33层)2014年建塔楼  -  环湖CBD', '220万', '单价18645元/平米')
('https://image1.ljcdn.com/340100-inspection/b12c7ce5-fa94-46b4-98c8-32b797c418e8.JPG.296x216.jpg', '实际使用面积多，户型方正三室两厅', '联投中心书城  | 3室2厅 | 101.99平米 | 南 | 其他', '高楼层(共28层)塔楼  -  环湖CBD', '184万', '单价18041元/平米')
('https://image1.ljcdn.com/340100-inspection/3cad2e0c-db74-49fd-aff9-88488d572b21.JPG.296x216.jpg', '20万精装两房、满五唯一、车位大礼包、价低', '蓝鼎观湖苑  | 2室2厅 | 80.55平米 | 南 | 其他', '高楼层(共33层)2010年建塔楼  -  滨湖世纪', '152万', '单价18871元/平米')
('https://image1.ljcdn.com/340100-inspection/5f39e6ba-e50f-44a4-86fa-63ec7fa97b07.JPG.296x216.jpg', '滨湖明珠 简装大三房 楼层视野好 小区中间 诚心出售', '滨湖明珠  | 3室2厅 | 136.32平米 | 南 北 | 其他', '低楼层(共33层)2007年建塔楼  -  滨湖世纪', '340万', '单价24942元/平米')
('https://image1.ljcdn.com/340100-inspection/b1d239f4-f59c-41dc-baa3-02eae79319a6.jpg.296x216.jpg', '蓝鼎滨湖假日翰林苑 2室2厅 182万', '蓝鼎滨湖假日翰林苑  | 2室2厅 | 85.69平米 | 南 北 | 其他', '低楼层(共33层)2008年建板塔结合  -  滨湖世纪', '182万', '单价21240元/平米')
('https://image1.ljcdn.com/340100-inspection/test-fd870968-b5f4-418a-943b-8035ec5f676f.png.296x216.jpg', '蓝山一期未入住，满两年，送产权车位，高层全天采光', '万科蓝山一期  | 4室2厅 | 93.12平米 | 南 | 其他', '高楼层(共34层)2016年建塔楼  -  方兴', '220万', '单价23626元/平米')
