('https://image1.ljcdn.com/510100-inspection/test-0e6a4f62-2894-40e8-970c-2fd36b6d9f1b.png.296x216.jpg', '高新西区 中海国际 橙郡 装修房', '橙郡一期  | 2室2厅 | 89.68平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '145万', '单价16169元/平米')
('https://image1.ljcdn.com/510100-inspection/test-31e91589-ee07-4aa0-83f6-3461bcb74e80.png.296x216.jpg', '保利香槟装修套二，77平小套二，交通方便，楼层适中', '保利香槟国际  | 2室1厅 | 77.4平米 | 东南 | 其他 | 有电梯', '高楼层(共16层)2013年建板楼  -  中海国际', '139万', '单价17959元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d886b897-3984-4567-80ec-b2cc286e9ec7.png.296x216.jpg', '中房学府海棠一期+套二户型+有装修', '中房学府海棠一期  | 2室2厅 | 86.16平米 | 东南 | 其他 | 有电梯', '高楼层(共27层)2013年建塔楼  -  高新西', '95万', '单价11026元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a5109748-b16b-4057-a311-57bd1a61d1db.png.296x216.jpg', '标准的套三双卫户型+成都合院一期+西源大道旁', '成都合院一期  | 3室2厅 | 105.8平米 | 东北 | 其他 | 有电梯', '低楼层(共18层)2011年建板楼  -  高新西', '130万', '单价12288元/平米')
('https://image1.ljcdn.com/510100-inspection/test-06b37320-a0ea-4da2-884b-b7108a3da647.png.296x216.jpg', '中海国际社区   橙郡二期  套三', '橙郡二期  | 3室2厅 | 89.45平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '156万', '单价17440元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2f72fef8-abc0-421e-9831-1825abebe26e.png.296x216.jpg', '中海国际社区 橙郡二期 装修套三', '橙郡二期  | 3室2厅 | 88.24平米 | 西南 | 其他 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '170万', '单价19266元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8bdb971a-7360-4f4a-8a61-34827dad7c0c.png.296x216.jpg', '上锦颐园佳境 标准套三 高楼层 出租装修！', '上锦颐园佳境  | 3室2厅 | 96.04平米 | 东北 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '88万', '单价9163元/平米')
('https://image1.ljcdn.com/510100-inspection/test-29a476bc-fb77-478f-b73e-53e0458af8db.png.296x216.jpg', '成都合院一期 客厅带阳台 对中庭 视野采光好', '成都合院一期  | 2室1厅 | 86.71平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2011年建板楼  -  高新西', '105万', '单价12110元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7a06e8c5-666c-4508-8418-704c373f7f1e.png.296x216.jpg', '中海国际橙郡一期对中庭装修套二', '橙郡一期  | 2室2厅 | 90.12平米 | 东南 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '150万', '单价16645元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcc616928-cc32-4f67-8bd3-af85149d0bb3.jpg.296x216.jpg', '上锦颐园佳境 大套三双卫双阳台', '上锦颐园佳境  | 3室1厅 | 127.42平米 | 西北 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  高新西', '125万', '单价9811元/平米')
('https://image1.ljcdn.com/510100-inspection/test-44cdcc65-5b45-4164-b561-115504468d40.png.296x216.jpg', '中海国际装修套三对中庭可改套四', '碧林  | 3室2厅 | 142.34平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  中海国际', '260万', '单价18267元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b4f794a-a858-4f9e-a35f-de84294e948a.png.296x216.jpg', '橙郡二期套三房源，对小区中庭，位置安静看房方便', '橙郡二期  | 3室2厅 | 89平米 | 东南 | 简装 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/510100-inspection/test-80ac1906-7b97-4b44-b61d-a21b2536cf8a.png.296x216.jpg', '一梯两户，10层带电梯，板式通透自住次新装修套三', '新希望皇冠国际  | 3室2厅 | 117.5平米 | 西北 | 其他 | 有电梯', '中楼层(共10层)板楼  -  中海国际', '245万', '单价20852元/平米')
('https://image1.ljcdn.com/510100-inspection/test-da65a737-0071-45e7-948f-cf35f9e22d71.png.296x216.jpg', '保利香槟国际+装修套三+对中庭+空房出售', '保利香槟国际  | 3室2厅 | 122.32平米 | 南 | 其他 | 有电梯', '低楼层(共16层)2013年建板楼  -  中海国际', '218万', '单价17823元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7f0dcc7c-e6ca-4d74-8411-03010019626c.png.296x216.jpg', '橙郡一期  清水套三出售  朝南  安静', '橙郡一期  | 3室2厅 | 110.26平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '200万', '单价18139元/平米')
('https://image1.ljcdn.com/510100-inspection/test-554f62f7-6152-4a23-966d-5970ccd7e629.png.296x216.jpg', '中房学府海棠 套二双卫 清水房 带阳台', '中房学府海棠一期  | 2室2厅 | 83.26平米 | 南 | 其他 | 有电梯', '低楼层(共27层)2013年建塔楼  -  高新西', '100万', '单价12011元/平米')
('https://image1.ljcdn.com/510100-inspection/test-70dd4b43-50b9-44bc-8911-6141e189c7fb.png.296x216.jpg', '橙郡三期 装修房套三 主卧室有阳台 中海国际社区', '橙郡三期  | 3室2厅 | 92.35平米 | 北 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '170万', '单价18409元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a8a323c1-8c7f-42c5-9c5c-209376764b61.png.296x216.jpg', '恒大帝景+有装修标准套二+采光好', '恒大帝景  | 2室2厅 | 80.99平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2016年建塔楼  -  高新西', '85万', '单价10496元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5382da28-fd88-4a72-b3d5-ed8f51d1d991.png.296x216.jpg', '中海国际  橙郡一期  装修套二', '橙郡一期  | 2室2厅 | 89.79平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建板塔结合  -  中海国际', '162万', '单价18043元/平米')
('https://image1.ljcdn.com/510100-inspection/test-699b9f68-c21b-4bd0-9ed4-3b68b2c03afa.png.296x216.jpg', '万景峰精装套四，双阳台，对中庭。', '万景峰一期  | 4室2厅 | 86.91平米 | 东 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '124万', '单价14268元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0109e70d-59c1-47e3-8b9a-a7fa2741aa9d.png.296x216.jpg', '万景峰二期，套三单位，装修保存很好', '万景峰二期  | 3室2厅 | 75.45平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '110万', '单价14580元/平米')
('https://image1.ljcdn.com/510100-inspection/test-230a4879-f721-427f-b0b7-5b8400207999.png.296x216.jpg', '上锦颐园佳境E1户型，赠送面积大。', '上锦颐园佳境  | 3室2厅 | 91.49平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2011年建板塔结合  -  高新西', '105万', '单价11477元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d4ed21a4-9557-444e-830d-955a21c2e056.png.296x216.jpg', '金色海伦，1梯2户，前后对中庭，卧室6米挑高', '芙华金色海伦  | 4室2厅 | 120.76平米 | 东南 | 精装 | 有电梯', '低楼层(共10层)2010年建板楼  -  高新西', '135万', '单价11180元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d458d15a-4f0e-47c4-86dd-15fa589bff30.png.296x216.jpg', '中房学府海棠+套二户型+有装修', '中房学府海棠一期  | 2室2厅 | 86.16平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2013年建塔楼  -  高新西', '98万', '单价11375元/平米')
('https://image1.ljcdn.com/510100-inspection/test-910bae35-66ac-4496-9c2d-3074f3165291.png.296x216.jpg', '时代睿城  清水标准套三  中间楼层', '时代睿城  | 3室1厅 | 80.58平米 | 东南 | 其他 | 有电梯', '中楼层(共28层)2015年建板楼  -  高新西', '88万', '单价10921元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4df08e08-94d1-4fdd-bd89-8d3c94e30e35.png.296x216.jpg', '中海国际橙郡三期 简装套二 对中海体育公园视野开阔', '橙郡三期  | 2室1厅 | 83.62平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '136万', '单价16265元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7e3331ad-5a2c-402b-bab3-7f8f6d36339d.png.296x216.jpg', '中海国际社区蓝岸B区装修大套三', '蓝岸B区  | 3室1厅 | 143.8平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2007年建板楼  -  中海国际', '248万', '单价17247元/平米')
('https://image1.ljcdn.com/510100-inspection/test-69783cb5-6766-4e8e-bf64-21f53c9f512e.png.296x216.jpg', '万景峰二期+套三双卫方阳台+朝中庭', '万景峰二期  | 3室1厅 | 80.85平米 | 东北 | 精装 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '120万', '单价14843元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b84b1d43-6332-49fd-8749-94aab58a9446.png.296x216.jpg', '上锦优质三房 户型方正 送家电家具拎包入住', '上锦颐园  | 3室2厅 | 89.02平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2008年建板塔结合  -  高新西', '96万', '单价10785元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c9e844ef-5e64-4bc3-a8d6-ad88d9968023.png.296x216.jpg', '中间楼层对中庭，采光好视野开阔。', '万景峰一期  | 5室1厅 | 108.34平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  高新西', '168万', '单价15507元/平米')
('https://image1.ljcdn.com/510100-inspection/test-331af1b1-abf2-42cc-9b72-75158f233063.png.296x216.jpg', '满两年  无增值税  高新西区  视野采光好  自住装修', '中房学府海棠一期  | 2室2厅 | 86.82平米 | 东南 | 精装 | 有电梯', '中楼层(共27层)2013年建塔楼  -  高新西', '102万', '单价11749元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0322a28f-dfbf-4c7b-afb9-61e660ae8eec.png.296x216.jpg', '中海国际社区橙郡 装修三居 保养好 采光好 满两年', '橙郡一期  | 3室2厅 | 128.85平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '220万', '单价17075元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2566e21f-c2c1-4754-b329-c8d349458b77.png.296x216.jpg', '林庭叠院装修套四改套三加书房，中间楼层，中庭位置', '林庭叠院  | 4室2厅 | 151.93平米 | 南 | 其他 | 有电梯', '中楼层(共9层)2006年建板塔结合  -  中海国际', '350万', '单价23037元/平米')
('https://image1.ljcdn.com/510100-inspection/test-89967e8c-dba0-48ac-9a59-e7dcd3ea24d5.png.296x216.jpg', '上锦颐园+套一改套二+东南朝向+采光好', '上锦颐园  | 1室1厅 | 64.1平米 | 南 | 其他 | 有电梯', '低楼层(共25层)2008年建板塔结合  -  高新西', '62万', '单价9673元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42e3906d-3919-490e-8903-cdcd750be8b2.png.296x216.jpg', '万景峰三室两厅双卫，客厅带方阳台', '万景峰二期  | 3室2厅 | 81平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  高新西', '115万', '单价14198元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4943fce2-6571-49e3-a7e3-4fbfc5d119dd.png.296x216.jpg', '上锦颐园佳境！中间楼层！房东有按揭！随时看房子！', '上锦颐园佳境  | 2室2厅 | 82平米 | 西北 | 其他 | 有电梯', '中楼层(共25层)2012年建板塔结合  -  高新西', '80万', '单价9757元/平米')
('https://image1.ljcdn.com/510100-inspection/9a1a3a11-4af7-4cbe-8650-dc67641b6b0c.jpg.296x216.jpg', '万景峰二期上  下两层公寓 水电气三通', '万景峰二期  | 2室1厅 | 39.5平米 | 东南 | 毛坯 | 有电梯', '高楼层(共17层)2012年建塔楼  -  高新西', '43万', '单价10887元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f876429f-6761-4e8b-ad8b-91eab0ea2769.png.296x216.jpg', '万景峰+开发商统一装修套五双卫+朝中庭', '万景峰一期  | 5室2厅 | 108.27平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  高新西', '192万', '单价17734元/平米')
('https://image1.ljcdn.com/510100-inspection/eaaa6a1b-6bc3-48ff-91aa-1c6f95198cd7.jpg.296x216.jpg', '龙湖时代天街 1室0厅 33.4万', '龙湖时代天街  | 1室0厅 | 48.92平米 | 东南 | 其他 | 有电梯', '中楼层(共30层)2017年建塔楼  -  高新西', '33.4万', '单价6828元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26eba067-8df6-4e0d-bc84-54a16221bc1c.png.296x216.jpg', '高新西区龙湖有装修，保存好，采光足', '龙湖时代天街  | 3室1厅 | 108.63平米 | 东 | 其他 | 有电梯', '低楼层(共29层)2014年建板楼  -  高新西', '152万', '单价13993元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d6f5d1c7-821d-4b39-a395-0538a2b0e165.png.296x216.jpg', '高新西区+中房学府海棠一期+中间楼层+有阳台', '中房学府海棠一期  | 2室2厅 | 88.93平米 | 东南 | 其他 | 有电梯', '中楼层(共27层)2013年建塔楼  -  高新西', '107万', '单价12032元/平米')
('https://image1.ljcdn.com/510100-inspection/8e18abd2-789d-478e-9b0a-f70642ce5bff.jpg.296x216.jpg', '万景峰二期上下两层公寓 两层可分开出租', '万景峰二期  | 2室0厅 | 38.63平米 | 东北 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '40万', '单价10355元/平米')
('https://image1.ljcdn.com/510100-inspection/db90c7c3-ee01-4145-90ec-88de5fb5f051.jpg.296x216.jpg', '上锦颐园装修三房，客厅卧室双阳台', '上锦颐园  | 3室2厅 | 89.24平米 | 西南 | 其他 | 有电梯', '高楼层(共24层)2008年建板塔结合  -  高新西', '92万', '单价10310元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload88772809-466d-41a1-8237-12d208bcbbad.jpg.296x216.jpg', '上锦颐园佳境，新上标准套三，有装修，直接入住', '上锦颐园佳境  | 3室1厅 | 95.94平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2011年建板塔结合  -  高新西', '92万', '单价9590元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9e86460f-6a7c-4fa9-92b8-f2833dab5c54.png.296x216.jpg', '高新西区 中海国际 橙郡三期 装修房 套三双卫', '橙郡三期  | 3室2厅 | 92.21平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '185万', '单价20063元/平米')
('https://image1.ljcdn.com/510100-inspection/test-edf1ef76-a38d-4ca0-8e41-c5d9f8841655.png.296x216.jpg', '保利香槟国际居家装修套二，带家具家电', '保利香槟国际  | 2室2厅 | 77.43平米 | 东北 | 其他 | 有电梯', '中楼层(共16层)2013年建板楼  -  中海国际', '139万', '单价17952元/平米')
('https://image1.ljcdn.com/510100-inspection/test-71cf165a-9c7d-4dd4-82f8-b6c4641c5f79.png.296x216.jpg', '芙华金色海伦装修套三，有一个卧室挑高', '芙华金色海伦  | 3室2厅 | 120.61平米 | 东南 | 其他 | 有电梯', '中楼层(共10层)2010年建板楼  -  高新西', '126万', '单价10447元/平米')
('https://image1.ljcdn.com/510100-inspection/test-970b7e6c-a369-4049-b5c0-9666cb2816d6.png.296x216.jpg', '中海满2年装修房 有电梯有钥匙 对中庭安静 中间楼层', '橙郡二期  | 3室1厅 | 89平米 | 东北 | 精装 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '155万', '单价17416元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f2b905eb-21f7-41af-a782-1ff40eeb8e6f.png.296x216.jpg', '中海国际社区橙郡 不临街 三居室 满2年', '橙郡一期  | 3室2厅 | 122平米 | 南 | 其他 | 有电梯', '低楼层(共17层)2007年建板塔结合  -  中海国际', '200万', '单价16394元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d09941d8-ea93-4531-b5eb-8a2349fbb6f1.png.296x216.jpg', '保利香槟国际     装修套三', '保利香槟国际  | 3室2厅 | 113平米 | 东 西南 | 其他 | 有电梯', '低楼层(共16层)2013年建板楼  -  中海国际', '205万', '单价18142元/平米')
('https://image1.ljcdn.com/510100-inspection/test-de551e70-5123-44ed-a106-d507e1f4dd03.png.296x216.jpg', '中海国际社区橙郡 装修二居室 朝东 可看房', '橙郡二期  | 2室2厅 | 80平米 | 东 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '145万', '单价18125元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d6423a1f-3a26-4d14-b1b4-c659a00bceca.png.296x216.jpg', '保 利  香 槟 国 际 居 家 装 修 套 二', '保利香槟国际  | 2室2厅 | 83.6平米 | 西北 | 其他 | 有电梯', '低楼层(共16层)2013年建板楼  -  中海国际', '158万', '单价18900元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d9ee632f-8cb4-422c-b633-f9744ef58692.png.296x216.jpg', '橙郡二期 装修房 单卫 客厅有阳台 两房两厅', '橙郡二期  | 2室2厅 | 79.9平米 | 东北 | 简装 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '136万', '单价17022元/平米')
('https://image1.ljcdn.com/510100-inspection/4ac8be36-50c6-4c74-b9c4-cf0b659c80c5.JPG.296x216.jpg', '橙郡三期 3室2厅 165万', '橙郡三期  | 3室2厅 | 87.38平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2007年建板楼  -  中海国际', '165万', '单价18884元/平米')
('https://image1.ljcdn.com/510100-inspection/8992a16a-cd17-424f-9170-fc19f8beecea.jpg.296x216.jpg', '万景峰二期办公性质的公寓上下两层使用面积80平', '万景峰二期  | 2室0厅 | 38.64平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2012年建塔楼  -  高新西', '39万', '单价10094元/平米')
('https://image1.ljcdn.com/510100-inspection/198f75a5-03a6-4935-b559-ae250302a235.jpg.296x216.jpg', '上锦颐园 满2年 无增值税费 位置安静不临街', '上锦颐园  | 3室2厅 | 89.02平米 | 东南 | 其他 | 有电梯', '中楼层(共27层)2008年建板塔结合  -  高新西', '108万', '单价12133元/平米')
('https://image1.ljcdn.com/510100-inspection/test-889655b4-c613-4ed0-8869-b987bb5a0eca.png.296x216.jpg', '装修套三+中间楼层+有产权证+装修未入住+随时看房', '金辉悦府  | 3室2厅 | 89.51平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2015年建塔楼  -  高新西', '118万', '单价13183元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload3c936d3b-d44e-42af-910a-621cf91c4fbd.JPG.296x216.jpg', '装修套三房，对中庭，有家具家电，可以拎包入住', '橙郡一期  | 3室2厅 | 121平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2007年建板塔结合  -  中海国际', '240万', '单价19835元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0d080f41-40f0-4dcc-b1b2-4d22a457a2c8.png.296x216.jpg', '中海橙郡套二带带书房 精装修 对中庭 随时看', '橙郡二期  | 3室1厅 | 86.02平米 | 西北 | 精装 | 有电梯', '低楼层(共17层)2007年建板楼  -  中海国际', '153万', '单价17787元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bb26a295-9bfa-4cf2-8c12-d986f024eca5.png.296x216.jpg', '上锦颐园 套四双卫 对中庭 清水房 满2年', '上锦颐园  | 3室2厅 | 133.28平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2008年建板塔结合  -  高新西', '155万', '单价11630元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploade872c80d-eab7-4dfc-be20-7b383e5d49cf.jpg.296x216.jpg', '成都合院一期  自住精装  采光好 俯瞰清水河', '成都合院一期  | 3室2厅 | 106.4平米 | 东北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  高新西', '142万', '单价13346元/平米')
('https://image1.ljcdn.com/510100-inspection/test-caffaeac-d267-4616-ab95-f23f365d7564.png.296x216.jpg', '自住的装修套三，客厅主卧朝西南，中间楼层，满两年！', '保利香槟国际  | 3室2厅 | 109.5平米 | 西南 | 其他 | 有电梯', '中楼层(共16层)2013年建板楼  -  中海国际', '197万', '单价17991元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4373f365-6824-4484-b6cd-ab6ed433ca9b.png.296x216.jpg', '客厅带阳台，户型方正，采光好，装修房', '上锦颐园佳境  | 2室2厅 | 90.73平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '95万', '单价10471元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload9d32f0b4-05f0-4d7d-9bfa-af1c5e15a61e.jpg.296x216.jpg', '恒大帝景套二出售                  .', '恒大帝景  | 2室1厅 | 90平米 | 东南 | 其他 | 有电梯', '低楼层(共24层)2016年建塔楼  -  高新西', '85万', '单价9445元/平米')
('https://image1.ljcdn.com/510100-inspection/03d402bc-1180-4fa6-bb15-984c007d05bf.jpg.296x216.jpg', '龙城高新天地小区小区环境干净舒适', '龙城高新天地  | 1室0厅 | 38.48平米 | 南 | 其他 | 有电梯', '中楼层(共19层)2015年建塔楼  -  高新西', '31.5万', '单价8187元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1e5b606f-1afa-45f7-b65f-47c0296ac427.png.296x216.jpg', '一梯两户  四室双卫 十楼到顶洋房 随时可看', '新希望皇冠国际  | 4室2厅 | 135.87平米 | 南 | 其他', '低楼层(共10层)暂无数据  -  中海国际', '265万', '单价19504元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadb93bb0af-7dcc-4c20-9277-e9bbbca4ae09.JPG.296x216.jpg', '中海国际橙郡二期 装修三室 拎包入住 不临街 西南朝向', '橙郡二期  | 3室2厅 | 89.02平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2007年建板楼  -  中海国际', '175万', '单价19659元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6e83ae18-0005-4755-83ef-9c64ec88d784.png.296x216.jpg', '上锦颐园佳境，大户型套三可改套四。带三个阳台', '上锦颐园佳境  | 3室2厅 | 125.84平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  高新西', '128万', '单价10172元/平米')
('https://image1.ljcdn.com/510100-inspection/0e5dbc46-9dec-417b-9262-06727ad94c48.jpg.296x216.jpg', '万景峰跃层公寓！！！万景峰跃层公寓！！！', '万景峰二期  | 2室0厅 | 38.64平米 | 东南 | 其他 | 有电梯', '中楼层(共17层)2012年建塔楼  -  高新西', '42万', '单价10870元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddeef19a7-dd78-4160-a164-6ca5e7693b24.JPG.296x216.jpg', '中海国际社区洋房 蓝岸顶跃 随时可看 带花园', '蓝岸A区  | 3室2厅 | 137平米 | 南 | 其他 | 无电梯', '高楼层(共5层)2006年建板楼  -  中海国际', '355万', '单价25913元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e5769e9e-544b-48b0-ae13-a48edc326484.png.296x216.jpg', '上锦颐园佳境！满2年！房东无按揭！随时看房子！', '上锦颐园佳境  | 2室2厅 | 85.93平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2011年建板塔结合  -  高新西', '84万', '单价9776元/平米')
