('https://image1.ljcdn.com/510100-inspection/test-3d5852f0-86d8-4c69-8ae2-daf982f8e004.png.296x216.jpg', '东润风尚标注套二，采光好，楼层好', '东润风尚  | 2室2厅 | 60.99平米 | 西南 | 简装 | 有电梯', '低楼层(共12层)2006年建塔楼  -  静居寺', '101万', '单价16561元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ff1dd7dd-9dae-49c6-96fd-ea0efb9247ad.png.296x216.jpg', '紫气东来 有装修 套二 位置安静', '紫气东来  | 2室2厅 | 74.77平米 | 东南 | 其他', '低楼层(共18层)暂无数据  -  蓝谷地', '113万', '单价15114元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a517382c-a760-4127-9ab8-67e1a5cba16c.png.296x216.jpg', '卓锦城二期，装修套二双卫，有阳台，可实地看房', '卓锦城二期  | 2室1厅 | 96.91平米 | 东南 | 简装 | 有电梯', '低楼层(共24层)2008年建板塔结合  -  卓锦城', '153万', '单价15788元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c1324000-1e73-42e4-ae0b-8d5557e885c3.png.296x216.jpg', '澳  龙   名  城  套  二  居  家  装   修', '澳龙名城  | 2室1厅 | 84.09平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2009年建塔楼  -  攀成钢', '185万', '单价22001元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploaddc3c34bb-ecf6-4231-9d90-8a5d3f38a01c.jpg.296x216.jpg', 'ICC精装三房，客厅卧室都朝南，满2年', 'ICC天曜  | 3室2厅 | 152.17平米 | 南 | 简装 | 有电梯', '低楼层(共39层)2015年建板楼  -  东大路', '430万', '单价28258元/平米')
('https://image1.ljcdn.com/510100-inspection/test-87468c05-0c5c-4ee8-bd69-37ad77241003.png.296x216.jpg', '锦江城市花园三期，套二可改套三', '锦江城市花园三期  | 2室2厅 | 73.83平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2011年建板塔结合  -  三圣乡', '130万', '单价17609元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b49023a9-7910-4e08-b35c-a29ecaeead3e.png.296x216.jpg', '翡翠城五期套四双卫南北向清水房有阳台。', '翡翠城五期  | 4室2厅 | 114平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2011年建板楼  -  东湖', '360万', '单价31579元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e96b0315-5339-4e13-8fbf-78cba237548c.png.296x216.jpg', '中间楼层小套三，看中庭景观，有阳台，方正户型！', '蓝谷地天域  | 3室2厅 | 86.24平米 | 东 | 其他 | 有电梯', '低楼层(共34层)2010年建塔楼  -  蓝谷地', '155万', '单价17974元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e1b0305a-456a-4c1d-9645-c362a6ebfc6f.png.296x216.jpg', '泰华大厦标准套二户型户型方正采光好', '泰华大厦  | 2室1厅 | 87.23平米 | 南 西南 | 其他 | 有电梯', '中楼层(共34层)1999年建板楼  -  盐市口', '180万', '单价20636元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f31d7daf-ed8b-480f-931c-cffe68645993.png.296x216.jpg', '新加坡开发商 二次软装 对中庭安静 满两年', '吉宝凌云峰阁  | 3室2厅 | 127.76平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2015年建板楼  -  攀成钢', '398万', '单价31153元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aef0f06d-536c-4986-90dd-7919df9e7f4f.png.296x216.jpg', '幸福里二期套三   户型好 采光好', '华润幸福里二期  | 3室2厅 | 89.11平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2015年建板塔结合  -  川师', '195万', '单价21884元/平米')
('https://image1.ljcdn.com/510100-inspection/5aa7f26f-6682-4b4c-9800-f19814c731ea.jpg.296x216.jpg', '华韵天府套三装修，东北朝向，视野开阔', '华韵天府  | 3室2厅 | 71.9平米 | 东北 | 精装 | 有电梯', '低楼层(共39层)2013年建塔楼  -  三圣乡', '175万', '单价24340元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1698d27a-9d58-4b81-a53b-b9ef2a6e56cb.png.296x216.jpg', '紫东梵谷优质套二，客厅带阳台满五唯一免个税随时可看', '紫东梵谷  | 2室2厅 | 80.23平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2007年建板楼  -  蓝谷地', '118万', '单价14708元/平米')
('https://image1.ljcdn.com/510100-inspection/test-20ce42ba-c140-4fe6-8ff8-b013a324144c.png.296x216.jpg', '套三双卫，朝南对中庭，精装修，品牌家具家电', '锦蓉佳苑  | 3室2厅 | 119平米 | 东南 | 精装 | 有电梯', '中楼层(共32层)2014年建板塔结合  -  三圣乡', '265万', '单价22269元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8c30affe-bc7e-4ae1-b770-dc5aa9990269.png.296x216.jpg', '天悦龙庭  147平米  有花园  自住装修', '天悦龙庭  | 4室2厅 | 147平米 | 南 | 精装 | 有电梯', '低楼层(共38层)2014年建板楼  -  琉璃场', '392万', '单价26667元/平米')
('https://image1.ljcdn.com/510100-inspection/test-664070b5-b11a-4116-a058-3bfc6837ecb4.png.296x216.jpg', '皇后国际 套二  带飘窗 采光好', '皇后国际  | 2室1厅 | 65.24平米 | 南 北 | 其他 | 有电梯', '中楼层(共33层)2009年建板楼  -  盐市口', '280万', '单价42919元/平米')
('https://image1.ljcdn.com/510100-inspection/test-77fe16bd-d2dc-44b4-be97-256c57e8e4e2.png.296x216.jpg', '此房为出租装修， 房屋满两年。', '万科城市花园  | 2室1厅 | 82.69平米 | 南 | 简装 | 无电梯', '中楼层(共4层)2007年建板塔结合  -  川师', '180万', '单价21769元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f273b8d1-c1b2-4297-9b6c-07c80a0ee573.png.296x216.jpg', '康郡三期顶楼带花园套四双卫，带车位出售', '康郡  | 4室1厅 | 147.45平米 | 西 | 其他 | 有电梯', '高楼层(共11层)2006年建板楼  -  东光小区', '350万', '单价23737元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d502744c-3ae1-451e-a2ba-8560007ddfb7.png.296x216.jpg', '新半边街6号，中间楼层，套二。', '新半边街6号  | 2室1厅 | 67.86平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  盐市口', '200万', '单价29473元/平米')
('https://image1.ljcdn.com/510100-inspection/test-755043a6-0aa3-48b0-8533-e933bb51b34e.png.296x216.jpg', '雕墅标准套二+大阳台+双面采光', '雕墅  | 2室1厅 | 73.95平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2007年建板塔结合  -  盐市口', '225万', '单价30426元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a533bc0e-9d2d-434c-b028-eb10fcceef27.png.296x216.jpg', '锦江城市花园三期 装修套二 东南朝向', '锦江城市花园三期  | 2室2厅 | 77.31平米 | 东 | 简装 | 有电梯', '中楼层(共34层)2011年建塔楼  -  三圣乡', '130万', '单价16816元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d55c9080-d8f1-47bc-a722-7362a9b001a5.png.296x216.jpg', '鑫苑名家一期   高楼层  带装修 套二', '鑫苑名家一期  | 2室1厅 | 62.57平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2011年建板塔结合  -  卓锦城', '98万', '单价15663元/平米')
('https://image1.ljcdn.com/510100-inspection/test-68847e3a-f209-4f8c-bbbd-9c62809a3322.png.296x216.jpg', '镏金岁月精装套一 有家具家电 客厅有阳台', '镏金岁月  | 1室1厅 | 56.7平米 | 北 | 精装 | 有电梯', '高楼层(共33层)2010年建板楼  -  攀成钢', '130万', '单价22928元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45256a81-6800-417d-acd9-6315b95969ee.png.296x216.jpg', '上东锦城套二 卧室带阳台，户型方正， 有装修', '上东锦城A区  | 2室1厅 | 82.17平米 | 南 | 其他 | 有电梯', '中楼层(共34层)2008年建板楼  -  蓝谷地', '120万', '单价14604元/平米')
('https://image1.ljcdn.com/510100-inspection/test-281f5958-5f62-43c3-bf89-d683eabb23f7.png.296x216.jpg', '摩玛城 标准套一 视野采光好             .', '摩玛城  | 1室1厅 | 59.27平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2011年建塔楼  -  三官堂', '120万', '单价20247元/平米')
('https://image1.ljcdn.com/510100-inspection/test-081403e6-93b1-4f30-99f8-0cd05fb33cde.png.296x216.jpg', '万达锦华城 70年产权 朝中庭 标准套二 中间楼层', '万达锦华城  | 2室1厅 | 75.21平米 | 西 | 其他 | 有电梯', '低楼层(共30层)2008年建塔楼  -  东湖', '145万', '单价19280元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f6d99fa9-ecaf-4822-92f9-d4462f961389.png.296x216.jpg', '摩玛城标准套一，对中庭不吵，自住装修', '摩玛城  | 1室1厅 | 61.41平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2011年建板楼  -  三官堂', '115万', '单价18727元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5446f57b-2155-47c9-8f2a-1fc56451c47b.png.296x216.jpg', '锦江区琉璃场三环内多层一室小户型有钥匙', '经天路3号  | 1室1厅 | 40.08平米 | 东 | 简装 | 无电梯', '中楼层(共6层)2005年建板楼  -  琉璃场', '57万', '单价14222元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd29c9ff-4d80-4d66-99e4-7916a978e7af.png.296x216.jpg', '沙河壹号套三双卫中间楼层视野无遮挡', '沙河壹号一期  | 3室2厅 | 88.93平米 | 北 | 其他 | 有电梯', '中楼层(共34层)2011年建塔楼  -  沙河堡', '165万', '单价18554元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fe4dff98-6647-4b6a-8499-469e79b95d8f.png.296x216.jpg', '锦江逸家清水套三双卫带大平台，临公园', '锦江逸家  | 3室2厅 | 74.6平米 | 西北 东北 | 毛坯 | 有电梯', '低楼层(共33层)2015年建板楼  -  卓锦城', '260万', '单价34853元/平米')
('https://image1.ljcdn.com/510100-inspection/test-507328d8-d320-441f-92a1-3be05e657d2c.png.296x216.jpg', '比华利国际城一期套三双卫 客厅朝南带阳台 卧室对中庭', '比华利国际城一期  | 3室2厅 | 129.48平米 | 南 西 | 其他 | 有电梯', '中楼层(共26层)2008年建塔楼  -  川师', '275万', '单价21239元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fb2b788c-463d-400e-aab8-f121b965d299.png.296x216.jpg', '蓝谷地天域精装套三，带入户，阳台连通客和次卧', '蓝谷地天域  | 3室2厅 | 89.67平米 | 东北 | 其他 | 有电梯', '低楼层(共31层)2012年建塔楼  -  蓝谷地', '170万', '单价18959元/平米')
('https://image1.ljcdn.com/510100-inspection/test-133ec472-85af-49c6-b84b-f18bd19e85bd.png.296x216.jpg', '老小区标准套二，环境安静适宜居家', '拐枣树街26号  | 2室1厅 | 56.69平米 | 东 | 其他 | 无电梯', '低楼层(共7层)1999年建板楼  -  盐市口', '71万', '单价12525元/平米')
('https://image1.ljcdn.com/510100-inspection/test-16d83a0d-46e3-45d5-867e-c4626a89f6bf.png.296x216.jpg', '锦江逸家 新房源 满两年 有钥匙 可看房 无按揭', '锦江逸家  | 3室2厅 | 86平米 | 东南 | 毛坯 | 有电梯', '高楼层(共29层)2015年建板楼  -  卓锦城', '245万', '单价28489元/平米')
('https://image1.ljcdn.com/510100-inspection/f2fda826-55fb-4e55-bb22-cd2e94bea9fe.jpg.296x216.jpg', '四海逸家，单价低，无贷款有钥匙', '四海逸家二期  | 4室2厅 | 97平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2013年建板塔结合  -  卓锦城', '357万', '单价36805元/平米')
('https://image1.ljcdn.com/510100-inspection/91980896-8e15-478e-9a99-fa70165e1c96.jpg.296x216.jpg', '四海逸家一期 4室2厅 415万', '四海逸家一期  | 4室2厅 | 97.24平米 | 东南 | 其他 | 有电梯', '中楼层(共32层)2010年建板塔结合  -  卓锦城', '415万', '单价42678元/平米')
('https://image1.ljcdn.com/510100-inspection/test-afc51380-2311-456c-8bfc-6651b1e74b77.png.296x216.jpg', '时代豪庭 162平米偶数层套三 有阳台', '时代豪庭四期  | 3室2厅 | 162.88平米 | 南 | 其他 | 有电梯', '高楼层(共40层)2011年建板塔结合  -  合江亭', '525万', '单价32233元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1a9553bc-0fb3-4d9d-930b-d2ea67c9b254.png.296x216.jpg', '华润幸福里清水套三，视野开阔，位置安静', '华润幸福里二期  | 3室1厅 | 88.93平米 | 西南 | 其他 | 有电梯', '高楼层(共32层)2015年建板塔结合  -  川师', '208万', '单价23390元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3db3a334-2ca6-4dd5-87b9-823090dd0643.png.296x216.jpg', '东大路 套三双卫 对中庭 安静 精装修', '中粮鸿云  | 3室1厅 | 88.03平米 | 东北 | 其他 | 有电梯', '高楼层(共40层)2017年建塔楼  -  东大路', '272万', '单价30899元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3833c238-1c00-4174-874d-14454a64318d.png.296x216.jpg', '恒大都会华庭  套二  有装修  带阳台', '恒大都汇华庭  | 2室2厅 | 88.8平米 | 西 | 精装 | 有电梯', '高楼层(共50层)2015年建板楼  -  合江亭', '308万', '单价34685元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload95a93a9a-bc33-4eab-b2f3-ebc283d3c910.jpg.296x216.jpg', '静居嘉苑 一楼带花园 自住精装修 标准套三双卫', '静居嘉苑  | 3室2厅 | 106.81平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2005年建板楼  -  静居寺', '249万', '单价23313元/平米')
('https://image1.ljcdn.com/510100-inspection/test-187722f1-ec08-494c-b8ce-1f1a2b8573ec.png.296x216.jpg', '温馨精致装修，带家具家电，带车位，双阳台，保养好！', '蓝谷地天域  | 2室2厅 | 81.06平米 | 东北 | 其他 | 有电梯', '高楼层(共32层)2011年建塔楼  -  蓝谷地', '170万', '单价20973元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8cd72130-83a1-4a12-a862-b0fb10ba4d42.png.296x216.jpg', '产权120.19平米，顶楼带大花园，空置看房方便。', '玉皇观街1号  | 3室1厅 | 120.19平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  红星路', '168万', '单价13978元/平米')
('https://image1.ljcdn.com/510100-inspection/test-588cea4e-ba2e-4c78-ba85-ac50a01b8a13.png.296x216.jpg', '京都大厦，70年住宅，高楼层，户型方正，采光充足。', '京都大厦  | 1室1厅 | 33.53平米 | 东南 | 简装 | 有电梯', '高楼层(共20层)2008年建板塔结合  -  盐市口', '60万', '单价17895元/平米')
('https://image1.ljcdn.com/510100-inspection/test-369dbcc2-b8af-458e-91ba-586f1a6f132b.png.296x216.jpg', '一环边南北通透标准大套二，安静不临街', '水碾河南三街45号  | 2室1厅 | 110.81平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)1999年建板楼  -  水碾河', '165万', '单价14891元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7928ad9d-88c0-4978-bac4-8b0b178fe008.png.296x216.jpg', '金润华府 主卧带衣帽间 西北朝向 有装修', '万科金润华府  | 2室1厅 | 64.81平米 | 西北 | 其他 | 有电梯', '高楼层(共35层)2012年建塔楼  -  沙河堡', '168万', '单价25922元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84127fbc-d114-4da7-a579-3f952be8453f.png.296x216.jpg', '世纪朝阳优质套二，2014年刚刚装修的', '世纪朝阳  | 2室1厅 | 91.14平米 | 东南 | 精装 | 有电梯', '高楼层(共26层)2005年建板楼  -  九眼桥', '193万', '单价21177元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ae226943-c8e7-4642-a616-defe624ae75f.png.296x216.jpg', '紫东梵谷  套一双阳台，随时可看', '紫东梵谷  | 1室1厅 | 62.7平米 | 西北 | 简装 | 有电梯', '中楼层(共18层)2007年建板楼  -  蓝谷地', '92万', '单价14674元/平米')
('https://image1.ljcdn.com/510100-inspection/d53622f7-a9de-45db-b096-921b66f216f5.jpg.296x216.jpg', '产权满5年 双卫户型客厅带阳台 权属清晰 无按揭无户口', '四海逸家二期  | 4室2厅 | 96.76平米 | 东南 | 其他 | 有电梯', '中楼层(共34层)2013年建板塔结合  -  卓锦城', '410万', '单价42373元/平米')
('https://image1.ljcdn.com/510100-inspection/test-aecb8487-985b-441c-a5b7-6cb180d4ba7c.png.296x216.jpg', '锦馨家园精装套一，看房预约，保养很不错', '锦馨家园B区  | 1室1厅 | 50.82平米 | 西南 | 精装 | 有电梯', '高楼层(共18层)2000年建板塔结合  -  琉璃场', '69万', '单价13578元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5585fd25-0737-4fa2-9e7f-2a9f77eeaafc.png.296x216.jpg', '锦江区海椒市钢管厂五区内套二出售', '钢管厂五区  | 2室1厅 | 68.23平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2001年建板楼  -  莲花', '87万', '单价12751元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2930e706-a52f-4980-9096-ef30e8a303d5.png.296x216.jpg', '海桐三期标准小套一。。。。。。。。。', '海桐三期  | 1室1厅 | 45.88平米 | 东 | 其他 | 有电梯', '低楼层(共24层)2014年建塔楼  -  蓝谷地', '61万', '单价13296元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d76967e4-5c5b-4203-afe0-9ef38d547996.png.296x216.jpg', '万科城市花园3期游泳池旁花园洋房1楼前后花园', '万科城市花园  | 4室1厅 | 149平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共6层)2007年建板塔结合  -  川师', '520万', '单价34900元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2308fbd6-5c2f-40c3-abf2-95307510abcc.png.296x216.jpg', '东城美地高楼层安静不临街采光好套二', '东城美地  | 2室1厅 | 59.78平米 | 南 西南 | 其他', '高楼层(共34层)暂无数据  -  蓝谷地', '82万', '单价13717元/平米')
('https://image1.ljcdn.com/510100-inspection/test-08ed09f5-c9a4-48c4-8963-4f3fac87c236.png.296x216.jpg', '世纪朝阳套二带花园，低楼层，户型方正', '世纪朝阳  | 2室2厅 | 91.48平米 | 西南 | 其他 | 有电梯', '低楼层(共26层)2005年建塔楼  -  九眼桥', '320万', '单价34981元/平米')
('https://image1.ljcdn.com/510100-inspection/6c38a84e-29c0-4608-8efe-8c70b4246048.jpg.296x216.jpg', '万科金润华府，套四单卫，统一装修，朝东南。', '万科金润华府  | 4室2厅 | 83.1平米 | 东南 | 其他 | 有电梯', '低楼层(共35层)2012年建塔楼  -  沙河堡', '235万', '单价28280元/平米')
('https://image1.ljcdn.com/510100-inspection/test-280f9e72-4811-41bd-8494-ccb4577c777a.png.296x216.jpg', '户型方正，两梯四户带装修，拎包入住。', '紫气东来  | 2室2厅 | 74.86平米 | 东南 | 其他', '低楼层(共18层)暂无数据  -  蓝谷地', '118万', '单价15763元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3c83c37e-9315-4be9-9ea2-60a798af9584.png.296x216.jpg', '塔子山壹号高楼层 小套三 采光好', '塔子山壹号  | 3室2厅 | 82平米 | 西 | 其他 | 有电梯', '高楼层(共34层)2015年建板楼  -  沙河堡', '225万', '单价27440元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2956572b-463e-423f-97e0-6ead64fb8db5.png.296x216.jpg', '鑫苑名家一期  装修套二   随时看房子', '鑫苑名家一期  | 2室1厅 | 59.32平米 | 东南 | 其他 | 有电梯', '低楼层(共34层)2011年建板塔结合  -  卓锦城', '96.6万', '单价16285元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1954db9e-efc1-46f1-89da-a2d403ed8abf.png.296x216.jpg', '翡翠城一期套二，客厅带阳台，户型方正。', '翡翠城一期  | 2室1厅 | 82.65平米 | 东南 | 简装 | 有电梯', '中楼层(共11层)2004年建塔楼  -  东湖', '230万', '单价27829元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd9e8d77-6d4f-4996-886d-55bdeebf0605.png.296x216.jpg', '东城美地 清水套二  户型方正', '东城美地  | 2室2厅 | 59.78平米 | 西南 | 其他', '低楼层(共34层)暂无数据  -  蓝谷地', '80万', '单价13383元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c64df77b-5e5b-4b7c-b923-d34c15b9d1c9.png.296x216.jpg', '鑫苑名家一期 新青年公寓  有装修', '鑫苑名家一期  | 1室0厅 | 40平米 | 东北 | 其他 | 有电梯', '中楼层(共35层)2011年建板塔结合  -  卓锦城', '35.5万', '单价8875元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7fed2150-28e2-4dbe-89cf-443835845896.png.296x216.jpg', '翡翠城三期 三房双卫客厅大阳台 东南朝向', '翡翠城三期  | 3室2厅 | 120.21平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)2008年建板楼  -  东湖', '380万', '单价31612元/平米')
