('https://image1.ljcdn.com/210100-inspection/d6da7182-f981-48c7-8e63-b7f846b070a4.jpg.296x216.jpg', '华府丹郡 简装南向2室 中间楼层 满五年 单价6500！', '华府丹郡  | 2室2厅 | 74.21平米 | 南 | 简装', '中楼层(共33层)板楼  -  苏家屯区', '50万', '单价6738元/平米')
('https://image1.ljcdn.com/210100-inspection/4bdd009b-1085-4bd1-8530-7b97386886fb.jpg.296x216.jpg', '华府丹郡 1室1厅 49万', '华府丹郡  | 1室1厅 | 60平米 | 南 | 精装', '高楼层(共33层)2018年建板楼  -  苏家屯区', '49万', '单价8167元/平米')
('https://image1.ljcdn.com/210100-inspection/1cfc7173-bab2-43f4-8e55-7ff82e6572d6.jpg.296x216.jpg', '恒大名都 3室1厅 95万', '恒大名都  | 3室1厅 | 109.18平米 | 南 | 精装', '中楼层(共33层)2012年建板楼  -  苏家屯区', '95万', '单价8702元/平米')
('https://image1.ljcdn.com/210100-inspection/fb6ff007-5a0f-4f62-9805-ef263f4efdc8.jpg.296x216.jpg', '奥园会展广场 2室2厅 86万', '奥园会展广场  | 2室2厅 | 132.56平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  苏家屯区', '86万', '单价6488元/平米')
('https://image1.ljcdn.com/210100-inspection/ec9c6154-e376-44ac-bc50-047f9691f22f.jpg.296x216.jpg', '奥园国际城 2室1厅 42万', '奥园国际城  | 2室1厅 | 65.38平米 | 东北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '42万', '单价6424元/平米')
('https://image1.ljcdn.com/210100-inspection/d3381946-bc25-4c0d-9cbc-22916835f59a.JPG.296x216.jpg', '33万盈泰十里锦城1室56.34平', '泰盈十里锦城  | 1室1厅 | 56.34平米 | 南 | 简装', '中楼层(共18层)2019年建板楼  -  苏家屯区', '33万', '单价5858元/平米')
('https://image1.ljcdn.com/210100-inspection/d6603a13-66eb-43a1-b1be-269fd5e1c214.jpg.296x216.jpg', '恒大名都精装现房，即买即住，带家具家电', '恒大名都  | 4室2厅 | 174平米 | 东 南 北 | 其他', '高楼层(共33层)2012年建板楼  -  苏家屯区', '133万', '单价7644元/平米')
('https://image1.ljcdn.com/210100-inspection/77394450-8836-439f-8b66-48a030e9e135.jpg.296x216.jpg', '体院，金地物业，南向两室采光好 ，配套全', '华府丹郡  | 2室1厅 | 74.74平米 | 南 | 简装', '中楼层(共33层)2018年建板楼  -  苏家屯区', '54万', '单价7226元/平米')
('https://image1.ljcdn.com/210100-inspection/b1704b03-5288-4462-a7ce-75463e3d13d3.jpg.296x216.jpg', '精装修  南北通透，采光好，视野宽阔，交通便利', '奥园国际城  | 3室2厅 | 130.29平米 | 南 北 | 精装', '低楼层(共31层)暂无数据  -  苏家屯区', '80万', '单价6141元/平米')
('https://image1.ljcdn.com/210100-inspection/42bee498-8354-45c2-b8b2-0c4725bb307d.jpg.296x216.jpg', '华府丹郡一室小户型，门前大学，出租好房源，牛B', '华府丹郡  | 1室1厅 | 37.44平米 | 东 | 精装', '高楼层(共33层)板楼  -  苏家屯区', '30万', '单价8013元/平米')
('https://image1.ljcdn.com/210100-inspection/dfba69bc-8f43-44e5-8d0f-1edf4bbbf97d.JPG.296x216.jpg', '恒大2期园区中间位置单价6900，精装修不满二172.73平', '恒大名都  | 4室2厅 | 172.73平米 | 南 北 | 精装', '中楼层(共33层)2012年建板楼  -  苏家屯区', '120万', '单价6948元/平米')
('https://image1.ljcdn.com/210100-inspection/0b0c3669-21bf-41b3-835b-d589a6426b4d.jpg.296x216.jpg', '位置好，复式，小户型，精装修，采光好', '泰盈十里锦城  | 1室1厅 | 38.76平米 | 南 | 精装', '低楼层(共3层)2019年建板楼  -  苏家屯区', '33万', '单价8514元/平米')
('https://image1.ljcdn.com/210100-inspection/48a611cb-4def-4742-9164-a7f8cff66c70.jpg.296x216.jpg', '清水 满五 奥园会展广场 诚心出售', '奥园会展广场  | 1室1厅 | 51.8平米 | 南 | 其他', '低楼层(共32层)暂无数据  -  苏家屯区', '30.5万', '单价5889元/平米')
('https://image1.ljcdn.com/210100-inspection/37534943-4f75-4fdd-9a79-f24813a68d8f.jpg.296x216.jpg', '泰盈十里锦城，小户型，精装，好楼层，价格合理', '泰盈十里锦城  | 2室1厅 | 76.69平米 | 南 | 精装', '低楼层(共33层)暂无数据  -  苏家屯区', '57万', '单价7433元/平米')
('https://image1.ljcdn.com/210100-inspection/75acc986-e529-411f-a0c9-859705627bc0.jpg.296x216.jpg', '华府丹郡 体院隔街相望 34平26万 过度出租', '华府丹郡  | 1室1厅 | 34.89平米 | 西 | 简装', '高楼层(共33层)2018年建板楼  -  苏家屯区', '26万', '单价7452元/平米')
('https://image1.ljcdn.com/210100-inspection/38c68b77-ecde-4df6-8dde-bacc3ff9d8cd.jpg.296x216.jpg', '精装两室 品质园区 好楼层 配套齐全 交通便利', '奥园国际城  | 2室2厅 | 93.28平米 | 南 北 | 精装', '低楼层(共22层)暂无数据  -  苏家屯区', '66万', '单价7076元/平米')
('https://image1.ljcdn.com/210100-inspection/ee107c2f-fbc2-4c23-b972-66fed33fb118.jpg.296x216.jpg', '华府丹郡 3室2厅 94万', '华府丹郡  | 3室2厅 | 109.6平米 | 南 北 | 精装', '高楼层(共17层)暂无数据  -  苏家屯区', '94万', '单价8577元/平米')
('https://image1.ljcdn.com/210100-inspection/c6ea9dd9-9f5b-4e51-8833-26f3c69aae45.jpg.296x216.jpg', '泰盈十里锦城，自用，小复式 ，两层', '泰盈十里锦城  | 2室2厅 | 40.32平米 | 东南 | 简装', '中楼层(共20层)暂无数据  -  苏家屯区', '30万', '单价7441元/平米')
('https://image1.ljcdn.com/210100-inspection/5d68a1eb-e11a-4887-9c58-ab1d7ca6e0f5.JPG.296x216.jpg', '恒大名都 1室1厅 60万', '恒大名都  | 1室1厅 | 56.5平米 | 南 | 毛坯', '低楼层(共33层)2012年建板楼  -  苏家屯区', '60万', '单价10620元/平米')
('https://image1.ljcdn.com/210100-inspection/a346a4cf-22d5-4afc-ad60-b1969a69437a.jpg.296x216.jpg', '56万元普通住宅奥园会展广场   南北通透', '奥园会展广场  | 2室1厅 | 79.5平米 | 南 北 | 毛坯', '高楼层(共32层)暂无数据  -  苏家屯区', '56万', '单价7045元/平米')
('https://image1.ljcdn.com/210100-inspection/d5b9051e-6345-48b8-a0d4-04ae30a8961e.jpg.296x216.jpg', '苏家屯 中间楼层 南向客厅 可改独立南向卧室 诚心出售', '北国奥林匹克花园  | 1室1厅 | 53.25平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  苏家屯区', '31万', '单价5822元/平米')
('https://image1.ljcdn.com/210100-inspection/fbfea0b9-e149-4406-939f-d071cc1ac706.jpg.296x216.jpg', '苏家屯 华府丹郡 2室1厅 精装修', '华府丹郡  | 2室1厅 | 69.05平米 | 东北 | 精装', '低楼层(共33层)板楼  -  苏家屯区', '51万', '单价7386元/平米')
('https://image1.ljcdn.com/210100-inspection/857247b3-f274-4954-83cd-2882538c3de9.jpg.296x216.jpg', '奥园会展广场 1室1厅 36万', '奥园会展广场  | 1室1厅 | 51.77平米 | 东南 | 其他', '中楼层(共32层)暂无数据  -  苏家屯区', '36万', '单价6954元/平米')
('https://image1.ljcdn.com/210100-inspection/346a724c-20b5-4976-b218-86fd08461130.jpg.296x216.jpg', '泰盈十里锦城，成熟小区，只此一套，速度抢房了', '泰盈十里锦城  | 2室1厅 | 110.2平米 | 南 北 | 精装', '高楼层(共5层)暂无数据  -  苏家屯区', '66万', '单价5990元/平米')
('https://image1.ljcdn.com/210100-inspection/019b476a-ecad-45cd-9a2d-53f76fa03339.jpg.296x216.jpg', '奥园会展广场 3室1厅 67万', '奥园会展广场  | 3室1厅 | 99.51平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  苏家屯区', '67万', '单价6733元/平米')
('https://image1.ljcdn.com/210100-inspection/1f348dbc-cfb9-42f6-a4fa-4be6176f3281.jpg.296x216.jpg', '此房满两年  园区中间位置 南北通透格局  视野开阔', '华府丹郡  | 3室2厅 | 94.8平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  苏家屯区', '79万', '单价8334元/平米')
('https://image1.ljcdn.com/210100-inspection/4dd32c9d-d508-4a67-8276-b567c69a25d7.jpg.296x216.jpg', '格林喜鹊花园 2室2厅 51万', '格林喜鹊花园  | 2室2厅 | 75.81平米 | 南 北 | 其他', '中楼层(共30层)2014年建板楼  -  苏家屯区', '51万', '单价6728元/平米')
('https://image1.ljcdn.com/210100-inspection/3d944f63-09b7-44c7-9c1c-40106f18313d.jpg.296x216.jpg', '此房清水房 有钥匙 看房方便 南北通透格局', '华府丹郡  | 2室1厅 | 90.72平米 | 南 北 | 毛坯', '高楼层(共4层)暂无数据  -  苏家屯区', '72万', '单价7937元/平米')
('https://image1.ljcdn.com/210100-inspection/f72f3f2a-63cb-49eb-b76f-9ed02c9080cf.jpg.296x216.jpg', '新南站旁 华府丹郡 南北三居室 85.77平', '华府丹郡  | 3室1厅 | 85.77平米 | 南 北 | 精装', '高楼层(共18层)暂无数据  -  苏家屯区', '66万', '单价7695元/平米')
('https://image1.ljcdn.com/210100-inspection/58fc9176-6f76-4fe5-9ff3-bb8f9b18b093.jpg.296x216.jpg', '奥园会展广场 3室2厅 67万', '奥园会展广场  | 3室2厅 | 102.22平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  苏家屯区', '67万', '单价6555元/平米')
('https://image1.ljcdn.com/210100-inspection/c4db8f29-79c6-4e72-9f5e-b1b260158c89.jpg.296x216.jpg', '华府丹郡 2室1厅 精装 满二 55万', '华府丹郡  | 2室1厅 | 65.1平米 | 南 北 | 其他', '高楼层(共31层)暂无数据  -  苏家屯区', '55万', '单价8449元/平米')
('https://image1.ljcdn.com/210100-inspection/05e0f10d-7aab-445f-b604-f29a8b6de509.JPG.296x216.jpg', '恒大名都 4室2厅 122万', '恒大名都  | 4室2厅 | 174.5平米 | 东 南 北 | 精装', '中楼层(共33层)2012年建板楼  -  苏家屯区', '122万', '单价6992元/平米')
('https://image1.ljcdn.com/210100-inspection/8f9836dd-d1d4-4a01-8c52-5100f949fa23.jpg.296x216.jpg', '奥园国际城 2室1厅 46万', '奥园国际城  | 2室1厅 | 71.18平米 | 南 | 其他', '低楼层(共27层)暂无数据  -  苏家屯区', '46万', '单价6463元/平米')
('https://image1.ljcdn.com/210100-inspection/05802f67-46f4-4a5e-bee4-1078664fa8cd.jpg.296x216.jpg', '洋房 南北精装修三室 低密度 出行便利  人车分流', '香醇波尔多鸿苑  | 3室2厅 | 124.24平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  苏家屯区', '68万', '单价5474元/平米')
('https://image1.ljcdn.com/210100-inspection/9061cd12-9604-4bc3-b274-03f1a5a5b519.jpg.296x216.jpg', '满五年没抵押没贷款，地热，中等装修，朝南户型，', '华府丹郡  | 2室2厅 | 74.39平米 | 南 | 精装', '低楼层(共33层)暂无数据  -  苏家屯区', '57万', '单价7663元/平米')
('https://image1.ljcdn.com/210100-inspection/e7fe8cf9-c670-44e4-b0b5-299c9b4c9b55.jpg.296x216.jpg', '格林喜鹊花园 2室1厅 38万', '格林喜鹊花园  | 2室1厅 | 65.33平米 | 南 北 | 其他', '高楼层(共30层)2014年建板楼  -  苏家屯区', '38万', '单价5817元/平米')
('https://image1.ljcdn.com/210100-inspection/cc327af7-9bed-4f4a-8eb5-d6f996452aac.jpg.296x216.jpg', '价格实惠  想便宜的来，大面积 ，低价格', '华府丹郡  | 2室2厅 | 74.21平米 | 南 | 毛坯', '中楼层(共33层)板楼  -  苏家屯区', '55万', '单价7412元/平米')
('https://image1.ljcdn.com/210100-inspection/efa6643d-c46b-44a4-86ca-73e5cc94b742.jpg.296x216.jpg', '格林喜鹊花园 2室2厅 40万64.96平 中间楼层 南北户型', '格林喜鹊花园  | 2室2厅 | 64.96平米 | 南 北 | 其他', '中楼层(共30层)2014年建板楼  -  苏家屯区', '40万', '单价6158元/平米')
('https://image1.ljcdn.com/210100-inspection/9173133b-ce0f-4760-be17-533ef6ec65bf.jpg.296x216.jpg', '恒大名都精装二期147.87平，满二无贷款，宜家家居，', '恒大名都  | 3室2厅 | 147.87平米 | 南 北 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '115万', '单价7778元/平米')
('https://image1.ljcdn.com/210100-inspection/12a2cb2e-fca5-4173-a2d6-ce9f6ae465d8.jpg.296x216.jpg', '恒大名都 精装卧室  稀有房源 全新装修', '恒大名都  | 3室2厅 | 179平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '138万', '单价7710元/平米')
('https://image1.ljcdn.com/210100-inspection/b762825d-4bb8-42d1-905a-34e913839a8c.jpg.296x216.jpg', '奥园国际城 3室2厅 92万', '奥园国际城  | 3室2厅 | 131.1平米 | 南 北 | 精装', '高楼层(共18层)暂无数据  -  苏家屯区', '92万', '单价7018元/平米')
('https://image1.ljcdn.com/210100-inspection/cf6ec1c6-7393-4829-9a83-be8613f5f8b2.jpg.296x216.jpg', '格林喜鹊花园 2室1厅 45万', '格林喜鹊花园  | 2室1厅 | 62.88平米 | 南 北 | 其他', '中楼层(共30层)2014年建板楼  -  苏家屯区', '45万', '单价7157元/平米')
('', '华府丹郡 1室1厅 36万', '华府丹郡  | 1室1厅 | 43.63平米 | 南 | 精装', '高楼层(共33层)板楼  -  苏家屯区', '36万', '单价8252元/平米')
('https://image1.ljcdn.com/210100-inspection/fe0f9742-4a46-404d-b906-281245671e82.jpg.296x216.jpg', '新南站 自贸区 格林喜鹊花园 3室1厅 91.68平 58万', '格林喜鹊花园  | 3室1厅 | 91.68平米 | 南 北 | 其他', '高楼层(共30层)2014年建板楼  -  苏家屯区', '58万', '单价6327元/平米')
('https://image1.ljcdn.com/210100-inspection/54bfb95d-3003-413a-9584-73f94fe98c2f.jpg.296x216.jpg', '奥园国际城 2室1厅 64万', '奥园国际城  | 2室1厅 | 90.23平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  苏家屯区', '64万', '单价7093元/平米')
('', '华府丹郡 南北俩室 精装小高产品', '华府丹郡  | 2室2厅 | 80.89平米 | 南 北 | 精装', '低楼层(共18层)暂无数据  -  苏家屯区', '72万', '单价8901元/平米')
('https://image1.ljcdn.com/210100-inspection/f673fdb4-45a5-4bf1-b2ad-8b0dccf16013.jpg.296x216.jpg', '泰盈十里锦城会展旁，交通便利。', '泰盈十里锦城  | 2室2厅 | 71平米 | 南 北 | 其他', '低楼层(共33层)2020年建板楼  -  苏家屯区', '49万', '单价6902元/平米')
('', '恒大开发商，自己的物业，绿化优美，开发商的精装修。', '恒大名都  | 4室2厅 | 175平米 | 西 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '100万', '单价5715元/平米')
('https://image1.ljcdn.com/210100-inspection/8ed29331-e98c-4645-bbbc-22a2bfd5ee79.jpg.296x216.jpg', '沈阳体育学院旁华府丹郡3室 满五 带装修', '华府丹郡  | 3室2厅 | 92平米 | 南 北 | 其他', '高楼层(共32层)板楼  -  苏家屯区', '74万', '单价8044元/平米')
('', '雪松新城C区 1室1厅 21.5万', '雪松新城C区  | 1室1厅 | 47.7平米 | 南 | 其他', '低楼层(共13层)暂无数据  -  苏家屯区', '21.5万', '单价4508元/平米')
('', '华府丹郡 2室2厅 75万', '华府丹郡  | 2室2厅 | 92平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  苏家屯区', '75万', '单价8153元/平米')
('', '恒大名都 4室2厅 117万', '恒大名都  | 4室2厅 | 174.02平米 | 东 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '117万', '单价6724元/平米')
('https://image1.ljcdn.com/210100-inspection/67bad74f-a020-4913-935f-263c51ba168a.jpg.296x216.jpg', '华府丹郡 3室2厅 72万', '华府丹郡  | 3室2厅 | 91平米 | 南 北 | 简装', '低楼层(共18层)暂无数据  -  苏家屯区', '72万', '单价7913元/平米')
('', '南京南街旁 恒大名都3室2厅，交通便利', '恒大名都  | 3室2厅 | 132平米 | 南 | 精装', '低楼层(共33层)2012年建板楼  -  苏家屯区', '98万', '单价7425元/平米')
('', '精装   品质园区 好楼层 奥园商圈 配套齐全 交通便利', '奥园会展广场  | 1室1厅 | 54.34平米 | 东南 | 其他', '中楼层(共32层)暂无数据  -  苏家屯区', '35万', '单价6441元/平米')
('', '恒大名都 3室2厅 120万', '恒大名都  | 3室2厅 | 133平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '120万', '单价9023元/平米')
('', '恒大名都 精装修 园区自带人工湖 绿化高 人群素质高', '恒大名都  | 4室2厅 | 168平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '140万', '单价8334元/平米')
('', '泰盈十里锦城 2室1厅 53万', '泰盈十里锦城  | 2室1厅 | 47.3平米 | 南 北 | 其他', '高楼层(共5层)板楼  -  苏家屯区', '53万', '单价11206元/平米')
('', '品质园区，交通便利，楼栋位置好，清水标准户型，', '泰盈十里锦城  | 3室2厅 | 122平米 | 南 北 | 其他', '中楼层(共5层)板楼  -  苏家屯区', '110万', '单价9017元/平米')
('', '格林 小两室 现房 南北通透 中间楼层采光好交通便利', '格林喜鹊花园  | 2室2厅 | 64.96平米 | 南 北 | 其他', '中楼层(共30层)2014年建板楼  -  苏家屯区', '39万', '单价6004元/平米')
('', '恒大名都 现房 交通便利  价格便宜', '恒大名都  | 5室2厅 | 179.9平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '132万', '单价7338元/平米')
('', '华府丹郡 2室1厅 50万', '华府丹郡  | 2室1厅 | 67.4平米 | 南 | 其他', '高楼层(共33层)2018年建板楼  -  苏家屯区', '50万', '单价7419元/平米')
('', '沈阳体育学院旁华府丹郡中等装修1室小户型 拎包即住', '华府丹郡  | 1室1厅 | 43.63平米 | 南 | 其他', '高楼层(共33层)板楼  -  苏家屯区', '36万', '单价8252元/平米')
('', '品质园区，交通便利，小户型，精装，复式', '泰盈十里锦城  | 2室2厅 | 33平米 | 北 | 其他', '中楼层(共20层)2019年建板楼  -  苏家屯区', '28万', '单价8485元/平米')
('', '奥园国际城 4室2厅 112万', '奥园国际城  | 4室2厅 | 193.5平米 | 南 北 | 其他', '高楼层(共18层)2015年建板塔结合  -  苏家屯区', '112万', '单价5789元/平米')
('', '精装 没住过 好楼层  配套齐全 交通便利 小复式', '泰盈十里锦城  | 2室1厅 | 40.41平米 | 南 | 其他', '中楼层(共20层)暂无数据  -  苏家屯区', '35万', '单价8662元/平米')
('', '华府丹郡 2室1厅 53万', '华府丹郡  | 2室1厅 | 74.5平米 | 南 | 其他', '高楼层(共33层)板楼  -  苏家屯区', '53万', '单价7115元/平米')
('', '华府丹郡 3室2厅 80万', '华府丹郡  | 3室2厅 | 95.08平米 | 南 北 | 其他', '高楼层(共33层)暂无数据  -  苏家屯区', '80万', '单价8414元/平米')
('', '泰盈十里锦城 3室1厅 75万', '泰盈十里锦城  | 3室1厅 | 108.25平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  苏家屯区', '75万', '单价6929元/平米')
('', '品质园区 好楼层 奥园商圈 配套齐全 交通便利', '奥园会展广场  | 车位 | 33.44平米 | 北', '暂无数据  -  苏家屯区', '19万', '单价5682元/平米')
('', '莱茵南郡 3室2厅 83万', '莱茵南郡  | 3室2厅 | 144.7平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  苏家屯区', '83万', '单价5737元/平米')
('', '唯美尚品 3室2厅 56万', '唯美尚品  | 3室2厅 | 106.58平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  苏家屯区', '56万', '单价5255元/平米')
('', '唯美尚品 2室2厅 81万', '唯美尚品  | 2室2厅 | 79.88平米 | 南 北 | 其他', '高楼层(共5层)暂无数据  -  苏家屯区', '81万', '单价10141元/平米')
('', '唯美尚品 3室2厅 80万', '唯美尚品  | 3室2厅 | 130平米 | 南 北 | 其他', '低楼层(共6层)暂无数据  -  苏家屯区', '80万', '单价6154元/平米')
('', '格林喜鹊花园 2室2厅 42万', '格林喜鹊花园  | 2室2厅 | 64.69平米 | 南 北 | 其他', '高楼层(共30层)2014年建板楼  -  苏家屯区', '42万', '单价6493元/平米')
('', '华府丹郡  小户型 120度采光', '华府丹郡  | 1室1厅 | 37.49平米 | 东南 | 其他', '低楼层(共33层)板楼  -  苏家屯区', '32万', '单价8536元/平米')
('', '唯美尚品 3室2厅 88万', '唯美尚品  | 3室2厅 | 97.81平米 | 南 北 | 其他', '中楼层(共12层)暂无数据  -  苏家屯区', '88万', '单价8998元/平米')
('', '华府丹郡 精装现房 南北通透 拎包即住 品质家具家电', '华府丹郡  | 2室2厅 | 91.73平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  苏家屯区', '79万', '单价8613元/平米')
('https://image1.ljcdn.com/210100-inspection/ad859edc-9aec-4025-bfa2-53a806a0997f.jpg.296x216.jpg', '泰盈十里锦城 2室1厅 27.5万', '泰盈十里锦城  | 2室1厅 | 33.68平米 | 西 | 其他', '低楼层(共20层)暂无数据  -  苏家屯区', '27.5万', '单价8166元/平米')
('', '品质园区 好楼层  配套齐全 交通便利', '奥园会展广场  | 1室1厅 | 51平米 | 南 | 简装', '高楼层(共11层)暂无数据  -  苏家屯区', '39万', '单价7648元/平米')
('https://image1.ljcdn.com/210100-inspection/a6fb0d5d-0ae7-4fa6-9690-e544d03d9511.JPG.296x216.jpg', '奥园会展广场 2室1厅 63万90.57平 中间楼层 南北户型', '奥园会展广场  | 2室1厅 | 90.57平米 | 南 北 | 其他', '中楼层(共33层)板楼  -  苏家屯区', '63万', '单价6956元/平米')
('', '新南站旁 恒大名都精装2室 即买即住', '恒大名都三期  | 2室1厅 | 56.8平米 | 西北 | 精装', '高楼层(共34层)暂无数据  -  苏家屯区', '49万', '单价8627元/平米')
('https://image1.ljcdn.com/210100-inspection/1f363f1c-0278-4c99-a3d5-050f0ab27ad2.jpg.296x216.jpg', '华府丹郡 2室2厅 70万', '华府丹郡  | 2室2厅 | 91.67平米 | 南 北 | 其他', '中楼层(共33层)2018年建板楼  -  苏家屯区', '70万', '单价7637元/平米')
('', '唯美尚品 3室1厅 67万', '唯美尚品  | 3室1厅 | 100平米 | 南 北 | 精装', '中楼层(共6层)暂无数据  -  苏家屯区', '67万', '单价6700元/平米')
('https://image1.ljcdn.com/210100-inspection/dc7611ba-105f-4c43-8495-e1a4a25f471d.jpg.296x216.jpg', '华府丹郡 南北通透  随时可看', '华府丹郡  | 2室2厅 | 91.67平米 | 南 北 | 其他', '低楼层(共33层)2018年建板楼  -  苏家屯区', '67万', '单价7309元/平米')
('', '恒大名都 3室2厅 89万', '恒大名都  | 3室2厅 | 147平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  苏家屯区', '89万', '单价6055元/平米')
('https://image1.ljcdn.com/210100-inspection/ed1da6f6-b00f-4a22-b72f-e115f13e18d2.jpg.296x216.jpg', '每天采光可达6小时，领包入住。', '奥园国际城  | 2室1厅 | 65.02平米 | 西北 | 精装', '中楼层(共33层)暂无数据  -  苏家屯区', '42万', '单价6460元/平米')
('', '泰盈十里锦城 2室1厅 36万', '泰盈十里锦城  | 2室1厅 | 73平米 | 西 | 其他', '低楼层(共20层)2019年建板楼  -  苏家屯区', '36万', '单价4932元/平米')
('https://image1.ljcdn.com/210100-inspection/534ca8fe-4e19-4229-baae-95582d5358a0.jpg.296x216.jpg', '53万华府丹郡2室75平，简装家具送', '华府丹郡  | 2室2厅 | 75.5平米 | 西南 | 简装', '中楼层(共32层)板楼  -  苏家屯区', '53万', '单价7020元/平米')
('', '恒大名都 4室2厅 111万', '恒大名都  | 4室2厅 | 174.02平米 | 南 北 | 其他', '中楼层(共33层)2012年建板楼  -  苏家屯区', '111万', '单价6379元/平米')
('https://image1.ljcdn.com/210100-inspection/a46cb77b-0455-4fc4-acef-6325e647de13.jpg.296x216.jpg', '华府丹郡 标准户型 装修好 随时可看', '华府丹郡  | 2室2厅 | 91.73平米 | 南 北 | 其他', '中楼层(共32层)板楼  -  苏家屯区', '72万', '单价7850元/平米')
