('https://image1.ljcdn.com/320100-inspection/6a8ca2d2-a17a-4f9a-afb2-877985baded6.jpg.296x216.jpg', '南邮旁 新空毛坯 通透大三房 中间楼层 报价含车位', '诚品城  | 3室1厅 | 99.02平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2009年建板楼  -  仙林', '285万', '单价28783元/平米')
('https://image1.ljcdn.com/320100-inspection/0cc9099a-6516-44c7-af64-c4ea0d73262e.jpg.296x216.jpg', '栖霞物业 边户 精装修  景观游泳池 带地暖墙暖', '东方天郡西区  | 3室2厅 | 133.9平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2008年建板楼  -  仙林', '565万', '单价42196元/平米')
('https://image1.ljcdn.com/320100-inspection/9050f6d4-85ee-4f18-912e-f4b8887dbc16.jpg.296x216.jpg', '小高层  户型方正  采光充足  南北通透  视野好', '星叶枫情水岸  | 3室2厅 | 112.27平米 | 南 北 | 其他 | 有电梯', '中楼层(共10层)2015年建板楼  -  仙林', '365万', '单价32511元/平米')
('https://image1.ljcdn.com/320100-inspection/53f36b75-7c1e-4821-aff4-d69a87116aa1.jpg.296x216.jpg', '爱涛艺郡临枫 4室1厅 340万', '爱涛艺郡临枫  | 4室1厅 | 137.78平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2007年建板楼  -  尧化门', '340万', '单价24678元/平米')
('https://image1.ljcdn.com/320100-inspection/a1f0f8d9-c389-4e71-a027-6916508eea67.jpg.296x216.jpg', '祥和雅苑 总价低 单室套 电梯房', '祥和雅苑  | 1室1厅 | 45.98平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2013年建板楼  -  燕子矶', '110万', '单价23924元/平米')
('https://image1.ljcdn.com/320100-inspection/e3a0b801-1130-4ec9-978c-63b0785dde8a.jpg.296x216.jpg', '南北通透  户型方正  采光无遮挡   业主诚心卖', '熊猫汇智家园  | 3室2厅 | 127.57平米 | 南 北 | 其他 | 有电梯', '低楼层(共16层)2002年建板楼  -  仙林', '300万', '单价23517元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload5ba9b7a4-d03b-45b2-b3fc-3a02f58ebd83.jpg.296x216.jpg', '南京师范茶苑 居家三房楼层好户型方正 居家精装', '南京师范大学茶苑  | 3室2厅 | 110.6平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2006年建板楼  -  仙林', '360万', '单价32550元/平米')
('https://image1.ljcdn.com/320100-inspection/345d33e0-fa02-4044-8a65-0ab8b4789e07.jpg.296x216.jpg', '中等装修    采光好    无增值税   无个税', '仙林新村北区  | 2室1厅 | 56.09平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2001年建板楼  -  仙林', '185万', '单价32983元/平米')
('https://image1.ljcdn.com/320100-inspection/e745bc4b-9c63-4922-9722-c903b137b2f3.jpg.296x216.jpg', '精装修跃层洋房 生活配套成熟 交通便利', '康桥圣菲  | 4室2厅 | 190.38平米 | 南 北 | 精装 | 无电梯', '高楼层(共4层)2006年建板楼  -  仙林', '700万', '单价36769元/平米')
('https://image1.ljcdn.com/320100-inspection/dae5ee7b-7ac0-46a4-b866-bcaa4efdda32.jpg.296x216.jpg', '钟山晶典大四房 好楼层 采光好 户型好 看房方便', '钟山晶典苑  | 2室2厅 | 87平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2010年建板塔结合  -  马群', '295万', '单价33909元/平米')
('https://image1.ljcdn.com/320100-inspection/d041de6a-a4c5-4783-a6a5-ce84a4719181.jpg.296x216.jpg', '紫金山下 天泓山庄 香山苑 跃层 精装修 有露台', '天泓山庄香山苑  | 4室2厅 | 178.16平米 | 南 | 其他 | 无电梯', '中楼层(共4层)2003年建板楼  -  马群', '568万', '单价31882元/平米')
('https://image1.ljcdn.com/320100-inspection/3a7939b3-6495-404f-a4aa-667c45153818.jpg.296x216.jpg', '模范小区 环境优雅 满五年唯一 双南大两房', '省电力公司宿舍  | 2室1厅 | 73.7平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1999年建板楼  -  迈皋桥', '175万', '单价23745元/平米')
('https://image1.ljcdn.com/120000-inspection/83557d6f-782f-46a3-bbf8-23f6a7e6d7ec.jpg.296x216.jpg', '满五唯一 精装自住 3房 视野好 看房方便', '南大和园  | 3室2厅 | 90.12平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2010年建板楼  -  仙林', '390万', '单价43276元/平米')
('https://image1.ljcdn.com/320100-inspection/db5e48da-f423-429d-bf7f-cdaa23edba94.jpg.296x216.jpg', '晓庄 迈皋桥   交通便利  配套齐全', '大地伊丽雅特湾  | 1室1厅 | 59.31平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2010年建板楼  -  晓庄', '192万', '单价32373元/平米')
('https://image1.ljcdn.com/320100-inspection/35252e7f-67f2-459d-be7c-940860e92e3d.jpg.296x216.jpg', '东墅山庄大别墅 全优家装 保养极好 业主诚心出售', '东墅山庄   | 联排别墅 | 8室2厅 | 274.85平米 | 南 北 | 其他 | 无电梯', '4层2008年建暂无数据  -  仙林', '950万', '单价34565元/平米')
('https://image1.ljcdn.com/320100-inspection/4c27b02d-06bb-4340-b9c6-01ecca758f31.jpg.296x216.jpg', '采光充足，视野宽阔，生活便利，出行方便，满五唯一。', '长营村  | 2室1厅 | 66.7平米 | 南 北 | 精装 | 有电梯', '中楼层(共7层)1998年建板塔结合  -  迈皋桥', '168万', '单价25188元/平米')
('https://image1.ljcdn.com/120000-inspection/56fdba75-882e-4c67-92b6-bcd4f98f74ba.jpg.296x216.jpg', '万科物业   开发商装修   满二   位置好', '万科金色领域  | 3室1厅 | 128.35平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2013年建板楼  -  仙林', '440万', '单价34282元/平米')
('https://image1.ljcdn.com/320100-inspection/6460c1da-b4af-45f6-8729-7dba3654f5ec.jpg.296x216.jpg', '万达茂商圈 高楼层 采光佳 满二年了', '保利罗兰春天  | 3室2厅 | 121.95平米 | 南 | 毛坯 | 有电梯', '高楼层(共20层)2016年建板楼  -  仙林', '400万', '单价32801元/平米')
('https://image1.ljcdn.com/320100-inspection/cd4d1cf5-c77c-416c-a0f3-7d08e03d2109.jpg.296x216.jpg', '迈皋桥 长营村15号 刚改两房 交通方便', '长营村  | 2室1厅 | 69.61平米 | 南 北 | 简装 | 有电梯', '高楼层(共7层)1998年建板塔结合  -  迈皋桥', '160万', '单价22986元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload3285e9df-04f1-4008-8a65-8f4d3b7eb371.jpg.296x216.jpg', '东墅山庄  叠墅 带院子  精装修', '东墅山庄   | 独栋别墅 | 4室2厅 | 238.28平米 | 南 北 | 其他 | 无电梯', '4层2008年建暂无数据  -  仙林', '810万', '单价33994元/平米')
('https://image1.ljcdn.com/320100-inspection/c4cf8fd0-3c23-43f4-967a-2754da2b4d53.jpg.296x216.jpg', '迈皋桥 商品房 双南二房 交通便利 房龄新 毛坯', '上城名苑  | 2室1厅 | 79.9平米 | 南 | 毛坯 | 有电梯', '低楼层(共18层)2012年建板楼  -  迈皋桥', '216万', '单价27034元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload719da445-af41-405b-858c-5d4a3bd5559e.jpg.296x216.jpg', '馨怡园 4室2厅 338万', '馨怡园  | 4室2厅 | 124.9平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2007年建塔楼  -  迈皋桥', '338万', '单价27062元/平米')
('https://image1.ljcdn.com/320100-inspection/a6f35bbb-7e52-41bf-b37b-408306af5a71.jpg.296x216.jpg', '南北通透格局  楼层好 采光充足无遮挡 户型方正', '亚东城西区  | 3室1厅 | 107.76平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  仙林', '410万', '单价38048元/平米')
('https://image1.ljcdn.com/320100-inspection/7a681dd2-4a9c-4b98-a98c-eb643288d2b1.jpg.296x216.jpg', '万达茂 总价低 人车分流 湖景房 业主诚心卖', '保利罗兰香谷  | 3室2厅 | 122.62平米 | 东 南 北 | 毛坯 | 有电梯', '低楼层(共18层)2014年建板塔结合  -  仙林', '400万', '单价32622元/平米')
('https://image1.ljcdn.com/320100-inspection/ffad229d-495c-41d7-91d5-eec544758afb.jpg.296x216.jpg', '芝嘉花园 3室2厅 230万', '芝嘉花园  | 3室2厅 | 131.54平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)2007年建板塔结合  -  马群', '230万', '单价17486元/平米')
('https://image1.ljcdn.com/320100-inspection/b6e9e16b-bcad-4b80-b401-eadd7dcb5c92.jpg.296x216.jpg', '南京师范大学 环境优美 户型方正 楼层适中', '南京师范大学茶苑  | 2室1厅 | 83.62平米 | 南 北 | 简装', '中楼层(共5层)2008年建板楼  -  仙林', '265万', '单价31691元/平米')
('https://image1.ljcdn.com/320100-inspection/2efc2413-5b18-4e9e-988a-20cf896e4dd1.jpg.296x216.jpg', '咏梅山庄  南北通透  中间楼层 采光好', '咏梅山庄  | 3室2厅 | 115.71平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  仙林', '378万', '单价32668元/平米')
('https://image1.ljcdn.com/320100-inspection/bdef8d8e-89f8-44ef-b398-4d153275b8af.jpg.296x216.jpg', '百水芊城怡水坊 可做阁楼  毛坯', '百水芊城怡水坊  | 2室1厅 | 62.58平米 | 南 | 其他', '高楼层(共6层)2008年建板塔结合  -  马群', '155万', '单价24769元/平米')
('https://image1.ljcdn.com/320100-inspection/e1ec97af-03a4-4f16-a99b-f18ffce04088.jpg.296x216.jpg', '商品房 毛坯 中间楼层 南边无遮挡采光好 交通便利', '百水家园  | 3室1厅 | 83.77平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  马群', '187万', '单价22324元/平米')
('https://image1.ljcdn.com/320100-inspection/f4e7a758-ae48-4f7e-8e76-445f7ff43d50.jpg.296x216.jpg', '仙林湖 经天路 万达茂 四房 采光好 楼层低', '保利罗兰香谷  | 3室2厅 | 122.09平米 | 东 南 北 | 其他 | 有电梯', '低楼层(共18层)2014年建板塔结合  -  仙林', '410万', '单价33582元/平米')
('https://image1.ljcdn.com/320100-inspection/1ee444a1-40a6-44d9-9ca1-162fe05d4d22.jpg.296x216.jpg', '楼层好 位置好 采光充足无遮挡 业主诚心卖房', '东方天郡西区  | 2室1厅 | 70.07平米 | 南 | 精装 | 有电梯', '高楼层(共14层)2009年建板楼  -  仙林', '295万', '单价42101元/平米')
('https://image1.ljcdn.com/320100-inspection/a03b12e9-0b46-4849-8652-b30a1b49eaa9.jpg.296x216.jpg', '迈皋桥商圈 简装两房 全明户型 采光充足 总价低', '南塑新村  | 2室1厅 | 52.08平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)1988年建板塔结合  -  迈皋桥', '125万', '单价24002元/平米')
('https://image1.ljcdn.com/320100-inspection/d1273ee4-77d3-44b5-b13e-539c79a612e1.jpg.296x216.jpg', '迈皋桥 次顶楼 双南一北 南北通透 满五年 居家装修', '兴贤佳园  | 3室1厅 | 86.63平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2002年建板楼  -  迈皋桥', '205万', '单价23664元/平米')
('https://image1.ljcdn.com/120000-inspection/142daed6-ff1e-4d8e-b285-043af05c8464.jpg.296x216.jpg', '精装三房 南北通透 采光好 诚心出售', '亚东城西区  | 3室2厅 | 129.87平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2009年建板楼  -  仙林', '445万', '单价34266元/平米')
('https://image1.ljcdn.com/320100-inspection/3fa7e8a1-c847-4c18-888b-f15940dce5de.jpg.296x216.jpg', '交通便利 精装修 诚心售卖 配套成熟', '诚品城  | 3室2厅 | 90.49平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2009年建板楼  -  仙林', '269万', '单价29728元/平米')
('https://image1.ljcdn.com/320100-inspection/69dddfac-7987-47dd-a905-016117ae6f68.jpg.296x216.jpg', '电梯房 馨怡园 迈皋桥地铁口 中间楼层 不临街 精装修', '馨怡园  | 3室2厅 | 112.87平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)2007年建塔楼  -  迈皋桥', '325万', '单价28795元/平米')
('https://image1.ljcdn.com/320100-inspection/5d48c47b-a34e-45a9-9cd6-ef4149e486f0.jpg.296x216.jpg', '花园洋房  南北通透 大露台 有地暖 看房方便 满五唯一', '康桥圣菲  | 3室1厅 | 140.44平米 | 南 北 | 其他 | 无电梯', '低楼层(共3层)2006年建板楼  -  仙林', '568万', '单价40445元/平米')
('https://image1.ljcdn.com/320100-inspection/497fb614-d5f5-4f5f-8c67-03145dd90371.jpg.296x216.jpg', '边户  采光充足  小区环境优雅 银城物业负责', '美达浅草明苑  | 3室1厅 | 105.96平米 | 南 北 | 简装 | 有电梯', '低楼层(共11层)2009年建板楼  -  迈皋桥', '330万', '单价31144元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload24a28166-a230-4f9e-a7fa-45282171b4e3.jpg.296x216.jpg', '迈皋桥 南塑新村 两房 拎包入住 诚售', '南塑新村  | 2室1厅 | 47.01平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1988年建板塔结合  -  迈皋桥', '127万', '单价27016元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploada603cdfc-ed41-461d-a2cb-f54c044c3a69.jpg.296x216.jpg', '大地伊丽雅特湾 经典一居室 70年产权  电梯房 满五年', '大地伊丽雅特湾  | 1室1厅 | 49.88平米 | 东 南 | 精装 | 有电梯', '中楼层(共10层)2010年建板楼  -  晓庄', '118万', '单价23657元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload49a9ef20-248c-42e4-92ab-ee770b75aa5f.jpg.296x216.jpg', '正南单室套 楼层好  采光充足  亚东商圈', '亚东城东区  | 1室1厅 | 51.57平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2007年建塔楼  -  仙林', '205万', '单价39752元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload6dc60c5a-5dfb-4d6c-8427-f4eb4cda5797.jpg.296x216.jpg', '左右阳光 户型方正 精装修 边户 拎包入住', '仙踪林苑  | 4室2厅 | 139.42平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2012年建板楼  -  迈皋桥', '556万', '单价39880元/平米')
('https://image1.ljcdn.com/120000-inspection/71fe8af2-ce69-47be-9176-3c3b2efe46d5.jpg.296x216.jpg', '东方天郡西区 满二 东边户 精装修带地暖 小区中间', '东方天郡西区  | 3室2厅 | 127.89平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  仙林', '490万', '单价38315元/平米')
('https://image1.ljcdn.com/320100-inspection/test-08495c20-06ea-4b4c-8628-6b8b93863e72.png.296x216.jpg', '南北通透，采光无遮挡，小区环境好', '仙龙湾山庄  | 2室2厅 | 92.22平米 | 南 北 | 简装 | 有电梯', '高楼层(共6层)2010年建板楼  -  仙林', '328万', '单价35568元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_upload579f6877-f35e-4279-963e-fa2687ab7472.jpg.296x216.jpg', '迈皋桥 方圆绿茵 三室两厅 精装修 诚售', '方圆绿茵  | 3室2厅 | 103.88平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  迈皋桥', '318万', '单价30613元/平米')
('https://image1.ljcdn.com/320100-inspection/6dd895e8-b1cf-48f5-8bd3-4deeed0e31b3.jpg.296x216.jpg', '仙林湖 万达茂 素质住户 人车分流 满二', '高科荣境  | 4室2厅 | 177.21平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2015年建板楼  -  仙林', '630万', '单价35552元/平米')
('https://image1.ljcdn.com/320100-inspection/9cbe8443-690b-4805-bffa-43629da465af.jpg.296x216.jpg', '07年房龄 带电梯 跃层 阁楼露台不算面积 北望紫金山', '东景花园  | 3室2厅 | 77.93平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)2007年建板楼  -  马群', '287万', '单价36828元/平米')
('https://image1.ljcdn.com/320100-inspection/rsp_pic_uploadbaa346ad-f3c8-45e8-a19f-347b8d8f0c47.jpg.296x216.jpg', '和燕路小区  精装修  三房  全明户型  生活配套齐全', '和燕路小区  | 3室1厅 | 84.5平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)1998年建板楼  -  晓庄', '225万', '单价26628元/平米')
('https://image1.ljcdn.com/320100-inspection/49159bf4-06c1-4b3a-97a3-cfdfa6c786ee.jpg.296x216.jpg', '马群三房领包入住送阁楼，业主诚心出售。', '天悦花园  | 3室2厅 | 84.96平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  马群', '232万', '单价27307元/平米')
('https://image1.ljcdn.com/320100-inspection/7ca906e4-b6d0-4f23-b388-438b2aab7d52.jpg.296x216.jpg', '晓庄 和燕路 单室套 电梯房 晓庄广场', '大地伊丽雅特湾  | 1室1厅 | 50.63平米 | 西 | 其他 | 有电梯', '中楼层(共10层)2010年建板楼  -  晓庄', '120万', '单价23702元/平米')
('https://image1.ljcdn.com/320100-inspection/868253b8-96fe-49c5-b1a7-f134a5de35cc.jpg.296x216.jpg', '精装修 满五年唯一 诚心出售 位置好', '南大和园  | 3室2厅 | 125.24平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  仙林', '518万', '单价41361元/平米')
('https://image1.ljcdn.com/320100-inspection/a8d72982-6256-4970-8af9-d79e604cbe15.JPG.296x216.jpg', '婚装跃层 南北通透  小区中间 满5年 诚售', '阳光雅居  | 3室2厅 | 129.92平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2005年建板楼  -  万寿', '330万', '单价25401元/平米')
('https://image1.ljcdn.com/120000-inspection/5a5c5b04-9f5d-4f98-b527-fe26e2ef1df0.jpg.296x216.jpg', '东墅山庄  带院子 精装修   东边户 可以拎包入住', '东墅山庄   | 独栋别墅 | 4室2厅 | 238.14平米 | 南 北 | 其他 | 无电梯', '4层2008年建暂无数据  -  仙林', '780万', '单价32754元/平米')
('https://image1.ljcdn.com/320100-inspection/06f1153c-95b4-498a-8f3b-96eebdba5286.jpg.296x216.jpg', '产权置换 楼层好 房龄新 两卧朝南  纯毛坯', '花港幸福城金桂园  | 2室1厅 | 68.42平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2013年建板塔结合  -  麒麟镇', '143万', '单价20901元/平米')
('https://image1.ljcdn.com/320100-inspection/ca4c13f1-4db7-48c7-8e5f-803746f4a8c7.jpg.296x216.jpg', '栖霞建设 免增值税 居家装修 采光充足 小区环境优美', '东方天郡西区  | 2室2厅 | 77.91平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  仙林', '300万', '单价38506元/平米')
('https://image1.ljcdn.com/320100-inspection/5c8736c2-7ca4-417f-9357-b9873100ae3e.jpg.296x216.jpg', '金纺园 顶楼跃层 交通方便 采光好', '金纺园  | 5室2厅 | 117.15平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板塔结合  -  迈皋桥', '260万', '单价22194元/平米')
('https://image1.ljcdn.com/320100-inspection/99300ec6-2972-478f-bbcd-a2324626170b.jpg.296x216.jpg', '位置楼层好 生活便利 楼下就是超市和小诊所', '南湾营煦康苑  | 3室1厅 | 87.61平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2008年建塔楼  -  马群', '175万', '单价19975元/平米')
('https://image1.ljcdn.com/320100-inspection/04d3a5f3-c72e-40a6-a09a-90c74ee19176.jpg.296x216.jpg', '馨怡园  精装修 大四房 楼层好 采光好 视野广 全明', '馨怡园  | 4室2厅 | 120.07平米 | 南 北 | 精装 | 有电梯', '高楼层(共17层)2007年建塔楼  -  迈皋桥', '345万', '单价28734元/平米')
('https://image1.ljcdn.com/320100-inspection/ce889adc-0eb1-47c4-bf5c-f2e27b4aec16.jpg.296x216.jpg', '仙林 花园洋房 电梯入户  保利物业 交通便利 生活方便', '保利紫晶山  | 4室2厅 | 169.56平米 | 南 北 | 其他 | 有电梯', '低楼层(共6层)2010年建板楼  -  马群', '600万', '单价35386元/平米')
('https://image1.ljcdn.com/320100-inspection/72e25206-333d-4905-8a08-eb8d55133fc1.jpg.296x216.jpg', '南北通透 低楼层 有采光 有装修', '阳光雅居  | 3室1厅 | 119.23平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共6层)2003年建板楼  -  万寿', '295万', '单价24743元/平米')
('https://image1.ljcdn.com/320100-inspection/0597cdab-e226-4f61-9ec0-4cc06d9aadfb.jpg.296x216.jpg', '金尧花园 3室1厅 175万', '金尧花园  | 3室1厅 | 79.01平米 | 南 | 简装', '低楼层(共6层)暂无数据  -  尧化门', '175万', '单价22150元/平米')
('https://image1.ljcdn.com/320100-inspection/f808a2fa-6b2c-4bb5-a27c-71db16458a69.jpg.296x216.jpg', '迈皋桥商圈 方圆绿茵 南北通透 电梯房 东边户满五唯一', '方圆绿茵  | 2室2厅 | 90.3平米 | 南 北 | 精装 | 有电梯', '中楼层(共9层)2004年建板楼  -  迈皋桥', '262万', '单价29015元/平米')
('https://image1.ljcdn.com/320100-inspection/250e715c-02eb-46ea-8f00-f8392141c328.jpg.296x216.jpg', '配套齐全，交通便利 采光好 户型方正', '复地御钟山二期  | 4室2厅 | 228.15平米 | 南 | 其他 | 有电梯', '高楼层(共7层)2015年建板楼  -  马群', '1050万', '单价46023元/平米')
('https://image1.ljcdn.com/320100-inspection/744eefbe-1562-4184-ae7c-265a6f9ee2e6.jpg.296x216.jpg', '晓庄47号小区 居家装修 环境优美 采光好 行之园', '晓庄47号小区  | 2室1厅 | 66.93平米 | 南 | 简装 | 无电梯', '中楼层(共6层)1995年建板楼  -  晓庄', '173万', '单价25848元/平米')
('https://image1.ljcdn.com/320100-inspection/9b6c3bbb-611b-4b82-9641-14cb3979c6fc.jpg.296x216.jpg', '仙林咏梅山庄 满五唯一 南北通透 拎包即住 户型好', '咏梅山庄  | 2室2厅 | 93.77平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  仙林', '307万', '单价32740元/平米')
('https://image1.ljcdn.com/320100-inspection/e8c2d1ea-4953-4716-9e45-d4f4c62d1463.jpg.296x216.jpg', '精装修 南北通透 一梯一户 视野开阔', '赛世香樟园  | 4室2厅 | 166.13平米 | 南 北 | 其他 | 有电梯', '中楼层(共18层)2009年建板楼  -  仙林', '580万', '单价34913元/平米')
('https://image1.ljcdn.com/320100-inspection/19117ca8-6e4b-4e4e-bb48-24bbf623770b.jpg.296x216.jpg', '万达茂 仙林湖 春天 精装标准三房 三面采光', '保利罗兰春天  | 3室2厅 | 94.45平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2016年建板楼  -  仙林', '343万', '单价36316元/平米')
('https://image1.ljcdn.com/320100-inspection/36b0ead3-6af1-4fc0-adaf-ad0685b70f1c.jpg.296x216.jpg', '交通方便 生活配套齐全 采光充足 楼层佳 产权清晰', '晓庄国际广场  | 3室1厅 | 112.83平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2012年建板楼  -  晓庄', '285万', '单价25260元/平米')
('https://image1.ljcdn.com/320100-inspection/c3275bac-0bc6-466a-9b3b-384e2952e0bc.jpg.296x216.jpg', '栖霞区 和燕路小区 双南 全明户型 商品房  前后不遮挡', '和燕路小区  | 2室1厅 | 69.1平米 | 南 | 简装 | 有电梯', '高楼层(共7层)1998年建板楼  -  晓庄', '160万', '单价23155元/平米')
('https://image1.ljcdn.com/320100-inspection/561a1852-25f8-40e4-bd85-1f486ec49296.jpg.296x216.jpg', '亚东城东区 满五年唯一 顶跃 原始户型客厅挑空', '亚东城东区  | 5室2厅 | 146.45平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2007年建板楼  -  仙林', '570万', '单价38922元/平米')
('https://image1.ljcdn.com/320100-inspection/2dc3a2bd-3a7e-4cff-9a25-cf1dff68e5c2.jpg.296x216.jpg', '星叶枫情水岸 4室2厅 688万', '星叶枫情水岸  | 4室2厅 | 207.81平米 | 南 北 | 其他 | 有电梯', '高楼层(共11层)2015年建板楼  -  仙林', '688万', '单价33108元/平米')
