('https://image1.ljcdn.com/420100-inspection/test-99411fed-11d8-4853-8687-37731914a036.png.296x216.jpg', '阳逻保利圆梦城 3房2厅1厨2卫 毛坯现房', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '90万', '单价8388元/平米')
('', '城市广场 2室2厅 72万', '城市广场  | 2室2厅 | 87.53平米 | 南 | 其他', '中楼层(共24层)暂无数据  -  阳逻', '72万', '单价8226元/平米')
('https://image1.ljcdn.com/420100-inspection/3ded23a4-2e57-49b7-bcc6-31a9fdf54a6a.jpg.296x216.jpg', '保利圆梦城毛坯四房，坐北朝南，电梯房!', '保利圆梦城十区  | 4室2厅 | 135.49平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '115万', '单价8488元/平米')
('', '保利圆梦城十区 四房两卫 视野开阔 绿化好', '保利圆梦城十区  | 4室2厅 | 135.44平米 | 南 北 | 其他', '中楼层(共34层)暂无数据  -  阳逻', '125万', '单价9230元/平米')
('', '湖滨花园 3室2厅 100万', '湖滨花园  | 3室2厅 | 113平米 | 南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  阳逻', '100万', '单价8850元/平米')
('https://image1.ljcdn.com/420100-inspection/ee3417db-ff5d-4419-950b-c99565ec50e2.jpg.296x216.jpg', '阳逻中-央花园城毛2房。南北通透，稀-缺户型', '阳光新港中央花园城  | 2室2厅 | 89平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '70万', '单价7866元/平米')
('', '城市广场 3室2厅 92万', '城市广场  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共24层)暂无数据  -  阳逻', '92万', '单价8000元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f7ed9546-263d-417d-95e0-5f8bc4f97669.png.296x216.jpg', '欣隆湖滨半岛 四室两厅两卫 中高楼层 南北通透 证满', '欣隆湖滨半岛  | 4室2厅 | 129平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  阳逻', '115万', '单价8915元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4793d391-f988-46a2-a2d7-4f20c61c6968.png.296x216.jpg', '阳逻欣隆湖滨半岛4房2卫，证满，采光充足，中间楼层', '欣隆湖滨半岛  | 4室2厅 | 129.95平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  阳逻', '115万', '单价8850元/平米')
('', '锦阳花园 毛坯两房 两证两年 房东诚心出售', '锦阳花园  | 2室2厅 | 100平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共7层)暂无数据  -  阳逻', '72万', '单价7200元/平米')
('https://image1.ljcdn.com/420100-inspection/13fa55c2-c798-48d6-87c4-0008c0c1cf44.jpg.296x216.jpg', '阳逻佳阳国际毛坯大3房，南北通透，采光充足，', '佳阳国际  | 3室2厅 | 137.48平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '96万', '单价6983元/平米')
('', '城市广场 2室2厅 77万', '城市广场  | 2室2厅 | 87.44平米 | 南 | 其他', '高楼层(共24层)暂无数据  -  阳逻', '77万', '单价8807元/平米')
('https://image1.ljcdn.com/420100-inspection/857fba5d-3ec4-478f-b641-ead0992d62c3.jpg.296x216.jpg', '阳逻保利圆梦城毛坯三房，户型正，采光好，方便看房', '保利圆梦城九区  | 3室2厅 | 95.54平米 | 南 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '80万', '单价8374元/平米')
('', '保利圆梦城十区 3室2厅 92万', '保利圆梦城十区  | 3室2厅 | 107.3平米 | 南 北 | 其他', '高楼层(共34层)暂无数据  -  阳逻', '92万', '单价8575元/平米')
('', '武汉SOHO 3室1厅 32万', '武汉SOHO  | 3室1厅 | 52.15平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2014年建塔楼  -  阳逻', '32万', '单价6137元/平米')
('https://image1.ljcdn.com/420100-inspection/2e710c95-40b0-4df2-a05c-a7fead883c0f.jpg.296x216.jpg', '阳逻中-央花园城毛坯3房，南北通透，采光好', '阳光新港中央花园城  | 3室2厅 | 124平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '113万', '单价9113元/平米')
('', '怡馨花园 3室2厅 73万', '怡馨花园  | 3室2厅 | 107平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  阳逻', '73万', '单价6823元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7d2a2106-73fd-4277-8698-736700fc6edb.png.296x216.jpg', '阳逻御龙新城毛坯三房，中间楼层，证满两年，后期费低', '长江御龙新城  | 3室2厅 | 137.23平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '120万', '单价8745元/平米')
('', '泊湖湾 3室2厅 113万', '泊湖湾  | 3室2厅 | 125平米 | 南 北 | 其他', '中楼层(共32层)2014年建板楼  -  阳逻', '113万', '单价9040元/平米')
('', '阳逻武汉SOHO  三房 上下两层  单层52平 诚意出售', '武汉SOHO  | 2室1厅 | 56.3平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2014年建板楼  -  阳逻', '30万', '单价5329元/平米')
('https://image1.ljcdn.com/420100-inspection/e4290925-0a92-4437-8243-cfd768c13b50.jpg.296x216.jpg', '阳逻保利圆梦城南北通透3房，现房随时看，', '保利圆梦城十区  | 3室2厅 | 115平米 | 南 北 | 其他', '低楼层(共34层)暂无数据  -  阳逻', '90万', '单价7827元/平米')
('', '保利圆梦城，精装四房，楼层好，前后无遮挡，2证满2.', '保利圆梦城金玉苑  | 4室2厅 | 128平米 | 南 北 | 其他', '中楼层(共33层)暂无数据  -  阳逻', '126万', '单价9844元/平米')
('', '怡馨花园 2室1厅 60万', '怡馨花园  | 2室1厅 | 110平米 | 南 | 其他', '低楼层(共7层)暂无数据  -  阳逻', '60万', '单价5455元/平米')
('https://image1.ljcdn.com/420100-inspection/test-2ac384a5-b9ae-4fd6-8fd6-733a6d40615b.png.296x216.jpg', '阳逻中 央花园城80平毛坯两房，中间楼层 视野开阔67万', '阳光新港中央花园城  | 2室2厅 | 80平米 | 南 | 其他', '低楼层(共17层)2018年建板楼  -  阳逻', '67万', '单价8375元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7be75ad0-f48d-47aa-bd62-2f940259196d.png.296x216.jpg', '水映澜湾 全新精装两房 看房方便', '水映澜湾  | 2室2厅 | 97平米 | 南 | 其他', '低楼层(共14层)暂无数据  -  阳逻', '65万', '单价6702元/平米')
('', '湖滨花园 3室2厅 75万', '湖滨花园  | 3室2厅 | 103平米 | 南 | 其他 | 无电梯', '中楼层(共6层)暂无数据  -  阳逻', '75万', '单价7282元/平米')
('https://image1.ljcdn.com/420100-inspection/e6b2839d-46f5-42f7-afe0-506329e4b32f.jpg.296x216.jpg', '阳逻保利圆梦城一线湖景3居室，房子采光好证满2年', '保利圆梦城金玉苑  | 3室2厅 | 88.97平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '78万', '单价8768元/平米')
('', '保利圆梦城，简装小三房，中间楼层，采光好', '保利圆梦城金玉苑  | 3室2厅 | 90平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '80万', '单价8889元/平米')
('', '武汉SOHO 3室2厅 31万', '武汉SOHO  | 3室2厅 | 47平米 | 南 | 其他', '中楼层(共18层)2015年建塔楼  -  阳逻', '31万', '单价6596元/平米')
('https://image1.ljcdn.com/420100-inspection/test-3f20c5c8-8f77-4945-b4af-135c9b1299a2.png.296x216.jpg', '阳逻香榭花都毛坯房，采光充足，有钥匙随时看房', '香榭花都  | 3室2厅 | 90.35平米 | 南 北 | 其他', '低楼层(共27层)暂无数据  -  阳逻', '78万', '单价8634元/平米')
('', '锦绣家园 2室2厅 50万', '锦绣家园  | 2室2厅 | 93平米 | 东 | 其他', '高楼层(共9层)暂无数据  -  阳逻', '50万', '单价5377元/平米')
('', '怡馨花园 3室2厅 65万', '怡馨花园  | 3室2厅 | 115平米 | 南 北 | 其他', '中楼层(共7层)暂无数据  -  阳逻', '65万', '单价5653元/平米')
('https://image1.ljcdn.com/420100-inspection/95d27364-7a38-4d49-9152-0077214e4617.jpg.296x216.jpg', '天琴湾 2室1厅 65万', '天琴湾  | 2室1厅 | 80.8平米 | 南 北 | 其他', '高楼层(共6层)2009年建板楼  -  阳逻', '65万', '单价8045元/平米')
('', '阳逻保利圆梦城别墅区  129平四房 中间楼层', '保利圆梦城金玉苑  | 4室2厅 | 128平米 | 南 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '120万', '单价9375元/平米')
('', '长江御龙新城户型方正，南北通透，环境优雅居住舒适！', '长江御龙新城  | 2室2厅 | 93平米 | 南 北 | 其他', '低楼层(共18层)2013年建板楼  -  阳逻', '80万', '单价8603元/平米')
('https://image1.ljcdn.com/420100-inspection/test-442e2c66-fc83-4203-bfd9-e6c7c2e908db.png.296x216.jpg', '东方新天地 2室2厅 65万', '东方新天地  | 2室2厅 | 87.96平米 | 南 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '65万', '单价7390元/平米')
('https://image1.ljcdn.com/420100-inspection/5139a2ef-364e-4658-ad61-ab3401ecda96.jpg.296x216.jpg', '湖滨花园 2室2厅 80万', '湖滨花园  | 2室2厅 | 87.54平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '80万', '单价9139元/平米')
('', '阳逻保利圆梦城别墅区 三室两厅带装修 中间楼层', '保利圆梦城金玉苑  | 3室2厅 | 88平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '100万', '单价11364元/平米')
('', '东城明珠大三房 两证满2年 小区环境优美 出入方便', '东城明珠  | 3室2厅 | 120平米 | 南 北 | 毛坯', '中楼层(共22层)2014年建板楼  -  阳逻', '102万', '单价8500元/平米')
('https://image1.ljcdn.com/420100-inspection/test-7316ebf8-af2f-4d80-a81b-47973c964187.png.296x216.jpg', '住开盛世长江 2室2厅 63万', '住开盛世长江  | 2室2厅 | 97平米 | 南 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '63万', '单价6495元/平米')
('', '阳逻金色港湾 3室2厅 85万', '阳逻金色港湾  | 3室2厅 | 119.5平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2017年建板楼  -  阳逻', '85万', '单价7113元/平米')
('', '枫清泊静 2室2厅 60万', '枫清泊静  | 2室2厅 | 84平米 | 南 | 其他', '低楼层(共12层)暂无数据  -  阳逻', '60万', '单价7143元/平米')
('https://image1.ljcdn.com/420100-inspection/test-70ef3f1c-359a-45d9-be17-5113fb1d22e9.png.296x216.jpg', '阳逻湖滨半岛115平通透户型中间楼层，毛坯三房95万', '欣隆湖滨半岛  | 3室2厅 | 115平米 | 南 北 | 其他', '中楼层(共11层)2012年建板楼  -  阳逻', '95万', '单价8261元/平米')
('https://image1.ljcdn.com/420100-inspection/test-61577aa0-b8ef-45a9-8c1d-4811a674ca70.png.296x216.jpg', '保利圆梦城，精装两房，房东置换，诚心出售', '保利圆梦城二区  | 2室2厅 | 87.55平米 | 南 | 其他 | 有电梯', '低楼层(共34层)2012年建板楼  -  阳逻', '88万', '单价10052元/平米')
('', '武汉SOHO 1室0厅 33万', '武汉SOHO  | 1室0厅 | 44.36平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2014年建塔楼  -  阳逻', '33万', '单价7440元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ff450b68-be1e-448a-9bb1-ab01bead9e3a.png.296x216.jpg', '住开盛世长江 2室2厅 63万', '住开盛世长江  | 2室2厅 | 97平米 | 南 北 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '63万', '单价6495元/平米')
('https://image1.ljcdn.com/420100-inspection/test-d3adf4d0-d6e4-4cba-ba3e-8c351abed6bf.png.296x216.jpg', '锦阳花园 精装修3居室2厅 老证无贷款 满五唯一 急售', '锦阳花园  | 3室2厅 | 105平米 | 南 北 | 其他', '低楼层(共7层)暂无数据  -  阳逻', '78万', '单价7429元/平米')
('', '新澳城市印象 1室1厅 45万', '新澳城市印象  | 1室1厅 | 60平米 | 南 | 其他', '高楼层(共30层)2013年建板楼  -  阳逻', '45万', '单价7500元/平米')
('https://image1.ljcdn.com/420100-inspection/b01b8e03-8266-4529-8cff-54ed8c44a01a.jpg.296x216.jpg', '新澳城市印象毛坯大三房，明厨明卫，通风采光好！', '新澳城市印象  | 3室2厅 | 108平米 | 南 北 | 其他 | 有电梯', '高楼层(共29层)2013年建板楼  -  阳逻', '90万', '单价8334元/平米')
('', '阳逻保利圆梦城毛坯4房，证满5年免增值税', '保利圆梦城金玉苑  | 4室2厅 | 124.77平米 | 南 北 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '110万', '单价8817元/平米')
('', '东城明珠 4室2厅 110万', '东城明珠  | 4室2厅 | 166.15平米 | 南 | 毛坯', '高楼层(共19层)2014年建板楼  -  阳逻', '110万', '单价6621元/平米')
('https://image1.ljcdn.com/420100-inspection/7e77fa78-97a8-4509-90fc-19042bdff304.jpg.296x216.jpg', '水映澜湾 2室2厅 65万', '水映澜湾  | 2室2厅 | 90.02平米 | 南 | 精装', '中楼层(共14层)暂无数据  -  阳逻', '65万', '单价7221元/平米')
('', '莱茵城 3室2厅 70万', '莱茵城  | 3室2厅 | 98.2平米 | 南 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '70万', '单价7129元/平米')
('', '阳逻天琴湾湖景大4房，精装修，绿化覆盖面积大', '天琴湾  | 4室2厅 | 149平米 | 南 北 | 其他', '中楼层(共5层)2010年建板楼  -  阳逻', '180万', '单价12081元/平米')
('https://image1.ljcdn.com/420100-inspection/4739bd97-7937-49f0-85e8-3ed700e8efc8.jpg.296x216.jpg', '阳逻中 央花园城95平两房，独特八角飘窗，超大客厅', '阳光新港中央花园城  | 2室2厅 | 95.31平米 | 南 | 其他', '低楼层(共11层)暂无数据  -  阳逻', '78万', '单价8184元/平米')
('', '阳逻佳阳国际毛坯大3房，房子采光充足，南北通透', '佳阳国际  | 3室2厅 | 137.48平米 | 南 北 | 其他', '中楼层(共11层)暂无数据  -  阳逻', '105万', '单价7638元/平米')
('', '东城明珠 2室2厅 68万', '东城明珠  | 2室2厅 | 86.15平米 | 南 | 其他', '低楼层(共22层)2014年建板楼  -  阳逻', '68万', '单价7894元/平米')
('https://image1.ljcdn.com/420100-inspection/test-3d90a2b2-31b3-4780-92c4-b4e9acd1a2b0.png.296x216.jpg', '阳逻老城区泊湖湾，毛坯大三房，证满2，视野开阔。', '泊湖湾  | 3室2厅 | 132.5平米 | 南 北 | 其他', '中楼层(共18层)2013年建板楼  -  阳逻', '112万', '单价8453元/平米')
('', '东城明珠 4室2厅 100万', '东城明珠  | 4室2厅 | 131.75平米 | 南 | 其他', '高楼层(共10层)暂无数据  -  阳逻', '100万', '单价7591元/平米')
('', '阳逻天琴湾湖景房4居室，大露台，精装修，环境好', '天琴湾  | 4室2厅 | 138平米 | 南 北 | 其他', '中楼层(共5层)2010年建板楼  -  阳逻', '170万', '单价12319元/平米')
('https://image1.ljcdn.com/420100-inspection/test-a11de5c0-ce81-423b-aadc-47502b7cfe3f.png.296x216.jpg', '阳逻中 央花园城证满两年无贷款南北户型毛坯大三房', '阳光新港中央花园城  | 3室2厅 | 104.6平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '92万', '单价8796元/平米')
('', '阳逻湖滨半岛轻-轨毛坯3房，主卧客厅朝南，采光充足', '欣隆湖滨半岛  | 3室2厅 | 101平米 | 南 | 其他', '低楼层(共18层)2012年建板楼  -  阳逻', '100万', '单价9901元/平米')
('', '祥和世纪城 3室2厅 108万', '祥和世纪城  | 3室2厅 | 123平米 | 南 北 | 其他', '中楼层(共28层)2013年建板楼  -  新洲其它', '108万', '单价8781元/平米')
('https://image1.ljcdn.com/420100-inspection/test-d501c0e5-ec30-4e05-8bcc-668794799676.png.296x216.jpg', '中 央花园城，毛坯三房，南北通透，房东诚心出售。', '阳光新港中央花园城  | 3室2厅 | 110平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  阳逻', '86万', '单价7819元/平米')
('', '泊湖湾 2室2厅 70万', '泊湖湾  | 2室2厅 | 88平米 | 南 | 其他', '低楼层(共18层)2013年建板楼  -  阳逻', '70万', '单价7955元/平米')
('', '保利圆梦城六区 4室2厅 130万', '保利圆梦城六区  | 4室2厅 | 130平米 | 南 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '130万', '单价10000元/平米')
('https://image1.ljcdn.com/420100-inspection/54aa14b4-f14f-40ac-a45c-40f48839a939.jpg.296x216.jpg', '佳阳国际小区环境优美，南北通透，采光充足，户型方正', '佳阳国际  | 5室2厅 | 209平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '140万', '单价6699元/平米')
('', '保利圆梦城 四房 南北通透 户型方正 诚心出售', '保利圆梦城三区  | 4室2厅 | 122平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  阳逻', '120万', '单价9837元/平米')
('', '祥和世纪城 3室2厅 103万', '祥和世纪城  | 3室2厅 | 126平米 | 南 | 其他', '高楼层(共28层)2013年建板楼  -  新洲其它', '103万', '单价8175元/平米')
('https://image1.ljcdn.com/420100-inspection/test-4d76ebd9-da1b-4bf8-bfbb-06ab1bb90b65.png.296x216.jpg', '阳逻中-央花园城毛坯3房，南北通透，中间楼层', '阳光新港中央花园城  | 3室2厅 | 111.88平米 | 南 北 | 其他', '高楼层(共18层)暂无数据  -  阳逻', '93万', '单价8313元/平米')
('', '阳逻东方佳园大2居室，采光极好，中高楼层，出行方便', '东方佳园  | 2室1厅 | 99平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  新洲其它', '75万', '单价7576元/平米')
('', '阳逻水映澜湾2房2厅毛坯现房诚心出售 价格美丽', '水映澜湾  | 2室2厅 | 95.39平米 | 南 | 其他', '低楼层(共14层)暂无数据  -  阳逻', '62万', '单价6500元/平米')
('https://image1.ljcdn.com/420100-inspection/576f24d7-dab9-4d30-8c1b-3e7fc289d68e.jpg.296x216.jpg', '金色水岸 2室1厅 56万', '金色水岸  | 2室1厅 | 92平米 | 南 | 其他', '低楼层(共13层)暂无数据  -  阳逻', '56万', '单价6087元/平米')
('', '保利圆梦城 大三房 户型方正 南北通透 满五唯一', '保利圆梦城二区  | 3室2厅 | 109.64平米 | 南 北 | 其他', '低楼层(共34层)2012年建板塔结合  -  阳逻', '108万', '单价9851元/平米')
('', '碧水云天 3室2厅 65万', '碧水云天  | 3室2厅 | 100.6平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  阳逻', '65万', '单价6462元/平米')
('', '新洲 阳逻开发区 新澳城市印象 中间楼层 131平无后期', '新澳城市印象  | 3室2厅 | 131平米 | 南 | 其他 | 有电梯', '中楼层(共27层)2013年建板楼  -  阳逻', '98万', '单价7481元/平米')
('https://image1.ljcdn.com/420100-inspection/test-b19bb63a-2efa-42cc-a610-8cf322700661.png.296x216.jpg', '住开盛世长江 3室1厅 55万', '住开盛世长江  | 3室1厅 | 95.58平米 | 南 | 其他', '高楼层(共18层)板楼  -  阳逻', '55万', '单价5755元/平米')
('', '新澳城市印象 1室1厅 48万', '新澳城市印象  | 1室1厅 | 60平米 | 西 北 | 其他 | 有电梯', '高楼层(共27层)2013年建板楼  -  阳逻', '48万', '单价8000元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e865b1ec-6c11-4f45-bbd4-ecae7b4f0229.png.296x216.jpg', '阳逻香榭花都毛坯三房，采光充足，有钥匙随时看房', '香榭花都  | 2室2厅 | 104.91平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  阳逻', '78万', '单价7435元/平米')
('', '阳逻风荷园，毛坯三房。产权清晰，随时看房。', '风荷苑  | 3室2厅 | 102平米 | 南 北 | 其他', '中楼层(共18层)暂无数据  -  阳逻', '80万', '单价7844元/平米')
