('https://image1.ljcdn.com/410100-inspection/13399e0d-8de0-4980-93e3-09a78e0d9058.jpg.296x216.jpg', '金沙湖高尔夫观邸，观景房，高档社区，业主诚心出售', '金沙湖高尔夫观邸  ', '低楼层(共27层)暂无数据  -  第八大街', '500万', '单价16779元/平米')
('https://image1.ljcdn.com/410100-inspection/329e9973-338c-447d-9177-78e850f0a06d.jpg.296x216.jpg', '富田九鼎世家 中式装修三房 中间楼层 房东诚心出售', '富田九鼎世家  ', '高楼层(共25层)板塔结合  -  第三大街', '295万', '单价21377元/平米')
('https://image1.ljcdn.com/410100-inspection/21017536-d3d0-49e1-ab8f-b5d22d29cd60.jpg.296x216.jpg', '经开区朝凤路繁华社区远大理想城通透三房诚售！', '远大理想城  ', '中楼层(共33层)板塔结合  -  第三大街', '205万', '单价16142元/平米')
('https://image1.ljcdn.com/410100-inspection/test-21a3ed91-18d9-4928-928e-4c5e1c2b127b.png.296x216.jpg', '恒大绿洲精装修 两居室 诚心出售', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '170万', '单价18515元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload06bde526-2063-47d2-830a-c7bc02c737ae.jpg.296x216.jpg', '满五年，上下分两层，双气，采光好无遮挡，无抵押', '远大理想城  ', '高楼层(共11层)板楼  -  第三大街', '250万', '单价19532元/平米')
('https://image1.ljcdn.com/410100-inspection/a9fbfa88-a4f0-4eb6-8bd9-4dd02f788dff.jpg.296x216.jpg', '房子满五年，精装修，家具家电全送，拎包入住，', '远大理想城  ', '低楼层(共28层)板塔结合  -  第三大街', '225万', '单价18443元/平米')
('https://image1.ljcdn.com/410100-inspection/51270205-140c-4bcf-a59a-f5ba16702a80.jpg.296x216.jpg', '地铁口 ，大四房 送50平大露台，送地下车位', '好望角国际公寓  ', '高楼层(共21层)暂无数据  -  第三大街', '325万', '单价19403元/平米')
('https://image1.ljcdn.com/410100-inspection/test-e7691730-78bd-42ee-a3e2-fdd211c8f1cf.png.296x216.jpg', '亚太花园 南向大两居 满五年 高楼层全天采光无遮挡', '亚太花园  ', '中楼层(共30层)板塔结合  -  第三大街', '171万', '单价15000元/平米')
('https://image1.ljcdn.com/410100-inspection/e862ceb5-078e-46cd-9d83-2d3ba253dac1.jpg.296x216.jpg', '满五不唯一、晶典全南户型、交通便利、视野开阔', '远大理想城  ', '低楼层(共33层)暂无数据  -  第三大街', '145万', '单价17059元/平米')
('https://image1.ljcdn.com/410100-inspection/187485b4-8dd8-4cc6-9028-86bed0ed5a24.jpg.296x216.jpg', '满五年，看房子方便，中间楼层。', '远大理想城  ', '中楼层(共32层)板塔结合  -  第三大街', '195万', '单价16116元/平米')
('https://image1.ljcdn.com/410100-inspection/cfb599fb-a38e-46ed-909b-9576d964b223.jpg.296x216.jpg', '经开品质象征，绿地海珀兰轩，此房小区中间位置！', '绿地海珀兰轩  ', '中楼层(共30层)暂无数据  -  第三大街', '260万', '单价16561元/平米')
('https://image1.ljcdn.com/410100-inspection/test-6840660a-aec0-4cae-812e-6fb3a3bba61c.png.296x216.jpg', '满五年，南北大三居，毛坯，采光好，业主诚心出售', '亚太花园  ', '中楼层(共30层)板塔结合  -  第三大街', '226万', '单价13866元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadca90ad6b-84c7-4021-b59b-17fadfb99323.jpg.296x216.jpg', '房子精装修，采光好，高层视野开阔。业主诚心出售', '远大理想城  ', '高楼层(共33层)板塔结合  -  第三大街', '180万', '单价17476元/平米')
('https://image1.ljcdn.com/410100-inspection/b29c45e0-2bbb-4da7-9a72-a9e5fc321c6d.jpg.296x216.jpg', '远大理想城，三居中装双气，全明户型，满五年', '远大理想城  ', '高楼层(共22层)暂无数据  -  第三大街', '206万', '单价16350元/平米')
('https://image1.ljcdn.com/410100-inspection/74de7584-6519-4c5e-bcf9-d003858f1e09.jpg.296x216.jpg', '东郡蓝湾多层3-4复式房，得房率高南北通透，精装自住', '东郡蓝湾  ', '中楼层(共6层)板楼  -  第三大街', '320万', '单价12699元/平米')
('https://image1.ljcdn.com/410100-inspection/test-4a96928a-d9e0-4020-b06f-570158e114da.png.296x216.jpg', '亚太明珠 南北通透大三房，高楼层全天采光 无遮挡', '亚太明珠  ', '高楼层(共24层)板楼  -  第三大街', '178万', '单价12493元/平米')
('https://image1.ljcdn.com/410100-inspection/6c9c936f-3657-4484-9a98-922a02a4a93f.jpg.296x216.jpg', '此房不满五年，南北通透，楼层好视野佳。', '远大理想城  ', '高楼层(共33层)暂无数据  -  第三大街', '180万', '单价17308元/平米')
('https://image1.ljcdn.com/410100-inspection/10427652-cdae-48fb-9938-5198919656eb.jpg.296x216.jpg', '远大理想城大四房，南北通透通风采光好，居住舒适，', '远大理想城  ', '中楼层(共10层)板塔结合  -  第三大街', '305万', '单价18374元/平米')
('https://image1.ljcdn.com/410100-inspection/test-03f6f416-e9dc-4bc9-bfb4-a0e7449113f9.png.296x216.jpg', '地铁5号线 尽在咫尺 精装修，交通便利，配套齐全', '恒大绿洲  ', '低楼层(共33层)暂无数据  -  第三大街', '160万', '单价17854元/平米')
('https://image1.ljcdn.com/410100-inspection/test-a21d1dde-d4d5-4390-859b-feff4d764e48.png.296x216.jpg', '亚太明珠 南北通透大四居 餐客厅分离动静分区居住舒适', '亚太明珠  ', '低楼层(共24层)板楼  -  第三大街', '234万', '单价12557元/平米')
('https://image1.ljcdn.com/410100-inspection/021a4326-7dbf-4c75-81a4-53c5bd742bc9.jpg.296x216.jpg', '70年产权loft复式，配套比较成熟！！！', '美立方  ', '中楼层(共13层)暂无数据  -  第三大街', '77万', '单价20766元/平米')
('https://image1.ljcdn.com/410100-inspection/88a0875a-a3c2-41e1-9d42-1144d172d74b.jpg.296x216.jpg', '远大理想城 南向两居室 中间楼层全天采光无遮挡', '远大理想城  ', '中楼层(共33层)板塔结合  -  第三大街', '154万', '单价17783元/平米')
('https://image1.ljcdn.com/410100-inspection/48f90967-8cd8-4a74-a98b-9e8103bac84a.jpg.296x216.jpg', '青青美庐325平方精装修3-4层复式别墅', '青青美庐小区  ', '中楼层(共4层)暂无数据  -  第三大街', '560万', '单价17231元/平米')
('https://image1.ljcdn.com/410100-inspection/test-d2a9155b-c20e-4720-9d3c-00b4205b1720.png.296x216.jpg', '富田九鼎两房 送10平地下室 176万 中高楼层 观景房', '富田九鼎世家  ', '高楼层(共26层)板塔结合  -  第三大街', '173万', '单价20474元/平米')
('https://image1.ljcdn.com/410100-inspection/a832dcd8-06bc-4aa0-80fb-53633dee86c0.jpg.296x216.jpg', '远大理想城 南北通透三居室 高楼层 全天采光无遮挡', '远大理想城  ', '高楼层(共22层)暂无数据  -  第三大街', '218万', '单价17440元/平米')
('https://image1.ljcdn.com/410100-inspection/cfaf4d64-e5bb-4827-ac89-eec60c133d26.jpg.296x216.jpg', '满五年无贷款，朝南户型，采光效果好', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '150万', '单价17442元/平米')
('https://image1.ljcdn.com/410100-inspection/68c7b304-e8b0-45b3-8415-ad8e213f21c0.jpg.296x216.jpg', '经开区一大街绿地海珀兰轩162平通透四房三卫诚售！', '绿地海珀兰轩  ', '高楼层(共30层)暂无数据  -  第三大街', '310万', '单价19136元/平米')
('https://image1.ljcdn.com/410100-inspection/098b1703-d32a-4065-9519-c21ffd74937b.jpg.296x216.jpg', '满五年，自住装修，这个价格带一个40平左右的阁楼。', '远大理想城  ', '高楼层(共11层)板楼  -  第三大街', '260万', '单价22609元/平米')
('https://image1.ljcdn.com/410100-inspection/94d80270-05e3-4b53-8bcf-c319c0ca4bcc.jpg.296x216.jpg', '满五年，无抵押，南向大两居，没有遮挡，视野采光好。', '亚太花园  ', '低楼层(共30层)板塔结合  -  第三大街', '176万', '单价15439元/平米')
('https://image1.ljcdn.com/410100-inspection/96f33d95-138f-47dd-9509-6bf12e9f7406.jpg.296x216.jpg', '亚太明珠，三房，纯毛坯，双阳台，户型方正', '亚太明珠  ', '中楼层(共24层)板楼  -  第三大街', '180万', '单价15790元/平米')
('https://image1.ljcdn.com/410100-inspection/test-50e6d7a0-3ff8-4f00-b024-defe6ab561e8.png.296x216.jpg', '房子满五年，精装修，家具家电全送，业主诚心出售。', '远大理想城  ', '高楼层(共16层)板塔结合  -  第三大街', '132万', '单价15875元/平米')
('https://image1.ljcdn.com/410100-inspection/e58d7628-926b-467d-89a5-8cb72344c1e1.jpg.296x216.jpg', '青青美庐4室3厅3卫300平方精装修1-2复式带花园车库', '青青美庐小区  ', '低楼层(共4层)暂无数据  -  第三大街', '550万', '单价18334元/平米')
('https://image1.ljcdn.com/410100-inspection/test-0c84c15b-cdcc-4602-97a8-f7ce7efed422.png.296x216.jpg', '富田九鼎世家，精装修，满两年，看房随时，诚心卖', '富田九鼎世家  ', '高楼层(共25层)板塔结合  -  第三大街', '165万', '单价18795元/平米')
('https://image1.ljcdn.com/410100-inspection/be6f9d53-6630-49b5-9c93-211400cf6d3b.jpg.296x216.jpg', '百度花园 业主自住精装房 满五年', '建达百度花园  ', '高楼层(共7层)板楼  -  第三大街', '170万', '单价14407元/平米')
('https://image1.ljcdn.com/410100-inspection/76b6ba84-dd8e-4209-a686-a5f5310ca86d..-42.jpg.296x216.jpg', '开发商统一高品质精心装修，双气带地暖，自配软装', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '255万', '单价18661元/平米')
('https://image1.ljcdn.com/410100-inspection/test-b3dc03f8-8fb4-41ec-83f3-c08c75d3e9ec.png.296x216.jpg', '恒大绿洲纯南户型，一个月左右过户。', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '178万', '单价19348元/平米')
('https://image1.ljcdn.com/410100-inspection/7aff65ec-f7ff-4efb-82d6-523bba267474.jpg.296x216.jpg', '金沙湖高尔夫官邸 别墅带院 业主诚心出售', '金沙湖高尔夫观邸  ', '低楼层(共2层)暂无数据  -  第八大街', '2500万', '单价77400元/平米')
('https://image1.ljcdn.com/410100-inspection/test-13a399d4-8341-4096-a886-2dbce51865e1.png.296x216.jpg', '亚太明珠 南北通透大三居 高楼层全天采光无遮挡', '亚太明珠  ', '高楼层(共24层)板楼  -  第三大街', '179万', '单价12564元/平米')
('https://image1.ljcdn.com/410100-inspection/6feb86c2-82a4-4126-9735-60a49e2541df.jpg.296x216.jpg', '宏光合园  正规两居 满两年 配套齐全 看房方便', '宏光合园  ', '高楼层(共17层)暂无数据  -  第三大街', '133万', '单价14667元/平米')
('https://image1.ljcdn.com/410100-inspection/cb28682f-3fd4-429a-8386-3790c3279c3d.jpg.296x216.jpg', '送露台40㎡，复式楼，南北通透，标准五房两厅两卫，', '加州第一城  ', '高楼层(共6层)暂无数据  -  第三大街', '198万', '单价11956元/平米')
('https://image1.ljcdn.com/410100-inspection/1ffa29d6-8548-4d2a-b7d4-acf4fc0af524.jpg.296x216.jpg', '阳光名仕广场2室2厅1卫93平方简装修', '大城小室  ', '中楼层(共25层)暂无数据  -  第三大街', '116万', '单价12474元/平米')
('https://image1.ljcdn.com/410100-inspection/test-8d245e3b-4523-44bc-b58f-36cabcec26e6.png.296x216.jpg', '经开远大理想城 双气一室 满五年 无户口', '远大理想城  ', '中楼层(共16层)板塔结合  -  第三大街', '72万', '单价16784元/平米')
('https://image1.ljcdn.com/410100-inspection/e9e599a7-53ca-419e-b2d7-149e8ca80cd0.jpg.296x216.jpg', '悉尼阳光1-2层复式 南北通透 一层带花园 南北通透', '悉尼阳光  ', '低楼层(共6层)板楼  -  第三大街', '310万', '单价15761元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload7976216b-8689-4eb9-8ee4-83ad7b520407.jpg.296x216.jpg', '远大理想城  南向三居室  低楼层  适合有老人居住', '远大理想城  ', '低楼层(共32层)板塔结合  -  第三大街', '183万', '单价17731元/平米')
('https://image1.ljcdn.com/410100-inspection/10dcff87-66f1-4d5a-846b-d2cd78dd2f3f.jpg.296x216.jpg', '远大理想城双气两房，采光好户型好，满五年没贷款', '远大理想城  ', '高楼层(共33层)暂无数据  -  第三大街', '145万', '单价17248元/平米')
('https://image1.ljcdn.com/410100-inspection/02076723-8100-47f9-9dee-e9241246c0e2.jpg.296x216.jpg', '恒大绿洲精装两房，满4年，无差额个税，业主诚心出售', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '160万', '单价19048元/平米')
('https://image1.ljcdn.com/410100-inspection/7b4c1c92-7f98-4430-9c2b-56ea718db87c.jpg.296x216.jpg', '格林假日 满五唯一标间 业主诚心出售', '格林假日  ', '高楼层(共6层)板楼  -  第三大街', '61万', '单价15658元/平米')
('https://image1.ljcdn.com/410100-inspection/aa1864c3-b01a-4d80-9b84-214b13a90343..-68.jpg.296x216.jpg', '远大 双气 地暖 全南户型 客厅带落地阳台', '远大理想城  ', '高楼层(共33层)暂无数据  -  第三大街', '143万', '单价17010元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadf8b3610a-ecc6-437a-8f95-dfbd1152ff6a.jpg.296x216.jpg', '远大理想城 多层花园洋房小户型 超好采光 全明户型', '远大理想城  ', '中楼层(共9层)板楼  -  第三大街', '73万', '单价21727元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload3aad64a6-0bd7-4b43-8b66-1fbaab728f01.jpg.296x216.jpg', '满五年不唯一，一楼带院，带私家车库错层复式南北通透', '悉尼阳光  ', '低楼层(共6层)塔楼  -  第三大街', '330万', '单价15943元/平米')
('https://image1.ljcdn.com/410100-inspection/df98edab-a2f3-43ff-94ac-7cb7549bf65f.jpg.296x216.jpg', '经开自贸区，迷你小户型，70年大产权，孩子上学可落户', '大城小室  ', '高楼层(共25层)暂无数据  -  第三大街', '46万', '单价13143元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload75c8cebb-905b-4892-813a-ab8c37c5de46.jpg.296x216.jpg', '房子满五年，没有抵押，没有贷款。', '远大理想城  ', '低楼层(共6层)板楼  -  第三大街', '220万', '单价19299元/平米')
('https://image1.ljcdn.com/410100-inspection/d0382af3-90b9-45ed-aa88-1a0745771206.jpg.296x216.jpg', '满五年南北通透大三房，带前后花园，送地下室，诚心售', '远大理想城  ', '低楼层(共6层)板楼  -  第三大街', '350万', '单价22021元/平米')
('https://image1.ljcdn.com/410100-inspection/a960e898-5186-4bf1-b2e9-630d0db92776.jpg.296x216.jpg', '70年产权 挑高复式 精装两室 看房方便', '美立方  ', '中楼层(共13层)暂无数据  -  第三大街', '125万', '单价22322元/平米')
('https://image1.ljcdn.com/410100-inspection/578d39f3-fc39-4a4f-a7f8-21183fd8c088.jpg.296x216.jpg', '宏光合园 3室1厅 170万', '宏光合园  ', '低楼层(共17层)塔楼  -  第三大街', '170万', '单价12978元/平米')
('https://image1.ljcdn.com/410100-inspection/3a345191-5885-4a5d-ae62-4dd9e8e295cd.jpg.296x216.jpg', '加州第 一 城  南北通透两房 毛坯 满两年 有差额', '加州第一城  ', '中楼层(共6层)暂无数据  -  第三大街', '142万', '单价14550元/平米')
('https://image1.ljcdn.com/410100-inspection/test-7f4e877d-85f3-4cdd-90ab-e35ab94b0550.png.296x216.jpg', '远大理想城小高层电梯房，有钥匙无贷款，全明户型', '远大理想城  ', '高楼层(共18层)板楼  -  第三大街', '158万', '单价16289元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload4d163623-f36c-48f8-b900-85c636a3f1e3.jpg.296x216.jpg', '南北通透三居，采光好，没有遮挡，业主诚心出售', '远大理想城  ', '高楼层(共33层)板塔结合  -  第三大街', '263万', '单价17950元/平米')
('https://image1.ljcdn.com/410100-inspection/test-e626e19e-9274-4c42-aefe-026323744e9d.png.296x216.jpg', '远大理想城，三室两厅，双气精装房，满五唯一，诚心卖', '远大理想城  ', '中楼层(共11层)板楼  -  第三大街', '196万', '单价17118元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload8fd48e50-bb80-4624-9d89-cab9c2975b11.jpg.296x216.jpg', '房子满五年唯一，看房子提前打电话，随时可看。', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '215万', '单价17623元/平米')
('https://image1.ljcdn.com/410100-inspection/b6511b1d-abbe-41c1-9a36-3f35d261997c.jpg.296x216.jpg', '远大理想城 小区中间 环境优美 经典复式 户型方正', '远大理想城  ', '高楼层(共6层)板楼  -  第三大街', '300万', '单价14564元/平米')
('https://image1.ljcdn.com/410100-inspection/71a86726-b60f-48a2-855f-53f5c1f7587b.jpg.296x216.jpg', '满五唯一  三四楼复式  阳光充足', '格林假日  ', '中楼层(共6层)板楼  -  第三大街', '260万', '单价14017元/平米')
('https://image1.ljcdn.com/410100-inspection/test-c4a86d1f-4243-425d-b277-0e3a1b0c30a4.png.296x216.jpg', '远大理想城  精装优质三房  户型方正 朝凤路小 学', '远大理想城  ', '低楼层(共22层)暂无数据  -  第三大街', '199万', '单价15920元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadace85dbd-bd94-4736-be2a-b886255a99ab.jpg.296x216.jpg', '经开区远大理想城双气大三房，小高层有钥匙看房方便', '远大理想城  ', '中楼层(共11层)板楼  -  第三大街', '210万', '单价15910元/平米')
('https://image1.ljcdn.com/410100-inspection/05cbe98f-df84-4ae2-920f-6c987a0617c8.jpg.296x216.jpg', '满五年住房，全南户型，采光好。', '远大理想城  ', '低楼层(共33层)暂无数据  -  第三大街', '145万', '单价17195元/平米')
('https://image1.ljcdn.com/410100-inspection/test-2bc832d1-5bf1-40c9-84ab-72c1fc3c5dd3.png.296x216.jpg', '美庐银座1室1卫48.2m²简单装修满五唯一', '美庐银座  ', '高楼层(共18层)暂无数据  -  第三大街', '57万', '单价11826元/平米')
('https://image1.ljcdn.com/410100-inspection/506e0b8c-9b69-46a5-9c7d-7980735fc67d..-2.jpg.296x216.jpg', '远大理想城 通透两房 两卧朝南 双气地暖', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '160万', '单价15842元/平米')
('https://image1.ljcdn.com/410100-inspection/74eb43d2-c30b-4c52-b8fc-324c239246af.jpg.296x216.jpg', '大城小室精装大毛坯   业主诚心出售', '大城小室  ', '中楼层(共25层)暂无数据  -  第三大街', '98万', '单价11530元/平米')
('https://image1.ljcdn.com/410100-inspection/test-b2471d21-aaab-4b98-9c29-2a9ffa8d95de.png.296x216.jpg', '建达百度花园 3室2厅 169万', '建达百度花园  ', '高楼层(共6层)板楼  -  第三大街', '169万', '单价13696元/平米')
('https://image1.ljcdn.com/410100-inspection/e77e26f2-9a35-444b-aa49-b2457a78ea0d.jpg.296x216.jpg', '加州成熟小区 满五年唯一 好楼层 南北通透 格局好', '加州第一城  ', '中楼层(共6层)板楼  -  第三大街', '150万', '单价15172元/平米')
('https://image1.ljcdn.com/410100-inspection/test-962b6393-6048-4323-9ba5-f530aabf53d8.png.296x216.jpg', '远大理想城 小高层 南北通透两房 精装修 随时看房', '远大理想城  ', '高楼层(共11层)板塔结合  -  第三大街', '170万', '单价16832元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload1ef2997b-5f24-4e30-b152-1ffec95840bf.jpg.296x216.jpg', '远大理想城 双气大三房 全明户型 次顶楼 前后无遮挡', '远大理想城  ', '高楼层(共33层)板塔结合  -  第三大街', '219万', '单价15209元/平米')
('https://image1.ljcdn.com/410100-inspection/985dae4d-3b4f-4583-b2d8-c0a343af5621.jpg.296x216.jpg', '多层的六楼，南北通透小三房，采光充足，地铁口。', '矿业集团家属院  ', '高楼层(共7层)板楼  -  第三大街', '130万', '单价14960元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload7b5be4a4-cc99-424c-b0f3-17c983e44b85.jpg.296x216.jpg', '满五年小高层带电梯双气四居室  无抵押', '远大理想城  ', '低楼层(共9层)暂无数据  -  第三大街', '300万', '单价19109元/平米')
('https://image1.ljcdn.com/410100-inspection/30e31d54-5126-4730-9e0b-cfa15553ff1c.jpg.296x216.jpg', '亚太花园 电梯多层房 南北通透大四居 全天采光无遮挡', '亚太花园  ', '高楼层(共7层)板楼  -  第三大街', '215万', '单价12952元/平米')
('https://image1.ljcdn.com/410100-inspection/test-385047ad-5c85-499d-9695-0ded6d938791.png.296x216.jpg', '远大理想城南北通透精装大三房，双气地铁口，满五年', '远大理想城  ', '低楼层(共28层)板塔结合  -  第三大街', '240万', '单价16784元/平米')
('https://image1.ljcdn.com/410100-inspection/dc10b62a-3f05-46cc-bd3c-a1b8f834e60b.jpg.296x216.jpg', '满五年唯一，南北通透三居室，一梯两户，没有抵押', '建达百度花园  ', '高楼层(共6层)板楼  -  第三大街', '166万', '单价13496元/平米')
('https://image1.ljcdn.com/410100-inspection/0fa805d3-3053-4efb-b13e-eeeef5088826.jpg.296x216.jpg', '恒大绿洲，大三房带保姆间，改善shou选', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '330万', '单价23405元/平米')
('https://image1.ljcdn.com/410100-inspection/test-568a2a8c-ab96-4c69-a0b0-070115ce31b2.png.296x216.jpg', '满五年唯一，精装修，落地窗，加车位另外算价格', '远大理想城  ', '低楼层(共26层)暂无数据  -  第三大街', '248万', '单价17435元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload6a294d56-f8d4-4ef2-b97b-8028e8e9350d.jpg.296x216.jpg', '远大理想城双气两房，中间楼栋，业主随和，诚心卖', '远大理想城  ', '低楼层(共33层)板塔结合  -  第三大街', '145万', '单价15513元/平米')
('', '远大理想城 精装两居室 全南向  中间层  采光无遮挡', '远大理想城  ', '中楼层(共26层)板塔结合  -  第三大街', '158万', '单价16990元/平米')
('https://image1.ljcdn.com/410100-inspection/eb81ce97-7032-4365-bff3-8c75226c4843.jpg.296x216.jpg', '恒大绿洲 精装修两居室 业主诚心出售', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '175万', '单价20894元/平米')
('https://image1.ljcdn.com/410100-inspection/03682e1c-6c43-4aba-a268-73f85b0b064a.jpg.296x216.jpg', '满五年唯一商品房  税费低 采光视野无遮挡', '远大理想城  ', '低楼层(共26层)暂无数据  -  第三大街', '228万', '单价16643元/平米')
('https://image1.ljcdn.com/410100-inspection/test-3a44c00e-6055-44d4-afb3-8fdf77d8dc2e.png.296x216.jpg', '远大理想城 多层电梯花园洋房 精装三房 南北通透', '远大理想城  ', '低楼层(共10层)板塔结合  -  第三大街', '220万', '单价17907元/平米')
('https://image1.ljcdn.com/410100-inspection/3b1d10c3-a860-4e39-b943-efa7151b4a5b.jpg.296x216.jpg', '恒大绿洲  经典两户，采光很好，高档家具，西户，', '恒大绿洲  ', '低楼层(共33层)板楼  -  第三大街', '170万', '单价18479元/平米')
('https://image1.ljcdn.com/410100-inspection/test-7a1d1d20-b90a-462e-bc67-7862d6e88867.png.296x216.jpg', '远大 双气大两房 满五年 看房方便', '远大理想城  ', '低楼层(共22层)暂无数据  -  第三大街', '160万', '单价16529元/平米')
('https://image1.ljcdn.com/410100-inspection/3465e5a4-0beb-4910-a0d3-ccb3b01d1eb7.jpg.296x216.jpg', '恒大绿洲新社区，周 边配套齐全，交通便利，地铁沿线', '恒大绿洲  ', '中楼层(共33层)暂无数据  -  第三大街', '195万', '单价19402元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadf995bea7-789b-41ff-9b97-1651d34ddd13.jpg.296x216.jpg', '恒大绿洲，大三房。南北通透，高层，采光好，精装修.', '恒大绿洲  ', '中楼层(共33层)板楼  -  第三大街', '235万', '单价19263元/平米')
('https://image1.ljcdn.com/410100-inspection/test-be715303-ad32-4fab-9f0c-2f04b4091f08.png.296x216.jpg', '远大理想城 61.6平经典小两房 超好采光 满五年', '远大理想城  ', '高楼层(共32层)板塔结合  -  第三大街', '107万', '单价17371元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_upload067f3f23-1699-4097-ae28-08ad2524bca1.jpg.296x216.jpg', '满五年唯一，南北通透两居室，业主诚心出售。', '远大理想城  ', '中楼层(共6层)暂无数据  -  第三大街', '158万', '单价16884元/平米')
('https://image1.ljcdn.com/410100-inspection/test-813887a0-ddd2-4e2e-8c1e-f31fdf838f23.png.296x216.jpg', '远大理想城南北通透三房 满五年精装修中间楼层', '远大理想城  ', '中楼层(共6层)板楼  -  第三大街', '205万', '单价17983元/平米')
('https://image1.ljcdn.com/410100-inspection/rsp_pic_uploadec00fdb0-a0ef-4eda-b2b2-90b09f894306.jpg.296x216.jpg', '恒大绿洲新社区，周 边配套齐全，交通便利，地铁沿线', '恒大绿洲  ', '高楼层(共33层)板楼  -  第三大街', '260万', '单价20800元/平米')
