('https://image1.ljcdn.com/shfdfs-image/20170729/c77c35f3-f091-4125-bb8a-634b28448c98.jpg.296x216.jpg', '香滨水岸 3室2厅 289万', '香滨水岸  | 3室2厅 | 102.28平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2009年建板楼  -  郭巷', '289万', '单价28256元/平米')
('https://image1.ljcdn.com/320500-inspection/test-5cae0c56-49f6-4796-9ebc-63033e2f6bf9.png.296x216.jpg', '万达华府 3室2厅 282万', '万达华府  | 3室2厅 | 140平米 | 暂无数据 | 精装 | 有电梯', '低楼层(共28层)2016年建塔楼  -  城南', '282万', '单价20143元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160905/09e5a083-db59-4f1a-a338-3878f0098419.jpg.296x216.jpg', '合景领峰 4室2厅 280万', '合景领峰  | 4室2厅 | 113.27平米 | 南 | 精装 | 有电梯', '高楼层(共26层)2012年建板楼  -  木渎', '280万', '单价24720元/平米')
('https://image1.ljcdn.com/320500-inspection/test-70295b40-f8ff-4be6-a0c9-ebc0e3aa1b2c.png.296x216.jpg', '多层带阁楼，毛坯房，位置安静，改善户型', '新城金郡北区  | 4室2厅 | 85.77平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共5层)2012年建板楼  -  城南', '215万', '单价25068元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c2ac471e-47a2-478e-8cc7-92f0dff990b8.png.296x216.jpg', '尹山湖全湖景通透四房 全新毛坯 小区中间位置', '阳光天地  | 4室2厅 | 133平米 | 南 | 毛坯 | 有电梯', '低楼层(共31层)2017年建板楼  -  尹山湖', '368万', '单价27670元/平米')
('https://image1.ljcdn.com/320500-inspection/test-251f5e6b-1091-4d59-aeac-edf12beb267d.png.296x216.jpg', '湖岸名家南区 2室2厅 160万', '湖岸名家南区  | 2室2厅 | 74平米 | 南 | 精装 | 无电梯', '低楼层(共6层)2007年建板楼  -  郭巷', '160万', '单价21622元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171016/934f2d87-b7b1-4e4a-b2d7-ad2289275830.jpg.296x216.jpg', '保利居上 4室2厅 418万', '保利居上  | 4室2厅 | 182.48平米 | 南 | 毛坯 | 有电梯', '高楼层(共25层)2014年建板楼  -  尹山湖', '418万', '单价22907元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161208/c71209ce-aa5d-4c52-af95-9504c749f882.jpg.296x216.jpg', '40年公寓房 首付五成 拎包入住 看房方便 民用水电', '新城金郡北区  | 2室2厅 | 59平米 | 北 | 精装 | 有电梯', '高楼层(共15层)2013年建板楼  -  城南', '72万', '单价12204元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadfe014f29-d3ed-41b7-afc0-0f2347a462bc.jpg.296x216.jpg', '中海独墅岛 4室2厅 1450万', '中海独墅岛   | 独栋别墅 | 4室2厅 | 537.12平米 | 南 | 精装 | 无电梯', '3层2011年建板楼  -  郭巷', '1450万', '单价26996元/平米')
('https://image1.ljcdn.com/320500-inspection/5f8e92a8-46e8-47f7-8935-e22fc9418343.jpg.296x216.jpg', '简欧式装修，出门300米就是独墅湖南地铁口', '中海双湾花园一期  | 3室2厅 | 98平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2015年建板楼  -  尹山湖', '225万', '单价22960元/平米')
('https://image1.ljcdn.com/320500-inspection/test-0cbb35a8-a3fd-4e5a-ae9f-44a4e6eb5ab5.png.296x216.jpg', '朗诗科技住宅 恒温  恒湿  恒氧  低噪', '朗诗东吴绿郡  | 2室2厅 | 89平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2015年建板楼  -  城南', '235万', '单价26405元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171224/72b71d94-e57b-46f8-98a7-32b7d13f7e4f.jpg.296x216.jpg', '国香雅苑 3室2厅 215万', '国香雅苑  | 3室2厅 | 113平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2010年建板楼  -  郭巷', '215万', '单价19027元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160918/eb286049-18be-412a-8282-ddccb12aa485.jpg.296x216.jpg', '万业湖墅金典 2室2厅 189万', '万业湖墅金典  | 2室2厅 | 80.4平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共33层)2013年建板塔结合  -  郭巷', '189万', '单价23508元/平米')
('https://image1.ljcdn.com/320500-inspection/b586cf95-ca6b-47f2-90a3-9d2965818cb0.JPG.296x216.jpg', '招商雍华府 4室2厅 388万', '招商雍华府  | 4室2厅 | 140平米 | 南 北 | 精装 | 有电梯', '高楼层(共27层)2015年建塔楼  -  木渎', '388万', '单价27715元/平米')
('https://image1.ljcdn.com/320500-inspection/test-6604f10a-c9bc-415b-b981-db21d8ea25ae.png.296x216.jpg', 's半岛清水湾花园简装2房有钥匙随时可看', '清水湾花园  | 2室2厅 | 93平米 | 南 北 | 其他 | 有电梯', '低楼层(共11层)2007年建板楼  -  城南', '176万', '单价18925元/平米')
('https://image1.ljcdn.com/320500-inspection/test-31990a8c-7fd1-4e20-b127-1e473edca14e.png.296x216.jpg', '东苑村 3室2厅 200万', '东苑村  | 3室2厅 | 106.7平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1999年建板楼  -  苏苑', '200万', '单价18745元/平米')
('https://image1.ljcdn.com/320500-inspection/test-ca46372f-4580-486c-8fd1-4539ea5b0482.png.296x216.jpg', '苏苑新村东区 2室1厅 122万', '苏苑新村东区  | 2室1厅 | 66.1平米 | 南 | 精装 | 无电梯', '高楼层(共6层)1996年建板楼  -  苏苑', '122万', '单价18457元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadaa910c41-35da-4eac-a124-d7510af53572.jpg.296x216.jpg', '中海独墅岛 4室2厅 295万', '中海独墅岛  | 4室2厅 | 144平米 | 暂无数据 | 其他 | 有电梯', '低楼层(共33层)2015年建板楼  -  郭巷', '295万', '单价20487元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170621/4739df20-4549-4534-9f38-f7214d5e2e9e.jpg.296x216.jpg', '云山诗意 2室2厅 169万', '云山诗意  | 2室2厅 | 86平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2013年建板楼  -  木渎', '169万', '单价19652元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180124/09c64525-6826-418c-96fb-6ed734e9ccab.jpg.296x216.jpg', '湖岸名家北区 3室2厅 210万', '湖岸名家北区  | 3室2厅 | 89平米 | 南 | 精装 | 无电梯', '中楼层(共6层)2007年建板楼  -  郭巷', '210万', '单价23596元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171218/6337f2aa-2eb6-4626-9a0b-32723eb8a004.jpg.296x216.jpg', '盘蠡花园 5室3厅 400万', '盘蠡花园  | 5室3厅 | 200平米 | 南 | 精装 | 无电梯', '高楼层(共5层)1999年建板楼  -  龙西', '400万', '单价20000元/平米')
('https://image1.ljcdn.com/320500-inspection/20c8122d-4b23-40c4-992c-6333edaba592.jpg.296x216.jpg', '房东置换房、诚意诚心出售。全毛坯', '弘阳上湖  | 2室2厅 | 76.85平米 | 南 | 毛坯 | 有电梯', '高楼层(共34层)2016年建板楼  -  尹山湖', '200万', '单价26025元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c74debab-43ca-4072-86d2-20522fab724e.png.296x216.jpg', '国香雅苑 2室2厅 188万', '国香雅苑  | 2室2厅 | 96.3平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2010年建板楼  -  郭巷', '188万', '单价19523元/平米')
('https://image1.ljcdn.com/320500-inspection/test-88f1ff26-af70-4657-a74c-d1bbea8436b2.png.296x216.jpg', '石湖华城 2室2厅 174万', '石湖华城  | 2室2厅 | 100.77平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2011年建板楼  -  越溪', '174万', '单价17268元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload1b5bb2ef-9a23-431b-8757-b10ec031b32d.jpg.296x216.jpg', '鑫苑湖居世家 4室2厅 410万', '鑫苑湖居世家   | 联排别墅 | 4室2厅 | 136平米 | 南 | 其他 | 无电梯', '3层2016年建板楼  -  尹山湖', '410万', '单价30148元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161028/70d26bed-53dc-4365-a084-2f469ca2045c.jpg.296x216.jpg', '宝怡大厦 2室1厅 138万', '宝怡大厦  | 2室1厅 | 71.4平米 | 南 | 精装 | 有电梯', '中楼层(共27层)2013年建板楼  -  城南', '138万', '单价19328元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171221/cd8b399e-c1d1-4043-a3e4-8a739fa502da.jpg.296x216.jpg', '保利居上 地铁房 165平 4室2厅2卫 户型方正 适合换置', '保利居上  | 4室2厅 | 165.33平米 | 南 | 毛坯 | 有电梯', '低楼层(共23层)2014年建板楼  -  尹山湖', '385万', '单价23287元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170101/f470ca01-bae8-4c70-8d35-6a4e26009246.jpg.296x216.jpg', '越湖名邸 3室2厅 263万', '越湖名邸  | 3室2厅 | 125.45平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2009年建板楼  -  城南', '263万', '单价20965元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160821/ccde46b2-d2df-470d-b35a-e565e8e574c0.jpg.296x216.jpg', '中茵星墅湾 4室2厅 358万', '中茵星墅湾  | 4室2厅 | 88平米 | 南 | 精装 | 有电梯', '高楼层(共27层)2013年建板楼  -  郭巷', '358万', '单价40682元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171030/1b4004a3-bae0-48a1-a0c6-c40b17a0ada9.jpg.296x216.jpg', '保利独墅西岸 3室2厅 612万', '保利独墅西岸  | 3室2厅 | 140平米 | 南 | 毛坯 | 有电梯', '高楼层(共6层)2015年建板楼  -  郭巷', '612万', '单价43715元/平米')
('https://image1.ljcdn.com/320500-inspection/test-c7ecd5e2-9184-4bc2-9df4-c83374f17d97.png.296x216.jpg', '美韵公寓 2室2厅 172万', '美韵公寓  | 2室2厅 | 93平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2010年建板楼  -  城南', '172万', '单价18495元/平米')
('https://image1.ljcdn.com/320500-inspection/test-dd979fb7-3de3-453d-9404-bfa33e19bb46.png.296x216.jpg', '新城石湖公馆 4室2厅 288万', '新城石湖公馆  | 4室2厅 | 141平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)2015年建板楼  -  越溪', '288万', '单价20426元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_uploadecf27066-8858-4080-8856-626baee59d13.jpg.296x216.jpg', '鑫苑湖居世家 4室2厅 408万', '鑫苑湖居世家   | 联排别墅 | 4室2厅 | 136平米 | 南 | 毛坯 | 无电梯', '3层2016年建板楼  -  尹山湖', '408万', '单价30000元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161016/31b2bdd8-c45e-4078-ac6e-c55190c8ede0.jpg.296x216.jpg', '华韵花园 1室1厅 125万', '华韵花园  | 1室1厅 | 61平米 | 南 | 精装 | 有电梯', '中楼层(共11层)2003年建板楼  -  城南', '125万', '单价20492元/平米')
('https://image1.ljcdn.com/320500-inspection/test-02c7ef3b-eb3f-47cc-8c83-a7eaaf9223aa.png.296x216.jpg', '电梯小两房，装修精美，楼层佳，家电家具全留，满两年', '越湖家天下  | 2室1厅 | 80.5平米 | 南 | 精装 | 有电梯', '高楼层(共21层)2013年建板楼  -  城南', '165万', '单价20497元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170923/bca3173b-e4be-4934-9faa-2a08c662d874.jpg.296x216.jpg', '中茵星墅湾 4室2厅 460万', '中茵星墅湾  | 4室2厅 | 144平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2014年建板楼  -  郭巷', '460万', '单价31945元/平米')
('https://image1.ljcdn.com/320500-inspection/rsp_pic_upload2958b3e0-2de2-49fe-b742-147690564522.jpg.296x216.jpg', '保利独墅西岸 3室2厅 380万', '保利独墅西岸  | 3室2厅 | 134平米 | 南 | 毛坯 | 有电梯', '高楼层(共6层)2015年建板楼  -  郭巷', '380万', '单价28359元/平米')
('https://image1.ljcdn.com/320500-inspection/test-161eb7d2-1e5d-42e7-8934-9e3990091076.png.296x216.jpg', '美之国花园 3室2厅 262万', '美之国花园  | 3室2厅 | 115.62平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  龙西', '262万', '单价22661元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170102/990bf737-b891-4b68-a592-08d7fe982dee.jpg.296x216.jpg', '蓝调都汇 1室1厅 80万', '蓝调都汇  | 1室1厅 | 64平米 | 西 | 精装 | 有电梯', '高楼层(共25层)2007年建板楼  -  城南', '80万', '单价12500元/平米')
('https://image1.ljcdn.com/320500-inspection/094d8a67-4ca7-4fc5-8064-2d3831a47469.jpg.296x216.jpg', '保利独墅西岸 5室2厅 540万', '保利独墅西岸  | 5室2厅 | 172平米 | 南 | 其他 | 有电梯', '高楼层(共7层)2015年建板楼  -  郭巷', '540万', '单价31396元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170314/4b6c8e23-554e-4694-a782-dbf8196b56db.jpg.296x216.jpg', '中海双湾花园一期 3室2厅 290万', '中海双湾花园一期  | 3室2厅 | 119平米 | 南 | 毛坯 | 有电梯', '中楼层(共31层)2015年建板楼  -  尹山湖', '290万', '单价24370元/平米')
('https://image1.ljcdn.com/320500-inspection/0b849b22-00d4-49a9-8cc1-d864f1e29934.jpg.296x216.jpg', '阳光水韵 2室2厅 182万', '阳光水韵  | 2室2厅 | 92平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2015年建板楼  -  城南', '182万', '单价19783元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171023/3f12fca1-8218-49fb-b70b-ee6acd4db723.jpg.296x216.jpg', '香滨水岸 4室2厅 465万', '香滨水岸  | 4室2厅 | 171平米 | 东 | 精装 | 有电梯', '中楼层(共7层)2009年建板楼  -  郭巷', '465万', '单价27193元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160519/d2f8bb58-58d2-4dc8-97c8-967112f098bd.jpg.296x216.jpg', '中海独墅岛 3室2厅 750万', '中海独墅岛   | 联排别墅 | 3室2厅 | 304.46平米 | 南 | 毛坯 | 无电梯', '3层2011年建板楼  -  郭巷', '750万', '单价24634元/平米')
('https://image1.ljcdn.com/320500-inspection/test-64e895aa-0a80-4757-b478-56c1f4e65adf.png.296x216.jpg', '姑苏印象花园 3室2厅 225万', '姑苏印象花园  | 3室2厅 | 135平米 | 南 | 其他 | 有电梯', '中楼层(共17层)2012年建板楼  -  木渎', '225万', '单价16667元/平米')
('https://image1.ljcdn.com/320500-inspection/test-2b001467-6ab9-4a25-a488-99eee0673a99.png.296x216.jpg', '石湖华城 3室2厅 215万', '石湖华城  | 3室2厅 | 96平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2011年建板楼  -  越溪', '215万', '单价22396元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171230/8d6b9b0e-010f-468a-9839-27e7c2169c59.jpg.296x216.jpg', '新城金郡北区 2室1厅 77万', '新城金郡北区  | 2室1厅 | 55平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2013年建板楼  -  城南', '77万', '单价14000元/平米')
('https://image1.ljcdn.com/320500-inspection/a5ae406b-175f-4e69-be24-fefad898ef82.jpg.296x216.jpg', '阳光水榭花园 3室2厅 368万', '阳光水榭花园  | 3室2厅 | 174.22平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2015年建板楼  -  城南', '368万', '单价21123元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170514/ee362473-f045-4dc7-8008-587a5371c193.jpg.296x216.jpg', '吴中村 3室2厅 142万', '吴中村  | 3室2厅 | 97.1平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1995年建板楼  -  龙西', '142万', '单价14625元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170404/0d4b8da6-57c0-4da0-b2d7-7b9c00707d0a.jpg.296x216.jpg', '桂苑二区 3室2厅 195万', '桂苑二区  | 3室2厅 | 104.5平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1999年建板楼  -  城南', '195万', '单价18661元/平米')
('https://image1.ljcdn.com/320500-inspection/test-8bacbedf-bf55-4332-9151-d2234703a609.png.296x216.jpg', '盘蠡苑 3室2厅 210万', '盘蠡苑  | 3室2厅 | 115.73平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1999年建板楼  -  龙西', '210万', '单价18146元/平米')
