('https://image1.ljcdn.com/510100-inspection/test-9e04afb0-05c1-4e71-8b48-2d1dfc41be52.png.296x216.jpg', '不临街 中间楼层 对中庭 装修套三 带地暖 满2年', '公园大道  | 3室1厅 | 131.7平米 | 北 | 精装 | 有电梯', '低楼层(共23层)2012年建板塔结合  -  光华大道沿线', '184万', '单价13972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a1d4d6a2-e7b0-4880-92ae-e7ce689e6307.png.296x216.jpg', '中铁瑞景澜庭 清水 三室两厅双卫', '中铁瑞景澜庭  | 3室1厅 | 121.05平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)2012年建板楼  -  花都大道', '180万', '单价14870元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d8e29350-74f6-4b8b-b8d2-8ad57ab8f05b.png.296x216.jpg', '花样年  清水套一   中间楼层  采光好', '花样年花样城  | 1室1厅 | 47.8平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2015年建塔楼  -  温江大学城', '46.8万', '单价9791元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1f686294-a0af-4a71-8d70-bf8599f3c3e2.png.296x216.jpg', '格凌兰， 中庭清水套四 带阳台', '格凌兰  | 4室2厅 | 114.63平米 | 东北 | 其他 | 有电梯', '中楼层(共32层)2016年建塔楼  -  温江新城', '175万', '单价15267元/平米')
('https://image1.ljcdn.com/510100-inspection/test-942e94a9-613d-4a6e-80bb-eaf6929a29da.png.296x216.jpg', '西藏地质花园  步梯中间楼层  清水房', '西藏地质花园  | 4室2厅 | 137.07平米 | 东南 | 其他', '高楼层(共6层)2006年建板楼  -  温江老城', '120万', '单价8755元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e2afdeb-ebcc-4737-99a6-53b2ecf17641.png.296x216.jpg', '朝阳时代西锦精装套三双卫，可以直接入住，正朝东南', '朝阳时代西锦  | 3室1厅 | 120.38平米 | 东南 | 精装 | 有电梯', '高楼层(共33层)2014年建板楼  -  花都大道', '145万', '单价12046元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e24ca76-c49b-40a9-b71b-6a8dfa9930ef.png.296x216.jpg', '七彩花都B区二期清水房，满两年，无增值税', '七彩花都B区二期  | 3室2厅 | 104.6平米 | 东南 | 毛坯 | 有电梯', '中楼层(共18层)2006年建板楼  -  花都大道', '118万', '单价11282元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4681aba9-e5ab-4353-bed2-2afe4b8c63f7.png.296x216.jpg', '玺龙湾 清水套三 户型方正 满两年', '玺龙湾  | 3室1厅 | 124.58平米 | 东南 | 其他 | 有电梯', '低楼层(共39层)2016年建板楼  -  温江老城', '170万', '单价13646元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8ac66adf-1d11-4d2e-99c8-4697fbd5843a.png.296x216.jpg', '花样年花样城         清水套一', '花样年花样城  | 1室1厅 | 47.8平米 | 东南 | 其他 | 有电梯', '高楼层(共31层)2015年建塔楼  -  温江大学城', '45.5万', '单价9519元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8f4589da-710b-48ca-91b1-41e2a8e63009.png.296x216.jpg', '鹭湖宫5区产权满两年房子装修细心精致，房东忍痛割爱', '鹭湖宫五号社区  | 3室2厅 | 134.26平米 | 东南 | 其他 | 有电梯', '低楼层(共26层)2012年建板塔结合  -  国色天乡', '145万', '单价10800元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a71cf696-c590-48bc-9129-5d0b2c2450d9.png.296x216.jpg', '恒大城，带家具家电，采光视野好。', '恒大城一期  | 3室1厅 | 89平米 | 东南 | 其他 | 有电梯', '中楼层(共33层)2010年建板塔结合  -  温江新城', '138万', '单价15506元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4844436e-9108-4035-a1c6-0824a44a5a28.png.296x216.jpg', '花样年花样城装修套三，赠送面积大，小区环境好。', '花样年花样城  | 3室2厅 | 87.64平米 | 南 | 精装', '低楼层(共34层)塔楼  -  温江大学城', '105万', '单价11981元/平米')
('https://image1.ljcdn.com/510100-inspection/test-65dcdfb2-c2ce-4b73-b586-d4c421b390a5.png.296x216.jpg', '花样年花样城装修套三 中上楼层，采光好', '花样年花样城  | 3室2厅 | 89.32平米 | 东 | 其他', '高楼层(共33层)2015年建板楼  -  温江大学城', '94万', '单价10524元/平米')
('https://image1.ljcdn.com/510100-inspection/test-58d84da6-2291-4cce-9163-dfce9900d6d6.png.296x216.jpg', '朝阳时代西锦套三带书房双卫，装修房，拎包入住', '朝阳时代西锦  | 4室2厅 | 123平米 | 东北 | 精装 | 有电梯', '低楼层(共33层)2014年建板楼  -  花都大道', '145万', '单价11789元/平米')
('https://image1.ljcdn.com/510100-inspection/test-23a0d626-6a1c-449d-b7d1-48ae48561f9f.png.296x216.jpg', '水韵尚城装修套三双卫户型方正规整', '水韵尚城  | 3室2厅 | 150.12平米 | 东南 | 其他 | 有电梯', '低楼层(共25层)2009年建板塔结合  -  温江大学城', '156万', '单价10392元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7d87245d-f679-4fc8-a49b-d3eb7c1507c4.png.296x216.jpg', '西财学府尚郡 清水房 套四双卫 满两年', '西财学府尚郡  | 4室2厅 | 122.79平米 | 西北 | 其他 | 有电梯', '中楼层(共11层)2013年建板楼  -  温江大学城', '123万', '单价10018元/平米')
('https://image1.ljcdn.com/510100-inspection/test-521f77fe-2153-4fb8-bd9f-3fcd20f85f16.png.296x216.jpg', '奥林匹克花园装修套三 保养好 全中庭 采光好 满两年', '建信奥林匹克花园  | 3室2厅 | 124.48平米 | 东 | 精装 | 无电梯', '中楼层(共6层)2006年建板塔结合  -  光华大道沿线', '130万', '单价10444元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d419076-96fa-43ee-8d61-9e03e6d9a754.png.296x216.jpg', '安静、舒适、楼层低、建信奥林匹克花园装修套二等您', '建信奥林匹克花园  | 2室2厅 | 98.79平米 | 东 | 其他 | 无电梯', '低楼层(共6层)2006年建板塔结合  -  光华大道沿线', '108万', '单价10933元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf00e707-c02a-4160-8db4-d1127d36879f.png.296x216.jpg', '佳兆业丽晶港-清水套三-对中庭的', '佳兆业丽晶港  | 3室2厅 | 86.42平米 | 西南 东北 | 简装 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '140万', '单价16200元/平米')
('https://image1.ljcdn.com/510100-inspection/c7e2c2d0-82cc-4370-b1ad-77c42c1f98ca.jpg.296x216.jpg', '叠拼别墅 清水套三三卫 带花园 带车位 满二年无增值税', '彩叠园1A期  | 3室2厅 | 135.6平米 | 南 北 | 毛坯 | 无电梯', '中楼层(共5层)2013年建板塔结合  -  光华大道沿线', '220万', '单价16225元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2f78633f-082c-49cc-b68f-1bf2206e90e1.png.296x216.jpg', '水韵尚城 4室2厅1厨2卫 清水房', '水韵尚城  | 4室2厅 | 184.49平米 | 东 西 | 毛坯 | 有电梯', '中楼层(共25层)2009年建板塔结合  -  温江大学城', '190万', '单价10299元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf3bc1b1-c691-44aa-a5b0-fcb532c1fe2c.png.296x216.jpg', '佳兆业丽晶港河景房     带车位', '佳兆业丽晶港  | 4室2厅 | 134.88平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2012年建板楼  -  珠江新城', '256万', '单价18980元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c83f6a82-8f56-4efa-944e-3091e581d72e.png.296x216.jpg', '佳兆业丽晶港 清水套三带书房 对中庭', '佳兆业丽晶港  | 4室2厅 | 113.5平米 | 东南 南 | 其他 | 有电梯', '中楼层(共33层)2012年建板楼  -  珠江新城', '180万', '单价15860元/平米')
('https://image1.ljcdn.com/510100-inspection/97f5c66d-007f-41fe-a7ef-07013d14f618.jpg.296x216.jpg', '森宇音乐花园装修套五 顶跃带花园', '森宇音乐花园  | 5室2厅 | 221.17平米 | 西北 | 其他 | 无电梯', '高楼层(共6层)2004年建板楼  -  花都大道', '174万', '单价7868元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7772ebbc-39cf-4e7f-852d-3a13aa7aea4c.png.296x216.jpg', '嘉瑞国际电梯装修套二客厅有阳台中间楼层', '嘉瑞国际  | 2室2厅 | 89.45平米 | 南 | 简装 | 有电梯', '中楼层(共27层)2012年建塔楼  -  花都大道', '100万', '单价11180元/平米')
('https://image1.ljcdn.com/510100-inspection/test-90e285f6-65a8-435d-9730-622cb0c25c8e.png.296x216.jpg', '朝阳时代西锦 精装套三双卫  采光好', '朝阳时代西锦  | 3室2厅 | 113平米 | 东北 | 精装 | 有电梯', '中楼层(共33层)2014年建板楼  -  花都大道', '145万', '单价12832元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ee049892-8474-47ef-ba92-0f5e528c7e7e.png.296x216.jpg', '珠江御景湾开发商装修套四双卫未住过人', '珠江御景湾  | 4室2厅 | 140.34平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2015年建板楼  -  珠江新城', '210万', '单价14964元/平米')
('https://image1.ljcdn.com/510100-inspection/test-26f67571-89f8-4e7f-82fe-f008ca02c1c7.png.296x216.jpg', '珠江克莱公寓精装修套一，交通便利', '珠江克莱公寓  | 1室2厅 | 54.46平米 | 西南 | 精装 | 有电梯', '低楼层(共31层)2009年建塔楼  -  珠江新城', '53万', '单价9732元/平米')
('https://image1.ljcdn.com/510100-inspection/test-385f5d72-20c7-4499-bd5d-e7c4ce7ffb0e.png.296x216.jpg', '西班牙森林一期电梯洋房 清水套四 客厅带阳台', '西班牙森林一期  | 4室2厅 | 155.91平米 | 南 | 其他 | 有电梯', '中楼层(共7层)2010年建板塔结合  -  光华大道沿线', '188万', '单价12059元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d52e300f-94f7-47dc-9a26-262c5dc3f690.png.296x216.jpg', '书香秀筑  装修套一  带家具家电', '书香秀筑  | 1室1厅 | 50.68平米 | 西南 | 简装 | 有电梯', '中楼层(共11层)2008年建板楼  -  温江大学城', '42万', '单价8288元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9188293-fb0b-4501-94ce-e59bcd0ceef0.png.296x216.jpg', '西财学府尚郡，满两年，前后对中庭，带车位出售', '西财学府尚郡  | 4室2厅 | 139.94平米 | 东南 | 其他 | 有电梯', '高楼层(共11层)2013年建板楼  -  温江大学城', '155万', '单价11077元/平米')
('https://image1.ljcdn.com/510100-inspection/test-16d2ce9a-e56a-493a-836a-bf9ff0c99fff.png.296x216.jpg', '和信孔雀城清水套三，中间楼层，客厅带阳台。', '和信孔雀天成  | 3室1厅 | 104.99平米 | 西 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  温江新城', '130万', '单价12383元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2310912c-ecd5-4423-a314-b1ce02f29b24.png.296x216.jpg', '公园大道    装修套四   装修套四', '公园大道  | 4室2厅 | 124.63平米 | 北 | 其他 | 有电梯', '低楼层(共25层)2012年建板塔结合  -  光华大道沿线', '168万', '单价13480元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4fb8302c-51cf-4599-a6b2-89ee49288d8c.png.296x216.jpg', '光华大道沿线 金河谷四期 清水套二 出售', '金河谷四期  | 2室2厅 | 80.21平米 | 西 | 毛坯 | 有电梯', '32层2011年建塔楼  -  光华大道沿线', '105万', '单价13091元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6da33b3a-16ca-461b-91c6-ed192c1ba324.png.296x216.jpg', '珠江御景湾标准套四双卫户型方正，中间楼层', '珠江御景湾  | 4室2厅 | 163平米 | 东北 | 精装 | 有电梯', '中楼层(共31层)2015年建板楼  -  珠江新城', '260万', '单价15951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-965e8c27-5f9c-4199-938f-5bd3b8a1dca2.png.296x216.jpg', '依云 清水2居室 主卧室带小书房', '依云  | 2室1厅 | 92.26平米 | 西南 | 其他 | 有电梯', '高楼层(共28层)2007年建板楼  -  温江新城', '98万', '单价10623元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9dbde88-fbcd-43e3-b88d-183cdf24b8af.png.296x216.jpg', '大套三，入户花园和大阳台，对中庭，适合居住。', '蓝光香瑞湖  | 3室2厅 | 137.88平米 | 东南 | 其他 | 有电梯', '高楼层(共26层)2009年建板楼  -  光华大道沿线', '187万', '单价13563元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c1b66081-0a97-498e-b9e9-430e1313bda2.png.296x216.jpg', '世纪光华清水套二可自己装修 户型方正  采光充足', '世纪光华  | 2室2厅 | 86.31平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2007年建板塔结合  -  花都大道', '92万', '单价10660元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d5ec697c-e0d9-4e9c-9616-2f91f1d60ea3.png.296x216.jpg', '合能珍宝琥珀 精装套二中间楼层，视野无遮挡。', '合能珍宝琥珀  | 2室1厅 | 65.17平米 | 东 | 其他 | 有电梯', '中楼层(共34层)2014年建板塔结合  -  光华大道沿线', '87万', '单价13350元/平米')
('https://image1.ljcdn.com/510100-inspection/test-84b728a0-04ad-41d3-9785-bd424fdb9d1b.png.296x216.jpg', '西班牙森林二期，套二户型，户型方正，采光一般。', '西班牙森林二期  | 2室1厅 | 61.93平米 | 东 | 其他 | 有电梯', '低楼层(共11层)2014年建板楼  -  光华大道沿线', '88万', '单价14210元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bfc12828-887b-46de-a980-9c0bd1a32198.png.296x216.jpg', '光华大道，套二带装修，满两年，无尾款', '公园大道  | 2室1厅 | 62.84平米 | 东南 | 简装 | 有电梯', '高楼层(共25层)2012年建板塔结合  -  光华大道沿线', '92万', '单价14641元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f58fabc-8b9c-4abc-9f3f-778ad0ddd126.png.296x216.jpg', '佳兆业丽晶公馆 装修套三双卫 户型方正', '佳兆业丽晶公馆  | 3室2厅 | 89平米 | 西南 | 其他', '高楼层(共33层)2016年建板塔结合  -  花都大道', '130万', '单价14607元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1fbed960-f8cc-40de-8a00-c12727ac02c3.png.296x216.jpg', '珠江御景湾 套四双卫 精装修户型方正', '珠江御景湾  | 4室2厅 | 139.63平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2015年建板楼  -  珠江新城', '228万', '单价16329元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c861727c-4aed-404e-9732-59c240e9d6f6.png.296x216.jpg', '金强大学城装修套三双卫居住方便舒适', '金强大学城  | 3室2厅 | 111.17平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2009年建板塔结合  -  温江大学城', '110万', '单价9895元/平米')
('https://image1.ljcdn.com/510100-inspection/test-590a887e-9d82-406a-a209-bc2c80119a35.png.296x216.jpg', '金强大学城套三居家装修保养得当', '金强大学城  | 3室1厅 | 85.89平米 | 西南 | 其他 | 有电梯', '高楼层(共18层)2009年建板塔结合  -  温江大学城', '96万', '单价11178元/平米')
('https://image1.ljcdn.com/510100-inspection/a964c701-3408-4060-b5cd-d9f307c7e7a3.jpg.296x216.jpg', '春天大道叠拼一跃二，四居三卫，290.79平米', '春天大道  | 4室2厅 | 290.79平米 | 南 | 毛坯 | 无电梯', '低楼层(共5层)2009年建板塔结合  -  光华大道沿线', '490万', '单价16851元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3e2ffc40-8716-44d0-8df5-5edbd24eca1e.png.296x216.jpg', '德坤海地亚 电梯高层 装修套三', '德坤海地亚  | 3室2厅 | 103.44平米 | 东南 | 其他 | 有电梯', '中楼层(共18层)2013年建板楼  -  国色天乡', '115万', '单价11118元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2d52f727-48ef-43b2-abf3-e5cbdd8d1f93.png.296x216.jpg', '学府杏林小区 5室2厅 房本满2年，小区环境干净舒适', '置信学府杏林一期  | 5室2厅 | 161.72平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2012年建板楼  -  芙蓉古城', '145万', '单价8967元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c8941ae9-e4c4-41ee-9ab5-b9d384367eb3.png.296x216.jpg', '金河谷一期，清水套三双卫，交通便利，环境干净舒适。', '金河谷一期  | 3室2厅 | 141.89平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2009年建板塔结合  -  光华大道沿线', '220万', '单价15505元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ae065c58-5f80-4e6c-8bf3-c55f906db11a.png.296x216.jpg', '花涧坊小区，居家装修。适合一家三口。', '花涧坊A区  | 2室2厅 | 86.99平米 | 东南 | 其他', '低楼层(共11层)板楼  -  温江老城', '80万', '单价9197元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2feaf6ea-90d0-4e76-874e-5d3f6d729e0e.png.296x216.jpg', '千禧河畔C区清水房、标准套二、户型方正、中间楼层', '千禧河畔C区  | 3室2厅 | 78平米 | 西南 | 毛坯', '中楼层(共33层)板楼  -  花都大道', '96万', '单价12308元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5f9a0d0d-b3bf-4063-9078-188aed8339ab.png.296x216.jpg', '中铁丽景书香  清水  套三 双卫', '中铁丽景书香  | 3室1厅 | 88.83平米 | 东北 | 毛坯 | 有电梯', '中楼层(共33层)2016年建塔楼  -  温江大学城', '105万', '单价11821元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadf2940c37-671a-4394-84f6-2df45a7e790c.jpg.296x216.jpg', '西财学府尚郡底跃    前后带花园    带子母车位', '西财学府尚郡  | 5室2厅 | 222.04平米 | 东南 | 其他 | 有电梯', '低楼层(共11层)2013年建板楼  -  温江大学城', '238万', '单价10719元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0d26fbae-8fd8-44b4-8377-60b9b3d3022b.png.296x216.jpg', '海科智城   清水套二， 户型方正，客厅带阳台', '海科智城  | 2室2厅 | 86.95平米 | 东南 | 其他', '中楼层(共17层)2010年建板楼  -  温江大学城', '76万', '单价8741元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b4541cc5-64e4-473c-bbd8-7f081bdf947b.png.296x216.jpg', '海科智城简装套三双卫带大阳台交通生活便利', '海科智城  | 3室2厅 | 121平米 | 西北 | 简装', '中楼层(共17层)2010年建板楼  -  温江大学城', '108万', '单价8926元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bad93e29-ceb3-48f8-a4d8-ce4c1be7ed4a.png.296x216.jpg', '和信孔雀城  清水房 套三双卫', '和信孔雀天成  | 3室1厅 | 126.31平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2015年建塔楼  -  温江新城', '162万', '单价12826元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ded868cf-e88c-451a-87c7-9497493de59a.png.296x216.jpg', '柳城谊苑  套四三卫 跃层带花园', '置信柳城谊苑  | 4室2厅 | 155.76平米 | 西北 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  温江老城', '150万', '单价9631元/平米')
('https://image1.ljcdn.com/510100-inspection/test-18edce19-6be6-4b8d-b021-867aadf9aecd.png.296x216.jpg', '置信学府杏林 套四双卫 清水房出售', '置信学府杏林一期  | 4室2厅 | 144.26平米 | 南 | 毛坯 | 有电梯', '高楼层(共18层)2013年建板楼  -  芙蓉古城', '155万', '单价10745元/平米')
('https://image1.ljcdn.com/510100-inspection/test-511d39f0-2958-4f38-826a-0e4007edcda9.png.296x216.jpg', '朝阳时代西锦居家装修好套二...', '朝阳时代西锦  | 2室2厅 | 89.03平米 | 西南 | 精装 | 有电梯', '高楼层(共33层)2014年建板楼  -  花都大道', '98万', '单价11008元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7bc8ea21-d4d4-48e7-9613-c110f6450145.png.296x216.jpg', '精装修套三，保养好，朝东南向，客厅卧室对中庭。', '金河谷一期  | 3室2厅 | 141.87平米 | 东南 | 其他 | 有电梯', '26层2009年建板塔结合  -  光华大道沿线', '246万', '单价17340元/平米')
('https://image1.ljcdn.com/510100-inspection/test-89e53658-e824-4f8c-b345-811b6317ded0.png.296x216.jpg', '西财学府阳光  清水房  套二单卫', '西财学府阳光  | 2室2厅 | 72.5平米 | 东南 | 其他 | 有电梯', '低楼层(共32层)2015年建塔楼  -  温江大学城', '80万', '单价11035元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ede1f57-a725-4f74-a659-27be6a605f9d.png.296x216.jpg', '仁和春天装修套四全实木家具、很少住人保养好', '春天大道  | 4室2厅 | 165.6平米 | 南 | 精装 | 有电梯', '低楼层(共25层)2009年建板塔结合  -  光华大道沿线', '320万', '单价19324元/平米')
('https://image1.ljcdn.com/510100-inspection/ff7590f1-2dff-4633-a5d7-7513903ab08b.jpg.296x216.jpg', '春天大道 洋房带花园 带车库，标准套四幻变套五', '春天大道  | 4室2厅 | 246平米 | 南 | 毛坯 | 无电梯', '低楼层(共7层)2009年建板塔结合  -  光华大道沿线', '510万', '单价20732元/平米')
('https://image1.ljcdn.com/510100-inspection/test-999ed36f-abd5-4771-aa21-057279a93e81.png.296x216.jpg', '装修房 拎包入住 中间楼层 朝南', '佳兆业丽晶港  | 2室2厅 | 71平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2012年建板楼  -  珠江新城', '100万', '单价14085元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0f5704c0-e94a-43c0-bf49-4c39ef941f34.png.296x216.jpg', '此房满两年，没有增值税，带家具家电一起出售。', '海科名城  | 3室2厅 | 97.2平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2011年建板楼  -  温江大学城', '108万', '单价11112元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e006250a-4ab8-4c9f-902e-2aff51c1cd75.png.296x216.jpg', '光华大道沿线 蜀城8号公馆  清水套三', '8号公馆  | 3室2厅 | 104平米 | 东 | 其他 | 有电梯', '中楼层(共30层)2014年建板塔结合  -  光华大道沿线', '140万', '单价13462元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d15022df-816f-4178-9e51-fe1b0857a162.png.296x216.jpg', '欣盛家园              装修套三', '欣盛家园  | 3室2厅 | 121.23平米 | 东 | 其他 | 无电梯', '中楼层(共5层)2005年建板塔结合  -  温江老城', '105万', '单价8662元/平米')
('https://image1.ljcdn.com/510100-inspection/test-38e001fc-9ff2-4631-b705-c690a707203e.png.296x216.jpg', '时代西锦清水套四。户型方正。居家之选。', '朝阳时代西锦  | 4室2厅 | 129.79平米 | 北 | 其他 | 有电梯', '中楼层(共33层)2014年建板楼  -  花都大道', '150万', '单价11558元/平米')
