('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload7427d6df-18f2-4c82-b5da-8f3a73e162aa.jpg.296x216.jpg', '海沧建行站，进出岛方便，产权满两年，业主诚意出售', '亚桥花园  | 2室2厅 | 68.78平米 | 东 西 | 简装 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '200万', '单价29079元/平米')
('https://image1.ljcdn.com/350200-inspection/61b8c831-9c78-428d-ac6a-f9840af60cdf.jpg.296x216.jpg', '蓝月湾一期满两年的大三房东南朝向', '未来海岸蓝月湾一期  | 3室2厅 | 115.23平米 | 东南 | 简装 | 有电梯', '中楼层(共31层)2007年建板楼  -  未来海岸北师大', '380万', '单价32978元/平米')
('https://image1.ljcdn.com/350200-inspection/f64184c8-cab3-448d-8114-697c6581009b.jpg.296x216.jpg', '融信海上城 2室2厅 115万', '融信海上城  | 2室2厅 | 44.47平米 | 东 | 精装 | 有电梯', '高楼层(共26层)2015年建塔楼  -  滨海社区', '115万', '单价25861元/平米')
('https://image1.ljcdn.com/350200-inspection/b3a42d50-fb03-449b-8581-5447bb3aeb7a.jpg.296x216.jpg', '亚桥花园 正规三房 采光通风好 诚意出售', '亚桥花园  | 3室2厅 | 133.28平米 | 北 | 其他 | 无电梯', '中楼层(共8层)2002年建板楼  -  海沧生活区', '355万', '单价26636元/平米')
('https://image1.ljcdn.com/350200-inspection/65543689-83f1-49f4-8fab-3a626daf082f.jpg.296x216.jpg', '泉舜滨海上城 满二年3房，视野开阔  通透户型', '泉舜滨海上城  | 3室2厅 | 130.66平米 | 东 | 简装 | 有电梯', '高楼层(共30层)2009年建塔楼  -  滨海社区', '510万', '单价39033元/平米')
('https://image1.ljcdn.com/350200-inspection/f6d672de-07c9-447f-b541-ba7ea6f78f8d.JPG.296x216.jpg', '绿苑商城精品两房 采光充足 乐海超市', '绿苑商城  | 2室2厅 | 73.68平米 | 东南 | 精装 | 有电梯', '低楼层(共30层)2009年建板楼  -  滨海社区', '230万', '单价31217元/平米')
('https://image1.ljcdn.com/350200-inspection/e0829960-f361-4457-a298-8856c2124c93.JPG.296x216.jpg', '青春海岸装修好两房 朝南朝向好 采光无遮挡', '青春海岸  | 2室2厅 | 97.53平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2016年建板楼  -  新阳工业区', '270万', '单价27684元/平米')
('https://image1.ljcdn.com/350200-inspection/503736df-75fe-4073-aba7-125315a9263b.JPG.296x216.jpg', '祥庆花园  满五唯一 居家装修看房方便', '祥庆花园  | 3室2厅 | 96.74平米 | 东 | 简装 | 无电梯', '中楼层(共7层)2005年建板楼  -  海沧生活区', '260万', '单价26877元/平米')
('https://image1.ljcdn.com/350200-inspection/eafaa064-f1d3-4554-80db-1f53d91ee533.JPG.296x216.jpg', '中骏蓝湾半岛 三房满五年省税欧式风格精装修东南', '中骏蓝湾半岛  | 3室2厅 | 118.42平米 | 东 西 | 精装 | 有电梯', '低楼层(共20层)2008年建塔楼  -  滨海社区', '580万', '单价48979元/平米')
('https://image1.ljcdn.com/350200-inspection/993e7daa-61d0-4767-bac8-469a767598fb.jpg.296x216.jpg', '读延奎 富佳苑 精装修 拎包入住 四房双阳台 南北通透', '富佳苑  | 4室2厅 | 137.76平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共7层)2004年建板楼  -  海沧生活区', '408万', '单价29617元/平米')
('https://image1.ljcdn.com/350200-inspection/32dacc63-15bc-49fa-9d20-35f43e8e88d4.jpg.296x216.jpg', '绿苑新城南北通透自住精装两房  送花园', '绿苑新城二组团  | 2室2厅 | 88.06平米 | 南 北 | 精装 | 有电梯', '低楼层(共11层)2011年建板楼  -  滨海社区', '345万', '单价39178元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadd1bce069-f72d-408c-bef1-895a51f2d287.jpg.296x216.jpg', '禹洲领海居家三房，满五唯一，采光充足格局方正', '禹洲领海  | 3室2厅 | 87.68平米 | 北 | 精装 | 有电梯', '中楼层(共33层)2011年建塔楼  -  海沧体育中心', '325万', '单价37067元/平米')
('https://image1.ljcdn.com/350200-inspection/e7fc4b20-58ea-49b5-8f65-2d72799aa084.jpg.296x216.jpg', '天御花园正规三房，南北通透，业主稳定出售，满两年。', '天御小区  | 3室2厅 | 130.19平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共32层)2007年建板楼  -  海沧区政府', '478万', '单价36716元/平米')
('https://image1.ljcdn.com/350200-inspection/3e69ad0e-3cda-4ac2-a450-b4675384f264.jpg.296x216.jpg', '长欣花园 2室1厅 215万', '长欣花园  | 2室1厅 | 73.85平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2003年建板楼  -  海沧生活区', '215万', '单价29114元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadb86d64aa-9e7d-467b-be17-74a98af57e9d.jpg.296x216.jpg', '天成广场 4室2厅 500万', '天成广场  | 4室2厅 | 155.39平米 | 南 | 简装 | 有电梯', '中楼层(共27层)2005年建板楼  -  海沧区政府', '500万', '单价32178元/平米')
('https://image1.ljcdn.com/350200-inspection/f96c5d9d-b2df-467a-9388-35fb97042f62.jpg.296x216.jpg', '海福广场正规三房 户型方正  价格合理', '海福广场小区  | 3室2厅 | 80.5平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2000年建板楼  -  海沧生活区', '249万', '单价30932元/平米')
('https://image1.ljcdn.com/350200-inspection/a43f102e-1936-496f-af1c-09b8079001f2.JPG.296x216.jpg', '滨海新区楼中楼、正规大6房、产权满2年自住装修！', '旭日海湾三期  | 6室2厅 | 219.8平米 | 东南 西北 | 精装 | 有电梯', '高楼层(共11层)2004年建板楼  -  滨海社区', '660万', '单价30028元/平米')
('https://image1.ljcdn.com/350200-inspection/0387dc24-a51d-4316-ba6f-5593aeda96f3.JPG.296x216.jpg', '中骏蓝湾半岛，业主自住大三房。', '中骏蓝湾半岛  | 3室2厅 | 144.78平米 | 东南 | 精装 | 有电梯', '中楼层(共20层)2008年建塔楼  -  滨海社区', '600万', '单价41443元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload5b8e2725-39fa-48bf-8a3a-14f970f1febc.JPG.296x216.jpg', '高层海景房 东南朝向 采光和阳光充足 好视野', '天心岛  | 2室1厅 | 91.56平米 | 西南 | 简装 | 有电梯', '高楼层(共32层)2009年建板楼  -  滨海社区', '360万', '单价39319元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadd9df4542-3b30-45b0-8d1e-18a7bf57e84c.jpg.296x216.jpg', '金龙二期 楼中楼 带露台 使用空间大 靠中庭安静 诚售', '金龙商城二期  | 4室2厅 | 180.81平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2004年建板楼  -  海沧生活区', '440万', '单价24335元/平米')
('https://image1.ljcdn.com/350200-inspection/155c0562-77c9-490b-a670-f07eaaee36e8.jpg.296x216.jpg', '大润发生活圈，居家两房拎包入住，业主诚售 欢迎来电', '亚桥花园  | 2室2厅 | 87.35平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  海沧生活区', '245万', '单价28049元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload65b658c9-4018-43ee-a49b-ac76bf5eff2d.JPG.296x216.jpg', '海晟维多利亚标准两房，精装，可拎包入住。', '海晟维多利亚  | 2室1厅 | 92.54平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2010年建塔楼  -  滨海社区', '400万', '单价43225元/平米')
('https://image1.ljcdn.com/350200-inspection/576d05df-7c10-4839-96b5-fbac2c4ffe5c.jpg.296x216.jpg', '改好小两房 产权满五年 电梯自住装修 采光好', '广场湖畔花园  | 2室1厅 | 51.1平米 | 东 | 简装 | 有电梯', '低楼层(共18层)2007年建板楼  -  海沧外国语片区', '168万', '单价32877元/平米')
('https://image1.ljcdn.com/350200-inspection/85fd1121-71ae-4681-b693-e36fb6dac681.JPG.296x216.jpg', '沿海一排 带260㎡独立使用露台 满两年 价格可谈', '海景奥斯卡  | 6室2厅 | 200.02平米 | 东南 | 简装 | 有电梯', '低楼层(共31层)2007年建塔楼  -  滨海社区', '1200万', '单价59995元/平米')
('https://image1.ljcdn.com/350200-inspection/d794a628-11ff-48f4-a907-ffbcc7fa40df.JPG.296x216.jpg', '精装大两房 拎包入住  入岛近 配套成熟', '旭日海湾一期  | 2室2厅 | 81.97平米 | 东南 | 精装 | 无电梯', '高楼层(共8层)2004年建板楼  -  滨海社区', '250万', '单价30499元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploade366ace9-ba21-4744-891b-73e38b5dcd50.jpg.296x216.jpg', '沧二小区 3室1厅 245万', '沧二小区  | 3室1厅 | 83.52平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)1999年建板楼  -  海沧生活区', '245万', '单价29335元/平米')
('https://image1.ljcdn.com/350200-inspection/221785f7-e006-4657-9cd9-60f008eb6363.jpg.296x216.jpg', '天源A8幢180度海景房，南北通透户型。', '天源  | 4室2厅 | 238.72平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共40层)2016年建板楼  -  海沧体育中心', '1350万', '单价56552元/平米')
('https://image1.ljcdn.com/350200-inspection/23e3fecf-ccc9-4ea4-b777-d51bf07fab30.JPG.296x216.jpg', '中骏蓝湾半岛 正规大三房 南北通透', '中骏蓝湾半岛  | 3室2厅 | 139平米 | 南 北 | 精装 | 有电梯', '中楼层(共20层)2008年建塔楼  -  滨海社区', '625万', '单价44965元/平米')
('https://image1.ljcdn.com/350200-inspection/19b7d696-cd74-432e-9aad-82ff216ea3f0.jpg.296x216.jpg', '旭日海湾三期 7室3厅 628万', '旭日海湾三期  | 7室3厅 | 234.21平米 | 南 北 | 精装 | 有电梯', '高楼层(共11层)2004年建板楼  -  滨海社区', '628万', '单价26814元/平米')
('https://image1.ljcdn.com/350200-inspection/4ef086fa-d5bc-4a8d-8c62-4d7ae6ba3f02.jpg.296x216.jpg', '水岸名筑 2室2厅 280万', '水岸名筑  | 2室2厅 | 90.55平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2008年建板塔结合  -  海沧体育中心', '280万', '单价30923元/平米')
('https://image1.ljcdn.com/350200-inspection/2ba1e09a-20e4-4d10-af13-26d8e14a96d1.jpg.296x216.jpg', '天心岛 正规三房 看房方便 诚意出售', '天心岛  | 3室2厅 | 143.07平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2009年建塔楼  -  滨海社区', '470万', '单价32852元/平米')
('https://image1.ljcdn.com/350200-inspection/739c246d-b2f1-4ed0-9525-05096eeb1aec.jpg.296x216.jpg', '汇利花园 产权满五 精装修楼中楼 带露台 南北通透', '汇利花园  | 4室2厅 | 189.71平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  海沧生活区', '495万', '单价26093元/平米')
('https://image1.ljcdn.com/350200-inspection/4e76b523-eea1-4cb4-b2ff-b079d225167b.jpg.296x216.jpg', '未来海岸浪琴湾  小高层电梯房 南北通透户型 带阳光房', '未来海岸浪琴湾  | 4室3厅 | 183.4平米 | 南 北 | 精装 | 有电梯', '高楼层(共7层)板楼  -  未来海岸北师大', '610万', '单价33261元/平米')
('https://image1.ljcdn.com/350200-inspection/7a756732-2249-4c15-b9f7-fc8fea2b1fc4.jpg.296x216.jpg', '禹洲花侨金海岸 正规三房 赠送面积大 满五唯一 有学府', '禹洲华侨金海岸  | 3室1厅 | 108平米 | 东北 | 简装 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  海沧体育中心', '330万', '单价30556元/平米')
('https://image1.ljcdn.com/350200-inspection/8fa7fbb2-a2c7-4da8-9934-7a370372f8f2.JPG.296x216.jpg', '海晟维多利亚4房户型通透满二年，一线海景房', '海晟维多利亚  | 4室2厅 | 141.44平米 | 南 北 | 精装 | 有电梯', '高楼层(共33层)2010年建塔楼  -  滨海社区', '715万', '单价50552元/平米')
('https://image1.ljcdn.com/350200-inspection/8c103e07-edd5-42c2-88ca-49ab64838893.jpg.296x216.jpg', '蓝月湾 中高楼层 赠送入户花园 可改大4房 北师大', '未来海岸蓝月湾一期  | 3室2厅 | 151.83平米 | 东 | 简装 | 有电梯', '中楼层(共31层)2007年建板楼  -  未来海岸北师大', '490万', '单价32273元/平米')
('https://image1.ljcdn.com/350200-inspection/93402ecd-1e7f-44b8-906c-bf2ebec0874b.jpg.296x216.jpg', '精细两房，日照东升，万物无遮，回味心香', '天御小区  | 2室1厅 | 83.08平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2007年建板楼  -  海沧区政府', '300万', '单价36110元/平米')
('https://image1.ljcdn.com/350200-inspection/784b7749-3a91-45c1-87cd-31c06b28a339.JPG.296x216.jpg', '满2年，引桥首站，户型方正，全明格局', '泉舜滨海上城  | 2室2厅 | 94.29平米 | 东南 | 精装 | 有电梯', '低楼层(共18层)2007年建塔楼  -  滨海社区', '338万', '单价35847元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload9a314058-ae5c-4e7f-856e-eb3d1dac00b9.jpg.296x216.jpg', '高尔夫独栋别墅 靠山面海 占地500平 业主诚意出售', '东方高尔夫别墅  | 4室2厅 | 239.31平米 | 南 | 毛坯', '低楼层(共2层)暂无数据  -  马銮湾', '1150万', '单价48055元/平米')
('https://image1.ljcdn.com/350200-inspection/9a9dff10-ff58-4d10-8b9a-3917aa65c3bc.JPG.296x216.jpg', '生活区 三房 单价低 满五年 急售', '鑫银公寓  | 3室2厅 | 74.94平米 | 南 | 简装', '低楼层(共7层)板楼  -  海沧生活区', '210万', '单价28023元/平米')
('https://image1.ljcdn.com/350200-inspection/6c53de55-2b75-4f02-ab7c-fe3387f159eb.JPG.296x216.jpg', '中骏海岸一号 沿海一排 看房预约 毛坯', '中骏海岸1号  | 4室2厅 | 169.75平米 | 南 | 毛坯 | 有电梯', '高楼层(共32层)2009年建塔楼  -  滨海社区', '820万', '单价48307元/平米')
('https://image1.ljcdn.com/350200-inspection/0fcbf7c8-14d1-4064-979a-b6ff4e2b9edc.jpg.296x216.jpg', '沧林路以南正规三房 东南朝向 业主自住换房诚售', '泉舜信海花园  | 3室2厅 | 98平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)2001年建板楼  -  海沧生活区', '265万', '单价27041元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload86d0edb1-ff30-4605-bb16-c8b60774d24c.JPG.296x216.jpg', '未来海岸浪琴湾 2室2厅 295万', '未来海岸浪琴湾  | 2室2厅 | 92平米 | 东 | 其他 | 无电梯', '低楼层(共7层)2006年建板楼  -  未来海岸北师大', '295万', '单价32066元/平米')
('https://image1.ljcdn.com/350200-inspection/7b7de4d4-f504-4a93-889b-960b685fad02.jpg.296x216.jpg', '海沧生活区亚太广场满五唯一 复式', '亚太广场  | 4室2厅 | 96.18平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2007年建板楼  -  海沧生活区', '440万', '单价45748元/平米')
('https://image1.ljcdn.com/350200-inspection/cc81a04e-331f-4c44-a6ee-37755eec80e5.jpg.296x216.jpg', '鼓浪花园2房，居家装修，业主诚意出售', '鼓浪花园  | 2室2厅 | 90.36平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  滨海社区', '276万', '单价30545元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_uploadadeac5a0-b85f-477b-af3a-373820c7b22d.jpg.296x216.jpg', '未来海岸 三源弘 满五年 通透户型 公摊很小', '三源弘  | 4室2厅 | 120.16平米 | 南 | 简装 | 无电梯', '中楼层(共8层)2005年建塔楼  -  未来海岸北师大', '315万', '单价26216元/平米')
('https://image1.ljcdn.com/350200-inspection/dd3d10e7-4d05-444b-92d1-5170f6630d66.jpg.296x216.jpg', '1号公馆 3室2厅 530万', '1号公馆  | 3室2厅 | 138.51平米 | 南 北 | 其他 | 有电梯', '中楼层(共31层)2013年建板楼  -  海沧生活区', '530万', '单价38265元/平米')
('https://image1.ljcdn.com/350200-inspection/16edd99c-4fd0-4188-9f4d-ab0340c477c3.JPG.296x216.jpg', '广场湖畔大三房，中高楼层景观好，产权满五，省税费', '广场湖畔花园  | 3室2厅 | 127.71平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  海沧外国语片区', '375万', '单价29364元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload33b07b4a-65d6-4761-848e-b3e2c30b9b7e.JPG.296x216.jpg', '滨海上城精装修小两房业主诚意出售', '泉舜滨海上城  | 2室1厅 | 51.38平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2009年建塔楼  -  滨海社区', '220万', '单价42819元/平米')
('https://image1.ljcdn.com/350200-inspection/86b7bab4-20bc-4048-8133-e35851d7f428.jpg.296x216.jpg', '旭日海湾二期，精装楼梯小两房出售。', '旭日海湾二期  | 2室2厅 | 74.15平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2002年建板楼  -  滨海社区', '230万', '单价31019元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload9154ff4d-8860-47a5-a04f-93694c0119b1.JPG.296x216.jpg', '绿苑海景看湖看海3+1房，居家装修，产权满五唯一', '绿苑海景  | 4室2厅 | 166.27平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2007年建塔楼  -  滨海社区', '630万', '单价37891元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload34e3cf8a-8bc7-4a3c-a869-141a68683715.jpg.296x216.jpg', '未来海岸  水岸名筑 海沧自贸区 体育管  产权满五年', '水岸名筑  | 3室2厅 | 128.19平米 | 南 北 | 简装 | 有电梯', '高楼层(共18层)2008年建板塔结合  -  海沧体育中心', '355万', '单价27694元/平米')
('https://image1.ljcdn.com/350200-inspection/fc1baa36-2002-47a2-b635-f79b70594578.JPG.296x216.jpg', '忙忙碌碌已到不惑之年，何时给漂泊的心安个家？这四房', '1号公馆  | 4室2厅 | 167.81平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共31层)2013年建板楼  -  海沧生活区', '640万', '单价38139元/平米')
('https://image1.ljcdn.com/350200-inspection/e089a91e-1e17-4339-8a80-421146cddafa.jpg.296x216.jpg', '海沧大桥底下 自住居家两房 赠送储物间 满五年唯一', '金龙商城二期  | 2室2厅 | 83.79平米 | 东南 | 简装 | 无电梯', '低楼层(共6层)2004年建板楼  -  海沧生活区', '235万', '单价28047元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload898ef321-5448-4bdb-85d3-d235d2bb99d4.jpg.296x216.jpg', '天籁花园 正规三房 采光好 总价低 产权满五年 读延奎', '天籁  | 3室2厅 | 132.33平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2008年建板楼  -  海沧生活区', '410万', '单价30984元/平米')
('https://image1.ljcdn.com/350200-inspection/c2ae924d-83c7-44ff-8e23-b2943ee7dc38.JPG.296x216.jpg', '加州海岸，正南北户型通透，产权满五年', '加州海岸  | 3室2厅 | 131.93平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2007年建板楼  -  海沧生活区', '538万', '单价40780元/平米')
('https://image1.ljcdn.com/350200-inspection/3aa12867-2c10-4ae0-8795-567b15438f70.JPG.296x216.jpg', '旭日海湾二期2房310万，家具齐全，交通购物便捷', '旭日海湾二期  | 2室2厅 | 105.03平米 | 东南 | 简装 | 无电梯', '高楼层(共8层)2002年建板楼  -  滨海社区', '225万', '单价21423元/平米')
('https://image1.ljcdn.com/350200-inspection/rsp_pic_upload8357800b-6650-402e-bf7f-68d80952b113.JPG.296x216.jpg', '泉舜滨海上城 2室1厅 270万', '泉舜滨海上城  | 2室1厅 | 62.38平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2007年建塔楼  -  滨海社区', '270万', '单价43284元/平米')
('https://image1.ljcdn.com/350200-inspection/4ab92a29-4522-4506-ab32-f356abdea65f.JPG.296x216.jpg', '金海苑 5室1厅 388万', '金海苑  | 5室1厅 | 139.34平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2007年建板楼  -  滨海社区', '388万', '单价27846元/平米')
('https://image1.ljcdn.com/350200-inspection/dba48d0b-a47e-4f88-be43-4887d858c244.jpg.296x216.jpg', '北师大 通透高层看海景 音乐喷泉 三阳台 自住精装', '未来海岸蓝水郡  | 3室2厅 | 123.7平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2005年建塔楼  -  海沧体育中心', '420万', '单价33954元/平米')
('https://image1.ljcdn.com/350200-inspection/7edceec5-0afa-4269-ab78-ec7626c06b1b.JPG.296x216.jpg', '天心岛 3室2厅 455万', '天心岛  | 3室2厅 | 122.61平米 | 南 | 其他 | 有电梯', '中楼层(共23层)2009年建塔楼  -  滨海社区', '455万', '单价37110元/平米')
