('https://image1.ljcdn.com/340100-inspection/17c8b8ef-9ee7-4f83-91ec-fd663fe1edfb.jpg.296x216.jpg', '信旺华府骏苑 2室2厅 159万', '信旺华府骏苑  | 2室2厅 | 103.33平米 | 南 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '159万', '单价15388元/平米')
('https://image1.ljcdn.com/340100-inspection/a61a8abe-0f8a-4366-b222-8b368018434d.jpg.296x216.jpg', '红鑫新村 2室2厅 118万', '红鑫新村  | 2室2厅 | 68.32平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  南七', '118万', '单价17272元/平米')
('https://image1.ljcdn.com/340100-inspection/ac1d1ab4-6130-47f9-bf4f-00d199354a59.jpg.296x216.jpg', '汉嘉都市森林  两卧朝南 毛坯房 3室2厅', '汉嘉都市森林  | 3室2厅 | 137.6平米 | 南 | 毛坯', '中楼层(共27层)2011年建板塔结合  -  西园', '295万', '单价21439元/平米')
('https://image1.ljcdn.com/340100-inspection/6f2d32fb-cd1a-44ae-a319-d9e2bda97482.jpg.296x216.jpg', '中海原山 2室2厅 160万', '中海原山  | 2室2厅 | 87.72平米 | 南 | 其他', '高楼层(共33层)2012年建塔楼  -  新产业园', '160万', '单价18240元/平米')
('https://image1.ljcdn.com/340100-inspection/c0cdacb1-6da7-4c99-9a5e-4722f758dc35.JPG.296x216.jpg', '精装两房 全明全南户型 业主诚意出售 随时看房', '领势公馆  | 2室2厅 | 86.78平米 | 南 | 简装', '低楼层(共34层)2012年建塔楼  -  西园', '157万', '单价18092元/平米')
('https://image1.ljcdn.com/340100-inspection/354e43f2-2e5c-40ed-ad3b-af01ba6f1bce.jpg.296x216.jpg', '此房满五年免增值税 采光全天 正规三房', '安居苑东村  | 3室2厅 | 93.82平米 | 南 北 | 其他', '低楼层(共6层)2000年建板楼  -  西园', '230万', '单价24516元/平米')
('https://image1.ljcdn.com/340100-inspection/537b3602-1e4c-49fe-808a-fe116588ecb5.jpg.296x216.jpg', '华地学府名都 2室2厅 220万', '华地学府名都  | 2室2厅 | 87.23平米 | 南 北 | 精装', '高楼层(共30层)2011年建塔楼  -  南七', '220万', '单价25221元/平米')
('https://image1.ljcdn.com/340100-inspection/281a9289-0e40-4766-8d7f-eed5de6d908f.jpg.296x216.jpg', '信达西山银杏 精装修 采光充足 户型方正', '信达西山银杏  | 2室2厅 | 85.11平米 | 南 | 其他', '高楼层(共26层)2012年建塔楼  -  南七', '175万', '单价20562元/平米')
('https://image1.ljcdn.com/340100-inspection/870b0586-cb42-4cf6-bfb1-c57d8f50e61b.jpg.296x216.jpg', '岳西新村 多层两居室 采光充足 业主诚心出售', '岳西东村  | 2室1厅 | 66.99平米 | 南 北 | 其他', '高楼层(共6层)1999年建板楼  -  西园', '89万', '单价13286元/平米')
('https://image1.ljcdn.com/340100-inspection/1a973560-3832-4c5d-a059-a2fba2224b6f.jpg.296x216.jpg', '颐和花园 2室1厅 118万', '颐和花园  | 2室1厅 | 61.34平米 | 南 | 其他', '高楼层(共18层)2009年建板楼  -  五里墩', '118万', '单价19238元/平米')
('https://image1.ljcdn.com/340100-inspection/f42e5f44-2e8e-4343-bf2d-28bd49ca7b72.jpg.296x216.jpg', '大溪地御倾城 2室2厅 145万', '大溪地御倾城  | 2室2厅 | 71平米 | 西南 | 其他', '中楼层(共32层)2014年建塔楼  -  西园', '145万', '单价20423元/平米')
('https://image1.ljcdn.com/340100-inspection/c23c3810-7e46-4a48-aac3-f3cbd2c72b95.jpg.296x216.jpg', '翡翠园 3室1厅 145万', '翡翠园  | 3室1厅 | 87平米 | 南 北 | 其他', '低楼层(共8层)2000年建板楼  -  琥珀', '145万', '单价16667元/平米')
('https://image1.ljcdn.com/340100-inspection/1e4947b9-18da-4b1f-9c1e-771fadb6ed32.jpg.296x216.jpg', '燃料公司宿舍 2室1厅 115万', '燃料公司宿舍  | 2室1厅 | 71.45平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  三里庵', '115万', '单价16096元/平米')
('https://image1.ljcdn.com/340100-inspection/c94efed0-ccb4-47a2-9011-202c3f14c500.jpg.296x216.jpg', '汉嘉都市森林 6室2厅 420万', '汉嘉都市森林  | 6室2厅 | 239.48平米 | 南 | 毛坯', '高楼层(共11层)2011年建板塔结合  -  西园', '420万', '单价17538元/平米')
('https://image1.ljcdn.com/340100-inspection/a9d365ef-80cd-47c1-b122-d2a45399fdae.jpg.296x216.jpg', '光明苑 1室1厅 87万', '光明苑  | 1室1厅 | 37.33平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  西园', '87万', '单价23306元/平米')
('https://image1.ljcdn.com/340100-inspection/c44219f5-9c29-4bff-a22c-4f41f854e074.jpg.296x216.jpg', '为你而选为你为家 凤凰城三期 南北通透大三居', '凤凰城家家景园三期  | 3室2厅 | 114.61平米 | 南 北 | 简装', '中楼层(共6层)2006年建板楼  -  井岗镇', '175万', '单价15270元/平米')
('https://image1.ljcdn.com/340100-inspection/874f7de2-798f-4fce-ae43-e3e66046ff6a.JPG.296x216.jpg', '毛坯未住 可塑性很好 适宜刚需繁华地段配套完善', '金环花园南区  | 2室1厅 | 78.58平米 | 南 | 毛坯', '高楼层(共6层)2000年建板楼  -  南七', '120万', '单价15272元/平米')
('https://image1.ljcdn.com/340100-inspection/3e3e16cc-ab58-46ec-b97d-d4bbf2ad2997.jpg.296x216.jpg', '康居时代家园南区 3室2厅 225万', '康居时代家园南区  | 3室2厅 | 142.7平米 | 南 | 其他', '高楼层(共11层)2005年建板楼  -  琥珀', '225万', '单价15768元/平米')
('https://image1.ljcdn.com/340100-inspection/bbe89147-02d4-40b1-96af-0c99dfb649a4.jpg.296x216.jpg', '公园道壹号恢复楼 2室1厅 83万', '公园道壹号恢复楼  | 2室1厅 | 67.17平米 | 南 | 其他', '高楼层(共18层)2011年建塔楼  -  井岗镇', '83万', '单价12357元/平米')
('https://image1.ljcdn.com/340100-inspection/1c42def8-5f2f-4629-ad62-1c2fc1453c2c.JPG.296x216.jpg', '匡河景观房+朝南户型+阳光充足+户型正气+视野开阔急售', '丁香家园二期  | 2室2厅 | 98.76平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  南七', '138万', '单价13974元/平米')
('https://image1.ljcdn.com/340100-inspection/208e58ec-1acf-489e-b206-bd9299b9a7b0.JPG.296x216.jpg', '华润幸福里 大两房 全天采光 大阳台 双卧朝南', '华润幸福里  | 2室2厅 | 85.13平米 | 南 | 简装', '低楼层(共33层)2013年建塔楼  -  南七', '162万', '单价19030元/平米')
('https://image1.ljcdn.com/340100-inspection/f1966e58-197e-45ad-aa28-c925e817860d.jpg.296x216.jpg', '为你而选 华地公寓B座 方正一房 采光充足 视野开阔', '华地公馆公寓  | 1室1厅 | 33.37平米 | 南 | 其他', '高楼层(共30层)2015年建塔楼  -  南七', '76万', '单价22775元/平米')
('https://image1.ljcdn.com/340100-inspection/f47453c0-1de7-48ec-85bc-d7ab4b60821f.jpg.296x216.jpg', '龙居山庄 锦龙居 两室朝南 户型方正 大阳台 带院子', '龙居山庄锦龙居  | 2室2厅 | 80.28平米 | 南 | 其他', '低楼层(共6层)2004年建板楼  -  五里墩', '128万', '单价15945元/平米')
('https://image1.ljcdn.com/340100-inspection/40d86ed1-2899-4407-8364-d9507210a630.jpg.296x216.jpg', '印象西湖南北通透两居室高楼层采光好满两年配套成熟', '印象西湖  | 2室2厅 | 81.7平米 | 南 北 | 其他', '高楼层(共28层)2011年建塔楼  -  稻香村', '168万', '单价20564元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0fc314e6-b59a-4858-a161-7af54f25eadb.jpg.296x216.jpg', '此房满五年，自住精装修，视野好，配套成熟。', '奥林花园  | 3室2厅 | 118.1平米 | 南 北 | 其他', '高楼层(共6层)2007年建板楼  -  琥珀', '168万', '单价14226元/平米')
('https://image1.ljcdn.com/340100-inspection/test-7222118c-427e-4c09-a502-2ef47cdc0f3b.png.296x216.jpg', '带厅带阳台小一居+地铁+森林视野', '加侨悦山国际  | 1室1厅 | 55.55平米 | 东南 | 其他', '中楼层(共31层)2015年建塔楼  -  新产业园', '85万', '单价15302元/平米')
('https://image1.ljcdn.com/340100-inspection/1af110d8-520c-416f-9736-3f957c9b1198.jpg.296x216.jpg', '管家推荐：70年产权精装两居室—给您一个家', '紫荆商务广场  | 2室1厅 | 73.52平米 | 南 | 其他', '中楼层(共32层)2013年建塔楼  -  井岗镇', '107万', '单价14554元/平米')
('https://image1.ljcdn.com/340100-inspection/aed5e031-54e2-4e37-9164-71017460f35e.jpg.296x216.jpg', '为你而选 为你为家 利恒嘉苑 三居室 户型方正', '利恒嘉苑  | 3室2厅 | 126.88平米 | 南 | 其他', '高楼层(共6层)2008年建板楼  -  南七', '185万', '单价14581元/平米')
('https://image1.ljcdn.com/340100-inspection/aeacb58b-4773-4f80-8daf-29623ce0503a.jpg.296x216.jpg', '信旺华府骏苑 3室2厅 220万', '信旺华府骏苑  | 3室2厅 | 166.55平米 | 南 | 其他', '中楼层(共28层)2005年建塔楼  -  南七', '220万', '单价13210元/平米')
('https://image1.ljcdn.com/340100-inspection/ae74be20-5880-4a70-8a2e-f10d6b851e2c.jpg.296x216.jpg', '中海原山 东边四季花海 直观大蜀山', '中海原山  | 4室2厅 | 142.78平米 | 南 | 其他', '中楼层(共33层)2012年建塔楼  -  新产业园', '300万', '单价21012元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload4cc0b641-8f35-4600-bfc7-b61f3bca276f.jpg.296x216.jpg', '红皖家园，三房两卫，南北通透，满五年，观四季花海', '红皖家园  | 3室2厅 | 132.14平米 | 南 北 | 其他', '高楼层(共18层)2010年建塔楼  -  新产业园', '170万', '单价12866元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload7b9e0d5f-366b-4ec1-b155-62a507d344ce.jpg.296x216.jpg', '为你而选为你为家汉嘉都市森林看房随时有钥匙业主诚心', '汉嘉都市森林  | 3室2厅 | 145.75平米 | 南 北 | 简装', '中楼层(共11层)2011年建板塔结合  -  西园', '320万', '单价21956元/平米')
('https://image1.ljcdn.com/340100-inspection/13e5fff4-f844-43ff-9220-715e8fa16a21.jpg.296x216.jpg', '万科金色名郡南北通透三居室 中楼层采光好 带墙暖', '金色名郡  | 3室2厅 | 89.93平米 | 南 北 | 其他', '中楼层(共34层)2015年建塔楼  -  南七', '210万', '单价23352元/平米')
('https://image1.ljcdn.com/340100-inspection/bd9b21ed-39e1-4667-8bac-78527e571b60.jpg.296x216.jpg', '大溪地天籁轩 1室1厅 88万', '大溪地天籁轩  | 1室1厅 | 35.93平米 | 东 | 其他', '高楼层(共9层)2012年建板楼  -  西园', '88万', '单价24493元/平米')
('https://image1.ljcdn.com/340100-inspection/5d3b7d3a-13da-422a-9bd6-1effd9d17c84.jpg.296x216.jpg', '新华学府花园 3室2厅 295万', '新华学府花园  | 3室2厅 | 143.71平米 | 南 北 | 其他', '低楼层(共11层)2005年建板楼  -  南七', '295万', '单价20528元/平米')
('https://image1.ljcdn.com/340100-inspection/f1503d20-2727-4c93-a86d-e1624a6a7bb0.jpg.296x216.jpg', '四季花海大蜀山 红皖家园刚需两居室 满五年 主卧朝南', '红皖家园  | 2室2厅 | 66.57平米 | 东 北 | 其他', '低楼层(共18层)2010年建塔楼  -  新产业园', '96万', '单价14421元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload078c1ef6-0e18-4d9e-9e61-3ead9ae29a2c.jpg.296x216.jpg', '为你而选为你为家 无个税 龙居一楼带院子诚心出售', '龙居山庄锦龙居  | 3室2厅 | 88.9平米 | 南 北 | 简装', '低楼层(共6层)2004年建板楼  -  五里墩', '129万', '单价14511元/平米')
('https://image1.ljcdn.com/340100-inspection/8c119685-824b-4b38-b2c7-098abbe6de4a.jpg.296x216.jpg', '丰盛华庭 地铁口 精装一居 公积金神器 可租可住', '丰盛华庭  | 1室1厅 | 32.34平米 | 西北 | 精装', '低楼层(共30层)2013年建塔楼  -  西园', '52万', '单价16080元/平米')
('https://image1.ljcdn.com/340100-inspection/bb64e8c6-a35b-4529-9b48-706808ecead9.jpg.296x216.jpg', '信旺华府骏苑 3室2厅 235万', '信旺华府骏苑  | 3室2厅 | 155.47平米 | 东 南 北 | 其他', '高楼层(共28层)2005年建塔楼  -  南七', '235万', '单价15116元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload77cba54e-e26d-438b-ab25-1b0199c855cc.JPG.296x216.jpg', '信旺华府骏苑 此房是简单装修 带落地窗 楼层适中 急售', '信旺华府骏苑  | 1室1厅 | 50.52平米 | 北 | 其他', '中楼层(共29层)2013年建塔楼  -  南七', '55万', '单价10887元/平米')
('https://image1.ljcdn.com/340100-inspection/e338a4f5-2b8d-4c5c-9949-a2c70b32d45b.jpg.296x216.jpg', '紫荆商务广场 2室1厅 108万', '紫荆商务广场  | 2室1厅 | 72.7平米 | 南 北 | 其他', '中楼层(共32层)2013年建塔楼  -  井岗镇', '108万', '单价14856元/平米')
('https://image1.ljcdn.com/340100-inspection/f2081944-e0d7-47f2-9bd9-c126c220d50b.jpg.296x216.jpg', '金大地边户东南户型 采光充足 精装修 家具家电齐全', '金大地1912  | 2室2厅 | 74.22平米 | 东南 | 精装', '低楼层(共33层)2012年建塔楼  -  南七', '138万', '单价18594元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload28f10415-4be3-4d25-8366-417a20143882.jpg.296x216.jpg', '金色池塘大四居，户型方正，看房方便，', '金色池塘三期  | 4室2厅 | 135.7平米 | 南 北 | 其他', '低楼层(共28层)2008年建塔楼  -  井岗镇', '230万', '单价16950元/平米')
('https://image1.ljcdn.com/340100-inspection/050f62c7-a1a5-4bcb-9877-2bef4166c309.jpg.296x216.jpg', '满五唯一，精装修，楼层好，采光好，拎包入住。', '新华优阁  | 1室1厅 | 43.62平米 | 东 | 精装', '中楼层(共32层)2010年建板楼  -  西园', '78万', '单价17882元/平米')
('https://image1.ljcdn.com/340100-inspection/2fb60538-5570-4be1-acbf-0fc0950ac30a.JPG.296x216.jpg', '金色名郡  精装小三房 环境优美 配套齐全 交通便利', '金色名郡  | 3室2厅 | 79.57平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  南七', '183万', '单价22999元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadc8a29736-cf10-4d0a-9b69-0edbeccf4141.jpg.296x216.jpg', '满五年 朝南户型  采光好 高楼层 交通便利 诚心出售', '燕园  | 2室1厅 | 88.53平米 | 南 | 简装', '高楼层(共18层)2008年建塔楼  -  五里墩', '145万', '单价16379元/平米')
('https://image1.ljcdn.com/340100-inspection/ed1c52bb-8923-4423-a621-a569d0ac8f72.jpg.296x216.jpg', '绿城百合公寓 3室1厅 275万', '绿城百合公寓  | 3室1厅 | 125.6平米 | 南 | 其他', '高楼层(共16层)2007年建塔楼  -  南七', '275万', '单价21895元/平米')
('https://image1.ljcdn.com/340100-inspection/c6b620b4-ca99-45a5-8866-a06419505961.jpg.296x216.jpg', '为你而选为你为家 精装三居室 户型方正 采光足', '伯益经典雅苑  | 3室2厅 | 90.01平米 | 南 | 简装', '中楼层(共11层)2009年建板楼  -  西园', '170万', '单价18887元/平米')
('https://image1.ljcdn.com/340100-inspection/9d92e775-9d9e-4c6d-85b1-4c3fcadd5510.jpg.296x216.jpg', '为你而选 华府骏苑 方正两房 户型好 楼层佳采光无遮挡', '信旺华府骏苑  | 2室1厅 | 74.82平米 | 北 | 其他', '中楼层(共29层)2005年建塔楼  -  南七', '115万', '单价15371元/平米')
('https://image1.ljcdn.com/340100-inspection/cd0ec13b-a1f9-4167-9a0f-48d67175e511.jpg.296x216.jpg', '大溪地御倾城 4室2厅 390万', '大溪地御倾城  | 4室2厅 | 156.25平米 | 南 | 其他', '高楼层(共14层)2014年建板楼  -  西园', '390万', '单价24960元/平米')
('https://image1.ljcdn.com/340100-inspection/ad2a9637-87d3-459e-9655-59282310d4d8.jpg.296x216.jpg', '精装 三居室 市政供暖  配套齐全 环境清幽 交通便利', '安高城市天地  | 3室2厅 | 103平米 | 南 | 其他', '中楼层(共18层)2008年建塔楼  -  稻香村', '198万', '单价19224元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2cf90950-77c2-4426-a08e-80f3e28aa548.jpg.296x216.jpg', '新华优阁，满五年，精装一居 交通便利', '新华优阁  | 1室1厅 | 43.62平米 | 东 | 其他', '中楼层(共32层)2010年建板楼  -  西园', '76万', '单价17424元/平米')
('https://image1.ljcdn.com/340100-inspection/04cb6383-2cfc-453e-91dd-a26e6f3d4bac.jpg.296x216.jpg', '楼栋位置佳 采光无遮挡 精装2居室 交通方便', '燕园  | 2室2厅 | 88.53平米 | 南 | 精装', '中楼层(共18层)2008年建塔楼  -  五里墩', '149万', '单价16831元/平米')
('https://image1.ljcdn.com/340100-inspection/c5867c00-0961-4393-b3ad-db108516c961.jpg.296x216.jpg', '此房满两年 两证齐全 户型方正，采光好', '公园道1号  | 2室1厅 | 76.11平米 | 南 | 其他', '高楼层(共30层)2012年建塔楼  -  井岗镇', '92万', '单价12088元/平米')
('https://image1.ljcdn.com/340100-inspection/cc373dc9-044a-4941-a631-a85514844161.jpg.296x216.jpg', '安高城市天地 4室3厅 375万', '安高城市天地  | 4室3厅 | 191.23平米 | 南 西 | 其他', '高楼层(共11层)2008年建塔楼  -  稻香村', '375万', '单价19610元/平米')
('https://image1.ljcdn.com/340100-inspection/9681dd0d-2ac3-45bb-8d39-0ef12a30a30c.jpg.296x216.jpg', '信旺华府骏苑 3室2厅 230万', '信旺华府骏苑  | 3室2厅 | 157平米 | 南 北 | 其他', '中楼层(共28层)2005年建塔楼  -  南七', '230万', '单价14650元/平米')
('https://image1.ljcdn.com/340100-inspection/937e4246-134f-4b39-8dcb-3965cc4888a6.jpg.296x216.jpg', '华润幸福里 敞亮两房 大阳台 中高楼层 采光充足', '华润幸福里  | 2室2厅 | 88.18平米 | 南 | 其他', '中楼层(共33层)2013年建塔楼  -  南七', '163万', '单价18485元/平米')
('https://image1.ljcdn.com/340100-inspection/test-9be0a791-50ea-4c74-b494-c9fa060f1a2e.png.296x216.jpg', '华润桃源里，刚需三房，户型方正，两房朝南，管家物业', '华润桃源里  | 3室2厅 | 89.66平米 | 南 北 | 其他', '低楼层(共29层)板塔结合  -  新产业园', '150万', '单价16730元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload3f774c74-c8b0-4023-be81-ca9e0a999452.jpg.296x216.jpg', '蜀麓苑 毛坯大三房 户型好 采光好', '蜀麓苑  | 3室2厅 | 142平米 | 南 北 | 其他', '中楼层(共18层)2009年建板楼  -  新产业园', '240万', '单价16902元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload2db20425-4731-4f4f-b7f5-3cabfd67beb7.jpg.296x216.jpg', '植物园御安西苑通透大三居 两卧朝南 高楼层 采光好', '御安西苑  | 3室2厅 | 99.66平米 | 南 | 其他', '低楼层(共31层)2014年建塔楼  -  井岗镇', '125万', '单价12543元/平米')
('https://image1.ljcdn.com/340100-inspection/7f046e4b-1aea-4e99-a329-8a055a4fe5e9.jpg.296x216.jpg', '正创上品家苑 2室2厅 132万', '正创上品家苑  | 2室2厅 | 80平米 | 南 北 | 其他', '低楼层(共15层)2011年建塔楼  -  南七', '132万', '单价16500元/平米')
('https://image1.ljcdn.com/340100-inspection/b881b5cc-a7b7-4cc3-8120-5b2bcff16c59.jpg.296x216.jpg', '港汇广场 1室1厅 95万', '港汇广场  | 1室1厅 | 61.13平米 | 南 | 其他', '高楼层(共30层)2013年建塔楼  -  南七', '95万', '单价15541元/平米')
('https://image1.ljcdn.com/340100-inspection/test-cc943876-d6fd-4b2f-97f9-ce72aff02d31.png.296x216.jpg', '此房 已经满五年 红皖稀有大三房 户型刚正 业主诚心卖', '红皖家园  | 3室2厅 | 105.29平米 | 南 北 | 其他', '低楼层(共18层)2009年建塔楼  -  新产业园', '155万', '单价14722元/平米')
('https://image1.ljcdn.com/340100-inspection/e8f5e1d8-4e95-4008-b131-69f71b408dfc.jpg.296x216.jpg', '龙居山庄小区中间位置，中高楼层，前后无遮挡，纯毛坯', '龙居山庄  | 4室2厅 | 176.8平米 | 南 北 | 其他', '中楼层(共11层)2010年建板楼  -  五里墩', '256万', '单价14480元/平米')
('https://image1.ljcdn.com/340100-inspection/14f27232-24fe-4c00-be5e-96b417df7b4e.jpg.296x216.jpg', '为你而选为你为家  安高城市天地  精装市政供暖', '安高城市天地  | 1室1厅 | 42平米 | 南 | 其他', '高楼层(共26层)2009年建塔楼  -  稻香村', '85万', '单价20239元/平米')
('https://image1.ljcdn.com/340100-inspection/dd82a0e9-5e37-4659-9a25-478ef278752c.jpg.296x216.jpg', '大溪地五期 精装四居室 户型方正 业主诚心出售', '大溪地天逸轩  | 4室2厅 | 115.9平米 | 南 | 精装', '低楼层(共32层)2014年建板楼  -  西园', '235万', '单价20277元/平米')
('https://image1.ljcdn.com/340100-inspection/145351ad-e404-4a13-a9a6-28b4a1cb4ec6.jpg.296x216.jpg', '信旺华府骏苑 3室2厅 168万', '信旺华府骏苑  | 3室2厅 | 118.5平米 | 南 北 | 其他', '中楼层(共29层)2005年建塔楼  -  南七', '168万', '单价14178元/平米')
('https://image1.ljcdn.com/340100-inspection/8e25a552-fa51-4f44-a3a1-e78a65460b86.jpg.296x216.jpg', '加侨悦山国际 4室2厅 275万', '加侨悦山国际  | 4室2厅 | 127.14平米 | 南 | 其他', '低楼层(共6层)2015年建板楼  -  新产业园', '275万', '单价21630元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadd3a6533d-305b-44d5-8e07-b3ea9f9b16b0.jpg.296x216.jpg', '为你而选为你为家 公园道1号 精装大两室 拎包入住', '公园道1号  | 2室2厅 | 102.24平米 | 南 | 其他', '中楼层(共25层)2011年建塔楼  -  井岗镇', '150万', '单价14672元/平米')
