('https://image1.ljcdn.com/420100-inspection/fa78bc44-7037-49d3-8e08-3107ec929474.JPG.296x216.jpg', '世纪江尚  一线江景  南北通透  采光充足  看房方便', '世纪江尚  | 4室2厅 | 185.43平米 | 南 北 | 其他 | 有电梯', '低楼层(共57层)2016年建板楼  -  前进江汉', '690万', '单价37211元/平米')
('https://image1.ljcdn.com/420100-inspection/test-8286c3c4-2671-4045-aba7-f8b0b7bb9a0b.png.296x216.jpg', '小户型正规两房 总价低 房东诚心出售 钥匙房', '美联时光里  | 2室1厅 | 64.11平米 | 西 | 其他 | 有电梯', '低楼层(共34层)2016年建板塔结合  -  塔子湖', '140万', '单价21838元/平米')
('https://image1.ljcdn.com/420100-inspection/fcedcdfe-2e93-435d-b0ef-edcbe554fa72.jpg.296x216.jpg', '老证 中间楼层 中等装修 看房随时', '浩海小区  | 4室2厅 | 156.26平米 | 南 北 | 其他 | 无电梯', '中楼层(共8层)1998年建板楼  -  杨汊湖', '192万', '单价12288元/平米')
('https://image1.ljcdn.com/420100-inspection/80e0593d-1d20-4845-9ee2-cc05ac7144b9.jpg.296x216.jpg', '北斗花园 中间楼层 采光良好 无遮挡', '北斗花园  | 4室2厅 | 174.36平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  唐家墩', '265万', '单价15199元/平米')
('https://image1.ljcdn.com/420100-inspection/ae96d528-5dce-4f30-93f9-81c2fdc128af.jpg.296x216.jpg', '泛海国际悦海园两室两厅朝南户型', '泛海国际悦海园  | 2室2厅 | 85.38平米 | 南 | 其他 | 有电梯', '高楼层(共32层)2014年建板楼  -  CBD西北湖', '276万', '单价32327元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload5e53fa2f-90ff-41db-8221-6bbd39d4c840.jpg.296x216.jpg', '万科城两房朝南户型，中间楼层，不临三环，诚意出售', '万科城  | 2室2厅 | 83.7平米 | 东 南 | 其他 | 有电梯', '低楼层(共30层)2014年建板楼  -  常青路', '168万', '单价20072元/平米')
('https://image1.ljcdn.com/420100-inspection/e037c577-0cc8-46fa-bc43-7b715a6a7002.jpg.296x216.jpg', '诚售 老证免个税 中高层 户型方正 采光优质 南北通透', '海虹景  | 3室2厅 | 108.29平米 | 南 北 | 其他 | 有电梯', '中楼层(共11层)2004年建塔楼  -  唐家墩', '275万', '单价25395元/平米')
('https://image1.ljcdn.com/420100-inspection/test-afb1db52-2645-4ff4-8f75-6a8d6da1ebd9.png.296x216.jpg', '杨汊湖 常青二垸 南北通透 一梯两户 有钥匙', '常青二垸  | 2室1厅 | 64平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)1992年建板楼  -  杨汊湖', '116万', '单价18125元/平米')
('https://image1.ljcdn.com/420100-inspection/ee39a98d-2502-4728-a937-48941c9db2e6.jpg.296x216.jpg', '常青路台银大厦正规两房 老证中间楼层 看房方便', '台银大厦  | 2室1厅 | 107.72平米 | 南 北 | 其他 | 有电梯', '高楼层(共28层)2006年建塔楼  -  常青路', '149万', '单价13833元/平米')
('https://image1.ljcdn.com/420100-inspection/5e1f2bf4-1079-474c-bd93-72633f9ec174.jpg.296x216.jpg', '此房房东重新装修，住家很温馨，3房2厅1卫。', '越秀国际金融汇  | 3室2厅 | 113.25平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2016年建板塔结合  -  武广万松园', '400万', '单价35321元/平米')
('https://image1.ljcdn.com/420100-inspection/7df1f4d8-2354-4d2f-abeb-fc83109435e6.jpg.296x216.jpg', '海虹景  电梯小高层 精装大五房 通透无遮挡 拎包入住', '海虹景  | 5室3厅 | 216.7平米 | 东南 | 精装 | 有电梯', '高楼层(共11层)2004年建塔楼  -  唐家墩', '598万', '单价27596元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload1e24c3cd-b05d-48cd-ab0f-0ff797f2539f.jpg.296x216.jpg', '对口红领巾 新世界常青南园 毛坯现房 证满两年 中高楼', '新世界常青南园  | 2室2厅 | 95.01平米 | 南 北 | 其他 | 有电梯', '高楼层(共25层)2011年建板楼  -  长港路', '248万', '单价26103元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadf4e4cc48-8ad8-4142-8801-acac2316b2fb.jpg.296x216.jpg', '万达商圈，生活便利，唐家墩地站口,权属明了', '香江花园一二期  | 2室1厅 | 94.46平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2004年建塔楼  -  唐家墩', '180万', '单价19056元/平米')
('https://image1.ljcdn.com/420100-inspection/64fef4a2-a0af-486a-8874-702fd0fad688.jpg.296x216.jpg', '万科圆方 万达旁 精装电梯小两房 诚心出售 随时看房', '万科圆方  | 2室1厅 | 44.31平米 | 西 | 其他 | 有电梯', '中楼层(共20层)2009年建板楼  -  新华路万达', '110万', '单价24826元/平米')
('https://image1.ljcdn.com/420100-inspection/e4127218-b7ae-4668-b2bb-3ef0c7eb489d.jpg.296x216.jpg', '2号线《盛世江城》毛坯三房 小区中间高楼层采光视野好', '电建地产盛世江城  | 3室2厅 | 92.57平米 | 南 | 其他', '高楼层(共43层)2018年建塔楼  -  长港路', '188万', '单价20309元/平米')
('https://image1.ljcdn.com/420100-inspection/0c8bda3c-e59b-4a03-801a-87c360c060dc.jpg.296x216.jpg', '中装两方，中间楼层，南北朝向户型方正', '金色雅园金源苑  | 2室2厅 | 83.33平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建板塔结合  -  长港路', '170万', '单价20401元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload0671a047-bdce-47ea-8068-f434c4608d98.jpg.296x216.jpg', '房子中间楼层 视野采光好 房间采光好 使用面积大', '南国北都城市广场  | 2室2厅 | 51平米 | 东南 | 精装 | 有电梯', '高楼层(共17层)2011年建塔楼  -  塔子湖', '100万', '单价19608元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload5cc29998-98b1-4683-896f-082c17c474de.jpg.296x216.jpg', '香江花园精装大四房 南北通透 户型方正 带大花园', '香江花园一二期  | 4室2厅 | 136.38平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2004年建塔楼  -  唐家墩', '275万', '单价20165元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload392241d7-eadc-45f4-b088-4da2fc04bb87.JPG.296x216.jpg', '此房户型正， 视野开阔， 物业管理好', '都会轩  | 6室1厅 | 207.75平米 | 东南 | 其他 | 有电梯', '低楼层(共41层)2016年建塔楼  -  前进江汉', '620万', '单价29844元/平米')
('https://image1.ljcdn.com/420100-inspection/test-fbe0dae0-6cd8-4c4f-8109-7194bf484f9a.png.296x216.jpg', '中间楼层，精装朝南小户型，近地铁，邻公园，武广商圈', '天瑞国际酒店公寓  | 1室1厅 | 61.96平米 | 东 | 其他 | 有电梯', '高楼层(共31层)2007年建塔楼  -  武广万松园', '104万', '单价16786元/平米')
('https://image1.ljcdn.com/420100-inspection/2c21a12d-18fc-4d0e-a0f8-167829300368.jpg.296x216.jpg', '链家优选 阳光花园 三面采光 单价低 老证', '阳光花园  | 3室1厅 | 137.84平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)2002年建塔楼  -  杨汊湖', '230万', '单价16687元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload82674aa9-c859-46d6-9a7e-47fd87d3b547.jpg.296x216.jpg', '万科城 三期精装大两房 两证4月5号满两年 诚心出售', '万科城  | 2室2厅 | 86.43平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2014年建板楼  -  常青路', '202万', '单价23372元/平米')
('https://image1.ljcdn.com/420100-inspection/4ef74ea0-930e-4055-bcf4-5df3a8fcee1d.jpg.296x216.jpg', '此房两证满五中高楼层不临街不临铁路东南挂角三面采光', '锦绣人家  | 3室2厅 | 116.52平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2004年建板楼  -  长港路', '199万', '单价17079元/平米')
('https://image1.ljcdn.com/420100-inspection/54e8d139-60e8-44ea-bee8-166c5780ac2c.jpg.296x216.jpg', '南航小区 3室2厅 135万', '南航小区  | 3室2厅 | 82.83平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  长港路', '135万', '单价16299元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload61a6bcc2-b1c4-4ead-99ca-ea806d2189ed.jpg.296x216.jpg', '精装修60万菱角湖万达一南北通透三房赠入户花园一老证', '菱角湖万达广场C区  | 4室2厅 | 145.64平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)2010年建塔楼  -  新华路万达', '410万', '单价28152元/平米')
('https://image1.ljcdn.com/420100-inspection/570eefee-c88e-4b67-bcd0-da5447b1fca0.jpg.296x216.jpg', '东方名都 2室2厅 136万', '东方名都  | 2室2厅 | 98.71平米 | 东南 | 其他 | 有电梯', '中楼层(共16层)2002年建板楼  -  常青路', '136万', '单价13778元/平米')
('https://image1.ljcdn.com/420100-inspection/5dde4cd9-28bb-4459-94c4-1018f959a5c5.jpg.296x216.jpg', '锦绣人家 4室1厅 275万', '锦绣人家  | 4室1厅 | 168平米 | 南 | 其他 | 有电梯', '高楼层(共12层)2004年建板楼  -  长港路', '275万', '单价16370元/平米')
('https://image1.ljcdn.com/420100-inspection/63f6e62e-1b12-4f65-8a83-bcf874b7734a.jpg.296x216.jpg', '内环 江汉路 循礼门 居住舒适 使用面积大', '单洞社区  | 2室1厅 | 75.57平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1994年建塔楼  -  武广万松园', '150万', '单价19850元/平米')
('https://image1.ljcdn.com/420100-inspection/test-2a2dda64-b004-4f1d-83e9-90c11fdabce1.png.296x216.jpg', '精装三居室 采光充足 品牌装饰 随时看房', '世纪江尚  | 3室1厅 | 125平米 | 南 | 其他 | 有电梯', '高楼层(共57层)2016年建板楼  -  前进江汉', '450万', '单价36000元/平米')
('https://image1.ljcdn.com/420100-inspection/7ba2c4e6-596a-4cea-aeb6-8abdff201b48.jpg.296x216.jpg', '老证 电建小区 房东自住 精装大两房 中间楼层', '电建小区  | 2室1厅 | 82.93平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1996年建板楼  -  长丰常码头', '125万', '单价15073元/平米')
('https://image1.ljcdn.com/420100-inspection/b2c0ed83-7182-4794-8744-9b5d77b64e59.jpg.296x216.jpg', '福星城北区三房两卫的+老证税费少+近汉口火车站', '福星城北区  | 3室2厅 | 127.23平米 | 南 北 | 其他 | 有电梯', '低楼层(共46层)2011年建板楼  -  长港路', '251万', '单价19729元/平米')
('https://image1.ljcdn.com/420100-inspection/ac9c604a-de56-408e-8661-ec29c73c5e74.jpg.296x216.jpg', '御庭园正规两室一厅老证有阳台交通便利带天然气', '御庭园  | 2室1厅 | 61.64平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2002年建塔楼  -  前进江汉', '110万', '单价17846元/平米')
('https://image1.ljcdn.com/420100-inspection/8ac47b87-5394-40a4-8a67-e2c03fb07284.JPG.296x216.jpg', '循礼门双地铁 纯住宅 户型正气 朝南 大阳台', '单洞社区  | 3室1厅 | 91.05平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)1994年建塔楼  -  武广万松园', '190万', '单价20868元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ee367617-7f4a-414f-8d50-afeb23d04960.png.296x216.jpg', '店长推选，万达C区，居家装修，拎包可住，全南全明', '菱角湖万达广场C区  | 2室2厅 | 91.56平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2010年建塔楼  -  新华路万达', '217万', '单价23701元/平米')
('https://image1.ljcdn.com/420100-inspection/test-27fb0306-9b15-4ea8-b9ff-286ff6bc9076.png.296x216.jpg', '顶琇国际城 2室1厅 145万', '顶琇国际城  | 2室1厅 | 73平米 | 北 | 其他', '高楼层(共46层)板楼  -  唐家墩', '145万', '单价19864元/平米')
('https://image1.ljcdn.com/420100-inspection/84b9a4bf-7dba-4f48-a5c4-f24216888450.jpg.296x216.jpg', '华氏儒商花园 3室2厅 255万', '华氏儒商花园  | 3室2厅 | 144.08平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2003年建板楼  -  台北香港路', '255万', '单价17699元/平米')
('https://image1.ljcdn.com/420100-inspection/test-897b489f-bd33-4cdf-8808-6337649669bf.png.296x216.jpg', '大两房 采光好 老证 中楼层，看房方便，诚心出售。', '前进四路  | 2室1厅 | 50.55平米 | 东南 | 其他', '中楼层(共8层)暂无数据  -  前进江汉', '120万', '单价23739元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload031b7fbd-8327-45a6-b4b0-5ff3fdb84a40.jpg.296x216.jpg', '长港路 红光小区 老证 满五年唯一 长港路地铁口200米', '红光小区  | 2室2厅 | 70.12平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  长港路', '108万', '单价15403元/平米')
('https://image1.ljcdn.com/420100-inspection/test-47fcc752-0b2b-470b-b0e9-bd463422f02e.png.296x216.jpg', '青年地铁 小户型 老证税费低 看房方便', '圣淘沙酒店式公寓  | 1室0厅 | 51.54平米 | 北 | 其他 | 有电梯', '高楼层(共28层)2004年建板楼  -  武广万松园', '86万', '单价16687元/平米')
('https://image1.ljcdn.com/420100-inspection/test-cab634e2-16ed-45d6-bf3c-7172e65708b4.png.296x216.jpg', '宝利金国际广场一室一组  便于出租', '宝利金国际广场  | 1室0厅 | 42平米 | 北 | 其他 | 有电梯', '低楼层(共33层)2005年建板楼  -  前进江汉', '75万', '单价17858元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadfd1fd0b6-ba21-4a4f-a9b6-838dee5508a9.jpg.296x216.jpg', '新华锦绣产证满两年 大三房 有钥匙随时看', '新华锦绣  | 3室2厅 | 139.69平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2002年建板楼  -  塔子湖', '218万', '单价15606元/平米')
('https://image1.ljcdn.com/420100-inspection/test-8630c3f4-f7da-4b2a-ba89-44a56f2e0763.png.296x216.jpg', '宝利金国际广场  采光充足 诚心出售  看房方便', '宝利金国际广场  | 1室0厅 | 32.65平米 | 东 东北 | 其他 | 有电梯', '低楼层(共33层)2005年建板楼  -  前进江汉', '75万', '单价22971元/平米')
('https://image1.ljcdn.com/420100-inspection/0ea1fc97-9513-4111-a504-c3fe1ce984211.jpg.296x216.jpg', '泛海国际樱海园 中高楼层 老证 毛坯次新房', '泛海国际居住区樱海园  | 2室2厅 | 99.61平米 | 东南 | 其他 | 有电梯', '高楼层(共32层)2013年建板楼  -  CBD西北湖', '295万', '单价29616元/平米')
('https://image1.ljcdn.com/420100-inspection/9ccd4aa3-f1d0-40dd-8012-d78465a322d0.jpg.296x216.jpg', '视野开阔、楼层好、采光充足、赠送家居家电', '万科金色家园二期  | 2室2厅 | 66.54平米 | 西北 | 精装 | 有电梯', '中楼层(共30层)2010年建板楼  -  前进江汉', '195万', '单价29306元/平米')
('https://image1.ljcdn.com/420100-inspection/test-14776347-f9fd-45cb-884a-3ecf2f8c1e35.png.296x216.jpg', '此房老证，无贷款，中间楼层，没住过人。', '泛海国际竹海园  | 2室2厅 | 96.48平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2015年建板楼  -  CBD西北湖', '280万', '单价29022元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload13131b84-4bc7-4361-ae33-d6103353aad9.jpg.296x216.jpg', '新华路万达 少有通透户型 老证 送入户花园,价格可谈', '日月华庭  | 2室2厅 | 99.4平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2006年建塔楼  -  新华路万达', '240万', '单价24145元/平米')
('https://image1.ljcdn.com/420100-inspection/test-e95b4aa7-3b95-413f-9b5a-692184e95724.png.296x216.jpg', '花样年华交通便利有阳台一室一厅高楼层采光好诚心出售', '花样年华  | 1室0厅 | 44.8平米 | 东 | 其他 | 有电梯', '高楼层(共20层)2005年建塔楼  -  前进江汉', '97万', '单价21652元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload901f5fe9-be13-4e49-8e28-5f4529aff2f4.JPG.296x216.jpg', '景江华庭大一室一厅带天然气老证业主诚心出售', '景江华庭  | 1室1厅 | 46.18平米 | 西 | 其他 | 有电梯', '低楼层(共22层)2004年建塔楼  -  前进江汉', '86.8万', '单价18797元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadae254122-a88a-4baa-9b06-887b990f8aa2.jpg.296x216.jpg', '汉口火车站旁 银河里社区 精装修 两证满两年', '银河里  | 2室1厅 | 63.83平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  长港路', '109万', '单价17077元/平米')
('https://image1.ljcdn.com/420100-inspection/5d9514a6-fef6-41a9-9a22-d2541e0dddca.jpg.296x216.jpg', '老证满五唯一，户型方正，装修干净整洁 无抵押无贷款', '北湖宿舍区  | 2室2厅 | 63.54平米 | 南 | 精装', '中楼层(共7层)暂无数据  -  新华路万达', '128万', '单价20145元/平米')
('https://image1.ljcdn.com/420100-inspection/9d5d97e0-f434-4b1e-af79-8da386a9047f.jpg.296x216.jpg', '航天花园四期 2室2厅 老证 欧式婚房装修', '航天花园四期  | 2室2厅 | 92.84平米 | 南 北 | 其他', '高楼层(共18层)2010年建板楼  -  CBD西北湖', '200万', '单价21543元/平米')
('https://image1.ljcdn.com/420100-inspection/a6275d08-1ddd-4c5e-b3df-516a47512a07.jpg.296x216.jpg', '万科金色家园二期 精装两房，采光充足老证 诚心出售', '万科金色家园二期  | 2室2厅 | 85平米 | 西南 | 其他 | 有电梯', '中楼层(共30层)2010年建板楼  -  前进江汉', '245万', '单价28824元/平米')
('https://image1.ljcdn.com/420100-inspection/test-0d9051fb-8baf-4ba5-a251-6e4a74f5074d.png.296x216.jpg', '天瑞国际   一房   老证 看房提前预约', '天瑞国际酒店公寓  | 1室1厅 | 48.57平米 | 西 | 其他 | 有电梯', '低楼层(共31层)2007年建塔楼  -  武广万松园', '78万', '单价16060元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_upload233188d4-fca7-4c50-a17e-cc3a3954a365.jpg.296x216.jpg', '新华家园四期 精装三房 保养好 直接入住  诚心出售', '新华家园  | 3室2厅 | 116.34平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2008年建塔楼  -  杨汊湖', '247万', '单价21231元/平米')
('https://image1.ljcdn.com/420100-inspection/78002d4f-46a6-4f49-a578-e1716f3d2cce.jpg.296x216.jpg', '老证挂东头的两房 小区自带幼儿园 出行6号线 诚心出售', '园丁苑  | 2室1厅 | 73.8平米 | 南 | 其他 | 无电梯', '中楼层(共8层)2005年建板楼  -  杨汊湖', '120万', '单价16261元/平米')
('https://image1.ljcdn.com/420100-inspection/0d5f6856-fae1-4c71-9911-7b981a8f6702.jpg.296x216.jpg', '满二 业主诚心卖 拎包入住 看房方便', '香缇美景  | 2室2厅 | 88.38平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2000年建塔楼  -  常青路', '140万', '单价15841元/平米')
('https://image1.ljcdn.com/420100-inspection/cab4b2f8-2e70-4adf-9f83-daa15cc6e88b.jpg.296x216.jpg', '万松园繁华地段 大四房 居住适宜 老证后期税费少', '新华小路138号  | 4室2厅 | 142平米 | 南 北 | 其他', '高楼层(共7层)板楼  -  武广万松园', '220万', '单价15493元/平米')
('https://image1.ljcdn.com/420100-inspection/test-1b8139a4-9026-4f5d-b82f-c459f530351e.png.296x216.jpg', '菱角湖万达广场C区 2室1厅 220万', '菱角湖万达广场C区  | 2室1厅 | 92平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2010年建塔楼  -  新华路万达', '220万', '单价23914元/平米')
('https://image1.ljcdn.com/420100-inspection/101268e8-9ff2-4b3d-971f-306eb479555b.jpg.296x216.jpg', '2号线长港路站常青南园 居家装修电梯两房 朝南 老证', '新世界常青南园  | 2室2厅 | 94.72平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2011年建板楼  -  长港路', '248万', '单价26183元/平米')
('https://image1.ljcdn.com/420100-inspection/4a45feb8-ae7c-4888-bf9f-e2c3654f74e5.jpg.296x216.jpg', '杨汊湖 常青四垸 经典小户型 临地铁6号线', '常青四垸  | 1室1厅 | 49.94平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1990年建板楼  -  杨汊湖', '76万', '单价15219元/平米')
('https://image1.ljcdn.com/420100-inspection/test-163215f2-1339-49a1-b4b3-92503f3cda76.png.296x216.jpg', '青松社区 闹中取静  南北通透小两房', '青松社区  | 2室1厅 | 64.32平米 | 南 北 | 其他 | 无电梯', '中楼层(共9层)2004年建板楼  -  武广万松园', '122万', '单价18968元/平米')
('https://image1.ljcdn.com/420100-inspection/8dcbde96-0cdf-4731-b9b3-744874f552c5.jpg.296x216.jpg', '福星城南区 老证  精装自住2房  业主诚意出售', '福星城南区  | 2室1厅 | 87.69平米 | 南 | 精装 | 有电梯', '中楼层(共45层)2013年建板楼  -  长港路', '169万', '单价19273元/平米')
('https://image1.ljcdn.com/420100-inspection/5e0afc7e-b5f7-4e55-90c5-58f792cba6df.jpg.296x216.jpg', '穗丰四期  毛坯大三房   中间楼层  通透户型  老证', '穗丰花园四期  | 3室2厅 | 135.47平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  台北香港路', '310万', '单价22884元/平米')
('https://image1.ljcdn.com/420100-inspection/fbc892e4-72cb-4852-b915-35413da9ef36.jpg.296x216.jpg', '天嘉园带30平院子欧式装修满五唯一品牌家具实木地板', '天嘉园  | 3室2厅 | 113.24平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2004年建板楼  -  长丰常码头', '189万', '单价16691元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f00bfadc-c7be-458b-869e-9d260b1319fd.png.296x216.jpg', '简装三房，楼层好看花园，配套成熟生活方便', '菱角湖万达广场C区  | 3室2厅 | 106平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2010年建塔楼  -  新华路万达', '240万', '单价22642元/平米')
('https://image1.ljcdn.com/420100-inspection/5cd49fb4-b67f-440f-9c2f-b37b1d6c9105.jpg.296x216.jpg', '范湖地铁口旁，品质小区，通透三房不临街', '新华西美林公馆  | 3室2厅 | 127.73平米 | 南 北 | 简装 | 有电梯', '低楼层(共25层)2008年建塔楼  -  CBD西北湖', '305万', '单价23879元/平米')
('https://image1.ljcdn.com/420100-inspection/a974440f-9d27-43cb-8e5d-124f0985b627.jpg.296x216.jpg', '青年路 楚天星座 稀有高层复式 精装修  老证', '楚天星座公寓  | 3室2厅 | 56.3平米 | 西 | 精装 | 有电梯', '高楼层(共30层)2007年建塔楼  -  武广万松园', '138万', '单价24512元/平米')
('https://image1.ljcdn.com/420100-inspection/8bc305a6-d4f3-468d-8972-8bb2afceff57.jpg.296x216.jpg', '香江新村，正规三房，两证满五年，南北通透户型', '香江新村  | 3室2厅 | 156.97平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)1998年建板楼  -  新华路万达', '250万', '单价15927元/平米')
('https://image1.ljcdn.com/420100-inspection/test-ed97b2a1-9ac8-4b89-963b-40c181eb36d3.png.296x216.jpg', '泛海国际精装两房 经典两房朝南 总价低', '泛海国际悦海园  | 2室2厅 | 85.38平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2014年建板楼  -  CBD西北湖', '216万', '单价25299元/平米')
('https://image1.ljcdn.com/420100-inspection/rsp_pic_uploadfba6ef06-eb94-4246-95dc-36b3c726b03c.jpg.296x216.jpg', '华立新华时代正规两室一厅出售小区居住人群整体素质高', '华立新华时代  | 2室2厅 | 97.53平米 | 南 | 其他 | 有电梯', '低楼层(共28层)2007年建板楼  -  CBD西北湖', '220万', '单价22558元/平米')
('https://image1.ljcdn.com/420100-inspection/test-f484fc04-f731-4ec2-a1c6-70cc57e60b41.png.296x216.jpg', '好户型！通透三房！精致装修带暖气！中间楼层！', '菱角湖万达广场C区  | 3室2厅 | 146.6平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2010年建塔楼  -  新华路万达', '340万', '单价23193元/平米')
