('https://image1.ljcdn.com/441900-inspection/7d60b0eb-0f9f-438d-8cad-412834eaa9d7.jpg.296x216.jpg', '天虹广场   舒适3房  装修好  保养新  高楼层', '地标广场  | 3室2厅 | 108平米 | 东南 | 其他', '中楼层(共28层)2011年建塔楼  -  地标', '300万', '单价27778元/平米')
('https://image1.ljcdn.com/441900-inspection/ef42b27e-2ac5-4743-9c3c-1514a0167e8a.jpg.296x216.jpg', '东海山庄简装四房 大户型  高楼层', '丰泰东海山庄  | 4室2厅 | 175平米 | 南 | 其他', '中楼层(共16层)2007年建塔楼  -  新联', '360万', '单价20572元/平米')
('https://image1.ljcdn.com/441900-inspection/d792d6a4-7714-4b91-99bd-a571f2f935f0.jpg.296x216.jpg', '此房高层看全湖景 业主重新刷过墙了 房子看起来很温馨', '丰泰华园山庄  | 3室2厅 | 99.26平米 | 东南 | 其他', '中楼层(共12层)2004年建塔楼  -  新联', '180万', '单价18135元/平米')
('https://image1.ljcdn.com/441900-inspection/6c8697db-6b50-4c9f-ae6e-f32c9b90fe8e.jpg.296x216.jpg', '带新装修 户型不错 楼层好 居家舒适', '新园东区  | 4室2厅 | 89平米 | 南 | 其他', '低楼层(共17层)2002年建塔楼  -  太平广场', '198万', '单价22248元/平米')
('https://image1.ljcdn.com/441900-inspection/0806e17b-9ad5-4050-9f6f-403d5448856d.jpg.296x216.jpg', '此房满2年 免增值税 高楼层采光好 南北通透 业主诚心', '南部湾万科城  | 3室2厅 | 96.78平米 | 东南 | 其他', '高楼层(共41层)2016年建塔楼  -  大宁', '240万', '单价24799元/平米')
('https://image1.ljcdn.com/441900-inspection/a53d6235-3ba3-4043-8883-c3b151a53e70.jpg.296x216.jpg', '丰泰华园山庄 精致两房 业主自住 采光好 通透性强', '丰泰华园山庄  | 2室2厅 | 96.4平米 | 西北 | 其他', '中楼层(共12层)2003年建塔楼  -  新联', '135万', '单价14005元/平米')
('https://image1.ljcdn.com/441900-inspection/e369e003-1aba-482e-97e7-31ad75c70319.jpg.296x216.jpg', '装修新保养好满五唯一免双税丰泰东海城堡三房', '丰泰东海城堡  | 3室2厅 | 97平米 | 东南 | 其他', '中楼层(共18层)2013年建塔楼  -  新联', '205万', '单价21135元/平米')
('https://image1.ljcdn.com/441900-inspection/09fedf1f-34ac-4cd1-a2a9-2004109da71b.jpg.296x216.jpg', '地段好交通出行方便 楼盘还很新', '金地琥悦  | 3室2厅 | 98平米 | 南 | 其他', '低楼层(共15层)塔楼  -  万达', '200万', '单价20409元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload62dc445c-1235-41fe-a67b-776cba6c49c9.jpg.296x216.jpg', '龙泉华苑 温馨精装修 家私家电保养好  高楼层 视野好', '龙泉华苑  | 4室2厅 | 242.83平米 | 东南 | 其他', '高楼层(共20层)2012年建塔楼  -  地标', '631万', '单价25986元/平米')
('https://image1.ljcdn.com/441900-inspection/d740f7b2-4ed8-424d-afe3-e8ad20f22e5d.jpg.296x216.jpg', '虎门大道精装两房 业主诚心出售，红本在手。', '华联大厦  | 2室2厅 | 73.8平米 | 南 | 其他', '高楼层(共8层)2005年建塔楼  -  太平广场', '75万', '单价10163元/平米')
('https://image1.ljcdn.com/441900-inspection/9ee30354-7c5d-4d16-ae53-42d159485e91.jpg.296x216.jpg', '南部湾万科城 中楼层 万科物业 大社区 配套完善', '南部湾万科城  | 3室2厅 | 97平米 | 东南 | 其他', '低楼层(共41层)2016年建塔楼  -  大宁', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/441900-inspection/e6f38af4-e461-4c7e-b9cb-25d3ca47d04c.jpg.296x216.jpg', '虎门天虹 万科紫台  小高层双阳台四房出售 人车分流', '万科紫台  | 4室2厅 | 233.32平米 | 南 北 | 其他', '中楼层(共9层)2010年建塔楼  -  地标', '630万', '单价27002元/平米')
('https://image1.ljcdn.com/441900-inspection/8a5c15bd-1667-44a4-8e03-6a58e5b1292e.jpg.296x216.jpg', '太平广场花园 2室2厅 103万', '太平广场花园  | 2室2厅 | 83平米 | 北 | 其他', '高楼层(共35层)1995年建塔楼  -  太平广场', '103万', '单价12410元/平米')
('https://image1.ljcdn.com/441900-inspection/3bb48e3c-0bc5-49d2-8f9d-b13f521a59d6.jpg.296x216.jpg', '商圈配套成熟，交通便利，出行方便，户型方正', '地标广场  | 3室2厅 | 90.98平米 | 南 | 其他', '中楼层(共16层)2011年建塔楼  -  地标', '252万', '单价27699元/平米')
('https://image1.ljcdn.com/441900-inspection/c1a236c7-3677-413d-bae8-5170d360c488.jpg.296x216.jpg', '万科物业 高楼层三居室 带家私电器出售 产证在手！', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 其他', '中楼层(共34层)2015年建塔楼  -  大宁', '229万', '单价23609元/平米')
('https://image1.ljcdn.com/441900-inspection/4553b148-189f-4eef-af1f-6d89cd442288.jpg.296x216.jpg', '万科紫台 毛坯四层大别墅带花园', '万科紫台   | 联排别墅 | 5室2厅 | 355平米 | 西 | 其他', '3层2010年建暂无数据  -  地标', '850万', '单价23944元/平米')
('https://image1.ljcdn.com/441900-inspection/cb6febfd-7af1-4b02-8b0e-76162637d361.jpg.296x216.jpg', '虎门大道旁金色家园230平复式 看虎门公园', '金色家园  | 4室3厅 | 229.9平米 | 南 | 精装', '高楼层(共30层)2003年建塔楼  -  虎门公园', '330万', '单价14355元/平米')
('https://image1.ljcdn.com/441900-inspection/30686382-de2c-4d57-9480-47006e9ba5b8.jpg.296x216.jpg', '近高铁地铁站！60万㎡山水大盘！低于成本价出售！', '虎门国际公馆   | 双拼别墅 | 5室2厅 | 688平米 | 南 | 毛坯', '3层2012年建暂无数据  -  新联', '1350万', '单价19623元/平米')
('https://image1.ljcdn.com/441900-inspection/9ba125fb-0764-42f1-a1cf-881d760d9490.jpg.296x216.jpg', '南部湾万科城 送家私电器 高楼层 交通便利 诚心出售', '南部湾万科城  | 3室2厅 | 97平米 | 西南 | 其他', '高楼层(共32层)2015年建塔楼  -  大宁', '230万', '单价23712元/平米')
('https://image1.ljcdn.com/441900-inspection/911c252f-4673-4f91-80ba-9e0c10996cb3.jpg.296x216.jpg', '中联大厦  四房 满五唯一  朝东南看公园 带车位', '中联大厦  | 4室2厅 | 173.51平米 | 南 | 精装', '低楼层(共28层)2004年建塔楼  -  虎门公园', '330万', '单价19020元/平米')
('https://image1.ljcdn.com/441900-inspection/e23f6c34-70eb-4740-9956-72a90d7c860c.jpg.296x216.jpg', '万科紫台249平5房诚心出售，欢迎有兴趣的朋友随时看房', '万科紫台  | 5室2厅 | 249.14平米 | 南 | 精装', '高楼层(共19层)2010年建塔楼  -  地标', '560万', '单价22478元/平米')
('https://image1.ljcdn.com/441900-inspection/c5d60e1b-ecd8-4ecc-9a85-2fdc42834796.jpg.296x216.jpg', '方正的户型  高铁站物业  生活配套完善精装修高层三房', '虎门国际公馆  | 3室2厅 | 105.54平米 | 东 | 精装', '高楼层(共18层)2011年建塔楼  -  新联', '230万', '单价21793元/平米')
('https://image1.ljcdn.com/441900-inspection/9a517ed5-c688-4ecb-b109-27c59c921d68.jpg.296x216.jpg', '天虹商圈 不夜天夜市 东方明珠幼儿园  交通便利', '地标大厦  | 1室1厅 | 76.05平米 | 东北 | 其他', '高楼层(共24层)2010年建塔楼  -  地标', '116万', '单价15254元/平米')
('https://image1.ljcdn.com/441900-inspection/2dcbf428-1934-4d18-936c-11261d5b7989.jpg.296x216.jpg', '朝东南  看虎门公园美景  中高楼层', '柏景豪庭  | 3室2厅 | 183.34平米 | 南 | 精装', '中楼层(共30层)2005年建塔楼  -  虎门公园', '300万', '单价16364元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8270514c-e7ea-4081-8810-53f39e0129a5.jpg.296x216.jpg', '单证新装修三房，方正户型，送家私电器高楼层', '虎门国际公馆  | 3室2厅 | 90.12平米 | 东北 | 其他', '高楼层(共18层)2011年建塔楼  -  新联', '190万', '单价21084元/平米')
('https://image1.ljcdn.com/441900-inspection/06aa1b42-5e5d-4ea5-99ca-30b322d8b1ed.jpg.296x216.jpg', '万科紫台 3室2厅 320万', '万科紫台  | 3室2厅 | 140平米 | 北 | 其他', '中楼层(共19层)2010年建塔楼  -  地标', '320万', '单价22858元/平米')
('https://image1.ljcdn.com/441900-inspection/cbf2928f-8723-4499-bda9-ce1af0b7672f.jpg.296x216.jpg', '丰泰华园山庄大两房 高层朝小区 看房方便', '丰泰华园山庄  | 2室1厅 | 99.26平米 | 北 | 精装', '中楼层(共12层)2004年建塔楼  -  新联', '195万', '单价19646元/平米')
('https://image1.ljcdn.com/441900-inspection/efb8c7d4-cf11-4a36-a9cc-c0e9dfb47ac0.jpg.296x216.jpg', '此房是龙泉唯一满五唯一的，带装修。', '龙泉豪苑  | 6室2厅 | 383.93平米 | 东南 | 精装', '中楼层(共25层)2011年建塔楼  -  地标', '888万', '单价23130元/平米')
('https://image1.ljcdn.com/441900-inspection/16486aa1-500e-4bba-9e88-3c97923b62ca.jpg.296x216.jpg', '格局方正，开放式厨房，独立的卫生间空气对流采光佳。', '地标大厦  | 1室1厅 | 76平米 | 西南 | 其他', '中楼层(共24层)2010年建塔楼  -  地标', '130万', '单价17106元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9106b1e8-154e-4fcc-8971-8c8f1eabdb66.jpg.296x216.jpg', '丰泰东海城堡 精装3房 中楼层 居住舒适', '丰泰东海城堡  | 3室2厅 | 90.74平米 | 东北 | 其他', '低楼层(共18层)2013年建塔楼  -  新联', '175万', '单价19286元/平米')
('https://image1.ljcdn.com/441900-inspection/864558f5-2d7c-472d-8536-43c5e1f7add2.jpg.296x216.jpg', '丰泰华园山庄 3室2厅 198万', '丰泰华园山庄  | 3室2厅 | 124.01平米 | 东北 | 其他', '高楼层(共12层)2004年建塔楼  -  新联', '198万', '单价15967元/平米')
('https://image1.ljcdn.com/441900-inspection/67c6c57c-307a-451c-b2fb-485def3b2e8e.jpg.296x216.jpg', '房子小区好位置 装修保养好 过五唯一 看房提前约', '地标广场  | 5室2厅 | 161.97平米 | 南 北 | 精装', '低楼层(共29层)2011年建塔楼  -  地标', '488万', '单价30130元/平米')
('https://image1.ljcdn.com/441900-inspection/311bca40-8112-42b1-86ae-020702db8af7.jpg.296x216.jpg', '精装修一房一厅出售 高楼层 东南朝向', '地标大厦  | 1室1厅 | 58平米 | 东南 | 其他', '高楼层(共24层)2010年建塔楼  -  地标', '85万', '单价14656元/平米')
('https://image1.ljcdn.com/441900-inspection/5520d1d3-7041-4f72-9040-f3dfe69a7b84.jpg.296x216.jpg', '天虹商圈 精装房 中高楼层 家电齐全 拎包入住', '地标大厦  | 1室1厅 | 58平米 | 西南 | 其他', '低楼层(共24层)2010年建塔楼  -  地标', '88万', '单价15173元/平米')
('https://image1.ljcdn.com/441900-inspection/ca10fc30-0c7d-4e84-8872-412560d0bd98.jpg.296x216.jpg', '虎门万科 房子精装修，西南朝向，采光通风好，', '南部湾万科城  | 3室2厅 | 97平米 | 东南 | 其他', '低楼层(共29层)2015年建塔楼  -  大宁', '220万', '单价22681元/平米')
('https://image1.ljcdn.com/441900-inspection/995fd617-1564-4302-8ea5-50c939713488.jpg.296x216.jpg', '虎门丰泰东海城堡  三房 业主自住标准 保养很好', '丰泰东海城堡  | 3室2厅 | 78平米 | 东南 | 简装', '中楼层(共16层)2013年建塔楼  -  新联', '160万', '单价20513元/平米')
('https://image1.ljcdn.com/441900-inspection/d2311114-09ec-4cb6-83c3-e1b36b483062.jpg.296x216.jpg', '虎门国际公馆中楼层带精装修三房满两年', '虎门国际公馆  | 3室2厅 | 90平米 | 东北 | 其他', '低楼层(共18层)2011年建塔楼  -  新联', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/f20b8d1c-e1b9-4379-bd7b-3106dca3bfac.jpg.296x216.jpg', '东海城堡满五唯一 朝北朝小区 精装 看全湖景', '丰泰东海城堡  | 3室2厅 | 90.25平米 | 北 | 其他', '高楼层(共18层)2013年建塔楼  -  新联', '190万', '单价21053元/平米')
('https://image1.ljcdn.com/441900-inspection/f097c33a-54f1-4b3b-a837-254ce788d38b.jpg.296x216.jpg', '黄河时装城  精装修 户型格局正  南北对流 住的舒服', '地标大厦  | 1室1厅 | 58平米 | 东南 | 其他', '低楼层(共25层)2010年建塔楼  -  地标', '91万', '单价15690元/平米')
('https://image1.ljcdn.com/441900-inspection/4857d163-f10b-4703-8745-271b311c23b8.jpg.296x216.jpg', '白马湖傍绿化优美小区丰泰东海山庄', '丰泰东海山庄  | 3室2厅 | 118平米 | 东南 | 其他', '低楼层(共11层)2007年建塔楼  -  新联', '238万', '单价20170元/平米')
('https://image1.ljcdn.com/441900-inspection/9cb165b2-68c9-48d3-a939-784dea646151.jpg.296x216.jpg', '天虹商圈 房子保养得很好 业主诚心出售  满五唯一', '地标大厦  | 3室1厅 | 75.99平米 | 东南 | 精装', '中楼层(共25层)2010年建塔楼  -  地标', '145万', '单价19082元/平米')
('https://image1.ljcdn.com/441900-inspection/da47d614-8c55-476f-a0a6-555313b20186.jpg.296x216.jpg', '丰泰华园山庄湖景房  复式夹层', '丰泰华园山庄  | 3室2厅 | 141平米 | 东南 | 其他', '高楼层(共12层)2003年建塔楼  -  新联', '230万', '单价16313元/平米')
('https://image1.ljcdn.com/441900-inspection/695822a1-d995-43a9-a9a3-aa173ecd2a85.jpg.296x216.jpg', '虎门天虹商圈纯别墅 蟠龙山庄 独栋带花园', '蟠龙山庄   | 独栋别墅 | 6室3厅 | 521.23平米 | 东 | 毛坯', '3层2005年建暂无数据  -  太平广场', '1040万', '单价19953元/平米')
('https://image1.ljcdn.com/441900-inspection/f00c351a-b34b-4920-b7e9-c0dd2582a7c0.jpg.296x216.jpg', '虎门镇 能源华庄 大四房 高层采光通透', '能源华庄  | 4室2厅 | 152.6平米 | 西 | 其他', '中楼层(共23层)2004年建塔楼  -  黄河中心', '230万', '单价15073元/平米')
('https://image1.ljcdn.com/441900-inspection/1a7cc0c1-3d52-4c49-84ad-cbd5d45d15fd.jpg.296x216.jpg', '兰苑大两房，满五唯一免个税，高楼层采光好', '兰苑大厦  | 2室2厅 | 96.33平米 | 南 | 简装', '高楼层(共17层)1998年建塔楼  -  黄河中心', '120万', '单价12458元/平米')
('https://image1.ljcdn.com/441900-inspection/c8afc18d-d112-4b2f-9ea7-8437f426f920.jpg.296x216.jpg', '业主诚心出售 精装三方  户型方正', '虎门国际公馆  | 3室2厅 | 95平米 | 东 | 其他', '高楼层(共18层)2011年建塔楼  -  新联', '195万', '单价20527元/平米')
('https://image1.ljcdn.com/441900-inspection/f6bae516-ae68-478c-b97d-fb8966f043ab.jpg.296x216.jpg', '满五唯一大户型，南北通透，楼层高，视野开阔。', '飞龙山庄  | 6室2厅 | 188.4平米 | 西北 | 精装', '高楼层(共15层)2004年建塔楼  -  黄河中心', '350万', '单价18578元/平米')
('https://image1.ljcdn.com/441900-inspection/f0a60658-8890-481f-905a-637f5e6d7686.jpg.296x216.jpg', '南部湾万科城 带租约 对小区花园 游泳池', '南部湾万科城  | 3室2厅 | 94.84平米 | 西南 | 其他', '低楼层(共32层)2015年建塔楼  -  大宁', '215万', '单价22670元/平米')
('https://image1.ljcdn.com/441900-inspection/8119a570-9fab-4ca4-bb89-92a67843aa71.jpg.296x216.jpg', '虎门滨江花园 高楼层看江景 三层复式 精装修保养好', '虎门滨江花园  | 5室3厅 | 109平米 | 东南 | 其他', '高楼层(共11层)2009年建塔楼  -  威远', '450万', '单价41285元/平米')
('https://image1.ljcdn.com/441900-inspection/850b25b1-b780-4a31-bb0e-5e4a7d05b748.jpg.296x216.jpg', '70年产权的小公寓，精装修带租约', '地标大厦  | 1室1厅 | 58.31平米 | 东南 | 其他', '低楼层(共24层)2010年建塔楼  -  地标', '90万', '单价15435元/平米')
('https://image1.ljcdn.com/441900-inspection/aafd0d1c-a732-4b57-9fe9-3628359278ee.jpg.296x216.jpg', '城堡别墅毛坯三层出售 格局设计好！', '丰泰东海城堡   | 联排别墅 | 4室2厅 | 220.73平米 | 南 | 其他', '3层2013年建暂无数据  -  新联', '600万', '单价27183元/平米')
('https://image1.ljcdn.com/441900-inspection/9b555358-373d-46a6-950e-a4d306669536.jpg.296x216.jpg', '天虹楼上，沿江高速路口，配套成熟', '地标广场  | 3室2厅 | 136.58平米 | 东南 | 其他', '高楼层(共33层)2011年建塔楼  -  地标', '350万', '单价25627元/平米')
('https://image1.ljcdn.com/441900-inspection/0d48d777-a1e7-4b38-8d43-ac4e35f49e5f.jpg.296x216.jpg', '佳兆业御龙山花园式洋房 居家舒适大四房', '佳兆业御龙山  | 4室2厅 | 165平米 | 南 北 | 其他', '中楼层(共34层)2016年建塔楼  -  地标', '413万', '单价25031元/平米')
('https://image1.ljcdn.com/441900-inspection/9d86c8bb-cd35-4246-9aee-0d10e1ced286.jpg.296x216.jpg', '丰泰悦榕东岸 高楼层 看一线湖景房 毛坯房', '丰泰悦榕东岸  | 4室2厅 | 152平米 | 东南 | 其他', '高楼层(共21层)2013年建塔楼  -  新联', '380万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/4026dff4-b601-4ff3-8493-3e92169326d0.jpg.296x216.jpg', '丰泰东海山庄 临湖独栋别墅 看房方便 红本在手', '丰泰东海山庄   | 独栋别墅 | 5室3厅 | 555.91平米 | 南 | 其他', '1层2007年建暂无数据  -  新联', '2600万', '单价46771元/平米')
('https://image1.ljcdn.com/441900-inspection/68bd6c23-799c-4fd8-9868-401edb85e388.jpg.296x216.jpg', '东海城堡中高楼层笋盘，户型方正，满五唯一，业主急售', '丰泰东海城堡  | 3室2厅 | 98.15平米 | 东南 | 简装', '中楼层(共15层)2013年建塔楼  -  新联', '205万', '单价20887元/平米')
('https://image1.ljcdn.com/441900-inspection/2f0c2049-095f-48aa-b4fd-310b95ea45ae.jpg.296x216.jpg', '丰泰东海城堡 3室2厅 175万', '丰泰东海城堡  | 3室2厅 | 90.53平米 | 东南 | 其他', '高楼层(共18层)2013年建塔楼  -  新联', '175万', '单价19331元/平米')
('https://image1.ljcdn.com/441900-inspection/f60e53a3-2765-462d-888c-3a0c4a784d4a.jpg.296x216.jpg', '满五唯一免双税 业主诚心出售  三房方正户型 采光充足', '虎门国际公馆  | 3室2厅 | 90.21平米 | 东北 | 其他', '低楼层(共18层)2011年建塔楼  -  新联', '180万', '单价19954元/平米')
('https://image1.ljcdn.com/441900-inspection/79ee4129-277c-43f7-977c-f1a920ae8c03.jpg.296x216.jpg', '此房满两年，免增值税 红本在手 能交易过户', '丰泰东海城堡  | 4室2厅 | 148平米 | 西南 | 其他', '中楼层(共18层)2013年建塔楼  -  新联', '260万', '单价17568元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbcecb437-243e-4a3c-972e-ed8b7da86d65.jpg.296x216.jpg', '虎门镇 飞龙山庄 山景住宅 正规3居室 户型方正', '飞龙山庄  | 3室2厅 | 133平米 | 南 西 | 其他', '中楼层(共9层)2004年建塔楼  -  黄河中心', '198万', '单价14888元/平米')
('https://image1.ljcdn.com/441900-inspection/c5209acf-7574-426e-b41e-6425c5dc9c1b.jpg.296x216.jpg', '满五唯一，产权清晰 ，业主诚心出售', '达成大厦  | 3室2厅 | 134.86平米 | 南 北 | 精装', '中楼层(共17层)2000年建塔楼  -  虎门公园', '216万', '单价16017元/平米')
('https://image1.ljcdn.com/441900-inspection/5b7e988c-06fe-41b0-be18-901a17829b62.jpg.296x216.jpg', '此房带租约出售 精装修 四房改的大三房 双阳台 满两年', '地标大厦  | 3室2厅 | 156.62平米 | 南 | 其他', '低楼层(共26层)2010年建塔楼  -  地标', '290万', '单价18517元/平米')
('https://image1.ljcdn.com/441900-inspection/2fdba150-4b89-4f34-8b0e-a4dc2bdc0a80.jpg.296x216.jpg', '高楼层朝小区 户型通透 满五年 安静舒适', '丰泰东海城堡  | 3室2厅 | 97.86平米 | 西北 | 其他', '中楼层(共17层)2013年建塔楼  -  新联', '210万', '单价21460元/平米')
('https://image1.ljcdn.com/441900-inspection/2cb73c38-55f8-4f00-b46b-50c367bb3d08.jpg.296x216.jpg', '业主诚心出售，精装三房，看房方便，带家私家电出售', '柏景豪庭  | 3室2厅 | 146平米 | 北 | 其他', '中楼层(共28层)2005年建塔楼  -  虎门公园', '205万', '单价14042元/平米')
('https://image1.ljcdn.com/441900-inspection/261f1ac9-7765-4fc4-9d5e-5e0906396363.jpg.296x216.jpg', '虎门南部湾万科城三房二厅二卫一厨  环境优美', '南部湾万科城  | 3室2厅 | 95平米 | 东南 | 其他', '中楼层(共22层)2015年建塔楼  -  大宁', '238万', '单价25053元/平米')
('https://image1.ljcdn.com/441900-inspection/027e1c70-dc66-44a7-88f8-93e8b4d008a4.jpg.296x216.jpg', '丰泰东海城堡 适中楼层 品质小区 业主诚心出售', '丰泰东海城堡  | 3室2厅 | 90平米 | 东北 | 其他', '低楼层(共18层)2013年建塔楼  -  新联', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/c8bb9c88-2039-4071-a6dd-a182fe31848f.JPG.296x216.jpg', '海岸国际 高层精装大五房 带全屋家私家电', '海岸国际  | 5室2厅 | 272平米 | 南 | 其他', '中楼层(共28层)2006年建塔楼  -  太平广场', '433万', '单价15920元/平米')
('https://image1.ljcdn.com/441900-inspection/9ae0fdee-8750-4d18-b9c6-0ffc13af19bc.jpg.296x216.jpg', '丰泰东海城堡毛坯联排别墅带地下室花园 【不欠款】', '丰泰东海城堡   | 联排别墅 | 4室2厅 | 220.61平米 | 南 | 毛坯', '3层2013年建暂无数据  -  新联', '500万', '单价22665元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload0e618765-2570-4725-ae0d-54f32991d3d3.jpg.296x216.jpg', '东海城堡方正户型三房 中高层视野无遮挡', '丰泰东海城堡  | 3室2厅 | 90平米 | 北 | 其他', '高楼层(共18层)2013年建塔楼  -  新联', '180万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/64f673d9-4936-444c-86d8-31a9c0ba3b36.jpg.296x216.jpg', '飞龙山庄 大三房 满两年税费低 新装修 拎包入住', '飞龙山庄  | 3室2厅 | 137.18平米 | 北 | 其他', '中楼层(共8层)2004年建塔楼  -  黄河中心', '119万', '单价8675元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload054a27b7-8606-4232-ae20-f8196f17bd3a.jpg.296x216.jpg', '天虹商圈 精装修 全新家私家电 高楼层 采光好', '地标大厦  | 2室1厅 | 87.33平米 | 东南 | 其他', '中楼层(共26层)2010年建塔楼  -  地标', '155万', '单价17749元/平米')
('https://image1.ljcdn.com/441900-inspection/b30f9fcf-48a1-4c58-8a3b-d4965c09d563.jpg.296x216.jpg', '朝小区安静3房 户型南北通风 满5唯一 税费少', '丰泰东海城堡  | 3室2厅 | 89.44平米 | 东北 | 精装', '高楼层(共18层)2013年建塔楼  -  新联', '200万', '单价22362元/平米')
('https://image1.ljcdn.com/441900-inspection/27995140-9237-4c14-a89a-0c2bdf1bcecc.jpg.296x216.jpg', '！！30万㎡环境优美的居家大盘！近高铁和地铁！！！', '丰泰东海城堡  | 3室2厅 | 97.99平米 | 东 | 毛坯', '中楼层(共15层)2013年建塔楼  -  新联', '180万', '单价18370元/平米')
('https://image1.ljcdn.com/441900-inspection/5666098c-7f87-48c5-957f-28776299c0ae.jpg.296x216.jpg', '刚装修好，繁华地段，满五唯一。', '诚信大厦  | 2室2厅 | 96平米 | 东 | 其他', '高楼层(共17层)2003年建塔楼  -  黄河中心', '96万', '单价10000元/平米')
('https://image1.ljcdn.com/441900-inspection/f32c51b5-0fa8-4e83-9db6-5e256e04c449.jpg.296x216.jpg', '黄河商圈满五唯一三房业主诚心出售', '永平楼  | 3室2厅 | 73.17平米 | 南 | 其他', '高楼层(共8层)2000年建板楼  -  黄河中心', '50万', '单价6834元/平米')
('https://image1.ljcdn.com/441900-inspection/252f9054-307a-447b-bb08-09e159883230.jpg.296x216.jpg', '能源华庄，朝南3房，业主很诚心出售', '能源华庄  | 3室2厅 | 115平米 | 南 | 其他', '低楼层(共23层)2004年建塔楼  -  黄河中心', '180万', '单价15653元/平米')
