('https://image1.ljcdn.com/441900-inspection/3e0ecad3-3618-4d08-9aeb-60bd7b67ea5f.jpg.296x216.jpg', '稀 缺南向小复式，带前后大花园，满五唯 一', '怡丰翠云轩  | 3室2厅 | 45.44平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '150万', '单价33011元/平米')
('https://image1.ljcdn.com/441900-inspection/f3f42477-ab53-4cd6-ad58-10333bc18a14.jpg.296x216.jpg', '怡丰翠云轩南向两房，业主诚心出售！', '怡丰翠云轩  | 2室2厅 | 80平米 | 南 | 其他', '中楼层(共10层)塔楼  -  石井', '138万', '单价17250元/平米')
('https://image1.ljcdn.com/441900-inspection/aab20ba9-1023-41ac-b0ca-78ee5131fe24.jpg.296x216.jpg', '星城翠珑湾三期 高楼层 业主急售', '星城翠珑湾三期  | 3室2厅 | 94平米 | 南 | 其他', '高楼层(共18层)2016年建塔楼  -  寮步', '245万', '单价26064元/平米')
('', '万科松湖传奇 精装3房 得房率高 安静看花园 看房方便', '万科松湖传奇  | 3室2厅 | 78平米 | 北 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '165万', '单价21154元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadbe46b4ad-f1e5-4261-8643-ce1a9dea05c4.jpg.296x216.jpg', '华为旁 毛坯大四房， 采光好 业主诚售', '振业松湖雅苑  | 4室2厅 | 124平米 | 南 | 毛坯', '高楼层(共24层)2014年建塔楼  -  寮步', '205万', '单价16533元/平米')
('https://image1.ljcdn.com/441900-inspection/4abdb890-49a6-49d7-81a0-4f3db88ec976.jpg.296x216.jpg', '万科高尔夫，满五唯一，免双税，高层视野好。', '万科城市高尔夫花园  | 3室2厅 | 96平米 | 南 | 其他', '高楼层(共18层)2008年建塔楼  -  寮步', '186万', '单价19375元/平米')
('https://image1.ljcdn.com/441900-inspection/d691da8b-4988-4bbb-8597-9238349198cb.jpg.296x216.jpg', '万科物业，品质好，精装实用三房', '万科城市高尔夫花园  | 3室2厅 | 95.76平米 | 南 | 其他', '中楼层(共18层)2008年建塔楼  -  寮步', '169万', '单价17649元/平米')
('https://image1.ljcdn.com/441900-inspection/da2d5296-520b-4954-b6e5-ec2cb65cc7e5.jpg.296x216.jpg', '万科统一精装修，采光佳位置好，中高楼层，', '万科松湖传奇二期左岸  | 3室1厅 | 73.1平米 | 南 | 其他', '中楼层(共19层)2016年建塔楼  -  寮步', '125万', '单价17100元/平米')
('', '万科城市高尔夫花园 精装温馨五房', '万科城市高尔夫花园  | 5室2厅 | 188平米 | 南 | 其他', '高楼层(共4层)2006年建板楼  -  寮步', '320万', '单价17022元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload9cc0d9b0-cf8e-4357-bfe2-e4d351f8da85.jpg.296x216.jpg', '松湖北站 雅苑精致四房 通风采光好 位置好 格局佳', '振业松湖雅苑  | 4室2厅 | 124.66平米 | 南 | 毛坯', '低楼层(共24层)2014年建塔楼  -  寮步', '236.9万', '单价19000元/平米')
('https://image1.ljcdn.com/441900-inspection/3b09801c-5bd5-4f84-ae07-5729fbf3cb46.jpg.296x216.jpg', '万科松湖传奇 3室2厅 205万', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '205万', '单价21135元/平米')
('https://image1.ljcdn.com/441900-inspection/a42db753-ac91-440d-94ab-b10a112ef2e8.jpg.296x216.jpg', '翠珑湾三期四房     毛坯出售', '星城翠珑湾三期  | 4室2厅 | 140平米 | 南 北 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '320万', '单价22858元/平米')
('https://image1.ljcdn.com/441900-inspection/7dce5b53-4146-43c6-85c2-9bccf7db3fd4.jpg.296x216.jpg', '振业松湖雅苑，高楼层，采光通风好！', '振业松湖雅苑  | 3室2厅 | 136.31平米 | 南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '248万', '单价18194元/平米')
('https://image1.ljcdn.com/441900-inspection/dfaccec6-2bb2-4412-9a7f-dfa9a9f65219.jpg.296x216.jpg', '银湖花园方正小两房通风采光很好 业主急租', '银湖花园  | 2室1厅 | 61.21平米 | 西北 北 | 其他', '高楼层(共7层)暂无数据  -  寮步', '43万', '单价7025元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload8546d044-d57b-46ab-905e-80ac21ca44ac.jpg.296x216.jpg', '位置很好 户型超级好的三房   人见人爱', '振业松湖雅苑  | 3室2厅 | 95.5平米 | 南 北 | 毛坯', '高楼层(共24层)2014年建塔楼  -  寮步', '190万', '单价19896元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload2ad1d9b1-706a-4f09-8c99-959990e59347.jpg.296x216.jpg', '振业松湖雅苑 3室2厅 246万', '振业松湖雅苑  | 3室2厅 | 136.51平米 | 东南 | 其他', '高楼层(共24层)2014年建塔楼  -  寮步', '246万', '单价18021元/平米')
('https://image1.ljcdn.com/441900-inspection/eff82eac-68f4-42a5-9bd4-0eb2bad7ccb9.jpg.296x216.jpg', '万科城市高尔夫花园 精装修 业主诚意出售', '万科城市高尔夫花园  | 2室2厅 | 95.09平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  寮步', '130万', '单价13672元/平米')
('https://image1.ljcdn.com/441900-inspection/d7ce7d93-8b9f-4ff2-8a8f-0537d6029b22.jpg.296x216.jpg', '翠珑湾三期，轻轨口物业，高层户型好，看房方便', '星城翠珑湾三期  | 3室2厅 | 105.06平米 | 西南 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '260万', '单价24748元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadeba2e749-315b-4a60-b8a8-41a453ba4e30.jpg.296x216.jpg', '星城翠珑湾三期 3室2厅 230万', '星城翠珑湾三期  | 3室2厅 | 96.9平米 | 南 | 其他', '中楼层(共31层)2016年建塔楼  -  寮步', '230万', '单价23736元/平米')
('https://image1.ljcdn.com/441900-inspection/a33a08b1-8c59-4243-ac70-3b2bed8e155c.jpg.296x216.jpg', '此房满五不唯一，楼梯楼二楼，80平三房，', '嘉湖山庄  | 3室2厅 | 78.9平米 | 西北 | 其他', '低楼层(共7层)暂无数据  -  寮步', '85万', '单价10774元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploaddb6855a1-19db-47a2-a60d-55e72d86ac15.jpg.296x216.jpg', '万科城市高尔夫花园 4室2厅 230万', '万科城市高尔夫花园  | 4室2厅 | 142.67平米 | 南 | 其他', '中楼层(共4层)2006年建暂无数据  -  寮步', '230万', '单价16122元/平米')
('https://image1.ljcdn.com/441900-inspection/ec4fd848-b094-42d6-8608-71062f525f25.jpg.296x216.jpg', '振业松湖雅苑 3室2厅 165万', '振业松湖雅苑  | 3室2厅 | 98平米 | 南 | 其他', '低楼层(共24层)2014年建塔楼  -  寮步', '165万', '单价16837元/平米')
('https://image1.ljcdn.com/441900-inspection/6e9e65f7-bbb9-4c31-aca7-1281e080b8af.jpg.296x216.jpg', '万科城市高尔夫 业主自用 带家私电器 诚心出售', '万科城市高尔夫花园  | 3室2厅 | 124.09平米 | 南 | 其他', '中楼层(共4层)暂无数据  -  寮步', '210万', '单价16924元/平米')
('https://image1.ljcdn.com/441900-inspection/4e3ade75-fde6-483e-a1c4-3cd6b925114b.jpg.296x216.jpg', '丰泰城4房+1书房，3厅有双车位 星河城，汽车客运东站', '丰泰城  | 5室3厅 | 161.17平米 | 南 | 精装', '高楼层(共17层)塔楼  -  寮步', '290万', '单价17994元/平米')
('https://image1.ljcdn.com/441900-inspection/d1cd02d8-fe03-40a3-8b78-217df78aef49.jpg.296x216.jpg', '此房满五唯一免双税，翠云轩少有南向大复式。', '怡丰翠云轩  | 4室2厅 | 94.4平米 | 南 | 其他', '低楼层(共8层)塔楼  -  石井', '280万', '单价29662元/平米')
('https://image1.ljcdn.com/441900-inspection/a16f8224-06cd-4108-9518-c6ae89b6109c.jpg.296x216.jpg', '业主自住 三房朝南小区管理安全', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '205万', '单价21135元/平米')
('https://image1.ljcdn.com/441900-inspection/6b3f8a51-97ec-47ab-93d4-da44e8ebad26.jpg.296x216.jpg', '中间楼层 户型方正 大阳台 景观好', '星城翠珑湾三期  | 3室2厅 | 96.57平米 | 南 | 其他', '中楼层(共18层)2016年建塔楼  -  寮步', '255万', '单价26406元/平米')
('https://image1.ljcdn.com/441900-inspection/cb9de479-e4bc-43b6-9e31-ccf9b000d970.jpg.296x216.jpg', '大面积，小区24小时智能管理，松山湖的房，诚意出售', '星城翠珑湾三期  | 3室2厅 | 115.93平米 | 南 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '290万', '单价25016元/平米')
('https://image1.ljcdn.com/441900-inspection/8e7fb448-ab4e-4e7d-9bc8-04ba31e37397.jpg.296x216.jpg', '万科城市高尔夫 精装情景美墅 满五唯一业主急售', '万科城市高尔夫花园  | 3室2厅 | 142.95平米 | 南 | 精装', '中楼层(共4层)暂无数据  -  寮步', '270万', '单价18888元/平米')
('https://image1.ljcdn.com/441900-inspection/6e1ad4ae-4a2c-40b4-a5f1-ea9d1cfb0d5a.jpg.296x216.jpg', '时富花园别墅 小区环境好 业主诚意出售', '时富花园   | 独栋别墅 | 5室2厅 | 443.43平米 | 南 | 其他', '3层2006年建暂无数据  -  寮步', '800万', '单价18042元/平米')
('https://image1.ljcdn.com/441900-inspection/339223b4-440b-4bde-8606-0218c2ebb952.jpg.296x216.jpg', '保利中惠悦城精装修两房 户型方正 高楼层 采光好', '保利中惠悦城  | 2室2厅 | 64平米 | 东南 | 其他', '中楼层(共9层)2015年建塔楼  -  寮步', '128万', '单价20000元/平米')
('https://image1.ljcdn.com/441900-inspection/ea4b49c6-243a-4882-9a24-3102994fedee.jpg.296x216.jpg', '翠云轩复式四房两厅，满五唯一，精装修', '怡丰翠云轩  | 4室2厅 | 87平米 | 北 | 其他', '中楼层(共8层)塔楼  -  石井', '270万', '单价31035元/平米')
('https://image1.ljcdn.com/441900-inspection/b2bbbadf-3af2-47b0-9189-e025ec7eb8b5.jpg.296x216.jpg', '毛坏三房（可做四房） 南向 采光通风好  业主急售', '鼎峰尚境一期  | 3室2厅 | 127.91平米 | 南 | 其他', '低楼层(共18层)塔楼  -  寮步', '240万', '单价18764元/平米')
('https://image1.ljcdn.com/441900-inspection/a569fbc6-4492-4dc0-a423-cee905cc0273.jpg.296x216.jpg', '翠珑湾三期毛坯大三房，楼层适中采光好', '星城翠珑湾三期  | 3室2厅 | 105平米 | 南 | 其他', '低楼层(共32层)2016年建塔楼  -  寮步', '280万', '单价26667元/平米')
('https://image1.ljcdn.com/441900-inspection/1ed63cf1-5866-4671-b443-5abdf2613337.jpg.296x216.jpg', '怡丰翠云轩 4室2厅 245万', '怡丰翠云轩  | 4室2厅 | 87平米 | 南 | 精装', '高楼层(共8层)塔楼  -  石井', '245万', '单价28161元/平米')
('https://image1.ljcdn.com/441900-inspection/80d1c87b-0289-4a7c-84f1-c0cbf1fd8ac0.jpg.296x216.jpg', '鼎峰尚境二期 4室2厅 445万', '鼎峰尚境二期  | 4室2厅 | 177.26平米 | 西南 | 其他', '低楼层(共31层)塔楼  -  石井', '445万', '单价25105元/平米')
('https://image1.ljcdn.com/441900-inspection/fb017e66-9217-449c-9b6f-e9a46be6aa15.jpg.296x216.jpg', '丰泰城 实用三房 面积大 厅出大阳台 采光通风好', '丰泰城  | 3室2厅 | 114平米 | 东 | 其他', '低楼层(共9层)塔楼  -  寮步', '165万', '单价14474元/平米')
('', '宏远康城假日  位于寮步华南工业园', '宏远康城假日  | 2室1厅 | 70.47平米 | 南 | 其他', '高楼层(共30层)塔楼  -  寮步', '138万', '单价19583元/平米')
('https://image1.ljcdn.com/441900-inspection/33cbdfc3-cadf-4681-bc04-78cfcd31d11b.jpg.296x216.jpg', '朝向很好，户外景观非 常棒，毛坯改造空间大', '鼎峰尚境北园  | 4室2厅 | 138.43平米 | 南 | 其他', '中楼层(共31层)暂无数据  -  石井', '340万', '单价24562元/平米')
('https://image1.ljcdn.com/441900-inspection/8632c16a-b3ee-4723-8a8b-d184d6cd0675.jpg.296x216.jpg', '精装三室通透户型诚意出售钥匙房源随时看房', '星城翠珑湾三期  | 3室2厅 | 115.86平米 | 东 北 | 其他', '低楼层(共29层)2016年建塔楼  -  寮步', '315万', '单价27188元/平米')
('https://image1.ljcdn.com/441900-inspection/8e757786-e713-4023-a230-8128bc89fb45.jpg.296x216.jpg', '万科精装三房出售  业主想在深圳置换房', '万科松湖传奇  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共34层)2015年建塔楼  -  寮步', '190万', '单价19588元/平米')
('https://image1.ljcdn.com/441900-inspection/57000d4f-3f06-45c4-97da-b6a2892bc5a1.jpg.296x216.jpg', '万科城市高尔夫花园 3室2厅 210万', '万科城市高尔夫花园  | 3室2厅 | 123.5平米 | 南 | 其他', '高楼层(共24层)2008年建塔楼  -  寮步', '210万', '单价17005元/平米')
('https://image1.ljcdn.com/441900-inspection/bb16e4b9-7aee-478d-b9bc-c813c406355c.jpg.296x216.jpg', '万科城市高尔夫花园,满五唯 一，大社区1房1厅出售', '万科城市高尔夫花园  | 1室1厅 | 47.39平米 | 东 南 | 其他', '低楼层(共18层)2006年建塔楼  -  寮步', '68万', '单价14350元/平米')
('', '香市科技园全新三房出售，交通便利，随时看房', '振业松湖雅苑  | 4室2厅 | 126.82平米 | 南 | 其他', '中楼层(共24层)2014年建塔楼  -  寮步', '220万', '单价17348元/平米')
('https://image1.ljcdn.com/441900-inspection/d6a5226c-1780-4765-96db-68f7a56d8711.jpg.296x216.jpg', '鼎峰尚景北园 小区绿化很好 免增值税，看房方便', '鼎峰尚境北园  | 4室2厅 | 120平米 | 北 | 其他', '高楼层(共31层)暂无数据  -  石井', '278万', '单价23167元/平米')
('https://image1.ljcdn.com/441900-inspection/a149d386-c384-489c-b516-63eb87919a1e.jpg.296x216.jpg', '朝南户型 房型布局合理 双阳台 业主诚意出售', '星城翠珑湾三期  | 3室2厅 | 105.08平米 | 东 南 | 其他', '高楼层(共32层)2016年建塔楼  -  寮步', '295万', '单价28074元/平米')
('https://image1.ljcdn.com/441900-inspection/1a18b14d-a5f9-4ec7-a299-cd8479490c2f.jpg.296x216.jpg', '怡丰翠云轩大三房，看花园，带装修，适合自住。', '怡丰翠云轩  | 3室2厅 | 106.18平米 | 北 | 其他', '低楼层(共10层)塔楼  -  石井', '170万', '单价16011元/平米')
('https://image1.ljcdn.com/441900-inspection/b7b8ebae-b744-472f-b6cb-c1778859fd29.jpg.296x216.jpg', '万科精装修物业，拎包可以入住。', '万科松湖传奇二期左岸  | 4室2厅 | 105.57平米 | 东南 | 精装', '中楼层(共11层)2016年建塔楼  -  寮步', '225万', '单价21313元/平米')
('https://image1.ljcdn.com/441900-inspection/51c090b7-342e-48be-ace9-673be5fae3b9.jpg.296x216.jpg', '星城国际花园 2室2厅 202万', '星城国际花园  | 2室2厅 | 91.89平米 | 南 | 精装', '高楼层(共17层)2015年建塔楼  -  寮步', '202万', '单价21983元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadcc867a8e-c5c4-4a3d-95d0-83c83bf8ab0e.jpg.296x216.jpg', '翠珑湾，高楼层，采光好，大三房，业主诚心放售', '星城翠珑湾三期  | 3室2厅 | 112平米 | 东北 | 毛坯', '中楼层(共31层)2016年建塔楼  -  寮步', '280万', '单价25000元/平米')
('https://image1.ljcdn.com/441900-inspection/a3a6cdcb-bece-4ee8-965f-6bde97298427.jpg.296x216.jpg', '中间位置 高楼层， 没有做过饭 有钥匙看房', '万科松湖传奇  | 2室2厅 | 65平米 | 南 | 其他', '高楼层(共34层)2015年建塔楼  -  寮步', '128万', '单价19693元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_uploadcf518c33-a6d8-49fb-b39d-aa06226e27f5.jpg.296x216.jpg', '家私家电齐全 可以拎包入住 无遮挡 赠送车位', '振业松湖雅苑  | 3室2厅 | 89.4平米 | 南 | 其他', '中楼层(共11层)2014年建塔楼  -  寮步', '195万', '单价21813元/平米')
('https://image1.ljcdn.com/441900-inspection/49b4aa02-0aa1-479d-92c2-3afdefa27f15.jpg.296x216.jpg', '鼎峰尚境毛坯4房出售，满五唯一带车位', '鼎峰尚境一期  | 4室2厅 | 150.05平米 | 南 | 毛坯', '低楼层(共30层)塔楼  -  寮步', '438万', '单价29191元/平米')
('https://image1.ljcdn.com/441900-inspection/288a17f5-6a81-438c-8e8d-81a04319eabb.jpg.296x216.jpg', '满五年，精装4房，拎包入住看房方便', '万科城市高尔夫花园  | 3室2厅 | 125平米 | 东南 | 其他', '低楼层(共24层)2008年建塔楼  -  寮步', '248万', '单价19840元/平米')
('https://image1.ljcdn.com/441900-inspection/021b8010-6246-4424-95cb-ec778f22bb1b.jpg.296x216.jpg', '万科城市高尔夫花园 3室2厅 190万', '万科城市高尔夫花园  | 3室2厅 | 114.5平米 | 南 | 其他', '中楼层(共18层)2008年建塔楼  -  寮步', '190万', '单价16594元/平米')
('https://image1.ljcdn.com/441900-inspection/rsp_pic_upload7b398c0d-fe43-435e-8633-2758145c7e7a.jpg.296x216.jpg', '万科精装两房，楼层适中，环境优美', '万科松湖传奇  | 2室1厅 | 65平米 | 南 | 其他', '中楼层(共29层)2015年建塔楼  -  寮步', '120万', '单价18462元/平米')
