('https://image1.ljcdn.com/shfdfs-image/20170423/286137f6-eb22-4acd-a6b7-ee90b0779bce.jpg.296x216.jpg', '裕鸿佳苑 1室2厅 150万', '裕鸿佳苑  | 1室2厅 | 61平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2011年建板楼  -  陈家镇', '150万', '单价24591元/平米')
('', '普通住宅，房东诚心出售，看房方便，可挂户口，可自住', '海鸥新村  | 2室1厅 | 42.83平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1983年建板楼  -  崇明其它', '44万', '单价10274元/平米')
('', '跃进新村 1室1厅 45万', '跃进新村  | 1室1厅 | 42.93平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1988年建板楼  -  崇明其它', '45万', '单价10483元/平米')
('', '大华凤凰佳苑 6室3厅 430万', '大华凤凰佳苑  | 6室3厅 | 162.19平米 | 南 | 简装 | 无电梯', '高楼层(共4层)2006年建板楼  -  长兴岛', '430万', '单价26513元/平米')
('', '海燕新村(崇明) 1室1厅 50万', '海燕新村(崇明)  | 1室1厅 | 45.23平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1984年建板楼  -  崇明其它', '50万', '单价11055元/平米')
('', '银杏苑(崇明) 2室1厅 80万', '银杏苑(崇明)  | 2室1厅 | 62.9平米 | 南 | 其他 | 无电梯', '低楼层(共2层)1996年建板楼  -  崇明其它', '80万', '单价12719元/平米')
('', '普通住宅，房东诚心出售，看房方便', '君地蔚林半岛  | 1室1厅 | 50平米 | 南 | 其他', '低楼层(共20层)暂无数据  -  崇明其它', '70万', '单价14000元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170702/6dd4099b-1ee5-4205-83bf-ea536b227d13.jpg.296x216.jpg', '绿舟星城 2室2厅 163万', '绿舟星城  | 2室2厅 | 85.75平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)2009年建板楼  -  崇明其它', '163万', '单价19009元/平米')
('', '堤亚纳昱墅 6室6厅 1100万', '堤亚纳昱墅  | 6室6厅 | 425.15平米 | 南 北 | 简装 | 无电梯', '低楼层(共1层)2010年建板楼  -  崇明其它', '1100万', '单价25874元/平米')
('', '房东诚意出售，房子新，楼层好。', '绿舟星城  | 2室2厅 | 90.96平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  崇明其它', '125万', '单价13743元/平米')
('', '三年新装修 一房改两房 自住保养好 使用率高', '大华凤凰佳苑  | 2室1厅 | 48平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2006年建板楼  -  长兴岛', '138万', '单价28750元/平米')
('', '业主诚售 小区房龄新 位置好，通风佳', '裕鸿佳苑  | 2室1厅 | 82.7平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2012年建板楼  -  陈家镇', '190万', '单价22975元/平米')
('', '怡祥居 2室2厅 278万', '怡祥居  | 2室2厅 | 107.17平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)2002年建板楼  -  崇明新城', '278万', '单价25941元/平米')
('', '普通住宅，房东诚心出售，看房方便', '桂林新村  | 2室0厅 | 43.05平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1986年建板楼  -  崇明其它', '60万', '单价13938元/平米')
('', '唯一在卖稀却南北通三房 小高层带电梯低总价得房率高', '绿地瀛洲名邸  | 3室2厅 | 86.79平米 | 南 | 精装', '低楼层(共8层)2015年建暂无数据  -  崇明新城', '310万', '单价35719元/平米')
('', '绿舟星城 3室2厅 173万', '绿舟星城  | 3室2厅 | 102平米 | 南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  崇明其它', '173万', '单价16961元/平米')
('', '前哨二村 2室1厅 79万', '前哨二村  | 2室1厅 | 44.69平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1988年建板楼  -  陈家镇', '79万', '单价17678元/平米')
('', '上海低总价小户型 南北通透 挂户口 养老必备', '洪联新村  | 1室1厅 | 42.88平米 | 南 | 简装 | 无电梯', '中楼层(共4层)1982年建板楼  -  崇明其它', '45万', '单价10495元/平米')
('', '绿舟星城 2室1厅 120万', '绿舟星城  | 2室1厅 | 57.25平米 | 南 | 简装 | 无电梯', '中楼层(共6层)2009年建板楼  -  崇明其它', '120万', '单价20961元/平米')
('', '崇明岛地铁口，一手联排别墅，上下三层，送花园地下室', '三湘海尚云邸  | 4室2厅 | 187平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共1层)板楼  -  陈家镇', '650万', '单价34760元/平米')
('', '海景花园洋房 沪通高铁直达上海 市政府旁 可落户上学', '江海名都  | 2室1厅 | 71平米 | 南 | 毛坯', '高楼层(共11层)2012年建板楼  -  崇明新城', '280万', '单价39437元/平米')
('', '南北通 顶楼大三房 可封隔热层  随您心意装扮', '裕鸿佳苑  | 3室2厅 | 134平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2012年建板楼  -  陈家镇', '210万', '单价15672元/平米')
('', '占地近2万方直接拿出来卖，少有，少见。', '东风农场  | 1室0厅 | 3984平米 | 南 | 毛坯', '低楼层(共2层)暂无数据  -  崇明其它', '8000万', '单价20081元/平米')
('', '崇明挂户口 面积大 总价低  一万单价入户上海', '海鸥新村  | 2室1厅 | 46.75平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1987年建板楼  -  崇明其它', '53万', '单价11337元/平米')
('', '裕鸿佳苑 2室2厅 168万', '裕鸿佳苑  | 2室2厅 | 83.06平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2012年建板楼  -  陈家镇', '168万', '单价20227元/平米')
('', '新环路66弄 2室2厅 176万', '新环路66弄  | 2室2厅 | 76.58平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2005年建板楼  -  横沙岛', '176万', '单价22983元/平米')
('', '洪联新村 2室0厅 48万', '洪联新村  | 2室0厅 | 43.24平米 | 南 北 | 其他 | 无电梯', '低楼层(共4层)1986年建板楼  -  崇明其它', '48万', '单价11101元/平米')
('', '陈家宅 品质住宅小区 精装修 南北通3房 房东急卖', '裕鸿佳苑  | 3室2厅 | 104.46平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)2012年建板楼  -  陈家镇', '210万', '单价20104元/平米')
('', '新中路770号 3室2厅 180万', '新中路770号  | 3室2厅 | 115.48平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2003年建板楼  -  崇明其它', '180万', '单价15588元/平米')
('', '裕鸿佳苑 2室2厅 199万', '裕鸿佳苑  | 2室2厅 | 94平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2011年建板楼  -  陈家镇', '199万', '单价21171元/平米')
('', '华贸东滩花园 5室3厅 1100万', '华贸东滩花园   | 联排别墅 | 5室3厅 | 291平米 | 南 | 其他 | 无电梯', '1层2015年建板楼  -  陈家镇', '1100万', '单价37801元/平米')
('', '裕鸿佳苑 3室2厅 285万', '裕鸿佳苑  | 3室2厅 | 134.06平米 | 南 | 其他 | 无电梯', '中楼层(共6层)2012年建板楼  -  陈家镇', '285万', '单价21260元/平米')
('', '业主诚心出售                价格可谈', '绿舟星城  | 2室2厅 | 88平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2011年建板楼  -  崇明其它', '170万', '单价19319元/平米')
('', '前卫新村 1室1厅 95万', '前卫新村  | 1室1厅 | 43.52平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1986年建板楼  -  长兴岛', '95万', '单价21830元/平米')
('', '南坝新村 2室1厅 45万', '南坝新村  | 2室1厅 | 44.58平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1983年建板楼  -  崇明其它', '45万', '单价10095元/平米')
('', '裕鸿佳苑 3室2厅 270万', '裕鸿佳苑  | 3室2厅 | 112平米 | 南 | 其他 | 无电梯', '低楼层(共4层)2008年建板楼  -  陈家镇', '270万', '单价24108元/平米')
('', '小户型，70年住宅，普通住宅，产权清晰，俩房', '长乐一村  | 1室1厅 | 43.39平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1984年建板楼  -  崇明其它', '40万', '单价9219元/平米')
('', '新海农村 2室1厅 57万', '新海农村  | 2室1厅 | 52.96平米 | 南 | 其他 | 无电梯', '低楼层(共2层)1970年建板楼  -  崇明其它', '57万', '单价10763元/平米')
('', '陈家镇品质小区 一手动迁 楼层佳  房型正  前景好', '裕鸿佳苑  | 3室2厅 | 113.2平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)2012年建板楼  -  陈家镇', '238万', '单价21025元/平米')
('', '新海一村 2室0厅 46万', '新海一村  | 2室0厅 | 46.62平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1989年建板楼  -  崇明其它', '46万', '单价9868元/平米')
('', '海鸥新村 2室1厅 62万', '海鸥新村  | 2室1厅 | 62平米 | 东 | 其他 | 无电梯', '高楼层(共4层)1993年建板楼  -  崇明其它', '62万', '单价10000元/平米')
('', '体北新村 2室0厅 55万', '体北新村  | 2室0厅 | 46.04平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1986年建板楼  -  陈家镇', '55万', '单价11947元/平米')
('', '新海二村 2室0厅 45万', '新海二村  | 2室0厅 | 43.89平米 | 南 | 其他', '高楼层(共4层)暂无数据  -  崇明其它', '45万', '单价10253元/平米')
('', '新崇中路58号 2室1厅 130万', '新崇中路58号  | 2室1厅 | 53平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1974年建板楼  -  崇明新城', '130万', '单价24529元/平米')
('', '独栋别墅，实际使用面积大，适宜自住度假', '金茂悦公馆  | 5室3厅 | 395.59平米 | 南 | 其他 | 无电梯', '低楼层(共2层)2012年建板楼  -  陈家镇', '1680万', '单价42469元/平米')
('', '览海高尔夫别墅 4室2厅 1300万', '览海高尔夫别墅   | 联排别墅 | 4室2厅 | 503.54平米 | 南 | 其他 | 无电梯', '2层2011年建板楼  -  陈家镇', '1300万', '单价25818元/平米')
('', '长乐一村 2室1厅 40万', '长乐一村  | 2室1厅 | 43.14平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1986年建板楼  -  崇明其它', '40万', '单价9273元/平米')
('', '寒山寺路358号 3室1厅 245万', '寒山寺路358号  | 3室1厅 | 88.35平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1993年建板楼  -  崇明新城', '245万', '单价27731元/平米')
('', '为民路30号 1室1厅 45万', '为民路30号  | 1室1厅 | 36.15平米 | 南 | 简装 | 无电梯', '低楼层(共6层)板楼  -  堡镇', '45万', '单价12449元/平米')
('', '明华二村 2室1厅 58万', '明华二村  | 2室1厅 | 64.45平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1996年建板楼  -  崇明其它', '58万', '单价9000元/平米')
('', '普通住宅，可挂户口，房东诚心出售，方便看房', '海鸥新村  | 2室0厅 | 46.75平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1986年建板楼  -  崇明其它', '50万', '单价10696元/平米')
('', '普通住宅，房东诚心出售，看房方便', '海鸥新村  | 2室0厅 | 45.09平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共4层)1984年建板楼  -  崇明其它', '57万', '单价12642元/平米')
('', '海鸥新村 2室0厅 66万', '海鸥新村  | 2室0厅 | 44.63平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共5层)1985年建板楼  -  崇明其它', '66万', '单价14789元/平米')
('', '明珠花苑(崇明) 3室2厅 280万', '明珠花苑(崇明)  | 3室2厅 | 121平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2004年建板楼  -  崇明新城', '280万', '单价23141元/平米')
('', '房子小区环境好，房子装修好。价格好谈。', '海燕新村(崇明)  | 2室1厅 | 46.75平米 | 南 | 其他 | 无电梯', '中楼层(共5层)板楼  -  崇明其它', '56万', '单价11979元/平米')
('', '文宸花苑 3室2厅 215万', '文宸花苑  | 3室2厅 | 101.88平米 | 南 | 精装', '高楼层(共6层)2007年建暂无数据  -  崇明新城', '215万', '单价21104元/平米')
('', '洪中新村 1室1厅 60万', '洪中新村  | 1室1厅 | 44平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)1983年建板楼  -  崇明其它', '60万', '单价13637元/平米')
('', '绿舟星城 2室2厅 160万', '绿舟星城  | 2室2厅 | 86.01平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)板楼  -  崇明其它', '160万', '单价18603元/平米')
('', '大通路239号 3室1厅 165万', '大通路239号  | 3室1厅 | 90平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)1999年建板楼  -  堡镇', '165万', '单价18334元/平米')
('', '裕鸿佳苑 3室2厅 260万', '裕鸿佳苑  | 3室2厅 | 120.26平米 | 暂无数据 | 精装 | 无电梯', '高楼层(共5层)2008年建板楼  -  陈家镇', '260万', '单价21620元/平米')
('', '新环路66弄 2室2厅 153万', '新环路66弄  | 2室2厅 | 76.58平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  横沙岛', '153万', '单价19980元/平米')
('', '独栋大花园 业主诚意出售  价格可谈  房子是满五年的', '览海高尔夫别墅  | 8室8厅 | 291.19平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共2层)2011年建板楼  -  陈家镇', '1600万', '单价54947元/平米')
('', '金茂悦公馆 7室5厅 1600万', '金茂悦公馆  | 7室5厅 | 694.11平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共2层)2012年建板楼  -  陈家镇', '1600万', '单价23052元/平米')
('', '新世纪花苑(崇明) 3室2厅 295万', '新世纪花苑(崇明)  | 3室2厅 | 117平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2001年建板楼  -  崇明新城', '295万', '单价25214元/平米')
('', '崇明岛的宗地面积比较大， 去崇明度假可以考虑购入', '金茂悦公馆  | 6室4厅 | 609.57平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共2层)2012年建板楼  -  陈家镇', '1600万', '单价26249元/平米')
('', '崇明挂户口 面积大 总价低  一万单价入户上海', '明珠花苑(崇明)  | 1室1厅 | 65.74平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)2004年建板楼  -  崇明新城', '140万', '单价21297元/平米')
('', '采光优秀 温馨之家 好房好心情 幸福之家', '玉环新村  | 2室1厅 | 72平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共6层)1997年建板楼  -  崇明新城', '185万', '单价25695元/平米')
('', '东亚威尼斯公馆 四房 440万 业主回笼资金诚售', '东亚威尼斯公馆  | 4室2厅 | 137平米 | 南 | 毛坯', '低楼层(共11层)板楼  -  崇明新城', '440万', '单价32117元/平米')
('', '裕鸿佳苑 2室1厅 180万', '裕鸿佳苑  | 2室1厅 | 88平米 | 暂无数据 | 其他 | 无电梯', '高楼层(共6层)2011年建板楼  -  陈家镇', '180万', '单价20455元/平米')
('', '新海一村 2室1厅 62万', '新海一村  | 2室1厅 | 52.22平米 | 暂无数据 | 简装 | 无电梯', '高楼层(共5层)1986年建板楼  -  崇明其它', '62万', '单价11873元/平米')
('', '普通住宅，房东诚心出售，看房方便', '新苑新村  | 2室1厅 | 48.23平米 | 南 | 简装', '中楼层(共4层)暂无数据  -  崇明其它', '62万', '单价12856元/平米')
('', '白港二村 3室2厅 170万', '白港二村  | 3室2厅 | 157.86平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共1层)1986年建板楼  -  崇明其它', '170万', '单价10770元/平米')
('', '凤辰乐苑 2室2厅 250万', '凤辰乐苑  | 2室2厅 | 90.44平米 | 暂无数据 | 其他', '高楼层(共11层)2008年建板楼  -  长兴岛', '250万', '单价27643元/平米')
('', '跃进新村 2室1厅 51万', '跃进新村  | 2室1厅 | 49.88平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共5层)1994年建板楼  -  崇明其它', '51万', '单价10225元/平米')
('', '绿舟星城 2室2厅 136万', '绿舟星城  | 2室2厅 | 81.98平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  崇明其它', '136万', '单价16590元/平米')
('', '崇明生态岛上70年住宅产权 洋房品质小区精装修交付', '绿岛阳光苑  | 5室3厅 | 265平米 | 南 | 毛坯 | 无电梯', '低楼层(共3层)2008年建板楼  -  崇明新城', '720万', '单价27170元/平米')
('', '普通住宅，房东诚心出售，看房方便', '明华二村  | 2室1厅 | 54.7平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1995年建板楼  -  崇明其它', '54万', '单价9873元/平米')
('', '崇明挂户口 面积大 总价低 一万单价入户上海', '新海一村  | 2室1厅 | 49.4平米 | 南 | 其他 | 无电梯', '高楼层(共5层)1987年建板楼  -  崇明其它', '45万', '单价9110元/平米')
('', '此房是满五少税费，房东诚心出售，看房只要提前预约', '明华二村  | 2室0厅 | 44.94平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1991年建板楼  -  崇明其它', '52万', '单价11571元/平米')
('', '此房是满五唯一少税费，房东诚心出售，看房提前预约', '明华一村  | 2室0厅 | 41平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1984年建板楼  -  崇明其它', '46万', '单价11220元/平米')
('', '洪联新村 2室1厅 39万', '洪联新村  | 2室1厅 | 44.17平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1985年建板楼  -  崇明其它', '39万', '单价8830元/平米')
('', '大华凤凰佳苑 1室1厅 162万', '大华凤凰佳苑  | 1室1厅 | 51.54平米 | 南 | 精装 | 无电梯', '中楼层(共5层)2006年建板楼  -  长兴岛', '162万', '单价31432元/平米')
('', '联排别墅   不靠马路   价格空间大   看房随时可以看', '保亿风景水岸  | 5室3厅 | 326.8平米 | 南 | 毛坯 | 无电梯', '低楼层(共1层)2011年建板楼  -  陈家镇', '570万', '单价17442元/平米')
('', '校区有  裕安小XUE裕安中XUE  旁边配套齐全', '裕鸿佳苑  | 1室1厅 | 58.13平米 | 南 | 简装 | 无电梯', '低楼层(共5层)2008年建板楼  -  陈家镇', '145万', '单价24945元/平米')
('', '绿舟星城 2室2厅 155万', '绿舟星城  | 2室2厅 | 90.96平米 | 南 | 毛坯 | 无电梯', '低楼层(共6层)板楼  -  崇明其它', '155万', '单价17041元/平米')
('', '全南户型三房，满五年唯一税费少，看房有钥匙随时方便', '东苑新村  | 3室1厅 | 85.36平米 | 南 | 简装 | 无电梯', '高楼层(共4层)1982年建板楼  -  陈家镇', '135万', '单价15816元/平米')
('', '甘霖坊 1室1厅 145万', '甘霖坊  | 1室1厅 | 56.97平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2006年建板楼  -  崇明新城', '145万', '单价25452元/平米')
('', '览海高尔夫别墅 4室3厅 1200万', '览海高尔夫别墅  | 4室3厅 | 509.91平米 | 南 | 精装 | 无电梯', '低楼层(共2层)2011年建板楼  -  陈家镇', '1200万', '单价23534元/平米')
('', '房子小区环境好，房子装修好。价格好谈。', '海鸥新村  | 2室0厅 | 45.09平米 | 南 | 简装 | 无电梯', '高楼层(共4层)1984年建板楼  -  崇明其它', '40万', '单价8872元/平米')
('', '陈家宅  品质住宅小区   精装修  南北通3房 房东急卖', '裕鸿佳苑  | 3室2厅 | 101.17平米 | 南 | 其他 | 无电梯', '低楼层(共5层)2007年建板楼  -  陈家镇', '200万', '单价19769元/平米')
('', '总价低，老人挂户口专用，新鲜空气随时享受', '长乐一村  | 1室1厅 | 46.07平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1988年建板楼  -  崇明其它', '45万', '单价9768元/平米')
('', '产权1人，想房东想早点卖掉，诚意出售，看房方便', '明华二村  | 2室0厅 | 53.7平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1988年建板楼  -  崇明其它', '50万', '单价9311元/平米')
('', '体北新村 2室1厅 50万', '体北新村  | 2室1厅 | 44.7平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1986年建板楼  -  陈家镇', '50万', '单价11186元/平米')
('', '崇明挂户口 面积大 总价低  一万单价入户上海', '新海一村  | 2室1厅 | 77.45平米 | 南 | 其他 | 无电梯', '低楼层(共5层)1998年建板楼  -  崇明其它', '80万', '单价10330元/平米')
('', '房子总价低，可贷款，适合落户口用', '跃高新村  | 2室1厅 | 44.22平米 | 南 | 毛坯 | 无电梯', '中楼层(共4层)1982年建板楼  -  崇明其它', '41万', '单价9272元/平米')
('', '度假，公司会议，高尔夫球场旁边，休闲游玩，联排别墅', '览海高尔夫别墅  | 5室3厅 | 330.44平米 | 南 | 其他 | 无电梯', '低楼层(共3层)2011年建板楼  -  陈家镇', '620万', '单价18763元/平米')
('', '大华凤凰佳苑 3室2厅 260万', '大华凤凰佳苑  | 3室2厅 | 125.7平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共5层)2006年建板楼  -  长兴岛', '260万', '单价20685元/平米')
('', '大华凤凰佳苑 2室2厅 210万', '大华凤凰佳苑  | 2室2厅 | 94.79平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2006年建板楼  -  长兴岛', '210万', '单价22155元/平米')
('', '跃进新村 1室1厅 40万', '跃进新村  | 1室1厅 | 42.93平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1985年建板楼  -  崇明其它', '40万', '单价9318元/平米')
('', '洪联新村 2室1厅 40.5万', '洪联新村  | 2室1厅 | 44.82平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1986年建板楼  -  崇明其它', '40.5万', '单价9037元/平米')
('', '长江二村 1室1厅 50万', '长江二村  | 1室1厅 | 45.77平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1984年建板楼  -  崇明其它', '50万', '单价10925元/平米')
('', '向民路318号 3室1厅 160万', '向民路318号  | 3室1厅 | 94.74平米 | 南 | 毛坯 | 无电梯', '高楼层(共5层)2000年建板楼  -  崇明其它', '160万', '单价16889元/平米')
('', '崇明好房 100万 可挂户口 4楼 配套齐全', '新苑新村  | 2室2厅 | 83.74平米 | 南 | 简装', '高楼层(共4层)暂无数据  -  崇明其它', '100万', '单价11942元/平米')
('', '房子小区环境好，房子装修好。价格好谈。', '洪联新村  | 2室0厅 | 51.13平米 | 南 | 简装 | 无电梯', '低楼层(共3层)1980年建板楼  -  崇明其它', '48万', '单价9388元/平米')
('', '凤辰乐苑 2室2厅 200万', '凤辰乐苑  | 2室2厅 | 81.48平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)2008年建板楼  -  长兴岛', '200万', '单价24546元/平米')
('', '金月湾小区 3室2厅 510万', '金月湾小区  | 3室2厅 | 148.26平米 | 南 | 精装', '高楼层(共9层)2008年建板楼  -  崇明新城', '510万', '单价34400元/平米')
('', '凤辰乐苑 3室2厅 265万', '凤辰乐苑  | 3室2厅 | 105.39平米 | 南 | 毛坯 | 无电梯', '中楼层(共6层)2008年建板楼  -  长兴岛', '265万', '单价25145元/平米')
('', '前哨二村 2室1厅 110万', '前哨二村  | 2室1厅 | 44.48平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共5层)1987年建板楼  -  陈家镇', '110万', '单价24731元/平米')
('', '绿舟星城 3室2厅 238万', '绿舟星城  | 3室2厅 | 118.38平米 | 暂无数据 | 其他 | 无电梯', '低楼层(共6层)2009年建板楼  -  崇明其它', '238万', '单价20105元/平米')
('', '普通住宅，房东诚心出售，看房方便', '海鸥新村  | 2室1厅 | 45.09平米 | 暂无数据 | 其他 | 无电梯', '中楼层(共4层)1984年建板楼  -  崇明其它', '60万', '单价13307元/平米')
('', '毛纺新村 2室1厅 44万', '毛纺新村  | 2室1厅 | 44平米 | 南 | 其他 | 无电梯', '中楼层(共4层)1981年建板楼  -  崇明其它', '44万', '单价10000元/平米')
('', '绿地瀛洲名邸 2室2厅 280万', '绿地瀛洲名邸  | 2室2厅 | 86.63平米 | 南 | 其他', '中楼层(共8层)2015年建暂无数据  -  崇明新城', '280万', '单价32322元/平米')
('', '海岛星城 2室1厅 205万', '海岛星城  | 2室1厅 | 81.12平米 | 南 | 其他 | 无电梯', '低楼层(共6层)2008年建板楼  -  崇明新城', '205万', '单价25272元/平米')
('', '明南佳苑 3室2厅 200万', '明南佳苑  | 3室2厅 | 89.96平米 | 南 | 其他 | 无电梯', '中楼层(共5层)2009年建板楼  -  崇明新城', '200万', '单价22233元/平米')
('', '前哨二村 1室1厅 75万', '前哨二村  | 1室1厅 | 41平米 | 南 | 毛坯 | 无电梯', '低楼层(共5层)1989年建板楼  -  陈家镇', '75万', '单价18293元/平米')
('', '利好崇明独栋海景之墅 欧式之风 生态之岛 全明采光', '达安御廷  | 3室2厅 | 90平米 | 南 北 | 毛坯 | 无电梯', '低楼层(共1层)2011年建板楼  -  崇明新城', '450万', '单价50000元/平米')
('', '跃进新村 2室0厅 52万', '跃进新村  | 2室0厅 | 56.85平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1980年建板楼  -  崇明其它', '52万', '单价9147元/平米')
('', '产权住宅，业主诚心出售，适合挂户口', '洪中新村  | 2室1厅 | 47.75平米 | 南 | 其他 | 无电梯', '高楼层(共6层)1983年建板楼  -  崇明其它', '40万', '单价8377元/平米')
('', '江南清水苑 2室2厅 185万', '江南清水苑  | 2室2厅 | 88.81平米 | 南 北 | 精装 | 无电梯', '高楼层(共4层)板楼  -  长兴岛', '185万', '单价20831元/平米')
