('https://image1.ljcdn.com/510100-inspection/test-9bbd51cb-92b9-402c-8438-0615cb5db19d.png.296x216.jpg', '锦城苑套三 小区环境优美 安静', '锦城苑  | 3室2厅 | 131.58平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  茶店子', '180万', '单价13680元/平米')
('https://image1.ljcdn.com/510100-inspection/test-daa61c25-d104-47e6-9af8-b19852bbd859.png.296x216.jpg', '恒大西锦城套三单卫，进门入户，户型方正', '恒大西锦城  | 2室3厅 | 91.36平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2012年建塔楼  -  国宾', '173万', '单价18937元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2fa75695-1200-4185-a6ee-74e198cc2240.png.296x216.jpg', '映日荷花    小套二    户型方正', '映日荷花  | 2室2厅 | 59.3平米 | 西 | 简装 | 有电梯', '高楼层(共23层)2009年建板塔结合  -  五块石', '81万', '单价13660元/平米')
('https://image1.ljcdn.com/510100-inspection/test-74e24f87-5b3d-4fe3-ba5b-e5795f92b9c7.png.296x216.jpg', '和睦人家标准套二  户型方正   精装修', '和睦人家一二期  | 2室2厅 | 75.65平米 | 东北 | 精装 | 无电梯', '中楼层(共6层)2002年建板塔结合  -  营门口', '125万', '单价16524元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cc9d84e1-70eb-4e5e-9fe6-625fd427087c.png.296x216.jpg', '康馨源155户型，电梯，错层套三，精装修。', '康馨源  | 3室2厅 | 155.78平米 | 西南 | 其他 | 有电梯', '高楼层(共9层)2003年建板楼  -  一品天下', '268万', '单价17204元/平米')
('https://image1.ljcdn.com/510100-inspection/test-12fb8151-4f44-4536-88fb-2884c56c9320.png.296x216.jpg', '双城+有装修+有阳台+套二+安静不临街', '双城  | 2室1厅 | 82.52平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2009年建板塔结合  -  花牌坊', '158万', '单价19147元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c79df7ad-5e9d-40bc-85e9-ccfdf1ac5920.png.296x216.jpg', '华宇锦城名都标准套二，精装修。', '锦城名都  | 2室1厅 | 73.4平米 | 东北 | 其他 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  营门口', '146.8万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-58c45306-5f47-404e-9519-c6c47d131049.png.296x216.jpg', '银沙横街6号标准套二户型方正，配套成熟出现方便', '银沙横街6号院  | 2室1厅 | 56.4平米 | 西南 | 其他', '中楼层(共7层)2000年建板楼  -  营门口', '75万', '单价13298元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ff61e826-c5e8-4e6d-b5b3-6f56135ba70b.png.296x216.jpg', '标准套二  拎包住入  有装修', '恒和华园  | 2室1厅 | 87.64平米 | 东南 | 其他 | 有电梯', '低楼层(共6层)2004年建板楼  -  花照壁', '132万', '单价15062元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7a4f62ea-ec57-40de-8935-0f2804561cf4.png.296x216.jpg', '华宇锦城名都+标准套二+户型方正+视野开阔', '锦城名都  | 2室1厅 | 89.09平米 | 西北 | 其他 | 有电梯', '高楼层(共33层)2008年建板塔结合  -  营门口', '178万', '单价19980元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d79ae6a7-9641-4fed-b39f-926e30edffe9.png.296x216.jpg', '阳曦芙蓉城  套二 带家具家电。', '阳曦芙蓉城  | 2室2厅 | 75.85平米 | 西南 | 其他 | 有电梯', '低楼层(共30层)2009年建板楼  -  茶店子', '155万', '单价20436元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1201cb41-51b8-42e7-848f-29b2432bb84c.png.296x216.jpg', '福祥家园瑞康苑 套二户型出售 有装修', '福祥家园瑞康苑  | 2室2厅 | 75.73平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2007年建板楼  -  茶店子', '109万', '单价14394元/平米')
('https://image1.ljcdn.com/510100-inspection/test-30222bb4-0602-4978-bf8b-fc7ae8de176c.png.296x216.jpg', '二环营门口+电梯小高层+标准套二', '金城丽景  | 2室1厅 | 81.26平米 | 东南 | 其他 | 有电梯', '高楼层(共10层)2004年建塔楼  -  营门口', '135万', '单价16614元/平米')
('https://image1.ljcdn.com/510100-inspection/test-74c369ba-d042-4695-bfee-a5c2ad009776.png.296x216.jpg', '智业公寓，标准套二，两个大阳台', '智业公寓  | 2室1厅 | 97.49平米 | 西南 | 其他 | 无电梯', '高楼层(共7层)2002年建塔楼  -  沙湾', '120万', '单价12309元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b06bbc4-39f0-4fec-90b3-eea05fbce1a1.png.296x216.jpg', '一环路金牛区筒车巷29号标准套二', '筒车巷29号  | 2室1厅 | 62.37平米 | 南 | 其他 | 无电梯', '高楼层(共7层)2000年建板楼  -  花牌坊', '82万', '单价13148元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6ee67bbf-2064-4d9f-aad5-c27af1dfe9e9.png.296x216.jpg', '黄忠爱丽舍 户型方正  有装修', '黄忠爱丽舍  | 2室1厅 | 67.28平米 | 西北 | 其他 | 有电梯', '低楼层(共12层)2003年建板楼  -  蜀汉路', '102万', '单价15161元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1b2d6e14-efe6-4437-bb88-80dd18ec488f.png.296x216.jpg', '08年小区 蓝光自主物业 精装修 不临街 有双阳台', '凯丽豪景  | 3室2厅 | 105.44平米 | 东北 | 其他 | 有电梯', '中楼层(共32层)2008年建板楼  -  一品天下', '275万', '单价26082元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c4ad6268-a1d6-487c-bb0f-1b8ec48d4a14.png.296x216.jpg', '燕宇康品+套二+有装修+不临街', '燕宇康品  | 2室1厅 | 75.92平米 | 东 | 其他 | 有电梯', '低楼层(共26层)2009年建塔楼  -  抚琴小区', '145万', '单价19100元/平米')
('https://image1.ljcdn.com/510100-inspection/test-21ce2113-2d0c-4732-bc0f-b1c604516b58.png.296x216.jpg', '此房中间楼层，楼层好，采光好，明厨明卫，厨房带阳台', '交大智能六期  | 2室2厅 | 73.04平米 | 东 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  九里堤', '99万', '单价13555元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2839a055-e420-4f9d-ac8e-3490352a7e5c.png.296x216.jpg', '阳光金沙 中间楼层 小区安静 绿化好', '阳光金沙  | 3室2厅 | 95.36平米 | 东南 | 精装 | 无电梯', '中楼层(共6层)2006年建板楼  -  蜀汉路', '168万', '单价17618元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4e63aaf7-4a12-4adf-bc19-dfb6ab8688c9.png.296x216.jpg', '此房满两年无增值税，跃层套三双卫带花园，明厨明卫', '锦西名宅西区  | 3室2厅 | 122.71平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2002年建板楼  -  营门口', '170万', '单价13854元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e38e4001-be7c-4985-846e-7f74fd79c07f.png.296x216.jpg', '标准套二带入户花园  户型方正 中间楼层', '锦城名都  | 2室1厅 | 88.58平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2008年建板塔结合  -  营门口', '204万', '单价23031元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7f571a7-5cd1-4754-a92e-eaafe2cc053b.png.296x216.jpg', '金沙别致 大套二可改套三 电梯房', '金沙别致  | 2室1厅 | 82.91平米 | 西南 | 其他 | 有电梯', '低楼层(共23层)2011年建板楼  -  蜀汉路', '132万', '单价15921元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9509ea2c-1765-46cd-9c92-18bc8f03157c.png.296x216.jpg', '万达龙门镇二期 正对府河套三 居家装修拎包入住。', '龙门镇二期  | 3室1厅 | 92.54平米 | 西北 | 简装 | 有电梯', '高楼层(共33层)2013年建塔楼  -  金牛万达', '190万', '单价20532元/平米')
('https://image1.ljcdn.com/510100-inspection/test-db95e5be-c711-436b-b0ef-b14fac56a860.png.296x216.jpg', '两河锦地装修套二 对中庭 有钥匙', '两河锦地  | 2室2厅 | 79.14平米 | 西北 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  高家庄', '120万', '单价15164元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5925eb98-e1ed-45ac-85b0-d79ef66da89d.png.296x216.jpg', '马家花园路9号套二，户型方正，安静不临街', '马家花园路9号  | 2室1厅 | 77.89平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1997年建板楼  -  花牌坊', '94万', '单价12069元/平米')
('https://image1.ljcdn.com/510100-inspection/test-02fd6148-16ac-4ac1-ae74-e6fc635918ec.png.296x216.jpg', '白果林银杏广场，套二，次新房，有装修', '白果林银杏广场  | 2室2厅 | 83.25平米 | 南 | 其他', '中楼层(共27层)塔楼  -  石人小区', '140万', '单价16817元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3ff6b2a1-9c13-44e8-8afa-21dbe98c3e95.png.296x216.jpg', '二环内 简装套二 中高楼层 户型方正 安静不临街', '营策巷29号  | 2室1厅 | 51.97平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)1996年建板楼  -  抚琴小区', '65万', '单价12508元/平米')
('https://image1.ljcdn.com/510100-inspection/test-71301105-3a3f-4265-a66b-9f25ca9c2367.png.296x216.jpg', '交大智能八期，跃层带装修，房子满两年没有增值税。', '交大智能八期  | 3室1厅 | 97.57平米 | 南 | 其他 | 无电梯', '高楼层(共6层)2003年建板楼  -  营门口', '135万', '单价13837元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bf49c4c0-bad4-4515-8ac2-404bd470567e.png.296x216.jpg', '青房标准套二，高楼层，视野好，有阳台', '青房尚瑞天韵  | 2室1厅 | 85.83平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2009年建塔楼  -  高家庄', '140万', '单价16312元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b1d68369-e9ea-409b-a611-1a6a47da0cf1.png.296x216.jpg', '金都苑标准套二，户型方正无浪费，采光好，可直接入住', '金都苑  | 2室1厅 | 77.83平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2009年建板楼  -  五块石', '116万', '单价14905元/平米')
('https://image1.ljcdn.com/510100-inspection/test-22f5d292-7a59-4f52-bd37-afc468ebd6d4.png.296x216.jpg', '西沙美景 套一带阳台 主卧有飘窗 不临街', '西沙美景小区  | 1室1厅 | 51.91平米 | 东 | 其他 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  沙湾', '82万', '单价15797元/平米')
('https://image1.ljcdn.com/510100-inspection/test-417e3c18-ede0-4eca-be82-52dfaa3d73d3.png.296x216.jpg', '凯丽豪景 精装修  套二 有阳台', '凯丽豪景  | 2室2厅 | 85.9平米 | 东北 | 精装 | 有电梯', '高楼层(共32层)2008年建板楼  -  一品天下', '215万', '单价25030元/平米')
('https://image1.ljcdn.com/510100-inspection/test-27d4ce90-607b-4c63-bbf8-78c8302d4313.png.296x216.jpg', '金牛区五块石 改套三户型 户型方正 楼层合适采光好', '金福苑  | 3室1厅 | 71.6平米 | 南 | 其他', '高楼层(共6层)暂无数据  -  五块石', '88万', '单价12291元/平米')
('https://image1.ljcdn.com/510100-inspection/test-37eda36b-26cf-4747-a611-71f382c61afd.png.296x216.jpg', '营康路小区+低楼层套二+户型方正采光好', '营康路77号  | 2室1厅 | 76.84平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)1998年建板楼  -  抚琴小区', '105万', '单价13665元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5b88da35-7992-40b9-a8c3-6182e501a4cd.png.296x216.jpg', '幸福屋语 套一 朝北 自住装修 随时看', '幸福屋语  | 1室1厅 | 48.32平米 | 北 | 其他 | 有电梯', '中楼层(共15层)2006年建板楼  -  沙湾', '78万', '单价16143元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b1a0b5c-e900-487c-a28b-b3ebea0d0a12.png.296x216.jpg', '标准套二  有装修  可以拎包入住', '城市绿舟花园  | 2室2厅 | 76.56平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2004年建板楼  -  花照壁', '108万', '单价14107元/平米')
('https://image1.ljcdn.com/510100-inspection/test-67e6ce41-bc77-4fef-8da7-665e602cfa6c.png.296x216.jpg', '一品天下 蜀汉路 08年电梯 精装套二  带阳台', '状元府邸  | 2室1厅 | 64.59平米 | 东南 | 精装 | 有电梯', '中楼层(共31层)2008年建塔楼  -  一品天下', '105万', '单价16257元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6d500c8d-620e-4e8e-b782-56829e7e739a.png.296x216.jpg', '红花教师苑低楼层套三单卫 有装修', '红花教师苑  | 3室2厅 | 104.8平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2004年建板楼  -  金牛万达', '124万', '单价11833元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9d384a92-a767-4aec-9bd2-f11f93656ffd.png.296x216.jpg', '解放西街1号标准套三 有装修 明厨明卫', '解放西街1号  | 3室2厅 | 101.45平米 | 东南 | 其他', '中楼层(共7层)暂无数据  -  金牛万达', '120万', '单价11829元/平米')
('https://image1.ljcdn.com/510100-inspection/test-92bd6456-3bf4-4029-83aa-784483ee79c1.png.296x216.jpg', '城市绿舟花园+标准套三双卫+低楼层+拎包入住', '城市绿舟花园  | 3室1厅 | 108.95平米 | 西北 | 精装 | 无电梯', '低楼层(共6层)2002年建板楼  -  花照壁', '150万', '单价13768元/平米')
('https://image1.ljcdn.com/510100-inspection/test-54efab25-3209-4df1-9226-83a9dc9fc0b3.png.296x216.jpg', '芙蓉华庭 标准套二 客厅带阳台', '芙蓉华庭  | 2室2厅 | 92.67平米 | 东 | 其他 | 有电梯', '高楼层(共18层)2008年建板楼  -  金牛万达', '128万', '单价13813元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b944a329-f43d-4e82-994d-644705c23c1b.png.296x216.jpg', '该房标准套三双卫，小区安静，楼层不高，客厅带飘窗', '怡欣苑  | 3室2厅 | 108.09平米 | 西南 | 其他 | 无电梯', '中楼层(共6层)2002年建板楼  -  花照壁', '155万', '单价14340元/平米')
('https://image1.ljcdn.com/510100-inspection/test-45d60a4c-1bc0-4834-808b-d432d4c3d2f2.png.296x216.jpg', '视野开阔 户型方正 客厅带阳台 配套齐全', '蓝光花好月圆  | 2室1厅 | 63.98平米 | 东南 | 其他 | 有电梯', '中楼层(共11层)2004年建塔楼  -  一品天下', '108万', '单价16881元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6b622310-776f-4992-ac7d-7684d7bdb2ba.png.296x216.jpg', '龙门镇标准套三+有装修+高楼层', '龙门镇二期  | 3室2厅 | 91平米 | 东 | 其他 | 有电梯', '高楼层(共32层)2013年建塔楼  -  金牛万达', '182万', '单价20000元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ab2e19a3-bcc3-4fbe-8181-3f0da47e0ddc.png.296x216.jpg', '营门口，标准套二，中间楼层，明厨明卫，采光好', '互利西一巷5号  | 2室1厅 | 65.65平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)2000年建板楼  -  营门口', '85万', '单价12948元/平米')
('https://image1.ljcdn.com/510100-inspection/test-48a7d404-e98e-4cd7-865b-b721aba66d12.png.296x216.jpg', '檀香花园  装修套三 看房方便有钥匙', '檀香花园  | 3室2厅 | 92.41平米 | 西南 | 精装 | 有电梯', '低楼层(共26层)2011年建塔楼  -  国宾', '157万', '单价16990元/平米')
('https://image1.ljcdn.com/510100-inspection/test-822392b7-af7c-43c5-9d70-3cf962d983f2.png.296x216.jpg', '金牛区中间楼层套二，生活方便交通便利', '中新路21号  | 2室1厅 | 51.05平米 | 南 北 | 毛坯', '中楼层(共6层)2001年建板楼  -  石人小区', '80万', '单价15671元/平米')
('https://image1.ljcdn.com/510100-inspection/test-913c2ccf-a88e-4c53-b2e3-d5e834dc6188.png.296x216.jpg', '嘉洲华府，套一改套二，带装修出售', '嘉洲华府  | 2室1厅 | 49.56平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)2003年建塔楼  -  营门口', '55万', '单价11098元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload83df7992-1097-40e6-8c60-359f0b6b9f2a.jpg.296x216.jpg', '聚贤公寓  套四带书房 户型方正  客厅带落地窗', '聚贤公寓  | 4室2厅 | 163.17平米 | 东 | 其他 | 无电梯', '高楼层(共7层)2001年建板楼  -  沙湾', '195万', '单价11951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4d856669-fe6a-4b43-a9f4-02ca3acd74be.png.296x216.jpg', '锦西跃层套二 户型房子 采光好 房东自住看房提前约', '锦西国际  | 2室1厅 | 27.03平米 | 西 | 其他 | 有电梯', '高楼层(共22层)2008年建板塔结合  -  沙湾', '69万', '单价25528元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7f6f2d26-5a78-4a65-9d12-6907cb728e3d.png.296x216.jpg', '聚贤半岛花苑标准套二 对中庭不临街', '聚贤半岛花苑  | 2室1厅 | 81.16平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2002年建板楼  -  九里堤', '105万', '单价12938元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7adda1a-d1e4-47c7-b8bc-0fdef5be23ef.png.296x216.jpg', '新桥逸景电梯套三，有装修，户型好', '新桥逸景B区  | 3室2厅 | 92.32平米 | 东南 | 其他 | 有电梯', '中楼层(共23层)2010年建板塔结合  -  金府', '123万', '单价13324元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ac599e15-8272-46da-9061-a97f072c1145.png.296x216.jpg', '居家装修标准套二不临街交通便捷星河路社区5楼', '星河路社区  | 2室1厅 | 63.63平米 | 东南 | 其他 | 无电梯', '中楼层(共7层)2000年建板塔结合  -  西南交大', '85万', '单价13359元/平米')
('https://image1.ljcdn.com/510100-inspection/test-143b7efc-c9cb-4163-9074-a26412991a6e.png.296x216.jpg', '曦城套一带平台，带书房，空间利用好', '曦城  | 1室1厅 | 49.75平米 | 西北 | 简装 | 有电梯', '低楼层(共33层)2009年建板楼  -  花牌坊', '85万', '单价17086元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a67a63fe-342e-45f0-b8fc-13b7215abb9a.png.296x216.jpg', '业主自住，有装修，不临街，户型通透', '两河锦地  | 2室2厅 | 85.05平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2009年建板楼  -  高家庄', '122万', '单价14345元/平米')
('https://image1.ljcdn.com/510100-inspection/test-10f7c597-dc60-4e5f-b0bb-37d43cc6dcf3.png.296x216.jpg', '交大智能六期套二，明厨明卫，厨房带阳台，户型方正', '交大智能六期  | 2室2厅 | 71.84平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  九里堤', '96万', '单价13364元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3b6732d2-6db6-4660-bf75-2dd6fdaff44d.png.296x216.jpg', '高家村标准大套一 可改套二 户型方正有钥匙 中间楼层', '两河锦地  | 1室2厅 | 72.09平米 | 东南 | 简装 | 有电梯', '中楼层(共18层)2009年建板楼  -  高家庄', '86万', '单价11930元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bd0c2e58-bb85-4db7-8805-c9549e2cffad.png.296x216.jpg', '金牛国宾 保利梧桐语套三 布局合理 对中庭 满2年！！', '保利梧桐语  | 3室2厅 | 80.58平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2014年建板塔结合  -  高家庄', '152万', '单价18864元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3cfcd34b-b524-48e7-85f2-4a5b74cb0c0e.png.296x216.jpg', '佳美榕苑 户型好 楼层好 有装修 标准套三', '佳美榕苑  | 3室2厅 | 92.11平米 | 东 | 其他 | 无电梯', '中楼层(共7层)2003年建板楼  -  西南交大', '138万', '单价14983元/平米')
('https://image1.ljcdn.com/510100-inspection/test-db5be15f-00f5-4129-ad27-42ec9a66ac57.png.296x216.jpg', '沙河源川建社区 ，套二，小区干净整洁。', '沙河源街道川建社区  | 2室2厅 | 64.2平米 | 北 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  华侨城', '78万', '单价12150元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a2669544-0652-4a0a-944c-94006c733271.png.296x216.jpg', '交大智能三期 电梯套二 户型方正', '交大智能三期  | 2室1厅 | 101.51平米 | 西南 | 其他 | 有电梯', '低楼层(共9层)2001年建板楼  -  九里堤', '169万', '单价16649元/平米')
