('https://image1.ljcdn.com/370600-inspection/288344a8-efb0-40b8-86ce-0746113bf520.jpg.296x216.jpg', '南北通透，打头房，南厅双南卧，封闭式，带45平花园', '御景观城  | 4室2厅 | 218.91平米 | 南 北 | 毛坯', '低楼层(共22层)2015年建板楼  -  后七夼', '400万', '单价18273元/平米')
('https://image1.ljcdn.com/370600-inspection/e7c80117-1332-41c5-97e1-c06f7c4a50e3.jpg.296x216.jpg', '天合城 四居室 南北通透 双卫 明厨明卫', '祥隆天合城  | 4室2厅 | 137.1平米 | 南 北 | 简装', '低楼层(共18层)2007年建塔楼  -  迎春大街', '205万', '单价14953元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload11bee47c-0b2c-41cc-9127-e9f305b213d7.jpg.296x216.jpg', '绿色家园精装三居室，上下复式，看房方便', '绿色家园  | 3室3厅 | 141.63平米 | 南 北 | 精装', '高楼层(共16层)2006年建板楼  -  迎春大街', '190万', '单价13416元/平米')
('https://image1.ljcdn.com/370600-inspection/073a911c-bd3d-4af1-9f6d-5d46dbbff753.JPG.296x216.jpg', '万泰麓溪公馆四室两厅两卫拎包入住带车位小棚', '万泰麓溪公馆  | 4室2厅 | 210平米 | 南 北 | 精装', '低楼层(共24层)2014年建板楼  -  迟家', '525万', '单价25000元/平米')
('https://image1.ljcdn.com/370600-inspection/c1606a91-8f37-42e8-aa4d-123227e84a9c.jpg.296x216.jpg', '石沟屯精装三居室，五楼，双南卧双卫局框架房', '新城中巷  | 3室2厅 | 103.4平米 | 南 北 | 精装', '高楼层(共6层)2001年建板楼  -  石沟屯', '252万', '单价24372元/平米')
('https://image1.ljcdn.com/370600-inspection/bad1b735-a546-486a-9e2a-a59682a86f73.jpg.296x216.jpg', '金海名园毛坯三居室，南北通透，采光充足，楼层好', '金海名园  | 3室2厅 | 111平米 | 南 北 | 毛坯', '高楼层(共30层)2017年建板楼  -  科技大道', '160万', '单价14415元/平米')
('https://image1.ljcdn.com/370600-inspection/test-aead178d-3635-48b3-93a4-d797c2d6be89.png.296x216.jpg', '绿色家园  南向三居室  双南卧 南向客厅', '绿色家园  | 3室1厅 | 93.4平米 | 西南 | 简装', '中楼层(共22层)2006年建塔楼  -  迎春大街', '123万', '单价13170元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploadb0803cd9-0f30-4780-b15b-f6a65a492f23.jpg.296x216.jpg', '阁楼 使用面积大 毛坯  万光小区', '万光小区  | 2室0厅 | 44.38平米 | 南 北 | 其他', '高楼层(共8层)1995年建板楼  -  大学城', '50万', '单价11267元/平米')
('https://image1.ljcdn.com/370600-inspection/240bea4e-10c8-4442-b590-4b4be492c8d2.jpg.296x216.jpg', '海滨小区两居室，小面积段采光好，中等装修', '海滨花园小区梓林街  | 2室2厅 | 74.96平米 | 南 北 | 简装', '高楼层(共7层)2000年建板楼  -  后七夼', '120万', '单价16009元/平米')
('https://image1.ljcdn.com/370600-inspection/838df2cc-d198-4d00-b5fe-fb42370ae7f9.jpg.296x216.jpg', '清泉寨城中区 通透两居室 装修保持干净 采光好 看房约', '清泉寨城中区  | 2室2厅 | 78.41平米 | 南 北 | 精装', '高楼层(共6层)2000年建板楼  -  大学城', '130万', '单价16580元/平米')
('https://image1.ljcdn.com/370600-inspection/9d539b09-5c12-4a71-9a95-bd63ba69794c.JPG.296x216.jpg', '德尚世家南厅南卧高层视野好满五唯一', '德尚世家  | 2室2厅 | 81.85平米 | 南 | 简装', '高楼层(共12层)2008年建板楼  -  三滩社区', '110万', '单价13440元/平米')
('https://image1.ljcdn.com/370600-inspection/3aebc978-d788-4665-a5bf-2f54afee34d1.jpg.296x216.jpg', '南北通透两居室，中等装修，看房方便', '保利香榭里公馆  | 2室2厅 | 81.54平米 | 南 北 | 精装', '高楼层(共28层)2015年建板楼  -  山海南路', '122万', '单价14962元/平米')
('https://image1.ljcdn.com/370600-inspection/test-65d81ef4-2c90-4a42-93af-7e28e4579c32.png.296x216.jpg', '绿色家园三南卧，客厅东打头，格局方正三居出售', '绿色家园  | 3室2厅 | 110.94平米 | 南 | 精装', '中楼层(共10层)2006年建板塔结合  -  迎春大街', '145万', '单价13071元/平米')
('https://image1.ljcdn.com/370600-inspection/f920d36f-df5f-4f9d-87da-2a76011b464d.jpg.296x216.jpg', '保利香榭里公馆，改善三居，精装，户型方正，采光好', '保利香榭里公馆  | 3室2厅 | 114.27平米 | 南 北 | 精装', '中楼层(共30层)2014年建板楼  -  山海南路', '186万', '单价16278元/平米')
('https://image1.ljcdn.com/370600-inspection/797abf52-4b06-4fa5-ba10-12cfa1bee334.JPG.296x216.jpg', '黄海百合园，毛坯房，海景房，落地窗，东打头，三居室', '黄海城市花园  | 3室2厅 | 173.55平米 | 南 北 | 毛坯', '中楼层(共12层)2003年建板楼  -  黄海', '342万', '单价19707元/平米')
('https://image1.ljcdn.com/370600-inspection/342b01dc-a0b3-48f1-96ab-09499bc6005e.jpg.296x216.jpg', '金海名园一楼带院子毛坯可随意装修，随时可看', '金海名园  | 3室2厅 | 126.11平米 | 南 北 | 毛坯', '低楼层(共24层)2011年建板楼  -  科技大道', '195万', '单价15463元/平米')
('https://image1.ljcdn.com/370600-inspection/eb8c2e06-d8fc-4157-86a2-1d220b1c432d.jpg.296x216.jpg', '天和大厦公寓式办公楼，采光无遮挡', '天和大厦  | 1室1厅 | 40.95平米 | 西 | 简装', '高楼层(共29层)塔楼  -  迎春大街', '34.5万', '单价8425元/平米')
('https://image1.ljcdn.com/370600-inspection/c2da5a64-42d4-445b-b572-2615ed6d33be.jpg.296x216.jpg', '海滨小区精装修大三居小区内有市场带车位小鹏', '海滨花园小区彩辉街  | 3室2厅 | 90.33平米 | 南 北 | 精装', '高楼层(共7层)1998年建板楼  -  后七夼', '178万', '单价19706元/平米')
('https://image1.ljcdn.com/370600-inspection/c0dd6978-28ca-4007-a9c8-c41b06278c8e.jpg.296x216.jpg', '绿色家园大三居+南北双大阳台+精装修拎包入住！楼层好', '绿色家园  | 3室2厅 | 136.69平米 | 南 北 | 其他', '中楼层(共6层)2002年建板楼  -  迎春大街', '180万', '单价13169元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/155a5a74-6eb0-46d4-9271-9d0c61750872.png.280x210.jpg', '西打头三居室，有车位小棚，视野好，毛坯房可随意装修', '南山世纪华府  | 3室2厅 | 159.03平米 | 南 北 | 毛坯', '低楼层(共30层)2007年建板楼  -  大学城', '230万', '单价14463元/平米')
('https://image1.ljcdn.com/370600-inspection/f2135d4a-a3da-4b4f-b8e1-c15291b3af80.jpg.296x216.jpg', '绿色家园北向一居室，好楼层，采光充足，拎包入住', '绿色家园  | 1室1厅 | 33.97平米 | 北 | 简装', '中楼层(共10层)2006年建板塔结合  -  迎春大街', '44万', '单价12953元/平米')
('https://image1.ljcdn.com/370600-inspection/65b5540e-8394-499a-adec-0ff00b632062.jpg.296x216.jpg', '精装3居室 格局方正 楼层高 视野开阔', '绿色家园  | 3室1厅 | 89.38平米 | 西南 | 精装', '高楼层(共22层)2006年建塔楼  -  迎春大街', '115万', '单价12867元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade6b27067-6d4a-4f10-a79d-d7229a694f9f.jpg.296x216.jpg', '精装天合城全明大四居，满五证齐，南北通透', '祥隆天合城  | 4室2厅 | 138.08平米 | 南 北 | 其他', '低楼层(共18层)2007年建塔楼  -  迎春大街', '200万', '单价14485元/平米')
('https://image1.ljcdn.com/370600-inspection/dc9c1c62-04ec-4319-abaa-28d58b1e2871.jpg.296x216.jpg', '康复路 中间楼层 南北通透，小区成熟', '康复路小区  | 3室2厅 | 136平米 | 南 北 | 简装', '中楼层(共7层)2000年建板楼  -  后七夼', '206万', '单价15148元/平米')
('https://image1.ljcdn.com/370600-inspection/test-e121f206-b029-4267-ae1e-d30f01744781.png.296x216.jpg', '精装修基本未住，南北通透两居室', '万象城  | 2室2厅 | 86.11平米 | 南 北 | 其他', '中楼层(共18层)2012年建塔楼  -  大学城', '182万', '单价21136元/平米')
('https://image1.ljcdn.com/370600-inspection/846cf901-3cac-4567-ac84-411c8a36c5e9.jpg.296x216.jpg', '沿海大平层 看山看海 装修保持好 三南卧', '清泉鑫卉花园  | 4室2厅 | 203.14平米 | 南 北 | 其他', '中楼层(共12层)2006年建板楼  -  大学城', '335万', '单价16492元/平米')
('https://image1.ljcdn.com/370600-inspection/206be096-b0ad-4323-b20b-bce70c487c50.jpg.296x216.jpg', '绿色家园北向一居室 配套齐全 户型方正 无浪费面积', '绿色家园  | 1室1厅 | 33.75平米 | 北 | 其他', '中楼层(共10层)2006年建板塔结合  -  迎春大街', '43万', '单价12741元/平米')
('https://image1.ljcdn.com/370600-inspection/9e5a9be7-bcd2-4857-98e0-f3fae5408120.JPG.296x216.jpg', '上海滩花园南向两居室采光好毛坯', '大华上海滩花园  | 2室2厅 | 89.13平米 | 南 | 毛坯', '低楼层(共18层)2012年建板楼  -  三滩社区', '115万', '单价12903元/平米')
('https://image1.ljcdn.com/370600-inspection/cd7c285b-849a-4798-9938-046bd7808379.jpg.296x216.jpg', '保利两居室，精装修，家电家具全齐', '保利香榭里公馆  | 2室1厅 | 98平米 | 南 | 精装', '低楼层(共18层)2013年建板楼  -  山海南路', '138万', '单价14082元/平米')
('https://image1.ljcdn.com/370600-inspection/8c9f7a88-d865-415b-9e71-d3a09853ba53.jpg.296x216.jpg', '台湾村东打头电梯房精装修大户型户型方正', '台湾村  | 3室2厅 | 176.37平米 | 南 北 | 精装', '中楼层(共11层)2008年建板楼  -  后七夼', '350万', '单价19845元/平米')
('https://image1.ljcdn.com/370600-inspection/21036887-1711-42b9-8823-f97bfdad0319.jpg.296x216.jpg', '万泰麓溪公馆 15年精装4居 楼层好 西打头', '万泰麓溪公馆  | 4室2厅 | 177.41平米 | 南 北 | 其他', '中楼层(共17层)2014年建板楼  -  迟家', '390万', '单价21983元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload239ffa4a-2125-45c1-a483-375d6a100e14.jpg.296x216.jpg', '台湾村顶层加阁楼，带露台，毛坯房，南北通透采光好', '台湾村  | 3室2厅 | 136.86平米 | 南 北 | 其他', '高楼层(共11层)2008年建板楼  -  后七夼', '310万', '单价22651元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_upload454c98ea-58b2-43b7-9a28-170cb220d3a4.jpg.296x216.jpg', '天籁花园新出房源，看房方便，采光好', '天籁花园  | 3室2厅 | 144.65平米 | 南 北 | 精装', '高楼层(共18层)板楼  -  山海南路', '265万', '单价18321元/平米')
('https://image1.ljcdn.com/370600-inspection/test-a41b1d64-02b3-4e79-aae6-30419e60ed09.png.296x216.jpg', '满北通透两居室 满两年 视野开阔', '保利香榭里公馆  | 2室2厅 | 81.54平米 | 南 北 | 精装', '中楼层(共28层)2015年建板楼  -  山海南路', '128万', '单价15698元/平米')
('https://image1.ljcdn.com/370600-inspection/e681e213-b69e-498e-8dbb-b26c48e601e8.jpg.296x216.jpg', '楼层低南北通透两室一厅好房子.', '海滨花园小区彩辉街  | 2室1厅 | 59.88平米 | 南 北 | 简装', '低楼层(共6层)1998年建板楼  -  后七夼', '118万', '单价19707元/平米')
('https://image1.ljcdn.com/370600-inspection/test-eb7a56e5-b11f-424c-b656-e790a3b00631.png.296x216.jpg', '府前新出纯南向两居室落户自住房', '万光府前花园  | 2室1厅 | 68.14平米 | 南 | 其他', '低楼层(共23层)2010年建塔楼  -  迎春大街', '98万', '单价14383元/平米')
('https://image1.ljcdn.com/370600-inspection/rsp_pic_uploade04c93a2-b919-4bdb-8263-f82041da8301.jpg.296x216.jpg', '南北通透  顶楼带阁楼  使用面积大', '绿色家园  | 3室2厅 | 124平米 | 南 北 | 精装', '高楼层(共6层)2002年建板楼  -  迎春大街', '180万', '单价14517元/平米')
('https://image1.ljcdn.com/370600-inspection/58b8173d-6717-4f4f-9576-b7cfd2d948f0.jpg.296x216.jpg', '天合城精装东南向好房有车位 采光好', '祥隆天合城  | 3室2厅 | 97.15平米 | 东南 | 精装', '中楼层(共17层)2008年建塔楼  -  迎春大街', '142万', '单价14617元/平米')
('https://image1.ljcdn.com/370600-inspection/3ca8d595-5d4e-40c5-846b-e89f976d466a.jpg.296x216.jpg', '南山世纪星海湾  高品质小区  毛坯房  可随意装修', '南山世纪星海湾  | 4室2厅 | 246平米 | 南 北 | 毛坯', '高楼层(共13层)2008年建板楼  -  大学城', '400万', '单价16261元/平米')
('https://image1.ljcdn.com/370600-inspection/06594802-d275-4734-b129-99abadce954d.jpg.296x216.jpg', '南向的格局  方正  采光充足  大视野  干净的简装修', '绿色家园  | 2室2厅 | 76.44平米 | 南 | 简装', '中楼层(共14层)2005年建塔楼  -  迎春大街', '95万', '单价12429元/平米')
