('https://image1.ljcdn.com/440300-inspection/f5fb9520-a010-4641-819b-0b9bafb940ed.jpg.296x216.jpg', '桃源居三区一栋电梯小户型低总价一房一厅', '桃源居三区  | 1室1厅 | 57.13平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2003年建塔楼  -  桃源居', '248万', '单价43410元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload79ce2222-eb2f-4471-9a0b-e9ca31797397.jpg.296x216.jpg', '中粮凤凰里 3室2厅 395万', '中粮凤凰里  | 3室2厅 | 80.29平米 | 东南 | 其他', '低楼层(共27层)2016年建板塔结合  -  福永', '395万', '单价49197元/平米')
('https://image1.ljcdn.com/440300-inspection/b5c0eb22-753f-460b-81f8-a3ff53df6ab6.jpg.296x216.jpg', '满5年唯一 欠30万 看体育馆  双地铁口 3阳台 免个税', '风临洲  | 2室1厅 | 76.31平米 | 西北 | 简装 | 有电梯', '高楼层(共26层)2007年建板塔结合  -  宝安中心', '510万', '单价66833元/平米')
('https://image1.ljcdn.com/440300-inspection/test-8eb5cce4-726a-4914-891b-57617efa7b71.png.296x216.jpg', '勤诚达22世纪一期 3室2厅 780万', '勤诚达22世纪一期  | 3室2厅 | 89.21平米 | 东 | 其他 | 有电梯', '中楼层(共26层)2013年建塔楼  -  新安', '780万', '单价87435元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b88f01e4-aa3e-44b7-ad01-dba220828125.png.296x216.jpg', '精装标准三房保养好犹如新房 满五年唯一住宅 得房率高', '招商果岭花园  | 3室2厅 | 83.26平米 | 西北 | 精装 | 有电梯', '中楼层(共30层)2012年建板塔结合  -  西乡', '510万', '单价61254元/平米')
('https://image1.ljcdn.com/440300-inspection/b4f9fc81-8e47-415c-9c38-0c62d06ac257.jpg.296x216.jpg', '双地铁口物业 居家合适  业主诚心卖', '碧海富通城三期  | 1室0厅 | 40.41平米 | 东北 | 简装 | 有电梯', '低楼层(共24层)2008年建塔楼  -  碧海', '210万', '单价51968元/平米')
('https://image1.ljcdn.com/440300-inspection/test-365f940a-88dd-4ada-ac1e-ebf504cdf26e.png.296x216.jpg', '业主诚心卖，价格有空间，阳台东南向看花园，看游泳池', '中信领航  | 4室2厅 | 142.46平米 | 东南 | 其他 | 无电梯', '中楼层(共5层)2013年建板塔结合  -  西乡', '880万', '单价61772元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadfea30dda-4eaf-425b-9bf1-2067a104fa3d.jpg.296x216.jpg', '此房满两年 东南向住家舒适 通风采光好 业主诚心出售', '黄金大厦  | 3室1厅 | 78.03平米 | 西南 | 其他 | 有电梯', '低楼层(共32层)2011年建塔楼  -  新安', '445万', '单价57030元/平米')
('https://image1.ljcdn.com/440300-inspection/1bd69ac8-e6a4-4fca-bb5f-7e3c06862662.jpg.296x216.jpg', '丽景城实用3房 东南看花园全景 12号地铁口 人车分流', '丽景城  | 3室2厅 | 97.61平米 | 东南 | 精装 | 无电梯', '高楼层(共7层)2002年建板塔结合  -  西乡', '520万', '单价53274元/平米')
('https://image1.ljcdn.com/440300-inspection/6b579dbb-35e2-4cd8-9ada-dffca381f0bf.jpg.296x216.jpg', '滨海春城 2室1厅 480万', '滨海春城  | 2室1厅 | 79.88平米 | 南 | 精装 | 有电梯', '中楼层(共30层)2005年建塔楼  -  翻身', '480万', '单价60091元/平米')
('https://image1.ljcdn.com/440300-inspection/08880ca5-81f4-4a2b-be77-077e205fe082.jpg.296x216.jpg', '前海辐射 低于市场价12万 1号线新安站 阔错3房', '豪城馨庭居  | 3室2厅 | 108.72平米 | 西南 | 其他 | 有电梯', '低楼层(共11层)2003年建板塔结合  -  翻身', '510万', '单价46910元/平米')
('https://image1.ljcdn.com/440300-inspection/test-a0b53cfb-ada7-4332-9c53-e5d8a2b638e1.png.296x216.jpg', '灵芝新村 3室2厅 520万', '灵芝新村  | 3室2厅 | 84.9平米 | 东北 | 其他 | 无电梯', '中楼层(共6层)1989年建板楼  -  新安', '520万', '单价61249元/平米')
('https://image1.ljcdn.com/440300-inspection/test-89a06507-fee9-4713-a713-5c6692f49fbd.png.296x216.jpg', '灵芝新村 3室2厅 525万', '灵芝新村  | 3室2厅 | 87.2平米 | 东南 | 其他 | 无电梯', '中楼层(共6层)1989年建板楼  -  新安', '525万', '单价60207元/平米')
('https://image1.ljcdn.com/440300-inspection/14e50b46-b2ab-4c6a-87f4-320fa2c9cc6e.jpg.296x216.jpg', '四家别墅 3.9米高厅稀有户型 复试精装三房两卫 诚心售', '碧海名园  | 3室2厅 | 100.82平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2005年建板塔结合  -  西乡', '490万', '单价48602元/平米')
('https://image1.ljcdn.com/440300-inspection/test-4b9df933-f32d-40e7-8f5b-c8d4cb0a1a50.png.296x216.jpg', '君逸世家 宝体上的一房改两房 精装高层 正南看宝体', '泰华君逸世家  | 1室1厅 | 65.43平米 | 南 | 简装 | 有电梯', '高楼层(共16层)2007年建板塔结合  -  宝安中心', '400万', '单价61135元/平米')
('https://image1.ljcdn.com/440300-inspection/e86bc105-8f22-44e3-94b1-ccf96250d8be.JPG.296x216.jpg', '万象新天 3室1厅 415万', '万象新天  | 3室1厅 | 64.39平米 | 东北 | 其他 | 有电梯', '中楼层(共14层)2013年建塔楼  -  西乡', '415万', '单价64452元/平米')
('https://image1.ljcdn.com/440300-inspection/test-049e4343-930f-4ae3-89f6-8886a34a47c5.png.296x216.jpg', '兴达华府 1室1厅 160万', '兴达华府  | 1室1厅 | 31.42平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2009年建塔楼  -  西乡', '160万', '单价50923元/平米')
('https://image1.ljcdn.com/440300-inspection/test-ba9f12b7-2564-4f5c-a03e-fb7e22dd7ffd.png.296x216.jpg', '精装高层  满五年红本 东南看花园', '尚都二期  | 4室2厅 | 133.34平米 | 东南 | 其他 | 有电梯', '高楼层(共29层)2006年建塔楼  -  宝安中心', '1200万', '单价89996元/平米')
('https://image1.ljcdn.com/440300-inspection/122a4340-69d0-4231-9110-5d8249c0e950.jpg.296x216.jpg', '顶层复试，赠送200平，实用500平，无遮挡一线海景', '金泓凯旋城二期  | 8室3厅 | 267.72平米 | 西南 | 精装 | 有电梯', '高楼层(共23层)2008年建板塔结合  -  宝安中心', '2500万', '单价93382元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f6a496e9-20e4-4b9d-bdf4-c40599fcc1d2.png.296x216.jpg', '宝安新安弘雅片区雅景居三房一卫满五年红本低楼层', '雅景居  | 3室2厅 | 87.57平米 | 西北 | 简装 | 无电梯', '中楼层(共8层)2000年建板塔结合  -  新安', '438万', '单价50018元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload985c1c05-1d6d-4289-acc3-40f4577342ec.jpg.296x216.jpg', '易达大厦 2室1厅 395万', '易达大厦  | 2室1厅 | 77.45平米 | 东南 | 其他 | 有电梯', '中楼层(共13层)2005年建板塔结合  -  翻身', '395万', '单价51001元/平米')
('https://image1.ljcdn.com/440300-inspection/test-7075e9c2-7ae2-429e-8d6c-9117da4544e5.png.296x216.jpg', '两梯五户 花园社区 高楼层看海景 总价低 精装修', '碧海富通城四期  | 1室1厅 | 30.87平米 | 西南 | 精装 | 有电梯', '高楼层(共26层)2009年建板楼  -  碧海', '190万', '单价61549元/平米')
('https://image1.ljcdn.com/440300-inspection/64bbafbe-fab2-4693-86fa-45cb65ca0627.JPG.296x216.jpg', '中粮凤凰里 3室2厅 385万', '中粮凤凰里  | 3室2厅 | 78.96平米 | 东南 | 其他', '低楼层(共27层)2016年建板塔结合  -  福永', '385万', '单价48759元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadabac0050-6868-45f9-93d9-5dcaeba461f4.jpg.296x216.jpg', '体育馆旁！西南看花园通透3房！满5年税费少！', '汇宝苑  | 3室2厅 | 94.04平米 | 西南 | 其他 | 无电梯', '高楼层(共8层)1999年建板塔结合  -  翻身', '430万', '单价45726元/平米')
('https://image1.ljcdn.com/440300-inspection/test-d304b55b-88be-42f0-9180-818b3c007ba5.png.296x216.jpg', '勤诚达22世纪一期 4室2厅 1060万', '勤诚达22世纪一期  | 4室2厅 | 129.08平米 | 南 西 | 其他 | 有电梯', '中楼层(共28层)2013年建板塔结合  -  新安', '1060万', '单价82120元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadf01f1a8e-1e4b-44d8-9ee6-6bb7976f63a4.jpg.296x216.jpg', '双地铁口大社区 满五年红本 东南大三房 居家装修！', '泰华阳光海小区  | 3室2厅 | 96.78平米 | 南 | 精装 | 有电梯', '中楼层(共26层)2009年建板塔结合  -  碧海', '640万', '单价66130元/平米')
('https://image1.ljcdn.com/440300-inspection/test-5d0cdfed-a388-4ace-b943-d6d14dc232cb.png.296x216.jpg', '滨海小城，端头小复式三房，两面采光，标准层高，看海', '碧海富通城三期  | 3室1厅 | 53.32平米 | 东南 | 其他 | 有电梯', '中楼层(共26层)2008年建塔楼  -  碧海', '398万', '单价74644元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadd1da54a6-1e1f-43bb-b5d5-d4f77d5fb9c3.jpg.296x216.jpg', '宝安新村 3室2厅 470万', '宝安新村  | 3室2厅 | 99.92平米 | 南 | 其他 | 有电梯', '中楼层(共15层)2005年建板塔结合  -  西乡', '470万', '单价47038元/平米')
('https://image1.ljcdn.com/440300-inspection/7ff7add1-a576-4902-b9a6-2a1b63808ba9.jpg.296x216.jpg', '裕安楼标准三房、满五年红本在手', '裕安楼  | 3室1厅 | 82.8平米 | 东南 | 简装 | 无电梯', '中楼层(共8层)1996年建板塔结合  -  新安', '370万', '单价44686元/平米')
('https://image1.ljcdn.com/440300-inspection/038176b1-d321-4f53-9c50-8d09aaf2618a.jpg.296x216.jpg', '华联城市全景 4室2厅 1060万', '华联城市全景  | 4室2厅 | 142.65平米 | 西南 | 其他 | 有电梯', '中楼层(共47层)2016年建板塔结合  -  新安', '1060万', '单价74308元/平米')
('https://image1.ljcdn.com/440300-inspection/test-b71ec6c7-a098-4007-99c1-e526980c8e9a.png.296x216.jpg', '湾美花园精装修大四房低总价满五税费少', '广兴源圣拿威  | 4室2厅 | 119.38平米 | 东北 | 精装 | 有电梯', '高楼层(共28层)2013年建板塔结合  -  碧海', '820万', '单价68689元/平米')
('https://image1.ljcdn.com/440300-inspection/test-385639de-48ea-4fe3-9e0e-77f8c37f11a5.png.296x216.jpg', '碧海富通城三期 1室1厅 190万', '碧海富通城三期  | 1室1厅 | 37.23平米 | 西北 | 其他 | 有电梯', '低楼层(共26层)2008年建塔楼  -  碧海', '190万', '单价51035元/平米')
('https://image1.ljcdn.com/440300-inspection/54c28257-d126-494d-a382-c6dd0e8bbdfb.jpg.296x216.jpg', '是复式两层。而且还是一本证买两套房子', '达海花园  | 4室4厅 | 151.82平米 | 东南 | 精装 | 无电梯', '低楼层(共7层)1999年建板塔结合  -  宝安中心', '770万', '单价50718元/平米')
('https://image1.ljcdn.com/440300-inspection/test-f66938c5-794c-43af-8a05-aa96a6416718.png.296x216.jpg', '桃源居十二区 2室1厅 240万', '桃源居十二区  | 2室1厅 | 57.07平米 | 东南 | 其他 | 无电梯', '低楼层(共8层)1998年建塔楼  -  桃源居', '240万', '单价42054元/平米')
('https://image1.ljcdn.com/440300-inspection/ab2ac90c-dcf3-48e3-8905-c3619ea26894.jpg.296x216.jpg', '万象新天 南向 四房 带大露台', '万象新天  | 4室2厅 | 77.17平米 | 东南 | 其他 | 有电梯', '低楼层(共14层)2013年建塔楼  -  西乡', '538万', '单价69717元/平米')
('https://image1.ljcdn.com/440300-inspection/test-2abe20da-3346-4d76-8176-e4bd7844c585.png.296x216.jpg', '罕见高赠送， 满五唯一，费用少，花园社区', '桃源居七区  | 4室2厅 | 113.23平米 | 南 | 简装 | 有电梯', '中楼层(共18层)2004年建板塔结合  -  桃源居', '480万', '单价42392元/平米')
('https://image1.ljcdn.com/440300-inspection/9aaeff61-3b2f-423c-ab07-5903f7b4eb25.JPG.296x216.jpg', '领航城领秀花园 3室1厅 443万', '领航城领秀花园  | 3室1厅 | 80.26平米 | 南 | 其他', '低楼层(共31层)2016年建板塔结合  -  西乡', '443万', '单价55196元/平米')
('https://image1.ljcdn.com/440300-inspection/test-26299e9f-7d71-4e8f-9a87-67345d7ebc6f.png.296x216.jpg', '房子采光好业主诚意出售看宝安公园  配套齐全看房方便', '73区  | 3室2厅 | 93.36平米 | 东南 | 精装 | 无电梯', '中楼层(共7层)1994年建板塔结合  -  西乡', '430万', '单价46059元/平米')
('https://image1.ljcdn.com/440300-inspection/d4905f95-166d-4e84-a752-8192dc2b7bf9.jpg.296x216.jpg', '万象新天 3室2厅 430万', '万象新天  | 3室2厅 | 64.16平米 | 西北 | 精装 | 有电梯', '低楼层(共14层)2013年建塔楼  -  西乡', '430万', '单价67020元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_uploadac8efa6f-3aca-44be-bc1d-74312fad66c6.jpg.296x216.jpg', '御景湾两房  满五年 家庭唯一 朝南 送入户', '御景湾  | 2室2厅 | 76.82平米 | 南 | 简装 | 有电梯', '中楼层(共24层)2006年建板塔结合  -  宝安中心', '530万', '单价68993元/平米')
('https://image1.ljcdn.com/440300-inspection/test-6cce1e4b-4d5e-4a10-b300-d732a3994e13.png.296x216.jpg', '西城上筑经典户型 满两年税费少 业主诚心出售', '西城上筑花园  | 4室2厅 | 127.46平米 | 南 北 | 简装 | 有电梯', '低楼层(共33层)2006年建塔楼  -  宝安中心', '930万', '单价72965元/平米')
('https://image1.ljcdn.com/440300-inspection/d897a029-54ca-4520-ba86-bd5c64d195de.jpg.296x216.jpg', '登科花园 前海辐射区 电梯三房 30万精装修 光线充足', '登科花园  | 3室2厅 | 93.11平米 | 西北 | 精装 | 有电梯', '中楼层(共11层)2001年建板楼  -  翻身', '430万', '单价46182元/平米')
('https://image1.ljcdn.com/440300-inspection/c693bb07-6ae1-4f67-b864-4cbe59cdcc6f.jpg.296x216.jpg', '中洲华府 4室2厅 1200万', '中洲华府  | 4室2厅 | 163平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2015年建板塔结合  -  新安', '1200万', '单价73620元/平米')
('https://image1.ljcdn.com/440300-inspection/test-726b8a8d-bba8-4181-bbd6-10326048a2a1.png.296x216.jpg', '1号线11号线双地铁物业 12年入伙大两房 精装修', '幸福海岸三期  | 2室1厅 | 80.52平米 | 西北 | 精装 | 有电梯', '中楼层(共32层)2013年建板塔结合  -  宝安中心', '606万', '单价75261元/平米')
('https://image1.ljcdn.com/440300-inspection/48a952f5-86f2-4e5c-90f6-29f448d0b15c.jpg.296x216.jpg', '花园小区，中间楼层，通风采光好，满五年家庭一套房', '碧海富通城一期  | 3室2厅 | 103.78平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2006年建板楼  -  碧海', '600万', '单价57815元/平米')
('https://image1.ljcdn.com/440300-inspection/test-36f7f79c-9695-4e7b-9e07-d91f363c6604.png.296x216.jpg', '东南向精装修四房，通透户型，拎包即可入住。', '金泓凯旋城一期  | 4室2厅 | 117.72平米 | 东南 | 简装 | 有电梯', '低楼层(共30层)2006年建板塔结合  -  宝安中心', '980万', '单价83249元/平米')
('https://image1.ljcdn.com/440300-inspection/a9a5356d-956c-413d-a3d5-20c97a59967c.jpg.296x216.jpg', '富通城四期 单本证大四房 价格低 通透户型 客厅出阳台', '碧海富通城四期  | 4室2厅 | 134.26平米 | 南 | 精装 | 有电梯', '低楼层(共33层)2009年建板楼  -  碧海', '750万', '单价55862元/平米')
('https://image1.ljcdn.com/440300-inspection/rsp_pic_upload7316ec40-3ab4-4aa6-9808-917d79244b07.jpg.296x216.jpg', '地铁口无缝对接、精装5房、南北通透无遮挡', '圣淘沙骏园  | 5室2厅 | 131.95平米 | 东南 西北 | 精装 | 有电梯', '低楼层(共23层)2006年建板塔结合  -  西乡', '1060万', '单价80334元/平米')
('https://image1.ljcdn.com/440300-inspection/b03b5d5c-7c53-47c1-b1a5-937ddce9d093.jpg.296x216.jpg', '海景房四房，朝南， 采光充足（主卧可改一卫）', '西岸观邸  | 4室2厅 | 93.59平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2007年建板塔结合  -  宝安中心', '920万', '单价98302元/平米')
