('https://image1.ljcdn.com/120000-inspection/96beb4cd-34f3-4d7e-986b-e5ec08f711ee.jpg.296x216.jpg', '东惠家园 东向两居室 随时签约 诚意出售', '东惠家园  | 2室1厅 | 60.85平米 | 东 | 简装 | 有电梯', '高楼层(共31层)板楼  -  真理道', '135万', '单价22186元/平米')
('https://image1.ljcdn.com/120000-inspection/8a5beae8-e290-44c6-b615-d5f43669dbf4.jpg.296x216.jpg', '第六大道 两室236万  南北通透 看房方便', '第六大道陆典庭园  | 4室2厅 | 79.94平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)板楼  -  上杭路', '236万', '单价29523元/平米')
('https://image1.ljcdn.com/120000-inspection/7c49ee89-08da-45ca-ad8b-5d8361452694.jpg.296x216.jpg', '宫前东园 两室一厅 采光充足 交通便利', '宫前东园  | 2室1厅 | 83.72平米 | 东 西 | 简装 | 无电梯', '中楼层(共7层)板楼  -  大直沽', '225万', '单价26876元/平米')
('https://image1.ljcdn.com/120000-inspection/f70054e1-1796-46f7-8908-aab3763860a6.jpg.296x216.jpg', '第博雅园 交通便利 户型规整 视野较好', '第六大道第博雅园  | 2室1厅 | 93.27平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)板楼  -  上杭路', '268万', '单价28734元/平米')
('https://image1.ljcdn.com/120000-inspection/05665fd9-91d8-46b4-9493-9bdf8ead3904.jpg.296x216.jpg', '聚安西园 3室1厅 430万', '聚安西园  | 3室1厅 | 122.43平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  春华街', '430万', '单价35123元/平米')
('https://image1.ljcdn.com/120000-inspection/fc5a9876-2ac4-451c-808a-58b2c548ba3f.jpg.296x216.jpg', '万和里 精装两室 全明户型 配套齐全', '万和里  | 2室2厅 | 94.71平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)板楼  -  上杭路', '280万', '单价29564元/平米')
('https://image1.ljcdn.com/120000-inspection/c293bcee-5b9a-4ad3-b1ef-af1825556a44.jpg.296x216.jpg', '小两居新近精装适宜拎包入住诚意出售', '大桥道40  | 2室1厅 | 58.36平米 | 东 西 | 精装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '120万', '单价20563元/平米')
('https://image1.ljcdn.com/120000-inspection/43a2d6d6-db41-4aca-a8e5-c6dfa3d4a6a6.jpg.296x216.jpg', '橙翠园两室、格局方正、南北通透 、采光充足', '太阳城橙翠园  | 2室1厅 | 84.47平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  太阳城', '238万', '单价28176元/平米')
('https://image1.ljcdn.com/120000-inspection/f5c69495-1a07-4e06-9d00-998c88e9c48d.jpg.296x216.jpg', '尚东雅园 2室1厅 312万', '尚东雅园  | 2室1厅 | 101.61平米 | 南 | 其他 | 有电梯', '中楼层(共28层)板楼  -  上杭路', '312万', '单价30706元/平米')
('https://image1.ljcdn.com/120000-inspection/031ee2d3-780d-4619-8998-1b1c2aa143eb.jpg.296x216.jpg', '丰盈花园公寓 精装两室 南北通透', '丰盈里  | 2室1厅 | 88.35平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  大王庄', '345万', '单价39050元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadb7304940-2448-443a-9b8f-2e4795e34e5f.jpg.296x216.jpg', '巨福新园标准一室一厅，中间楼层，诚意出售', '巨福新园  | 1室1厅 | 53.42平米 | 南 | 简装 | 无电梯', '高楼层(共5层)板楼  -  春华街', '170万', '单价31824元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadd9ecf11f-ddd6-4220-bab4-f145406a3e79.jpg.296x216.jpg', '秋实园 两室一厅 交通便利 户型规整', '秋实园  | 2室1厅 | 76.11平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)板楼  -  春华街', '216万', '单价28380元/平米')
('https://image1.ljcdn.com/120000-inspection/507c8f6e-c18a-41cd-a4b8-480731608c98.jpg.296x216.jpg', '万隆汇贤里  采光充足  前排无遮挡  位置不错', '汇贤里  | 4室2厅 | 152.82平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)板楼  -  大直沽', '305万', '单价19959元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploada998e967-eab8-48b3-9d31-3567d58b072c.jpg.296x216.jpg', '绿萱园 错层两室 通透两室 带电梯 无遮挡 随时可看', '太阳城绿萱园  | 2室1厅 | 107.29平米 | 南 | 简装 | 有电梯', '低楼层(共9层)板楼  -  太阳城', '279万', '单价26005元/平米')
('https://image1.ljcdn.com/120000-inspection/d78db984-9aac-41db-8780-f922ec45684b.jpg.296x216.jpg', '过五年有二套   视野开阔 交通便利 配套成熟', '真理园  | 2室1厅 | 90.57平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  真理道', '240万', '单价26499元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadb4d84e0c-74c6-4239-875d-28776ac5eea4.jpg.296x216.jpg', '新天地大四室  交通便利  户型规整  视野较好', '新天地家园  | 4室2厅 | 176.7平米 | 南 | 其他 | 有电梯', '高楼层(共25层)板楼  -  春华街', '630万', '单价35654元/平米')
('https://image1.ljcdn.com/120000-inspection/37bbc564-5855-4845-80c2-0101c0addf24.jpg.296x216.jpg', '丹荔园 两室两厅 南北通透 采光充足 配套齐全', '丹荔园  | 2室2厅 | 106.18平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)板楼  -  太阳城', '240万', '单价22604元/平米')
('https://image1.ljcdn.com/120000-inspection/908baff6-36e7-4470-a94a-2188ebbfec67.jpg.296x216.jpg', '金湾花园小区 交通便利 小区环境干净舒适 适合居住', '金湾花园  | 2室1厅 | 100.22平米 | 南 北 | 其他 | 有电梯', '低楼层(共9层)板楼  -  上杭路', '300万', '单价29935元/平米')
('https://image1.ljcdn.com/120000-inspection/14c41760-3327-41be-b03d-9dba1c5c4f81.jpg.296x216.jpg', '芳水河畔家园  采光充足 配套齐全 出行便利 环境舒适', '芳水河畔家园  | 2室1厅 | 71.39平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)板楼  -  上杭路', '171万', '单价23953元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload853bac87-abd3-455f-97be-12e478547839.jpg.296x216.jpg', '东瑞家园 两室户型 诚意出售 满五为一', '东瑞家园  | 2室1厅 | 77.99平米 | 东南 | 简装 | 有电梯', '高楼层(共27层)板楼  -  真理道', '173万', '单价22183元/平米')
('https://image1.ljcdn.com/120000-inspection/ea69d90a-2048-4670-bec9-b3776b6f9098.jpg.296x216.jpg', '阳光星期八昕旺北苑 2室2厅 266万', '阳光星期八昕旺北苑  | 2室2厅 | 102.94平米 | 南 | 其他 | 有电梯', '低楼层(共24层)板楼  -  向阳楼', '266万', '单价25841元/平米')
('https://image1.ljcdn.com/120000-inspection/8c361f29-dc2e-4f2e-ab3d-adc398ce5fc7.jpg.296x216.jpg', '阳明里 2室1厅 169万', '阳明里  | 2室1厅 | 67.2平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)板楼  -  向阳楼', '169万', '单价25149元/平米')
('https://image1.ljcdn.com/120000-inspection/89a9e34e-0d1e-4f18-88cd-5ab51aec58ab.jpg.296x216.jpg', '大洋嘉园 交通便利  户型规整  视野较好', '第六大道大洋嘉园  | 3室2厅 | 79.03平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)板楼  -  上杭路', '255万', '单价32267元/平米')
('https://image1.ljcdn.com/120000-inspection/7a99fc33-74cf-499e-adc0-dc5670dee863.jpg.296x216.jpg', '河东春华街 南北通透两居室 低楼层', '盛华园  | 2室1厅 | 83.2平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  春华街', '275万', '单价33053元/平米')
('https://image1.ljcdn.com/120000-inspection/c576552c-d8b5-4852-a9ff-b7ec6c71e1ba.jpg.296x216.jpg', '前进新里 私产两室 全阳户型 过五无二', '前进新里  | 2室1厅 | 60.47平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  向阳楼', '175万', '单价28940元/平米')
('https://image1.ljcdn.com/120000-inspection/51cb4152-9999-47b1-b680-1773d06a41fb.jpg.296x216.jpg', '城市之光星光园 2室2厅 398万', '城市之光星光园  | 2室2厅 | 113.76平米 | 南 北 | 其他 | 有电梯', '中楼层(共16层)板楼  -  春华街', '398万', '单价34986元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload2be55951-f7cc-41e9-852f-a407c04b75f4.jpg.296x216.jpg', '团结北里  成熟社区  正规田字格  采光充足', '团结北里  | 1室1厅 | 48.05平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  中山门街', '115万', '单价23934元/平米')
('https://image1.ljcdn.com/120000-inspection/eb0fa917-6699-4c0f-aa30-2339d3615f5a.jpg.296x216.jpg', '金色家园 三室两卫 精装跃层  业主诚意出售 看房方便', '金色家园  | 3室3厅 | 100.41平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '395万', '单价39339元/平米')
('https://image1.ljcdn.com/120000-inspection/8eddca98-8e2b-4f13-b453-a461b39913e4.jpg.296x216.jpg', '阳明里   楼层低  价格低  满两年  税费低   配套齐', '阳明里  | 1室1厅 | 49.97平米 | 南 北 | 简装 | 无电梯', '中楼层(共6层)板楼  -  向阳楼', '105万', '单价21013元/平米')
('https://image1.ljcdn.com/120000-inspection/344ee037-6cd0-4806-a222-4c4b05340188.jpg.296x216.jpg', '橙翠园 三室两卫 南北通透 电梯洋房 改善户型 带钥匙', '太阳城橙翠园  | 3室2厅 | 134.43平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共8层)板楼  -  太阳城', '400万', '单价29756元/平米')
('https://image1.ljcdn.com/120000-inspection/4093742e-785e-4274-897f-676d4ff2b0a2.jpg.296x216.jpg', '城市之光月光园 全明户型 带地上车位 配套齐全', '城市之光月光园  | 3室1厅 | 120.6平米 | 南 | 其他 | 有电梯', '低楼层(共24层)板楼  -  春华街', '360万', '单价29851元/平米')
('https://image1.ljcdn.com/120000-inspection/65c2d1f7-e727-4e64-8032-7c28f66e4e70.jpg.296x216.jpg', '民族园小区 高层带电梯 有数条公交经过 出行比较方便', '民族园  | 3室1厅 | 130.74平米 | 东南 西北 | 简装 | 有电梯', '中楼层(共11层)板塔结合  -  中山门街', '330万', '单价25241元/平米')
('https://image1.ljcdn.com/120000-inspection/67bab37c-ed33-4876-a74d-3abaa1079ae9.jpg.296x216.jpg', '福东里 二楼两室 看房方便 出行方便', '福东里  | 2室1厅 | 69.23平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  二号桥街', '152万', '单价21956元/平米')
('https://image1.ljcdn.com/120000-inspection/47f4b3d5-c522-4119-9db6-ed4d709cfada.jpg.296x216.jpg', '柏丽花园  交通便利  户型规整  视野较好', '柏丽花园  | 3室2厅 | 156.04平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)板楼  -  常州道', '475万', '单价30441元/平米')
('https://image1.ljcdn.com/120000-inspection/a2873441-be3a-47ef-ab7d-4190284b2f88.jpg.296x216.jpg', '福东北里 二楼 河东产权 精装修 看房方便', '福东北里  | 2室1厅 | 67.8平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)板楼  -  二号桥街', '155万', '单价22862元/平米')
('https://image1.ljcdn.com/120000-inspection/658bf97c-13cb-4c68-a9c9-d3354fb1481c.JPG.296x216.jpg', '团结东里两室 顶楼 南北通透 配套齐全 诚意出售', '团结东里  | 2室1厅 | 61.52平米 | 南 北 | 其他 | 无电梯', '高楼层(共7层)板楼  -  中山门街', '140万', '单价22757元/平米')
('https://image1.ljcdn.com/120000-inspection/8f70c7b7-c79f-4bb4-a33c-63663317debe.jpg.296x216.jpg', '东瑞家园 交通便利  户型规整  视野较好', '东瑞家园  | 1室1厅 | 48.53平米 | 西 | 简装 | 有电梯', '低楼层(共30层)板楼  -  真理道', '103万', '单价21224元/平米')
('https://image1.ljcdn.com/120000-inspection/2a9ced22-6f33-4d09-b420-4f6268c3808a.jpg.296x216.jpg', '70年私产朝东两室  精装 落地大窗无遮挡 过两年随时看', '卓越浅水湾  | 2室1厅 | 45.06平米 | 东 | 精装 | 有电梯', '高楼层(共52层)板楼  -  大王庄', '163万', '单价36174元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload006d1749-2004-43d3-9127-e8b9da4065db.jpg.296x216.jpg', '03年小区 私产 过五年 南北通透', '红顶花园北园  | 2室1厅 | 68.62平米 | 南 北 | 简装 | 无电梯', '高楼层(共5层)板楼  -  向阳楼', '155万', '单价22589元/平米')
('https://image1.ljcdn.com/120000-inspection/61dac9c4-f4f5-4202-b3ea-f61cd9c49b24.jpg.296x216.jpg', '此房过五年 三室通透户型 中间位置 精装修', '明家庄园  | 3室1厅 | 91.27平米 | 南 北 | 其他 | 无电梯', '中楼层(共5层)板楼  -  二号桥街', '240万', '单价26296元/平米')
('https://image1.ljcdn.com/120000-inspection/62b89239-afaf-4af2-a0a4-5a5470993592.jpg.296x216.jpg', '真理园 南北2居室 带阁楼 业主诚意出售', '真理园  | 2室1厅 | 83.05平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  真理道', '215万', '单价25889元/平米')
('https://image1.ljcdn.com/120000-inspection/cd03a2a1-b6a4-454b-83fe-83deb48b19e9.jpg.296x216.jpg', '雅仕兰庭 通透户型 两室 精装修 看房方便', '雅仕兰庭  | 2室1厅 | 95.99平米 | 南 北 | 其他 | 有电梯', '中楼层(共33层)板楼  -  富民路', '315万', '单价32816元/平米')
('https://image1.ljcdn.com/120000-inspection/9611340a-aed2-48c7-8efe-2f7037e500af.jpg.296x216.jpg', '太阳城蓝山园 通透三室 格局方正 看房方便', '太阳城蓝山园  | 3室2厅 | 129.28平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)板楼  -  太阳城', '350万', '单价27074元/平米')
('https://image1.ljcdn.com/120000-inspection/2a384dc6-cc6c-49ff-b296-1a869f7afe09.jpg.296x216.jpg', '中山门北里   两室一厅   交通顺畅 配套齐全', '中山门北里  | 2室1厅 | 76.43平米 | 南 北 | 毛坯 | 无电梯', '高楼层(共7层)板楼  -  中山门街', '140万', '单价18318元/平米')
('https://image1.ljcdn.com/120000-inspection/d9dce2b4-eb87-4140-91ad-f576024087e2.jpg.296x216.jpg', '新天地家园  中间楼层三室 视野好 诚意出售', '新天地家园  | 3室2厅 | 127.14平米 | 南 北 | 简装 | 有电梯', '中楼层(共26层)板楼  -  春华街', '475万', '单价37361元/平米')
('https://image1.ljcdn.com/120000-inspection/b3794ba9-546a-491d-87b1-926441a5bb7d8.jpg.296x216.jpg', '金湾花园  视野开阔，成熟社区，价格合理，出行方便', '金湾花园  | 3室1厅 | 130.97平米 | 南 北 | 其他 | 有电梯', '高楼层(共9层)板楼  -  上杭路', '390万', '单价29778元/平米')
('https://image1.ljcdn.com/120000-inspection/e8e55d8f-c69f-426a-a18b-6daf9d6521b5.jpg.296x216.jpg', '金湾花园 假H户型 南北通透 全明户型 看房有钥匙', '金湾花园  | 2室1厅 | 80.07平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '245万', '单价30599元/平米')
('https://image1.ljcdn.com/120000-inspection/3a35a43c-078c-4510-84f1-f292bf184c28.jpg.296x216.jpg', '彩丽园 双阳三居室 客厅朝阳 户型好 南北通透 位置好', '彩丽园  | 3室2厅 | 100.8平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  太阳城', '210万', '单价20834元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadac38de20-7841-4b43-8167-23421053f27f.jpg.296x216.jpg', '业主诚意出售，环境优美，空气清新，小区安静整洁', '映日嘉园  | 2室2厅 | 82.89平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '200万', '单价24129元/平米')
('https://image1.ljcdn.com/120000-inspection/65e8a7d1-d7cd-4cc5-9333-fb6e32aa5e85.jpg.296x216.jpg', '恋日风尚 高档小区 人车分流 私产过五年可贷款', '恋日风尚  | 3室2厅 | 184.98平米 | 东 南 北 | 精装 | 有电梯', '低楼层(共22层)板楼  -  向阳楼', '498万', '单价26922元/平米')
('https://image1.ljcdn.com/120000-inspection/a40e9c96-4c10-4f7b-80f3-2cc657554c21.jpg.296x216.jpg', '配套较齐 采光较好 业主诚意出售 干净整洁', '彩丽园  | 1室1厅 | 62.83平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  太阳城', '156万', '单价24829元/平米')
('https://image1.ljcdn.com/120000-inspection/2170a861-2dec-460a-bf16-ca69883dcf91.jpg.296x216.jpg', '大通时尚花园   环境优美  交通便利  户型规整', '大通时尚花园  | 3室2厅 | 137.77平米 | 南 北 | 简装 | 无电梯', '5层暂无数据  -  向阳楼', '470万', '单价34115元/平米')
('https://image1.ljcdn.com/120000-inspection/4db91657-091d-428c-9319-3ac94ffbaf1d.jpg.296x216.jpg', '一般装修 楼层适中 采光充足.', '新开路355号  | 2室1厅 | 55.89平米 | 南 | 简装 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '158万', '单价28270元/平米')
('https://image1.ljcdn.com/120000-inspection/16f18960-c1f7-469d-8526-1874f20abc04.jpg.296x216.jpg', '雅兰园 2室2厅 235万', '雅兰园  | 2室2厅 | 76.08平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '235万', '单价30889元/平米')
('https://image1.ljcdn.com/120000-inspection/3b3e14af-ceed-457a-a366-9efee5108135.jpg.296x216.jpg', '临池里 2室1厅 150万', '临池里  | 2室1厅 | 60.9平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  向阳楼', '150万', '单价24631元/平米')
('https://image1.ljcdn.com/120000-inspection/51ffabfe-ff0f-4b26-b530-ab726c450e72.jpg.296x216.jpg', '太阳城蓝山园 通透三室 采光好视野佳', '太阳城蓝山园  | 3室2厅 | 132.88平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  太阳城', '350万', '单价26340元/平米')
('https://image1.ljcdn.com/120000-inspection/839a6d77-f347-482b-b987-d35ee13ad8cb.jpg.296x216.jpg', '芳水河畔 2室1厅 交通便利 小区环境干净舒适', '芳水河畔家园  | 2室1厅 | 89.37平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '205万', '单价22939元/平米')
('https://image1.ljcdn.com/120000-inspection/a09c8197-1680-4021-bdf0-15a61c27b972.jpg.296x216.jpg', '汇贤里 两室一厅 户型格局 南北通透', '汇贤里  | 2室1厅 | 75.68平米 | 南 | 简装 | 无电梯', '低楼层(共6层)板楼  -  大直沽', '240万', '单价31713元/平米')
('https://image1.ljcdn.com/120000-inspection/6a54449c-2f48-49e2-adbd-278665ba5da7.jpg.296x216.jpg', '成熟社区 配套成熟 配套齐全交通便利出行方便', '福东北里  | 1室1厅 | 47.23平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  二号桥街', '97.5万', '单价20644元/平米')
('https://image1.ljcdn.com/120000-inspection/cd5b9851-45f2-4110-8951-12d712437fdb.jpg.296x216.jpg', '美景花园 交通便利 户型规整 视野较好', '美景花园  | 1室1厅 | 74.53平米 | 南 | 精装 | 无电梯', '高楼层(共6层)板楼  -  唐家口', '173万', '单价23213元/平米')
('https://image1.ljcdn.com/120000-inspection/dee2bd21-db9f-4727-8b5f-ccac9164479f.jpg.296x216.jpg', '曲溪中里，交通便利  户型规整  视野较好', '曲溪中里  | 1室1厅 | 42.05平米 | 东 | 简装 | 无电梯', '中楼层(共6层)板楼  -  万新村', '101万', '单价24020元/平米')
('https://image1.ljcdn.com/120000-inspection/070e997a-ff4e-4ee8-b8d4-7f12a97a6298.JPG.296x216.jpg', '团结北里  一室一厅  三楼可贷款  满五唯一', '团结北里  | 1室1厅 | 46.14平米 | 南 | 简装 | 无电梯', '中楼层(共7层)板楼  -  中山门街', '125万', '单价27092元/平米')
('https://image1.ljcdn.com/120000-inspection/1f413d48-47bd-4b7a-89e0-fc42f2ed162b.jpg.296x216.jpg', '艺苑里 两室一厅 出行方便 价位合理 诚心出售', '艺苑里  | 2室1厅 | 60.08平米 | 西南 西 | 其他 | 无电梯', '中楼层(共7层)板楼  -  大直沽', '144万', '单价23969元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload5a7778af-5a4c-47a1-9bf8-08a6024fe219.jpg.296x216.jpg', '同心嘉园 2室1厅 158万', '同心嘉园  | 2室1厅 | 69.02平米 | 西南 | 毛坯 | 有电梯', '低楼层(共21层)板楼  -  二号桥街', '158万', '单价22892元/平米')
('https://image1.ljcdn.com/120000-inspection/cd191e1a-02c3-45c6-a6fc-2da2128cdd24.jpg.296x216.jpg', '华光里 2室1厅 交通便利 小区环境干净舒适 适合居住', '华光里  | 2室1厅 | 67.86平米 | 南 北 | 其他 | 无电梯', '中楼层(共7层)板楼  -  春华街', '158万', '单价23284元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_uploadfeba8538-8d07-4bcb-b3b0-c40c1805d596.jpg.296x216.jpg', '金湾花园  视野开阔，成熟社区，价格合理，出行方便', '金湾花园  | 2室1厅 | 86.5平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '230万', '单价26590元/平米')
('https://image1.ljcdn.com/120000-inspection/d26792b1-3402-4feb-8848-c75a45f41f62.jpg.296x216.jpg', '盛世嘉园 2室1厅 175万', '盛世嘉园  | 2室1厅 | 77.32平米 | 南 | 简装 | 无电梯', '中楼层(共6层)板楼  -  真理道', '175万', '单价22634元/平米')
('https://image1.ljcdn.com/120000-inspection/rsp_pic_upload1055a276-5794-48d0-b781-1d920757e268.jpg.296x216.jpg', '宫前园 一室一厅 事业开阔 位置较好 交通便利', '宫前园  | 1室1厅 | 43.23平米 | 南 北 | 其他 | 无电梯', '低楼层(共7层)板楼  -  大直沽', '119万', '单价27528元/平米')
('https://image1.ljcdn.com/120000-inspection/aa70a955-815f-471b-a56c-9943c114a144.jpg.296x216.jpg', '巨福新园 没有个税 中间楼层 户型方正', '巨福新园  | 3室2厅 | 140.21平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)板楼  -  春华街', '432万', '单价30811元/平米')
('https://image1.ljcdn.com/120000-inspection/0ba4b6da-725a-470f-8a9f-4e432c30c70d.jpg.296x216.jpg', '阳光星期八昕旺南苑 全阳两室 户型方正 采光无遮挡', '阳光星期八昕旺南苑  | 2室1厅 | 96.84平米 | 南 | 简装 | 有电梯', '低楼层(共27层)板楼  -  向阳楼', '285万', '单价29430元/平米')
('https://image1.ljcdn.com/120000-inspection/12102937-2ee0-4909-8f53-36bc3552ec53.jpg.296x216.jpg', '万和里  私产 满五唯一 看房随时', '万和里  | 2室1厅 | 83.11平米 | 东 西 | 简装 | 无电梯', '高楼层(共6层)板楼  -  上杭路', '185万', '单价22260元/平米')
('https://image1.ljcdn.com/120000-inspection/e7a798ca-8229-4a7e-a5cf-f26027a43c1d.jpg.296x216.jpg', '宁月花园 2楼 小三室 南北通透 私产 可贷款 采光好', '宁月花园  | 3室1厅 | 85.59平米 | 南 北 | 其他 | 无电梯', '低楼层(共6层)板楼  -  二号桥街', '192万', '单价22433元/平米')
('https://image1.ljcdn.com/120000-inspection/a8c174c0-2fc2-4335-ad78-42a282368871.jpg.296x216.jpg', '盛世嘉园 精装修 采光好 视野好', '盛世嘉园  | 2室1厅 | 88.73平米 | 南 北 | 精装 | 有电梯', '高楼层(共24层)板楼  -  真理道', '185万', '单价20850元/平米')
('https://image1.ljcdn.com/120000-inspection/fd2b393d-500a-4a53-89d2-93ae9d57ade4.jpg.296x216.jpg', '巨福新园 6室3厅3卫 户型规整 采光较好', '巨福新园  | 6室3厅 | 205.65平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)板楼  -  春华街', '530万', '单价25772元/平米')
('https://image1.ljcdn.com/120000-inspection/a49fd1ec-5c08-44fd-ad74-1953b08dbbd2.jpg.296x216.jpg', '恋日风景改善三室采光好格局方正业主诚意出售', '恋日风景  | 3室2厅 | 117.55平米 | 东南 | 精装 | 无电梯', '中楼层(共5层)板楼  -  向阳楼', '355万', '单价30200元/平米')
