('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload92662a90-6e06-4386-a6a6-69d133013027.jpg.296x216.jpg', '长白岛 万科城二期 南向 户型规整 两室 中间好楼层', '万科城二期  | 2室2厅 | 102.04平米 | 南 | 精装', '低楼层(共33层)2006年建板塔结合  -  和平区', '175万', '单价17151元/平米')
('https://image1.ljcdn.com/210100-inspection/19d37a59-1953-4449-bd5f-3bbf30037196.jpg.296x216.jpg', '中海国际社区五期 2室2厅 160万', '中海国际社区五期  | 2室2厅 | 88.5平米 | 南 北 | 其他', '低楼层(共32层)2015年建板楼  -  和平区', '160万', '单价18080元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload10c5b0f7-7e9c-400f-a257-72da6bba38e8.JPG.296x216.jpg', '尚景新世界 南北通透 清水三居 中间楼层 采光好 诚售', '尚景新世界  | 3室2厅 | 164.39平米 | 南 北 | 毛坯', '低楼层(共33层)板楼  -  和平区', '379万', '单价23055元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_uploadc0bd5df4-d94f-4f74-bd69-5dfa19fa9463.JPG.296x216.jpg', '汇景新世界 3室166平 精装修', '汇景新世界  | 3室1厅 | 166平米 | 南 北 | 精装', '高楼层(共33层)2012年建板楼  -  和平区', '270万', '单价16266元/平米')
('https://image1.ljcdn.com/210100-inspection/f600f991-f426-44b2-bf49-62959b736fb1.jpg.296x216.jpg', '长白万科城三期，两室两厅 精装修，拎包即住', '万科城三期  | 2室2厅 | 104.66平米 | 南 | 其他', '低楼层(共31层)2006年建板塔结合  -  和平区', '173万', '单价16530元/平米')
('https://image1.ljcdn.com/210100-inspection/08d13ca1-ee58-48c8-a612-f39a1781dcab.jpg.296x216.jpg', '深航翡翠城 3室2厅 190万', '深航翡翠城  | 3室2厅 | 103.54平米 | 南 北 | 其他', '高楼层(共33层)2010年建板楼  -  和平区', '190万', '单价18351元/平米')
('https://image1.ljcdn.com/210100-inspection/8799cf6d-a5aa-42bb-907d-11eac2e4f986.jpg.296x216.jpg', '长白 圣水苑 精装修 南北通透 拎包入住 中间楼层', '圣水苑  | 2室2厅 | 125.11平米 | 南 北 | 其他', '低楼层(共30层)2006年建板楼  -  和平区', '190万', '单价15187元/平米')
('https://image1.ljcdn.com/210100-inspection/69c26806-6f77-425d-8c37-632c71beb7c5.jpg.296x216.jpg', '长白岛华润幸福里南北毛坯房交付标准很高随便装采光好', '华润幸福里四期  | 2室2厅 | 88平米 | 南 北 | 毛坯', '中楼层(共31层)板楼  -  和平区', '175万', '单价19887元/平米')
('https://image1.ljcdn.com/210100-inspection/4dccdb6d-a38f-400e-827c-89d650d30658.jpg.296x216.jpg', '此房一楼带花园 带一层地下室 清水房 园区优美', '九洲御府  | 3室2厅 | 97.76平米 | 南 北 | 其他', '低楼层(共10层)板楼  -  和平区', '140万', '单价14321元/平米')
('https://image1.ljcdn.com/210100-inspection/87d5d0ec-7047-4610-a5f9-f5937d71fa95.jpg.296x216.jpg', '长白岛 万科城二期 三室两厅 精装修', '万科城二期  | 3室2厅 | 124.45平米 | 南 北 | 其他', '低楼层(共34层)2006年建板塔结合  -  和平区', '190万', '单价15268元/平米')
('https://image1.ljcdn.com/210100-inspection/8986f681-87d7-4d30-9aa5-8422d38ec7f8.jpg.296x216.jpg', '和平 九洲湾景汇 小高层 大赠送 视野好 精装修送家具', '九洲御府  | 3室2厅 | 102平米 | 南 北 | 其他', '中楼层(共12层)2016年建板楼  -  和平区', '130万', '单价12746元/平米')
('https://image1.ljcdn.com/210100-inspection/61badd00-cc9a-4856-9ded-2dd32fdda934.jpg.296x216.jpg', '长白 越秀星汇蓝海 小三居 中间楼层 精装修 未住过人', '越秀星汇蓝海  | 3室2厅 | 96.31平米 | 东南 | 其他', '高楼层(共33层)2016年建板楼  -  和平区', '140万', '单价14537元/平米')
('https://image1.ljcdn.com/210100-inspection/d318360c-62ef-430b-bbae-d2f600553731.jpg.296x216.jpg', '万科峰汇，精装修 ，室内保持好，无大税', '万科城二期  | 3室2厅 | 145平米 | 东南 | 其他', '低楼层(共33层)2006年建板塔结合  -  和平区', '247万', '单价17035元/平米')
('https://image1.ljcdn.com/210100-inspection/b50cb323-970e-4af6-a5e9-1fba46e2f329.JPG.296x216.jpg', '新世界花园朗悦居 3室2厅 180万', '新世界花园朗悦居  | 3室2厅 | 126.98平米 | 东 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  和平区', '180万', '单价14176元/平米')
('https://image1.ljcdn.com/210100-inspection/f948380a-998d-40bf-9bee-39e235142b7f.jpg.296x216.jpg', '和平区长白南 九洲御府 带车位 精装修', '九洲御府  | 2室2厅 | 93.44平米 | 南 北 | 其他', '中楼层(共30层)2016年建板楼  -  和平区', '115万', '单价12308元/平米')
('https://image1.ljcdn.com/210100-inspection/078aa87b-05e1-48f2-b20c-b9715d60620d.jpg.296x216.jpg', '长白 远洋天地 小高层 精装修三居室 拎包入住', '远洋天地  | 3室2厅 | 137.28平米 | 南 北 | 其他', '低楼层(共8层)2008年建板楼  -  和平区', '285万', '单价20761元/平米')
('https://image1.ljcdn.com/210100-inspection/a4a1732b-ea10-481f-8e9f-304f02424d9e.jpg.296x216.jpg', '新加坡城 南向一室一厅 精装修 拎包即住', '新加坡城  | 1室1厅 | 61.3平米 | 南 | 其他', '中楼层(共24层)2012年建板楼  -  和平区', '85万', '单价13867元/平米')
('https://image1.ljcdn.com/210100-inspection/df2875cd-75e0-4ea0-90cb-9d30bbe463a0.jpg.296x216.jpg', '长白岛 和泓国际 三室两厅一厨两卫 交通便利 采光充足', '和泓国际  | 3室2厅 | 142.6平米 | 南 北 | 其他', '低楼层(共30层)2011年建板楼  -  和平区', '185万', '单价12974元/平米')
('https://image1.ljcdn.com/210100-inspection/f142feeb-4029-4189-ab22-97245b670023.jpg.296x216.jpg', '长白岛 中海国际社区二期央景 全天采光 精装修 满二', '中海国际社区二期  | 2室2厅 | 107.56平米 | 南 | 其他', '低楼层(共33层)2011年建板楼  -  和平区', '168万', '单价15620元/平米')
('https://image1.ljcdn.com/210100-inspection/146eb516-f4ad-4476-8b80-8e59b1e03608.jpg.296x216.jpg', '长白万科鹿特丹 精装修 看房方便 三室两卫 保持好', '万科鹿特丹  | 3室2厅 | 140平米 | 南 北 | 其他', '低楼层(共31层)2016年建板楼  -  和平区', '235万', '单价16786元/平米')
('https://image1.ljcdn.com/210100-inspection/497cc0d1-e53d-4516-8e65-c55c0c780ba9.JPG.296x216.jpg', '和平 诚大数码广场 精装一室小户型 价格合理 看房方便', '诚大数码广场  | 1室1厅 | 48平米 | 北 | 简装', '低楼层(共30层)2008年建板楼  -  和平区', '34万', '单价7084元/平米')
('https://image1.ljcdn.com/210100-inspection/test-932353ba-1639-46ed-bf7b-bfe2c20ab7c7.png.296x216.jpg', '长白岛中海国际社区三期学府三室精装修', '中海国际社区三期学府  | 3室2厅 | 126.69平米 | 南 北 | 精装', '低楼层(共32层)2013年建板楼  -  和平区', '228万', '单价17997元/平米')
('https://image1.ljcdn.com/210100-inspection/e2fc5c1a-a7b7-4aec-bf3d-a5743f130ff9.jpg.296x216.jpg', '中海国际社区三期学府 3室2厅 220万', '中海国际社区三期学府  | 3室2厅 | 126.69平米 | 南 北 | 其他', '高楼层(共32层)2013年建板楼  -  和平区', '220万', '单价17366元/平米')
('https://image1.ljcdn.com/210100-inspection/587e5fcc-0185-4664-a67b-5ca27faaa6fc.jpg.296x216.jpg', '长白岛 圣水苑 精装两室 拎包入住 看房方便', '圣水苑  | 2室2厅 | 125.7平米 | 南 北 | 其他', '高楼层(共21层)2006年建板楼  -  和平区', '195万', '单价15514元/平米')
('https://image1.ljcdn.com/210100-inspection/6a02f79d-84b0-4999-94ae-9b14572e4d02.JPG.296x216.jpg', '湾景华庭  中间楼层 采光充足  户型方正', '新世界花园湾景华庭  | 3室2厅 | 163.93平米 | 南 北 | 精装', '低楼层(共19层)2007年建板楼  -  和平区', '236万', '单价14397元/平米')
('https://image1.ljcdn.com/210100-inspection/68300a6e-7c3a-452b-9ca9-d43f61ac789b.JPG.296x216.jpg', '长白岛新加坡城二期，南北通透，多层房，户型方正', '新加坡城  | 2室2厅 | 95.4平米 | 南 北 | 毛坯', '中楼层(共6层)2012年建板楼  -  和平区', '145万', '单价15200元/平米')
('https://image1.ljcdn.com/210100-inspection/b79b616f-e3f7-48c2-b296-bf008d503f29.JPG.296x216.jpg', '冠芳园一期多层住宅 南北通透户型', '冠芳园  | 4室3厅 | 181.03平米 | 南 北 | 精装', '高楼层(共6层)2004年建板楼  -  和平区', '190万', '单价10496元/平米')
('https://image1.ljcdn.com/210100-inspection/3734ace2-bdff-4658-bfa1-a27793cb1461.jpg.296x216.jpg', '长白 远洋天地 一楼 带地下室花园', '远洋天地  | 2室2厅 | 97.21平米 | 南 北 | 精装', '低楼层(共32层)2008年建板楼  -  和平区', '220万', '单价22632元/平米')
('https://image1.ljcdn.com/210100-inspection/613ef6ae-d547-44a5-a5ba-27d9c857afcb.jpg.296x216.jpg', '长白岛 长白苑 小多层 公摊小 中间楼层 看房方便', '长白苑  | 4室2厅 | 145平米 | 南 北 | 其他', '中楼层(共6层)2005年建板楼  -  和平区', '166万', '单价11449元/平米')
('https://image1.ljcdn.com/210100-inspection/b9616782-2929-46d8-95c9-c7bda919fa9c.JPG.296x216.jpg', '汇景新世界 2室2厅 190万', '汇景新世界  | 2室2厅 | 104平米 | 南 | 其他', '高楼层(共33层)2012年建板楼  -  和平区', '190万', '单价18270元/平米')
('https://image1.ljcdn.com/210100-inspection/3082fe27-723f-4e40-9bcf-1a19983cfc91.jpg.296x216.jpg', '长白岛  长白新城 南北通透 中间楼层 标准户型', '长白新城  | 2室2厅 | 109.6平米 | 南 北 | 精装', '中楼层(共25层)2006年建板楼  -  和平区', '100万', '单价9125元/平米')
('https://image1.ljcdn.com/210100-inspection/5f6abd97-8856-4de2-becd-7ba5d21fc72b.jpg.296x216.jpg', '长白新加坡城三期标准南北通透户型 两室两厅一厨一卫', '新加坡城  | 2室2厅 | 90.43平米 | 南 北 | 毛坯', '高楼层(共32层)2012年建板楼  -  和平区', '140万', '单价15482元/平米')
('https://image1.ljcdn.com/210100-inspection/2b00a75f-071c-4416-9270-2bb2b587eab3.jpg.296x216.jpg', '长白岛 格林生活坊 精装三室 南北通透', '格林生活坊三期  | 3室2厅 | 137平米 | 南 北 | 精装', '高楼层(共27层)2008年建板楼  -  和平区', '220万', '单价16059元/平米')
('https://image1.ljcdn.com/210100-inspection/5205456d-5327-48f9-abec-c5fcc80cb984.jpg.296x216.jpg', '越秀 婚房精装 标准两居室，小高层位置好，楼层佳。', '越秀星汇蓝海  | 2室1厅 | 78.49平米 | 南 北 | 精装', '中楼层(共11层)2016年建板楼  -  和平区', '123万', '单价15671元/平米')
('https://image1.ljcdn.com/210100-inspection/87714928-5c62-4025-8086-f44d82c546be.jpg.296x216.jpg', '金沙湾一期 4室2厅 138万', '金沙湾一期  | 4室2厅 | 143平米 | 南 北 | 其他', '高楼层(共6层)2011年建板楼  -  和平区', '138万', '单价9651元/平米')
('https://image1.ljcdn.com/210100-inspection/4469d094-3229-49e7-aabc-d4a340503295.JPG.296x216.jpg', '此房是新加坡城南北通透两居室，北向无消防连廊挡光', '新加坡城  | 2室2厅 | 103.27平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  和平区', '155万', '单价15010元/平米')
('https://image1.ljcdn.com/210100-inspection/ba69787a-1481-4520-8049-db3bfb1f2a38.jpg.296x216.jpg', '长白岛地区 龙湖唐宁ONE两室清水  南北通透  中间楼层', '龙湖唐宁ONE  | 2室2厅 | 83.5平米 | 南 北 | 其他', '中楼层(共33层)2018年建板楼  -  和平区', '143万', '单价17126元/平米')
('https://image1.ljcdn.com/210100-inspection/5da4a86b-338a-4d94-bd0e-0f59450f9fc0.jpg.296x216.jpg', '长白 万科城 三室两厅两卫 精装修 诚心出售 看房方便', '万科城二期  | 3室2厅 | 145.32平米 | 东北 | 精装', '高楼层(共33层)2006年建板塔结合  -  和平区', '275万', '单价18924元/平米')
('https://image1.ljcdn.com/210100-inspection/0d4c177c-6150-4c08-96f2-e7e05267ed5b.jpg.296x216.jpg', '长白万科城四期 南北通透 三室一卫 万科自带精装修', '万科城四期  | 3室2厅 | 125.03平米 | 南 北 | 精装', '高楼层(共33层)2009年建板楼  -  和平区', '245万', '单价19596元/平米')
('https://image1.ljcdn.com/210100-inspection/dfdbc356-0393-41f3-8206-83b2acb00d67.jpg.296x216.jpg', '青年大街沿线 世茂五里河 清水 南北通透 中间楼层景好', '世茂新五里河  | 2室2厅 | 161平米 | 南 北 | 毛坯', '高楼层(共48层)2016年建板楼  -  和平区', '201.3万', '单价12500元/平米')
('https://image1.ljcdn.com/210100-inspection/9c86f451-9f62-4abf-9091-f2e629e45ca9.jpg.296x216.jpg', '长白万科鹿特丹 精装两室楼层好 全天采光 南北通透', '万科鹿特丹  | 2室2厅 | 91.99平米 | 南 北 | 其他', '低楼层(共31层)2016年建板楼  -  和平区', '148万', '单价16089元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload3e0ecc88-81c6-40cf-b6e7-71df349f5a78.jpg.296x216.jpg', '长白 远洋岦宫 四室 精装修 大平层', '远洋岦宫  | 4室2厅 | 234平米 | 南 北 | 精装', '高楼层(共26层)暂无数据  -  和平区', '600万', '单价25642元/平米')
('https://image1.ljcdn.com/210100-inspection/787234ac-3c0f-4aa1-99e6-ef794c205e5b.jpg.296x216.jpg', '万科城七期 大U5 河景房  样板间装修 满二', '万科城七期  | 4室2厅 | 248平米 | 南 北 | 精装', '中楼层(共32层)2011年建板楼  -  和平区', '605万', '单价24396元/平米')
('https://image1.ljcdn.com/210100-inspection/90207e38-76d3-4258-bb8a-64ffbb42e02a.jpg.296x216.jpg', '中海和平之门 3室2厅 200万', '中海和平之门  | 3室2厅 | 113.08平米 | 南 北 | 其他', '低楼层(共30层)板楼  -  和平区', '200万', '单价17687元/平米')
('https://image1.ljcdn.com/210100-inspection/5b1dc435-f69c-4f05-9490-19a4b3c07934.jpg.296x216.jpg', '长白 中海和平之门 南北通透 采光好 楼层好', '中海和平之门  | 2室2厅 | 85平米 | 南 北 | 其他', '高楼层(共33层)2016年建板楼  -  和平区', '150万', '单价17648元/平米')
