('https://image1.ljcdn.com/510100-inspection/test-2895d2af-f5a8-4878-b3ba-329c510a4f6b.png.296x216.jpg', '校园路交大卡布里城标准装修套一', '交大卡布里城  | 1室1厅 | 50.59平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2008年建板塔结合  -  犀浦', '62万', '单价12256元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload2fb9bd32-341a-4b2b-a672-5f97bd93be4a.JPG.296x216.jpg', '房子装修套三户型方正产权55平方赠送下来80平方', '宇众悦府  | 3室2厅 | 55平米 | 西南 | 其他 | 有电梯', '高楼层(共24层)2013年建板塔结合  -  犀浦', '105万', '单价19091元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4bb00933-6460-4147-bb75-1f1168f959b7.png.296x216.jpg', '派克公馆 清水套二顶跃 有露台 一梯三户 不临街', '派克公馆  | 2室1厅 | 108.69平米 | 东北 | 其他 | 有电梯', '高楼层(共12层)2011年建板塔结合  -  成外', '180万', '单价16561元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9271fdc8-b9cb-4917-a39c-74e198db25cb.png.296x216.jpg', '郫县东门 配套交通购物成熟！满二 大套二 带装修', '时代花城豪庭二期  | 2室2厅 | 84.03平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2010年建塔楼  -  郫县城区', '90万', '单价10711元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d19cc57-4344-43ba-8d3f-b4feda4fb6b3.png.296x216.jpg', '宇众悦府 中装套二  采光好 中层 满两年 有钥匙', '宇众悦府  | 2室1厅 | 48.85平米 | 西北 | 精装 | 有电梯', '中楼层(共23层)2013年建板塔结合  -  犀浦', '89万', '单价18220元/平米')
('https://image1.ljcdn.com/510100-inspection/test-eae99210-5d14-4736-898c-dd2162fa379b.png.296x216.jpg', '园林式小区景观，客厅朝中庭，小区交通便利', '龙城国际  | 3室2厅 | 111平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  橡树湾', '160万', '单价14415元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1d732a4e-88af-4638-80ed-8567ad1df436.png.296x216.jpg', '金枫名苑+装修套二+带家具家电 87万', '金枫名苑  | 2室1厅 | 63.31平米 | 东南 | 其他', '中楼层(共18层)2013年建板楼  -  成外', '81万', '单价12795元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ae04044-5125-4593-bd81-8a349f8cedec.png.296x216.jpg', '装修套三，户型方正，带阳台，中间楼层，采光充足。', '中铁伊萨贝拉  | 3室2厅 | 92.36平米 | 北 | 简装 | 有电梯', '中楼层(共26层)2010年建板楼  -  犀浦', '123万', '单价13318元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d2b7b144-799c-448f-a6b1-75cf950a9f9b.png.296x216.jpg', '泰立观筑装修套三，用途商住，通水电气', '泰立观筑  | 3室2厅 | 110.28平米 | 西北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  郫县城区', '75万', '单价6801元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42cb2d39-7f87-4a72-a6b1-1ac207470596.png.296x216.jpg', '西城鸥鹭湾套三，满二年无增值税', '西城鸥鹭湾  | 3室2厅 | 87.92平米 | 东南 | 其他', '中楼层(共17层)板楼  -  郫县城区', '86万', '单价9782元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e1481a70-64a1-4114-a149-299403d4c7b1.png.296x216.jpg', '中铁塔米亚装修套二，对中庭，中楼层', '中铁塔米亚  | 2室2厅 | 85.17平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2011年建板塔结合  -  成外', '113万', '单价13268元/平米')
('https://image1.ljcdn.com/510100-inspection/test-061f6130-5587-44b6-9b97-d82d1ee3bf3f.png.296x216.jpg', '绿地国际花都三期+套三双卫+临河位置', '绿地国际花都三期  | 3室2厅 | 100.84平米 | 西南 | 其他 | 有电梯', '低楼层(共32层)2014年建板楼  -  郫县城区', '130万', '单价12892元/平米')
('https://image1.ljcdn.com/510100-inspection/11c8d5a6-69e5-41e1-a0eb-499927ebc68a.jpg.296x216.jpg', '西区花园+一楼带花园+有装修+拎包入住', '西区花园水云涧  | 3室2厅 | 109.24平米 | 东 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  犀浦', '130万', '单价11901元/平米')
('https://image1.ljcdn.com/510100-inspection/test-38830859-0b92-4ef1-ae16-79404c3298a4.png.296x216.jpg', '成都后花园三期  装修套三双卫  带双阳台', '成都后花园三期  | 3室2厅 | 98.79平米 | 西南 | 其他 | 有电梯', '低楼层(共25层)2012年建塔楼  -  成外', '155万', '单价15690元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e7508b76-702f-4333-9a7f-5072823b5f26.png.296x216.jpg', '县医院旁边  套二 客厅带阳台 出售', '东大街102号  | 2室1厅 | 71.8平米 | 东南 | 其他', '低楼层(共6层)板楼  -  郫县万达', '48万', '单价6686元/平米')
('https://image1.ljcdn.com/510100-inspection/test-df88b8ab-7215-4af5-aec1-c06858b79dcb.png.296x216.jpg', '348家属院 标准套二 业主居家装修 看房方便', '348厂家属院  | 2室2厅 | 74.8平米 | 东南 西南 | 其他 | 无电梯', '高楼层(共6层)板楼  -  郫县万达', '51万', '单价6819元/平米')
('https://image1.ljcdn.com/510100-inspection/eb8e8913-27e4-403d-b781-925f9e592dd5.jpg.296x216.jpg', '华润橡树湾A+对中庭+卧室带飘窗', '华润橡树湾A区  | 3室1厅 | 52.55平米 | 东北 | 其他 | 有电梯', '中楼层(共34层)2013年建板塔结合  -  橡树湾', '108万', '单价20552元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload45b777fb-b2cc-4b72-94e7-ae32b6843270.jpg.296x216.jpg', '华润橡树湾套三单卫，带大平台，有装修', '华润橡树湾A区  | 3室1厅 | 54.18平米 | 西南 | 其他 | 有电梯', '低楼层(共34层)2013年建板塔结合  -  橡树湾', '105万', '单价19380元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a1103764-de43-445f-86e2-cf3b3257b7e4.png.296x216.jpg', '交大卡布里城清水套二，主卧带衣帽间', '交大卡布里城  | 2室2厅 | 86.99平米 | 东南 | 其他 | 有电梯', '高楼层(共25层)2009年建板塔结合  -  犀浦', '103万', '单价11841元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload5b4a9186-9548-43c8-bbef-84b0424a656d.jpg.296x216.jpg', '海骏达蜀都1号一期北区装修套三', '海骏达蜀都1号一期北区  | 3室2厅 | 94.1平米 | 西南 | 其他 | 有电梯', '高楼层(共25层)2013年建塔楼  -  郫县城区', '125万', '单价13284元/平米')
('https://image1.ljcdn.com/510100-inspection/test-86acd90a-58a4-40e9-9e32-64822fb8289c.png.296x216.jpg', '派克公馆装修套二 东南朝向 有家具家电 不临街', '派克公馆  | 2室1厅 | 90.31平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  成外', '130万', '单价14395元/平米')
('https://image1.ljcdn.com/510100-inspection/test-436d43e2-233f-412a-84cc-31a3ef638927.png.296x216.jpg', '五彩城居家装修套三双卫，带家电家具', '五彩城  | 3室1厅 | 109平米 | 东南 | 其他 | 有电梯', '低楼层(共31层)2014年建板楼  -  郫县城区', '115万', '单价10551元/平米')
('https://image1.ljcdn.com/510100-inspection/test-02cf4bed-3d8f-45b2-8af1-d4341c376c7f.png.296x216.jpg', '套二带改小套三+满两年无增值税', '华润橡树湾A区  | 3室1厅 | 62.86平米 | 西南 | 其他 | 有电梯', '低楼层(共32层)2013年建板塔结合  -  橡树湾', '86万', '单价13682元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dc3c9853-cf79-4fad-ad47-280b9319b0f4.png.296x216.jpg', '绿地国际花都精装套3，户型采光视野好！', '绿地国际花都一期  | 3室1厅 | 88平米 | 东北 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  郫县城区', '116万', '单价13182元/平米')
('https://image1.ljcdn.com/510100-inspection/8a8fd6d1-aa61-4213-a53f-46dedb7354d8.JPG.296x216.jpg', '中铁塔米亚清水中庭套二、毛坯未装修', '中铁塔米亚  | 2室1厅 | 85平米 | 西南 | 毛坯 | 有电梯', '中楼层(共18层)2011年建板塔结合  -  成外', '130万', '单价15295元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0e7a37ec-87bf-48b1-a61d-e8ec6fa60631.png.296x216.jpg', '龙城国际 不临街 清水房 采光好 通风好', '龙城国际  | 4室2厅 | 125.77平米 | 东南 | 其他 | 有电梯', '高楼层(共33层)2013年建板塔结合  -  橡树湾', '210万', '单价16698元/平米')
('https://image1.ljcdn.com/510100-inspection/test-19479085-247b-4bad-ba5d-8f084f067522.png.296x216.jpg', '四季豪廷，清水空置套二，朝西南', '四季豪廷  | 2室2厅 | 92.12平米 | 西南 | 其他 | 有电梯', '低楼层(共27层)2010年建板塔结合  -  郫县城区', '110万', '单价11941元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0567c87a-9ceb-4320-973d-8342d87963a1.png.296x216.jpg', '华侨凤凰城清水套三双卫，可塑性强', '华侨凤凰国际城  | 4室2厅 | 113.66平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2015年建板楼  -  郫县城区', '132万', '单价11614元/平米')
('https://image1.ljcdn.com/510100-inspection/test-49c4c16c-7420-4dfa-8a93-d7814cc87b0a.png.296x216.jpg', '正成名城左岸  大套四 装修保存较好', '正成名城左岸  | 4室2厅 | 120.21平米 | 西南 | 其他 | 有电梯', '高楼层(共26层)2008年建塔楼  -  红光', '120万', '单价9983元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cfe929ce-d7b6-4b1a-bd14-e3a251bdafbc.png.296x216.jpg', '中铁奥维尔清水套三，看房有钥匙', '中铁奥维尔  | 3室1厅 | 88.82平米 | 东 | 其他 | 有电梯', '低楼层(共31层)2014年建板塔结合  -  郫县城区', '81万', '单价9120元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1bad132b-a5f8-4325-92d5-673fee2f3500.png.296x216.jpg', '合能四季城全新装修套四双卫，没有住过人！！随时看房', '合能四季城二期  | 4室2厅 | 132.7平米 | 西南 | 其他 | 有电梯', '高楼层(共28层)2013年建板塔结合  -  犀浦', '165万', '单价12435元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c4a8aa82-1e93-4b9a-8169-dbb10c0e3739.png.296x216.jpg', '华润橡树湾，有装修带家具家电，拎包入住', '华润橡树湾B区  | 3室1厅 | 79.8平米 | 东南 | 其他 | 有电梯', '高楼层(共34层)2013年建板塔结合  -  橡树湾', '150万', '单价18797元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e141105f-4bec-419c-a6cd-d3d436eb19ff.png.296x216.jpg', '万树森林 精装套三双卫 户型方正', '万树森林二期  | 3室2厅 | 129.43平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2008年建板塔结合  -  犀浦', '148万', '单价11435元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b8d7d307-e1bb-4aac-9c4e-6f54589d0ff7.png.296x216.jpg', '海骏达蜀都一号一期北区精装套二', '海骏达蜀都1号一期北区  | 2室1厅 | 70.62平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2013年建塔楼  -  郫县城区', '95万', '单价13453元/平米')
('https://image1.ljcdn.com/510100-inspection/test-89b72d19-8c8b-4a13-ac17-c37c11dc99ed.png.296x216.jpg', '西城鸥鹭湾 精装套三 临河朝南 满2年', '西城鸥鹭湾  | 3室2厅 | 88.43平米 | 南 | 其他', '低楼层(共26层)板楼  -  郫县城区', '90万', '单价10178元/平米')
('https://image1.ljcdn.com/510100-inspection/test-40ff2614-8e09-4c2c-a80c-891b60ca51bd.png.296x216.jpg', '此房保存相当新，业主自住，正对小区中庭、满2年', '龙城国际  | 3室2厅 | 106平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  橡树湾', '162万', '单价15284元/平米')
('https://image1.ljcdn.com/510100-inspection/test-511f9c9a-4677-4d4d-adfb-5423c2aa5bba.png.296x216.jpg', '上置雅宾利          套四清水房', '上置雅宾利  | 4室2厅 | 110.64平米 | 南 | 毛坯 | 有电梯', '低楼层(共24层)2016年建板楼  -  红光', '115万', '单价10395元/平米')
('https://image1.ljcdn.com/510100-inspection/test-c1b0b7f8-1ecc-4e6d-95b1-0410ece5d2ac.png.296x216.jpg', '交大万嘉季柳园 标准套三 户型方正 对中庭', '交大万嘉季柳园  | 3室2厅 | 116.91平米 | 西南 | 其他 | 有电梯', '中楼层(共25层)2013年建塔楼  -  犀浦', '130万', '单价11120元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2aefecaf-3ba5-4617-a69a-287467b433e6.png.296x216.jpg', '中铁塔米亚清水套二朝向西南两梯四户', '中铁塔米亚  | 2室1厅 | 85.01平米 | 西南 | 其他 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  成外', '95万', '单价11176元/平米')
('https://image1.ljcdn.com/510100-inspection/test-745b1a29-5c2e-4e32-a967-4ecadc9e55ff.png.296x216.jpg', '银丰园一区 套四双卫 清水房 带屋顶花园', '银丰园一区  | 4室2厅 | 170.69平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2004年建板楼  -  橡树湾', '118万', '单价6914元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dbf3b4e3-edbc-400c-b3e7-c17b44355816.png.296x216.jpg', '天立 套三双卫，装修带家具家电', '天立香缇华府  | 3室2厅 | 87.89平米 | 南 | 其他', '高楼层(共23层)2016年建板塔结合  -  郫县城区', '102万', '单价11606元/平米')
('https://image1.ljcdn.com/510100-inspection/test-932694c5-3295-4127-88c1-ceee5c892544.png.296x216.jpg', '中铁西郡英华二期+清水房+可自主装修', '中铁西郡英华二期  | 3室2厅 | 89.82平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2013年建塔楼  -  红光', '100万', '单价11134元/平米')
('https://image1.ljcdn.com/510100-inspection/test-86888f97-8471-4405-bf37-a10585669506.png.296x216.jpg', '英伦层高3.3米，对中庭，带装修，带家具家电套二。', '书香府邸二期英伦  | 2室2厅 | 85.02平米 | 西 | 其他 | 有电梯', '低楼层(共16层)2011年建板楼  -  成外', '132万', '单价15526元/平米')
('https://image1.ljcdn.com/510100-inspection/test-35144a4f-bc54-4f9c-8a68-345184db5cb0.png.296x216.jpg', '龙城国际清水公寓+交通便利+配套设施齐全', '龙城国际  | 1室1厅 | 48.13平米 | 东南 | 其他 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  橡树湾', '40万', '单价8311元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9ea0f26-71f5-470e-abc4-24151138435b.png.296x216.jpg', '锦苑三期 精装套二 南北朝向 采光好 一梯两户', '锦苑三期  | 2室2厅 | 89平米 | 东 | 精装 | 有电梯', '高楼层(共11层)2010年建板塔结合  -  犀浦', '106万', '单价11911元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d8d30d8d-7d08-40b4-bdcd-3e7e2413995d.png.296x216.jpg', '西城鸥鹭湾 套二单卫 客厅带阳台', '西城鸥鹭湾  | 2室2厅 | 78.93平米 | 南 | 其他', '中楼层(共26层)板楼  -  郫县城区', '71万', '单价8996元/平米')
('https://image1.ljcdn.com/510100-inspection/test-deb75370-936a-48f4-a3f7-b34106f6bf65.png.296x216.jpg', '中信精装套三，带家具家电拎包入住，朝西南，采光好', '中信未来城北区  | 3室1厅 | 89.7平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2013年建塔楼  -  郫县城区', '103万', '单价11483元/平米')
('https://image1.ljcdn.com/510100-inspection/test-738524af-977d-43d2-85bc-6d3e0fcb23ea.png.296x216.jpg', '标准套二  +  清水  +  临河', '海骏达蜀都1号凯悦二期  | 2室1厅 | 77.03平米 | 西北 | 其他 | 有电梯', '中楼层(共30层)2013年建板楼  -  郫县城区', '88万', '单价11425元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e8bd836a-d729-4a35-91a0-cfb4036c748d.png.296x216.jpg', '公园榕郡 简装 满两年三居 对中庭 东南朝向客厅带阳台', '公园榕郡  | 3室1厅 | 92.07平米 | 东南 | 简装 | 有电梯', '中楼层(共18层)2011年建板塔结合  -  犀浦', '113万', '单价12274元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload4a01ccce-3d59-4d92-a560-5cab67046f6f.JPG.296x216.jpg', '宇众悦府清水套三+主卧带飘窗。', '宇众悦府  | 3室1厅 | 58.48平米 | 西南 | 其他 | 有电梯', '低楼层(共23层)2013年建板塔结合  -  犀浦', '105万', '单价17955元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bedeaddd-ac62-46dd-b10e-b7b6e776b06d.png.296x216.jpg', '三九八厂家属区居家套一，小户型', '三九八家属区  | 1室1厅 | 44平米 | 西 | 其他 | 有电梯', '中楼层(共6层)板楼  -  郫县万达', '31万', '单价7046元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_upload319c8293-3548-4e71-a98b-4f1c007d764f.jpg.296x216.jpg', '中铁瑞景茗城+套三双卫装修房+采光好', '中铁瑞景茗城  | 3室2厅 | 115.82平米 | 西南 | 简装 | 有电梯', '低楼层(共18层)2012年建板楼  -  郫县城区', '110万', '单价9498元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2235721d-6150-437a-8b36-d277126c179b.png.296x216.jpg', '中铁西郡英华二期 精装套二   带家具家电   婚房装修', '中铁西郡英华二期  | 2室1厅 | 72.54平米 | 西北 | 其他 | 有电梯', '中楼层(共31层)2013年建塔楼  -  红光', '83万', '单价11442元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f26fd38e-f888-4d74-987c-fa0b5900361f.png.296x216.jpg', '套三带大阳台，户型方正，随时看房', '绿茵豪庭B区  | 3室2厅 | 129.83平米 | 东南 西 | 其他 | 有电梯', '高楼层(共11层)2008年建板楼  -  成外', '130万', '单价10014元/平米')
('https://image1.ljcdn.com/510100-inspection/test-57f3730a-9dfd-42e3-ace2-ac9f551511d9.png.296x216.jpg', '西区花园+套三+错层户型+带花园', '西区花园花园洋房  | 3室1厅 | 134.62平米 | 东 | 其他 | 无电梯', '低楼层(共6层)2004年建板塔结合  -  犀浦', '143万', '单价10623元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a3e3c929-a025-46b7-8fdd-ee9e74216375.png.296x216.jpg', '此房满两年，客厅带阳台带落地窗，自住装修，随时可看', '西区花园水云涧  | 2室2厅 | 90.81平米 | 东南 | 其他 | 无电梯', '高楼层(共6层)2005年建板楼  -  犀浦', '102万', '单价11233元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f43838c5-fecb-4cf4-a725-5e9e66b4b0ce.png.296x216.jpg', '成外雅庭装修套三，高楼层，采光好，小区安静', '成外雅庭  | 3室2厅 | 129平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2008年建板楼  -  成外', '150万', '单价11628元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e1f315ba-8ae0-4b38-b862-3cb4efa65050.png.296x216.jpg', '伊萨贝拉套四双卫出售  总楼层9+1  对中庭  清水房', '中铁伊萨贝拉  | 4室2厅 | 165平米 | 西南 | 其他 | 有电梯', '中楼层(共9层)2010年建板楼  -  犀浦', '208万', '单价12607元/平米')
('https://image1.ljcdn.com/510100-inspection/test-80da8c4a-d90d-440e-bf11-8fecebe36839.png.296x216.jpg', '套三+满2年+对中庭+有钥匙+装修', '合能四季城二期  | 3室2厅 | 90.12平米 | 东南 | 其他 | 有电梯', '高楼层(共28层)2013年建板楼  -  犀浦', '138万', '单价15313元/平米')
('https://image1.ljcdn.com/510100-inspection/test-47275331-f8d4-48a8-98e4-ca53a2491160.png.296x216.jpg', '蓝光幸福满庭装修套三 没有人住过', '蓝光幸福满庭  | 3室2厅 | 67.68平米 | 西南 | 其他 | 有电梯', '高楼层(共25层)2014年建板塔结合  -  犀浦', '102万', '单价15071元/平米')
