('https://image1.ljcdn.com/340100-inspection/140b7668-86a7-4d29-bd92-5990a7ee96e1.JPG.296x216.jpg', '琥珀名城沁园 3室1厅 130万', '琥珀名城沁园  | 3室1厅 | 95.84平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  龙岗', '130万', '单价13565元/平米')
('https://image1.ljcdn.com/340100-inspection/179e64a0-71e1-4133-9905-fa317a21ad80.JPG.296x216.jpg', '元一名城c区三室好房，底价呈现，简单装修。', '元一名城C区  | 3室2厅 | 96.72平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  嘉山路', '120万', '单价12407元/平米')
('https://image1.ljcdn.com/340100-inspection/116b3d62-dfbc-474c-b328-e38eea92bd39.JPG.296x216.jpg', '15平大院 05年小区 满五年唯一 采光没有遮挡 出行方便', '繁昌路4号  | 2室1厅 | 74平米 | 南 北 | 其他', '低楼层(共5层)板楼  -  城东', '115万', '单价15541元/平米')
('https://image1.ljcdn.com/340100-inspection/0db1505a-f30c-4ba4-a679-ccf2082e2a87.jpg.296x216.jpg', '楼层好，视野开阔，采光充足，配套设施齐全', '御景湾  | 3室2厅 | 108.8平米 | 南 | 简装', '高楼层(共31层)2009年建塔楼  -  明光路', '196万', '单价18015元/平米')
('https://image1.ljcdn.com/340100-inspection/f11149e5-ca0a-4143-9302-26dc13ecec80.JPG.296x216.jpg', '鼎元府邸 精装一居室，中间楼层', '鼎元府邸  | 1室1厅 | 43.13平米 | 西 | 其他', '中楼层(共33层)2011年建塔楼  -  和平路', '89万', '单价20636元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada04d554b-58a1-4c70-93f5-75af8072e8ed.JPG.296x216.jpg', '和平广场 市二院 精装三房 万和新城 大通路小 38中', '万和新城广场  | 3室2厅 | 110.15平米 | 南 | 其他', '中楼层(共27层)2009年建塔楼  -  和平路', '170万', '单价15434元/平米')
('https://image1.ljcdn.com/340100-inspection/b8b992a1-211f-4524-a5e3-6820affcd5ea.jpg.296x216.jpg', '火车站 七里香榭   满五  采光好 交通便利  看房方便', '七里香榭  | 3室2厅 | 87.02平米 | 南 北 | 其他', '低楼层(共34层)2012年建塔楼  -  长淮', '125万', '单价14365元/平米')
('https://image1.ljcdn.com/340100-inspection/f80db6dd-8285-460e-ac14-252e51fedab0.jpg.296x216.jpg', '锦和园 2房2厅精装汽车东站 宝业东城商圈', '锦和园  | 2室2厅 | 85.56平米 | 南 | 其他', '低楼层(共21层)塔楼  -  红光', '109万', '单价12740元/平米')
('https://image1.ljcdn.com/340100-inspection/4e377c9d-0ce2-472d-b03d-a0d797ba472e.JPG.296x216.jpg', '静安瑞泰 3室2厅 108万', '静安瑞泰  | 3室2厅 | 87.84平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  龙岗', '108万', '单价12296元/平米')
('https://image1.ljcdn.com/340100-inspection/e480d468-c86b-4ed3-8bf6-f869c525ca1e.jpg.296x216.jpg', '华润紫云府 已满五年税费低 采光无遮挡', '紫云府  | 3室2厅 | 116.89平米 | 南 | 简装', '低楼层(共33层)2012年建塔楼  -  三里街', '159万', '单价13603元/平米')
('https://image1.ljcdn.com/340100-inspection/b269b6c1-2bf0-4a54-8f0b-f649bc6e03d2.jpg.296x216.jpg', '中高楼层 采光视野佳 地段优越 配套成熟 看房方便', '和平小区  | 2室2厅 | 73.66平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  和平路', '115万', '单价15613元/平米')
('https://image1.ljcdn.com/340100-inspection/62bebd13-cbf1-450e-afb6-8eb057d74b96.jpg.296x216.jpg', '未来家园 楼层好  采光好  交通便利', '未来家园  | 3室2厅 | 85.64平米 | 南 | 精装', '中楼层(共18层)2012年建塔楼  -  长淮', '128万', '单价14947元/平米')
('https://image1.ljcdn.com/340100-inspection/07ed552c-1274-42cc-82c2-36c1a9275d44.jpg.296x216.jpg', '此房三室两厅 视野采光一级棒  户型方正 全明户型', '御景湾  | 3室2厅 | 143平米 | 南 北 | 毛坯', '高楼层(共31层)2009年建塔楼  -  明光路', '295万', '单价20630元/平米')
('https://image1.ljcdn.com/340100-inspection/65cc6546-eaa0-4049-8b2f-b17c8c5b8497.jpg.296x216.jpg', '瑶海万达银领时代花园婚装两室采光好交通便利随时看房', '银领时代花园  | 2室2厅 | 85.24平米 | 南 北 | 其他', '高楼层(共18层)2013年建板楼  -  方庙', '116万', '单价13609元/平米')
('https://image1.ljcdn.com/340100-inspection/2e7ee5f3-00de-44af-8555-f886fa16b96c.JPG.296x216.jpg', '精装修超大两房，双阳台中间楼层，满五少税，交通方便', '海洲景秀世家  | 2室2厅 | 91.68平米 | 南 | 其他', '中楼层(共6层)2012年建板楼  -  龙岗', '110万', '单价11999元/平米')
('https://image1.ljcdn.com/340100-inspection/ef2578ed-5e46-4aa0-85b0-105e5146d6fd.jpg.296x216.jpg', '大平层，大客厅，大阳台，楼层好，采光佳，南北通透。', '和平盛世  | 4室2厅 | 150.34平米 | 南 北 | 其他', '高楼层(共31层)2012年建塔楼  -  明光路', '310万', '单价20620元/平米')
('https://image1.ljcdn.com/340100-inspection/917ad6fc-209a-4318-8be4-f92d54ea0d41.jpg.296x216.jpg', '金色梧桐 明光路 经典一室  手慢无', '金色梧桐  | 1室1厅 | 69.06平米 | 南 | 其他', '高楼层(共30层)2011年建塔楼  -  胜利路', '94万', '单价13612元/平米')
('https://image1.ljcdn.com/340100-inspection/a00f5d18-1398-4bd5-b4d8-aaa85a7d25af.JPG.296x216.jpg', '瑶海东区  琥珀名城  高档小区  自住装修', '琥珀名城沁园  | 2室2厅 | 84.47平米 | 南 北 | 其他', '高楼层(共18层)2009年建塔楼  -  龙岗', '116万', '单价13733元/平米')
('https://image1.ljcdn.com/340100-inspection/de369ef3-6f42-46e7-a057-947fc15e85e3.JPG.296x216.jpg', '琥珀名城沁园 3室2厅 135万', '琥珀名城沁园  | 3室2厅 | 95.37平米 | 南 北 | 其他', '低楼层(共18层)2009年建塔楼  -  龙岗', '135万', '单价14156元/平米')
('https://image1.ljcdn.com/340100-inspection/00116d7c-bf22-42de-a459-946b2c79a773.jpg.296x216.jpg', '未来家园 中间楼层 正规 三室', '未来家园  | 3室1厅 | 87.22平米 | 南 北 | 其他', '中楼层(共26层)2012年建塔楼  -  长淮', '129万', '单价14791元/平米')
('https://image1.ljcdn.com/340100-inspection/25baa0eb-0cfb-4e27-8fba-1ab114753ae2.jpg.296x216.jpg', '琥珀名城沁园  业主诚卖 满五唯一', '琥珀名城沁园  | 3室2厅 | 99.18平米 | 南 | 其他', '低楼层(共6层)2009年建板楼  -  龙岗', '135万', '单价13612元/平米')
('https://image1.ljcdn.com/340100-inspection/28f79794-a3f9-48f8-9ab8-02d264d896cc.JPG.296x216.jpg', '元一名城C区 精装修 小三居 采光无遮挡', '元一名城C区  | 3室2厅 | 109.14平米 | 南 北 | 其他', '中楼层(共11层)2009年建塔楼  -  嘉山路', '165万', '单价15119元/平米')
('https://image1.ljcdn.com/340100-inspection/9096ccc0-d232-47a4-888d-4d59727ee61c.JPG.296x216.jpg', '琥珀名城 电梯精装两居室 中高楼层 小区新', '琥珀名城沁园  | 2室1厅 | 76.45平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  龙岗', '105万', '单价13735元/平米')
('https://image1.ljcdn.com/340100-inspection/4fe23b20-9699-4e98-92a7-f642ce49e866.jpg.296x216.jpg', '北一环 元一时代广场 电梯房 长淮地铁口', '元一时代广场  | 4室2厅 | 148.48平米 | 南 北 | 精装', '低楼层(共28层)2002年建塔楼  -  胜利路', '200万', '单价13470元/平米')
('https://image1.ljcdn.com/340100-inspection/d9de0d3b-7f70-47fa-b804-92c83affeddf.JPG.296x216.jpg', '文一名门皇马D区 3室2厅 107万', '文一名门皇马D区  | 3室2厅 | 95.82平米 | 南 北 | 其他', '低楼层(共8层)暂无数据  -  龙岗', '107万', '单价11167元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload38395b4f-9bc4-4d68-917d-a8f6baa282f4.jpg.296x216.jpg', '南北2居室，带电梯，小区中间位置', '香江世纪名城  | 2室1厅 | 85.88平米 | 南 北 | 简装', '高楼层(共16层)2006年建板楼  -  铜陵路', '108万', '单价12576元/平米')
('https://image1.ljcdn.com/340100-inspection/7b9e4644-e95d-401f-93b0-afeb3a8119cf.jpg.296x216.jpg', '和平盛世一梯一户 家电全送 随时看房 楼层好 90万装修', '和平盛世  | 4室2厅 | 223平米 | 南 北 | 其他', '中楼层(共28层)2012年建塔楼  -  明光路', '475万', '单价21301元/平米')
('https://image1.ljcdn.com/340100-inspection/1ad074fe-656c-4196-8ccf-da5d3d27a975.JPG.296x216.jpg', '皇马花园二期 精装修  户型方正 采光无遮', '皇马花园二期  | 2室2厅 | 85.28平米 | 南 北 | 其他', '高楼层(共11层)2016年建板塔结合  -  龙岗', '104万', '单价12196元/平米')
('https://image1.ljcdn.com/340100-inspection/ac23d859-8daa-4e24-a0b0-656c13af7a4a.JPG.296x216.jpg', '琥珀名城沁园 3室2厅 128万', '琥珀名城沁园  | 3室2厅 | 92.57平米 | 南 北 | 其他', '高楼层(共14层)2009年建塔楼  -  龙岗', '128万', '单价13828元/平米')
('https://image1.ljcdn.com/340100-inspection/86b86e7e-5f86-4358-8aa4-0d76cc25d470.JPG.296x216.jpg', '香江世纪名城 满五唯一 精装修 楼层好  拎包入住', '香江世纪名城  | 2室2厅 | 82.12平米 | 南 北 | 其他', '中楼层(共16层)2006年建板楼  -  铜陵路', '98万', '单价11934元/平米')
('https://image1.ljcdn.com/340100-inspection/7b311780-5804-4277-ad5b-180a980f848f.JPG.296x216.jpg', '鼎元府邸 2室1厅 150万', '鼎元府邸  | 2室1厅 | 73.45平米 | 南 | 其他', '低楼层(共33层)2011年建塔楼  -  和平路', '150万', '单价20423元/平米')
('https://image1.ljcdn.com/340100-inspection/fff4157e-3479-45f3-9a05-d399d619e023.jpg.296x216.jpg', '坝上街通透户型，楼层好，视野开阔，采光充足', '坝上街环球中心  | 3室2厅 | 120.44平米 | 南 北 | 精装', '中楼层(共46层)2014年建塔楼  -  明光路', '228万', '单价18931元/平米')
('https://image1.ljcdn.com/340100-inspection/750c15a0-8a97-4db5-b989-e5a4bef63136.JPG.296x216.jpg', '斯瑞新景苑 2室2厅 95万', '斯瑞新景苑  | 2室2厅 | 88.43平米 | 南 | 其他', '低楼层(共6层)板楼  -  龙岗', '95万', '单价10743元/平米')
('https://image1.ljcdn.com/340100-inspection/9e3b856d-c309-48e7-8924-0466237f2eb6.jpg.296x216.jpg', '小区环境好，采光充足，交通便利，户型正，布局好', '橘郡万绿园  | 2室1厅 | 90.95平米 | 南 | 其他', '低楼层(共6层)2004年建板楼  -  铜陵路', '116万', '单价12755元/平米')
('https://image1.ljcdn.com/340100-inspection/dc85f55b-bb40-4ff4-afd5-2cae25c87057.jpg.296x216.jpg', '利港银河新城 二房朝南 中装拎包入住 看房方便', '利港银河新城  | 2室2厅 | 87.04平米 | 南 | 其他', '低楼层(共18层)2009年建塔楼  -  嘉山路', '126万', '单价14477元/平米')
('https://image1.ljcdn.com/340100-inspection/cc14a325-6674-4c8f-ba5b-25d749ec0a12.JPG.296x216.jpg', '锦和园 2室2厅 115万', '锦和园  | 2室2厅 | 90.9平米 | 南 | 其他', '中楼层(共21层)塔楼  -  红光', '115万', '单价12652元/平米')
('https://image1.ljcdn.com/340100-inspection/2dced482-ea43-4815-9ae9-0f6aada6f77a.jpg.296x216.jpg', '香格里拉花园 精装多层三室 业主诚心卖 随时看房', '香格里拉花园  | 3室2厅 | 97.68平米 | 南 北 | 其他', '高楼层(共6层)2008年建板楼  -  方庙', '143万', '单价14640元/平米')
('https://image1.ljcdn.com/340100-inspection/c453ab03-fd9f-483e-864b-54096759fe50.JPG.296x216.jpg', '金辉枫尚 3室2厅 135万', '金辉枫尚  | 3室2厅 | 95平米 | 南 | 其他', '高楼层(共32层)暂无数据  -  七里站', '135万', '单价14211元/平米')
('https://image1.ljcdn.com/340100-inspection/fd893cb7-d3d2-4a6d-a1be-2d45759aafb8.JPG.296x216.jpg', '元一名城A区南北通透3居看房方便靠谱出售看房提前联系', '元一名城A区  | 3室2厅 | 122.93平米 | 南 北 | 简装', '中楼层(共15层)2007年建板塔结合  -  嘉山路', '178万', '单价14480元/平米')
('https://image1.ljcdn.com/340100-inspection/3a9963e1-6f64-48fe-8f12-140e3f249f98.jpg.296x216.jpg', '华润紫云府 大四居室 环境优美闹中取静 满五低税费', '紫云府  | 4室2厅 | 115.91平米 | 南 北 | 其他', '中楼层(共34层)2012年建板楼  -  三里街', '230万', '单价19843元/平米')
('https://image1.ljcdn.com/340100-inspection/9af65196-3ee8-4095-9efe-915d9ed7c32a.JPG.296x216.jpg', '元一名城C区 3室2厅 182万', '元一名城C区  | 3室2厅 | 128.72平米 | 南 | 其他', '高楼层(共18层)2009年建板楼  -  嘉山路', '182万', '单价14140元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload19589a68-51d9-452f-934f-8544f469368f.jpg.296x216.jpg', '总价低，2居室，全明格局，带电梯', '苹果家园  | 2室1厅 | 73.85平米 | 南 | 其他', '高楼层(共18层)2009年建塔楼  -  方庙', '94万', '单价12729元/平米')
('https://image1.ljcdn.com/340100-inspection/55b07066-abf9-4562-8126-4424c2e24520.jpg.296x216.jpg', '华润紫云府，此房已满5年，可拎包入住，全朝南户型', '紫云府  | 3室2厅 | 92.97平米 | 南 | 精装', '中楼层(共34层)2012年建板楼  -  三里街', '183万', '单价19684元/平米')
('https://image1.ljcdn.com/340100-inspection/cc3b558b-61db-4a13-950f-0ccfdb96d498.JPG.296x216.jpg', '龙岗路 海州景秀世家一期 100平大三房 多层公摊小', '海洲景秀世家  | 3室2厅 | 100.42平米 | 南 北 | 其他', '中楼层(共6层)2012年建板楼  -  龙岗', '126万', '单价12548元/平米')
('https://image1.ljcdn.com/340100-inspection/c3c7e6f3-1e1a-4a02-bc3a-cb0803904fd8.jpg.296x216.jpg', '胜利新村 两居室 采光好 交通便利', '胜利新村  | 2室1厅 | 53.58平米 | 南 | 其他', '中楼层(共6层)2004年建板楼  -  长淮', '66万', '单价12319元/平米')
('https://image1.ljcdn.com/340100-inspection/2a3fa81a-cede-44b1-9b42-05032b1e8119.jpg.296x216.jpg', '南北户型3居室，电梯房，采光充足，单价低', '香格里拉花园  | 3室2厅 | 125.74平米 | 南 北 | 其他', '中楼层(共11层)2008年建板楼  -  方庙', '149万', '单价11850元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadf28213ce-c612-4723-a14a-b12dadab4b33.JPG.296x216.jpg', '隆庭佳苑  包河万达 精装修 两室朝南 采光好', '隆庭佳苑  | 2室2厅 | 84.17平米 | 南 | 其他', '中楼层(共6层)2004年建板楼  -  城东', '123万', '单价14614元/平米')
('https://image1.ljcdn.com/340100-inspection/6d14fba2-53ba-401c-92f8-3d98a0fae314.jpg.296x216.jpg', '东兴小区，此房满五年免增值税，采光视野好', '东兴小区  | 3室1厅 | 85.66平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  长淮', '103万', '单价12025元/平米')
('https://image1.ljcdn.com/340100-inspection/6d4c2a93-e586-42c0-a9ae-9386f209a070.JPG.296x216.jpg', '满五年 户型方正 钻石楼层 自住装修 采光充足', '花溪新村  | 2室1厅 | 57.2平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  铜陵路', '66万', '单价11539元/平米')
('https://image1.ljcdn.com/340100-inspection/66dedfd0-7279-4bbf-ab40-d7c79f7f89be.JPG.296x216.jpg', '大市场旁 香格里拉花园 高层小两房 采光好 户型正', '香格里拉花园  | 2室2厅 | 73.7平米 | 东 北 | 其他', '高楼层(共34层)2008年建塔楼  -  方庙', '92万', '单价12484元/平米')
('https://image1.ljcdn.com/340100-inspection/c24064d5-9604-4651-bd2b-5420bd088373.JPG.296x216.jpg', '恒盛豪庭 3室2厅 268万', '恒盛豪庭  | 3室2厅 | 135.58平米 | 南 | 其他', '高楼层(共31层)2011年建塔楼  -  和平路', '268万', '单价19767元/平米')
('https://image1.ljcdn.com/340100-inspection/efb1830d-9028-4ed5-bb71-0533778155ea.JPG.296x216.jpg', '瑞泰江南，南北通透，采光无遮挡 精装修', '瑞泰江南  | 3室2厅 | 92.81平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  龙岗', '125万', '单价13469元/平米')
('https://image1.ljcdn.com/340100-inspection/ad0035b9-fd10-4666-8971-4a2f9ffb67c1.JPG.296x216.jpg', '临泉东路 海洲景秀世家 电梯6楼 全南户型 采光好', '海洲景秀世家  | 2室2厅 | 83.47平米 | 南 | 其他', '中楼层(共11层)2012年建板楼  -  龙岗', '103万', '单价12340元/平米')
('https://image1.ljcdn.com/340100-inspection/0b0f77d3-1e36-439b-9aa3-4472d04ee39d.JPG.296x216.jpg', '斯瑞新景苑 多层大三居 公摊小 采光无遮挡 小区环境好', '斯瑞新景苑  | 3室1厅 | 102.77平米 | 南 | 简装', '高楼层(共6层)板楼  -  龙岗', '97万', '单价9439元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload9ec74f45-8409-4383-a232-8711827c642f.jpg.296x216.jpg', '信地城市广场 价格低 户型方正 交通方便', '信地城市广场  | 2室2厅 | 52.27平米 | 北 | 其他', '高楼层(共20层)2011年建塔楼  -  长淮', '83万', '单价15880元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload455cf7d8-a6e1-4c84-a5e2-11758057bea8.JPG.296x216.jpg', '鸿兴苑 3室2厅 95万', '鸿兴苑  | 3室2厅 | 91.28平米 | 南 | 其他', '高楼层(共18层)塔楼  -  嘉山路', '95万', '单价10408元/平米')
('https://image1.ljcdn.com/340100-inspection/9082aa6e-0af9-4870-b106-294946aaa2f7.jpg.296x216.jpg', '温莎杰座，户型好，楼层视野开阔，空中花园', '温莎杰座  | 3室2厅 | 152.41平米 | 南 北 | 其他', '低楼层(共29层)2008年建板楼  -  三里街', '165万', '单价10827元/平米')
('https://image1.ljcdn.com/340100-inspection/bf7ad7ca-d0d7-435c-8676-b307278df96e.JPG.296x216.jpg', '长江路 快达小康苑 精装顶复 满五唯一', '快达小康苑  | 5室2厅 | 125.12平米 | 南 北 | 其他', '高楼层(共6层)2005年建板楼  -  铜陵路', '130万', '单价10391元/平米')
('https://image1.ljcdn.com/340100-inspection/d205b3a0-848d-4668-b367-ec79c20ffbc9.JPG.296x216.jpg', '香格里拉花园 交通便利，配套设施齐全，采光充足', '香格里拉花园  | 3室2厅 | 109.08平米 | 南 北 | 其他', '低楼层(共11层)2008年建板楼  -  方庙', '143万', '单价13110元/平米')
('https://image1.ljcdn.com/340100-inspection/86cc118e-3a01-448e-a9a7-cd516cfcb52b.JPG.296x216.jpg', '满两年 一楼带院子 采光没遮挡 总价单价低', '安拖新村  | 2室1厅 | 50.36平米 | 南 | 其他', '低楼层(共5层)2000年建板楼  -  和平路', '55万', '单价10922元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadbb63f300-30d8-4540-ab88-234de788918a.JPG.296x216.jpg', '和平广场 市二院 复式两层 万和新城 大通路小 三十八', '万和新城广场  | 2室2厅 | 58.61平米 | 西 | 其他', '高楼层(共22层)2009年建塔楼  -  和平路', '104万', '单价17745元/平米')
('https://image1.ljcdn.com/340100-inspection/586708c3-558a-40ce-9746-2175116eec63.jpg.296x216.jpg', '琅琊小区，价格低，交通便利，配套成熟', '琅琊小区  | 2室1厅 | 55.4平米 | 南 | 其他', '高楼层(共6层)1997年建板楼  -  三里街', '60万', '单价10831元/平米')
('https://image1.ljcdn.com/340100-inspection/11a4bead-c92c-4649-9e2b-1b09360604a8.JPG.296x216.jpg', '铜陵新村 总价低 两房朝南 小区安静 楼层低 适宜居住', '铜陵新村  | 2室1厅 | 46.02平米 | 南 北 | 简装', '中楼层(共5层)1990年建板楼  -  铜陵路', '45万', '单价9779元/平米')
('https://image1.ljcdn.com/340100-inspection/15037f17-f131-4689-91db-f94b08668f65.jpg.296x216.jpg', '金色梧桐 地铁口 两居室 交通便利 诚心出售', '金色梧桐  | 2室2厅 | 100.47平米 | 南 | 其他', '高楼层(共30层)2011年建塔楼  -  胜利路', '150万', '单价14930元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload6696c8ba-1770-4272-8a26-d5a5664c6bc1.jpg.296x216.jpg', '一楼带院子，公摊小，实际使用率高', '明光小区  | 2室1厅 | 51.55平米 | 南 | 其他', '低楼层(共7层)板楼  -  明光路', '68万', '单价13192元/平米')
('https://image1.ljcdn.com/340100-inspection/a2248ea4-32fb-47f1-89a3-27daf547c696.jpg.296x216.jpg', '2号线地铁口 多层3房 精装修拎包即入住', '瑞泰城市家园  | 3室1厅 | 94.06平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  龙岗', '105万', '单价11164元/平米')
('https://image1.ljcdn.com/340100-inspection/7fb34305-2188-41c4-aeb3-c1ceff271fff.jpg.296x216.jpg', '温莎杰座，满五唯一，2016年品牌精装，拎包入住', '温莎杰座  | 3室2厅 | 122.59平米 | 南 | 其他', '高楼层(共29层)2008年建塔楼  -  三里街', '158万', '单价12889元/平米')
('https://image1.ljcdn.com/340100-inspection/1b6ebc9e-d367-4c3b-a5fb-a25f57aee46e.JPG.296x216.jpg', '满五唯一 南北通透  有钥匙 看房方便', '月亮湾亲水嘉园  | 2室2厅 | 89平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  龙岗', '104万', '单价11686元/平米')
('https://image1.ljcdn.com/340100-inspection/2016ce46-cae3-45b3-9774-d5f3b36edc24.JPG.296x216.jpg', '满二 无增值税 楼层好 户型方正 采光充足', '香江世纪名城  | 2室2厅 | 86.73平米 | 南 | 其他', '低楼层(共6层)2006年建板楼  -  铜陵路', '100万', '单价11531元/平米')
('https://image1.ljcdn.com/340100-inspection/76c62e33-86ff-400b-ac61-451fe6eba931.jpg.296x216.jpg', '圣大国际，简装两居室，高层景观房', '圣大国际  | 2室2厅 | 111.12平米 | 南 | 简装', '高楼层(共30层)塔楼  -  胜利路', '190万', '单价17099元/平米')
('https://image1.ljcdn.com/340100-inspection/588d1aa8-da61-46ae-9532-814ce43f287d.jpg.296x216.jpg', '坝上街精装2居室 楼层高 视野好 业主诚心售房', '坝上街环球中心  | 2室2厅 | 92平米 | 南 | 其他', '中楼层(共46层)2014年建塔楼  -  明光路', '168万', '单价18261元/平米')
('https://image1.ljcdn.com/340100-inspection/4472b2e4-f755-4836-832f-0a80c7f15b31.JPG.296x216.jpg', '万科物业 纯毛坯大三房 户型正气 看房随时', '恒盛豪庭  | 3室2厅 | 132.96平米 | 南 | 其他', '低楼层(共31层)2011年建塔楼  -  和平路', '265万', '单价19931元/平米')
('https://image1.ljcdn.com/340100-inspection/8007869a-1a2a-40b7-ab10-418090279884.jpg.296x216.jpg', '名人御苑 大四房 户型方正 成熟小区环境好 地段好', '名人御苑  | 4室2厅 | 160.87平米 | 南 北 | 其他', '中楼层(共32层)2005年建塔楼  -  长淮', '180万', '单价11190元/平米')
('https://image1.ljcdn.com/340100-inspection/02c94ed1-21de-4c01-8794-8bf3081435d7.JPG.296x216.jpg', '格林馨园 2室2厅 110万', '格林馨园  | 2室2厅 | 105.59平米 | 南 | 其他', '高楼层(共6层)2007年建板楼  -  方庙', '110万', '单价10418元/平米')
('https://image1.ljcdn.com/340100-inspection/eb558f2d-55a5-46e1-bcee-2c8765cf4192.jpg.296x216.jpg', '坝上街环球中心 地铁路段  93平 精装修拎包入住', '坝上街环球中心  | 2室1厅 | 93.65平米 | 南 | 其他', '低楼层(共43层)2014年建塔楼  -  明光路', '175万', '单价18687元/平米')
('https://image1.ljcdn.com/340100-inspection/b710ffe6-ecdd-4042-a34d-4d197e09b9cf.JPG.296x216.jpg', '元一名城 大三居 通透 采光无遮挡', '元一名城C区  | 3室2厅 | 111.88平米 | 南 北 | 其他', '低楼层(共18层)2009年建塔楼  -  嘉山路', '155万', '单价13855元/平米')
