('https://image1.ljcdn.com/shfdfs-image/20171130/86c1bddc-d736-4555-9e2e-6148af580ff6.jpg.296x216.jpg', '2016年次新小区，市中牛B住宅，8/10号地铁全南户型', '复兴珑御  | 2室2厅 | 140平米 | 南 | 精装', '中楼层(共32层)板楼  -  老西门', '1730万', '单价123572元/平米')
('https://image1.ljcdn.com/310000-inspection/test-bb15ceab-36da-44c9-ae9c-ca9ae0769c72.png.296x216.jpg', '06年小区，2梯3户，地铁4/9号线，位置安静，看中好谈', '金日世家  | 2室2厅 | 110.32平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2006年建板楼  -  蓬莱公园', '960万', '单价87020元/平米')
('https://image1.ljcdn.com/310000-inspection/cb31716a-9447-4527-b3f2-8c2abceb6bee.jpg.296x216.jpg', '陆家浜地铁口 新邻生活站 售后公房满五年唯一朝南两房', '陆家浜大楼  | 2室1厅 | 62.27平米 | 南 | 简装 | 有电梯', '高楼层(共15层)1987年建塔楼  -  老西门', '560万', '单价89931元/平米')
('https://image1.ljcdn.com/310000-inspection/68afc54c-688d-485e-9c7d-a53a1899e701.jpg.296x216.jpg', '诚意出售 价格有空间仅此一套 满五唯一 正看空中花园', '金外滩花园  | 2室2厅 | 134.01平米 | 南 北 | 精装 | 有电梯', '低楼层(共27层)板楼  -  黄浦滨江', '1175万', '单价87681元/平米')
('https://image1.ljcdn.com/310000-inspection/2c914421-3f93-4537-a9a7-140b420b5aff.jpg.296x216.jpg', '降价两房+南北户型+单价低+总价低+售后公房+名.额未用', '丽园新村  | 2室1厅 | 56.69平米 | 南 | 简装 | 无电梯', '中楼层(共7层)1980年建板楼  -  五里桥', '420万', '单价74088元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170921/8d1f2c4e-ff3a-4c57-bd6f-4faaa1dd6b8a.jpg.296x216.jpg', '两房朝北全明，厅朝东南，房东诚意卖', '锦绣家园  | 2室2厅 | 100.98平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2000年建板楼  -  蓬莱公园', '790万', '单价78234元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1bc8616f-0fba-4f19-b95d-06a1b007043b.png.296x216.jpg', '新上笋盘+双阳台+楼层佳+精装修+楼栋位置好+房龄新', '蒙西小区  | 2室1厅 | 58.74平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1991年建板楼  -  五里桥', '569万', '单价96868元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161012/8db0b765-8389-4586-865f-21a50327807b.jpg.296x216.jpg', '精装修婚房+诚意出售+拎包入住+可小刀', '东晖花苑  | 2室2厅 | 90.62平米 | 南 | 精装 | 有电梯', '中楼层(共31层)1999年建塔楼  -  打浦桥', '730万', '单价80557元/平米')
('https://image1.ljcdn.com/310000-inspection/b7a15f47-fde3-4f9d-8e6a-e11564adc670.jpg.296x216.jpg', '价格不要设限 精装南北通两房 一线江景 业主出国诚售', '金外滩花园  | 2室2厅 | 134.17平米 | 南 | 精装 | 有电梯', '中楼层(共27层)板楼  -  黄浦滨江', '1450万', '单价108072元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e7b5375f-8db1-4ff7-a0f2-7cd5fa2d9bba.png.296x216.jpg', '送车位+好楼层+一梯两户+我有钥匙+双地铁+素质住户', '银杏家园  | 3室2厅 | 143.67平米 | 南 | 简装 | 有电梯', '高楼层(共21层)2000年建板楼  -  五里桥', '1050万', '单价73085元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fd9e69e4-8e93-47f7-a337-0c4b431832bd.png.296x216.jpg', '新天地、马当小区精装两房、业主诚售、看房方便、', '马当小区  | 2室1厅 | 57.5平米 | 西南 | 精装 | 有电梯', '中楼层(共27层)1992年建塔楼  -  新天地', '640万', '单价111305元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/e8f1dd21-fd2b-4cc1-b84b-ede36bc22963.jpg.296x216.jpg', '绿地开发！9号线小南门地铁口、162平1250万随时看房！', '绿地名人坊  | 3室2厅 | 162.23平米 | 南 | 毛坯 | 有电梯', '低楼层(共17层)2003年建板楼  -  黄浦滨江', '1250万', '单价77052元/平米')
('https://image1.ljcdn.com/310000-inspection/test-2ddcdac1-92d7-4338-ae3f-57bd84966337.png.296x216.jpg', '本月必卖 价格可谈 带地下一层产权车位  位置好', '上海滩花园  | 3室2厅 | 146.65平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2006年建板楼  -  黄浦滨江', '1760万', '单价120014元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fe26af91-7aee-451f-b9e1-d8f8549296df.png.296x216.jpg', '地铁9、13号线＋南北通+高区视野开阔+有车位＋随时看', '汇龙新城  | 3室2厅 | 134.35平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2002年建板楼  -  五里桥', '1370万', '单价101973元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160320/97478a5e-d4f7-43fc-8536-f29d106a92e4.jpg.296x216.jpg', '单价低，电梯房，装修好.........', '西凌新邨  | 2室1厅 | 70.85平米 | 东 | 精装 | 有电梯', '低楼层(共32层)1994年建塔楼  -  蓬莱公园', '560万', '单价79041元/平米')
('https://image1.ljcdn.com/310000-inspection/test-49c2833e-9e63-444c-ae4b-3cda009c3a2f.png.296x216.jpg', '南北通，出行方便，低区出入方便，装修精致', '卢湾都市花园  | 3室2厅 | 143.73平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2004年建板楼  -  五里桥', '1300万', '单价90448元/平米')
('https://image1.ljcdn.com/310000-inspection/test-45434b34-1e75-421b-ba2a-24d91e51a77f.png.296x216.jpg', '建国西路闹中取静的小区+得房率高+配套齐全+满五唯一', '瑞金花园  | 2室2厅 | 104.18平米 | 东南 | 简装 | 有电梯', '高楼层(共20层)1997年建塔楼  -  打浦桥', '850万', '单价81590元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171020/e6dce3c6-8ce3-468e-a1f5-8b1f152dcb1e.jpg.296x216.jpg', '新天地品质小区，满五唯一，全南户型，境外业主诚售。', '济南路8号  | 2室2厅 | 147.97平米 | 南 | 精装 | 有电梯', '低楼层(共31层)塔楼  -  新天地', '1580万', '单价106779元/平米')
('https://image1.ljcdn.com/310000-inspection/test-8b277f5b-d7d0-46bc-bf35-14d5699a2753.png.296x216.jpg', '满五唯一，高区景观房 ，视野无挡，看房方便', '老西门新苑  | 3室2厅 | 197.24平米 | 南 | 精装 | 有电梯', '高楼层(共44层)2006年建板楼  -  老西门', '2100万', '单价106470元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180117/4f021748-9225-4b9d-ac67-2ef49f17c17b.jpg.296x216.jpg', '壹梯两户电梯洋房 业主诚意出售 有地下车位', '明日星城  | 2室2厅 | 99.41平米 | 南 北 | 精装 | 有电梯', '中楼层(共8层)2002年建板楼  -  董家渡', '860万', '单价86511元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180111/bcec9a90-0847-4ac6-9b9d-dd262e3b7315.jpg.296x216.jpg', '豫园旁边位置，正看陆家嘴，高区景观，诚意出售中', '新地苑  | 3室2厅 | 136.18平米 | 西南 | 毛坯 | 有电梯', '高楼层(共29层)1999年建板楼  -  豫园', '980万', '单价71964元/平米')
('https://image1.ljcdn.com/310000-inspection/d9b5aa8e-1204-4772-b96b-dabd2f29460f.jpg.296x216.jpg', '大同二期 高区复式 两年出一套 不靠高架 实用面积大', '大同花园南区  | 3室2厅 | 172.85平米 | 南 | 精装 | 有电梯', '中楼层(共35层)2001年建板楼  -  打浦桥', '1350万', '单价78103元/平米')
('https://image1.ljcdn.com/310000-inspection/596783ae-367e-48eb-a00f-364c68af05c8.jpg.296x216.jpg', '房型正气看空中花园 +业主诚意价格可谈+地铁站很.近', '恒升大厦  | 2室2厅 | 98.63平米 | 东 | 精装 | 有电梯', '低楼层(共26层)塔楼  -  蓬莱公园', '780万', '单价79084元/平米')
('https://image1.ljcdn.com/shfdfs-image/20150828/b1402c09-1047-46f6-85d9-4168b08477d2.jpg.296x216.jpg', '税费低+淡水湾花园永业公寓+13、9号线马当路+业主诚意', '汇龙新城  | 3室2厅 | 145.83平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2002年建板楼  -  五里桥', '1450万', '单价99431元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160916/a8ea5863-d468-4c27-86d2-75e823be946e.jpg.296x216.jpg', '高区电梯房，精装修，采光好视野好，满五维一少税', '西凌新邨  | 1室1厅 | 49.91平米 | 北 | 精装 | 有电梯', '中楼层(共32层)1994年建塔楼  -  蓬莱公园', '395万', '单价79143元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180124/be96151e-248e-4c18-bff3-d48263ac7a0c.jpg.296x216.jpg', '黄浦众鑫城 2室2厅 1050万 (包含产权车位）业主诚意卖', '黄浦众鑫城  | 2室2厅 | 119.98平米 | 南 | 简装 | 有电梯', '中楼层(共29层)2002年建板楼  -  老西门', '1020万', '单价85015元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171001/7ac9c2f5-779d-40ac-b2e7-138e8f0ce37a.jpg.296x216.jpg', '精装电梯两房，厨卫全明，采光无遮挡，配套成熟', '达新大楼  | 2室1厅 | 76平米 | 南 | 精装 | 有电梯', '低楼层(共15层)1992年建板楼  -  五里桥', '550万', '单价72369元/平米')
('https://image1.ljcdn.com/310000-inspection/test-ba067549-fda7-400d-971e-5aa3cc46e698.png.296x216.jpg', '陕西南路诚意出售，到价就签，看房方便，交通发达', '步高苑  | 3室2厅 | 152.13平米 | 东南 | 精装 | 有电梯', '高楼层(共27层)2002年建板楼  -  打浦桥', '1450万', '单价95314元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadf06a02be-40cf-48a3-a1e7-6867f0fe328b.jpg.296x216.jpg', '华润外滩九里 4室3厅4600万', '华润外滩九里  | 4室3厅 | 366.76平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2011年建板楼  -  黄浦滨江', '4300万', '单价117243元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180111/7d8923f6-0871-4497-b76f-c74c6b2f8e42.jpg.296x216.jpg', '满五少税+出门就是8/9号线+户型方正+单价低+看房随时', '兴林公寓  | 3室2厅 | 163.49平米 | 东南 | 精装 | 有电梯', '低楼层(共26层)1999年建塔楼  -  老西门', '1000万', '单价61166元/平米')
('https://image1.ljcdn.com/310000-inspection/e676bf98-9dd4-41ae-a510-d88fa8a7f591.jpg.296x216.jpg', '整栋新里+带天井+看房方便+诚意租售', '万宜坊  | 5室2厅 | 182平米 | 南 | 精装', '低楼层(共1层)暂无数据  -  新天地', '2750万', '单价151099元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161117/806dc186-47cd-4855-9017-c68e4d755eaf.jpg.296x216.jpg', '豫园核.心+近外滩+观陆家嘴景观+复三小·学+全明户型', '佳成大厦(公寓)  | 2室2厅 | 103.17平米 | 东 | 精装 | 有电梯', '高楼层(共17层)2006年建塔楼  -  豫园', '860万', '单价83358元/平米')
('https://image1.ljcdn.com/shfdfs-image/2013/1220/29EDFE6C02FD4312BBF8845C68BFF09F.jpg.296x216.jpg', '淮海晶华苑 3室2厅 2200万', '淮海晶华苑  | 3室2厅 | 213.88平米 | 南 | 精装 | 有电梯', '低楼层(共31层)2006年建板楼  -  新天地', '2200万', '单价102862元/平米')
('https://image1.ljcdn.com/shfdfs-image/20151003/621b49fc-8cc1-468e-8f06-1b8c5b670ae4.jpg.296x216.jpg', '新天地公寓式住宅，全落地窗，采光好，全屋地暖，急售', '济南路8号  | 1室2厅 | 82.74平米 | 东 | 精装 | 有电梯', '中楼层(共31层)塔楼  -  新天地', '1000万', '单价120861元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6fc90acf-9ccc-4423-8040-7736ba46568e.png.296x216.jpg', '业主专属经纪人+人民广场板块+边套新装修+拎包入住', '文海大楼  | 1室1厅 | 65.75平米 | 南 | 精装 | 有电梯', '中楼层(共16层)1990年建塔楼  -  人民广场', '550万', '单价83651元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170815/049a9381-3357-4cf6-ae57-06e6bea8453d.jpg.296x216.jpg', '全南户型，带产权车位，业主诚意出售，看房方便！', '翠湖天地御苑  | 2室2厅 | 123.11平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2006年建板楼  -  新天地', '2000万', '单价162457元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1516063e-3576-4d85-89a7-09cfd2a8481e.png.296x216.jpg', '新天地马当小区、高区两房、业主诚售，随时看房有钥匙', '马当小区  | 2室1厅 | 62平米 | 西南 | 精装 | 有电梯', '高楼层(共27层)1992年建塔楼  -  新天地', '585万', '单价94355元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170918/def1a16d-03e7-4d9b-87a0-60fc30394eeb.jpg.296x216.jpg', '花园小区高区景观复式+带地下产权车位+装修好拎包入住', '新家坡园景苑  | 4室2厅 | 164.19平米 | 南 | 精装 | 有电梯', '高楼层(共34层)1999年建板楼  -  五里桥', '1680万', '单价102321元/平米')
('https://image1.ljcdn.com/310000-inspection/test-da82b6c3-4b6c-4351-8dce-2fe904e71519.png.296x216.jpg', '经典三房户型，小区花园景观，带稳定租约，诚意出售', '翠湖天地雅苑  | 3室2厅 | 170.77平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)2003年建板楼  -  新天地', '2550万', '单价149324元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171209/db844f64-78f2-4355-a989-5bfcb7c04354.jpg.296x216.jpg', '中南海小区 楼层适中 满五税少 看房方便 地铁8/9号线', '东方苑  | 2室2厅 | 107.19平米 | 西 | 精装 | 有电梯', '中楼层(共21层)1998年建塔楼  -  蓬莱公园', '800万', '单价74634元/平米')
('https://image1.ljcdn.com/310000-inspection/test-05f551e6-fe28-4087-8e4b-b5162fe05577.png.296x216.jpg', '钥匙房+南北大三房+南北连体大阳台+看房随时+业主诚意', '大同花园南区  | 3室2厅 | 168.41平米 | 南 北 | 简装 | 有电梯', '高楼层(共13层)1999年建板楼  -  打浦桥', '1300万', '单价77193元/平米')
('https://image1.ljcdn.com/310000-inspection/test-d9872e06-d471-4b4b-8b19-9ae7ed253375.png.296x216.jpg', '【全新房未住过人】【带车位】【诚意出售】【可看房】', '翠湖天地隽荟  | 4室2厅 | 288平米 | 南 | 精装', '低楼层(共29层)板楼  -  新天地', '4650万', '单价161459元/平米')
('https://image1.ljcdn.com/310000-inspection/test-13875bb5-594e-4e7f-ab69-f61ac3147312.png.296x216.jpg', '4号线鲁班路地铁口，品质小区高区景观三房，税费各付', '卢湾都市花园  | 3室2厅 | 127平米 | 南 北 | 精装 | 有电梯', '高楼层(共28层)2004年建板楼  -  五里桥', '1120万', '单价88189元/平米')
('https://image1.ljcdn.com/310000-inspection/test-e7f7e008-7d9e-4162-8f40-e4078d17883b.png.296x216.jpg', '黄浦华庭 2室2厅 1050万', '黄浦华庭  | 2室2厅 | 103.19平米 | 南 | 精装 | 有电梯', '中楼层(共28层)2010年建板楼  -  蓬莱公园', '1050万', '单价101755元/平米')
('https://image1.ljcdn.com/310000-inspection/aa66bfa5-ca54-4608-baae-9d2c40dfa7c0.jpg.296x216.jpg', '海琪园 3室2厅 1700万', '海琪园  | 3室2厅 | 168.75平米 | 东 西 | 精装 | 有电梯', '低楼层(共30层)2003年建板楼  -  黄浦滨江', '1700万', '单价100741元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6e03d7b0-0692-4d1d-8fc7-3fddd85afe9a.png.296x216.jpg', '带天井，实用面积大，诚意出售，有钥匙，随时看', '北蒙三小区  | 2室1厅 | 40.6平米 | 东 | 毛坯 | 有电梯', '低楼层(共7层)1989年建板楼  -  五里桥', '336万', '单价82759元/平米')
('https://image1.ljcdn.com/310000-inspection/test-7ab0b1c7-5c1b-4b2b-9a1d-21b99a3dec1e.png.296x216.jpg', '四号线鲁班路南北通两房带朝南天井', '南园新村  | 2室0厅 | 51.34平米 | 南 | 简装 | 无电梯', '低楼层(共6层)1988年建板楼  -  打浦桥', '410万', '单价79860元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_uploadb78a1644-f8c7-4cd8-a753-3cfccd5c442d.jpg.296x216.jpg', '蒙自路601弄 2室1厅 365万', '蒙自路601弄  | 2室1厅 | 51.2平米 | 南 | 毛坯 | 无电梯', '高楼层(共6层)1987年建板楼  -  五里桥', '365万', '单价71290元/平米')
('https://image1.ljcdn.com/shfdfs-image/20180115/8a29f087-db5a-4820-890b-427a1e809c8b.jpg.296x216.jpg', '融创壹号院，随时看，送车位，价格可谈', '融创滨江壹号院  | 3室2厅 | 189.45平米 | 南 | 精装 | 有电梯', '低楼层(共36层)2012年建板楼  -  世博滨江', '2100万', '单价110848元/平米')
('https://image1.ljcdn.com/310000-inspection/test-76407783-a23a-4da7-ba25-f901faaf1ef4.png.296x216.jpg', '满五唯一 4/8双线 高区江景户型正气厨卫全明业主信赖', '金中苑  | 2室1厅 | 79.59平米 | 南 | 简装 | 有电梯', '中楼层(共25层)1997年建塔楼  -  世博滨江', '780万', '单价98003元/平米')
('https://image1.ljcdn.com/310000-inspection/96dc4053-ce1e-4540-b2d1-4ec19c6754a3.jpg.296x216.jpg', '明日星城二期，高区正两房 有产权车位，业主诚意出售', '明日星城  | 2室2厅 | 98.76平米 | 南 | 精装 | 有电梯', '高楼层(共35层)2005年建板楼  -  董家渡', '930万', '单价94168元/平米')
('https://image1.ljcdn.com/310000-inspection/3bdd2b93-8ddb-41cc-94ae-463668e93704.jpg.296x216.jpg', '丽园新村 1室1厅 300万', '丽园新村  | 1室1厅 | 36.37平米 | 南 | 精装 | 无电梯', '中楼层(共6层)1981年建板楼  -  五里桥', '300万', '单价82486元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170713/6c19f5cd-587d-4b64-b6c1-2241bdaf65fc.jpg.296x216.jpg', '翠湖天地御苑 3室2厅 2880万', '翠湖天地御苑  | 3室2厅 | 193.56平米 | 北 | 精装 | 有电梯', '中楼层(共28层)2006年建板楼  -  新天地', '2880万', '单价148792元/平米')
('https://image1.ljcdn.com/310000-inspection/test-6905066a-86a3-4227-b021-47142281838a.png.296x216.jpg', '高区全南，视野好，采光好，诚意出售', '百汇大厦  | 2室1厅 | 78.64平米 | 暂无数据 | 简装 | 有电梯', '中楼层(共23层)1994年建塔楼  -  五里桥', '730万', '单价92829元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload48008070-7aa0-4186-ae8d-7031f8721cc5.jpg.296x216.jpg', '满五唯一！城铁半支烟！高区无遮挡！一室半！看房方便', '西凌新邨  | 1室1厅 | 39.69平米 | 南 | 简装 | 有电梯', '高楼层(共7层)1990年建板楼  -  蓬莱公园', '305万', '单价76846元/平米')
('https://image1.ljcdn.com/310000-inspection/test-9f782b42-855e-4656-b2e9-666efb99564e.png.296x216.jpg', '满五唯一诚意出售，南北通两南一北，三房户型。', '海悦花园  | 3室2厅 | 148.68平米 | 南 北 | 精装 | 有电梯', '中楼层(共37层)2004年建板楼  -  打浦桥', '1430万', '单价96180元/平米')
('https://image1.ljcdn.com/310000-inspection/test-59dc4dee-75ce-42c6-b130-5ef33379204b.png.296x216.jpg', '双南高区两房一厅+满五唯一个税免 户型正气+采光全天', '康瞿小区  | 2室1厅 | 68.45平米 | 南 | 其他 | 有电梯', '中楼层(共20层)1990年建塔楼  -  打浦桥', '520万', '单价75968元/平米')
('https://image1.ljcdn.com/310000-inspection/test-45c93bda-d59f-42ae-8b96-a9af37b9a4cb.png.296x216.jpg', '近地铁+小户型总价低+拎包入住+看房有钥匙', '瞿溪新村  | 1室0厅 | 28.21平米 | 南 | 简装 | 无电梯', '低楼层(共5层)1964年建板楼  -  世博滨江', '245万', '单价86849元/平米')
('https://image1.ljcdn.com/310000-inspection/test-c526efed-d09f-4eca-a4ca-1d09f0739907.png.296x216.jpg', '赠送双天井，大天井11平小天井3平过道2.5平实际74.7平', '蒙西小区  | 2室1厅 | 59平米 | 南 | 简装 | 无电梯', '低楼层(共7层)1991年建板楼  -  五里桥', '535万', '单价90678元/平米')
('https://image1.ljcdn.com/310000-inspection/test-1c01e1ce-34c8-4d85-b7e3-823b271f127d.png.296x216.jpg', '白玉兰家园 2室2厅 1100万', '白玉兰家园  | 2室2厅 | 111.31平米 | 南 | 简装 | 有电梯', '低楼层(共13层)2001年建板楼  -  世博滨江', '1100万', '单价98824元/平米')
('https://image1.ljcdn.com/310000-inspection/de4ca93c-b3af-4054-bc13-025f9cb82acd.jpg.296x216.jpg', '笋盘。四号线鲁班路。精品装修。全屋地暖。房型方正。', '江南新苑  | 3室1厅 | 81.46平米 | 南 | 其他 | 有电梯', '中楼层(共30层)1997年建塔楼  -  五里桥', '695万', '单价85318元/平米')
('https://image1.ljcdn.com/310000-inspection/test-fead7261-3b9a-4636-b455-b12d24588b4f.png.296x216.jpg', '2008年小区，高区景观房，正看城隍庙，南北通户型', '士林华苑  | 3室2厅 | 155.92平米 | 南 | 精装 | 有电梯', '高楼层(共25层)2007年建板楼  -  豫园', '1500万', '单价96204元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/54a5a95d-48bc-4560-9fb3-715c89fa1d74.png.280x210.jpg', '陆家浜路413弄 1室1厅 330万', '陆家浜路413弄  | 1室1厅 | 41.42平米 | 南 | 简装 | 无电梯', '高楼层(共6层)1978年建板楼  -  董家渡', '330万', '单价79672元/平米')
('https://image1.ljcdn.com/shfdfs-image/20170707/5b6138d1-dd73-4cf6-aef0-5f2106857692.jpg.296x216.jpg', '延安中路527号 满五年唯一 售后公房 诚意出售', '延安中路527号  | 2室1厅 | 52.48平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)1977年建板楼  -  淮海中路', '430万', '单价81936元/平米')
('https://image1.ljcdn.com/310000-inspection/test-544b1099-1574-41f5-8da6-9ccfc9d69ef0.png.296x216.jpg', '人民广场+苏州河沿岸+闹中取静+景观房+南北大3房+精装', '家化中房苑  | 3室2厅 | 154.03平米 | 南 北 | 精装 | 有电梯', '中楼层(共24层)2003年建板楼  -  人民广场', '1100万', '单价71415元/平米')
('https://image1.ljcdn.com/shfdfs-image/20160718/753c30ce-a46c-47a6-a23b-5167adb4ccd1.jpg.296x216.jpg', '上外边、观景2房，满五税少+变现移民诚售', '欣安基公寓,  | 2室2厅 | 96.77平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2001年建板楼  -  世博滨江', '1150万', '单价118839元/平米')
('https://image1.ljcdn.com/310000-inspection/rsp_pic_upload2850ccc2-d077-4e8f-ad4b-9b128964284f.jpg.296x216.jpg', '电梯房，满五唯一，税费少，单价低，诚意卖', '文海大楼  | 2室1厅 | 87.18平米 | 东 | 精装 | 有电梯', '低楼层(共16层)1990年建塔楼  -  人民广场', '595万', '单价68250元/平米')
('https://image1.ljcdn.com/shfdfs-image/20161012/046459fe-da25-4a0b-a352-fd133e6cfa63.jpg.296x216.jpg', '房东急售！，稀/缺朝南三房，看房随时 价格空间大', '新家坡园景苑  | 3室2厅 | 114.35平米 | 南 | 精装 | 有电梯', '低楼层(共34层)1999年建塔楼  -  五里桥', '980万', '单价85702元/平米')
('https://image1.ljcdn.com/shfdfs-image/20171118/ff7fa88a-08d9-4e90-b1e0-7214b8029b9a.jpg.296x216.jpg', '董家渡金融城旁，近地铁4号线，精装修，拎包入住。', '秀水苑(黄浦)  | 2室2厅 | 94.5平米 | 暂无数据 | 精装 | 有电梯', '中楼层(共24层)1998年建塔楼  -  董家渡', '760万', '单价80424元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/97f014c6-5a64-45d1-937f-59d570a67db9.png.280x210.jpg', '茂名南路99年竣工+小复式朝南带阁楼带地下固定车位', '茂名坊  | 2室1厅 | 50.55平米 | 南 | 简装 | 无电梯', '高楼层(共5层)1999年建板楼  -  淮海中路', '560万', '单价110782元/平米')
