('https://image1.ljcdn.com/610100-inspection/f45f11cd-1807-4376-bd53-a2e2e5aa712d.jpg.296x216.jpg', '配套齐全，教育医疗交通都很方便 标准两居室', '御锦城V青年  ', '中楼层(共34层)塔楼  -  浐灞', '103万', '单价14110元/平米')
('https://image1.ljcdn.com/610100-inspection/4071c113-7fd3-4297-a835-6526f3220b8f.jpg.296x216.jpg', '御锦城二期 四室两厅 采光充足 业主诚心出售 随时签', '御锦城鹭湾  ', '低楼层(共34层)板塔结合  -  浐灞', '270万', '单价17718元/平米')
('https://image1.ljcdn.com/610100-inspection/3fe9ef2b-eb83-49d5-b9f6-dd1f2678b497.jpg.296x216.jpg', '御锦城萨拉曼卡，4室2厅2卫，毛坯，诚意出售', '御锦城萨拉曼卡  ', '中楼层(共9层)板楼  -  浐灞', '310万', '单价19789元/平米')
('https://image1.ljcdn.com/610100-inspection/c47fa754-53ab-4ac1-814a-9de635c0ae5f.jpg.296x216.jpg', '龙湖香醍四居，南北通透，二跃三，精装修。', '龙湖香醍国际社区  ', '低楼层(共10层)板楼  -  浐灞', '430万', '单价20431元/平米')
('https://image1.ljcdn.com/610100-inspection/06e4c66b-ae27-4ed7-b440-1153d7e81a7d.jpg.296x216.jpg', '罗马花园南北向，卧室南北透通，满三满二', '东方罗马花园  ', '中楼层(共16层)板塔结合  -  浐灞', '90万', '单价20970元/平米')
('https://image1.ljcdn.com/610100-inspection/06f69be3-8c78-4d96-9ccb-7b2ca883fbb4.jpg.296x216.jpg', '此房满三满二，楼层好，产证在手，过户方便，临浐河', '水岸东方1期  ', '中楼层(共25层)板楼  -  浐灞', '175万', '单价13888元/平米')
('https://image1.ljcdn.com/610100-inspection/0486fcba-9ce7-4a6f-a4d0-da858190ca9f.jpg.296x216.jpg', '沁水新城 新房未住人 精装两室 诚心出售 方便看房', '沁水新城  ', '低楼层(共24层)板塔结合  -  浐灞', '145万', '单价14005元/平米')
('https://image1.ljcdn.com/610100-inspection/bf2017a4-16f0-49d0-be65-899bc7822313.jpg.296x216.jpg', '铁一中跟前花园洋房 南北四居室 业主诚心出售', '普华浅水湾  ', '低楼层(共7层)板楼  -  浐灞', '300万', '单价14085元/平米')
('https://image1.ljcdn.com/610100-inspection/c042ba4f-b628-4b46-ba82-945e651a80ba.jpg.296x216.jpg', '地鉄口，浐灞生态区，精装三室，产权清晰，看房方便', '浐灞半岛A10区  ', '低楼层(共23层)板塔结合  -  浐灞', '183万', '单价12920元/平米')
('https://image1.ljcdn.com/610100-inspection/1525cfc2-9221-461d-a5b7-c2cb3b42f1b1.jpg.296x216.jpg', '地铁口 恒大绿洲 单价13000 可按揭 湖景房 性 价比高', '恒大绿洲  ', '低楼层(共33层)板塔结合  -  浐灞', '215万', '单价13420元/平米')
('https://image1.ljcdn.com/610100-inspection/57c764df-8c1d-4391-8cbc-ebbc912df247.jpg.296x216.jpg', '御锦城三期 四室南北通透 全明户型采光视野好看房随时', '御锦城V青年  ', '高楼层(共34层)板塔结合  -  浐灞', '170万', '单价13972元/平米')
('https://image1.ljcdn.com/610100-inspection/ff17b772-6aa5-4582-a7f6-e640c0e5b39a.jpg.296x216.jpg', '沁水新城 近地铁 环境优美 大户型', '沁水新城  ', '低楼层(共18层)板塔结合  -  浐灞', '230万', '单价15996元/平米')
('https://image1.ljcdn.com/610100-inspection/48a2240b-948b-43a9-a59b-9f9911a35daf.jpg.296x216.jpg', '罗马嘉园 精装两室 小区环境好 户型方正', '上上墅  ', '高楼层(共18层)板塔结合  -  浐灞', '140万', '单价21773元/平米')
('https://image1.ljcdn.com/610100-inspection/a6d71392-157d-41ac-8581-bd457a1fde35.jpg.296x216.jpg', '精装三居室，小区环境好，业主诚心出售。', '浐灞半岛A11区  ', '高楼层(共27层)板塔结合  -  浐灞', '190万', '单价15200元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploadbe867519-24bd-4f09-8dbc-6f3e7baf92f3.jpg.296x216.jpg', '御锦城二期鹭湾，三室三卫，精装全配出售', '御锦城鹭湾  ', '低楼层(共24层)暂无数据  -  浐灞', '220万', '单价14745元/平米')
('https://image1.ljcdn.com/610100-inspection/4ad64438-0d28-414d-9929-b6989f283372.jpg.296x216.jpg', '沁水新城顶跃带30平露台南北通透精装修花园洋房', '沁水新城  ', '高楼层(共12层)板楼  -  浐灞', '218万', '单价14473元/平米')
('https://image1.ljcdn.com/610100-inspection/6eec81df-bc51-48d3-a6bc-086ca26b2baa.jpg.296x216.jpg', '翠屏湾二期 精装修两室 二楼带超大阁楼 产权清晰', '翠屏湾二期  ', '中楼层(共20层)塔楼  -  浐灞', '99万', '单价20045元/平米')
('https://image1.ljcdn.com/610100-inspection/cddd8b4d-89d2-47c3-98d6-9bf6042ce88e.jpg.296x216.jpg', '半坡地铁口电建四公司紧缺小三室南北通透证在手可按揭', '电建社区(纺建路)  ', '中楼层(共7层)板楼  -  浐灞', '82万', '单价9015元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploade97389af-d61f-43d1-8257-c6a6c14114f4.jpg.296x216.jpg', '御 锦 城 萨拉曼卡三室两厅一厨两卫', '御锦城萨拉曼卡  ', '低楼层(共9层)板楼  -  浐灞', '239万', '单价18157元/平米')
('https://image1.ljcdn.com/610100-inspection/e8b8a8d1-d196-485b-962a-ed57667f8237.jpg.296x216.jpg', '上上墅三室两厅两卫，东南位置，全明户型', '上上墅  ', '中楼层(共18层)板塔结合  -  浐灞', '158万', '单价21209元/平米')
('https://image1.ljcdn.com/610100-inspection/9b85d744-f02f-4ee1-a2d5-378d3dc137f7.jpg.296x216.jpg', '城东浐河边 D铁口水岸东方精装4室 带花园带车位  诚售', '水岸东方3期  ', '低楼层(共18层)板塔结合  -  浐灞', '300万', '单价17544元/平米')
('https://image1.ljcdn.com/610100-inspection/341a8cc3-1a4d-459f-82bd-270fdca6792d.jpg.296x216.jpg', '城东桃花潭边桃花潭站纯花园洋房社区可观湖大宅', '振业泊墅  ', '低楼层(共3层)暂无数据  -  浐灞', '650万', '单价25000元/平米')
('https://image1.ljcdn.com/610100-inspection/9959f113-04a6-46cd-b3f8-a0941650b5c6.jpg.296x216.jpg', '翠屏湾西南三居室业主靠谱出售，随时签约', '翠屏湾1期  ', '高楼层(共33层)板塔结合  -  浐灞', '140万', '单价12390元/平米')
('https://image1.ljcdn.com/610100-inspection/3c22fcbd-675c-4a81-ae29-bab85f0ef1de.jpg.296x216.jpg', '御锦城原香 小高层 中间楼层  满三满二 大四室', '御锦城原香  ', '中楼层(共14层)板楼  -  浐灞', '210万', '单价13923元/平米')
('https://image1.ljcdn.com/610100-inspection/b16df863-1d21-41fd-b6e1-f581c5ae37a3.jpg.296x216.jpg', '配套齐全 交通便利 广泰门地铁口', '东方罗马花园  ', '中楼层(共16层)板塔结合  -  浐灞', '95万', '单价22176元/平米')
('https://image1.ljcdn.com/610100-inspection/3d8467cb-aa35-458b-b496-752fb8be8a87.jpg.296x216.jpg', '御锦城鹭湾 两室纯南 满三过二 精装 看房随时', '御锦城鹭湾  ', '低楼层(共34层)板塔结合  -  浐灞', '113万', '单价14544元/平米')
('https://image1.ljcdn.com/610100-inspection/fd46de53-940c-4fd1-8458-857d17661054.jpg.296x216.jpg', '龙湖香醍二期。中间楼层，环保装修，品牌家具家电全带', '龙湖香醍国际社区  ', '中楼层(共31层)板塔结合  -  浐灞', '220万', '单价18586元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload9ec3bac8-ba5b-414b-a21f-6b474783b91b.jpg.296x216.jpg', '地铁三号线  东方罗马花园  两室精装  正在手可按揭', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '146万', '单价26212元/平米')
('https://image1.ljcdn.com/610100-inspection/c0b1998e-30a1-4d42-b083-362658afcd8e.jpg.296x216.jpg', '罗马花园  南向两居 有钥匙随时看房', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '100万', '单价20053元/平米')
('https://image1.ljcdn.com/610100-inspection/e0119a27-72ce-493e-9373-bddd315d1cf4.jpg.296x216.jpg', '两室全配，近广泰门地铁，配套成熟 小区环境好', '上上墅  ', '中楼层(共18层)塔楼  -  浐灞', '90万', '单价20257元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload68066437-a426-459c-95f6-4667a8cee7a3.jpg.296x216.jpg', '浐灞半岛 精装上叠别墅 南北通透 采光充足', '浐灞半岛A11区  ', '中楼层(共4层)暂无数据  -  浐灞', '328万', '单价20714元/平米')
('https://image1.ljcdn.com/610100-inspection/bd6600d8-79dd-48a7-a9f0-e4c93c888bc3.jpg.296x216.jpg', '浐灞浐河边，3号线桃花潭地铁口', '振业泊墅  ', '低楼层(共32层)板楼  -  浐灞', '436万', '单价16578元/平米')
('https://image1.ljcdn.com/610100-inspection/dfab068d-0c2d-402b-b83d-0f39e1d0416b.jpg.296x216.jpg', '满三不满二，业主靠谱出售，随时可签约', '灞业大境  ', '低楼层(共32层)暂无数据  -  浐灞', '200万', '单价16246元/平米')
('https://image1.ljcdn.com/610100-inspection/5cb62338-0871-4e95-ad6f-a990688db427.jpg.296x216.jpg', '御锦城萨拉曼卡，花园洋房，叠拼', '御锦城萨拉曼卡  ', '高楼层(共5层)板楼  -  浐灞', '520万', '单价21716元/平米')
('https://image1.ljcdn.com/610100-inspection/24c15128-8b3d-41e5-aa73-dbf2133f3140.jpg.296x216.jpg', '纯南精装婚房！拎包入住温馨两室！', '翠屏湾1期  ', '高楼层(共18层)板楼  -  浐灞', '133万', '单价14867元/平米')
('https://image1.ljcdn.com/610100-inspection/test-55d121d1-1e3c-422d-b5ad-7fa420978b42.png.296x216.jpg', '满三满二，湖景房，简装空房，交通便利，小区环境好.', '浐灞半岛A6区  ', '中楼层(共18层)塔楼  -  浐灞', '120万', '单价13663元/平米')
('https://image1.ljcdn.com/610100-inspection/8143f90d-f439-4c41-8695-8a4d80ebd3e4.jpg.296x216.jpg', '御锦城萨拉曼卡 底跃精装洋房 东郊教育社区 750万', '御锦城萨拉曼卡  ', '低楼层(共6层)暂无数据  -  浐灞', '750万', '单价24720元/平米')
('https://image1.ljcdn.com/610100-inspection/cd26f566-df5c-4385-bb45-c488031b55b8.jpg.296x216.jpg', '满三满二  朝南户型  采光好  靠谱出售', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '100万', '单价18794元/平米')
('https://image1.ljcdn.com/610100-inspection/6b8d2d50-cf0c-443f-810d-419fd5c680bc.jpg.296x216.jpg', '翠屏湾精致两居 精装朝南 交通便利 环境舒适', '翠屏湾二期  ', '高楼层(共20层)塔楼  -  浐灞', '102万', '单价20703元/平米')
('https://image1.ljcdn.com/610100-inspection/f9d11038-c113-4ba1-bad7-ae7d1874809c.jpg.296x216.jpg', '浐河边 风景优美  毛坯四居室 业主诚意出售', '檀香园  ', '高楼层(共11层)板楼  -  浐灞', '240万', '单价16598元/平米')
('https://image1.ljcdn.com/610100-inspection/254a18d6-478c-4425-9be5-71c93fa32d4e.jpg.296x216.jpg', '三环里 精装小三室 业主自住 房子保持很干净 景观房', '沁水新城  ', '低楼层(共18层)板塔结合  -  浐灞', '160万', '单价14433元/平米')
('https://image1.ljcdn.com/610100-inspection/ad19f341-6102-4132-b8b2-ba779854e403.jpg.296x216.jpg', '55平米大两居，低楼层不用担心电梯拥挤', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '110万', '单价20511元/平米')
('https://image1.ljcdn.com/610100-inspection/e55037df-b466-4f4d-95b7-6281247e117a.jpg.296x216.jpg', '灞桥区玄武东路上上墅复式南北通透两居，诚心出售。', '上上墅  ', '中楼层(共16层)暂无数据  -  浐灞', '105万', '单价23236元/平米')
('https://image1.ljcdn.com/610100-inspection/c7638232-6634-4d88-82dd-f9207770e3e9.jpg.296x216.jpg', '御锦城二期萨拉曼卡，精装修，满五满二，随时可看', '御锦城萨拉曼卡  ', '高楼层(共8层)板楼  -  浐灞', '320万', '单价21477元/平米')
('https://image1.ljcdn.com/610100-inspection/2ceee6e8-375c-4946-8a21-81ee35729e5b.jpg.296x216.jpg', '翠屏湾二期满五满二精装南北通透大三居！！！！!', '翠屏湾二期  ', '低楼层(共18层)板楼  -  浐灞', '142万', '单价12778元/平米')
('https://image1.ljcdn.com/610100-inspection/test-c2bcc842-70ea-4611-b9e4-7b82c8531b30.png.296x216.jpg', '诚意出售 等有缘人 景观位置 采光好 面积无浪费', '沁水新城  ', '高楼层(共18层)板塔结合  -  浐灞', '128万', '单价13220元/平米')
('https://image1.ljcdn.com/610100-inspection/c1680c95-b2db-4aa1-b821-74f28e6352b7.jpg.296x216.jpg', '浐灞半岛藏珑别墅，双拼别墅，直观湖景', '浐灞半岛A11区  ', '低楼层(共2层)暂无数据  -  浐灞', '980万', '单价31922元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload284cc0b4-ceda-42bd-963d-307f9b856f26.jpg.296x216.jpg', '龙湖香醍花园洋房 顶跃毛坯 四居室业主诚售 可看房', '龙湖香醍国际社区  ', '高楼层(共6层)板楼  -  浐灞', '435万', '单价19240元/平米')
('https://image1.ljcdn.com/610100-inspection/ee0dce07-b730-40dd-aba7-9f4d0569bc69.jpg.296x216.jpg', '满五满二，小区环境好, 交通便利，', '东方罗马花园  ', '低楼层(共16层)板塔结合  -  浐灞', '127万', '单价18959元/平米')
('https://image1.ljcdn.com/610100-inspection/69393478-f144-4641-b7f6-6a9d65d7d805.jpg.296x216.jpg', '满五唯一，南北通透，房本在手，随时可签', '高科绿水东城  ', '低楼层(共33层)暂无数据  -  浐灞', '150万', '单价13283元/平米')
('https://image1.ljcdn.com/610100-inspection/c54824b7-c39f-4faf-bd93-362592a85b78.jpg.296x216.jpg', '翠屏湾二期精装复式两居，带家具家电', '翠屏湾二期  ', '中楼层(共20层)板楼  -  浐灞', '96万', '单价19473元/平米')
('https://image1.ljcdn.com/610100-inspection/b46e726b-bac8-46e2-a3fc-02f8e55ae5e3.jpg.296x216.jpg', '现代花城三室两厅两卫，精装修，业主诚心出售', '现代花城  ', '中楼层(共32层)塔楼  -  浐灞', '162.8万', '单价11027元/平米')
('https://image1.ljcdn.com/610100-inspection/7b6e68d5-601b-440a-8e0f-efcfa77bd963.jpg.296x216.jpg', '香江湾 毛坯两室 满五满二 业主急售 灞河边', '香江湾  ', '低楼层(共32层)板楼  -  浐灞', '145万', '单价13091元/平米')
('https://image1.ljcdn.com/610100-inspection/a5f179ad-2e77-4650-b55e-f49059e7ce2f.jpg.296x216.jpg', '御锦城5期 三室新房新配，拎包入住 诚心出售，设备全', '御锦城乔治de公园  ', '低楼层(共18层)板塔结合  -  浐灞', '190万', '单价18738元/平米')
('https://image1.ljcdn.com/610100-inspection/aa0150a3-a03e-415d-93d1-29bb50288b9b.jpg.296x216.jpg', '沁水新城，长乐坡地铁口，大两室，房本在手，业主急售', '沁水新城  ', '高楼层(共18层)板塔结合  -  浐灞', '132万', '单价13620元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload5058aa4b-fd99-4006-b849-ba9266030777.jpg.296x216.jpg', '华清园电梯房，满五满二，业主诚心出售，交通便利', '华清园  ', '高楼层(共11层)板塔结合  -  浐灞', '120万', '单价7403元/平米')
('https://image1.ljcdn.com/610100-inspection/69adb69d-9fb6-4e3c-b3e3-6747ec55532a.jpg.296x216.jpg', '东方罗马花园大三居，统一装修，家具家电比较齐全。', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '105万', '单价20589元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload2b6fdc16-70e7-4829-99b2-76a85814be08.jpg.296x216.jpg', '精装三室  大平层 南北通透 低密度洋房', '龙湖香醍国际社区  ', '中楼层(共9层)板楼  -  浐灞', '295万', '单价20705元/平米')
('https://image1.ljcdn.com/610100-inspection/34eb66c5-8aa9-4144-afd3-c848a30ed6df.jpg.296x216.jpg', '地铁口，满五满二精装两室，价格低，急售', '浐灞半岛A6区  ', '低楼层(共18层)塔楼  -  浐灞', '110万', '单价14019元/平米')
('https://image1.ljcdn.com/610100-inspection/31dc3583-19ca-40bc-8fba-c55f6b69e7ee.jpg.296x216.jpg', '龙湖香醍花园洋房  4居毛坯  可塑造性强 业主诚售可看', '龙湖香醍国际社区  ', '低楼层(共9层)暂无数据  -  浐灞', '435万', '单价18062元/平米')
('https://image1.ljcdn.com/610100-inspection/576eb3c9-7810-4f20-915d-8037cda9dffb.jpg.296x216.jpg', '罗马花园复式两居 全明户型 卧室南北通透', '东方罗马花园  ', '高楼层(共16层)板塔结合  -  浐灞', '95万', '单价21865元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploadfb95a40c-075d-4ebe-b9bf-e16dd97b6928.jpg.296x216.jpg', '御锦城鹭湾，改善户型，小高层，简装空房，南北通透', '御锦城鹭湾  ', '低楼层(共34层)板塔结合  -  浐灞', '200万', '单价15268元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_uploada81e4027-9d0c-4521-9a82-058e644e971d.jpg.296x216.jpg', '浐灞半岛别墅区下叠加出售，可按揭，看房方便', '浐灞半岛A11区  ', '低楼层(共4层)暂无数据  -  浐灞', '580万', '单价27606元/平米')
('https://image1.ljcdn.com/610100-inspection/3e2df8f0-07e0-4614-a67d-309d66625558.jpg.296x216.jpg', '上上墅精装复式两居室，业主靠谱出售，价格可谈。', '上上墅  ', '低楼层(共18层)暂无数据  -  浐灞', '100万', '单价21053元/平米')
('https://image1.ljcdn.com/610100-inspection/rsp_pic_upload1ad8d8c8-94e1-433e-98d0-0f23b780a5c5.jpg.296x216.jpg', '翠屏湾二期满五满二，中装装修，小区交通便利环境优美', '翠屏湾二期  ', '高楼层(共20层)塔楼  -  浐灞', '70万', '单价23334元/平米')
('https://image1.ljcdn.com/610100-inspection/96d27923-295a-44ad-bd11-bc587902805a.jpg.296x216.jpg', '三室两厅洋房，精装全配，目前业主自住。', '龙湖香醍国际社区  ', '低楼层(共9层)板塔结合  -  浐灞', '258万', '单价20480元/平米')
('https://image1.ljcdn.com/610100-inspection/02428015-f439-4eaa-8a8f-ebe3eacf7be2.jpg.296x216.jpg', '恒大绿洲  小三居  精装小三居  诚意出售', '恒大绿洲  ', '中楼层(共32层)板塔结合  -  浐灞', '160万', '单价14071元/平米')
('https://image1.ljcdn.com/610100-inspection/95c19c09-93b3-455d-ac9a-ce5f9a602f29.jpg.296x216.jpg', '翠屏湾一居室，外带赠送储存间，使用面积较大。', '翠屏湾二期  ', '中楼层(共20层)板楼  -  浐灞', '57万', '单价19026元/平米')
('https://image1.ljcdn.com/610100-inspection/939d71b8-18d6-49af-9387-ab0690378f81.jpg.296x216.jpg', '龙湖香醍国际社区二期    简装三室    地铁房源', '龙湖香醍国际社区  ', '中楼层(共29层)暂无数据  -  浐灞', '225万', '单价17745元/平米')
('https://image1.ljcdn.com/610100-inspection/1c1f6a39-1ff3-4d02-871e-71cc78cac86b.jpg.296x216.jpg', '三室一厅一厨一卫，业主诚心出售，价格可谈空间不大', '翠屏湾二期  ', '高楼层(共18层)板楼  -  浐灞', '153万', '单价13864元/平米')
('https://image1.ljcdn.com/610100-inspection/eb387511-6a18-489f-afa8-334e69e026c2.jpg.296x216.jpg', '翠屏湾二期复式两居室，精装修。', '翠屏湾二期  ', '高楼层(共20层)塔楼  -  浐灞', '103万', '单价21029元/平米')
('https://image1.ljcdn.com/610100-inspection/3b7b5d9c-0f52-4e84-8e38-b386bf37c7c8.jpg.296x216.jpg', '龙湖香醍  花园洋房 一楼带花园  业主精装自住  诚售', '龙湖香醍国际社区  ', '低楼层(共9层)暂无数据  -  浐灞', '650万', '单价26971元/平米')
('https://image1.ljcdn.com/610100-inspection/feca5bcb-e474-4846-a279-493d7de2b008.jpg.296x216.jpg', '东南朝向精装修，中间楼层，保持很新', '东方罗马花园  ', '中楼层(共10层)板楼  -  浐灞', '116万', '单价20707元/平米')
