('https://image1.ljcdn.com/210200-inspection/test-17f96236-17af-40cd-aa32-b43cc0d2e7a8.png.296x216.jpg', '大华精装修三室,拎包即住,随时看房.', '大华锦绣华城一期  | 3室2厅 | 91.35平米 | 南 北 | 精装 | 有电梯', '高楼层(共30层)2010年建板楼  -  庙岭', '235万', '单价25726元/平米')
('https://image1.ljcdn.com/210200-inspection/a858ad7e-23b2-4be0-8631-eba8620028a8.JPG.296x216.jpg', '新新园一期 4室2厅 190万', '新新园一期  | 4室2厅 | 160.74平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  庙岭', '190万', '单价11821元/平米')
('https://image1.ljcdn.com/210200-inspection/test-da38242e-7fa4-4933-b4f7-e88e4f407b03.png.296x216.jpg', '近软件园非顶楼南向两室总房款低看房方便', '由家村  | 2室1厅 | 62.8平米 | 南 | 简装 | 无电梯', '高楼层(共7层)1990年建板楼  -  软件园', '76万', '单价12102元/平米')
('https://image1.ljcdn.com/210200-inspection/5cd5aaac-7ffa-4696-9d99-3a5811d40a23.jpg.296x216.jpg', '高新园区此房满五年唯一房产手续清晰富丽华物业不把边', '壹品漫谷  | 3室1厅 | 128.02平米 | 南 北 | 精装 | 有电梯', '高楼层(共15层)2008年建板楼  -  凌水', '255万', '单价19919元/平米')
('https://image1.ljcdn.com/210200-inspection/7e892d0c-e7ff-411a-bfda-841a55a095ec.jpg.296x216.jpg', '亿达峦翠园 2室1厅 143万', '亿达峦翠园  | 2室1厅 | 66.84平米 | 南 | 简装 | 有电梯', '低楼层(共25层)2010年建板楼  -  庙岭', '143万', '单价21395元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploade4033689-9700-4328-84d1-964a1de8193b.jpg.296x216.jpg', '大华锦绣华城四期 4室2厅 240万', '大华锦绣华城四期  | 4室2厅 | 77.54平米 | 南 | 精装 | 有电梯', '低楼层(共30层)2015年建板楼  -  庙岭', '240万', '单价30952元/平米')
('https://image1.ljcdn.com/210200-inspection/f48a3bed-5484-4689-abcb-4e7c87ab50dd.jpg.296x216.jpg', '因特摩尔 3室1厅 139万', '因特摩尔  | 3室1厅 | 80平米 | 南 | 精装 | 有电梯', '高楼层(共30层)2011年建塔楼  -  万达', '139万', '单价17375元/平米')
('https://image1.ljcdn.com/210200-inspection/test-3997bc10-e58e-42f9-aff3-c8193be055bc.png.296x216.jpg', '弘基书香园二期多层两室全明户型保持干净提包可入住', '弘基二期  | 2室2厅 | 100.23平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2003年建板楼  -  学府', '245万', '单价24444元/平米')
('https://image1.ljcdn.com/210200-inspection/591ecdc7-1568-4f37-9ad0-1cbff9e52932.JPG.296x216.jpg', '壹品漫谷多层洋房四室两厅两卫精装修中间楼层带露台', '壹品漫谷  | 4室2厅 | 145.16平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2008年建板楼  -  凌水', '290万', '单价19978元/平米')
('https://image1.ljcdn.com/210200-inspection/ead4457b-f9b2-4308-a70e-a7b4b3c82fdd.JPG.296x216.jpg', '高新园区次新房三居室小高层精装诚心出售', '第8区  | 3室1厅 | 94平米 | 南 北 | 精装 | 有电梯', '高楼层(共12层)2012年建板楼  -  万达', '210万', '单价22341元/平米')
('https://image1.ljcdn.com/210200-inspection/4e99d4c7-1edc-4e98-a1c5-28f476fa31b1.jpg.296x216.jpg', '双语九年两室南北通透中间楼层好房源', '双语学校  | 2室1厅 | 56.97平米 | 南 北 | 简装 | 无电梯', '中楼层(共7层)2000年建板楼  -  软件园', '128万', '单价22468元/平米')
('https://image1.ljcdn.com/210200-inspection/09a443bb-53fe-4ae5-950f-8fd65d213fef.JPG.296x216.jpg', '菁英汇 2室1厅 123万', '菁英汇  | 2室1厅 | 51.61平米 | 西北 北 | 精装 | 有电梯', '高楼层(共18层)2007年建板楼  -  万达', '123万', '单价23833元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f0ed8f5a-5d64-42fe-b8f2-02bb8c03553b.png.296x216.jpg', '南北向两室两厅 户型好 采光充足 理工家属楼', '新新园二期  | 2室2厅 | 84.29平米 | 南 北 | 简装 | 有电梯', '中楼层(共12层)2005年建板楼  -  庙岭', '132万', '单价15661元/平米')
('https://image1.ljcdn.com/210200-inspection/eb4eebb3-3d3e-4f4c-802a-fc655c861df1.JPG.296x216.jpg', '山海一家一期业主自改小两室看房方便有钥匙', '山海一家一期  | 2室1厅 | 50.75平米 | 东南 | 简装 | 有电梯', '中楼层(共16层)2005年建塔楼  -  万达', '75万', '单价14779元/平米')
('https://image1.ljcdn.com/210200-inspection/test-3a30bc9e-22da-41e1-99e2-8cd5994177e0.png.296x216.jpg', '文萃轩 婚装 南北通厅 适合陪读 自住', '文萃轩小区  | 2室1厅 | 61.73平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)1990年建板楼  -  学府', '110万', '单价17820元/平米')
('https://image1.ljcdn.com/210200-inspection/test-ebff9458-81bd-4020-83c9-75e5fdaeff3f.png.296x216.jpg', '大华锦绣华城三期 2室2厅 186万', '大华锦绣华城三期  | 2室2厅 | 78.8平米 | 南 | 其他 | 有电梯', '中楼层(共28层)2012年建板楼  -  庙岭', '186万', '单价23605元/平米')
('https://image1.ljcdn.com/210200-inspection/test-9ffadebf-1196-4d16-906d-e8c64bb342fc.png.296x216.jpg', '软景E居 1室0厅 125万', '软景E居  | 1室0厅 | 47.41平米 | 东北 | 精装 | 有电梯', '中楼层(共31层)2011年建板楼  -  软件园', '125万', '单价26366元/平米')
('https://image1.ljcdn.com/210200-inspection/f6fa1d4d-d0d6-4f85-bdbb-635d9ff40890.jpg.296x216.jpg', '大有恬园 3室2厅 235万', '大有恬园  | 3室2厅 | 132.23平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2010年建板楼  -  凌水', '235万', '单价17773元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploada77e7cda-75f5-4357-84b1-656da810c46e.jpg.296x216.jpg', '大华锦绣华城一期 精装修 小三室 采光好 拎包即住', '大华锦绣华城一期  | 3室2厅 | 97.02平米 | 南 北 | 精装 | 有电梯', '中楼层(共26层)2010年建板楼  -  庙岭', '227万', '单价23398元/平米')
('https://image1.ljcdn.com/210200-inspection/dfc6dda8-30ed-4724-982f-4b2b044a5c6c.jpg.296x216.jpg', '硅谷假日 多层洋房中间楼层 视野好 采光好 南北通透。', '硅谷假日  | 2室2厅 | 99.22平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  万达', '186万', '单价18747元/平米')
('https://image1.ljcdn.com/210200-inspection/test-fa9ebdc2-3a31-409c-b356-1b15fbdedc4e.png.296x216.jpg', '中铁旁半山坡下 海景房 刚需2室 赠送车位 看房方便', '海创半山壹号  | 2室2厅 | 88.34平米 | 南 北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  七贤岭', '165万', '单价18678元/平米')
('https://image1.ljcdn.com/210200-inspection/81a7af88-4fe1-4074-9b56-c4dafea9d7f3.jpg.296x216.jpg', '高新园区精装两室，高楼层可看海，拎包即住', '海逸诺丁山  | 2室1厅 | 65.65平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2015年建板楼  -  万达', '135万', '单价20564元/平米')
('https://image1.ljcdn.com/210200-inspection/003d659c-cff1-4d36-8117-f1fed2032a52.JPG.296x216.jpg', '高新园区精装修两室带电梯 交通方便', '山海一家一期  | 2室1厅 | 69.85平米 | 东 西北 | 精装 | 有电梯', '低楼层(共16层)2005年建塔楼  -  万达', '93万', '单价13315元/平米')
('https://image1.ljcdn.com/210200-inspection/test-12625d32-d047-4a4d-abbc-e9da14b8aeb6.png.296x216.jpg', '三期总房款低 看房方便采光好，视野好', '弘基三期  | 3室2厅 | 81.82平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2005年建板楼  -  学府', '160万', '单价19556元/平米')
('https://image1.ljcdn.com/210200-inspection/7e2c2990-5d63-4b11-9188-05ebe890b79a.jpg.296x216.jpg', '理工附属学 校，带大花园，南北通透，纯地上下跃产品', '亿达普罗旺斯二期  | 4室2厅 | 132.88平米 | 南 北 | 精装', '低楼层(共10层)2014年建板楼  -  小平岛', '430万', '单价32361元/平米')
('https://image1.ljcdn.com/210200-inspection/03ada8b5-46af-4af6-9b62-e81f70a56b36.JPG.296x216.jpg', '普罗旺斯三室两厅两卫南北通透五明户型', '亿达普罗旺斯  | 3室2厅 | 160平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共5层)2014年建板楼  -  小平岛', '305万', '单价19063元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload139ce020-6c12-47bf-8a11-836c8cad7086.JPG.296x216.jpg', '名仕乐居 2室1厅 195万', '名仕乐居  | 2室1厅 | 98.4平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2008年建板楼  -  学府', '195万', '单价19818元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadd8a371ce-bc4f-43d5-91a1-09af90bb969f.jpg.296x216.jpg', '房子精装修保持好,南北通透2室五明户型位置好前排', '大有文园  | 2室2厅 | 87.61平米 | 南 北 | 精装 | 有电梯', '中楼层(共11层)2012年建板楼  -  凌水', '180万', '单价20546元/平米')
('https://image1.ljcdn.com/210200-inspection/21d9a0e0-b2c0-4dbc-a025-fae680effa61.JPG.296x216.jpg', '菁英汇精装跃层，近万达，交通方便', '菁英汇  | 1室1厅 | 40.86平米 | 北 | 精装 | 有电梯', '中楼层(共18层)2007年建板楼  -  万达', '89万', '单价21782元/平米')
('https://image1.ljcdn.com/210200-inspection/a9e1242e-3988-4d80-a9b5-9a26fa17e672.jpg.296x216.jpg', '南北通透格局，小区前排，全明户型，精装修，配套全。', '大有恬园  | 2室2厅 | 91.74平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2005年建板楼  -  凌水', '185万', '单价20166元/平米')
('https://image1.ljcdn.com/210200-inspection/07c37f6c-adb3-4765-a66e-2a7eb7c28e72.JPG.296x216.jpg', '亿达品质，三室两卫南北通透，中间楼层，无遮挡可看海', '东方圣克拉一期  | 3室2厅 | 169.36平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共26层)2010年建板楼  -  庙岭', '423.4万', '单价25000元/平米')
('https://image1.ljcdn.com/210200-inspection/488d1581-0eef-4815-8ccd-d1e29ca3acc6.JPG.296x216.jpg', '亿达物业 三室精装修 拎包即住 赠送三个阳台 采光足', '亿达学清园  | 3室2厅 | 97.29平米 | 南 北 | 精装 | 无电梯', '高楼层(共5层)2001年建板楼  -  软件园', '210万', '单价21585元/平米')
('https://image1.ljcdn.com/210200-inspection/bab7ab2a-1a4c-40a9-bf12-2d75ead65b9b.JPG.296x216.jpg', '黄浦路沿线小两室 精装修 配套齐全 交通发达 单价低', '山海一家一期  | 2室1厅 | 50.75平米 | 西南 | 精装 | 有电梯', '低楼层(共16层)2005年建塔楼  -  万达', '73万', '单价14385元/平米')
('https://image1.ljcdn.com/210200-inspection/test-498beccc-1bf2-4950-b259-1a281114474b.png.296x216.jpg', '半山坡下 南北通透2室 赠送地下车位 小高层不把边', '海创半山壹号  | 2室2厅 | 91.06平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共11层)2011年建板楼  -  七贤岭', '165万', '单价18120元/平米')
('https://image1.ljcdn.com/210200-inspection/a32b3af5-89a6-4ed2-822e-09b617bdeda4.JPG.296x216.jpg', '弘基一期 多层带电梯 三室二厅户型好', '弘基一期  | 3室2厅 | 132.5平米 | 南 西 北 | 精装 | 有电梯', '中楼层(共8层)2001年建板楼  -  学府', '256万', '单价19321元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9926f736-08cb-470e-ba28-6704429cbd37.jpg.296x216.jpg', '软件园庙岭旁，大华爱琴湾精装南北向两室，交通便利', '大华爱琴湾  | 2室2厅 | 85.61平米 | 南 | 毛坯 | 有电梯', '中楼层(共25层)2010年建板楼  -  庙岭', '163万', '单价19040元/平米')
('https://image1.ljcdn.com/210200-inspection/bdc591f6-63fa-4194-b6eb-02408f5af9fe.jpg.296x216.jpg', '新科花园 2室2厅 178万', '新科花园  | 2室2厅 | 95.22平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)2003年建板楼  -  万达', '178万', '单价18694元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload9ef78f6b-3dc3-4cdc-b6d4-fdbed6c112ae.jpg.296x216.jpg', '大有恬园一期 四室两卫，中间楼层，精装修', '大有恬园  | 4室2厅 | 152.14平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)2010年建板楼  -  凌水', '288万', '单价18930元/平米')
('https://image1.ljcdn.com/210200-inspection/108fdd76-1039-4031-b0a8-7c2a94c42604.JPG.296x216.jpg', '地铁1号线，小户型近万达，品牌装修精装拎包入住', '雯君庭  | 1室1厅 | 48.58平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2013年建塔楼  -  万达', '107万', '单价22026元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d21ee83b-2bf3-4ff7-ae62-82a141dd54c3.png.296x216.jpg', '弘基三期 三室两厅  精装修 近地铁近万达锦辉商圈', '弘基三期  | 3室2厅 | 116.39平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2005年建板楼  -  学府', '245万', '单价21050元/平米')
('https://image1.ljcdn.com/210200-inspection/3f627e77-6297-4f46-ac43-e5608630b7a9.jpg.296x216.jpg', '普罗旺斯二期轻奢三室，舒适宜居品质大盘', '亿达普罗旺斯二期  | 3室2厅 | 168.74平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共30层)2014年建板楼  -  小平岛', '268万', '单价15883元/平米')
('https://image1.ljcdn.com/210200-inspection/test-5297f019-6ae2-4078-8130-fe7a5e025203.png.296x216.jpg', '软件园小区 2室1厅 89万', '软件园小区  | 2室1厅 | 57.89平米 | 南 北 | 简装 | 无电梯', '高楼层(共6层)2000年建板楼  -  软件园', '89万', '单价15374元/平米')
('https://image1.ljcdn.com/210200-inspection/f515ce08-2141-4570-a0f4-ec416d2dfce6.jpg.296x216.jpg', '南北2室精装修近车站提包住满五唯一', '哈佛映像  | 2室1厅 | 71.41平米 | 南 北 | 精装 | 有电梯', '低楼层(共10层)2009年建板楼  -  凌水', '131万', '单价18345元/平米')
('https://image1.ljcdn.com/210200-inspection/test-f3d11e73-fa6c-462e-8943-fc21e21c6f4c.png.296x216.jpg', '高新园区 精装修 南北通透2室 价格美丽', '山海一家一期  | 2室2厅 | 98.28平米 | 南 北 | 精装 | 有电梯', '中楼层(共12层)2005年建板楼  -  万达', '155万', '单价15772元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload7bd308d2-1797-4e61-a9a5-3e750cd81461.jpg.296x216.jpg', '大华锦绣华城新上房源  精装南北通透  业主大哥急售', '大华锦绣华城二期  | 3室2厅 | 99.64平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)2013年建板楼  -  庙岭', '238万', '单价23886元/平米')
('https://image1.ljcdn.com/210200-inspection/2cb84c03-a26f-418b-96d9-c44c7bee9527.JPG.296x216.jpg', '亿达峦翠园四室跃层 改善之家 阳光海景房 随时看房', '亿达峦翠园  | 4室2厅 | 132.67平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共25层)2010年建板楼  -  庙岭', '256万', '单价19296元/平米')
('https://image1.ljcdn.com/210200-inspection/test-74123ab1-9632-45be-b7c8-012c5c2a2ae7.png.296x216.jpg', '文萃轩小区 3室0厅 122万', '文萃轩小区  | 3室0厅 | 62.44平米 | 南 北 | 精装 | 无电梯', '中楼层(共5层)1990年建板楼  -  学府', '122万', '单价19539元/平米')
('https://image1.ljcdn.com/210200-inspection/1ba4bc87-c582-495a-b9fa-692f4c54f616.jpg.296x216.jpg', '大有恬园二期 2室2厅 175万', '大有恬园二期  | 2室2厅 | 93.35平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2010年建板楼  -  凌水', '175万', '单价18747元/平米')
('https://image1.ljcdn.com/210200-inspection/5c35f9fb-2f12-43a1-97d2-96582a6f7992.jpg.296x216.jpg', '南北通透三室好楼层 好位置 不把边不靠道', '亿达国际新城  | 3室2厅 | 113.95平米 | 南 北 | 简装 | 有电梯', '高楼层(共13层)2004年建板楼  -  软件园', '275万', '单价24134元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload28d0d8a2-1afa-491f-b111-6085a7a655fd.JPG.296x216.jpg', '软景E居 1室1厅 150万', '软景E居  | 1室1厅 | 50.72平米 | 西北 | 精装 | 有电梯', '中楼层(共31层)2011年建板楼  -  软件园', '150万', '单价29575元/平米')
('https://image1.ljcdn.com/210200-inspection/287e0458-a340-4483-aa30-3a4c47ee590d.jpg.296x216.jpg', '中海华庭 精装两室 中间楼层 看房方便', '中海华庭  | 2室1厅 | 72.14平米 | 西北 | 精装 | 有电梯', '中楼层(共24层)2009年建板塔结合  -  万达', '135万', '单价18714元/平米')
('https://image1.ljcdn.com/210200-inspection/4b14c959-04ad-40b5-b467-c021df56538a.JPG.296x216.jpg', '东方圣克拉二期 纯实木精装修 中间楼层 四室双卫大宅', '东方圣克拉二期  | 4室1厅 | 191.47平米 | 南 北 | 精装 | 有电梯', '中楼层(共26层)2011年建板楼  -  庙岭', '460万', '单价24025元/平米')
('https://image1.ljcdn.com/210200-inspection/4309afa6-d996-4974-b667-59638b3357ec.jpg.296x216.jpg', '悦翠台二期南北精装两室楼层好采光好', '大连天地悦翠台  | 2室1厅 | 83.37平米 | 南 北 | 精装', '中楼层(共28层)板楼  -  黄泥川', '126万', '单价15114元/平米')
('https://image1.ljcdn.com/210200-inspection/test-d16de0ec-76b7-4c01-a619-a9f0383e56e7.png.296x216.jpg', '大华一期电梯洋房，中间层，单价2.4万，业主急售', '大华锦绣华城一期  | 3室1厅 | 143平米 | 南 西 北 | 毛坯 | 有电梯', '中楼层(共5层)2010年建板楼  -  庙岭', '355万', '单价24826元/平米')
('https://image1.ljcdn.com/210200-inspection/test-84d05daa-1486-4f04-a8b5-9b4bd86ea56a.png.296x216.jpg', '高新园区 软件园 小区前排 无遮挡 采光充足 诚心出售', '大华锦绣华城三期  | 2室2厅 | 77.84平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2012年建板楼  -  庙岭', '176万', '单价22611元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload30756b9d-b42d-47b7-8a39-6cea469b99bd.JPG.296x216.jpg', '圣托里尼精装修三室两卫  高楼层 采光视野好 能看海', '圣托里尼  | 3室2厅 | 91.41平米 | 东 南 北 | 精装 | 有电梯', '高楼层(共32层)2013年建板楼  -  万达', '202万', '单价22099元/平米')
('https://image1.ljcdn.com/210200-inspection/test-0435ab4c-de8d-4b17-99b7-0f42d9c213c7.png.296x216.jpg', '小平岛揽海名寓 2室1厅 135万', '小平岛揽海名寓  | 2室1厅 | 71平米 | 南 北 | 其他 | 有电梯', '高楼层(共32层)2010年建板楼  -  小平岛', '135万', '单价19015元/平米')
('https://image1.ljcdn.com/210200-inspection/test-99452f85-f7fd-40ec-be58-2270614bdc98.png.296x216.jpg', '哈佛世纪 2室2厅 198万', '哈佛世纪  | 2室2厅 | 88.38平米 | 南 北 | 精装 | 有电梯', '中楼层(共18层)2014年建板楼  -  凌水', '198万', '单价22404元/平米')
('https://image1.ljcdn.com/210200-inspection/702eb982-8d29-4d96-b6f5-e7129227c391.jpg.296x216.jpg', '海逸诺丁山 2室2厅 145万', '海逸诺丁山  | 2室2厅 | 75.96平米 | 南 | 其他 | 有电梯', '低楼层(共29层)2015年建板楼  -  万达', '145万', '单价19089元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload5f021cb1-e1c8-482c-a13b-80deb3967261.jpg.296x216.jpg', 'MINI印象中高楼层视野无遮挡，近地铁，精装修', 'MINI印象  | 1室0厅 | 49.29平米 | 东北 | 精装 | 有电梯', '高楼层(共32层)2012年建塔楼  -  万达', '81.2万', '单价16474元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload407526bb-4458-469f-ab63-6480ee9947ef.JPG.296x216.jpg', '学清园精装两居室南北通透 中小位置中间楼层 步行双语', '亿达学清园  | 2室2厅 | 105.2平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2001年建板楼  -  软件园', '270万', '单价25666元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_upload6f5c7e79-f510-4bb6-9e0f-4e5f9785c4f2.JPG.296x216.jpg', '近车站   精装修 保持好 带赠送面积', '小平岛邻海园H组团  | 2室1厅 | 94.02平米 | 东 西 | 精装 | 有电梯', '中楼层(共11层)2009年建板楼  -  小平岛', '190万', '单价20209元/平米')
('https://image1.ljcdn.com/210200-inspection/3b999cdb-3269-4ae0-adf4-162b0b29181b.jpg.296x216.jpg', '万达广场旁 海景房 有钥匙 看房方便', '国滨馆  | 3室2厅 | 130平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共32层)2015年建板楼  -  万达', '288万', '单价22154元/平米')
('https://image1.ljcdn.com/210200-inspection/9aab4ca3-907d-4358-82bf-274840c76f85.jpg.296x216.jpg', '山海一家三期 2室2厅 152万', '山海一家三期  | 2室2厅 | 90.38平米 | 南 北 | 毛坯 | 有电梯', '低楼层(共11层)2010年建板楼  -  万达', '152万', '单价16818元/平米')
('https://image1.ljcdn.com/210200-inspection/test-10cf75d2-beaa-480f-aa78-b1ea0e0d3163.png.296x216.jpg', '黄浦路沿线，距万达800米，地铁沿线交通便', '凌源街  | 2室1厅 | 38.66平米 | 南 | 简装 | 无电梯', '中楼层(共5层)1990年建板楼  -  学府', '53.7万', '单价13891元/平米')
('https://image1.ljcdn.com/210200-inspection/ad9f7f7d-1e1b-440f-ad07-a05baf2cb8a0.jpg.296x216.jpg', '国滨馆 百万装修一天未住 全明海景无遮挡', '国滨馆  | 4室2厅 | 203平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)2015年建板楼  -  万达', '550万', '单价27094元/平米')
('https://image1.ljcdn.com/210200-inspection/rsp_pic_uploadf5af188a-3fab-47d9-9fbc-20f1206cc821.jpg.296x216.jpg', '高新园区万达商圈 业主去外地发展 婚房装修 急售', '学仕名府  | 2室2厅 | 108.61平米 | 南 北 | 精装 | 有电梯', '高楼层(共34层)2014年建板楼  -  凌水', '256万', '单价23571元/平米')
('https://image1.ljcdn.com/210200-inspection/2acf43aa-ff9b-4e0c-a0e1-fb5e502bda24.jpg.296x216.jpg', '华兴山庄多层楼四室两厅两卫精装修光线好', '华兴山庄  | 4室2厅 | 127.15平米 | 南 北 | 精装 | 无电梯', '低楼层(共6层)2004年建板楼  -  凌水', '193万', '单价15179元/平米')
