('https://image1.ljcdn.com/510100-inspection/test-bb5bc628-e1c2-4253-86b3-fef603380145.png.296x216.jpg', '此房满两年，低楼层， 小区刷卡进入', '交大庭院  | 3室2厅 | 105.43平米 | 南 | 精装 | 无电梯', '低楼层(共7层)1999年建板楼  -  五大花园', '135万', '单价12805元/平米')
('https://image1.ljcdn.com/510100-inspection/test-22cd847f-5190-41ce-b63d-414da22a952f.png.296x216.jpg', '南门，桐梓林欧城，户型方正，南北通透，居家安静舒适', '桐梓林欧城  | 4室2厅 | 178.78平米 | 南 北 | 精装 | 有电梯', '中楼层(共21层)2009年建塔楼  -  桐梓林', '505万', '单价28248元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9ea00274-9b63-42f5-96a4-680ac3332b93.png.296x216.jpg', '优客联邦一期套二，有装修，有阳台，视野开阔', '优客联邦一期  | 2室2厅 | 73.98平米 | 东南 | 其他 | 有电梯', '高楼层(共15层)2008年建板楼  -  丽都', '145万', '单价19600元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6ab530d5-7962-41b8-9571-0cf770d97a80.png.296x216.jpg', '蓝光金双楠   清水套三  户型方正  采光好', '蓝光金双楠  | 3室1厅 | 64平米 | 西南 | 其他 | 有电梯', '中楼层(共28层)2016年建塔楼  -  草金立交', '116万', '单价18125元/平米')
('https://image1.ljcdn.com/510100-inspection/test-839343aa-dbc0-4f84-949d-0c4ff43529da.png.296x216.jpg', '魏玛国际+标准套二+精装修+对中庭', '魏玛国际  | 2室1厅 | 75.18平米 | 西南 | 其他 | 有电梯', '中楼层(共32层)2013年建板塔结合  -  火车南站', '160万', '单价21283元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e35729e2-eb68-4d5d-bda3-8db9c38698db.png.296x216.jpg', '胜利新村28号 多层套三 采光通风可以', '胜利新村  | 3室2厅 | 108.47平米 | 西南 | 其他 | 无电梯', '中楼层(共7层)2000年建板楼  -  川音', '120万', '单价11063元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3b74a5bb-c838-4153-9171-8e7696ada17a.png.296x216.jpg', '武侯区 桐梓林 新加坡花园套二', '新加坡花园  | 2室2厅 | 82.15平米 | 东 | 精装 | 有电梯', '高楼层(共11层)2002年建板楼  -  桐梓林', '173万', '单价21060元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d246f2a6-fe43-485d-959c-3b5d384dbf3f.png.296x216.jpg', '欧城全朝南户型，装修保养好，权属清晰。', '桐梓林欧城  | 2室2厅 | 87.5平米 | 南 | 其他 | 有电梯', '高楼层(共21层)2009年建塔楼  -  桐梓林', '252万', '单价28800元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fd9cb6a0-849b-4cd1-8109-3404992caade.png.296x216.jpg', '溢阳绿城 1楼带花园 套四双卫', '溢阳绿城  | 3室2厅 | 176.71平米 | 南 | 其他 | 有电梯', '低楼层(共6层)2002年建板楼  -  外双楠', '362万', '单价20486元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dff8e59b-43e5-4f0d-8860-008739155019.png.296x216.jpg', '南二环 锦官新城西区，精装套三，', '锦官新城西区  | 3室2厅 | 127.1平米 | 东南 西北 | 简装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  航空路', '245万', '单价19277元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d8697395-f00d-48d9-94c1-cecba3824204.png.296x216.jpg', '优客联邦二期中庭套二 安静不临街', '优客联邦二期  | 2室1厅 | 78.12平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2012年建板楼  -  丽都', '158万', '单价20226元/平米')
('https://image1.ljcdn.com/510100-inspection/test-07edc5d5-557a-4843-b7cf-0183be0c9956.png.296x216.jpg', '交大万通格外两居室 带阳台 有装修', '交大万通格外  | 2室2厅 | 76.7平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2011年建板楼  -  丽都', '165万', '单价21513元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a4d88df1-21d3-40c3-921b-900cb0102b4b.png.296x216.jpg', '蜀馨苑 套二 有装修 带家具家电 有阳台', '蜀馨苑B区  | 2室1厅 | 81.39平米 | 南 | 其他 | 无电梯', '高楼层(共7层)1998年建板楼  -  双楠', '125万', '单价15359元/平米')
('https://image1.ljcdn.com/510100-inspection/test-82c0ef6d-45bc-4980-a1bf-7f42ef0bf63e.png.296x216.jpg', '电梯套三带书房，户型方正，带阳台', '金地花园  | 3室2厅 | 133.84平米 | 东 | 简装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  双楠', '236万', '单价17633元/平米')
('https://image1.ljcdn.com/510100-inspection/test-480109bb-7fb0-4c63-9629-110938b299c9.png.296x216.jpg', '双楠二区有装修多层通透套三，看房方便', '双楠二区  | 3室1厅 | 75.93平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1999年建板楼  -  双楠', '105万', '单价13829元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a209cbe2-dd25-4260-b8d2-7f0915e5fcc5.png.296x216.jpg', '红牌楼  二环边 中间楼层  大套二', '竹园一期  | 2室1厅 | 69.12平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2000年建板楼  -  红牌楼', '87万', '单价12587元/平米')
('https://image1.ljcdn.com/510100-inspection/test-3c89dd93-51e8-46ee-ab29-8d721830c83c.png.296x216.jpg', '鹭岛四期 年轻人的理想居住地 西班牙风格直接入住', '鹭岛国际四期  | 1室0厅 | 51.48平米 | 东南 | 精装 | 有电梯', '中楼层(共17层)2012年建塔楼  -  外双楠', '100万', '单价19426元/平米')
('https://image1.ljcdn.com/510100-inspection/646b6af1-c86d-4845-859a-04e2329fbd01.jpg.296x216.jpg', '跃层 东西朝向  看房方便 中间楼层 户型方正 采光好', '华宇蓉国府  | 2室2厅 | 88.38平米 | 西北 | 简装 | 有电梯', '中楼层(共30层)2012年建板楼  -  玉林', '275万', '单价31116元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9d15308f-77a5-4b11-9214-42ada1a1b714.png.296x216.jpg', '户型方正，简装，朝南，采光没有问题，客厅有阳台。', '华宇楠苑  | 2室2厅 | 79.06平米 | 东 | 其他 | 有电梯', '低楼层(共11层)2012年建板塔结合  -  新双楠', '135万', '单价17076元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5282da8d-ec0a-4f6d-9b72-e9ebdcd3147e.png.296x216.jpg', '棕南正街6号 有装修 有阳台 有电梯', '棕南正街6号  | 3室2厅 | 149.44平米 | 南 | 其他 | 有电梯', '高楼层(共9层)1998年建板楼  -  棕北', '300万', '单价20075元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bd71b749-cc22-415b-b8ce-406ec91120ce.png.296x216.jpg', '维港标准套二 自住精装修 带大阳台 采光好 安静不吵', '维港  | 2室1厅 | 77.73平米 | 西南 西北 | 其他 | 有电梯', '高楼层(共18层)2011年建板楼  -  丽都', '149.8万', '单价19272元/平米')
('https://image1.ljcdn.com/510100-inspection/test-85e048d0-83b2-431b-90cc-c3921e0e86ae.png.296x216.jpg', '优客联邦二期 精装套二 视野开阔 采光明亮 可拎包入住', '优客联邦二期  | 2室1厅 | 74.53平米 | 西北 | 其他 | 有电梯', '高楼层(共17层)2012年建板楼  -  丽都', '143万', '单价19187元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6eb88762-7278-4add-9421-6f6be8910fc7.png.296x216.jpg', '套二单卫，有装修，有家具家电，高楼层，看房有钥匙！', '世豪嘉柏  | 2室2厅 | 77平米 | 东 | 精装 | 有电梯', '中楼层(共22层)2014年建板楼  -  草金立交', '130万', '单价16884元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ad680e77-ec24-4bb3-9a87-dba01a6b4490.png.296x216.jpg', '绿地楼盘、一梯一户、双产权证、二环边、配套成熟齐全', '海珀香庭  | 4室2厅 | 171平米 | 西南 | 其他 | 有电梯', '高楼层(共11层)2010年建板楼  -  红牌楼', '370万', '单价21638元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4f7f39e8-ecf4-43e1-9899-8887c9de1bde.png.296x216.jpg', '红楠港低楼层小户型户型方正实用', '红楠港  | 2室1厅 | 63.8平米 | 东南 | 其他 | 有电梯', '低楼层(共15层)2009年建板楼  -  红牌楼', '115万', '单价18026元/平米')
('https://image1.ljcdn.com/510100-inspection/test-321ca7d3-a111-445f-a6b7-17512a4e6f82.png.296x216.jpg', '一楼前后有花园且有垫高，明厨明卫', '金色花园一期  | 3室2厅 | 122.79平米 | 东南 | 其他 | 无电梯', '低楼层(共7层)2003年建板楼  -  红牌楼', '216万', '单价17592元/平米')
