('https://image1.ljcdn.com/440100-inspection/e74c660e-183a-4352-a7f9-531a9954f25b.jpg.296x216.jpg', '科城山庄精装五房 南北通透 近地铁', '科城山庄  | 6室2厅 | 239平米 | 南 北 | 其他 | 有电梯', '高楼层(共12层)2012年建塔楼  -  科学城', '850万', '单价35565元/平米')
('https://image1.ljcdn.com/440100-inspection/b14527cf-91e8-49ec-a264-b12935fdc0fc.jpg.296x216.jpg', '悦涛雅苑 精装修电梯三房 东南向望花园 格局方正', '悦涛雅苑  | 3室2厅 | 96.15平米 | 南 | 精装 | 有电梯', '中楼层(共13层)2000年建塔楼  -  区府', '355万', '单价36922元/平米')
('https://image1.ljcdn.com/440100-inspection/6393d700-64dd-4767-8862-1691e78bd67c.jpg.296x216.jpg', '祥辉广场 3室2厅 160万', '祥辉广场  | 3室2厅 | 77.99平米 | 南 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  区府', '160万', '单价20516元/平米')
('https://image1.ljcdn.com/440100-inspection/6e386780-061a-4957-b4d0-ee3fe9658980.JPG.296x216.jpg', '怡港花园 2室2厅 330万', '怡港花园  | 2室2厅 | 79.73平米 | 南 | 其他 | 有电梯', '中楼层(共11层)1999年建塔楼  -  区府', '330万', '单价41390元/平米')
('https://image1.ljcdn.com/440100-inspection/db712457-a71a-4dce-bd1e-dc8c8326d576.jpg.296x216.jpg', '东港花园 电梯东南向 阳台向小区花园', '东港花园  | 3室2厅 | 87.63平米 | 南 北 | 简装 | 有电梯', '中楼层(共24层)2013年建塔楼  -  区府', '310万', '单价35377元/平米')
('https://image1.ljcdn.com/440100-inspection/c35f027c-8991-496b-a547-bc12a70f5cda.jpg.296x216.jpg', '新景楼 电梯实用三房 地铁五号线', '新景楼  | 3室2厅 | 96平米 | 西南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  区府', '288万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/81271436-8105-4af0-9282-d5c4ff36ce1f.jpg.296x216.jpg', '天虹花园 精装修通风好 望花园', '天虹花园  | 2室1厅 | 50平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '170万', '单价34000元/平米')
('https://image1.ljcdn.com/440100-inspection/e3cae0b5-788a-4cfa-a8c0-18e2d5f9da03.jpg.296x216.jpg', '祥辉广场 2房1厅 165万元', '祥辉广场  | 2室1厅 | 71.78平米 | 南 | 简装 | 有电梯', '高楼层(共13层)2000年建塔楼  -  区府', '165万', '单价22987元/平米')
('https://image1.ljcdn.com/440100-inspection/ac311ebd-8f7a-4dce-80d3-bee2357f1be1.jpg.296x216.jpg', '实用两房，电梯房，楼龄新，通风采光充足', '黄埔东路  | 2室1厅 | 83.27平米 | 南 | 简装', '高楼层(共11层)塔楼  -  开发区', '166.5万', '单价19996元/平米')
('https://image1.ljcdn.com/440100-inspection/3a183e83-bd22-4e2f-a069-2243a049cb6a.jpg.296x216.jpg', '丰逸尚居 3室1厅 340万', '丰逸尚居  | 3室1厅 | 98平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2012年建塔楼  -  区府', '340万', '单价34694元/平米')
('https://image1.ljcdn.com/440100-inspection/5c8d970a-6525-45df-b00a-c31daa8de528.jpg.296x216.jpg', '黄埔花园 北向高层一房2厅 格局方正', '黄埔花园  | 1室2厅 | 61.45平米 | 北 | 其他 | 有电梯', '高楼层(共25层)2011年建塔楼  -  区府', '270万', '单价43939元/平米')
('https://image1.ljcdn.com/440100-inspection/d9644029-b92d-4e09-bc3e-3645bb78c95c.jpg.296x216.jpg', '富域尚品居 中间楼层 东南向实用三房', '富域尚品居  | 3室2厅 | 92.36平米 | 东南 | 精装 | 有电梯', '中楼层(共18层)2009年建塔楼  -  开发区', '245万', '单价26527元/平米')
('https://image1.ljcdn.com/440100-inspection/5364ed2b-3a5b-47a1-807e-a2c34a4f6435.jpg.296x216.jpg', '实用叁房两厅， 电梯房，南向，位置安静', '黄埔东路  | 3室2厅 | 90.6平米 | 南 | 简装', '高楼层(共11层)塔楼  -  开发区', '181万', '单价19978元/平米')
('https://image1.ljcdn.com/440100-inspection/3e691eec-2729-4db8-80f9-f91c9c434480.jpg.296x216.jpg', '丰逸尚居 3室2厅 393万', '丰逸尚居  | 3室2厅 | 105平米 | 北 | 其他 | 有电梯', '低楼层(共29层)2012年建塔楼  -  区府', '393万', '单价37429元/平米')
('https://image1.ljcdn.com/440100-inspection/f95925e7-e89c-466c-a012-c5d463bd1421.jpg.296x216.jpg', '锦林山庄 格局方正 交通便利 环境优美', '锦林山庄  | 2室2厅 | 77平米 | 南 | 其他', '中楼层(共4层)板楼  -  科学城', '225万', '单价29221元/平米')
('https://image1.ljcdn.com/440100-inspection/44efa1db-68ce-4b00-8a4d-62d2d9d601e3.jpg.296x216.jpg', '金碧世纪花园 北向望花园 带平台', '金碧世纪花园  | 3室2厅 | 91平米 | 北 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '350万', '单价38462元/平米')
('https://image1.ljcdn.com/440100-inspection/7dfc9d8a-2601-4e57-a3ad-ab38ea9a7836.jpg.296x216.jpg', '怡园小区  79平方两房  住家装修  采光通透', '怡园小区  | 2室1厅 | 79.44平米 | 东 | 简装 | 无电梯', '高楼层(共8层)1992年建塔楼  -  区府', '258万', '单价32478元/平米')
('https://image1.ljcdn.com/440100-inspection/e292d9b7-6105-4489-bccd-14c6e460d67a.jpg.296x216.jpg', '怡港花园，温馨两房，视野开阔。', '怡港花园  | 2室2厅 | 81.51平米 | 北 | 简装 | 有电梯', '中楼层(共9层)1999年建塔楼  -  区府', '293万', '单价35947元/平米')
('https://image1.ljcdn.com/440100-inspection/9a5090a8-3736-45a1-8404-95715f9bc447.jpg.296x216.jpg', '乙烯大院 3室2厅 250万', '乙烯大院  | 3室2厅 | 95.92平米 | 南 北 | 其他 | 无电梯', '高楼层(共8层)1998年建塔楼  -  区府', '250万', '单价26064元/平米')
('https://image1.ljcdn.com/440100-inspection/897156d2-3dfd-49d3-a87e-031218c8865c.jpg.296x216.jpg', '金碧世纪花园，南向两房，南北对流', '金碧世纪花园  | 2室2厅 | 69平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '255万', '单价36957元/平米')
('https://image1.ljcdn.com/440100-inspection/1511845b-ac45-4ade-950f-57ab21bb7851.jpg.296x216.jpg', '凯信东方华庭 南北对流 厅出阳台 环境幽雅', '凯信东方华庭  | 2室2厅 | 80.17平米 | 南 北 | 其他 | 有电梯', '高楼层(共10层)塔楼  -  开发东区', '175万', '单价21829元/平米')
('https://image1.ljcdn.com/440100-inspection/5e84b39e-0a60-4d91-9a51-d4cbadca785f.jpg.296x216.jpg', '万科城市花园 实用三房 管理好', '万科城市花园  | 3室1厅 | 89.44平米 | 北 | 简装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  区府', '365万', '单价40810元/平米')
('https://image1.ljcdn.com/440100-inspection/5d4f04d9-bc97-48a0-bde9-ba793efa41bb.jpg.296x216.jpg', '保利林语 实用三房 配套完善', '保利林语山庄7区  | 4室2厅 | 117.15平米 | 北 | 其他', '低楼层(共18层)塔楼  -  科学城', '375万', '单价32011元/平米')
('https://image1.ljcdn.com/440100-inspection/0316ccd8-b2ac-4dd7-97f5-34d00361c6e9.jpg.296x216.jpg', '信达大厦 中层电梯两房 证过五年唯一物业', '信达大厦  | 3室2厅 | 105平米 | 东北 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  区府', '400万', '单价38096元/平米')
('https://image1.ljcdn.com/440100-inspection/a4e97848-4fa8-4bda-8648-3a4fce9a28b3.jpg.296x216.jpg', '榕景园两房单位精致南向两房', '榕景园  | 2室2厅 | 75.62平米 | 南 | 简装 | 有电梯', '中楼层(共9层)2001年建塔楼  -  区府', '240万', '单价31738元/平米')
('https://image1.ljcdn.com/440100-inspection/aacc9e16-e302-4ef7-a7b1-aa79477ffbc4.jpg.296x216.jpg', '万科城市花园 实用南北向三房 装修保养好', '万科城市花园  | 3室2厅 | 90.58平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  区府', '380万', '单价41952元/平米')
('https://image1.ljcdn.com/440100-inspection/7b42c421-8e0b-4fbf-bde5-c6cca071a476.jpg.296x216.jpg', '墩美小区 南北对流 格局方正 采光好', '墩美小区  | 2室1厅 | 70.66平米 | 北 | 其他 | 无电梯', '低楼层(共9层)1997年建塔楼  -  开发区', '162万', '单价22927元/平米')
('https://image1.ljcdn.com/440100-inspection/20f71e54-4a25-4dfd-9d4e-e472a4af1578.jpg.296x216.jpg', '怡港花园 精装两房 格局方正', '怡港花园  | 2室1厅 | 89.74平米 | 东 | 简装 | 有电梯', '中楼层(共11层)1999年建塔楼  -  区府', '360万', '单价40116元/平米')
('https://image1.ljcdn.com/440100-inspection/4595c1ff-0749-4db3-a371-dab1c09e7f4e.jpg.296x216.jpg', '文船生活区 实用一房 中楼层采光通风好', '文船生活区东区  | 1室1厅 | 42.45平米 | 南 | 精装 | 无电梯', '中楼层(共5层)1999年建塔楼  -  区府', '95万', '单价22380元/平米')
('https://image1.ljcdn.com/440100-inspection/78699b3d-3717-4906-a26c-a7328cfe8741.jpg.296x216.jpg', '金碧世纪花园 南向中层三房 景观优美望花园泳池', '金碧世纪花园  | 3室2厅 | 95.72平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '390万', '单价40744元/平米')
('https://image1.ljcdn.com/440100-inspection/9211bdb5-9327-4bfe-b52a-17f1e84274d1.jpg.296x216.jpg', '金碧世纪花园 南向两房 诚心放卖', '金碧世纪花园  | 2室2厅 | 69平米 | 南 | 简装 | 有电梯', '高楼层(共17层)2004年建塔楼  -  区府', '250万', '单价36232元/平米')
('https://image1.ljcdn.com/440100-inspection/b3c53775-585d-47ea-97f6-37512d4c9c0b.jpg.296x216.jpg', '黄埔雅苑 户型方正实用 采光通风好', '黄埔新村黄埔雅苑  | 3室2厅 | 98平米 | 南 | 精装 | 有电梯', '高楼层(共12层)2004年建塔楼  -  区府', '360万', '单价36735元/平米')
('https://image1.ljcdn.com/440100-inspection/96fcecca-67a4-4a67-8e42-cb1b06956986.jpg.296x216.jpg', '黄埔新村黄埔雅苑 2室2厅 260万', '黄埔新村黄埔雅苑  | 2室2厅 | 73.32平米 | 北 | 精装 | 有电梯', '高楼层(共11层)2004年建塔楼  -  区府', '260万', '单价35461元/平米')
('https://image1.ljcdn.com/440100-inspection/9d51a857-a827-4fcb-925c-9588e04c3257.jpg.296x216.jpg', '金碧世纪花园 户型方正 安静望花园', '金碧世纪花园  | 2室2厅 | 68.31平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '288万', '单价42161元/平米')
('https://image1.ljcdn.com/440100-inspection/b018815f-99b5-45ac-8590-e455f6469e34.jpg.296x216.jpg', '怡港花园 户型方正 通风采光好', '怡港花园  | 3室2厅 | 117.96平米 | 东南 | 简装 | 有电梯', '高楼层(共11层)1999年建塔楼  -  区府', '495万', '单价41964元/平米')
('https://image1.ljcdn.com/440100-inspection/4c5b302d-e40b-4f34-9a97-fa9b1ba902cf.jpg.296x216.jpg', '海关大院  精装电梯三房  户型方正', '海关大院  | 3室2厅 | 93平米 | 西 | 其他 | 有电梯', '高楼层(共30层)1998年建塔楼  -  区府', '298万', '单价32044元/平米')
('https://image1.ljcdn.com/440100-inspection/dbccc7a0-8267-48cd-99d6-494ec5a49e3c.jpg.296x216.jpg', '怡港花园 精装两房 格局方正', '怡港花园  | 2室1厅 | 77.25平米 | 北 | 精装 | 有电梯', '高楼层(共9层)1999年建塔楼  -  区府', '280万', '单价36246元/平米')
('https://image1.ljcdn.com/440100-inspection/53e05c97-d77a-44d3-906e-2944ac78ee72.jpg.296x216.jpg', '金碧世纪花园  精装两房 带60平方大平台', '金碧世纪花园  | 2室2厅 | 69平米 | 北 | 简装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '260万', '单价37682元/平米')
('https://image1.ljcdn.com/440100-inspection/dd8d39ef-d76c-4a81-b782-5c27ae829063.jpg.296x216.jpg', '宏康花园  楼梯三房 南北对流', '宏康花园四期康慧苑  | 3室2厅 | 113平米 | 北 | 简装 | 无电梯', '低楼层(共7层)板楼  -  开发东区', '230万', '单价20354元/平米')
('https://image1.ljcdn.com/440100-inspection/f2b130dc-6fde-4e90-b438-d35249f4ee74.jpg.296x216.jpg', '靠江靠河靠大路出入方便楼下读书', '骏鸿花园  | 3室2厅 | 121.71平米 | 东南 | 简装 | 无电梯', '高楼层(共6层)2005年建塔楼  -  区府', '388万', '单价31880元/平米')
('https://image1.ljcdn.com/440100-inspection/5879a339-60fa-4cf0-b14c-288fd6707a1a.jpg.296x216.jpg', '火电厂宿舍 方正三房 交通便', '火电厂宿舍  | 2室2厅 | 82.63平米 | 南 | 精装 | 无电梯', '中楼层(共8层)1995年建塔楼  -  开发区', '190万', '单价22995元/平米')
('https://image1.ljcdn.com/440100-inspection/4c79dd3f-8ec8-4a15-8e0e-299e0ae92f0f.jpg.296x216.jpg', '黄埔花园 电梯2房 户型方正', '黄埔花园  | 2室1厅 | 87平米 | 北 | 简装 | 有电梯', '高楼层(共14层)2011年建塔楼  -  区府', '340万', '单价39081元/平米')
('https://image1.ljcdn.com/440100-inspection/f88f6898-5e90-4cae-bc71-37988b543ad5.jpg.296x216.jpg', '丰逸尚居 精装南向一房', '丰逸尚居  | 1室1厅 | 48.4平米 | 南 | 精装 | 有电梯', '低楼层(共29层)2012年建塔楼  -  区府', '179万', '单价36984元/平米')
('https://image1.ljcdn.com/440100-inspection/f10301bc-2702-4009-ae9f-a08b9ee3ba36.jpg.296x216.jpg', '万科城市花园  复式四房  交通便利', '万科城市花园  | 4室2厅 | 86.77平米 | 西南 | 精装 | 有电梯', '高楼层(共18层)2003年建塔楼  -  区府', '510万', '单价58777元/平米')
('https://image1.ljcdn.com/440100-inspection/265a7748-1552-4096-85be-309ae4ed6cb8.jpg.296x216.jpg', '奥园春晓 南向两房望花园 安静舒适', '奥园春晓  | 2室2厅 | 76.67平米 | 南 | 毛坯 | 有电梯', '高楼层(共15层)2014年建塔楼  -  科学城', '230万', '单价29999元/平米')
('https://image1.ljcdn.com/440100-inspection/5a00c2ca-ce43-4628-ad7d-989477216ee9.jpg.296x216.jpg', '开发区宏康花园四期康慧苑实用大三房', '宏康花园四期康慧苑  | 3室2厅 | 88.52平米 | 南 | 简装 | 无电梯', '低楼层(共7层)塔楼  -  开发东区', '190万', '单价21465元/平米')
('https://image1.ljcdn.com/440100-inspection/b3e81d27-8c45-4c2c-911a-2e066be8027d.jpg.296x216.jpg', '金碧世纪花园 3室2厅 650万', '金碧世纪花园  | 3室2厅 | 163平米 | 南 | 精装 | 有电梯', '中楼层(共25层)2004年建塔楼  -  区府', '650万', '单价39878元/平米')
('https://image1.ljcdn.com/440100-inspection/7b669ab7-93b7-4482-90e1-02afbef97571.jpg.296x216.jpg', '雅居乐富春山居 4室2厅 768万', '雅居乐富春山居  | 4室2厅 | 202.14平米 | 南 | 其他 | 有电梯', '中楼层(共25层)2014年建塔楼  -  科学城', '768万', '单价37994元/平米')
('https://image1.ljcdn.com/440100-inspection/b06a2326-aa4d-4871-9369-d85b0cb1ad53.jpg.296x216.jpg', '石化生活区 实用一房一厅 南北对流', '石化生活区  | 1室1厅 | 38.23平米 | 南 北 | 简装 | 无电梯', '中楼层(共5层)1976年建塔楼  -  区府', '110万', '单价28774元/平米')
('https://image1.ljcdn.com/440100-inspection/1dab7926-6fe2-4661-abfc-bb9f716ccf1f.jpg.296x216.jpg', '黄埔花园 南向高层', '黄埔花园  | 4室1厅 | 143平米 | 南 | 精装 | 有电梯', '高楼层(共23层)2011年建塔楼  -  区府', '705万', '单价49301元/平米')
('https://image1.ljcdn.com/440100-inspection/cab732be-66b2-4387-8fd1-1b7fac57b762.jpg.296x216.jpg', '中海誉城南苑 2室2厅 212万', '中海誉城南苑  | 2室2厅 | 79.5平米 | 北 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  科学城', '212万', '单价26667元/平米')
('https://image1.ljcdn.com/440100-inspection/1d026206-2bb3-4993-a70a-67550d53bc12.jpg.296x216.jpg', '龙光南向两房，无遮挡，安静舒适', '龙光峰景华庭  | 2室2厅 | 81.39平米 | 东南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  科学城', '245万', '单价30102元/平米')
('https://image1.ljcdn.com/440100-inspection/5ac4e2b2-d73e-4dba-8ff1-178a2e9139bb.jpg.296x216.jpg', '万科城市花园 四房两厅三卫 地铁口万科物业', '万科城市花园  | 4室2厅 | 160.17平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  区府', '545万', '单价34027元/平米')
('https://image1.ljcdn.com/440100-inspection/3fe837c4-25d1-4f6e-abb5-7adc5ac0a9b9.jpg.296x216.jpg', '海员路 低层两房 南北对流 安静不吵', '外运宿舍  | 2室1厅 | 72.1平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)塔楼  -  区府', '188万', '单价26075元/平米')
('https://image1.ljcdn.com/440100-inspection/9a3812b8-d0a2-4d75-8d16-11d7cab992e5.jpg.296x216.jpg', '黄埔花园南向小三房 户型通透采光俱佳', '黄埔花园  | 3室2厅 | 95平米 | 南 | 精装 | 有电梯', '高楼层(共16层)2011年建塔楼  -  区府', '385万', '单价40527元/平米')
('https://image1.ljcdn.com/440100-inspection/e7f77f57-3114-43b6-af21-8ac76de07bab.jpg.296x216.jpg', '怡港花园 南向大三房 三个阳台', '怡港花园  | 3室2厅 | 151.29平米 | 南 | 精装 | 有电梯', '中楼层(共17层)1999年建塔楼  -  区府', '580万', '单价38337元/平米')
('https://image1.ljcdn.com/440100-inspection/7d0b4662-995c-414a-9915-32bd469467e1.jpg.296x216.jpg', '中海誉城南苑 1室1厅 155万', '中海誉城南苑  | 1室1厅 | 55.31平米 | 北 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  科学城', '155万', '单价28024元/平米')
('https://image1.ljcdn.com/440100-inspection/5703a7c6-8311-44b0-a617-1c9de659bbe0.jpg.296x216.jpg', '奥园广场 联排公寓 毛坯房', '萝岗奥园广场  | 1室0厅 | 83.09平米 | 南 北 | 其他', '高楼层(共19层)塔楼  -  科学城', '210万', '单价25274元/平米')
('https://image1.ljcdn.com/440100-inspection/8524fdc3-d276-4b4f-aa2c-6072fca5a18b.jpg.296x216.jpg', '新世纪花苑 3室2厅 228万', '新世纪花苑  | 3室2厅 | 81.11平米 | 北 | 精装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  区府', '228万', '单价28110元/平米')
('https://image1.ljcdn.com/440100-inspection/87bce6e2-b9f0-4f54-8d70-1aa474b0d99f.jpg.296x216.jpg', '金碧世纪花园 温馨南向两房', '金碧世纪花园  | 2室2厅 | 69平米 | 南 | 简装 | 有电梯', '中楼层(共17层)2004年建塔楼  -  区府', '258万', '单价37392元/平米')
('https://image1.ljcdn.com/440100-inspection/9d00fcf8-ae4f-4289-a77f-18fbbc29759e.jpg.296x216.jpg', '万科城市花园 精装大2房 带花园简单舒适', '万科城市花园  | 2室1厅 | 80平米 | 东北 | 精装 | 有电梯', '低楼层(共11层)2003年建塔楼  -  区府', '290万', '单价36250元/平米')
('https://image1.ljcdn.com/440100-inspection/71790045-2954-423a-b263-a49681e0c0a3.jpg.296x216.jpg', '悦涛雅苑 南向装修好 交通方便', '悦涛雅苑  | 4室2厅 | 115.77平米 | 东南 | 其他 | 有电梯', '中楼层(共13层)2000年建塔楼  -  区府', '370万', '单价31960元/平米')
('https://image1.ljcdn.com/440100-inspection/432b6d44-bf8c-4d65-9608-c9c51d634324.jpg.296x216.jpg', '东城国际，交通便利', '东城国际大厦  | 1室0厅 | 56.17平米 | 南 | 其他 | 有电梯', '低楼层(共30层)2008年建塔楼  -  区府', '120万', '单价21364元/平米')
('https://image1.ljcdn.com/440100-inspection/0c616d1f-e04b-4f1d-9d1e-c11d53026ab8.jpg.296x216.jpg', '金丽园 2室1厅 225万', '金丽园  | 2室1厅 | 75.7平米 | 东 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  区府', '225万', '单价29723元/平米')
('https://image1.ljcdn.com/440100-inspection/9ebb2710-7cdb-4a9e-8d39-11abf15b81e5.jpg.296x216.jpg', '悦时代花园心悦湾 4室2厅 603万', '悦时代花园心悦湾  | 4室2厅 | 134平米 | 南 北 | 简装 | 有电梯', '中楼层(共33层)2013年建塔楼  -  区府', '603万', '单价45000元/平米')
('https://image1.ljcdn.com/440100-inspection/81091cf5-e76a-4d12-ac6c-58fd47cb298c.jpg.296x216.jpg', '黄埔花园 户型方正 装修保养好', '黄埔花园  | 2室1厅 | 84.2平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2011年建塔楼  -  区府', '350万', '单价41568元/平米')
('https://image1.ljcdn.com/440100-inspection/87d8d3ab-a738-4f17-967d-731ac5450b8f.jpg.296x216.jpg', '金碧世纪花园 望花园 装修好 采光充足', '金碧世纪花园  | 2室2厅 | 69平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2004年建塔楼  -  区府', '260万', '单价37682元/平米')
('https://image1.ljcdn.com/440100-inspection/546a6b4a-4fd3-49f2-aaae-c042c844de69.jpg.296x216.jpg', '东港花园 电梯北向 阳台向小区花园', '东港花园  | 3室2厅 | 99平米 | 北 | 精装 | 有电梯', '中楼层(共11层)2010年建塔楼  -  区府', '340万', '单价34344元/平米')
('https://image1.ljcdn.com/440100-inspection/633843ed-9242-4486-a790-2ce7726083d2.jpg.296x216.jpg', '中交港湾国际 精装复式', '中交港湾国际  | 2室1厅 | 52平米 | 东北 | 精装', '低楼层(共24层)2015年建塔楼  -  区府', '160万', '单价30770元/平米')
('https://image1.ljcdn.com/440100-inspection/94551a7a-2986-4ba4-87b8-3a4e9defa372.jpg.296x216.jpg', '金碧世纪花园 2室2厅 258万', '金碧世纪花园  | 2室2厅 | 68.68平米 | 北 | 精装 | 有电梯', '低楼层(共32层)2004年建塔楼  -  区府', '258万', '单价37566元/平米')
('https://image1.ljcdn.com/440100-inspection/55fec117-4799-48f4-81d1-14e182542f2d.jpg.296x216.jpg', '东苑小区 3室2厅 420万', '东苑小区  | 3室2厅 | 120平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2000年建塔楼  -  区府', '420万', '单价35000元/平米')
('https://image1.ljcdn.com/440100-inspection/e73468fd-2ecc-4ef2-afad-38de02217b0d.jpg.296x216.jpg', '万科金色悦府 实用大三房 南北对流', '万科金色悦府  | 3室2厅 | 100平米 | 南 北 | 精装 | 有电梯', '低楼层(共31层)2014年建塔楼  -  区府', '375万', '单价37500元/平米')
('https://image1.ljcdn.com/440100-inspection/a97f98d2-0ef5-462c-8618-fa01b3097c2c.jpg.296x216.jpg', '万科金色悦府 3室2厅 420万', '万科金色悦府  | 3室2厅 | 100.25平米 | 东南 | 精装 | 有电梯', '中楼层(共31层)2014年建塔楼  -  区府', '420万', '单价41896元/平米')
('https://image1.ljcdn.com/440100-inspection/cfb4504c-caf8-40cc-a732-6a5b01bd4d7b.jpg.296x216.jpg', '中鼎君和名城 电梯方正两房', '中鼎君和名城  | 2室1厅 | 76平米 | 南 北 | 精装 | 有电梯', '中楼层(共34层)2015年建塔楼  -  区府', '338万', '单价44474元/平米')
('https://image1.ljcdn.com/440100-inspection/28ad8198-176b-4c4b-804d-48d4262fb3fc.jpg.296x216.jpg', '海关大院 2房1厅 320万元', '海关大院  | 2室1厅 | 90平米 | 北 | 精装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  区府', '315万', '单价35000元/平米')
('https://image1.ljcdn.com/440100-inspection/45a13014-8448-4566-b6e4-3490d0b635a8.jpg.296x216.jpg', '金碧世纪花园 南北对流两房 看房方便 保养好', '金碧世纪花园  | 2室2厅 | 70.77平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2004年建塔楼  -  区府', '275万', '单价38859元/平米')
