('https://image1.ljcdn.com/210100-inspection/18306948-47b5-4f59-b1a6-d24186fd0c6f.jpg.296x216.jpg', '香树湾 3室3厅 110万', '香树湾  | 3室3厅 | 104.41平米 | 南 北 | 精装', '中楼层(共5层)暂无数据  -  皇姑区', '110万', '单价10536元/平米')
('https://image1.ljcdn.com/210100-inspection/7619ae4f-b507-4b03-a750-d942179b2397.jpg.296x216.jpg', '交通方便，园区绿植多，舒适度高', '恒大雅苑  | 3室2厅 | 121平米 | 南 北 | 精装', '低楼层(共23层)2018年建板楼  -  皇姑区', '98万', '单价8100元/平米')
('https://image1.ljcdn.com/210100-inspection/21d319b1-c78a-4e30-a621-f4bc5053c6cf.jpg.296x216.jpg', '恒大雅苑 3室2厅 115万', '恒大雅苑  | 3室2厅 | 129.48平米 | 南 北 | 精装', '高楼层(共26层)2018年建板楼  -  皇姑区', '115万', '单价8882元/平米')
('https://image1.ljcdn.com/210100-inspection/52b9ec92-eafa-4e5d-af3a-cd6b6983eb2f.jpg.296x216.jpg', '一环内 老常客 交通便利 配套齐全', '星辰花园  | 2室2厅 | 107平米 | 南 北 | 精装', '中楼层(共7层)暂无数据  -  皇姑区', '87万', '单价8131元/平米')
('https://image1.ljcdn.com/210100-inspection/2cab1a14-8a06-46ed-a2bb-be58866c425a.jpg.296x216.jpg', '皇姑区 恒大雅苑 两室精装 品质园区', '恒大雅苑  | 2室2厅 | 89.13平米 | 南 北 | 精装', '低楼层(共26层)2018年建板楼  -  皇姑区', '82万', '单价9201元/平米')
('https://image1.ljcdn.com/210100-inspection/2038f108-7ca0-4351-b13a-7f22c2a09cdb.jpg.296x216.jpg', '恒大雅苑原装，精装修保持好，三阳户型，采光好。', '恒大雅苑  | 2室2厅 | 89.54平米 | 西南 | 精装', '低楼层(共24层)2018年建板楼  -  皇姑区', '70万', '单价7818元/平米')
('https://image1.ljcdn.com/210100-inspection/0d32cf20-21e8-4210-a543-67900d189bcf.jpg.296x216.jpg', '万科金域华府 3室2厅 95万', '万科金域华府  | 3室2厅 | 95.74平米 | 南 北 | 精装', '中楼层(共32层)2016年建板楼  -  皇姑区', '95万', '单价9923元/平米')
('https://image1.ljcdn.com/210100-inspection/aad46450-2ff8-40de-b9da-24bc7eecdbb4.JPG.296x216.jpg', '房主诚心出售 皇姑区 恒大雅苑 两室南北 精装修', '恒大雅苑  | 2室1厅 | 89.7平米 | 南 | 其他', '低楼层(共26层)2018年建板楼  -  皇姑区', '71万', '单价7916元/平米')
('https://image1.ljcdn.com/210100-inspection/566c3a71-79d3-4808-9e0f-b7be044eb739.jpg.296x216.jpg', '皇姑区 保利溪湖林语 两室带装修', '保利溪湖林语五期  | 2室1厅 | 94.48平米 | 南 北 | 其他', '低楼层(共18层)2018年建板楼  -  皇姑区', '77.5万', '单价8203元/平米')
('https://image1.ljcdn.com/210100-inspection/9cb4b3cd-83d3-4c2e-9935-fb232a4c4d41.jpg.296x216.jpg', '皇姑 保利溪湖林语 一室小户型带装修 拎包入住', '保利溪湖林语五期  | 1室1厅 | 48平米 | 东北 | 其他', '低楼层(共18层)2018年建板楼  -  皇姑区', '40万', '单价8334元/平米')
('https://image1.ljcdn.com/210100-inspection/9e45f3f8-96d7-49b0-8efb-d4c0bb8cca41.jpg.296x216.jpg', '一环内 皇姑区 中海寰宇天下 南北三室 拎包即住', '中海寰宇天下天颂  | 3室2厅 | 115平米 | 南 西 北 | 其他', '高楼层(共33层)2014年建板楼  -  皇姑区', '199万', '单价17305元/平米')
('https://image1.ljcdn.com/210100-inspection/32fda568-ef57-4f81-a1ad-395cbd2088fe.jpg.296x216.jpg', '皇姑区 保利溪湖林语 一期南北 珠江五校 多层洋房', '保利溪湖林语一期  | 2室2厅 | 88平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '100万', '单价11364元/平米')
('https://image1.ljcdn.com/210100-inspection/93596b1a-c88d-4f82-8dbd-73b476ff5b26.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 197万', '中海寰宇天下天颂  | 3室2厅 | 115平米 | 南 北 | 精装', '中楼层(共33层)2014年建板楼  -  皇姑区', '197万', '单价17131元/平米')
('https://image1.ljcdn.com/210100-inspection/16342a09-0d5e-4f0e-aeef-a8ac5cda1906.jpg.296x216.jpg', '清水房，带阁楼，南北标户，三室户型，有钥匙。', '保利溪湖林语一期  | 3室2厅 | 104平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '86万', '单价8270元/平米')
('https://image1.ljcdn.com/210100-inspection/eea1aa67-e431-4209-818c-8ea90a79c0b7.jpg.296x216.jpg', '保利溪湖林语五期 3室2厅 80万', '保利溪湖林语五期  | 3室2厅 | 107平米 | 南 北 | 其他', '低楼层(共18层)暂无数据  -  皇姑区', '80万', '单价7477元/平米')
('https://image1.ljcdn.com/210100-inspection/65af5d3a-379f-4ca1-aa46-d7cce34a4ecd.jpg.296x216.jpg', '皇姑区 保利溪湖林语一期 一楼送花园 两室标准户型', '保利溪湖林语一期  | 2室2厅 | 85平米 | 南 北 | 其他', '低楼层(共6层)板楼  -  皇姑区', '92万', '单价10824元/平米')
('https://image1.ljcdn.com/210100-inspection/8a5192be-7778-45bd-abaf-9a11826db31e.jpg.296x216.jpg', '皇姑区 哥本哈根 两室双阳 中间楼层 精装修 近地铁', '哥本哈根  | 2室2厅 | 59.21平米 | 南 | 其他', '中楼层(共11层)暂无数据  -  皇姑区', '62万', '单价10472元/平米')
('https://image1.ljcdn.com/210100-inspection/44f36952-20b8-45a6-b417-c373fe75dd1c.JPG.296x216.jpg', '皇姑区 保利溪湖林语一期 清水房 88.70平 68万', '保利溪湖林语一期  | 2室2厅 | 88.7平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '68万', '单价7667元/平米')
('https://image1.ljcdn.com/210100-inspection/fe2372e8-eb33-4218-8611-649e33467ec0.jpg.296x216.jpg', '保利溪湖林语一期 南北户型 满五唯一 精装修', '保利溪湖林语一期  | 3室2厅 | 140平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '140万', '单价10000元/平米')
('https://image1.ljcdn.com/210100-inspection/fd4e0546-2f9f-468a-9ed1-fcbfbb21eb27.jpg.296x216.jpg', '瑞赛居圣苑 南北通透 标准户型 精装修  房子保持特好', '瑞赛居圣苑  | 2室1厅 | 102.16平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  皇姑区', '83万', '单价8125元/平米')
('https://image1.ljcdn.com/210100-inspection/abee9438-0541-4009-97cd-c892bba73a9d.jpg.296x216.jpg', '中海寰宇天下天汇A区 2室2厅 110万', '中海寰宇天下天汇A区  | 2室2厅 | 79.35平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  皇姑区', '110万', '单价13863元/平米')
('https://image1.ljcdn.com/210100-inspection/d07745f1-2978-486b-a8a2-e5ddb19a766f.jpg.296x216.jpg', '中海▪寰宇天下天赋 3室2厅 187万', '中海▪寰宇天下天赋  | 3室2厅 | 117平米 | 南 北 | 其他', '低楼层(共33层)暂无数据  -  皇姑区', '187万', '单价15983元/平米')
('https://image1.ljcdn.com/210100-inspection/4170e298-c4ea-4f44-a605-8735b2a7a37c.jpg.296x216.jpg', '碧桂园学府壹号 2室2厅 64万', '碧桂园学府壹号  | 2室2厅 | 79.26平米 | 南 北 | 其他', '低楼层(共29层)2017年建板塔结合  -  皇姑区', '64万', '单价8075元/平米')
('https://image1.ljcdn.com/210100-inspection/ab97ff8c-177b-42fd-8ef8-1146dbd29179.jpg.296x216.jpg', '保利溪湖林语一期 2室1厅 88万', '保利溪湖林语一期  | 2室1厅 | 84.2平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '88万', '单价10452元/平米')
('https://image1.ljcdn.com/210100-inspection/ff559e0b-e7e3-4f09-a755-708939938839.jpg.296x216.jpg', '加华小城，清水房，可自主装修，', '加华小城  | 2室2厅 | 92.14平米 | 南 北 | 毛坯', '高楼层(共6层)暂无数据  -  皇姑区', '51万', '单价5536元/平米')
('https://image1.ljcdn.com/210100-inspection/e9654c5a-c7a0-4c3d-8f40-389eee22c5d4.JPG.296x216.jpg', '皇姑区 万科金域华府 不喜顶楼者勿扰 万科原装3居室', '万科金域华府  | 3室2厅 | 95.74平米 | 南 北 | 其他', '高楼层(共32层)2016年建板楼  -  皇姑区', '90万', '单价9401元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload31b3cba2-53b3-45c7-9a61-e61a7e02359b.jpg.296x216.jpg', '一环旁 皇姑区 塔湾 新汉城 南向两室', '新汉城社区  | 2室1厅 | 70平米 | 南 | 其他', '低楼层(共25层)2015年建板楼  -  皇姑区', '53万', '单价7572元/平米')
('https://image1.ljcdn.com/210100-inspection/528612a1-aa9b-469b-9027-e6ec458a14f3.jpg.296x216.jpg', '一环内 皇姑 中海寰宇天下  南北三室', '中海寰宇天下天汇D区  | 3室2厅 | 135平米 | 南 北 | 其他', '低楼层(共6层)2012年建板楼  -  皇姑区', '240万', '单价17778元/平米')
('https://image1.ljcdn.com/210100-inspection/5f6a96e0-2af8-42c1-9375-1be0abba8c5e.jpg.296x216.jpg', '一环内 皇姑区 中海寰宇天下 南北三室 多层', '中海寰宇天下天汇D区  | 3室2厅 | 130平米 | 南 北 | 其他', '中楼层(共5层)2012年建板楼  -  皇姑区', '249万', '单价19154元/平米')
('https://image1.ljcdn.com/210100-inspection/80ea9517-7086-4006-8131-39a73149a906.jpg.296x216.jpg', '万科金域华府 2室2厅 78万', '万科金域华府  | 2室2厅 | 74.79平米 | 南 北 | 其他', '低楼层(共30层)2016年建板楼  -  皇姑区', '78万', '单价10430元/平米')
('https://image1.ljcdn.com/210100-inspection/39c9f448-d822-4ab9-b04a-271ef08ab4b6.jpg.296x216.jpg', '一环旁 皇姑塔湾 新汉城 南北三室 拎包即住', '新汉城社区  | 3室1厅 | 89.32平米 | 南 西 | 其他', '高楼层(共25层)2015年建板楼  -  皇姑区', '66万', '单价7390元/平米')
('https://image1.ljcdn.com/210100-inspection/65454a88-f275-4855-bd32-927211db917c.jpg.296x216.jpg', '丽江苑二期 精装修 南北通透标准户型 房子没住过', '丽江苑  | 2室1厅 | 88.4平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '76.5万', '单价8654元/平米')
('https://image1.ljcdn.com/210100-inspection/ae266ba5-5625-4b9c-bfce-4e2c519c3b4a.jpg.296x216.jpg', '丽江苑   三室二厅一卫   113万 精装', '丽江苑  | 3室2厅 | 105.19平米 | 南 北 | 精装', '高楼层(共6层)暂无数据  -  皇姑区', '97万', '单价9222元/平米')
('https://image1.ljcdn.com/210100-inspection/3d3e5efe-03ff-4e46-aaaf-0c7512f42d57.jpg.296x216.jpg', '碧桂园学府壹号 2室1厅 57万', '碧桂园学府壹号  | 2室1厅 | 78平米 | 南 北 | 其他', '高楼层(共6层)2017年建板塔结合  -  皇姑区', '57万', '单价7308元/平米')
('https://image1.ljcdn.com/210100-inspection/326eca61-88ba-479c-ac0e-d1267662c10b.jpg.296x216.jpg', '中海寰宇天下天汇A区 2室1厅 108万', '中海寰宇天下天汇A区  | 2室1厅 | 78.82平米 | 南 | 其他', '低楼层(共33层)2012年建板楼  -  皇姑区', '108万', '单价13703元/平米')
('https://image1.ljcdn.com/210100-inspection/e07497a1-c81f-45cb-8a0f-ae5d47d559a4.jpg.296x216.jpg', '保利溪湖林语 五期精装修小户型 做超市 带货卖', '保利溪湖林语五期  | 1室1厅 | 47.8平米 | 西北 | 其他', '低楼层(共18层)2018年建板楼  -  皇姑区', '52万', '单价10879元/平米')
('https://image1.ljcdn.com/210100-inspection/rsp_pic_upload6541e8c4-b5e1-41a5-b013-a2e6a4467641.JPG.296x216.jpg', '万科金域华府 多层电梯洋房 中间楼层 屋内配备齐全', '万科金域华府  | 3室2厅 | 102.39平米 | 南 北 | 其他', '低楼层(共11层)2016年建板楼  -  皇姑区', '140万', '单价13674元/平米')
('https://image1.ljcdn.com/210100-inspection/74f37513-3db3-413c-a4f2-419bcab1530d.jpg.296x216.jpg', '恒大雅苑 2室2厅 77万', '恒大雅苑  | 2室2厅 | 91平米 | 南 | 其他', '低楼层(共26层)2018年建板楼  -  皇姑区', '77万', '单价8462元/平米')
('https://image1.ljcdn.com/210100-inspection/8235e7c2-94ff-482a-9979-7d8832b5e90b.jpg.296x216.jpg', '一环内 皇姑区 塔湾 中海寰宇天下 精装两室', '中海寰宇天下天悦  | 2室2厅 | 92平米 | 南 | 其他', '高楼层(共33层)2013年建板楼  -  皇姑区', '130万', '单价14131元/平米')
('', '南北格局，两室，采光充足，满5，视野开阔！！', '利生华园  | 2室2厅 | 78.68平米 | 南 北 | 毛坯', '中楼层(共6层)暂无数据  -  皇姑区', '47万', '单价5974元/平米')
('https://image1.ljcdn.com/210100-inspection/a2cb6ce4-d52c-4a01-b945-9e357373f343.jpg.296x216.jpg', '一环内 皇姑区 中海寰宇天下 南北三室 精装多层', '中海寰宇天下天汇D区  | 3室2厅 | 118平米 | 南 北 | 其他', '高楼层(共6层)2012年建板楼  -  皇姑区', '177万', '单价15000元/平米')
('https://image1.ljcdn.com/210100-inspection/f3365c7a-6729-40b7-aff8-4a7c5f300136.jpg.296x216.jpg', '中海寰宇天下天朗 2室1厅 95.5万', '中海寰宇天下天朗  | 2室1厅 | 69.08平米 | 西北 | 其他', '低楼层(共34层)2012年建板楼  -  皇姑区', '95.5万', '单价13825元/平米')
('https://image1.ljcdn.com/210100-inspection/967b9fe7-6e88-4969-9917-30c3a2fd2e4f.jpg.296x216.jpg', '中海寰宇天下天朗 2室2厅 156万', '中海寰宇天下天朗  | 2室2厅 | 92平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  皇姑区', '156万', '单价16957元/平米')
('', '中海寰宇天下天汇A区 3室2厅 185万', '中海寰宇天下天汇A区  | 3室2厅 | 120平米 | 南 北 | 其他', '高楼层(共11层)2012年建板楼  -  皇姑区', '185万', '单价15417元/平米')
('https://image1.ljcdn.com/210100-inspection/1f741872-3701-4402-ad55-845079ccb5d1.jpg.296x216.jpg', '中海寰宇天下天颂 3室2厅 242万', '中海寰宇天下天颂  | 3室2厅 | 130平米 | 南 北 | 其他', '高楼层(共33层)2014年建板楼  -  皇姑区', '242万', '单价18616元/平米')
('https://image1.ljcdn.com/210100-inspection/2e3aac07-f43b-4895-a72d-a4b0edd76d61.jpg.296x216.jpg', '保利溪湖林语一期 2室2厅 95万', '保利溪湖林语一期  | 2室2厅 | 92.88平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  皇姑区', '95万', '单价10229元/平米')
('https://image1.ljcdn.com/210100-inspection/2802a3db-0b07-4a6d-b623-1194a1ff0ab2.jpg.296x216.jpg', '一环内 皇姑区 塔湾 中海寰宇天下 南向两室', '中海寰宇天下天悦  | 2室2厅 | 91平米 | 南 | 其他', '低楼层(共33层)2013年建板楼  -  皇姑区', '117万', '单价12858元/平米')
('https://image1.ljcdn.com/210100-inspection/b73ce7be-f733-465e-989b-a737685aed27.jpg.296x216.jpg', '丽江苑 2室1厅 55万', '丽江苑  | 2室1厅 | 77.61平米 | 西南 | 其他', '中楼层(共15层)暂无数据  -  皇姑区', '55万', '单价7087元/平米')
('https://image1.ljcdn.com/210100-inspection/10390638-b24a-44b2-883c-f3c14a3ab9ee.jpg.296x216.jpg', '一环内 皇姑区  中海寰宇天下 精装电梯洋房 南北三室', '中海寰宇天下天颂  | 3室2厅 | 131平米 | 南 北 | 其他', '中楼层(共6层)2014年建板楼  -  皇姑区', '258万', '单价19695元/平米')
('', '香树湾 3室2厅 65万', '香树湾  | 3室2厅 | 83.2平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '65万', '单价7813元/平米')
('https://image1.ljcdn.com/210100-inspection/d38f01dd-03db-40bd-acb1-c3a5af648278.jpg.296x216.jpg', '梅江世纪城 2室2厅 71万', '梅江世纪城  | 2室2厅 | 106.25平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  皇姑区', '71万', '单价6683元/平米')
('https://image1.ljcdn.com/210100-inspection/78c2cd65-2953-4bfa-b107-84d5cdda7b12.JPG.296x216.jpg', '北陵公园旁精品泰和龙庭百米楼间距', '泰和龙庭  | 3室2厅 | 102.57平米 | 南 西 北 | 其他', '高楼层(共27层)2016年建板楼  -  皇姑区', '150万', '单价14625元/平米')
('', '盾安新一尚品 3室1厅 81万', '盾安新一尚品  | 3室1厅 | 89.96平米 | 东南 | 其他', '高楼层(共34层)2017年建板楼  -  皇姑区', '81万', '单价9005元/平米')
