('https://image1.ljcdn.com/340100-inspection/d314142f-f3da-4dd7-ac64-9a151bec095b.JPG.296x216.jpg', '恒盛招牌敞亮大三房 南北双阳台 无遮挡采光', '恒盛皇家花园  | 3室2厅 | 132.96平米 | 南 北 | 其他', '低楼层(共24层)2013年建板楼  -  林店', '170万', '单价12786元/平米')
('https://image1.ljcdn.com/340100-inspection/260fe9b2-2b56-4971-9bb4-979786d70202.jpg.296x216.jpg', '文一洋房 业主诚意出售 有钥匙随时看', '文一名门湖畔  | 3室2厅 | 86.68平米 | 南 | 简装', '低楼层(共8层)2015年建塔楼  -  四里河', '145万', '单价16729元/平米')
('https://image1.ljcdn.com/340100-inspection/92c2758b-979b-4d3e-8a9a-9d2e33ef2120.jpg.296x216.jpg', '金荷苑 2室2厅 115万', '金荷苑  | 2室2厅 | 78.6平米 | 南 | 其他', '高楼层(共18层)2005年建塔楼  -  海棠', '115万', '单价14632元/平米')
('https://image1.ljcdn.com/340100-inspection/b28c0270-96f8-45e2-84d7-ac01057bb7a2.jpg.296x216.jpg', '都市清华A区中楼层，户型方正东南北三面通风', '都市清华  | 3室2厅 | 100.1平米 | 南 | 其他', '中楼层(共6层)2006年建板楼  -  海棠', '180万', '单价17983元/平米')
('https://image1.ljcdn.com/340100-inspection/ef7036d2-9005-4d63-9235-6eda2eafb46a.jpg.296x216.jpg', '为您寻找一个温馨的家，精装 舒适三房', '芙蓉苑北村  | 3室2厅 | 99.07平米 | 南 | 其他', '低楼层(共6层)2007年建板楼  -  海棠', '151万', '单价15242元/平米')
('https://image1.ljcdn.com/340100-inspection/8f03495d-b422-4d3f-bc50-23b147bdc3e7.jpg.296x216.jpg', '元一滨水城 小面积三房 总价低 随时看房 不沿街', '元一滨水城  | 3室2厅 | 97平米 | 南 | 其他', '低楼层(共18层)2005年建板楼  -  亳州', '180万', '单价18557元/平米')
('https://image1.ljcdn.com/340100-inspection/02efa6f6-115f-49b9-aa8c-cfec562e71d8.jpg.296x216.jpg', '可苑新村 3室2厅 138万', '可苑新村  | 3室2厅 | 94.95平米 | 南 | 其他', '中楼层(共6层)2000年建板楼  -  亳州', '138万', '单价14534元/平米')
('https://image1.ljcdn.com/340100-inspection/fbe4e495-cb94-4b51-ab19-86d82fe3dd06.jpg.296x216.jpg', '文一名 门湖畔 毛坯三居室 湖景房 价格可谈', '文一名门湖畔  | 3室2厅 | 97.91平米 | 南 | 其他', '高楼层(共40层)2015年建塔楼  -  四里河', '147万', '单价15014元/平米')
('https://image1.ljcdn.com/340100-inspection/4157cad6-8e5e-4781-a658-4df98277475f.JPG.296x216.jpg', '为你而选恒盛大三房 精装修 带车位', '恒盛皇家花园  | 3室2厅 | 123.84平米 | 南 北 | 其他', '低楼层(共33层)2013年建板楼  -  林店', '165万', '单价13324元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada6c7cd37-4736-4a66-bf97-d38c1858613b.jpg.296x216.jpg', '红玺台标准3房  开发商精装修  楼层佳  位置好', '海亮红玺台  | 3室2厅 | 95.57平米 | 南 | 其他', '中楼层(共34层)2014年建塔楼  -  海棠', '226万', '单价23648元/平米')
('https://image1.ljcdn.com/340100-inspection/5bea017e-0eae-426b-8e8c-bdbb3de36997.jpg.296x216.jpg', '四泉花园北区户型方正，配套设施完善', '四泉花园北区  | 2室1厅 | 79.15平米 | 南 | 其他', '低楼层(共11层)2009年建塔楼  -  四里河', '102万', '单价12887元/平米')
('https://image1.ljcdn.com/340100-inspection/eaa8507f-e579-4d46-925c-95cabed49f0d.jpg.296x216.jpg', '一层带院子 小户型三居室 独门独院 三孝口中间地带', '长江路金巷282号  | 3室1厅 | 72.7平米 | 南 北 | 简装', '低楼层(共5层)板楼  -  三孝口', '150万', '单价20633元/平米')
('https://image1.ljcdn.com/340100-inspection/e7689d4d-be4a-4449-bf56-b634bbd848c6.jpg.296x216.jpg', '庐阳柳林苑 4室2厅 226万', '庐阳柳林苑  | 4室2厅 | 121.61平米 | 南 | 其他', '高楼层(共18层)2012年建板楼  -  四里河', '226万', '单价18584元/平米')
('https://image1.ljcdn.com/340100-inspection/5fb00608-6ab4-4a51-b3f4-047a90de4527.jpg.296x216.jpg', '淮三小45中 户型两卧室朝南 采光好', '安庆路172号  | 3室1厅 | 77.6平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  三孝口', '170万', '单价21908元/平米')
('https://image1.ljcdn.com/340100-inspection/a5334b8c-ddd8-4fd6-bfbb-f90092f0122d.JPG.296x216.jpg', '和煦园精装紧凑三房.采光充足.安静环境好.交通便利。', '和煦园  | 3室2厅 | 95.1平米 | 南 | 其他', '中楼层(共5层)2003年建板楼  -  亳州', '165万', '单价17351元/平米')
('https://image1.ljcdn.com/340100-inspection/3713f04a-a988-439e-b035-1f1de3cdf64f.jpg.296x216.jpg', '中铁刚需两房，位置安静采光好，业主诚售方便看', '中铁国际城旭园  | 2室2厅 | 79.92平米 | 南 北 | 其他', '中楼层(共34层)2011年建板楼  -  杏花村', '126万', '单价15766元/平米')
('https://image1.ljcdn.com/340100-inspection/1a35c8ad-4060-4f2d-97df-0c0022f664bd.JPG.296x216.jpg', '为你而选为你为家 望城公馆 两梯四户 精装修', '望城公馆  | 3室2厅 | 119.31平米 | 南 北 | 精装', '高楼层(共25层)2010年建塔楼  -  杏林', '180万', '单价15087元/平米')
('https://image1.ljcdn.com/340100-inspection/121d5ce2-5cab-4fe3-896f-d303f60a87aa.jpg.296x216.jpg', '中铁国际城 品质小区 视野开阔 楼层佳 满两年', '中铁国际城广园  | 4室2厅 | 128.48平米 | 南 北 | 其他', '高楼层(共34层)2012年建板楼  -  杏花村', '195万', '单价15178元/平米')
('https://image1.ljcdn.com/340100-inspection/6b058291-9aab-40bd-a1e4-bf42716d9637.JPG.296x216.jpg', '正丰苑 3室2厅 135万', '正丰苑  | 3室2厅 | 101.98平米 | 南 北 | 其他', '中楼层(共6层)板楼  -  双岗', '135万', '单价13238元/平米')
('https://image1.ljcdn.com/340100-inspection/5faa460a-45a5-4061-9c08-580145d4c630.jpg.296x216.jpg', '中铁国际城和畅园 3室2厅 195万', '中铁国际城和畅园  | 3室2厅 | 122.22平米 | 南 | 其他', '高楼层(共34层)2012年建塔楼  -  四里河', '195万', '单价15955元/平米')
('https://image1.ljcdn.com/340100-inspection/bb7a2d12-162f-4782-b928-f7df68165fab.jpg.296x216.jpg', '瑞地祥和府 全南户型 采光好 优质教育', '瑞地祥和府  | 2室2厅 | 89.43平米 | 南 | 其他', '低楼层(共27层)2012年建塔楼  -  海棠', '153万', '单价17109元/平米')
('https://image1.ljcdn.com/340100-inspection/d569e990-b2a7-4591-b884-6010d1a878f8.jpg.296x216.jpg', '为你而选为你为家 万小店好房出售 三房朝南  户型好', '万小店小区  | 3室2厅 | 120.02平米 | 南 | 简装', '高楼层(共6层)2000年建板楼  -  亳州', '150万', '单价12498元/平米')
('https://image1.ljcdn.com/340100-inspection/6d2c3a35-fae2-4114-b501-612efb5abcea.JPG.296x216.jpg', '荣凤苑小区 2室1厅 66万', '荣凤苑小区  | 2室1厅 | 62.07平米 | 南 北 | 其他', '低楼层(共6层)2004年建板楼  -  林店', '66万', '单价10634元/平米')
('https://image1.ljcdn.com/340100-inspection/1e0fc018-c866-4d67-add4-a65fb69a8829.jpg.296x216.jpg', '为你而选为你未家置地栢景雅筑大两居拎包入住', '置地栢景雅筑  | 2室1厅 | 81.14平米 | 南 | 其他', '高楼层(共18层)2014年建塔楼  -  亳州', '155万', '单价19103元/平米')
('https://image1.ljcdn.com/340100-inspection/58a5b763-18ac-48d6-9d91-d8ec4b161d31.jpg.296x216.jpg', '大众巷 交通便利 生活配套齐全', '大众巷  | 2室1厅 | 65.45平米 | 南 | 其他', '高楼层(共6层)1996年建板楼  -  三孝口', '148万', '单价22613元/平米')
('https://image1.ljcdn.com/340100-inspection/5ba9e23a-cfb3-4270-b8df-3d20ba0a85ff.jpg.296x216.jpg', '橡树湾二期 3室2厅 256万', '橡树湾二期  | 3室2厅 | 109.04平米 | 南 北 | 其他', '低楼层(共27层)2014年建板楼  -  海棠', '256万', '单价23478元/平米')
('https://image1.ljcdn.com/340100-inspection/04263d9d-334a-46eb-a096-4527f4484bbb.jpg.296x216.jpg', '予制厂生活小区 2室2厅 105万', '予制厂生活小区  | 2室2厅 | 79.47平米 | 南 北 | 其他', '中楼层(共6层)暂无数据  -  亳州', '105万', '单价13213元/平米')
('https://image1.ljcdn.com/340100-inspection/cdb1db0f-2147-4039-9c8a-abfaccbdfc2f.jpg.296x216.jpg', '金宏豪庭 3室1厅 172万', '金宏豪庭  | 3室1厅 | 93.2平米 | 南 | 其他', '高楼层(共18层)2013年建板楼  -  海棠', '172万', '单价18455元/平米')
('https://image1.ljcdn.com/340100-inspection/b3c2192b-5d1d-4527-b7e0-ca284abcb822.JPG.296x216.jpg', '云顶雅苑 3室1厅 100万', '云顶雅苑  | 3室1厅 | 107.85平米 | 南 北 | 其他', '高楼层(共18层)2012年建板楼  -  林店', '100万', '单价9273元/平米')
('https://image1.ljcdn.com/340100-inspection/7eef3c24-d4e7-4156-9384-56f3a6966a76.jpg.296x216.jpg', '中铁旭园 刚需好房 楼层好 采光好 业主诚心出售', '中铁国际城旭园  | 2室1厅 | 79平米 | 南 | 其他', '中楼层(共34层)2011年建板楼  -  杏花村', '118万', '单价14937元/平米')
('https://image1.ljcdn.com/340100-inspection/f78f0a24-44cf-4fb4-91f8-4608fc141317.JPG.296x216.jpg', '生资公司宿舍 3室1厅 108万', '生资公司宿舍  | 3室1厅 | 95.99平米 | 南 | 其他', '高楼层(共7层)板楼  -  杏林', '108万', '单价11252元/平米')
('https://image1.ljcdn.com/340100-inspection/b72ee98b-ca3a-475a-977b-3e3aed6c1741.jpg.296x216.jpg', '金域蓝湾 1室1厅 98万', '金域蓝湾  | 1室1厅 | 56平米 | 南 | 其他', '高楼层(共31层)2012年建板楼  -  亳州', '98万', '单价17500元/平米')
('https://image1.ljcdn.com/340100-inspection/b0df049e-2f8c-433f-90fb-baab281db761.jpg.296x216.jpg', '万小店小区 4室2厅 160万', '万小店小区  | 4室2厅 | 137.58平米 | 南 | 其他', '中楼层(共6层)暂无数据  -  亳州', '160万', '单价11630元/平米')
('https://image1.ljcdn.com/340100-inspection/f2808972-975b-4871-ae6b-cf27000d8dff.jpg.296x216.jpg', '中铁国际城德园 2室2厅 148万', '中铁国际城德园  | 2室2厅 | 83.53平米 | 南 | 其他', '高楼层(共34层)2010年建塔楼  -  四里河', '148万', '单价17719元/平米')
('https://image1.ljcdn.com/340100-inspection/c3e486b9-4ea5-4402-9fe1-8b91fd42714e.jpg.296x216.jpg', '正丰苑 3室2厅 180万', '正丰苑  | 3室2厅 | 134.55平米 | 南 | 其他', '中楼层(共7层)板楼  -  双岗', '180万', '单价13378元/平米')
('https://image1.ljcdn.com/340100-inspection/6abe8218-15f8-4675-bd56-e5f9084dc572.jpg.296x216.jpg', '中铁国际城德园，精装修小三房，通透边户湖景房', '中铁国际城德园  | 3室2厅 | 85.87平米 | 南 北 | 其他', '高楼层(共28层)2010年建塔楼  -  四里河', '165万', '单价19216元/平米')
('https://image1.ljcdn.com/340100-inspection/134a54fb-237d-4036-9b56-e9c52b3e31cc.jpg.296x216.jpg', '蓝筹国际 1室2厅 139万', '蓝筹国际  | 1室2厅 | 108.97平米 | 南 | 其他', '中楼层(共29层)2012年建板楼  -  海棠', '139万', '单价12756元/平米')
('https://image1.ljcdn.com/340100-inspection/f52705d2-35f9-4bed-9cb5-723b2171618b.jpg.296x216.jpg', '小区前排，采光视野非常好 ，带车位', '万科森林公园御庭  | 3室2厅 | 87.95平米 | 南 北 | 其他', '中楼层(共30层)2015年建塔楼  -  森林公园', '208万', '单价23650元/平米')
('https://image1.ljcdn.com/340100-inspection/9d89c130-a548-4991-ac04-aa30576ea762.jpg.296x216.jpg', '领域花园 3室1厅 133万', '领域花园  | 3室1厅 | 82.43平米 | 南 | 其他', '高楼层(共31层)2008年建塔楼  -  海棠', '133万', '单价16135元/平米')
('https://image1.ljcdn.com/340100-inspection/b5cedc82-9e5b-4c1a-8969-f015eeb3fb12.jpg.296x216.jpg', '为你而选为你为家 荷塘月色 朝南大三房 配套全', '荷塘月色  | 3室2厅 | 94.6平米 | 南 北 | 其他', '中楼层(共6层)2006年建板楼  -  海棠', '168万', '单价17759元/平米')
('https://image1.ljcdn.com/340100-inspection/46aa46e1-eab6-408a-bde0-3c8c6e306664.jpg.296x216.jpg', '玉翠园优质两房，居家装修，链上您未来的家', '玉翠园  | 2室2厅 | 60.96平米 | 南 | 其他', '中楼层(共18层)2010年建板楼  -  海棠', '106万', '单价17389元/平米')
('https://image1.ljcdn.com/340100-inspection/34954946-09c8-48ce-9a70-71264cd0f78e.jpg.296x216.jpg', '四联大厦 2室1厅 169万', '四联大厦  | 2室1厅 | 84.66平米 | 南 北 | 其他', '中楼层(共16层)暂无数据  -  三孝口', '169万', '单价19963元/平米')
('https://image1.ljcdn.com/340100-inspection/dcf901cb-69d6-4808-8175-48e23ece14b0.JPG.296x216.jpg', '逍遥津彼岸 沿河路旁 融侨观邸 精装不沿街', '融侨观邸  | 2室2厅 | 79.66平米 | 南 | 精装', '高楼层(共33层)2013年建塔楼  -  双岗', '165万', '单价20714元/平米')
('https://image1.ljcdn.com/340100-inspection/3b93818f-c52b-4a9e-bde6-b89818e9090d.jpg.296x216.jpg', '安北小区 2室1厅 128万', '安北小区  | 2室1厅 | 59.84平米 | 南 | 其他', '中楼层(共6层)1990年建板楼  -  三孝口', '128万', '单价21391元/平米')
('https://image1.ljcdn.com/340100-inspection/d6d08c41-0cb7-45e0-9cc8-e5f0062fa37a.JPG.296x216.jpg', '上城国际新界经典三房户型 拎包入住', '上城国际新界  | 3室2厅 | 92.11平米 | 南 | 其他', '低楼层(共18层)2012年建塔楼  -  杏林', '156万', '单价16937元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploadab80f46a-1a52-4791-9627-618e94b59b50.jpg.296x216.jpg', '为你而选 为你为家 北一环柏景湾 顶楼复式带露台', '柏景湾  | 4室2厅 | 219.85平米 | 南 | 其他', '高楼层(共12层)2009年建塔楼  -  亳州', '408万', '单价18559元/平米')
('https://image1.ljcdn.com/340100-inspection/acfaf56d-d9f6-444e-b44c-5b421342772d.jpg.296x216.jpg', '金寨路330号 2室1厅 165万', '金寨路330号  | 2室1厅 | 49.23平米 | 东 西 | 其他', '低楼层(共6层)板楼  -  三孝口', '165万', '单价33517元/平米')
('https://image1.ljcdn.com/340100-inspection/33e701fd-6991-4939-8013-e103b13ff7c9.jpg.296x216.jpg', '品园复式满二年 户型方正 精装三房', '中铁国际城品园  | 3室2厅 | 144.52平米 | 南 | 其他', '低楼层(共30层)塔楼  -  四里河', '181万', '单价12525元/平米')
('https://image1.ljcdn.com/340100-inspection/98060bbc-50d7-4af7-a38e-159bb28b1141.jpg.296x216.jpg', '中铁国际城桂园 精装修边户视野开阔', '中铁国际城桂园  | 3室2厅 | 123.04平米 | 南 北 | 其他', '高楼层(共34层)2012年建塔楼  -  四里河', '208万', '单价16906元/平米')
('https://image1.ljcdn.com/340100-inspection/e3ab5a60-0ffa-412b-af68-93b3733a497e.jpg.296x216.jpg', '永红路药检所宿舍安三小45中双本部二楼房龄新大三房', '省药检所住宅小区  | 3室1厅 | 98.46平米 | 南 | 其他', '低楼层(共6层)1995年建板楼  -  三孝口', '180万', '单价18282元/平米')
('https://image1.ljcdn.com/340100-inspection/26dc4f72-c918-4bf7-a0ed-84081d91c445.JPG.296x216.jpg', '恒盛皇家花园 2室1厅 102万', '恒盛皇家花园  | 2室1厅 | 80.58平米 | 南 | 其他', '低楼层(共31层)2013年建板楼  -  林店', '102万', '单价12659元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload15a9e3e0-27e7-4dc2-bc0a-0bd8aa32e86b.JPG.296x216.jpg', '上城国际玫瑰苑 两室朝南 户型方正 全天采光', '上城国际玫瑰苑  | 2室2厅 | 69.51平米 | 南 | 其他', '中楼层(共11层)2008年建塔楼  -  杏林', '116万', '单价16689元/平米')
('https://image1.ljcdn.com/340100-inspection/4c5c0f0e-7a13-415b-a308-3902711052a3.jpg.296x216.jpg', '万科森林公园嘉庭 3室2厅 310万', '万科森林公园嘉庭  | 3室2厅 | 130平米 | 南 北 | 其他', '中楼层(共34层)暂无数据  -  森林公园', '310万', '单价23847元/平米')
('https://image1.ljcdn.com/340100-inspection/499a1e30-5c18-4232-bd9e-513e537df058.jpg.296x216.jpg', '中铁国际城 楼层佳全天采光好 诚心出售', '中铁国际城旭园  | 2室2厅 | 79.05平米 | 南 | 其他', '中楼层(共18层)2011年建板楼  -  杏花村', '120万', '单价15181元/平米')
('https://image1.ljcdn.com/340100-inspection/3dbccd27-2b4a-4be1-a461-5d12cfc4d8e9.JPG.296x216.jpg', '上城国际玫瑰苑 1室1厅 53万', '上城国际玫瑰苑  | 1室1厅 | 34.04平米 | 南 | 其他', '低楼层(共18层)2008年建塔楼  -  杏林', '53万', '单价15570元/平米')
('https://image1.ljcdn.com/340100-inspection/c2581b99-b9b0-4767-af90-8d1d9ad4449d.jpg.296x216.jpg', '为你而选为你为家 楼层好采光充', '玉翠园  | 2室2厅 | 79.35平米 | 南 | 其他', '低楼层(共18层)2010年建板楼  -  海棠', '128万', '单价16132元/平米')
('https://image1.ljcdn.com/340100-inspection/be29579e-1580-4d26-bd96-707e5d75e7e9.jpg.296x216.jpg', '万科森林公园朗庭+满两年+边户+带暖气+精装修+采光好', '万科森林公园朗庭  | 3室2厅 | 93.49平米 | 南 | 其他', '低楼层(共34层)2013年建塔楼  -  森林公园', '212万', '单价22677元/平米')
('https://image1.ljcdn.com/340100-inspection/68b95cf0-5bb3-4334-9f23-59ad7dff0864.jpg.296x216.jpg', '中房名城，框架结构，精装四房，拎包入住，诚心出售', '中房名城  | 4室2厅 | 173.05平米 | 南 | 其他', '中楼层(共18层)暂无数据  -  逍遥津', '252万', '单价14563元/平米')
('https://image1.ljcdn.com/340100-inspection/0f4bea0d-8aeb-407f-b076-df8dbfb775a3.jpg.296x216.jpg', '可苑新村 3室1厅 120万', '可苑新村  | 3室1厅 | 91.53平米 | 南 | 其他', '高楼层(共6层)2000年建板楼  -  亳州', '120万', '单价13111元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_uploada76d41e8-8e44-48ac-9910-7c30d0a514ef.jpg.296x216.jpg', '利港四季华庭两居室 精装修 西边户 采光好环境好', '利港四季华庭  | 2室1厅 | 75.78平米 | 南 | 精装', '低楼层(共20层)2010年建板楼  -  四里河', '116万', '单价15308元/平米')
('https://image1.ljcdn.com/340100-inspection/8673e258-da1f-4af4-ad95-3419092a3e26.jpg.296x216.jpg', '话剧院宿舍 一室一厅 交通便利 适合居住', '安徽省话剧院  | 1室1厅 | 47.83平米 | 南 | 其他', '低楼层(共3层)平房  -  逍遥津', '122万', '单价25508元/平米')
('https://image1.ljcdn.com/340100-inspection/4e3a631e-c897-4e7d-a74a-adba268b3a4d.jpg.296x216.jpg', '金谷园小三房  楼层好采光充足', '君尚金谷园  | 3室1厅 | 105.91平米 | 南 北 | 其他', '高楼层(共18层)塔楼  -  海棠', '170万', '单价16052元/平米')
('https://image1.ljcdn.com/340100-inspection/0099cfe6-bf3b-4fad-87ad-3a904f6989a1.jpg.296x216.jpg', '华馨苑 居家装修小四房 业主诚售', '华馨苑  | 2室2厅 | 87.86平米 | 南 | 其他', '中楼层(共18层)板楼  -  海棠', '123万', '单价14000元/平米')
('https://image1.ljcdn.com/340100-inspection/901c5e46-eb44-406e-ad01-2deac8c68f0e.JPG.296x216.jpg', '经典两居室，户型方正，看房方便，拎包入住', '祥源上城国际榆景苑  | 2室1厅 | 75.96平米 | 南 | 其他', '高楼层(共18层)2010年建塔楼  -  双岗', '125万', '单价16457元/平米')
('https://image1.ljcdn.com/340100-inspection/82066daa-e61e-44dc-88e1-acaf774af4da.jpg.296x216.jpg', '为你而选为你为家 幸福人家 边户三房 两房朝南 急售', '幸福人家  | 3室2厅 | 102.93平米 | 南 北 | 其他', '低楼层(共6层)2001年建板楼  -  亳州', '169万', '单价16419元/平米')
('https://image1.ljcdn.com/340100-inspection/99468877-1abd-49f5-a9e5-1b2337455275.jpg.296x216.jpg', '桐城路118号，三室一厅，高楼层，采光好', '桐城路118号  | 3室1厅 | 50.57平米 | 南 北 | 其他', '高楼层(共6层)板楼  -  逍遥津', '112万', '单价22148元/平米')
('https://image1.ljcdn.com/340100-inspection/31c971bf-7c2f-4fa5-8fef-24aa6ae6a47c.jpg.296x216.jpg', '南国花园最新一期 精装 大户型四室', '南国花园  | 4室2厅 | 142.34平米 | 南 北 | 其他', '高楼层(共6层)2002年建板楼  -  亳州', '235万', '单价16510元/平米')
('https://image1.ljcdn.com/340100-inspection/4416cb81-62bc-4acd-bacc-f746c5b33645.jpg.296x216.jpg', '中铁国际城广园 大湖公馆 205.52平 精装修  诚卖', '中铁国际城广园  | 4室2厅 | 205.52平米 | 南 北 | 其他', '低楼层(共33层)2012年建板楼  -  杏花村', '390万', '单价18977元/平米')
('https://image1.ljcdn.com/340100-inspection/31797fb0-06c0-43c9-a91f-6da36adff7e2.jpg.296x216.jpg', '橡树湾  南向三房 中间楼层 随时可看', '橡树湾  | 3室2厅 | 99.5平米 | 南 | 其他', '中楼层(共24层)2013年建塔楼  -  海棠', '215万', '单价21609元/平米')
('https://image1.ljcdn.com/340100-inspection/20a476bd-6c30-4201-b5aa-3371c53cfa61.jpg.296x216.jpg', '世纪家园 交通便利 位置好 配套齐全', '世纪家园  | 3室2厅 | 173.29平米 | 南 北 | 其他', '中楼层(共11层)2006年建塔楼  -  亳州', '300万', '单价17313元/平米')
('https://image1.ljcdn.com/340100-inspection/4f5e57d4-e463-480b-9a34-627b72341b63.JPG.296x216.jpg', '长城安居小区 二房南北户型 中装拎包入住 看房方便', '长城安居小区  | 2室1厅 | 58.17平米 | 南 北 | 其他', '中楼层(共6层)2000年建板楼  -  杏林', '65万', '单价11175元/平米')
('https://image1.ljcdn.com/340100-inspection/9ccd56b2-7688-41d8-8e6a-76c15d229494.jpg.296x216.jpg', '幸福人家 顶楼复式 采光好 视野开阔', '幸福人家  | 4室2厅 | 114.42平米 | 南 北 | 其他', '高楼层(共6层)2001年建板楼  -  亳州', '180万', '单价15732元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload35a5f42c-b1dd-48b9-a6ea-48d4b4e4bb59.jpg.296x216.jpg', '辰龙 满五唯一  育新+45中 诚心急售 总价低首付压力小', '辰龙大厦  | 1室1厅 | 48.88平米 | 北 | 简装', '低楼层(共31层)2010年建塔楼  -  四里河', '61万', '单价12480元/平米')
('https://image1.ljcdn.com/340100-inspection/fae37149-83f6-4df6-abc8-58e15d39a61a.jpg.296x216.jpg', '金荷苑2房 ， 业主  诚心出售！', '金荷苑  | 2室2厅 | 78.6平米 | 南 | 其他', '中楼层(共18层)2005年建塔楼  -  海棠', '108万', '单价13741元/平米')
('https://image1.ljcdn.com/340100-inspection/e02dc2e8-46b7-45f5-b2f3-37f70347e1b0.jpg.296x216.jpg', '品园一楼复式 带阳光房 单价低，适合老人居住', '中铁国际城品园  | 5室2厅 | 149.18平米 | 南 | 其他', '低楼层(共34层)2016年建塔楼  -  四里河', '170万', '单价11396元/平米')
('https://image1.ljcdn.com/340100-inspection/4cd4ec10-1a98-490f-aa3d-00e5126d2821.jpg.296x216.jpg', '正规大院 带供暖两室朝南 可改三室 南北通透 全明户型', '安徽日报社宿舍大院  | 2室2厅 | 77.47平米 | 南 北 | 其他', '中楼层(共7层)1990年建板楼  -  逍遥津', '255万', '单价32916元/平米')
('https://image1.ljcdn.com/340100-inspection/rsp_pic_upload0b798c8c-ed8d-415d-b03c-eec1635ec3fb.jpg.296x216.jpg', '六小本部 陈小巷 满两年 配套成熟 急售 有钥匙', '陈小巷社区  | 2室1厅 | 67.71平米 | 南 | 其他', '高楼层(共7层)1985年建板楼  -  逍遥津', '95万', '单价14031元/平米')
