('https://image1.ljcdn.com/510100-inspection/test-96e02ce2-04f0-4862-bc65-c720c9250cfb.png.296x216.jpg', '套三双卫 主卧带阳台  此房满五年且唯一免个税', '东苑D区  | 3室2厅 | 135平米 | 西南 | 简装 | 有电梯', '低楼层(共26层)2009年建板楼  -  东苑', '248万', '单价18371元/平米')
('https://image1.ljcdn.com/510100-inspection/test-954d4f66-8420-4faa-b025-392aa230a6ea.png.296x216.jpg', '复地雍湖湾 套四双卫 清水房 高楼层', '复地雍湖湾  | 4室2厅 | 140.88平米 | 西 | 其他 | 有电梯', '高楼层(共31层)2012年建板塔结合  -  大源', '355万', '单价25199元/平米')
('https://image1.ljcdn.com/510100-inspection/test-428b2b46-d358-4078-b632-bb3fa782d5dd.png.296x216.jpg', '南苑小区B区 套四 三卫  低楼层 有车位', '南苑小区B区  | 4室2厅 | 203平米 | 南 北 | 简装 | 有电梯', '低楼层(共16层)2008年建板楼  -  金融城', '620万', '单价30542元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a5053d11-7d3f-4d81-aebc-530a7b2c3cc2.png.296x216.jpg', '城南名著 有装修 看房需要预约 套四户型', '城南名著  | 4室2厅 | 148.18平米 | 南 | 其他 | 有电梯', '中楼层(共11层)2007年建板楼  -  广都', '220万', '单价14847元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7bc2c955-0157-4104-bedb-8423f3cb8c5c.png.296x216.jpg', '怡丰新城，精装套三，楼下抬高，中庭安静', '怡丰新城  | 3室2厅 | 128.9平米 | 西 | 精装 | 无电梯', '低楼层(共6层)2006年建板楼  -  中德', '199万', '单价15439元/平米')
('https://image1.ljcdn.com/510100-inspection/1cc3747c-f198-4428-8282-025507f16d9b.jpg.296x216.jpg', '天悦府洋房底跃带独立车库毛坯房', '天悦府  | 5室2厅 | 309.09平米 | 南 | 其他 | 无电梯', '低楼层(共5层)2014年建板塔结合  -  大源', '760万', '单价24589元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d0738ff9-de1d-4aeb-bd84-191003a43ff5.png.296x216.jpg', '顶跃带花园、满两年、配套成熟。', '城市春天  | 4室2厅 | 200.5平米 | 南 北 | 其他 | 有电梯', '高楼层(共31层)2013年建板塔结合  -  城南宜家', '425万', '单价21198元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2ad337d3-faed-4575-831f-d397c1bdbebf.png.296x216.jpg', '南城都汇四期，安静朝南，纯清水', '南城都汇汇尚园  | 3室2厅 | 135.87平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共22层)2014年建塔楼  -  市一医院', '380万', '单价27968元/平米')
('https://image1.ljcdn.com/510100-inspection/test-0847aed8-5eb5-4146-b6a8-2a8e85f1b6d2.png.296x216.jpg', '三期中庭清水大平层，带12平阳台，主卧带衣帽间+书房', '神仙树大院三期  | 5室2厅 | 225.19平米 | 南 | 毛坯 | 有电梯', '高楼层(共17层)2011年建塔楼  -  神仙树', '560万', '单价24868元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f7a4c914-7f17-4f33-9099-860ed29ef4e7.png.296x216.jpg', '南三环内，12年次新小区，板式通透结构，两梯两户', '南延新苑  | 4室2厅 | 170.08平米 | 南 北 | 毛坯 | 有电梯', '中楼层(共30层)2011年建塔楼  -  东苑', '343万', '单价20167元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6c2022fb-d24a-4d25-9b68-2c360efa4fde.png.296x216.jpg', '华润凤凰城三期清水套四双卫 通透户型 价格带车位', '华润凤凰城三期  | 4室2厅 | 157平米 | 东北 | 其他 | 有电梯', '中楼层(共32层)2013年建板楼  -  大源', '450万', '单价28663元/平米')
('https://image1.ljcdn.com/510100-inspection/test-dde749ac-2c80-4b48-9e9d-128d114af0e8.png.296x216.jpg', '逸都国际清水 套二户型方正看中庭', '逸都国际  | 2室2厅 | 81.2平米 | 东 | 其他 | 有电梯', '低楼层(共18层)2011年建板塔结合  -  大源', '136万', '单价16749元/平米')
('https://image1.ljcdn.com/510100-inspection/b7f45149-e2cf-4bf3-aaa5-6fb6a9327e3f.jpg.296x216.jpg', '套三带书房双卫 产权89㎡赠送下来150㎡ 户型通透', '中海兰庭  | 3室2厅 | 88.63平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2008年建板塔结合  -  大源', '315万', '单价35542元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d039b12a-14c4-42db-ad47-698705d97d9f.png.296x216.jpg', '东苑A区，标准套四出售，带装修，安静不临街。', '东苑A区  | 4室2厅 | 153平米 | 南 | 简装 | 有电梯', '中楼层(共30层)2008年建板楼  -  东苑', '425万', '单价27778元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b9b95147-a63f-4646-a03f-846141f645b7.png.296x216.jpg', '神仙树馨苑标准套二出售+业主自住精装修+采光好', '神仙树馨苑  | 2室2厅 | 61.84平米 | 西北 | 其他 | 有电梯', '高楼层(共23层)2011年建板塔结合  -  新北', '105万', '单价16980元/平米')
('https://image1.ljcdn.com/510100-inspection/test-337f0a8c-6bc4-4704-a1df-c0380c0e1ba7.png.296x216.jpg', '高新南区 跃层有花园 不临街 采光充足', '黄金时代  | 4室2厅 | 178.69平米 | 西南 | 简装 | 有电梯', '高楼层(共11层)2004年建板楼  -  衣冠庙', '285万', '单价15950元/平米')
('https://image1.ljcdn.com/510100-inspection/test-b0b724f5-776d-4a8d-b780-6d87c7c8ae29.png.296x216.jpg', '龙湖世纪峰景，清水套四，看公园锦江', '龙湖世纪峰景  | 4室2厅 | 175.9平米 | 东南 | 其他 | 有电梯', '中楼层(共49层)2017年建板楼  -  新会展', '470万', '单价26720元/平米')
('https://image1.ljcdn.com/510100-inspection/test-057eef00-aac5-4004-a415-f9be52e5d317.png.296x216.jpg', '维多利亚套三户型方正，八角客厅，装修保养好位置安静', '新里维多利亚公寓  | 3室2厅 | 126.95平米 | 东南 | 其他 | 有电梯', '低楼层(共13层)2005年建板楼  -  神仙树', '210万', '单价16542元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2623abf5-1e89-4cb5-bb4a-edc06280b5f8.png.296x216.jpg', '高新南三环美洲花园国际社区电梯套二有装修家具家电', '美洲花园棕榈湾  | 2室2厅 | 80.04平米 | 南 | 其他 | 有电梯', '低楼层(共23层)2016年建板塔结合  -  新北', '140万', '单价17492元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a84879e3-6e85-4aa8-8dcc-6a3718b04d11.png.296x216.jpg', '南城都汇三期装修套二，房东自住', '南城都汇汇馨园三期  | 2室2厅 | 89.52平米 | 南 | 精装 | 有电梯', '低楼层(共18层)2012年建板塔结合  -  市一医院', '165万', '单价18432元/平米')
('https://image1.ljcdn.com/510100-inspection/test-f59879a1-481a-4a91-af94-4fcbb4d1d914.png.296x216.jpg', '神仙树顶楼带花园的房子 不临街 满五年 无抵押 户型好', '紫丁巷1号  | 3室1厅 | 83.84平米 | 东南 | 毛坯 | 无电梯', '高楼层(共7层)1995年建板楼  -  神仙树', '95万', '单价11332元/平米')
('https://image1.ljcdn.com/510100-inspection/test-6a15b214-f9d1-4ee3-aa4b-f5a043ebe539.png.296x216.jpg', '融城后街套一出售，有钥匙,看房方便', '融城后街  | 1室1厅 | 52.44平米 | 东南 | 其他 | 有电梯', '高楼层(共17层)2009年建板塔结合  -  神仙树', '89万', '单价16972元/平米')
('https://image1.ljcdn.com/510100-inspection/test-784e78ec-37d8-471e-a292-c7387ab93919.png.296x216.jpg', '仁和春天清水套四，大平层带大阳台', '仁和春天国际花园  | 4室2厅 | 256.84平米 | 东 西 | 其他 | 有电梯', '中楼层(共29层)2014年建板塔结合  -  金融城', '900万', '单价35042元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a8656b89-1457-4b4c-b4d8-64e97aac9178.png.296x216.jpg', '户型方正，单卫大卧室，带储藏间', '都城雅颂居  | 2室2厅 | 92.24平米 | 北 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  大源', '205万', '单价22225元/平米')
('https://image1.ljcdn.com/510100-inspection/test-318b79c9-378f-40d2-ab41-1e42c3b14807.png.296x216.jpg', '楼层适中 前后绿化感强 含2个车位 套四三卫', '天府欣苑东区  | 3室2厅 | 206.34平米 | 南 | 毛坯 | 有电梯', '中楼层(共16层)2009年建板楼  -  金融城', '888万', '单价43036元/平米')
('https://image1.ljcdn.com/510100-inspection/test-996db755-ea4d-4282-8792-958942fec6e4.png.296x216.jpg', '中海城南一号 精装套三 朝南 中海开发 可改空间大', '中海城南一号二期  | 4室2厅 | 193.65平米 | 南 | 其他 | 有电梯', '高楼层(共23层)2012年建板塔结合  -  金融城', '776万', '单价40073元/平米')
('https://image1.ljcdn.com/510100-inspection/test-31ed3619-807e-4a93-9680-0983812f5060.png.296x216.jpg', '远大都市风景五期        装修套二', '远大都市风景五期  | 2室1厅 | 55.5平米 | 西南 | 其他 | 有电梯', '高楼层(共21层)2010年建板楼  -  远大', '99万', '单价17838元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a53f2ce9-01d9-40a7-aa92-f85b76d27021.png.296x216.jpg', '高新区+三环路外侧+满两年小套二+不临街+2013年交房', '美洲花园棕榈湾  | 2室1厅 | 61.39平米 | 西北 | 其他 | 有电梯', '中楼层(共23层)2016年建板塔结合  -  新北', '112万', '单价18245元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5f0da42b-d726-48d3-99eb-2c4d81d8543f.png.296x216.jpg', '高新区，户型通透，清水套三江景房，满两年无增值税', '南桥春天  | 3室2厅 | 125.94平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2010年建板塔结合  -  中和', '175万', '单价13896元/平米')
('https://image1.ljcdn.com/510100-inspection/test-757fc409-f295-45eb-a210-6f300255775b.png.296x216.jpg', '高新南区 2017年重新装修 步梯标准二室  高层采光佳', '新北小区三期  | 2室1厅 | 58.25平米 | 东南 | 其他 | 无电梯', '高楼层(共7层)2000年建板塔结合  -  新北', '82万', '单价14078元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4b6effed-e814-42ef-a40d-757f2c055dce.png.296x216.jpg', '天府长城柏南郡+套四+小高层+正南朝向+视野无遮挡', '天府长城柏南郡  | 4室2厅 | 146.51平米 | 南 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  天府长城', '310万', '单价21159元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a7f90745-4a7b-49b0-9fc9-d0dd50513882.png.296x216.jpg', '天府长城商圈，泰和佳园套二，品质物业，', '泰和佳园  | 2室2厅 | 81.42平米 | 东南 | 简装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  天府长城', '153万', '单价18792元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d7674448-832b-4cd2-82fa-0099b137e783.png.296x216.jpg', '华润凤凰城二期 居家套六、有装修', '华润凤凰城二期  | 6室2厅 | 176.63平米 | 南 | 其他 | 有电梯', '高楼层(共27层)2010年建板塔结合  -  大源', '485万', '单价27459元/平米')
('https://image1.ljcdn.com/510100-inspection/test-60bd9a99-48ce-444f-9270-7bbd07a4ef85.png.296x216.jpg', '天府名居 带花园 平台 商品房', '天府名居  | 3室2厅 | 113平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2006年建塔楼  -  天府长城', '235万', '单价20797元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7a5c06ae-ac06-4d4c-bab4-bf6f79cfcab4.png.296x216.jpg', '华润凤凰城二期套三单卫  有车位', '华润凤凰城二期  | 3室2厅 | 96.99平米 | 西 | 其他 | 有电梯', '中楼层(共27层)2010年建板塔结合  -  大源', '295万', '单价30416元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a549edee-6771-419a-81df-f3408f951c51.png.296x216.jpg', '天鹅湖花园 通透套四 朝中庭看湖区带大阳台', '天鹅湖花园  | 4室2厅 | 283.5平米 | 东北 | 毛坯 | 有电梯', '中楼层(共32层)2008年建塔楼  -  新会展', '500万', '单价17637元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ac54d0ff-c177-4aeb-8923-d74b315e6048.png.296x216.jpg', '中海几号公馆装修套二，可根据喜好搭配软装', '中海九号公馆  | 2室1厅 | 89.75平米 | 东 | 其他 | 有电梯', '中楼层(共26层)2015年建板塔结合  -  金融城', '355万', '单价39555元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9c467139-0824-4bd6-acb0-be3bff6c549e.png.296x216.jpg', '天鹅湖北苑标准套二 户型方正 带大阳台', '天鹅湖北苑  | 2室1厅 | 106.16平米 | 南 | 其他 | 有电梯', '中楼层(共31层)2007年建板塔结合  -  新会展', '170万', '单价16014元/平米')
('https://image1.ljcdn.com/510100-inspection/test-05fbc594-f122-4045-b2bf-69954228c616.png.296x216.jpg', '君和源 高楼层跃层 有装修 带阳台有采光 可直接入住', '君和源  | 4室1厅 | 135.73平米 | 西南 | 精装 | 有电梯', '高楼层(共22层)2012年建塔楼  -  衣冠庙', '279万', '单价20556元/平米')
('https://image1.ljcdn.com/510100-inspection/test-39c77e1e-10fc-4101-afe9-e505f168d4eb.png.296x216.jpg', '紫荆电梯套三，户型方正，中庭不临街。', '圣安卓花园  | 3室2厅 | 165.62平米 | 东 | 其他 | 有电梯', '中楼层(共11层)2003年建板楼  -  紫荆', '346万', '单价20892元/平米')
('https://image1.ljcdn.com/510100-inspection/test-fced9def-6fe2-413e-a11f-0e71bbeb3cde.png.296x216.jpg', '南苑小区 视野开阔 看公园 采光充足 位置安静 有车位', '南苑小区B区  | 4室2厅 | 203.01平米 | 南 北 | 其他 | 有电梯', '高楼层(共16层)2008年建板楼  -  金融城', '720万', '单价35467元/平米')
('https://image1.ljcdn.com/510100-inspection/test-524e0059-f543-4398-89c0-2418c20adab2.png.296x216.jpg', '领馆国际城套三单卫户型，带装修', '领馆国际城  | 3室2厅 | 105.41平米 | 西北 | 其他 | 有电梯', '中楼层(共28层)2013年建板塔结合  -  远大', '202万', '单价19164元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e75c9698-7692-4670-b320-6ed808530d91.png.296x216.jpg', '高新区，中德英伦联邦装修套二，，', '中德英伦联邦A区  | 2室1厅 | 66.56平米 | 西北 | 其他 | 有电梯', '中楼层(共33层)2013年建塔楼  -  中德', '135万', '单价20283元/平米')
('https://image1.ljcdn.com/510100-inspection/test-bc6f33e8-450d-4b9d-bb8a-b8cfda79692c.png.296x216.jpg', '南城都汇四期清水套二   对小区看水景', '南城都汇汇尚园  | 2室2厅 | 88.28平米 | 南 | 毛坯 | 有电梯', '低楼层(共22层)2014年建塔楼  -  市一医院', '228万', '单价25827元/平米')
('https://image1.ljcdn.com/510100-inspection/test-40af7109-4e08-4047-b28c-19f7af41fdcd.png.296x216.jpg', '御廷上郡套三双卫，朝中庭，视野开阔', '御廷上郡  | 3室2厅 | 119.08平米 | 东 | 其他 | 有电梯', '高楼层(共26层)2012年建板塔结合  -  中和', '230万', '单价19315元/平米')
('https://image1.ljcdn.com/510100-inspection/test-308268ef-772d-46bd-8d3e-9467a6935919.png.296x216.jpg', '锐力领峰 套三双卫带入户花园 交通便利', '锐力领峰  | 3室2厅 | 128.97平米 | 北 | 简装 | 有电梯', '低楼层(共33层)2013年建板塔结合  -  中德', '195万', '单价15120元/平米')
('https://image1.ljcdn.com/510100-inspection/test-508b0882-0158-429f-9bb5-c3d3ff279998.png.296x216.jpg', '南一环 电梯7楼到顶 洋房 套二', '超洋花园  | 2室1厅 | 71.34平米 | 北 | 其他 | 有电梯', '中楼层(共7层)2000年建板楼  -  衣冠庙', '130万', '单价18223元/平米')
('https://image1.ljcdn.com/510100-inspection/test-1445c2c1-f6b3-404b-a8c5-db5e8f69742e.png.296x216.jpg', '高新区  英郡  装修套三  东南向  看江大阳台', '英郡一期  | 3室1厅 | 147.87平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)2009年建板楼  -  新会展', '328万', '单价22182元/平米')
('https://image1.ljcdn.com/510100-inspection/test-144ba132-c2f7-44ab-ad44-489328318730.png.296x216.jpg', '高楼层、大户型套四、纯中庭位置', '南城都汇汇尚园  | 4室2厅 | 218.19平米 | 南 北 | 毛坯 | 有电梯', '高楼层(共22层)2014年建塔楼  -  市一医院', '472万', '单价21633元/平米')
('https://image1.ljcdn.com/510100-inspection/test-5e4eef70-047b-4b40-a179-76391956dcc3.png.296x216.jpg', '维多利亚中庭安静套二出售  精装修 视野采光好', '新里维多利亚公寓  | 2室2厅 | 93.93平米 | 南 | 其他 | 有电梯', '高楼层(共13层)2005年建板楼  -  神仙树', '210万', '单价22358元/平米')
('https://image1.ljcdn.com/510100-inspection/test-42e597f7-9e5e-4873-8fe9-3fe38a5f48fd.png.296x216.jpg', '套三单卫，户型方正，客厅带阳光房，主次卧阳台', '远大都市风景四期  | 3室2厅 | 104平米 | 东南 | 其他 | 有电梯', '低楼层(共30层)2010年建板楼  -  远大', '168万', '单价16154元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9bc042ad-6a11-4b14-81d1-d9d399d6b583.png.296x216.jpg', '复地雍湖湾  清水套三 低楼层', '复地雍湖湾  | 3室2厅 | 110.23平米 | 南 | 其他 | 有电梯', '低楼层(共31层)2012年建板塔结合  -  大源', '300万', '单价27216元/平米')
('https://image1.ljcdn.com/510100-inspection/rsp_pic_uploadcd379f28-738a-45ca-b400-874dd85246a8.jpg.296x216.jpg', '高新区  玉林南路  套三不临街', '玉林南路36号  | 3室1厅 | 90.45平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1997年建板楼  -  芳草', '90万', '单价9951元/平米')
('https://image1.ljcdn.com/510100-inspection/test-95564a8f-f489-4c07-9c71-ca850f44550a.png.296x216.jpg', '高新区 芳草街 梧桐世家 电梯套一 朝南 不临街 有装修', '梧桐世家一期  | 1室1厅 | 51.71平米 | 南 | 其他 | 有电梯', '中楼层(共13层)2004年建板楼  -  芳草', '80万', '单价15471元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9117e8e7-4dca-4733-9db2-6cfea7958523.png.296x216.jpg', '远大都市风景二期装修套四，户型方正', '远大都市风景二期  | 4室2厅 | 153.76平米 | 西南 | 其他 | 有电梯', '高楼层(共11层)2005年建板楼  -  远大', '289万', '单价18796元/平米')
('https://image1.ljcdn.com/510100-inspection/test-ab6f3f60-488e-4d37-827c-6fc4ab7f3d0e.png.296x216.jpg', '2000年后多层.带装修，楼层好，户型方正，', '精诚苑  | 2室2厅 | 82.84平米 | 北 | 其他 | 无电梯', '中楼层(共6层)2001年建板楼  -  芳草', '108万', '单价13038元/平米')
('https://image1.ljcdn.com/510100-inspection/test-da04c943-d10d-4f57-b5e5-ec5a7b5374f3.png.296x216.jpg', '香年广场  开发商统一精装修套一', '香年广场  | 1室1厅 | 50.57平米 | 东 | 其他 | 有电梯', '中楼层(共35层)2012年建板塔结合  -  新会展', '83万', '单价16413元/平米')
('https://image1.ljcdn.com/510100-inspection/test-da461fdd-1902-4087-8eda-8114f726be22.png.296x216.jpg', '金融城 仁和春天 套四 对中庭 视野好', '仁和春天国际花园  | 4室2厅 | 168平米 | 西北 | 其他 | 有电梯', '高楼层(共31层)2014年建板塔结合  -  金融城', '520万', '单价30953元/平米')
('https://image1.ljcdn.com/510100-inspection/test-e64882ce-2035-4ca8-9fbf-5e9517c3521a.png.296x216.jpg', '华润凤凰城二期，一楼带花园，客厅六米挑高', '华润凤凰城二期  | 5室2厅 | 177.15平米 | 东南 | 其他 | 有电梯', '低楼层(共27层)2010年建板塔结合  -  大源', '620万', '单价34999元/平米')
('https://image1.ljcdn.com/510100-inspection/test-d9ae5036-77bb-40a4-98d2-52cd9767e7eb.png.296x216.jpg', '中航精装修套二，朝南，拎包入住。', '中航国际交流中心  | 2室1厅 | 70.15平米 | 南 | 其他', '中楼层(共31层)2014年建塔楼  -  金融城', '200万', '单价28511元/平米')
('https://image1.ljcdn.com/510100-inspection/test-72c43520-57d6-41e6-8697-0ac167e8e148.png.296x216.jpg', '仁和春天国际花园 正规套四对中庭', '仁和春天国际花园  | 4室2厅 | 178.15平米 | 东北 | 其他 | 有电梯', '高楼层(共31层)2014年建板塔结合  -  金融城', '511万', '单价28684元/平米')
('https://image1.ljcdn.com/510100-inspection/test-88d2b71b-dc2b-434a-b808-f090eea76f71.png.296x216.jpg', '一环路高新南衣冠庙旁，芳草街4号，不临街套二', '芳草街4号  | 2室1厅 | 76.7平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1998年建板楼  -  芳草', '95万', '单价12386元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7c430548-93b4-4bde-b9bc-2a6592fd735d.png.296x216.jpg', '中海城南华府255户型精装房前后无遮挡', '中海城南华府  | 5室2厅 | 253.87平米 | 南 北 | 其他 | 有电梯', '高楼层(共30层)2013年建板楼  -  金融城', '960万', '单价37815元/平米')
('https://image1.ljcdn.com/510100-inspection/test-2758c048-df82-4084-9517-11c1b07b2dde.png.296x216.jpg', '朝南看中庭   套三双卫   位置安静', '都城雅颂居  | 3室2厅 | 137.5平米 | 南 | 其他 | 有电梯', '中楼层(共26层)2012年建板塔结合  -  大源', '350万', '单价25455元/平米')
('https://image1.ljcdn.com/510100-inspection/test-04098dad-65db-4d20-bfdb-9cc686e00abc.png.296x216.jpg', '高新紫荆上海花园，看房方便，值得拥有', '上海花园  | 2室2厅 | 108.76平米 | 东南 | 其他 | 有电梯', '中楼层(共13层)2006年建板楼  -  神仙树', '238万', '单价21884元/平米')
('https://image1.ljcdn.com/510100-inspection/test-01ee8828-6799-4c78-a346-06b912156e99.png.296x216.jpg', '中德英伦联邦A区 套三双卫 清水', '中德英伦联邦A区  | 3室2厅 | 105平米 | 南 | 其他 | 有电梯', '中楼层(共33层)2013年建塔楼  -  中德', '258万', '单价24572元/平米')
('https://image1.ljcdn.com/510100-inspection/test-7df0358d-4e87-41e9-bab0-ec0a4b661bf7.png.296x216.jpg', '枫林苑新出套三，中间楼层，户型好', '枫林苑  | 3室2厅 | 84.58平米 | 东南 | 简装 | 无电梯', '中楼层(共7层)2001年建板楼  -  神仙树', '125万', '单价14779元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4a56ba2c-0ea9-42ea-bced-a5b521af3a7b.png.296x216.jpg', '南城都汇四期，中庭满两年精装套二，位置安静中间楼层', '南城都汇汇尚园  | 2室2厅 | 87.45平米 | 南 | 精装 | 有电梯', '中楼层(共22层)2014年建塔楼  -  市一医院', '215万', '单价24586元/平米')
('https://image1.ljcdn.com/510100-inspection/test-a9b87846-b8d4-428b-be2c-22b09baffb70.png.296x216.jpg', '天鹅湖清水套三   对中庭低楼层看湖 有车位需单独买', '天鹅湖花园  | 3室2厅 | 207.93平米 | 西 西北 | 毛坯 | 有电梯', '低楼层(共32层)2008年建塔楼  -  新会展', '345万', '单价16593元/平米')
('https://image1.ljcdn.com/510100-inspection/test-8d2ec5fa-64f7-4b34-a1f0-b212a87ea97b.png.296x216.jpg', '天鹅湖北苑 开发商精装 从未入住 朝南采光好 带大阳台', '天鹅湖北苑  | 2室2厅 | 119.8平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2007年建板塔结合  -  新会展', '210万', '单价17530元/平米')
('https://image1.ljcdn.com/510100-inspection/test-9c3f97ff-ba66-40aa-91a1-f0dc5b9d8ca7.png.296x216.jpg', '天府二街伊藤洋华堂旁 带装修 看房方便', '建发天府鹭洲  | 2室2厅 | 62.95平米 | 东 | 其他 | 有电梯', '高楼层(共29层)2012年建板塔结合  -  大源', '265万', '单价42097元/平米')
('https://image1.ljcdn.com/510100-inspection/test-4cf7077e-04d2-40f0-b67f-b44065788b34.png.296x216.jpg', '高新南2.5环，融城后街好位置，安静精装套二', '融城后街  | 2室1厅 | 79.01平米 | 北 | 其他 | 有电梯', '中楼层(共17层)2009年建板塔结合  -  神仙树', '158万', '单价19998元/平米')
('https://image1.ljcdn.com/510100-inspection/test-cc305921-a9fa-4a00-b1c3-71cfc6d7de5b.png.296x216.jpg', '高盛+套三+清水房+有阳台+可自主装修', '高盛金融中心  | 3室2厅 | 132平米 | 北 | 其他 | 有电梯', '中楼层(共38层)2015年建塔楼  -  金融城', '300万', '单价22728元/平米')
