('https://image1.ljcdn.com/320100-inspection/833073a0-0945-4401-ae89-abb11e398e1a.jpg.296x216.jpg', '荣盛茉莉苑 2室2厅 118万', '荣盛茉莉苑  | 2室2厅 | 75.57平米 | 南 | 简装', '低楼层(共12层)暂无数据  -  六合其它', '118万', '单价15615元/平米')
('', '米巷小区 2室1厅 88万', '米巷小区  | 2室1厅 | 66.91平米 | 南 | 其他 | 无电梯', '高楼层(共7层)暂无数据  -  六合其它', '88万', '单价13152元/平米')
('', '龙海骏景 2室1厅 105万', '龙海骏景  | 2室1厅 | 82.7平米 | 南 | 其他', '高楼层(共26层)2017年建板楼  -  六合其它', '105万', '单价12697元/平米')
('', '鑫庭雅苑 4室2厅 260万', '鑫庭雅苑  | 4室2厅 | 109.43平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  六合其它', '260万', '单价23760元/平米')
('', '冠城大通蓝郡 4室1厅 155万', '冠城大通蓝郡  | 4室1厅 | 104.08平米 | 南 北 | 其他', '高楼层(共18层)2016年建板塔结合  -  六合其它', '155万', '单价14893元/平米')
('', '香地美舍 3室2厅 78万', '香地美舍  | 3室2厅 | 94.46平米 | 南 北 | 毛坯', '中楼层(共20层)2016年建板楼  -  六合其它', '78万', '单价8258元/平米')
('', '急售 总价低 交通便利 落户南京 新小区 配套齐全', '香地美舍  | 2室2厅 | 84.21平米 | 南 北 | 其他', '低楼层(共20层)2016年建板楼  -  六合其它', '52万', '单价6176元/平米')
('', '荣盛鹭岛荣府 3室1厅 120万', '荣盛鹭岛荣府  | 3室1厅 | 101平米 | 南 北 | 其他', '低楼层(共19层)2020年建板楼  -  六合其它', '120万', '单价11882元/平米')
('https://image1.ljcdn.com/320100-inspection/a8c711ec-3081-4563-bf92-e0b365bbc393.jpg.296x216.jpg', '复兴园 3室2厅 118万', '复兴园  | 3室2厅 | 93平米 | 南 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  六合其它', '118万', '单价12689元/平米')
('', '龙池湖畔 时代广场商圈 金陵龙湖分校  全南户型 证满', '雨荷苑  | 2室1厅 | 76平米 | 南 | 简装', '低楼层(共9层)2015年建板塔结合  -  六合其它', '118万', '单价15527元/平米')
('', '荣盛莉湖春晓 2室1厅 103万', '荣盛莉湖春晓  | 2室1厅 | 61平米 | 南 | 精装 | 无电梯', '低楼层(共18层)暂无数据  -  六合其它', '103万', '单价16886元/平米')
('', '农机新寓 3室1厅 90万', '农机新寓  | 3室1厅 | 58.09平米 | 南 北 | 简装 | 无电梯', '低楼层(共6层)暂无数据  -  六合其它', '90万', '单价15494元/平米')
('', '荣盛莉湖春晓 2室1厅 103万', '荣盛莉湖春晓  | 2室1厅 | 66.56平米 | 南 | 精装', '低楼层(共28层)2016年建塔楼  -  六合其它', '103万', '单价15475元/平米')
('', '兰荷苑 2室2厅 110万', '兰荷苑  | 2室2厅 | 77.67平米 | 南 北 | 其他 | 无电梯', '高楼层(共6层)暂无数据  -  六合其它', '110万', '单价14163元/平米')
('', '汇锦水岸城 3室2厅 215万', '汇锦水岸城  | 3室2厅 | 117.46平米 | 南 北 | 其他', '高楼层(共11层)暂无数据  -  六合其它', '215万', '单价18305元/平米')
('', '汇锦水岸城 2室2厅 128万', '汇锦水岸城  | 2室2厅 | 84平米 | 南 北 | 其他', '高楼层(共6层)暂无数据  -  六合其它', '128万', '单价15239元/平米')
('', '急售 总价低 江北新区 邻近地铁 小3房 南北通透 证满', '金都悦园  | 3室2厅 | 87平米 | 南 北 | 简装 | 无电梯', '高楼层(共7层)暂无数据  -  六合其它', '112万', '单价12874元/平米')
